Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.0990195135927845,6.210474814132674,6.0403717961177765,1.936765185415077,3.9154857610663143,3.1622776601683795,0.39106948430208033,8.192126216163091,3.06374218201152,0.7584139400115227,621.2325439453125,12.704737663269043,310.4427185058594,505.2119445800781,90.57080841064453,627.6983642578125,65.0532455444336,512.5828247070313,514.1121215820313,199.09913635253906,584.6575927734375,110.74539947509766,510.0289611816406,252.67507934570313,113.94293975830078,701.4549560546875,343.4560241699219,794.4161987304688,497.3150329589844,392.12286376953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4031242374328485,1.8009460257468848,1.0,0.019277635510029874,2.0,0.0,25.81,100
L-1:2,1.118033988749895,1.4850469341566617,2.026120596273998,2.3081011772419635,3.542849584735249,6.18465843842649,4.2904751207399965,5.161489637510341,1.8295320957624375,0.9747664963967734,644.9974365234375,67.35415649414063,554.40869140625,273.746337890625,139.30857849121094,454.12127685546875,206.63253784179688,809.4783935546875,478.86248779296875,387.539306640625,775.8563842773438,18.144851684570313,674.877685546875,405.5320129394531,133.8179931640625,616.1246948242188,435.5420227050781,570.8952026367188,574.7147827148438,440.1300354003906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.587033144922902,6.032878940131975,1.0,0.015713054717794054,8.5,0.0,20.84,32
L-1:3,5.220153254455275,1.6448608745383468,9.444232606455023,1.1422809639080034,2.837009639791592,4.527692569068709,1.7392127070517613,1.4323959770613999,10.344870677560854,5.215714844580217,745.6680297851563,34.87322998046875,878.4019165039063,450.9310302734375,428.9516296386719,368.4732666015625,252.5499725341797,624.5880126953125,573.6426391601563,656.221435546875,978.2806396484375,64.74002075195313,598.1387939453125,638.2306518554688,276.84661865234375,506.29071044921875,307.09417724609375,1027.6484375,704.2100219726563,231.0207061767578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.06666667014360428,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.11724276862369,1.1343632281723384,1.0,0.014559457130547177,0.5,0.0,19.31,100
L-1:4,15.660459763365825,15.367583547031414,7.862638333497254,11.584505268024898,11.592255796860385,6.02079728939615,2.9766657352163493,1.1187121366479815,7.9514893687417185,0.7677011473658517,1154.462158203125,234.7117156982422,966.193359375,452.4488220214844,57.029518127441406,601.544189453125,122.33849334716797,596.0310668945313,571.8489990234375,386.7533264160156,1110.6982421875,100.1786880493164,725.4151611328125,474.8205261230469,301.7093200683594,661.6923828125,180.52256774902344,1079.918212890625,679.8073120117188,617.0975952148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.009611831257688,9.172507961555798,1.0,0.011998663101604277,6.5,7.01,17.95,100
L-1:5,4.743416490252569,2.989608018092821,4.7943287341702545,3.540099326048803,2.165976648651804,3.1622776601683795,4.9313244477189055,5.651450194845444,2.1544077239686157,1.1692262257729067,750.1525268554688,54.91532516479492,370.4178161621094,240.97064208984375,199.7299346923828,717.1485595703125,251.27207946777344,715.1576538085938,591.244140625,498.78082275390625,1006.4484252929688,48.970924377441406,698.6901245117188,473.23370361328125,203.442626953125,881.1314697265625,245.9164581298828,842.5007934570313,856.0176391601563,279.3218078613281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.604686356149273,4.09960854041149,1.0,0.014745215311004783,0.0,0.0,17.61,100
L-1:6,1.8027756377319946,4.596283053865937,5.64870910974107,2.51536199317529,1.4013890018551283,2.0615528128088303,7.1648917000955805,5.175716180186006,0.4448731070522318,0.015622026238801996,504.6094665527344,10.973688125610352,633.89404296875,376.77325439453125,125.51336669921875,448.7413635253906,209.16403198242188,570.5327758789063,468.9007263183594,507.86627197265625,697.2081909179688,52.480953216552734,808.0135498046875,359.4548034667969,184.83616638183594,880.4965209960938,390.2200012207031,987.11962890625,595.6597290039063,473.7749328613281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.06666667014360428,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.070489142648912,1.0,0.01623048668503214,0.5,0.0,20.2,0
L-1:7,4.716990566028302,1.2198712007839816,4.469795953940747,6.338096476211284,16.90543505510181,12.093386622447824,9.522767915397704,4.126846546178917,3.249194098804345,1.3132299739260176,660.24072265625,80.4186019897461,352.7647399902344,131.5054931640625,253.47872924804688,604.1444091796875,294.6285095214844,781.7839965820313,491.2789001464844,525.4058227539063,981.24365234375,36.667503356933594,663.7593383789063,535.9484252929688,23.546022415161133,599.7435913085938,271.0946350097656,736.2711791992188,578.9668579101563,341.9070129394531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.079872407968907,5.276174965654431,1.0,0.015196969696969695,3.5,0.0,20.06,0
L-1:8,9.513148795220223,5.1032037570728,8.761516088239134,0.8403254336592578,4.575493707886617,6.18465843842649,7.76939531328947,5.785817579156621,14.171372056441447,11.593717183573295,491.1756896972656,29.566329956054688,708.260009765625,351.87939453125,39.57767105102539,625.1768188476563,329.9568176269531,978.9397583007813,868.4609985351563,588.9736328125,956.9351196289063,115.17223358154297,706.7607421875,452.448486328125,64.54585266113281,966.9435424804688,274.8180236816406,796.251708984375,520.4053344726563,560.1640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.743416490252569,7.066856795695007,1.0,0.014163390663390663,4.0,3.91,16.47,0
L-1:9,6.576473218982953,4.927037965349656,2.6873252734618616,7.202777783338545,3.719236782804507,4.6097722286464435,2.3255276211593983,4.232416627989619,2.7017394277377464,2.07807329459456,663.6702880859375,12.917970657348633,439.31103515625,265.81903076171875,0.005720324814319611,523.2832641601563,129.3647918701172,588.0950927734375,592.4232177734375,425.38470458984375,637.9808349609375,28.623559951782227,567.8885498046875,334.3378601074219,80.85018157958984,780.4102783203125,332.4779968261719,762.8252563476563,374.7804260253906,342.4501953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.06666667014360428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.10094784600919,3.9777115050677168,1.0,0.017776679841897233,3.0,0.0,23.13,0
L-1:10,2.8284271247461903,0.6495408940340874,2.774996972982143,4.16323396209928,1.6354272299411163,2.5495097567963922,4.289484877591801,0.45989449049772985,0.3010978145844437,4.178366021976148,890.259765625,0.00883487518876791,443.7215881347656,462.9258728027344,172.6156463623047,534.43896484375,298.02191162109375,501.99835205078125,347.05938720703125,192.64463806152344,468.8675537109375,38.830894470214844,515.6030883789063,227.2062530517578,226.38516235351563,654.6314697265625,63.214229583740234,786.2757568359375,566.961669921875,261.4918212890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98075498574717,1.4952278134265786,1.0,0.01791130820399113,5.0,0.0,23.08,0
