Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.1416819886884464,1.5276848649275363,8.335416667458297,13.318978344424577,11.59673360939358,4.064565453592051,1.489525933546836,2.7969739410673258,0.8134756298421191,2.2508892590252034,888.929931640625,193.78616333007812,473.1005859375,434.39971923828125,219.15838623046875,506.1855163574219,256.9465026855469,453.2663879394531,479.93499755859375,277.56451416015625,1461.48779296875,102.4030990600586,564.3800048828125,556.2098999023438,246.75852966308594,895.489990234375,314.00982666015625,853.9963989257812,944.6734619140625,610.6466674804688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,77.36151123046875,-30.258962631225586,1.64387047290802,83.312744140625,-27.250465393066406,0.9272036552429199,85.7677001953125,-28.568078994750977,0.6367191076278687,86.102294921875,-29.29953384399414,0.2555745542049408,87.07147216796875,-30.857929229736328,-1.1191644668579102,87.4921875,-31.693727493286133,-1.9004677534103394,85.20529174804688,-32.02836990356445,-2.5388293266296387,83.2840576171875,-31.49165153503418,-2.00994873046875,80.98916625976562,-31.175621032714844,-1.4152650833129883,78.87405395507812,-31.10505485534668,-0.4912460446357727,10.528833764768123,10.16799829067579,1.0,0.015684113865932048,3.6666667759418488,0.0,29.28,108
L-1:2,4.679034740765821,4.102748652974486,4.063592563203373,0.19005634675748667,11.52604050900139,14.671796757952338,7.286893666164129,1.464762795570858,2.9564269882032854,0.8278597903313016,849.3006591796875,159.1219024658203,688.4484252929688,337.3136291503906,176.54171752929688,940.5087280273438,49.57481002807617,466.0143737792969,746.3551635742188,375.9207458496094,677.457275390625,276.8475646972656,1065.3262939453125,523.9224853515625,455.0970764160156,886.5498046875,185.1291046142578,975.7291259765625,691.3310546875,493.9997253417969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,82.655029296875,-28.62217140197754,-4.038333415985107,83.30014038085938,-29.129600524902344,-3.6377310752868652,83.27099609375,-30.125459671020508,-3.856997013092041,82.41268920898438,-32.10851287841797,-4.85318660736084,80.418701171875,-33.95484924316406,-6.435693740844727,79.09817504882812,-35.397071838378906,-7.103133678436279,79.09817504882812,-35.397071838378906,-7.103133678436279,77.10787963867188,-35.82373046875,-6.786142349243164,76.21832275390625,-34.54359817504883,-5.216972351074219,77.64529418945312,-29.95119285583496,-2.8611061573028564,6.526729757219366,8.529831910188664,1.0,0.014495708154506438,4.666666805744171,0.0,21.23,100
L-1:3,8.58921149428086,2.4584689692362125,0.6672228704688493,1.0218631302846664,3.7401010309110085,2.247993394924634,2.8142877884356294,3.079204470599983,5.64313544716641,6.799086274270606,706.1654052734375,228.91419982910156,1756.401611328125,1165.4254150390625,574.4365234375,1543.1888427734375,278.47052001953125,515.9441528320312,691.6261596679688,539.7396850585938,636.6331176757812,122.0058364868164,738.8580322265625,292.0678405761719,265.088623046875,1119.689453125,411.3874816894531,1293.72509765625,1282.1666259765625,903.8749389648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,86.59368896484375,-29.67691421508789,-6.221134185791016,86.59368896484375,-29.67691421508789,-6.221134185791016,82.09844970703125,-30.66077423095703,-4.560601234436035,82.94381713867188,-30.452919006347656,-4.7744903564453125,83.81356811523438,-31.761423110961914,-5.865880012512207,85.11944580078125,-33.42826843261719,-7.320693016052246,84.82342529296875,-33.94344711303711,-8.527644157409668,85.67474365234375,-33.050567626953125,-9.391321182250977,85.67474365234375,-33.050567626953125,-9.391321182250977,86.39501953125,-30.315885543823242,-7.594873905181885,1.703582037633858,3.9056913315762314,-1.0,0.010981152993348115,1.3333333730697632,0.0,16.98,108
L-1:4,6.056435615073197,2.4904784075825255,4.729550937029258,2.5911456669115314,7.833739224764521,15.969381173355686,13.042913307160992,21.649604592932764,19.185154739718744,2.620927414504396,497.211181640625,140.9995880126953,1787.5064697265625,1209.271484375,607.5060424804688,1760.75537109375,316.66693115234375,1345.78173828125,1331.9388427734375,631.5963134765625,1904.3302001953125,200.99136352539062,816.9385375976562,821.5838012695312,419.273681640625,1232.9970703125,327.87066650390625,1198.22900390625,463.375,694.1264038085938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,75.7703857421875,-26.06172752380371,-2.198615789413452,75.41131591796875,-26.154422760009766,-1.9460047483444214,75.41131591796875,-26.154422760009766,-1.9460047483444214,76.14736938476562,-25.936481475830078,-1.7592720985412598,77.34979248046875,-27.211727142333984,-2.586232900619507,77.34979248046875,-27.211727142333984,-2.586232900619507,79.0845947265625,-27.871841430664062,-4.16744327545166,80.02349853515625,-28.02507972717285,-4.59391450881958,80.48428344726562,-27.18926429748535,-4.591904640197754,79.87185668945312,-26.609073638916016,-4.2595601081848145,4.899987994345386,16.64956698852723,-1.0,0.010042921474810021,8.33333358168602,5.88,20.39,36
L-1:5,0.8264199149207498,2.1579742798662,2.8597822821922922,4.443338510297475,4.423074574532817,9.474432479140473,4.8646290398142975,0.687227742821052,5.431024528581842,3.9026001188764385,573.8031005859375,95.671875,996.239990234375,737.7109985351562,450.5823059082031,1253.66015625,434.79949951171875,996.170654296875,977.9752197265625,529.5689697265625,1149.245361328125,52.01231002807617,594.4132080078125,411.4328918457031,384.680908203125,845.3731689453125,399.7613830566406,1132.0263671875,643.0109252929688,223.24143981933594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,81.10171508789062,-27.288803100585938,-5.125523090362549,79.84823608398438,-27.29758644104004,-4.762134075164795,79.56472778320312,-27.0443172454834,-4.408864498138428,79.94247436523438,-27.159717559814453,-4.4129815101623535,81.16387939453125,-27.885583877563477,-4.8915510177612305,81.2532958984375,-29.274648666381836,-6.3355631828308105,81.34716796875,-29.807716369628906,-7.169142246246338,81.60311889648438,-30.163129806518555,-7.5495829582214355,82.6680908203125,-28.437610626220703,-6.3958563804626465,81.85311889648438,-27.86846160888672,-5.699634075164795,6.790536220353875,8.923822235622799,-1.0,0.011911421911421912,0.6666666865348816,0.0,20.44,0
L-1:6,0.9985173445479751,0.9353319588737752,5.262640813293053,1.6993597571619494,5.833739610640223,2.4491717509455357,1.4299684210918953,5.607496593179901,5.767220135174916,5.209594940614037,772.9874267578125,122.27261352539062,788.0054321289062,724.7669677734375,646.0985717773438,1280.4478759765625,239.75999450683594,484.0685119628906,0.0,0.0,941.192138671875,190.00387573242188,749.064453125,709.50830078125,662.0994262695312,1207.2003173828125,490.4551086425781,1343.8470458984375,876.8675537109375,348.4580383300781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,81.26870727539062,-26.986526489257812,-4.703032493591309,80.51422119140625,-26.85862922668457,-4.276456356048584,79.93994140625,-26.930259704589844,-4.286877632141113,80.398681640625,-26.962766647338867,-4.054564952850342,84.92279052734375,-28.130878448486328,-5.275219440460205,84.953125,-28.1861515045166,-5.97429084777832,84.60089111328125,-28.626558303833008,-7.173681735992432,84.21688842773438,-28.544057846069336,-7.223837375640869,84.26071166992188,-27.537975311279297,-6.871720790863037,82.43630981445312,-27.09225082397461,-5.355050086975098,11.028736861662015,1.1351657892716203,-1.0,0.011783028122956181,0.6666666865348816,0.0,20.59,0
L-1:7,1.642170286850606,2.7704588814976483,10.034394387044077,11.988184239278056,17.102534567356717,1.3163798866831868,5.289041764153954,1.897151503828921,0.9690980594412226,2.672433884392562,1110.1165771484375,96.7337875366211,1440.6866455078125,617.0306396484375,239.34263610839844,1267.2203369140625,190.47488403320312,1099.4139404296875,937.423828125,507.8123474121094,841.3192749023438,379.38787841796875,811.3093872070312,437.73919677734375,135.29281616210938,871.162109375,640.8593139648438,1125.3087158203125,1013.7328491210938,756.8543090820312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,82.49713134765625,-26.03894805908203,-4.308990955352783,80.51248168945312,-25.82300567626953,-4.376717567443848,80.51248168945312,-25.82300567626953,-4.376717567443848,79.5867919921875,-26.179119110107422,-4.317753791809082,79.97634887695312,-26.91663932800293,-5.055150985717773,80.54486083984375,-27.529747009277344,-5.768801212310791,80.974609375,-28.097843170166016,-6.800071716308594,82.29681396484375,-27.84088706970215,-7.522583484649658,84.92913818359375,-27.034832000732422,-5.225807189941406,84.15545654296875,-26.159757614135742,-4.863917827606201,4.474808946404443,5.420866205437808,-1.0,0.011268415379087317,2.3333334028720856,0.0,17.92,0
L-1:8,4.2677740567969185,1.3523233066951634,2.1486285919019728,2.0910303845045908,5.008055220271382,2.542534094126665,11.04088454209859,23.268264351689563,18.006310389464314,6.357233136573648,824.0299072265625,6.6294050216674805,1008.9287719726562,874.9990234375,472.4176025390625,1653.962646484375,180.65420532226562,1048.265380859375,1059.83154296875,629.5794677734375,1273.015380859375,227.14439392089844,644.3955688476562,1100.92919921875,393.85284423828125,1855.6038818359375,145.57872009277344,1985.974853515625,893.6583251953125,464.0564270019531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,88.39239501953125,-27.704193115234375,-5.840163707733154,87.85372924804688,-27.361141204833984,-5.433285236358643,87.2144775390625,-27.199024200439453,-5.4452362060546875,87.81463623046875,-27.45785903930664,-5.2759175300598145,84.58566284179688,-28.713863372802734,-5.176359176635742,85.18243408203125,-30.987876892089844,-7.192212104797363,86.95956420898438,-30.379737854003906,-7.478011608123779,86.95956420898438,-30.379737854003906,-7.478011608123779,87.70050048828125,-29.549184799194336,-6.902823448181152,87.70050048828125,-29.549184799194336,-6.902823448181152,7.055998834189439,15.433905811885975,-1.0,0.009214948783610755,6.333333522081375,5.55,16.45,0
L-1:9,3.310720068125896,9.648429596643412,6.159503091048496,0.9824847976330044,4.892778238091973,3.1404134709283538,1.078014452152508,1.009135941609407,4.618828657593575,9.24269538166396,994.9649047851562,15.85732364654541,892.7188720703125,524.8427734375,485.5138854980469,1296.143310546875,146.16738891601562,969.6062622070312,805.8480834960938,603.3045654296875,517.5167236328125,17.318056106567383,781.822998046875,466.1083068847656,519.659423828125,1415.107666015625,491.8254089355469,1198.4954833984375,999.2870483398438,561.7589721679688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,96.85186767578125,-28.370786666870117,-7.554471492767334,96.82135009765625,-28.104907989501953,-7.349308967590332,96.94046020507812,-28.167512893676758,-7.025892734527588,97.4061279296875,-28.479753494262695,-6.993825435638428,97.826171875,-28.863550186157227,-7.0922932624816895,98.34915161132812,-29.482421875,-7.680447101593018,96.16461181640625,-29.58698272705078,-8.531704902648926,95.99749755859375,-29.540014266967773,-8.306766510009766,95.82797241210938,-28.981170654296875,-7.943631649017334,96.83236694335938,-28.60746955871582,-7.8096022605896,4.784562401997149,4.39369858482612,-1.0,0.012263040238450077,4.666666805744171,0.0,23.51,0
L-1:10,2.221554573708033,4.430309034274876,0.3517612457640315,5.750241241491097,1.5693476525486365,14.111244067570054,4.673394014014756,3.443619494611571,3.35742042110045,7.598589476047952,1699.909423828125,303.8589782714844,1008.173828125,789.196533203125,30.0787410736084,1325.10107421875,309.6485900878906,1248.5140380859375,1096.2252197265625,1013.1986083984375,907.3494873046875,41.42584991455078,756.5880737304688,553.6777954101562,148.2233428955078,1552.1170654296875,255.7764129638672,1133.7845458984375,976.8677978515625,556.4368896484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,90.0574951171875,-26.606285095214844,-7.007448673248291,85.78207397460938,-26.88389778137207,-6.286402702331543,84.74859619140625,-26.914709091186523,-6.049366474151611,85.21282958984375,-26.954301834106445,-5.881174087524414,95.69564819335938,-28.092884063720703,-6.3680572509765625,96.03717041015625,-28.560657501220703,-7.523318290710449,95.18850708007812,-28.938623428344727,-7.618232250213623,94.776123046875,-28.413837432861328,-7.978691577911377,92.25262451171875,-27.648237228393555,-7.621614456176758,92.25262451171875,-27.648237228393555,-7.621614456176758,6.726376685984882,12.779780285002772,-1.0,0.010009469696969697,0.3333333432674408,0.0,19.63,0
