Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,18.935338066297653,17.21195265364639,5.894162791116868,6.308652465179667,3.3449645248991393,3.950062467913509,4.675396290546729,5.11911278979357,7.435334635134617,17.04278718926228,805.8850708007813,34.16450500488281,269.566162109375,278.4938049316406,458.5218200683594,756.0848388671875,151.72862243652344,349.28497314453125,407.3634033203125,585.7684326171875,754.868408203125,9.363762855529785,754.728515625,441.0772399902344,463.3876953125,1379.0784912109375,321.95361328125,768.2059326171875,451.13385009765625,278.46685791015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.53599548339844,-33.42499923706055,36.61199951171875,160.37100219726563,-33.516998291015625,36.58399963378906,160.052001953125,-33.57600021362305,36.625999450683594,159.8040008544922,-33.58300018310547,36.61000061035156,159.5709991455078,-33.55099868774414,36.573001861572266,159.5970001220703,-33.4739990234375,36.500999450683594,159.87399291992188,-33.32099914550781,36.36199951171875,160.56199645996094,-33.07400131225586,36.8849983215332,160.58299255371094,-33.16600036621094,36.78499984741211,160.43099975585938,-33.27899932861328,36.68899917602539,16.41375338126119,5.914383932537433,1.0,0.01793608675588371,11.5,0.0,22.21,100
L-1:2,4.213961672911547,4.702871495138612,7.0438397316031045,15.870179241749883,5.384834918068677,1.7095189530925168,7.318202285097895,5.365343972315797,4.985499578874802,2.7267290099142683,814.487548828125,21.190523147583008,748.1844482421875,426.6071472167969,198.83746337890625,486.0579833984375,24.941665649414063,502.6389465332031,564.0009155273438,271.2913513183594,888.8033447265625,87.58455657958984,842.3072509765625,478.9331359863281,285.71221923828125,1025.723388671875,369.2548828125,529.0257568359375,368.8309020996094,264.957763671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.12899780273438,-32.32400131225586,37.354000091552734,160.18600463867188,-32.44200134277344,37.314998626708984,160.68800354003906,-31.711999893188477,36.178001403808594,160.18899536132813,-31.871999740600586,36.520999908447266,159.72500610351563,-32.00199890136719,37.060001373291016,159.72500610351563,-32.00199890136719,37.060001373291016,159.86599731445313,-31.98699951171875,37.22700119018555,160.0279998779297,-32.05500030517578,37.35200119018555,160.12899780273438,-32.19200134277344,37.38999938964844,160.12899780273438,-32.19200134277344,37.38999938964844,4.082207210754619,8.39203328202456,1.0,0.016401305876444,2.5,0.0,18.66,76
L-1:3,4.273558332924731,4.495027058955123,6.1202716608820715,0.6694733322026222,2.2015507545293604,3.4791572085283997,8.142629795044746,3.219158478767282,2.756481731598527,2.881410176703995,1244.051025390625,152.72091674804688,883.8280029296875,594.6757202148438,155.70480346679688,754.4389038085938,313.9681701660156,658.234619140625,580.8234252929688,499.5224304199219,611.8230590820313,62.658119201660156,801.5886840820313,443.41058349609375,482.3078308105469,885.9566040039063,200.6380615234375,855.9821166992188,969.3170166015625,451.3984069824219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.29200744628906,-33.4739990234375,34.452999114990234,161.16900634765625,-32.91400146484375,34.691001892089844,161.2740020751953,-32.361000061035156,34.98500061035156,160.2259979248047,-36.391998291015625,33.303001403808594,160.2259979248047,-36.391998291015625,33.303001403808594,160.52000427246094,-35.75299835205078,33.60900115966797,160.88400268554688,-35.07099914550781,33.84000015258789,161.1490020751953,-34.50699996948242,34.025001525878906,161.2779998779297,-34.0099983215332,34.194000244140625,161.2779998779297,-34.0099983215332,34.194000244140625,5.488208313220586,5.56189574408927,1.0,0.015568747173224784,2.5,0.0,19.67,64
L-1:4,2.300075554942974,6.022852914248166,15.094206179028346,0.4006898017066485,16.703072461647423,8.207632747153307,3.30174489716016,7.7026716307113325,2.2273532759563253,11.846791971033745,698.5213623046875,98.78458404541016,625.21142578125,725.8600463867188,287.6799621582031,710.650390625,4.614290237426758,329.58758544921875,697.4931030273438,328.5081481933594,684.9832763671875,50.14341735839844,1368.2568359375,736.4727783203125,505.706787109375,1317.6572265625,602.4764404296875,1185.28955078125,1468.57666015625,1155.55224609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.97799682617188,-34.79800033569336,30.863000869750977,160.08599853515625,-35.119998931884766,30.854999542236328,160.16200256347656,-35.4630012512207,30.88800048828125,160.28900146484375,-35.79800033569336,30.94700050354004,159.72500610351563,-34.055999755859375,30.770000457763672,159.74099731445313,-34.224998474121094,30.91900062561035,159.74099731445313,-34.224998474121094,30.91900062561035,159.87399291992188,-34.46900177001953,30.913999557495117,159.97799682617188,-34.79800033569336,30.863000869750977,159.97799682617188,-34.79800033569336,30.863000869750977,4.460133980926638,14.133512378094672,1.0,0.013366834170854271,4.0,3.98,16.72,108
L-1:5,10.070685469377581,13.291678262225403,3.9648301595492734,1.2855240182033825,2.7603256292650205,4.798963399776785,7.778305695875138,2.9094346674217926,5.130192422554757,6.174858778524149,529.657958984375,118.73068237304688,887.7946166992188,363.66046142578125,22.268566131591797,224.40330505371094,19.077377319335938,655.4560546875,573.5908813476563,285.12353515625,691.4111938476563,9.172163963317871,555.3426513671875,435.8865966796875,87.87652587890625,473.28753662109375,429.5484313964844,903.8898315429688,463.0661926269531,454.61383056640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.20799255371094,-32.180999755859375,31.80900001525879,158.625,-32.10900115966797,31.929000854492188,158.16600036621094,-32.04899978637695,32.01300048828125,157.7530059814453,-31.95599937438965,32.07500076293945,157.39999389648438,-31.738000869750977,32.172000885009766,157.031005859375,-31.198999404907227,32.24800109863281,156.927001953125,-30.885000228881836,32.250999450683594,157.06500244140625,-30.601999282836914,32.17399978637695,160.14500427246094,-32.43600082397461,31.722999572753906,159.60800170898438,-32.3120002746582,31.722999572753906,10.76157502394112,9.515560166558316,1.0,0.019554924242424245,6.0,0.0,23.6,100
L-1:6,6.090662029023759,2.8858351276925323,10.377098642583727,13.608150322846965,2.3625805610036124,2.885470131008723,11.843812454937822,12.337171463435201,3.156262487195988,13.694736951023138,588.1673583984375,86.85769653320313,568.76220703125,190.262451171875,320.68646240234375,560.9744873046875,342.6553039550781,394.6625061035156,534.7367553710938,414.8831787109375,885.74365234375,23.306638717651367,647.641845703125,457.67108154296875,379.7248229980469,759.8086547851563,173.2335968017578,457.5108337402344,625.8529663085938,566.8386840820313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.26800537109375,-34.86800003051758,30.725000381469727,157.37899780273438,-34.7869987487793,30.805999755859375,157.6199951171875,-34.66600036621094,30.966999053955078,157.8280029296875,-34.23099899291992,31.29800033569336,158.0800018310547,-33.9109992980957,31.476999282836914,158.55299377441406,-33.56999969482422,31.665000915527344,156.8159942626953,-35.64400100708008,30.295000076293945,156.79100036621094,-35.48699951171875,30.44300079345703,156.86000061035156,-35.32099914550781,30.549999237060547,157.14500427246094,-35.132999420166016,30.597000122070313,7.789921066616672,9.361226896510008,1.0,0.016385595081247255,2.5,0.0,21.32,4
L-1:7,10.759107188252798,13.4268966777272,4.074438731071521,8.628512101129697,3.9139008930659562,5.1678355801770515,7.712108792589705,3.256003708427886,3.1781482919766844,7.308219451329625,1102.5936279296875,450.1291198730469,1344.9879150390625,430.9078063964844,160.9541473388672,539.8280029296875,193.92965698242188,662.433837890625,595.798828125,381.3018798828125,974.5397338867188,64.00515747070313,944.9779052734375,616.9843139648438,262.3404541015625,747.1876831054688,152.61212158203125,1000.0879516601563,746.2973022460938,556.408203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.03399658203125,-37.02199935913086,29.416000366210938,158.03399658203125,-37.02199935913086,29.416000366210938,157.97000122070313,-36.78300094604492,29.483999252319336,157.7790069580078,-38.21200180053711,29.093000411987305,157.7740020751953,-37.832000732421875,29.395999908447266,157.90699768066406,-37.48099899291992,29.525999069213867,157.90699768066406,-37.48099899291992,29.525999069213867,158.0570068359375,-37.2760009765625,29.47599983215332,158.0570068359375,-37.2760009765625,29.47599983215332,157.98699951171875,-37.20199966430664,29.398000717163086,7.1177467646346475,7.582685974344815,1.0,0.013864957716701903,2.5,0.0,14.99,108
L-1:8,19.978274677903492,10.33513846778396,5.557042850738717,2.210470737852286,3.110216260406297,0.8713665806789203,2.963472560255934,18.328124253085207,21.35043238898904,28.752162817027585,1061.7711181640625,170.84410095214844,843.3995361328125,1024.28271484375,196.6834716796875,955.7000732421875,3.6886484622955322,835.5996704101563,468.211669921875,261.3254089355469,625.2279052734375,42.331939697265625,908.4299926757813,396.9115295410156,621.4701538085938,938.7508544921875,226.10272216796875,1365.8397216796875,1027.2647705078125,962.5477294921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.74400329589844,-34.46699905395508,27.398000717163086,160.74400329589844,-34.46699905395508,27.398000717163086,160.96800231933594,-34.75299835205078,27.402000427246094,160.96800231933594,-34.75299835205078,27.402000427246094,160.47500610351563,-32.744998931884766,26.850000381469727,160.21099853515625,-33.00899887084961,27.173999786376953,160.28700256347656,-33.27899932861328,27.408000946044922,160.49899291992188,-33.63100051879883,27.416000366210938,160.49899291992188,-33.63100051879883,27.416000366210938,160.5679931640625,-34.06700134277344,27.374000549316406,3.29171539137804,13.504471161500256,1.0,0.011886481394253415,7.5,4.63,14.42,0
L-1:9,13.740432589532428,5.462802391738593,5.8549902705902515,3.9312241729543778,9.533028832801703,0.33378059635675594,3.397565817849006,16.082156821409434,17.464694769460497,14.11441376904943,669.8355712890625,2.376936197280884,1569.7391357421875,1416.929931640625,578.2462768554688,1342.677490234375,55.05863952636719,847.8650512695313,532.2852783203125,257.2542724609375,833.6341552734375,29.38078498840332,1155.7901611328125,573.588623046875,791.3058471679688,944.66162109375,553.9243774414063,1320.179931640625,1338.5626220703125,1056.394287109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0919952392578,-28.017000198364258,26.010000228881836,165.0919952392578,-28.017000198364258,26.010000228881836,165.11300659179688,-28.1560001373291,26.09600067138672,165.46400451660156,-27.56599998474121,25.43899917602539,165.50799560546875,-27.679000854492188,25.625,165.4929962158203,-27.733999252319336,25.767000198364258,165.4929962158203,-27.733999252319336,25.767000198364258,165.38900756835938,-27.770000457763672,25.83300018310547,165.1959991455078,-27.861000061035156,25.895000457763672,165.1959991455078,-27.861000061035156,25.895000457763672,7.695970765269561,3.617569208822378,1.0,0.012175967596759676,9.0,0.0,15.46,0
L-1:10,14.907292719205966,10.792007897027915,12.585757048797026,13.779144219270735,3.290770574214276,2.9220982768432395,11.036626490672765,5.112815705927842,6.04158442620275,13.20359449871546,897.6953735351563,84.384521484375,925.2162475585938,373.4573974609375,975.6027221679688,945.4431762695313,438.00628662109375,639.5311279296875,872.5350952148438,649.550048828125,1003.62841796875,80.19963836669922,1110.352294921875,823.3698120117188,360.6276550292969,764.5045776367188,514.861083984375,1223.286376953125,784.2916259765625,495.7884521484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.31900024414063,-28.158000946044922,23.191999435424805,163.42300415039063,-28.31399917602539,23.441999435424805,163.2779998779297,-28.3799991607666,23.733999252319336,163.36300659179688,-28.270999908447266,24.07200050354004,163.5570068359375,-28.01099967956543,24.37700080871582,163.5570068359375,-28.01099967956543,24.37700080871582,163.71200561523438,-27.69700050354004,24.589000701904297,164.04200744628906,-27.356000900268555,24.65999984741211,163.22300720214844,-27.98699951171875,22.985000610351563,163.31900024414063,-28.158000946044922,23.191999435424805,18.650998076179093,13.387192044770275,1.0,0.012416490486257929,2.5,0.0,16.78,0
