Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.8282501418738315,3.481869949512014,8.746317923253407,15.421763455385642,4.49496493800683,3.783186487605389,4.186269497370542,3.7999453019532585,15.23660530406051,8.822019829996352,5263.77685546875,409.3321533203125,2836.179443359375,4006.93994140625,712.063232421875,4281.3876953125,2465.20458984375,4797.27197265625,861.68017578125,576.8450927734375,4002.272216796875,378.5290222167969,3364.50244140625,2863.367431640625,872.5255126953125,2839.308349609375,604.7313842773438,3802.34130859375,5196.64990234375,2662.877197265625,0.11372549831867218,0.10588236153125763,0.10588236153125763,0.11764706671237946,0.10588236153125763,0.12941177189350128,0.14509804546833038,0.14901961386203766,0.14901961386203766,0.12941177189350128,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.1764705926179886,0.1764705926179886,0.14705882966518402,0.14705882966518402,242.0,-56.70000076293945,-3.0,242.0,-56.70000076293945,-3.0,242.0,-56.60000228881836,-2.6000001430511475,242.0,-56.60000228881836,-2.6000001430511475,243.6999969482422,-58.70000076293945,-1.600000023841858,242.10000610351562,-57.60000228881836,-2.6000001430511475,242.10000610351562,-57.60000228881836,-2.6000001430511475,242.10000610351562,-57.60000228881836,-2.6000001430511475,242.0,-56.70000076293945,-3.0,242.0,-56.70000076293945,-3.0,12.91559135308949,6.003344606969391,-1.0,0.003127677296525464,1.0,0.0,7.51,36
L-1:2,3.3541019662496847,19.653515265341614,7.075219372617659,1.5108953784804418,6.956401695007917,10.277402395547233,5.575170381275435,16.454270300183193,11.673276988208459,4.439432390172289,6612.5166015625,882.4693603515625,4711.02197265625,1298.7547607421875,289.16156005859375,6016.55322265625,1143.8968505859375,3610.34521484375,3148.150146484375,3307.4912109375,4982.1435546875,1804.0672607421875,2772.298828125,3937.235107421875,488.45684814453125,4182.29248046875,534.2173461914062,5110.04345703125,3254.22509765625,2287.4189453125,0.1098039299249649,0.08627451211214066,0.0941176563501358,0.10588236153125763,0.12156863510608673,0.13333334028720856,0.14509804546833038,0.14901961386203766,0.1411764770746231,0.12941177189350128,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.1764705926179886,0.14705882966518402,0.14705882966518402,244.10000610351562,-55.400001525878906,-2.4000000953674316,244.1999969482422,-55.29999923706055,-2.200000047683716,244.1999969482422,-55.29999923706055,-2.200000047683716,244.60000610351562,-56.10000228881836,-2.0,244.1999969482422,-55.79999923706055,-2.200000047683716,244.1999969482422,-55.79999923706055,-2.200000047683716,244.1999969482422,-55.79999923706055,-2.200000047683716,244.10000610351562,-55.400001525878906,-2.4000000953674316,244.10000610351562,-55.400001525878906,-2.4000000953674316,244.10000610351562,-55.400001525878906,-2.4000000953674316,4.190763653560053,13.061411412669644,-1.0,0.0027701005025125625,0.0,0.0,6.93,4
L-1:3,13.334635353094587,4.783135128925408,13.7239164918193,5.701593347852433,3.0460308710608115,6.490377492873585,0.9873393376154691,14.21782533113282,5.1024021298614235,11.310818324963492,6041.9794921875,465.7838439941406,5001.17431640625,1883.4678955078125,2003.042236328125,2392.1953125,1952.4022216796875,4656.91748046875,2419.369140625,2763.4208984375,4029.145751953125,293.93255615234375,2677.716552734375,3607.458251953125,1387.115966796875,6991.09765625,807.7911376953125,2000.104736328125,4677.23193359375,2615.55712890625,0.10588236153125763,0.0941176563501358,0.0941176563501358,0.10588236153125763,0.11764706671237946,0.125490203499794,0.125490203499794,0.12156863510608673,0.12941177189350128,0.12156863510608673,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.1764705926179886,0.13235294818878174,0.13235294818878174,0.13235294818878174,244.6999969482422,-53.70000076293945,-1.899999976158142,244.40000915527344,-52.70000076293945,-1.7000000476837158,244.40000915527344,-52.70000076293945,-1.7000000476837158,244.40000915527344,-52.70000076293945,-1.7000000476837158,244.1999969482422,-52.5,-1.600000023841858,244.1999969482422,-52.5,-1.600000023841858,244.1999969482422,-52.5,-1.600000023841858,244.1999969482422,-52.5,-1.600000023841858,244.6999969482422,-53.70000076293945,-1.899999976158142,244.6999969482422,-53.70000076293945,-1.899999976158142,4.257346591481601,7.734819735120135,-1.0,0.002837586390217969,0.75,0.0,6.1,100
L-1:4,7.057797106746552,12.209435193346541,10.59225738667981,8.247330817799263,4.878251929235951,2.8284271247461903,6.716216669055623,7.565041241689336,1.2043955733539888,2.8132739629426147,5338.8603515625,228.92652893066406,4056.39697265625,3325.708251953125,1158.41455078125,3616.4990234375,1711.37451171875,3048.20947265625,3552.009521484375,3979.199951171875,3294.219482421875,146.48333740234375,4019.138916015625,3528.9638671875,2334.60791015625,3938.56884765625,274.7834167480469,3450.191650390625,4503.55322265625,2160.556884765625,0.11372549831867218,0.1098039299249649,0.1098039299249649,0.11372549831867218,0.12156863510608673,0.12941177189350128,0.125490203499794,0.12941177189350128,0.13333334028720856,0.12156863510608673,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.14705882966518402,243.3000030517578,-53.900001525878906,-2.799999952316284,243.3000030517578,-53.900001525878906,-2.799999952316284,243.1999969482422,-53.70000076293945,-2.4000000953674316,243.1999969482422,-53.70000076293945,-2.4000000953674316,243.1999969482422,-53.70000076293945,-2.4000000953674316,243.1999969482422,-53.60000228881836,-2.299999952316284,243.1999969482422,-53.60000228881836,-2.299999952316284,243.3000030517578,-53.900001525878906,-2.799999952316284,243.3000030517578,-53.900001525878906,-2.799999952316284,243.3000030517578,-53.900001525878906,-2.799999952316284,23.62334650298302,3.8283919232422283,-1.0,0.0030227272727272724,6.0,3.71,5.7,4
L-1:5,8.459462157844316,2.0282896865911475,4.5046304287528365,2.415977693518586,1.103122984773769,3.0413812651491097,6.616797973907715,2.1833319685488988,2.30034096024529,7.974379195925951,4779.99951171875,417.7920227050781,4037.849853515625,4250.0029296875,1857.335693359375,4721.64599609375,1443.188232421875,3785.087890625,3718.25537109375,2960.959228515625,6026.69970703125,476.9837951660156,3035.59130859375,1689.6497802734375,390.1209716796875,5309.56591796875,1551.632568359375,4856.404296875,2843.44482421875,2998.693603515625,0.11764706671237946,0.10588236153125763,0.1098039299249649,0.1098039299249649,0.12156863510608673,0.13333334028720856,0.13725490868091583,0.14509804546833038,0.13725490868091583,0.12941177189350128,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.14705882966518402,243.5,-53.5,-2.299999952316284,243.5,-53.5,-2.299999952316284,243.5,-53.5,-2.299999952316284,243.3000030517578,-53.400001525878906,-2.0,243.3000030517578,-53.400001525878906,-2.0,243.40000915527344,-53.5,-2.200000047683716,243.40000915527344,-53.5,-2.200000047683716,243.40000915527344,-53.5,-2.200000047683716,243.40000915527344,-53.5,-2.200000047683716,243.5,-53.5,-2.299999952316284,10.295630140987,5.0570321271630805,-1.0,0.002913472070098576,3.0,0.0,6.08,64
L-1:6,11.294356998076518,4.498238508090963,3.359539533450278,6.1188450499837135,22.626662101833613,10.854146673046206,2.494810160180666,16.680683616008146,11.604656842261674,9.42912713897023,6656.9072265625,344.88726806640625,3041.008056640625,2913.561279296875,1193.0517578125,2596.027587890625,532.1109619140625,5489.45166015625,4177.0869140625,1028.5062255859375,4363.39501953125,549.6382446289062,2392.94921875,3714.361328125,720.1045532226562,5642.59521484375,537.3895874023438,4149.2451171875,3737.790771484375,1633.7440185546875,0.10588236153125763,0.09803922474384308,0.1098039299249649,0.11372549831867218,0.125490203499794,0.13333334028720856,0.1411764770746231,0.1411764770746231,0.13725490868091583,0.12941177189350128,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,243.5,-52.900001525878906,-2.4000000953674316,243.5,-52.900001525878906,-2.4000000953674316,243.1999969482422,-53.60000228881836,-1.8000000715255737,243.1999969482422,-53.60000228881836,-1.8000000715255737,243.1999969482422,-53.60000228881836,-1.8000000715255737,243.1999969482422,-52.900001525878906,-2.200000047683716,243.1999969482422,-52.900001525878906,-2.200000047683716,243.1999969482422,-52.900001525878906,-2.200000047683716,243.5,-52.900001525878906,-2.4000000953674316,243.5,-52.900001525878906,-2.4000000953674316,2.6100766272276377,17.514825223925993,-1.0,0.0032013146167557934,4.0,0.0,8.21,100
L-1:7,5.618051263561058,4.268000588898098,0.8032460885107556,2.236308671158863,20.0333325888352,17.7341478509682,9.569372280627036,24.073519862895747,5.6435763635317855,6.594113837995971,6186.4619140625,14.051396369934082,4188.8212890625,3282.3232421875,1109.6976318359375,4596.31103515625,3029.9189453125,2451.60595703125,5993.81787109375,1690.711181640625,3330.716064453125,870.8383178710938,1496.715576171875,1893.3428955078125,1255.1629638671875,5614.38916015625,999.3138427734375,3696.55712890625,3186.748291015625,2580.03759765625,0.09803922474384308,0.09803922474384308,0.0941176563501358,0.10588236153125763,0.11372549831867218,0.12156863510608673,0.12156863510608673,0.03529411926865578,0.12156863510608673,0.12156863510608673,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.13235294818878174,243.8000030517578,-52.79999923706055,-2.1000001430511475,243.8000030517578,-52.79999923706055,-2.1000001430511475,243.8000030517578,-52.79999923706055,-2.1000001430511475,243.8000030517578,-52.79999923706055,-2.1000001430511475,243.8000030517578,-52.79999923706055,-2.1000001430511475,243.5,-52.900001525878906,-1.8000000715255737,243.5,-52.900001525878906,-1.8000000715255737,243.5,-52.900001525878906,-1.8000000715255737,243.90000915527344,-53.20000076293945,-2.1000001430511475,243.90000915527344,-53.20000076293945,-2.1000001430511475,13.840610535666409,4.856785768552407,-1.0,0.0025425707223290304,5.0,0.0,5.29,64
L-1:8,8.764274071479052,14.82269305816491,15.861015339843723,4.350366906568293,6.546979719933182,6.041522986797286,3.1531667538127652,7.988176652360299,6.821361775372062,7.980516870445966,6327.2626953125,574.6551513671875,4290.12158203125,3747.30419921875,2261.110595703125,5897.55615234375,290.626708984375,5239.32373046875,3801.8681640625,2550.52783203125,4233.1142578125,528.7078857421875,4289.599609375,3174.996826171875,2430.417236328125,5026.22607421875,3719.123291015625,3106.997314453125,5769.228515625,3076.616943359375,0.10196079313755035,0.10588236153125763,0.10196079313755035,0.10588236153125763,0.125490203499794,0.1411764770746231,0.14901961386203766,0.14901961386203766,0.14509804546833038,0.12156863510608673,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.1764705926179886,0.14705882966518402,0.13235294818878174,242.40000915527344,-53.0,-2.799999952316284,242.40000915527344,-53.0,-2.799999952316284,242.40000915527344,-53.0,-2.799999952316284,242.3000030517578,-52.900001525878906,-2.6000001430511475,242.60000610351562,-53.10000228881836,-2.299999952316284,242.1999969482422,-53.10000228881836,-2.6000001430511475,242.1999969482422,-53.10000228881836,-2.6000001430511475,242.1999969482422,-53.10000228881836,-2.6000001430511475,242.40000915527344,-53.0,-2.799999952316284,242.40000915527344,-53.0,-2.799999952316284,13.536986370680884,12.401412441629201,-1.0,0.002591567852437418,0.25,5.18,5.62,64
L-1:9,11.22775578644281,4.7164740475903315,8.364267549071974,3.049235448576871,12.435667074804714,12.165525060596439,10.751310615911741,11.59332048617312,10.185072243975378,8.44600983851167,6444.791015625,847.567138671875,3974.503662109375,2434.0302734375,232.55506896972656,5134.10009765625,435.4015197753906,1358.600830078125,3542.982421875,3163.12255859375,5665.017578125,931.0874633789062,3931.689697265625,3277.83740234375,676.6260375976562,4180.2822265625,208.4502410888672,5827.9033203125,4195.73046875,1012.9998779296875,0.12156863510608673,0.10196079313755035,0.09019608050584793,0.10196079313755035,0.11764706671237946,0.13333334028720856,0.1411764770746231,0.14509804546833038,0.1411764770746231,0.13333334028720856,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.13235294818878174,243.40000915527344,-52.60000228881836,-2.0,243.40000915527344,-52.60000228881836,-2.0,243.40000915527344,-52.60000228881836,-2.0,244.10000610351562,-53.20000076293945,-1.399999976158142,243.6999969482422,-53.10000228881836,-1.600000023841858,243.6999969482422,-53.10000228881836,-1.600000023841858,243.40000915527344,-52.60000228881836,-1.899999976158142,243.40000915527344,-52.60000228881836,-1.899999976158142,243.40000915527344,-52.60000228881836,-1.899999976158142,243.40000915527344,-52.60000228881836,-1.899999976158142,3.3354160160315836,12.470938734435594,-1.0,0.0028262463343108504,3.0,0.0,7.71,32
L-1:10,3.5794552658190883,11.448228898997053,2.698013807832318,2.1826239898397612,4.972612328712875,8.40014880820572,6.834447215009714,11.885696840135422,9.937188009196722,4.252152328895996,5349.4326171875,41.299381256103516,2164.9765625,2281.2060546875,578.93798828125,5544.2373046875,642.5588989257812,4794.6630859375,5941.78759765625,1942.2716064453125,6606.00390625,506.71429443359375,0.0,0.0,2425.14697265625,5323.390625,1080.27099609375,4612.68994140625,3294.40478515625,2532.1787109375,0.11764706671237946,0.10588236153125763,0.09803922474384308,0.10196079313755035,0.11764706671237946,0.0941176563501358,0.0941176563501358,0.13333334028720856,0.13725490868091583,0.125490203499794,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.13235294818878174,243.40000915527344,-52.60000228881836,-2.200000047683716,243.40000915527344,-52.60000228881836,-2.200000047683716,243.40000915527344,-52.60000228881836,-2.200000047683716,243.1999969482422,-52.60000228881836,-2.1000001430511475,243.1999969482422,-52.60000228881836,-2.1000001430511475,243.1999969482422,-52.60000228881836,-2.1000001430511475,243.6999969482422,-52.79999923706055,-2.0,243.6999969482422,-52.900001525878906,-2.200000047683716,243.6999969482422,-52.900001525878906,-2.200000047683716,243.6999969482422,-52.900001525878906,-2.200000047683716,13.152946437965905,9.602263093317235,-1.0,0.0024117504835589943,2.75,0.0,5.7,64
