Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,12.577199487007013,4.904405253561711,4.9356586632539425,3.8684875585224123,2.3452588766348343,1.2046772263125298,1.4977100154641698,6.436995441465254,6.482887541170069,9.39732260338922,1322.6422119140625,157.9426727294922,846.2359619140625,570.4756469726562,37.71390914916992,597.7850952148438,39.25630569458008,424.40557861328125,785.1156005859375,413.6047058105469,895.2755126953125,58.081077575683594,952.2374267578125,658.0527954101562,162.76763916015625,772.778076171875,216.5367431640625,673.8902587890625,385.8055419921875,535.7886962890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,26.225372314453125,-57.40043640136719,-4.293072700500488,26.508026123046875,-57.33472442626953,-4.741608142852783,26.879608154296875,-57.364864349365234,-4.6055474281311035,26.189788818359375,-57.75532913208008,-4.538877487182617,32.066680908203125,-55.06207275390625,-3.0201456546783447,28.513519287109375,-57.250370025634766,-3.9132978916168213,25.8211669921875,-58.31662368774414,-4.374087333679199,24.989776611328125,-58.47356033325195,-4.343657970428467,24.705291748046875,-58.30466079711914,-4.079890727996826,25.15911865234375,-58.070064544677734,-4.075631618499756,12.663444150994765,3.3967140566094436,-1.0,0.01460183227625088,5.333333432674408,0.0,23.68,100
L-1:2,5.71428582072258,0.9184609186089777,1.2558916982366666,2.505680225178623,1.7940451984769408,1.570706934253905,1.0080626748165407,2.0315145914911583,3.1158236181024153,3.350233445428692,620.496826171875,38.424774169921875,752.5037231445312,696.4618530273438,316.7386474609375,811.7951049804688,278.1564025878906,650.3060302734375,788.1992797851562,643.8724365234375,823.0985717773438,30.284835815429688,364.3730163574219,324.9184265136719,475.36907958984375,942.6104736328125,318.66351318359375,604.2937622070312,427.8800048828125,339.2773132324219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,25.361358642578125,-57.25507736206055,-2.989665985107422,26.166961669921875,-56.330169677734375,-2.857280731201172,26.5841064453125,-56.16327667236328,-2.7768657207489014,26.29913330078125,-56.715415954589844,-2.881716251373291,24.905242919921875,-57.776275634765625,-3.0961251258850098,22.85272216796875,-58.972625732421875,-3.7391769886016846,21.81292724609375,-59.79422378540039,-4.189626216888428,20.802490234375,-60.39553451538086,-5.161867141723633,20.1510009765625,-60.60390090942383,-4.993756294250488,23.57293701171875,-58.150604248046875,-3.315594434738159,9.592136035440156,0.9810262852454638,-1.0,0.015262165220671446,2.666666716337204,0.0,23.12,100
L-1:3,20.698023558416246,4.34167617472532,4.717987912260848,1.5245326621200497,0.8655461806683724,2.317242911847048,1.9101407183044536,10.688921147251534,12.632278731876427,9.481659055719229,1013.1575927734375,19.054779052734375,316.0793151855469,1001.707275390625,157.63623046875,570.7341918945312,150.55282592773438,1018.9843139648438,1252.19580078125,816.11083984375,1742.73095703125,83.69916534423828,1007.534423828125,880.968017578125,728.6737060546875,1172.5098876953125,401.3843078613281,1412.2520751953125,765.237060546875,593.8873291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,25.106719970703125,-55.45800018310547,-2.3472073078155518,27.3525390625,-54.037254333496094,-1.8904757499694824,29.392333984375,-53.377193450927734,-1.5406025648117065,27.24859619140625,-54.496665954589844,-1.6070536375045776,25.095062255859375,-55.73588943481445,-1.5765143632888794,25.095062255859375,-55.73588943481445,-1.5765143632888794,21.991119384765625,-57.5907096862793,-2.578901767730713,20.1661376953125,-57.89555358886719,-3.4061810970306396,20.1661376953125,-57.89555358886719,-3.4061810970306396,21.37677001953125,-57.295631408691406,-3.235975503921509,15.084944946292003,19.38597954540345,-1.0,0.01130037488284911,3.428571492433548,0.0,20.67,68
L-1:4,25.611789145965858,6.142928005432204,0.8688062570498913,1.037694677063964,2.034627014321796,9.5238097012043,9.686539977954446,12.220128017212485,13.625174125363221,1.8444745213412577,1114.7750244140625,486.5447692871094,1257.2098388671875,1433.740234375,236.2530975341797,619.1076049804688,192.01705932617188,659.8816528320312,606.5195922851562,410.459228515625,565.0326538085938,96.43506622314453,540.1810913085938,319.20733642578125,203.09109497070312,510.8126220703125,339.01617431640625,746.73486328125,852.6470947265625,816.3597412109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02549019828438759,0.021568628028035164,0.021568628028035164,0.019607843831181526,17.78094482421875,-56.23128890991211,-6.924161434173584,17.959686279296875,-56.40361404418945,-7.408980846405029,17.959686279296875,-56.40361404418945,-7.408980846405029,18.01165771484375,-56.70695877075195,-7.832692623138428,17.84814453125,-57.247764587402344,-7.739201545715332,17.4449462890625,-58.12202835083008,-7.622008800506592,17.937408447265625,-58.90707015991211,-6.598653316497803,18.417083740234375,-58.76369094848633,-5.950644016265869,19.67291259765625,-57.5844841003418,-5.0626749992370605,17.183929443359375,-56.20450210571289,-6.394160270690918,10.59157259687034,8.01882032170394,1.0,0.01624401913875598,6.857142984867096,4.83,23.28,32
L-1:5,10.086249555393874,11.807876233958204,2.06491050439995,5.820410306983529,1.6845343015430143,1.1428571641444942,3.549627650397663,0.8764271478946907,6.981527067017263,8.095380098195134,608.1024780273438,4.539885997772217,482.8255310058594,433.77044677734375,244.3626708984375,853.650634765625,409.42822265625,1344.8792724609375,1026.2021484375,732.9456176757812,1153.90673828125,69.94678497314453,299.6046142578125,626.5333862304688,582.50341796875,1069.3404541015625,271.60992431640625,808.4843139648438,930.5014038085938,514.121337890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,16.75384521484375,-56.59795379638672,-8.683815956115723,18.863494873046875,-55.37627029418945,-8.119389533996582,18.96923828125,-55.32145309448242,-7.939580917358398,18.96923828125,-55.32145309448242,-7.939580917358398,18.035491943359375,-55.49290084838867,-7.739578723907471,16.83746337890625,-55.589019775390625,-8.135551452636719,15.67596435546875,-56.41213607788086,-8.358141899108887,12.105987548828125,-59.77667236328125,-10.67153263092041,12.488494873046875,-59.21061706542969,-10.310219764709473,13.864532470703125,-58.56529998779297,-9.66147518157959,27.872076288819347,5.3427968680764195,-1.0,0.012058972625887126,3.428571492433548,0.0,20.39,100
L-1:6,5.8024939030238,8.359430498567903,3.7365971672452534,0.5516812296608575,1.9814929540576804,1.703670871733182,4.3869210638244,3.218673448254386,0.6469314178884783,8.386712185331385,0.0,0.0,780.3363647460938,610.6926879882812,186.42164611816406,706.3011474609375,368.4856872558594,991.7657470703125,1102.2686767578125,596.599853515625,1041.5223388671875,8.279187202453613,734.5111694335938,656.4199829101562,338.7237243652344,652.0258178710938,175.8217010498047,404.9770202636719,308.6031799316406,311.8949890136719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,19.34600830078125,-51.207122802734375,-4.497020721435547,18.495086669921875,-51.45137405395508,-4.791459560394287,18.563385009765625,-51.47673034667969,-4.9567718505859375,17.544677734375,-52.106903076171875,-5.045224189758301,16.1676025390625,-53.68953323364258,-5.896627902984619,16.1676025390625,-53.68953323364258,-5.896627902984619,14.606781005859375,-55.05715560913086,-6.755500316619873,12.97698974609375,-55.914031982421875,-7.7082624435424805,13.155731201171875,-55.49169158935547,-7.741250038146973,15.891204833984375,-54.726619720458984,-7.206718444824219,5.8024939030238,13.07342681625544,-1.0,0.018987315010570827,1.523809552192688,0.0,25.66,0
L-1:7,3.512207477722013,6.375760746818436,5.401928496955086,9.498865420444107,3.51512123713095,3.254858630271239,5.47572566775321,8.495648204588505,6.61401786553668,7.281224480205476,732.655029296875,88.0026626586914,438.346435546875,194.8578338623047,422.8485107421875,1159.0533447265625,292.82666015625,737.8643798828125,1644.623291015625,754.633544921875,1212.4852294921875,150.1316375732422,517.7826538085938,420.7947998046875,266.480712890625,678.1759033203125,262.2874755859375,585.267822265625,878.35400390625,533.0955810546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,15.223724365234375,-54.163482666015625,-8.356289863586426,17.35137939453125,-53.326416015625,-7.9276580810546875,17.996856689453125,-52.617431640625,-7.742379188537598,18.21148681640625,-52.31169509887695,-7.701658725738525,16.850006103515625,-53.42924499511719,-7.503819942474365,16.850006103515625,-53.42924499511719,-7.503819942474365,12.249755859375,-54.87781524658203,-8.806117057800293,12.19287109375,-55.060787200927734,-8.766125679016113,12.19287109375,-55.060787200927734,-8.766125679016113,13.361968994140625,-55.04218673706055,-8.531620979309082,22.653057560717127,1.4066993678116568,-1.0,0.015121140651801028,1.90476194024086,0.0,20.15,0
L-1:8,2.154992135184572,3.1306221656485875,7.334603636951786,14.326195793329692,1.0041336816284265,3.977259696524342,1.6888612628679516,4.524184592440215,10.538390595787096,4.54244140111545,977.3453979492188,98.7473373413086,754.9655151367188,504.2603454589844,152.7567138671875,384.5059509277344,29.45553207397461,654.4644165039062,356.9012756347656,427.9892272949219,617.0645141601562,54.3801383972168,547.4159545898438,260.92010498046875,367.8673400878906,846.462158203125,463.1322021484375,734.4099731445312,824.6244506835938,312.1716613769531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.021568628028035164,0.019607843831181526,0.019607843831181526,13.597381591796875,-52.91963195800781,-9.586538314819336,14.513916015625,-52.69871520996094,-10.652376174926758,14.32574462890625,-53.0894775390625,-11.130706787109375,13.805389404296875,-53.86787414550781,-11.977508544921875,13.229156494140625,-55.030120849609375,-12.368108749389648,13.2088623046875,-55.597633361816406,-11.294737815856934,13.422698974609375,-56.03623580932617,-10.990644454956055,13.93682861328125,-56.36045837402344,-9.974133491516113,16.02215576171875,-53.87643051147461,-7.99417781829834,12.22900390625,-54.07768249511719,-8.981678009033203,8.794968834763969,2.712377424228147,1.0,0.01748047964305633,3.80952388048172,5.3,35.82,0
L-1:9,1.6162441013884288,2.3068139040192315,4.410014445524027,6.938167701855379,10.864157118816232,4.190476268529892,0.7503486510447595,6.9456918766158084,1.1856735378163188,4.690695343285954,1699.9169921875,110.88249969482422,1074.767578125,679.9275512695312,53.78750991821289,1897.290283203125,327.0788269042969,1152.0975341796875,1938.9852294921875,1033.531494140625,1577.7049560546875,319.1156311035156,1114.0430908203125,1279.7777099609375,5.920225143432617,828.2371215820312,228.02488708496094,686.9937133789062,888.7144165039062,585.32373046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,17.582000732421875,-55.537208557128906,-9.336490631103516,17.582000732421875,-55.537208557128906,-9.336490631103516,19.21771240234375,-54.78628921508789,-9.341155052185059,19.21771240234375,-54.78628921508789,-9.341155052185059,18.912109375,-54.8732795715332,-9.433401107788086,18.912109375,-54.8732795715332,-9.433401107788086,16.266815185546875,-56.4645881652832,-10.068175315856934,16.266815185546875,-56.4645881652832,-10.068175315856934,14.57611083984375,-57.19348907470703,-10.08555793762207,15.40606689453125,-56.66320037841797,-9.468668937683105,13.463312286638331,9.692469048316351,-1.0,0.010210882867132868,4.571428656578064,0.0,13.35,0
L-1:10,0.380952388048172,9.519788783334226,9.249823024224021,2.5332129563208445,3.959423841608204,0.8518354358666007,5.417758625941905,3.041566523056728,6.933417896361047,7.024568495883701,1341.2420654296875,64.95599365234375,1375.921142578125,645.5958251953125,71.90625,1181.969482421875,178.35398864746094,1124.079345703125,780.0523681640625,441.8600769042969,1599.2288818359375,57.373390197753906,836.7020874023438,466.42303466796875,72.10710144042969,1200.549560546875,206.65585327148438,1243.425537109375,778.9653930664062,590.2269287109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.019607843831181526,16.014434814453125,-54.50757598876953,-8.944534301757812,16.42010498046875,-54.51681137084961,-9.386706352233887,16.714508056640625,-54.76651382446289,-9.565320014953613,16.714508056640625,-54.76651382446289,-9.565320014953613,15.30810546875,-56.108150482177734,-9.857643127441406,14.0169677734375,-57.17241287231445,-10.42895793914795,13.729888916015625,-57.389286041259766,-10.173498153686523,14.23260498046875,-56.43596267700195,-9.257475852966309,14.24517822265625,-55.83784866333008,-9.115755081176758,14.87738037109375,-55.320194244384766,-8.956907272338867,8.761904925107956,1.736578284726279,1.0,0.01087121212121212,4.190476268529892,0.0,20.09,0
