Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.9013878188659973,4.175422928698311,5.731054500597407,3.5935697768004964,3.1867067110110154,6.5431261641512,1.451243298077551,2.8745222933856356,2.6728791212869845,1.0033648743762982,610.3204345703125,138.27964782714844,277.82342529296875,231.3197784423828,348.9265441894531,497.6324462890625,522.5658569335938,1020.001708984375,653.1710815429688,724.059326171875,1339.2117919921875,40.981571197509766,1263.329833984375,1011.4552001953125,146.2710723876953,1073.3477783203125,125.66395568847656,1079.202880859375,754.538818359375,359.4224853515625,0.2549019753932953,0.2666666805744171,0.26274511218070984,0.25882354378700256,0.27450981736183167,0.27843138575553894,0.2666666805744171,0.25882354378700256,0.250980406999588,0.25882354378700256,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,41.411163330078125,-49.383087158203125,-9.654435157775879,38.27301025390625,-48.07365417480469,-13.020108222961426,38.25274658203125,-48.87534713745117,-13.381119728088379,39.92138671875,-50.7647819519043,-14.090996742248535,40.13372802734375,-51.952308654785156,-14.307794570922852,40.13458251953125,-52.545204162597656,-14.039215087890625,39.94671630859375,-52.232696533203125,-13.457517623901367,40.18035888671875,-51.482364654541016,-12.665974617004395,40.04278564453125,-50.5577507019043,-11.781733512878418,40.410797119140625,-49.8489875793457,-10.747095108032227,11.502717070327341,12.028203927054843,1.0,0.011769438571764154,1.0,0.0,28.63,68
L-1:2,5.055937104039171,0.8758930171049606,5.407193120120011,0.6983493886441029,5.659842104751015,3.783186487605389,1.414074573793144,0.5938007753876053,2.184718027797414,1.6997187593315366,1144.240478515625,11.089590072631836,479.6672668457031,463.3020324707031,249.90794372558594,908.162353515625,193.39476013183594,746.6591186523438,1131.330322265625,1098.393310546875,1611.4656982421875,33.323246002197266,1244.393310546875,984.1647338867188,370.3651428222656,308.13031005859375,389.0404052734375,981.88037109375,659.9330444335938,728.6016845703125,0.2666666805744171,0.26274511218070984,0.2705882489681244,0.26274511218070984,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2392157018184662,0.2549019753932953,0.26274511218070984,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.3333333432674408,39.921783447265625,-40.637386322021484,-11.591211318969727,40.125518798828125,-41.24937057495117,-11.575550079345703,41.19671630859375,-44.11344528198242,-11.854681015014648,42.127288818359375,-45.64878463745117,-12.149686813354492,42.903228759765625,-46.56905746459961,-12.244682312011719,43.37188720703125,-46.516292572021484,-12.108353614807129,43.37188720703125,-46.516292572021484,-12.108353614807129,41.517120361328125,-43.6060905456543,-13.862441062927246,40.740997314453125,-42.096397399902344,-12.38214111328125,40.23455810546875,-40.982688903808594,-11.76988410949707,10.307764064044152,3.509378161010001,1.0,0.010781367392937643,2.25,0.0,24.6,68
L-1:3,3.020761493398643,4.312394282767674,0.7584368088729623,3.6546304542356585,5.5995688788625255,3.25,2.998105016754894,4.363957954549967,7.887176574309607,3.4739842641344714,1275.62939453125,143.87181091308594,1011.4288330078125,711.4038696289063,336.94732666015625,1126.495849609375,438.88623046875,1549.056396484375,1232.7581787109375,779.8619384765625,1475.11572265625,177.1339111328125,1205.54052734375,933.1603393554688,580.0911254882813,1371.46337890625,394.1276550292969,1109.6475830078125,887.6390380859375,836.9189453125,0.2549019753932953,0.26274511218070984,0.2666666805744171,0.2666666805744171,0.2705882489681244,0.27450981736183167,0.27450981736183167,0.26274511218070984,0.25882354378700256,0.2705882489681244,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,41.8536376953125,-41.561927795410156,-11.93338680267334,37.0958251953125,-42.58851623535156,-16.182964324951172,37.837493896484375,-43.2660026550293,-16.555084228515625,38.386871337890625,-44.14406204223633,-17.02353858947754,39.30426025390625,-44.95619201660156,-17.233341217041016,39.958648681640625,-45.108585357666016,-17.069189071655273,40.032501220703125,-44.6358528137207,-16.256759643554688,40.0848388671875,-44.16790771484375,-15.098481178283691,40.463043212890625,-43.43081283569336,-13.837118148803711,41.199066162109375,-42.366390228271484,-12.579599380493164,12.869537676233751,10.325204501337318,1.0,0.008866505968778696,0.5,0.0,22.07,68
L-1:4,1.2747548783981961,8.028738880060628,0.9736155754014754,3.0116160219300427,5.321432468884457,3.5089172119045497,1.813045718333162,5.030439174509873,5.144308466364349,1.3246038313153272,1546.627197265625,295.6241149902344,317.7229919433594,195.89634704589844,194.45994567871094,733.469970703125,280.2579345703125,1337.4486083984375,1131.6005859375,1060.986572265625,1803.56103515625,87.58208465576172,1502.669189453125,1127.9915771484375,447.7786560058594,1676.8427734375,401.737060546875,1587.393310546875,1063.4033203125,718.9840698242188,0.24705883860588074,0.250980406999588,0.26274511218070984,0.2549019753932953,0.2705882489681244,0.2666666805744171,0.26274511218070984,0.2666666805744171,0.25882354378700256,0.2549019753932953,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,42.34765625,-42.55190658569336,-8.872895240783691,40.13507080078125,-43.389949798583984,-12.94272518157959,40.140838623046875,-44.720088958740234,-12.777043342590332,41.145263671875,-45.1709098815918,-12.611900329589844,41.816986083984375,-45.43914031982422,-12.433704376220703,41.896331787109375,-45.21012496948242,-12.110315322875977,41.896331787109375,-45.21012496948242,-12.110315322875977,41.521728515625,-44.51155090332031,-11.419608116149902,41.775421142578125,-43.45809555053711,-10.184280395507813,41.775421142578125,-43.45809555053711,-10.184280395507813,17.47319375500655,14.941720108941173,1.0,0.008937410756782484,1.25,4.17,21.46,96
L-1:5,1.346291201783626,6.633750052249791,1.2502367184828116,6.98289447216817,1.9780101924521547,1.118033988749895,3.6500665752239216,7.87256944503387,12.114881033881653,2.7490549049924673,1660.443115234375,88.06964874267578,1152.9990234375,1041.6927490234375,688.6295776367188,1167.2442626953125,274.9010314941406,1301.5472412109375,1133.0216064453125,682.693359375,1292.2100830078125,103.3885726928711,1225.26904296875,914.0478515625,36.26225280761719,931.100830078125,306.738525390625,1442.997314453125,719.7413940429688,673.200439453125,0.27450981736183167,0.27450981736183167,0.2666666805744171,0.2705882489681244,0.27843138575553894,0.27450981736183167,0.27450981736183167,0.2666666805744171,0.26274511218070984,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,41.54583740234375,-44.04338073730469,-12.32238483428955,41.54583740234375,-44.04338073730469,-12.32238483428955,42.27288818359375,-45.202415466308594,-12.230839729309082,42.82373046875,-46.164005279541016,-12.382720947265625,43.247161865234375,-47.29314422607422,-12.39964485168457,43.741180419921875,-48.248695373535156,-12.243827819824219,43.86199951171875,-49.151580810546875,-12.149331092834473,42.603515625,-45.042274475097656,-13.427988052368164,41.981658935546875,-43.914825439453125,-12.71567440032959,41.469940185546875,-43.3675651550293,-12.495789527893066,8.782084035125148,6.035536671915015,1.0,0.009811287684038326,3.25,0.0,23.99,100
L-1:6,0.5590169943749475,4.452205048554987,3.881245327799224,4.429836573499299,5.195817273405786,1.25,2.8998678725258182,3.6369629141686715,2.8490906077797953,0.5678007969211895,1106.060791015625,46.54852294921875,760.93310546875,503.0926513671875,287.9093017578125,784.192138671875,240.29112243652344,433.0193176269531,787.5840454101563,490.0078125,1009.0953369140625,117.2734603881836,779.9520263671875,562.9786987304688,241.2431182861328,707.3226318359375,226.68173217773438,711.3564453125,806.6522216796875,517.1104736328125,0.26274511218070984,0.26274511218070984,0.250980406999588,0.26274511218070984,0.2705882489681244,0.2705882489681244,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.27450981736183167,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,42.762542724609375,-41.02333450317383,-8.816892623901367,43.62396240234375,-41.742149353027344,-8.014034271240234,44.77850341796875,-42.86337661743164,-6.986154556274414,39.178375244140625,-44.81062698364258,-14.013409614562988,41.12542724609375,-46.720497131347656,-14.119476318359375,41.4130859375,-47.4150276184082,-14.063369750976563,41.6092529296875,-47.1445198059082,-13.783292770385742,41.231689453125,-45.92763137817383,-13.377323150634766,41.36126708984375,-42.92333984375,-11.998393058776855,42.04168701171875,-41.37531661987305,-9.832886695861816,8.276472678623424,8.368180958005517,1.0,0.014503848554191803,1.0,0.0,39.84,68
L-1:7,8.4335638967165,8.290252682389692,6.44478076488553,8.00429055848478,5.880860992322167,1.0307764064044151,5.511241584387242,4.912311984466588,3.9890369350341266,1.63303336722791,1113.001708984375,205.2215576171875,544.556396484375,514.967529296875,176.79408264160156,678.7684936523438,272.5997314453125,901.5443115234375,861.4669799804688,472.7652587890625,1074.7073974609375,41.71650314331055,942.1088256835938,437.16741943359375,172.144287109375,902.1094970703125,484.106689453125,1011.4893188476563,723.7300415039063,831.7243041992188,0.27450981736183167,0.27843138575553894,0.27843138575553894,0.2666666805744171,0.2549019753932953,0.26274511218070984,0.27843138575553894,0.2705882489681244,0.26274511218070984,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,39.17498779296875,-41.59955596923828,-10.987107276916504,39.33404541015625,-42.35700225830078,-10.974235534667969,40.208221435546875,-44.56990051269531,-11.229227066040039,41.747161865234375,-46.38444900512695,-10.99791145324707,42.1800537109375,-46.71955108642578,-10.858916282653809,40.792724609375,-46.283206939697266,-13.96943187713623,40.9967041015625,-46.25380325317383,-13.510759353637695,40.08489990234375,-43.83737564086914,-12.359396934509277,40.1270751953125,-42.28076934814453,-11.647686958312988,39.60894775390625,-41.3432731628418,-11.139318466186523,11.472793905583766,9.673586085159785,1.0,0.012022900763358779,3.0,0.0,29.7,108
L-1:8,1.0,15.559147725520926,23.788235729404573,24.367221986293895,14.597660312638638,5.798706752371604,4.885872757681261,1.6370080144708954,1.9837973194753167,5.106482995176031,1323.3125,96.10142517089844,1035.2479248046875,985.3037719726563,323.370361328125,1109.6461181640625,332.31494140625,1737.321044921875,1305.0604248046875,1531.96240234375,1905.9530029296875,114.28910827636719,1444.9481201171875,959.1600952148438,271.7529602050781,888.1869506835938,164.2955322265625,1730.3887939453125,807.6635131835938,576.5145263671875,0.2666666805744171,0.2705882489681244,0.25882354378700256,0.250980406999588,0.25882354378700256,0.2666666805744171,0.26274511218070984,0.2862745225429535,0.26274511218070984,0.26274511218070984,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,39.711639404296875,-44.134029388427734,-10.43018627166748,40.2779541015625,-45.88059997558594,-10.48074722290039,41.8515625,-47.82014083862305,-10.509822845458984,43.7130126953125,-49.53530502319336,-10.485703468322754,45.03070068359375,-50.897640228271484,-10.557608604431152,45.03070068359375,-50.897640228271484,-10.557608604431152,45.563751220703125,-50.997833251953125,-10.80101490020752,40.651611328125,-44.914119720458984,-11.868785858154297,39.457275390625,-43.57640075683594,-11.018709182739258,39.368072509765625,-43.357337951660156,-10.479485511779785,8.325412902673357,18.31375253310138,1.0,0.007992838671175652,10.75,4.93,22.96,108
L-1:9,3.092329219213245,1.9065487674905837,2.500390558751187,4.941692868972896,5.578686886290105,2.3048861143232218,2.9671953681763705,2.9220795088209828,3.6574037551152303,2.8426143983932297,1186.638671875,141.71591186523438,521.2548217773438,508.9342041015625,524.30224609375,857.71875,373.5526428222656,1386.95751953125,1137.528564453125,811.5633544921875,1874.1051025390625,95.45944213867188,1230.1483154296875,872.5173950195313,369.3818359375,1239.1981201171875,218.6510009765625,1338.20751953125,963.5596313476563,684.6466064453125,0.2549019753932953,0.2705882489681244,0.2549019753932953,0.26274511218070984,0.27450981736183167,0.27843138575553894,0.27450981736183167,0.2666666805744171,0.2549019753932953,0.25882354378700256,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,43.56005859375,-46.86309814453125,-11.181498527526855,41.64111328125,-46.73286819458008,-14.305395126342773,42.019378662109375,-47.063133239746094,-14.535248756408691,42.65509033203125,-47.53412628173828,-14.466543197631836,43.1104736328125,-48.15788269042969,-14.290177345275879,43.16461181640625,-48.48552703857422,-13.97476863861084,42.724700927734375,-48.377471923828125,-13.471220016479492,42.724700927734375,-48.377471923828125,-13.471220016479492,42.540679931640625,-47.898983001708984,-12.794816017150879,42.945098876953125,-47.32890319824219,-11.898748397827148,10.0,9.055058745884121,1.0,0.009102363154087292,0.75,0.0,21.57,100
L-1:10,4.670385423067351,4.35104141186665,8.608673018126687,12.99159133650974,9.534432843274093,5.798706752371601,5.043718189670947,3.110725134270102,2.8999710989198553,2.0290049552838085,1197.2889404296875,147.6571807861328,1115.0457763671875,733.2988891601563,633.7492065429688,1118.0360107421875,450.8674011230469,1448.2735595703125,1444.7376708984375,400.917724609375,810.0763549804688,176.4774169921875,1286.5433349609375,922.4884033203125,326.4969787597656,1785.1492919921875,268.55230712890625,1759.4365234375,1069.2174072265625,878.9111328125,0.2666666805744171,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2666666805744171,0.27450981736183167,0.2666666805744171,0.26274511218070984,0.25882354378700256,0.26274511218070984,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,40.76068115234375,-45.707584381103516,-12.768783569335938,41.63946533203125,-46.32105255126953,-12.682849884033203,42.85479736328125,-46.857906341552734,-12.503131866455078,43.689544677734375,-47.50006866455078,-12.15813159942627,44.072052001953125,-47.287315368652344,-11.800027847290039,41.565582275390625,-46.622867584228516,-13.700234413146973,41.102752685546875,-46.25611877441406,-13.495650291442871,40.81048583984375,-45.64410400390625,-13.17451000213623,40.81048583984375,-45.64410400390625,-13.17451000213623,40.41455078125,-45.303375244140625,-12.914993286132813,1.25,10.908673335683199,1.0,0.00849340175953079,3.0,0.0,19.86,4
