Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.118033988749895,8.447508936971625,6.509143543402014,2.4772599944629965,5.9971619838460875,12.529964086141668,3.4426222301698703,9.539689573549568,4.153450045446915,6.32713716225854,534.4254760742188,14.259241104125977,689.7083740234375,336.7823181152344,292.1457214355469,649.3570556640625,148.0160369873047,599.2538452148438,606.89990234375,550.3529663085938,2196.354248046875,1147.5299072265625,811.193603515625,438.7278137207031,9.20807933807373,542.2544555664063,535.8887329101563,801.7625732421875,550.8995361328125,593.8975219726563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.06666667014360428,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301162633521313,5.287135010301965,1.0,0.017776679841897233,0.0,0.0,17.99,32
L-1:2,14.508618128546908,11.173221537968791,5.144030563858843,1.634722724992546,21.121500087087703,15.572411502397436,2.618473802218281,3.3559709902421617,7.2909680625375195,8.913561546787488,517.3772583007813,32.854637145996094,799.0165405273438,493.8464050292969,249.42678833007813,952.76025390625,765.6640014648438,72.69377899169922,322.8385314941406,389.6397399902344,902.7909545898438,52.553016662597656,669.4068603515625,228.6933135986328,55.10902404785156,681.0665283203125,374.1310729980469,688.4417724609375,444.4053039550781,268.3363952636719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.06666667014360428,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.670832032063167,0.8251704774480227,1.0,0.021811167227833893,8.0,0.0,22.21,100
L-1:3,22.699118925632334,1.860386203911663,5.39828081472737,10.130288333547147,5.812582610541874,17.804493814764857,5.495089470307335,5.322854607918914,3.1197720754727176,7.88850172069628,494.4051818847656,66.9444351196289,716.8377685546875,174.8533477783203,136.76864624023438,743.0682983398438,217.04225158691406,863.35986328125,420.9931640625,849.24951171875,3330.210205078125,1699.540283203125,640.4857788085938,350.59307861328125,208.8587646484375,505.4525146484375,285.5820617675781,447.4027099609375,191.4674072265625,36.250125885009766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.184481458489364,1.0,0.013730073244291253,2.5,0.0,18.21,36
L-1:4,6.576473218982953,3.5060296226830396,10.169269256516458,16.3521759165684,17.03841990638179,12.539936203984453,8.540980333209136,2.4059967078710787,4.524594736638788,6.474959782006507,1378.7818603515625,198.51910400390625,1116.7406005859375,1163.799072265625,58.890708923339844,2203.746826171875,481.8310852050781,1498.6314697265625,1128.35302734375,1020.65087890625,1399.7696533203125,42.758522033691406,1347.8701171875,950.5414428710938,327.2638244628906,415.1597900390625,661.396484375,1702.9700927734375,200.6148223876953,680.734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.06666667014360428,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.552262062252307,12.466955464625316,1.0,0.013056426332288401,13.0,6.48,11.9,0
L-1:5,13.647344063956181,6.576926815980173,3.319112494349114,3.6602667824475774,1.6713990166845734,1.5,5.364562688351307,2.4421844603652834,15.718733404257128,14.48756959778892,1558.5113525390625,191.49789428710938,1527.7083740234375,699.7548828125,431.84930419921875,1754.626708984375,192.2269744873047,834.8685302734375,1014.165283203125,866.1397705078125,1321.6324462890625,91.26300811767578,1600.7021484375,1793.2935791015625,7.305554463528097E-4,314.6204833984375,471.0244140625,1703.014404296875,977.386962890625,794.9293212890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.716990566028302,11.15842247826408,1.0,0.011441902468392533,9.0,0.0,10.86,0
L-1:6,10.700467279516348,11.915500472590551,9.61345121478138,2.5797783487546933,5.937451200005583,3.605551275463989,7.621594193592299,11.749501129001409,6.750338534525378,2.4503053835034723,2787.56982421875,45.24459457397461,1585.281494140625,1561.9932861328125,468.5133056640625,2149.94384765625,219.70872497558594,343.68743896484375,493.7568054199219,683.1010131835938,1773.6424560546875,200.82119750976563,1611.8778076171875,762.6656494140625,574.9389038085938,1745.9674072265625,899.2013549804688,1977.1116943359375,2214.435546875,990.619873046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.06666667014360428,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.547511554864494,16.283949610876938,1.0,0.010090909090909091,8.5,0.0,11.1,0
L-1:7,22.677080940897135,7.226608435551031,0.8689025324201414,4.138748749381123,9.792037364624989,7.211102550927978,2.4145378393550594,27.473065089990367,40.134228968886546,34.62975411535421,2185.8623046875,401.0074462890625,1578.4093017578125,696.6998291015625,661.494873046875,1506.02197265625,650.8113403320313,1519.3731689453125,1962.5223388671875,1358.7325439453125,1679.14453125,155.9730682373047,675.1520385742188,992.1991577148438,29.135936737060547,1713.619873046875,610.7582397460938,1816.2803955078125,1099.505859375,1212.6773681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64331697709324,22.053361191938436,1.0,0.011593521421107627,17.0,0.0,12.68,0
L-1:8,13.238202294873727,5.111702729049846,4.9988304337947325,15.664206138244758,14.610894477782086,4.924428900898052,11.00377766046622,8.460322333341301,14.708641960644982,9.55241105555901,1466.047119140625,187.0362091064453,1446.843994140625,821.4981079101563,152.65396118164063,1439.0950927734375,423.44921875,1209.7633056640625,1192.0096435546875,1253.3974609375,1876.9559326171875,702.4500732421875,858.3004760742188,883.2762451171875,207.6942596435547,2051.826416015625,898.1637573242188,2438.307861328125,1593.8297119140625,1158.7718505859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.06666667014360428,0.20000001788139343,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.715374513859981,2.825571870329565,1.0,0.009243589743589744,8.5,3.3,11.33,0
L-1:9,10.51189802081432,10.52541653523247,5.7646896492554545,8.31579908235855,3.4141856575326823,5.408326913195984,4.129969897922889,5.191348000452374,19.917765299209123,16.62926906294116,460.91082763671875,20.2136173248291,834.5814208984375,583.6694946289063,615.4371337890625,1184.718994140625,17.38421630859375,1045.4342041015625,1167.324462890625,839.3638305664063,1913.924072265625,178.50123596191406,741.7528686523438,2435.5546875,132.8249053955078,2106.41064453125,1152.181640625,2264.958251953125,1006.6834106445313,924.5662841796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.309805131469695,12.061860654599469,-1.0,0.010997267759562841,15.5,0.0,12.65,0
L-1:10,12.509996003196804,1.685494256122296,7.179095361761514,3.6069913604021364,8.310379502229022,3.605551275463989,8.987683824771986,12.818629170241943,5.872609146497828,19.3893270161432,1426.8558349609375,237.654296875,1376.091796875,526.489990234375,491.39495849609375,1022.6431274414063,583.27783203125,1026.46875,1258.0667724609375,1046.723388671875,1225.71435546875,355.3250427246094,863.6597900390625,959.2114868164063,497.57061767578125,2461.551025390625,165.1678924560547,109.36013793945313,844.0176391601563,672.3466796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.180339887498949,1.038768855769356,1.0,0.01041161616161616,10.0,0.0,11.78,0
