Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.8768880980952147,1.9550547773797957,12.785288241515092,8.038636378754717,0.8871558592491942,5.2759231480598485,5.146425835009145,3.817112606763938,1.5327653131431418,6.663982372338574,692.14990234375,81.35421752929688,549.2532958984375,323.1067199707031,180.12237548828125,256.6165771484375,284.4363098144531,640.4781494140625,367.24151611328125,393.2462463378906,400.6685791015625,0.042361851781606674,1166.2852783203125,151.8375244140625,183.93417358398438,825.0504150390625,124.2531967163086,966.3754272460938,687.4974975585938,484.03021240234375,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.05098039656877518,0.03529411926865578,0.0313725508749485,0.03529411926865578,43.0,-41.0,2.0,44.0,-41.0,3.0,45.0,-40.0,2.0,44.0,-40.0,1.0,42.0,-42.0,-1.0,41.0,-43.0,-2.0,43.0,-43.0,0.0,42.0,-42.0,0.0,42.0,-42.0,1.0,42.0,-41.0,2.0,12.698235895629152,4.398041097813084,1.0,0.018375777317145396,2.495667278766632,0.0,35.46,68
L-1:2,1.493286622214578,0.3908604209119802,2.014073825371841,8.451681786982865,1.996604224675739,3.64726422717796,6.107285358531866,4.44772492065809,3.708276713460938,2.9617597866044116,1599.0054931640625,152.64622497558594,893.5439453125,659.1299438476562,576.9814453125,1440.4971923828125,282.5297546386719,963.0353393554688,1035.1275634765625,681.904296875,824.012939453125,41.20743179321289,14.17163372039795,125.88829803466797,265.01544189453125,757.3521118164062,160.27923583984375,884.0240478515625,792.7066650390625,684.5633544921875,0.625,0.9125000238418579,1.1750000715255737,1.1750000715255737,1.1750000715255737,1.1750000715255737,1.1750000715255737,0.9125000238418579,0.9125000238418579,0.625,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.05098039656877518,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.02352941408753395,44.0,-40.0,0.0,49.0,-34.0,4.0,49.0,-34.0,3.0,49.0,-35.0,1.0,44.0,-40.0,-3.0,43.0,-41.0,-4.0,43.0,-42.0,-4.0,42.0,-41.0,-2.0,42.0,-41.0,-1.0,42.0,-41.0,0.0,1.941074550151825,8.148953489394271,1.0,0.0128791897757415,1.6637781858444214,0.0,30.52,76
L-1:3,3.9215627920028076,0.8976556800849992,6.898247014109904,2.468345658228874,2.4322601700035866,0.7843125584005616,0.9003175928195362,3.531075518201782,0.4041348902375302,1.0200530708585047,986.9812622070312,4.830756664276123,622.0924072265625,545.0426025390625,93.7943115234375,877.4476928710938,103.36622619628906,673.9758911132812,200.7078857421875,223.34078979492188,712.2947998046875,55.64481735229492,513.5208740234375,652.6696166992188,185.24644470214844,622.6881103515625,276.49224853515625,612.5770263671875,696.8220825195312,512.665283203125,1.0500000715255737,1.0500000715255737,1.0500000715255737,1.0500000715255737,1.0500000715255737,1.0500000715255737,1.3125,1.0500000715255737,1.0500000715255737,1.0500000715255737,0.03921568766236305,0.03529411926865578,0.0470588281750679,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.05098039656877518,0.04313725605607033,0.03529411926865578,0.03921568766236305,50.0,-32.0,0.0,54.0,-30.0,2.0,54.0,-30.0,1.0,52.0,-32.0,0.0,49.0,-35.0,-2.0,46.0,-38.0,-4.0,43.0,-39.0,-7.0,44.0,-38.0,-5.0,45.0,-36.0,-3.0,48.0,-33.0,-1.0,10.559130968230823,8.963064410440312,1.0,0.01597952178030303,1.941074550151825,0.0,38.57,36
L-1:4,1.3864818215370178,1.4682993280781422,8.69100568099212,12.23510152818056,1.4907792089115106,1.493286622214578,3.0210985516670434,5.317889304782214,15.09095264557222,15.636085160688388,1477.4168701171875,99.13124084472656,1409.25732421875,845.4227905273438,211.1267852783203,1105.3819580078125,255.3806915283203,1113.2613525390625,571.244140625,428.1481628417969,396.0962829589844,46.76793670654297,623.327880859375,619.3341674804688,594.6263427734375,1134.93115234375,39.003658294677734,1433.5667724609375,1027.16015625,518.2891845703125,0.675000011920929,0.675000011920929,0.675000011920929,0.675000011920929,0.675000011920929,0.6875,0.9375,0.9375,0.675000011920929,0.675000011920929,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.027450982481241226,0.03529411926865578,0.03921568766236305,0.027450982481241226,0.02352941408753395,43.0,-39.0,2.0,44.0,-38.0,2.0,45.0,-38.0,1.0,45.0,-39.0,1.0,43.0,-41.0,0.0,42.0,-42.0,0.0,40.0,-42.0,-1.0,40.0,-42.0,-1.0,40.0,-41.0,0.0,42.0,-39.0,2.0,18.10089055978137,3.400550499555383,1.0,0.009840337008529229,1.3864818215370178,17.19,27.03,36
L-1:5,3.6155022502935505,12.773637866797797,7.351750104757558,7.84652347757714,0.5494464104651225,2.5565461585777918,4.087274433876898,1.5587277680763525,8.038733831711655,8.007854781016412,1590.5523681640625,3.8387269973754883,800.6953125,793.3031005859375,500.52349853515625,1415.855224609375,303.2413024902344,697.6688232421875,589.6969604492188,578.7383422851562,810.8609619140625,72.13553619384766,692.7081298828125,518.0873413085938,489.2220458984375,1429.7738037109375,531.442138671875,1434.6944580078125,719.2677001953125,712.9683227539062,0.862500011920929,0.862500011920929,0.862500011920929,1.1375000476837158,1.1375000476837158,1.1375000476837158,1.1375000476837158,0.875,0.862500011920929,0.862500011920929,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.0470588281750679,0.03529411926865578,0.0313725508749485,0.02352941408753395,47.0,-36.0,0.0,49.0,-34.0,0.0,49.0,-34.0,0.0,47.0,-35.0,-1.0,42.0,-40.0,-5.0,42.0,-41.0,-5.0,41.0,-41.0,-5.0,41.0,-41.0,-3.0,43.0,-38.0,-2.0,45.0,-37.0,-2.0,22.906760998510975,3.4628474569180336,1.0,0.010616789280084077,3.050260007381439,0.0,23.09,76
L-1:6,2.5565461585777918,3.7411880758681937,1.390064594112217,3.399331231891965,1.5575427433897324,6.660887245759844,10.81203518015555,2.1231323273020237,4.781633478947013,4.465322096208432,838.3535766601562,122.74515533447266,600.1873168945312,435.7898254394531,574.886474609375,1487.3905029296875,239.48609924316406,995.4288330078125,1006.6908569335938,579.4204711914062,918.6678466796875,42.984134674072266,769.8931274414062,689.0281372070312,384.6635437011719,1978.1173095703125,168.88552856445312,1210.2003173828125,1160.2271728515625,676.4798583984375,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,1.0,1.0,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.02352941408753395,44.0,-36.0,0.0,45.0,-36.0,-1.0,45.0,-36.0,-1.0,45.0,-36.0,-2.0,43.0,-37.0,-3.0,40.0,-40.0,-4.0,39.0,-40.0,-3.0,40.0,-39.0,-2.0,41.0,-38.0,-1.0,43.0,-37.0,-1.0,15.41179166514666,1.9523982733876257,1.0,0.010405514536225196,0.27729636430740356,0.0,25.77,36
L-1:7,1.9996125200201718,6.066133695627388,2.702077577496862,4.538143587590188,2.568981872004246,4.19625543403948,0.5798159996582168,1.2993461998024693,0.6834853871253858,2.800870923880892,987.2788696289062,335.7425231933594,591.6839599609375,609.2288208007812,86.4538345336914,490.1414794921875,191.70411682128906,577.094970703125,561.52197265625,525.7561645507812,803.2625122070312,22.491722106933594,1013.3804321289062,458.1894226074219,236.31951904296875,751.2347412109375,161.16134643554688,646.1051025390625,493.04571533203125,480.25152587890625,0.6875,0.6875,0.6875,0.6875,0.949999988079071,0.6875,0.9625000357627869,0.6875,0.6875,0.6875,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.02352941408753395,44.0,-36.0,-1.0,45.0,-36.0,-1.0,45.0,-37.0,-2.0,44.0,-37.0,-3.0,42.0,-38.0,-3.0,40.0,-40.0,-3.0,43.0,-37.0,-1.0,43.0,-37.0,0.0,43.0,-38.0,0.0,43.0,-37.0,-1.0,11.910839176951487,3.1856937614649725,1.0,0.014343367714080115,0.5545927286148071,0.0,34.17,32
L-1:8,17.981552094642122,17.536189051758623,12.58465242944655,8.979949722821473,7.301939650994978,6.660887245759844,1.8460309027159791,1.2698141554531441,11.106739091334987,5.079549795272024,796.845947265625,294.8247375488281,605.0396728515625,656.3883056640625,507.4325256347656,1064.506591796875,284.51239013671875,678.9878540039062,511.7196044921875,569.7275390625,473.2715148925781,1.2413513660430908,310.82452392578125,243.45213317871094,525.1183471679688,547.5946044921875,381.5621643066406,770.7410888671875,583.0980224609375,387.4482421875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.675000011920929,0.9375,0.9375,0.0313725508749485,0.0313725508749485,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.027450982481241226,47.0,-35.0,1.0,48.0,-35.0,0.0,48.0,-35.0,0.0,46.0,-35.0,0.0,44.0,-36.0,-2.0,44.0,-36.0,-2.0,43.0,-36.0,-1.0,43.0,-36.0,0.0,42.0,-38.0,-1.0,43.0,-38.0,0.0,11.105710735815123,8.829882071594351,1.0,0.015504132231404956,6.377816379070282,4.67,32.16,0
L-1:9,1.6637781858444214,1.901438617370715,2.900242662245285,4.97373920713143,1.3103490530936823,0.0,2.2673545569185314,1.2745892619235408,2.1259070186663074,1.7611039546121539,662.0455322265625,32.81864929199219,841.0515747070312,489.8341064453125,328.6240539550781,999.940673828125,212.7663116455078,499.9159851074219,588.568115234375,272.0962829589844,754.5158081054688,5.81166410446167,1193.4945068359375,939.1426391601562,402.4744567871094,1022.3699951171875,73.42274475097656,1088.7877197265625,1088.470458984375,783.0470581054688,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,43.0,-35.0,0.0,44.0,-35.0,0.0,44.0,-35.0,0.0,43.0,-35.0,0.0,43.0,-35.0,-1.0,42.0,-35.0,0.0,41.0,-35.0,0.0,40.0,-37.0,-1.0,40.0,-37.0,0.0,42.0,-36.0,0.0,10.710964676344124,6.672771526147599,1.0,0.013281040493429874,0.8318890929222107,0.0,28.3,0
L-1:10,3.8920399420672114,0.11513286384997448,6.4122155588667535,11.932144625935246,2.415034665188925,5.180323590923486,6.169467116801691,0.8434231660189359,2.495677096763682,2.7702453025932128,1256.9638671875,65.4692153930664,897.6270141601562,467.0535583496094,198.82264709472656,1024.219970703125,50.54033660888672,883.5867309570312,1083.5093994140625,362.3131103515625,908.8829956054688,92.63140106201172,950.786376953125,517.2323608398438,272.99713134765625,813.767333984375,347.941162109375,1052.7239990234375,1031.842529296875,816.3211669921875,0.6500000357627869,0.6500000357627869,1.1875,1.1875,1.1875,1.1875,1.1875,0.925000011920929,0.925000011920929,0.925000011920929,0.02352941408753395,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.05098039656877518,0.05098039656877518,0.03921568766236305,0.0313725508749485,0.03529411926865578,41.0,-37.0,0.0,41.0,-36.0,0.0,44.0,-32.0,0.0,42.0,-35.0,-2.0,39.0,-38.0,-5.0,39.0,-39.0,-5.0,39.0,-40.0,-4.0,38.0,-40.0,-4.0,39.0,-39.0,-2.0,40.0,-38.0,-1.0,7.4509693048053345,4.587189734052444,1.0,0.011529814271749756,1.1091854572296143,0.0,26.96,0
