Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.2356347617123817,1.3296255194471356,5.957675879739363,5.314343494054804,15.64299268989026,5.60797190846786,6.3802245877904475,1.6200388686711689,2.865423069000863,2.96039721504717,1187.0240478515625,23.95012855529785,1077.632568359375,639.6876220703125,152.5489959716797,899.5787353515625,185.3921661376953,1324.68359375,981.3096923828125,546.83642578125,1211.915771484375,53.9487419128418,956.20556640625,950.3995971679688,347.82623291015625,1166.83642578125,529.82080078125,1574.0833740234375,862.6781005859375,684.9388427734375,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.675000011920929,0.9625000357627869,0.9625000357627869,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,300.0,-42.0,-1.0,301.0,-41.0,-1.0,300.0,-41.0,0.0,298.0,-42.0,-1.0,296.0,-44.0,-3.0,295.0,-45.0,-4.0,294.0,-46.0,-4.0,293.0,-45.0,-4.0,297.0,-45.0,-3.0,298.0,-43.0,-2.0,16.642402822804513,5.172166618890503,1.0,0.009888247112004018,2.2183709144592285,0.0,22.5,36
L-1:2,4.436741828918457,8.596269346085966,3.1911598529288847,1.6091272236944223,6.157156394400575,4.514057766510929,2.2554032300161118,1.7811133572954987,8.317815423098395,9.892802227412027,1994.1190185546875,96.40833282470703,1166.143798828125,657.9617919921875,371.63543701171875,1832.3905029296875,236.17282104492188,2372.58544921875,814.8588256835938,501.8240966796875,1658.31689453125,58.431514739990234,2050.821533203125,1651.144775390625,787.599609375,1235.027587890625,365.0534973144531,1903.152099609375,1490.2022705078125,916.017578125,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.699999988079071,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.027450982481241226,299.0,-44.0,-1.0,300.0,-43.0,0.0,298.0,-45.0,-2.0,298.0,-45.0,-2.0,297.0,-46.0,-3.0,296.0,-47.0,-3.0,296.0,-47.0,-3.0,295.0,-48.0,-4.0,297.0,-45.0,-2.0,299.0,-44.0,-1.0,23.542444998929394,3.382422028380153,1.0,0.007257621532546004,1.941074550151825,0.0,15.1,96
L-1:3,1.6637781858444214,1.4412546940310988,0.7378241503511179,3.8317767866618855,7.092713216180279,10.570048563049534,10.53591320358197,5.927237851970729,10.946512509894,12.799704638481098,1767.7945556640625,281.0955810546875,999.83544921875,626.5611572265625,633.5239868164062,2081.31396484375,88.42061614990234,1752.5953369140625,1429.76318359375,1129.0592041015625,1768.1572265625,256.2267150878906,1300.929443359375,678.462646484375,930.7310791015625,2437.7822265625,308.3526916503906,2736.568115234375,1604.6932373046875,630.9535522460938,0.6875,0.6875,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.6875,0.027450982481241226,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.0470588281750679,0.0470588281750679,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.02352941408753395,301.0,-43.0,0.0,301.0,-43.0,0.0,302.0,-42.0,0.0,301.0,-43.0,0.0,301.0,-43.0,0.0,299.0,-46.0,-2.0,298.0,-47.0,-2.0,298.0,-47.0,-2.0,300.0,-44.0,-1.0,300.0,-44.0,-1.0,2.2183709144592285,3.8732752812116615,1.0,0.006632165605095541,4.714038193225861,0.0,13.09,36
L-1:4,10.871290705914651,0.4544394407052191,3.644511038858051,0.6269383302130573,3.463587777333513,4.159445464611044,10.675883721367256,9.470910705331917,9.806161291443448,13.085977329238272,2364.01953125,440.84210205078125,1277.495361328125,847.392578125,583.6572875976562,1463.10302734375,282.9087829589844,1277.4239501953125,1236.42041015625,974.90283203125,2023.9482421875,502.69097900390625,2155.725830078125,1190.52880859375,1345.337646484375,2691.34716796875,1096.449462890625,2449.040283203125,2087.112548828125,1423.1636962890625,0.6875,0.6875,0.6875,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.6875,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.0313725508749485,297.0,-46.0,-2.0,297.0,-45.0,-2.0,296.0,-46.0,-2.0,294.0,-48.0,-4.0,293.0,-50.0,-6.0,293.0,-50.0,-6.0,294.0,-50.0,-5.0,294.0,-50.0,-5.0,297.0,-46.0,-2.0,297.0,-46.0,-2.0,15.180551411372992,14.932127908153905,1.0,0.0074002217294900224,10.814558207988739,0.68,13.35,100
L-1:5,4.445398894377512,10.270704696931087,1.448659871326151,8.541298863836296,5.718702492006845,1.3864818215370178,0.8771737930383866,2.116588576666768,6.343608484132386,3.059048817901461,2294.373046875,205.91152954101562,1059.5789794921875,551.2639770507812,1116.3447265625,3245.40283203125,11.250686645507812,1886.948974609375,1715.6748046875,806.7185668945312,1940.8616943359375,121.10163116455078,964.4719848632812,382.0751953125,383.6172180175781,1940.633056640625,589.186279296875,2538.135498046875,1683.8486328125,1515.06689453125,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.9125000238418579,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.027450982481241226,0.02352941408753395,0.0313725508749485,297.0,-45.0,-1.0,297.0,-45.0,-1.0,297.0,-46.0,-1.0,297.0,-46.0,-1.0,295.0,-47.0,-2.0,295.0,-47.0,-2.0,294.0,-48.0,-4.0,294.0,-48.0,-4.0,296.0,-46.0,-2.0,296.0,-46.0,-2.0,17.612139731923335,3.3183768525694948,1.0,0.005936935580975316,0.5545927286148071,0.0,11.27,36
L-1:6,2.895059037175817,5.031596385388861,2.025001302197317,9.02832958627574,3.5073152889311907,7.29452845435592,11.417116270889032,1.907143180813959,10.324480838853125,12.77691807014296,2156.57373046875,198.62205505371094,1737.5899658203125,1415.9342041015625,88.14276123046875,167.6214599609375,212.60650634765625,1433.1632080078125,1900.4503173828125,1082.948486328125,2572.531494140625,594.7993774414062,2335.35546875,1343.17041015625,1125.0784912109375,1695.791748046875,445.9819641113281,2651.281494140625,1732.8856201171875,826.493896484375,0.637499988079071,0.637499988079071,0.5250000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.637499988079071,0.027450982481241226,0.027450982481241226,0.01568627543747425,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.02352941408753395,293.0,-48.0,-3.0,294.0,-48.0,-3.0,292.0,-48.0,-4.0,291.0,-50.0,-5.0,290.0,-52.0,-7.0,290.0,-52.0,-7.0,290.0,-52.0,-6.0,290.0,-52.0,-6.0,292.0,-49.0,-4.0,292.0,-49.0,-4.0,10.667804132716082,5.8790854810895485,1.0,0.005541461122856472,0.5545927286148071,0.0,13.48,0
L-1:7,2.165753839461992,2.5458098935373683,1.1346822846302618,8.405383139256571,5.0183566353743165,6.0562440121675865,10.667361545349607,5.537885172318822,1.9803614641643612,1.332136195368387,1612.8492431640625,146.8268280029297,1114.535400390625,853.3114013671875,543.8908081054688,1003.3411254882812,274.9668273925781,1269.503173828125,933.041748046875,647.2352905273438,1412.535888671875,231.30946350097656,1332.461181640625,1006.4893798828125,213.70481872558594,1468.729736328125,199.2050323486328,1484.1700439453125,1149.347412109375,769.1138916015625,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.9625000357627869,0.6875,0.9625000357627869,0.02352941408753395,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.02352941408753395,0.0313725508749485,298.0,-47.0,-1.0,299.0,-46.0,0.0,299.0,-46.0,0.0,299.0,-46.0,0.0,298.0,-47.0,0.0,297.0,-48.0,-1.0,297.0,-48.0,-1.0,297.0,-47.0,0.0,298.0,-46.0,1.0,298.0,-47.0,-1.0,15.960808739825795,3.317559339985557,1.0,0.008151315789473684,3.6048527359962463,0.0,19.47,0
L-1:8,7.326083879765286,7.648878970742674,12.445438042485383,3.5172174136121193,10.067322237175183,3.4299665989175394,11.821687666415272,16.347873403707005,12.715378772891375,12.82882835427671,2394.554443359375,346.9919128417969,1931.642578125,1995.01220703125,1056.774169921875,2260.753173828125,238.38999938964844,1490.932861328125,977.6968994140625,1106.5654296875,896.7435913085938,27.459867477416992,1338.0689697265625,485.3538818359375,666.6884155273438,1684.7174072265625,587.3886108398438,2387.791748046875,1720.8289794921875,1145.69580078125,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,1.1375000476837158,1.1375000476837158,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.0313725508749485,0.03529411926865578,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.027450982481241226,296.0,-47.0,0.0,296.0,-47.0,0.0,296.0,-47.0,0.0,296.0,-47.0,-1.0,295.0,-49.0,-1.0,291.0,-51.0,-3.0,292.0,-51.0,-3.0,293.0,-49.0,-1.0,293.0,-49.0,-1.0,295.0,-47.0,0.0,13.269724815423219,15.939994338897026,1.0,0.007008900190718372,0.8318890929222107,4.61,18.9,0
L-1:9,7.808736518213218,10.808542375413827,10.725262393978209,18.52040502362858,7.457827260161882,2.1118261936461646,1.717132944390881,10.546016233847343,6.068541112651482,4.22802984890109,1494.2900390625,78.12321472167969,1176.6334228515625,544.7794799804688,1255.87109375,2422.059814453125,327.21112060546875,962.592041015625,1077.531982421875,440.9209289550781,1189.2091064453125,121.15904998779297,1381.9610595703125,737.806640625,579.5254516601562,853.3690185546875,542.2503662109375,1766.486083984375,1436.4268798828125,1014.8300170898438,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.6875,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0470588281750679,0.03529411926865578,0.03529411926865578,0.027450982481241226,0.0313725508749485,290.0,-50.0,-3.0,291.0,-49.0,-3.0,291.0,-50.0,-4.0,289.0,-52.0,-5.0,288.0,-54.0,-6.0,288.0,-54.0,-6.0,289.0,-53.0,-5.0,290.0,-52.0,-4.0,290.0,-52.0,-4.0,294.0,-49.0,-1.0,5.953805434878274,7.055142028885294,1.0,0.008490961488079643,7.487001836299896,0.0,18.52,0
L-1:10,2.3853935211406347,12.372824651949868,15.462620582850066,9.922541191117748,16.704133966052737,4.99903130005043,9.329403007210574,8.241461263429262,11.821819657169334,4.04846161329601,1366.911376953125,197.03176879882812,1888.8975830078125,925.01513671875,62.630271911621094,1267.1236572265625,251.29103088378906,1682.280517578125,1387.808349609375,928.8621215820312,860.0475463867188,13.852531433105469,974.1865234375,784.7786254882812,858.9915771484375,1712.5552978515625,542.2086181640625,1891.450439453125,1372.700439453125,652.3009643554688,0.875,0.875,0.875,0.875,0.875,1.149999976158142,1.149999976158142,0.875,0.875,0.875,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0470588281750679,0.03529411926865578,0.0313725508749485,0.0313725508749485,290.0,-49.0,-2.0,291.0,-48.0,-2.0,291.0,-48.0,-2.0,289.0,-50.0,-3.0,287.0,-52.0,-4.0,286.0,-52.0,-5.0,287.0,-52.0,-4.0,287.0,-52.0,-4.0,288.0,-51.0,-3.0,290.0,-49.0,-2.0,14.166560776972377,4.974240279070197,1.0,0.007612659546756968,7.487001836299896,0.0,16.7,0
