Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.584880859919091,15.554414592095979,6.117907791929604,2.0873091632502656,8.180165025234393,1.4279296071275767,9.868535543961354,11.35025210300242,13.355872094655153,7.116903446973406,1501.0142822265625,83.60956573486328,849.0576171875,20.266626358032227,518.7125854492188,1861.2730712890625,790.2382202148438,2099.50927734375,802.4793090820313,940.5272827148438,1388.8583984375,504.70733642578125,1151.3736572265625,683.0070190429688,36.55161666870117,1276.7020263671875,43.059410095214844,1354.0263671875,1197.2042236328125,1356.451416015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.021568628028035164,0.0313725508749485,0.03333333507180214,0.03529411926865578,0.0313725508749485,0.0313725508749485,323.52423095703125,-47.77816390991211,-11.354869842529297,320.2121276855469,-46.97899627685547,-10.949658393859863,317.9626770019531,-46.101802825927734,-10.530638694763184,317.9626770019531,-46.101802825927734,-10.530638694763184,317.52850341796875,-45.262691497802734,-10.334283828735352,317.09033203125,-44.42443084716797,-9.631692886352539,316.87530517578125,-43.820770263671875,-8.661362648010254,329.0023193359375,-48.40069580078125,-11.945038795471191,329.0023193359375,-48.40069580078125,-11.945038795471191,323.52423095703125,-47.77816390991211,-11.354869842529297,14.7182477909781,5.728312041711568,1.0,0.009236429038587313,4.285714477300644,0.0,16.14,68
L-1:2,2.7295895932506298,10.657535602743218,12.181775866245774,14.548740857821944,18.670236230970414,0.5645689245692141,5.413231404671204,9.827894047087453,6.673872307548546,13.989588976284791,1709.12744140625,369.9327087402344,1776.9808349609375,841.6236572265625,296.3144836425781,1805.5098876953125,84.81045532226563,1136.304931640625,759.2907104492188,560.8571166992188,928.99267578125,85.98294067382813,2228.67236328125,1384.2769775390625,165.60740661621094,1862.387451171875,439.5858154296875,838.6748046875,1429.0142822265625,1305.630615234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.037254903465509415,0.04117647185921669,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.037254903465509415,0.03333333507180214,93.46222686767578,-47.81306838989258,-18.697063446044922,93.46222686767578,-47.81306838989258,-18.697063446044922,87.1854476928711,-47.70627975463867,-18.415855407714844,77.94654846191406,-47.712825775146484,-17.96429443359375,76.78453826904297,-47.723228454589844,-17.421001434326172,76.54266357421875,-47.635257720947266,-16.81319808959961,78.98788452148438,-47.48048782348633,-16.101552963256836,78.98788452148438,-47.48048782348633,-16.101552963256836,95.68146514892578,-47.99931716918945,-19.60247802734375,95.68146514892578,-47.99931716918945,-19.60247802734375,19.94318839598897,13.75805095779204,1.0,0.008965491030708423,1.1428571939468384,0.0,16.85,100
L-1:3,2.838194127460801,6.4838433907037825,13.744991919968522,13.56542580736128,8.594491085438712,3.7745398799962753,3.1121797194476084,9.69018495587923,16.341929514812207,11.65043186245982,1851.9554443359375,511.11004638671875,1258.54638671875,587.4722900390625,283.3896179199219,981.9105834960938,349.77593994140625,1318.2086181640625,1151.1185302734375,477.4333190917969,1065.3057861328125,126.94967651367188,1034.8934326171875,931.9129638671875,229.09117126464844,1311.4344482421875,324.9073181152344,1584.017822265625,1335.0726318359375,1043.673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.0313725508749485,0.037254903465509415,0.03333333507180214,0.04313725605607033,0.03333333507180214,0.03529411926865578,0.03333333507180214,0.03333333507180214,0.0313725508749485,89.6021728515625,-49.23749542236328,-22.30929183959961,100.27667999267578,-49.39368438720703,-22.800884246826172,100.27667999267578,-49.39368438720703,-22.800884246826172,108.4253921508789,-49.500694274902344,-23.32503318786621,110.26927947998047,-49.47220993041992,-24.213109970092773,110.26927947998047,-49.47220993041992,-24.213109970092773,82.36119842529297,-48.891090393066406,-22.2181453704834,82.716552734375,-48.93818283081055,-22.063072204589844,83.85315704345703,-49.06498718261719,-21.98565101623535,83.85315704345703,-49.06498718261719,-21.98565101623535,11.780427717687175,16.068986309643655,1.0,0.009183216783216784,2.857142984867096,0.0,18.76,68
L-1:4,3.163488412882304,2.7284456899722844,10.35613723777557,13.16107868953541,7.480981456054793,3.504987606260921,2.533064884369357,4.158111196099279,2.8347753898064876,12.564944787007796,1616.881591796875,72.86227416992188,1119.381103515625,743.7594604492188,94.11634826660156,1521.531494140625,551.8170166015625,2132.056884765625,1309.3572998046875,836.6539916992188,1194.77099609375,64.44271850585938,206.80442810058594,289.6944274902344,88.37682342529297,1171.5267333984375,78.8229751586914,1266.9085693359375,1106.2115478515625,695.467529296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03333333507180214,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,97.33778381347656,-42.786800384521484,-29.887107849121094,97.71443176269531,-43.02012634277344,-29.819171905517578,97.84815979003906,-43.219051361083984,-29.795820236206055,97.84815979003906,-43.219051361083984,-29.795820236206055,97.87628173828125,-43.253963470458984,-29.556001663208008,97.82685089111328,-43.19491958618164,-28.93253517150879,97.33501434326172,-42.81779479980469,-26.855104446411133,92.79354095458984,-42.01555252075195,-30.421628952026367,93.28480529785156,-42.11678695678711,-30.149545669555664,96.48613739013672,-42.64308166503906,-30.018224716186523,10.193514559817453,10.79057411110902,1.0,0.009103325415676959,5.714285969734192,4.88,24.09,100
L-1:5,10.809149906559867,6.030065329316384,3.738985564129235,9.59653524553656,7.284424913082725,1.703609174647649,1.4125133713056521,4.334400072318373,4.404130613660905,5.523776475621711,1964.662841796875,11.192490577697754,1420.7833251953125,1174.777099609375,899.71728515625,1623.25537109375,509.0031433105469,1441.1822509765625,1989.6177978515625,1269.4442138671875,1443.9486083984375,237.33203125,1773.4498291015625,789.5303344726563,20.82525062561035,1656.01953125,319.4541931152344,1495.061767578125,1424.3714599609375,297.9896240234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.03529411926865578,0.0313725508749485,0.03333333507180214,0.03529411926865578,0.037254903465509415,0.03333333507180214,0.03333333507180214,0.0313725508749485,0.0313725508749485,93.70868682861328,-40.77677536010742,-29.66750144958496,93.78128814697266,-41.10144805908203,-29.676485061645508,93.78128814697266,-41.10144805908203,-29.676485061645508,93.71467590332031,-41.3393669128418,-29.63091468811035,93.30393981933594,-41.46187210083008,-29.191194534301758,93.30393981933594,-41.46187210083008,-29.191194534301758,92.96456909179688,-41.507164001464844,-28.57500457763672,92.41445922851563,-41.54146194458008,-27.722299575805664,93.79037475585938,-40.16954040527344,-30.162979125976563,93.8104019165039,-40.531211853027344,-29.935131072998047,17.28778335643393,4.733844214000479,1.0,0.007456243469174503,2.2857143878936768,0.0,16.31,4
L-1:6,2.7566531737871784,3.388051866903994,8.1227734642459,0.5500984642864158,0.08529158830292495,4.244453728401074,2.779553998981616,9.024117151101459,1.2084713908004334,2.7308240775470463,2199.994384765625,77.50407409667969,1734.06396484375,1320.53173828125,768.77685546875,1381.655029296875,646.7850341796875,1301.2908935546875,1374.980224609375,1034.2608642578125,1345.3782958984375,49.52787780761719,2778.118408203125,1417.327392578125,708.0694580078125,1560.9443359375,560.5728149414063,1534.9666748046875,1113.1627197265625,919.0714721679688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03529411926865578,0.037254903465509415,0.03333333507180214,0.03333333507180214,94.38937377929688,-40.16374206542969,-27.44939422607422,94.13561248779297,-40.120296478271484,-27.779611587524414,93.94063568115234,-40.03150177001953,-28.25335693359375,93.40850067138672,-39.86676788330078,-28.64011573791504,94.59416961669922,-40.55767822265625,-28.379873275756836,94.76979064941406,-40.53509521484375,-28.166263580322266,94.77452087402344,-40.40153503417969,-27.822887420654297,94.77452087402344,-40.40153503417969,-27.822887420654297,94.57960510253906,-40.271942138671875,-27.50971031188965,94.38937377929688,-40.16374206542969,-27.44939422607422,7.563381811868577,4.49530265258046,1.0,0.007089160839160839,0.2857142984867096,0.0,16.22,68
L-1:7,19.805951370673867,10.717745240801921,7.070625871476577,13.28466551451097,12.722391664617328,6.302591514724901,8.841980127785506,5.442303857011861,16.20580881275973,18.884082815697745,1440.197021484375,49.33156204223633,1058.16162109375,539.960205078125,1190.902587890625,1222.599853515625,666.93505859375,1915.7744140625,2078.927490234375,1373.690673828125,2538.752197265625,205.44757080078125,2328.4677734375,3321.944091796875,7.4127302169799805,1715.265625,427.11834716796875,1619.994140625,1556.2205810546875,797.1416015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.037254903465509415,0.037254903465509415,0.037254903465509415,0.037254903465509415,0.037254903465509415,0.03921568766236305,0.03333333507180214,0.029411766678094864,0.03333333507180214,93.55840301513672,-36.46654510498047,-27.257463455200195,93.58808135986328,-36.927947998046875,-27.396095275878906,93.60968017578125,-37.49222946166992,-27.72260856628418,93.61149597167969,-37.98116683959961,-27.905208587646484,93.61149597167969,-37.98116683959961,-27.905208587646484,93.59024810791016,-38.275447845458984,-27.73176383972168,93.59024810791016,-38.275447845458984,-27.73176383972168,93.44007110595703,-38.508758544921875,-27.335399627685547,93.44007110595703,-38.508758544921875,-27.335399627685547,93.46842956542969,-38.884220123291016,-27.303239822387695,25.578997246784766,14.021761795959355,1.0,0.0072239769294149955,8.000000357627869,0.0,15.03,68
L-1:8,10.830060433249516,8.384496977484751,8.13624248506465,7.789298776412579,6.914199290717194,2.388655799929191,3.491279571817097,4.932951478119299,4.237662967654113,3.169885732708983,2286.114990234375,393.6669006347656,1592.5220947265625,926.1741333007813,454.5927734375,1739.9263916015625,555.5511474609375,1418.702880859375,869.0281982421875,733.6250610351563,1272.0787353515625,166.18341064453125,1495.2435302734375,1232.689208984375,589.218505859375,1354.2611083984375,813.2922973632813,1929.1800537109375,1647.55517578125,840.8766479492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03333333507180214,0.03333333507180214,0.03529411926865578,0.029411766678094864,0.037254903465509415,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.027450982481241226,90.15165710449219,-39.07953643798828,-23.354022979736328,90.15165710449219,-39.07953643798828,-23.354022979736328,90.05352783203125,-39.21833801269531,-23.401611328125,89.9661636352539,-39.37425994873047,-23.455150604248047,89.87442779541016,-39.49631118774414,-23.440261840820313,91.14055633544922,-38.859947204589844,-24.50547218322754,91.14055633544922,-38.859947204589844,-24.50547218322754,90.91751861572266,-38.82828903198242,-24.066726684570313,90.5762710571289,-38.87841033935547,-23.63057518005371,90.34554290771484,-38.99569320678711,-23.452713012695313,16.229103415267886,12.594529399000882,1.0,0.008568937456405487,7.4285717606544495,16.96,21.06,96
L-1:9,5.421194713106013,1.762755074895611,8.853931878002308,13.876853738983794,9.006750289116965,1.834012112359216,3.1046708298708254,7.717758821508992,3.138459511608133,1.7413492295497706,1443.1385498046875,43.21149444580078,1023.289306640625,472.4231262207031,276.2593994140625,1029.4659423828125,171.7076416015625,1417.703125,1183.4407958984375,754.9923706054688,1695.2401123046875,381.2356872558594,1449.0274658203125,722.175048828125,130.953857421875,1214.322021484375,255.12225341796875,1557.9376220703125,1373.617919921875,619.418212890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03333333507180214,0.037254903465509415,0.037254903465509415,0.037254903465509415,0.03529411926865578,0.03529411926865578,91.53111267089844,-38.75600814819336,-24.039291381835938,91.67096710205078,-38.84596252441406,-24.074838638305664,91.61451721191406,-37.758087158203125,-25.562070846557617,91.61451721191406,-37.758087158203125,-25.562070846557617,91.74151611328125,-38.01613235473633,-25.456798553466797,91.7303466796875,-38.17127990722656,-25.126848220825195,91.68431091308594,-38.27815246582031,-24.749372482299805,91.52669525146484,-38.447296142578125,-24.352142333984375,91.52669525146484,-38.447296142578125,-24.352142333984375,91.4798583984375,-38.55522918701172,-24.097440719604492,11.920006421197801,9.165216711127815,1.0,0.009253630984400215,2.857142984867096,0.0,19.66,68
L-1:10,2.245247348243452,11.24204828303393,18.554603290604447,19.55057507264118,15.442985372026671,13.616619450165372,15.791075221521,8.910523691373541,8.381394543081017,0.4275341695449013,1298.070068359375,254.52842712402344,1779.420654296875,777.4146728515625,683.015869140625,1556.6378173828125,876.2001953125,1496.982666015625,1228.885986328125,1379.596435546875,1537.565673828125,350.8236389160156,2417.4560546875,1358.337646484375,90.55464172363281,1479.4495849609375,658.0758666992188,1148.71337890625,378.56292724609375,658.090087890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03529411926865578,0.03333333507180214,0.0313725508749485,0.03529411926865578,0.0470588281750679,0.03333333507180214,0.03529411926865578,0.0313725508749485,0.037254903465509415,92.79692077636719,-36.28343200683594,-27.79483413696289,92.88165283203125,-36.36315155029297,-27.703445434570313,93.08940887451172,-36.44997787475586,-27.700733184814453,93.08940887451172,-36.44997787475586,-27.700733184814453,93.21269226074219,-36.41145324707031,-27.462732315063477,93.06413269042969,-36.17300796508789,-26.731626510620117,93.06413269042969,-36.17300796508789,-26.731626510620117,92.62054443359375,-36.01938247680664,-25.90095329284668,92.62054443359375,-36.01938247680664,-25.90095329284668,92.73919677734375,-36.19208526611328,-27.94573402404785,17.277735265518437,7.25300034266673,1.0,0.008637853949329359,5.428571671247482,0.0,16.56,68
