Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,13.370781145234705,16.95761388365082,6.060221493358834,2.930226750566146,10.474939415461519,12.684198771645534,6.407668197760837,10.651719736718482,3.782628500459917,4.511096098819647,1527.52197265625,333.7189636230469,626.8226318359375,399.3435974121094,232.27667236328125,1447.2816162109375,345.06903076171875,1483.4156494140625,1049.8948974609375,820.0510864257813,1458.8450927734375,3.348133087158203,1785.1024169921875,950.4318237304688,771.8002319335938,712.27392578125,505.2421875,2553.246826171875,1780.45849609375,1793.5655517578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,92.1008529663086,-22.659317016601563,5.948895454406738,92.1008529663086,-22.659317016601563,5.948895454406738,92.10721588134766,-22.71825408935547,6.675529956817627,92.10721588134766,-22.71825408935547,6.675529956817627,91.04285430908203,-23.35266876220703,4.8253583908081055,91.04285430908203,-23.35266876220703,4.8253583908081055,92.6758804321289,-22.80240249633789,4.896513938903809,88.10305786132813,-23.745319366455078,4.849479675292969,88.10305786132813,-23.745319366455078,4.849479675292969,89.83343505859375,-23.247190475463867,5.207039833068848,6.936217555610323,13.134954935530267,1.0,0.008521602160216022,0.6666666865348816,0.0,16.23,108
L-1:2,10.79609014888298,17.865058712843126,5.5751964890800325,9.834325547849797,1.8641867082981012,8.339997584015824,13.975489489326023,18.011307029349936,12.103348114303765,5.004132999471591,1760.4954833984375,520.3150024414063,756.54443359375,893.4529418945313,553.1610717773438,1626.9232177734375,494.947021484375,1446.501220703125,1106.3184814453125,497.5058898925781,1400.781494140625,62.861873626708984,785.5916137695313,647.0263061523438,603.5194091796875,989.1008911132813,206.25491333007813,846.0011596679688,1285.22119140625,1013.2506713867188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.07058823853731155,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.0882352963089943,85.1545639038086,-27.378705978393555,2.146888256072998,84.40219116210938,-27.47169303894043,2.454014778137207,83.92971801757813,-27.377811431884766,2.628129005432129,83.92971801757813,-27.377811431884766,2.628129005432129,83.0181884765625,-27.148881912231445,2.252896785736084,84.3570327758789,-26.966224670410156,0.09001529216766357,85.75694274902344,-26.764795303344727,0.6123953461647034,86.02650451660156,-26.886472702026367,0.9275047183036804,85.01487731933594,-27.17378807067871,1.5746506452560425,85.01487731933594,-27.17378807067871,1.5746506452560425,11.493960108924473,17.173652474532588,1.0,0.008556660353535354,0.0,0.0,15.49,32
L-1:3,21.023796668186584,29.62638082660922,17.12620253293002,11.595815653674567,6.3165748793954775,1.6996732218518213,2.2494715165817882,3.9359292694588484,7.265662509928026,4.646010127303174,1410.9986572265625,268.0291748046875,899.213134765625,753.731689453125,298.7876892089844,1352.5010986328125,467.64447021484375,1881.5938720703125,1074.1473388671875,479.03680419921875,1251.9130859375,425.8377990722656,1185.8958740234375,1058.4893798828125,304.0754089355469,1233.4937744140625,352.2919921875,1751.4530029296875,1021.589111328125,1428.7135009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,82.00825500488281,-30.128469467163086,-2.866237163543701,82.00825500488281,-30.128469467163086,-2.866237163543701,82.40435791015625,-29.88427734375,-2.7548751831054688,82.40435791015625,-29.88427734375,-2.7548751831054688,82.72042846679688,-29.66138458251953,-3.0259506702423096,82.1798095703125,-29.3723201751709,-4.422192573547363,82.72494506835938,-29.43581771850586,-3.737520456314087,82.72494506835938,-29.43581771850586,-3.737520456314087,81.65093231201172,-29.812660217285156,-3.4516093730926514,81.58413696289063,-29.993837356567383,-3.219658136367798,8.537499237681095,14.772609329563796,1.0,0.007389725658956427,8.000000238418579,0.0,15.7,100
L-1:4,6.699917280420348,28.234253883961003,17.59854305860262,1.6524396055121464,8.925936594537983,16.234394699670545,3.8423037040602477,2.483012114341563,9.147416046042277,9.845090924815977,1262.0885009765625,349.24822998046875,1388.6929931640625,403.9814453125,226.66787719726563,1627.4779052734375,471.9013366699219,1863.4912109375,595.0733642578125,1147.498779296875,1925.0853271484375,411.2761535644531,1354.52685546875,1100.7083740234375,241.6119842529297,1110.79833984375,646.5186767578125,1322.24853515625,994.975341796875,1046.9619140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.07058823853731155,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.0882352963089943,76.28459167480469,-32.380653381347656,-6.175439834594727,77.1095962524414,-32.1673469543457,-5.626154899597168,76.9674301147461,-32.02101516723633,-5.184489727020264,77.29085540771484,-31.926786422729492,-5.639014720916748,76.86640930175781,-32.53505325317383,-6.608449935913086,77.41748046875,-32.5225715637207,-6.7405619621276855,76.82403564453125,-32.07973098754883,-6.330863952636719,76.1051025390625,-32.168067932128906,-6.10001277923584,75.65345001220703,-32.244598388671875,-5.983102798461914,76.28459167480469,-32.380653381347656,-6.175439834594727,10.005554311391169,13.903338276734745,1.0,0.008525529265255292,5.000000149011612,2.62,19.56,32
L-1:5,5.044248800470843,11.544804041834032,17.66511940529476,1.3201584571825646,1.811390304475835,5.044248800470846,7.13557284992305,0.5594051474148242,3.550517198322129,5.39333307932517,1375.56005859375,117.074951171875,1395.918212890625,559.67724609375,249.13638305664063,855.9380493164063,625.9933471679688,1299.659912109375,799.44287109375,624.1152954101563,1838.3577880859375,582.734375,1215.29248046875,989.416259765625,506.17919921875,678.1431274414063,284.2792053222656,1970.8145751953125,1015.7706909179688,746.2645263671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.07058823853731155,0.10588236153125763,75.66656494140625,-34.076629638671875,-9.938131332397461,76.54598999023438,-33.99237060546875,-9.994547843933105,77.72822570800781,-33.84701156616211,-10.258936882019043,78.18605041503906,-33.95839309692383,-10.714643478393555,78.71375274658203,-34.124046325683594,-11.289088249206543,76.3074722290039,-33.76589584350586,-9.872018814086914,76.12796783447266,-33.82290267944336,-9.605795860290527,76.12796783447266,-33.82290267944336,-9.605795860290527,75.47047424316406,-33.91029357910156,-9.410894393920898,75.47047424316406,-33.91029357910156,-9.410894393920898,5.6666668355464935,7.72015320126982,1.0,0.010422196416721964,4.666666805744171,0.0,17.95,100
L-1:6,12.25651790583951,16.947782148448255,9.440427131240188,3.430134386416674,13.210280676268937,13.106402558159557,2.3849408001042405,1.3756421256504279,4.56480559319119,2.926657245802278,1391.1116943359375,469.52044677734375,994.84375,807.7012329101563,237.67799377441406,1281.140869140625,386.166748046875,1296.501220703125,676.8768310546875,395.393798828125,1096.5926513671875,226.0917510986328,1114.3594970703125,963.9566040039063,689.0166625976563,1216.5391845703125,632.4697265625,1802.46923828125,1168.270751953125,1336.85302734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,73.43875885009766,-33.96929931640625,-9.34593391418457,74.95783996582031,-33.75714874267578,-9.393454551696777,75.58499908447266,-33.72932815551758,-9.335694313049316,75.29999542236328,-34.050437927246094,-10.174483299255371,76.3049545288086,-33.26084518432617,-9.809977531433105,75.03548431396484,-33.464271545410156,-9.671686172485352,73.93988800048828,-33.741600036621094,-9.49709415435791,72.85014343261719,-34.13047409057617,-9.372977256774902,72.85014343261719,-34.13047409057617,-9.372977256774902,73.43875885009766,-33.96929931640625,-9.34593391418457,15.441646889397552,12.821697102443876,1.0,0.010639204545454547,7.000000208616257,0.0,18.19,0
L-1:7,8.359957718469117,8.281271968195876,1.7397694765096978,7.672482065736562,18.80199639561232,7.615773332831641,1.2234836599639394,1.6376126661445052,4.121901012737801,5.830517429913205,930.5615234375,88.45378875732422,631.9695434570313,477.30731201171875,507.8815002441406,1127.0216064453125,114.83816528320313,1512.8328857421875,882.0051879882813,616.49951171875,1608.95166015625,253.9412384033203,1245.437744140625,1069.7652587890625,927.1703491210938,1375.336181640625,700.0195922851563,1773.2662353515625,1259.9703369140625,1231.345947265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,73.72108459472656,-33.09925842285156,-8.4120454788208,74.51636505126953,-32.718570709228516,-8.275948524475098,74.8368911743164,-33.15572738647461,-8.549330711364746,75.1131591796875,-33.13433837890625,-8.90970230102539,74.77973175048828,-33.02667999267578,-8.931329727172852,74.77202606201172,-32.84183883666992,-8.87347412109375,74.04546356201172,-33.02876663208008,-8.74658203125,74.04546356201172,-33.02876663208008,-8.74658203125,73.76753234863281,-33.003761291503906,-8.261138916015625,73.76753234863281,-33.003761291503906,-8.261138916015625,27.698777372877505,9.64202460580409,1.0,0.010045965270684371,2.3333334028720856,0.0,16.86,0
L-1:8,16.363917432527497,20.81917607192375,15.7336360696336,1.5384659755140278,16.824466902095853,10.000000298023224,13.792587648118497,1.599348962761331,6.502437157068863,11.999310318296097,1029.8597412109375,40.45942687988281,672.371337890625,807.4267578125,876.643310546875,1169.925537109375,1.6239876747131348,1340.501220703125,664.3175659179688,438.1708679199219,1597.7374267578125,159.84873962402344,514.779052734375,540.1185302734375,9.085101127624512,1036.7193603515625,150.61920166015625,932.5180053710938,1067.669921875,414.8829040527344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.07058823853731155,77.45643615722656,-34.256900787353516,-11.030041694641113,77.45643615722656,-34.256900787353516,-11.030041694641113,77.39970397949219,-33.885738372802734,-10.875550270080566,77.39970397949219,-33.885738372802734,-10.875550270080566,77.41970825195313,-32.97063446044922,-9.744245529174805,77.41970825195313,-32.97063446044922,-9.744245529174805,78.17471313476563,-32.86844253540039,-9.435694694519043,77.92181396484375,-33.090511322021484,-9.444150924682617,77.28398895263672,-33.291072845458984,-9.306224822998047,78.43089294433594,-34.14427185058594,-11.290629386901855,10.770329935249842,17.20560270850979,-1.0,0.01065909090909091,2.3333334028720856,2.49,16.75,0
L-1:9,2.426703368748233,6.8097110383099455,6.073977922161411,1.444406553953774,4.353904505896006,3.43187681594022,4.943018557759066,5.332007091573682,1.2098798997009064,6.325055530785508,705.202392578125,160.40415954589844,1006.6659545898438,743.9449462890625,643.223388671875,1410.8701171875,355.5946350097656,987.8427734375,1181.01904296875,926.2684936523438,1079.7825927734375,37.30637741088867,500.0369873046875,610.5003662109375,493.44329833984375,1067.37158203125,483.1092834472656,932.9634399414063,1184.773681640625,942.9262084960938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.0882352963089943,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.10588236153125763,75.8316879272461,-34.3866081237793,-8.973668098449707,75.8316879272461,-34.3866081237793,-8.973668098449707,77.15677642822266,-33.97280502319336,-8.97491455078125,78.441650390625,-33.39198303222656,-8.831533432006836,76.77106475830078,-33.3056640625,-8.101442337036133,74.67764282226563,-33.319244384765625,-7.634749889373779,74.3922119140625,-33.35661697387695,-7.460905075073242,74.9438247680664,-33.54979705810547,-7.689261436462402,75.33882904052734,-33.87390899658203,-7.864440441131592,75.7969970703125,-33.996498107910156,-8.125597953796387,5.830952068621208,6.1380441752020936,-1.0,0.011372257053291536,4.0000001192092896,0.0,20.73,0
L-1:10,13.703203602450257,5.5950996786543765,5.251019693874203,9.149829905659807,2.99282258351995,1.666666716337204,6.575263566420486,7.263209192484574,5.876138745339336,6.549469255105454,1446.08349609375,203.9260711669922,1536.865478515625,1408.8367919921875,674.5594482421875,1450.2728271484375,288.6731262207031,1231.046142578125,1297.952392578125,789.1988525390625,1742.56982421875,198.87460327148438,1386.0218505859375,1169.8355712890625,944.3759765625,1797.39306640625,281.7030944824219,1218.5330810546875,1301.313232421875,997.2789306640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.10588236153125763,75.50225830078125,-34.30813217163086,-7.817440032958984,75.73208618164063,-34.361934661865234,-7.6284708976745605,75.73208618164063,-34.361934661865234,-7.6284708976745605,75.42729187011719,-34.410099029541016,-7.671403884887695,75.96050262451172,-34.077903747558594,-8.723918914794922,76.47322845458984,-33.96824264526367,-8.44437026977539,76.54447937011719,-33.726173400878906,-8.031907081604004,75.62736511230469,-34.07221984863281,-7.834763050079346,75.62736511230469,-34.07221984863281,-7.834763050079346,75.49964141845703,-34.2088508605957,-7.962893962860107,14.426057102184926,7.4977833713210265,1.0,0.007832887700534759,4.0000001192092896,0.0,16.74,0
