Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.097997259367895,5.430944070244065,2.6548104597411566,1.6854432892580844,4.080183090793941,1.5042714653949807,3.975761209134611,4.503080191049127,2.305184900107896,4.891493942805879,891.1656494140625,71.11961364746094,1175.7406005859375,1037.33837890625,453.0901794433594,1442.3406982421875,451.2686462402344,696.840576171875,749.1436767578125,688.39501953125,782.5010986328125,9.408584594726562,757.7669677734375,678.3978271484375,275.9769287109375,730.8150634765625,192.24368286132812,822.4552612304688,709.1000366210938,539.5401611328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,296.51739501953125,-11.764257431030273,-2.676980972290039,296.51739501953125,-11.764257431030273,-2.676980972290039,297.8004455566406,-12.019632339477539,-4.0865020751953125,297.8004455566406,-12.019632339477539,-4.0865020751953125,298.85308837890625,-12.140884399414062,-4.582854270935059,299.6932373046875,-12.174994468688965,-4.745789527893066,299.6932373046875,-12.174994468688965,-4.745789527893066,300.416748046875,-12.102246284484863,-4.343949794769287,301.185546875,-12.036134719848633,-4.105164051055908,295.8392028808594,-12.001992225646973,-2.8239691257476807,5.380833498690049,7.208691849588347,-1.0,0.013164983164983166,2.0,0.0,15.64,32
L-1:2,1.4233993910410443,9.129054880337211,9.833460563245309,2.2415197614020324,7.042294160469545,14.297379281577763,10.160947101132004,10.229259506026617,4.826999202436398,5.933054784918787,1678.5543212890625,433.6796875,1737.441162109375,1454.1583251953125,455.90008544921875,1806.4423828125,158.62400817871094,1553.403564453125,1042.076904296875,341.24554443359375,1302.343017578125,20.07772445678711,954.0243530273438,684.6446533203125,342.1884765625,1110.68017578125,192.265869140625,1599.8177490234375,1037.7503662109375,894.3721313476562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,313.2007141113281,-9.440169334411621,-2.713168144226074,313.2007141113281,-9.440169334411621,-2.713168144226074,314.8430480957031,-9.307693481445312,-2.904306650161743,314.8430480957031,-9.307693481445312,-2.904306650161743,313.5447998046875,-9.83657169342041,-3.800396203994751,313.5447998046875,-9.83657169342041,-3.800396203994751,313.6137390136719,-9.721427917480469,-3.508523941040039,314.4011535644531,-9.676453590393066,-3.3592567443847656,314.4011535644531,-9.676453590393066,-3.3592567443847656,314.4011535644531,-9.676453590393066,-3.3592567443847656,6.046991391503383,3.6709538781882025,-1.0,0.008605015673981191,5.5,0.0,10.98,108
L-1:3,2.624732594266747,3.618199139431397,3.8782738426887846,5.226189224389013,6.7318383010141645,7.715902814965984,3.6263742373434784,5.160837226533334,5.27826197449973,4.4744379262972656,2395.67724609375,48.41969299316406,2069.621337890625,1681.956787109375,1053.24853515625,2465.99951171875,134.0116424560547,463.2136535644531,1178.427490234375,1960.2384033203125,1627.0789794921875,97.87995910644531,1349.1951904296875,1156.0372314453125,295.4447021484375,1222.8453369140625,478.4898986816406,1781.2579345703125,1264.656005859375,1476.6243896484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,319.5802917480469,-9.429482460021973,-2.7451083660125732,319.5802917480469,-9.429482460021973,-2.7451083660125732,319.9009094238281,-9.486360549926758,-3.0479960441589355,318.5589904785156,-9.232489585876465,-2.8889589309692383,318.5589904785156,-9.232489585876465,-2.8889589309692383,319.680419921875,-9.394367218017578,-3.264846086502075,319.680419921875,-9.394367218017578,-3.264846086502075,318.8973693847656,-9.386052131652832,-2.7579548358917236,318.8973693847656,-9.386052131652832,-2.7579548358917236,319.5802917480469,-9.429482460021973,-2.7451083660125732,15.108009568603006,10.008456303784918,-1.0,0.007204982517482517,3.0,0.0,9.42,76
L-1:4,14.454892206149662,10.9065010172624,5.055565902906094,10.264693286621661,22.784047039969042,7.85962350501759,7.487449365104473,21.049262838886488,23.65220516344382,17.881796410973145,2957.038330078125,298.4495849609375,4380.2763671875,1891.5064697265625,288.3840026855469,2285.6484375,419.3573303222656,1970.1199951171875,1017.7945556640625,209.1784210205078,2164.54931640625,335.62957763671875,1588.372314453125,1607.812255859375,174.73361206054688,2356.494140625,604.1649169921875,3841.066650390625,1526.483642578125,429.2947998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.03921568766236305,323.768310546875,-9.361530303955078,-3.0007004737854004,323.768310546875,-9.361530303955078,-3.0007004737854004,325.7063293457031,-9.366515159606934,-3.18802809715271,324.4225158691406,-9.300309181213379,-3.258145570755005,324.4225158691406,-9.300309181213379,-3.258145570755005,324.89764404296875,-9.26671314239502,-3.1786086559295654,324.89764404296875,-9.26671314239502,-3.1786086559295654,324.89764404296875,-9.26671314239502,-3.1786086559295654,323.768310546875,-9.361530303955078,-3.0007004737854004,323.768310546875,-9.361530303955078,-3.0007004737854004,6.327721100150438,29.131903505363486,-1.0,0.005922140060896042,6.0,3.23,7.78,100
L-1:5,3.294477268832419,7.645644008074555,6.081109283950715,7.365959581918024,12.011088728034721,4.486524963710778,4.077894523584583,4.113915594389444,6.17103780611943,4.810984217243066,1606.0596923828125,149.82489013671875,1208.0306396484375,766.974609375,183.2122344970703,1686.201904296875,600.9269409179688,1248.0762939453125,1037.898193359375,682.0800170898438,1458.9080810546875,292.19500732421875,1339.60986328125,940.0509033203125,71.95874786376953,1115.2174072265625,139.94210815429688,1278.4742431640625,1523.71044921875,739.9241943359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,330.5763244628906,-9.250385284423828,-3.0981533527374268,331.8844909667969,-9.268643379211426,-3.266753673553467,331.8844909667969,-9.268643379211426,-3.266753673553467,331.86517333984375,-9.267624855041504,-3.262378454208374,331.86517333984375,-9.267624855041504,-3.262378454208374,331.40557861328125,-9.226218223571777,-3.0905444622039795,331.40557861328125,-9.226218223571777,-3.0905444622039795,329.93438720703125,-9.261580467224121,-3.0766513347625732,329.93438720703125,-9.261580467224121,-3.0766513347625732,330.5763244628906,-9.250385284423828,-3.0981533527374268,13.522379092753058,8.923632088926633,-1.0,0.008180775646371976,0.0,0.0,11.21,0
L-1:6,0.18832217203111168,2.2966560753666254,5.0103261333731695,3.159475867992648,2.2592600941569514,1.5261394308843474,7.991992527763605,0.8948503093331883,2.6677500385498316,13.923017361119161,54.046287536621094,35.58689498901367,886.756591796875,756.8038940429688,546.7977905273438,1313.33544921875,624.1712036132812,1009.4818725585938,1090.294189453125,901.3067016601562,1391.905029296875,55.33591842651367,919.2456665039062,740.2569580078125,287.9954833984375,1579.609375,150.55491638183594,1844.731689453125,1164.0804443359375,714.7660522460938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,334.50408935546875,-9.231535911560059,-3.033704996109009,335.711181640625,-9.105931282043457,-3.0903568267822266,335.711181640625,-9.105931282043457,-3.0903568267822266,335.8289794921875,-9.139801025390625,-3.385676860809326,335.8289794921875,-9.139801025390625,-3.385676860809326,335.38873291015625,-9.138691902160645,-3.1497035026550293,335.38873291015625,-9.138691902160645,-3.1497035026550293,335.1143493652344,-9.07850170135498,-2.8270840644836426,335.1143493652344,-9.07850170135498,-2.8270840644836426,336.218017578125,-9.00894832611084,-2.6927292346954346,1.4895277035157874,3.035593263327088,-1.0,0.009238298829882988,1.5,0.0,11.73,0
L-1:7,3.9629445304983313,11.588811544417057,8.86889086189452,7.661463184711776,6.751504417184486,8.54128717339308,9.478011001412607,5.7301325743582625,1.375783018110125,7.700872450414289,2005.852294921875,86.15453338623047,1345.3133544921875,1511.2030029296875,1249.361572265625,2141.34521484375,273.8309020996094,1906.7012939453125,1476.64453125,675.9773559570312,1908.661376953125,234.4783477783203,1396.207275390625,1379.264404296875,580.1666870117188,1956.5277099609375,261.9158020019531,2380.6650390625,1063.050537109375,555.4959716796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03921568766236305,338.42840576171875,-9.205866813659668,-2.588353395462036,338.42840576171875,-9.205866813659668,-2.588353395462036,338.42840576171875,-9.205866813659668,-2.588353395462036,339.53759765625,-9.231870651245117,-2.9882843494415283,339.53759765625,-9.231870651245117,-2.9882843494415283,338.95135498046875,-9.10377311706543,-2.432353973388672,338.95135498046875,-9.10377311706543,-2.432353973388672,338.95135498046875,-9.10377311706543,-2.432353973388672,337.68560791015625,-9.11298942565918,-2.4254021644592285,337.68560791015625,-9.11298942565918,-2.4254021644592285,7.4572698875677945,7.040993519814607,-1.0,0.00655783183952198,2.0,0.0,8.78,0
L-1:8,11.410888564793487,3.3353454948110417,3.3971746008045756,11.639545996541507,8.013760358134917,3.0138338926798895,5.5571182689725145,4.235160247575344,2.91423554702674,4.192346003680374,3329.30908203125,88.76380920410156,3264.634033203125,944.4091186523438,1182.012939453125,3205.680419921875,627.9829711914062,2988.703369140625,2547.92138671875,877.3203735351562,3086.83984375,299.1117248535156,2594.099609375,1337.515625,1738.6756591796875,2417.32470703125,247.79727172851562,2962.9716796875,2267.88671875,627.6755981445312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,342.8614501953125,-9.150200843811035,-2.626286029815674,342.8614501953125,-9.150200843811035,-2.626286029815674,344.3731689453125,-9.128707885742188,-2.860131025314331,344.3731689453125,-9.128707885742188,-2.860131025314331,344.3731689453125,-9.128707885742188,-2.860131025314331,344.3731689453125,-9.128707885742188,-2.860131025314331,343.8808288574219,-9.054414749145508,-2.5990796089172363,343.03717041015625,-9.060737609863281,-2.7770893573760986,343.03717041015625,-9.060737609863281,-2.7770893573760986,342.8614501953125,-9.150200843811035,-2.626286029815674,45.665473439761236,5.423323115852427,-1.0,0.004942316566682049,3.5,7.65,6.12,0
L-1:9,14.418407548228293,20.973148298741137,4.190802112195437,10.67120685165665,10.589007746154977,5.4488620654993545,8.792211039200335,6.053783167984599,4.412523965345544,8.711336352489969,2447.794189453125,601.1026611328125,1564.1904296875,1435.147705078125,100.00587463378906,2380.156494140625,794.1234130859375,1822.2950439453125,1292.5849609375,1132.1671142578125,1674.4390869140625,19.27883529663086,1934.7999267578125,1333.2100830078125,824.0628051757812,1897.27490234375,51.93659591674805,3189.66259765625,1119.4134521484375,562.802978515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,348.5032653808594,-9.169657707214355,-2.815056085586548,348.5032653808594,-9.169657707214355,-2.815056085586548,348.8232116699219,-9.17257022857666,-3.0267674922943115,348.8232116699219,-9.17257022857666,-3.0267674922943115,348.8232116699219,-9.17257022857666,-3.0267674922943115,347.8642272949219,-9.001051902770996,-2.5927419662475586,347.8642272949219,-9.001051902770996,-2.5927419662475586,347.8642272949219,-9.001051902770996,-2.5927419662475586,347.49749755859375,-9.16252326965332,-2.616145372390747,347.49749755859375,-9.16252326965332,-2.616145372390747,12.261456951300833,14.491054537695643,-1.0,0.00625,0.0,0.0,8.25,0
L-1:10,2.3164235415142977,10.584428615985486,11.858467794795176,4.499510186797925,9.153837691616875,3.2008715634759763,5.003404931804618,5.695925435262615,12.874862335323456,4.404372724032061,1363.3521728515625,121.38390350341797,1618.6527099609375,1681.1094970703125,739.6846313476562,2126.17529296875,336.75762939453125,1646.6558837890625,1653.91357421875,794.291259765625,1650.615966796875,369.0459899902344,1122.8438720703125,1018.3927612304688,470.9272155761719,1924.3546142578125,73.76798248291016,28.0600528717041,1529.2357177734375,1346.5948486328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,349.8793640136719,-9.146842002868652,-2.408416509628296,351.046142578125,-9.173577308654785,-2.785249710083008,351.046142578125,-9.173577308654785,-2.785249710083008,351.046142578125,-9.173577308654785,-2.785249710083008,350.92633056640625,-9.141275405883789,-2.6719555854797363,350.92633056640625,-9.141275405883789,-2.6719555854797363,350.92633056640625,-9.141275405883789,-2.6719555854797363,349.8819885253906,-9.120884895324707,-2.3454391956329346,350.4288635253906,-9.116581916809082,-2.5547306537628174,349.8793640136719,-9.146842002868652,-2.408416509628296,11.838235260667616,6.770062939201198,-1.0,0.00729020979020979,6.0,0.0,8.34,0
