Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.612616648477327,3.173086861698258,0.8931562114742884,5.4292319758225,8.500055549019834,5.626996935127849,8.270026531882118,7.389383853422614,6.592526725362069,5.69731034988652,503.94561767578125,13.230441093444824,935.595703125,394.0572814941406,73.71524810791016,426.88140869140625,410.6408386230469,661.3362426757813,410.9185485839844,376.59246826171875,551.9968872070313,58.04563522338867,378.10565185546875,226.05770874023438,112.16436767578125,491.7974853515625,123.39869689941406,426.03741455078125,807.856689453125,254.9528350830078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,325.2520446777344,12.572593688964844,12.302335739135742,325.6026611328125,10.376961708068848,13.47709846496582,326.8619079589844,7.207929611206055,15.451433181762695,317.6524658203125,9.346360206604004,15.767121315002441,317.7344970703125,9.792326927185059,15.351480484008789,318.351318359375,10.470012664794922,15.027460098266602,318.976318359375,11.753418922424316,14.378204345703125,320.5938720703125,13.974562644958496,12.894769668579102,322.5039978027344,15.524392127990723,11.080089569091797,324.5649719238281,14.21032428741455,11.023526191711426,8.515829537177675,2.412059462895146,-1.0,0.023231631382316317,5.6666668355464935,0.0,42.64,16
L-1:2,9.578054428433378,9.20408565109695,7.0809929633502655,2.588274714845124,1.2927760718742758,4.5019137033229475,7.281193237553883,12.538342072003486,7.698089939141799,3.3599356888135574,331.8728942871094,82.72955322265625,378.3743896484375,220.2300262451172,180.5401611328125,379.9988098144531,246.01744079589844,590.7824096679688,805.6688232421875,552.7030639648438,799.4002075195313,46.93903732299805,949.2017822265625,466.1805419921875,76.09302520751953,570.033447265625,128.33273315429688,136.70303344726563,469.9519348144531,137.1343231201172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,332.36956787109375,14.755805969238281,9.672873497009277,331.7825622558594,13.814482688903809,10.71158218383789,332.11114501953125,11.770773887634277,12.848106384277344,332.1187744140625,10.546873092651367,13.406312942504883,331.9212341308594,10.613199234008789,13.752419471740723,332.34857177734375,11.80039119720459,12.787757873535156,332.7996826171875,14.198729515075684,11.101522445678711,333.7940673828125,14.38471508026123,10.493121147155762,335.2220764160156,14.530373573303223,9.372542381286621,332.3750305175781,15.520489692687988,8.814035415649414,4.1607791497575946,8.34658612142603,-1.0,0.02634768740031898,1.3333333730697632,0.0,47.2,16
L-1:3,0.7333618646655161,5.141353464114694,7.6395636270337794,4.023932455137662,7.372573326655523,0.2229515335092277,7.155054929458108,2.6961262225547777,0.7529961404121728,1.468678258328012,1050.69140625,27.20071792602539,562.333740234375,538.818359375,202.54441833496094,492.5202331542969,175.4718475341797,618.1365966796875,858.73681640625,434.8417663574219,599.67919921875,33.55300521850586,483.12506103515625,510.4177551269531,16.29738998413086,542.0078735351563,30.813587188720703,617.0953979492188,960.7279052734375,686.9922485351563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,330.9027099609375,19.464529037475586,10.361832618713379,331.582763671875,16.203603744506836,12.631584167480469,329.71331787109375,17.403118133544922,13.45458698272705,329.0005798339844,17.32509422302246,13.653460502624512,328.8346862792969,16.90298843383789,14.141348838806152,328.72509765625,16.672971725463867,14.05516529083252,328.7518615722656,18.572065353393555,12.307406425476074,329.62255859375,19.291677474975586,11.413307189941406,330.1658935546875,19.050453186035156,11.389970779418945,330.2976989746094,19.251127243041992,10.633970260620117,14.30947834613829,3.893110932982493,-1.0,0.02190997927154279,3.333333432674408,0.0,42.28,16
L-1:4,0.18799368129663535,6.822621603476856,11.666445473202753,4.891109135436367,5.275795601905231,9.334468691517541,7.208348399583505,8.128226666708047,10.37395218027004,5.083107196747153,752.6635131835938,23.676189422607422,314.565185546875,405.7967224121094,268.2958984375,687.0769653320313,110.70821380615234,661.6801147460938,899.4710083007813,768.9820556640625,765.3095092773438,151.0157012939453,0.0,0.0,300.7608642578125,726.8629760742188,425.45849609375,920.5930786132813,655.81201171875,390.2940368652344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,319.99066162109375,16.758787155151367,17.396989822387695,320.41876220703125,16.476003646850586,17.780658721923828,320.6887512207031,16.21206283569336,18.42153549194336,320.43743896484375,16.713106155395508,18.921226501464844,320.1128234863281,16.8377742767334,19.481937408447266,319.7576904296875,16.693571090698242,19.379308700561523,318.92626953125,16.861852645874023,16.749975204467773,318.267578125,17.831836700439453,17.263286590576172,319.0205993652344,17.472097396850586,17.220001220703125,319.7388610839844,17.0720272064209,17.199979782104492,8.970595993541771,14.344408990260677,-1.0,0.018152680652680653,2.0000000596046448,6.57,35.6,68
L-1:5,4.469568426304257,3.822522282640573,4.777041417152316,5.922339361794125,4.426027076446988,2.69454039377663,2.8987195724903434,4.758896190941083,4.836908418240973,2.534089852539478,416.70556640625,51.27701950073242,436.6062316894531,332.45794677734375,91.96492767333984,395.72930908203125,107.24334716796875,515.9342041015625,76.35196685791016,40.19926071166992,503.677978515625,85.4007568359375,317.75177001953125,223.35316467285156,9.730194091796875,154.33108520507813,114.51458740234375,313.0707702636719,245.648193359375,267.89508056640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,313.4679870605469,28.871978759765625,11.65234088897705,313.172607421875,28.10538101196289,12.114823341369629,313.2210388183594,28.360584259033203,12.147147178649902,312.5101013183594,28.965944290161133,11.917964935302734,310.6691589355469,28.536380767822266,11.972437858581543,310.80657958984375,28.870773315429688,11.875292778015137,311.5206298828125,28.975067138671875,11.825900077819824,311.79949951171875,29.278783798217773,11.677884101867676,311.8695373535156,29.25959587097168,11.4627685546875,312.6903381347656,29.255373001098633,11.310181617736816,7.297818582118856,8.14959459352705,-1.0,0.02959090909090909,5.333333492279053,0.0,45.57,16
L-1:6,0.16288580047565712,2.3351329155017617,4.204083887518413,0.6407346145179549,1.2212663795416512,3.19502425551651,6.362904048538309,8.714979309209465,7.8189814899056245,5.7152237203222995,643.3428955078125,68.41969299316406,480.3529357910156,470.4154357910156,147.3563995361328,378.0483703613281,158.13967895507813,397.85577392578125,445.76348876953125,380.6232604980469,286.1238708496094,40.80457305908203,317.7826843261719,201.420654296875,139.86016845703125,445.1798400878906,74.76985168457031,276.3681640625,291.9664611816406,244.45811462402344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,307.99090576171875,25.54386329650879,10.559561729431152,308.99957275390625,24.424144744873047,12.120201110839844,309.0692443847656,22.97820472717285,14.002089500427246,308.9537353515625,23.153715133666992,14.289429664611816,308.34814453125,22.807971954345703,14.285055160522461,307.6827392578125,23.62818717956543,13.312137603759766,304.54840087890625,26.354598999023438,10.059764862060547,304.8440856933594,26.00470542907715,10.178311347961426,305.43927001953125,25.95504379272461,10.100497245788574,306.5124816894531,25.638254165649414,10.217923164367676,8.715344112650094,3.5343742329815577,-1.0,0.029217276499434175,5.000000149011612,0.0,44.26,68
L-1:7,4.63616460274461,0.9230649865357383,0.7078586695112989,1.702525932151933,4.216125714806366,1.0183377468874208,10.548954946172593,0.8415708542038846,2.19574673507084,6.9973992491079695,346.023681640625,36.33161926269531,597.0717163085938,332.7242736816406,180.07940673828125,628.7456665039063,135.84996032714844,488.56842041015625,381.98651123046875,284.8406982421875,732.2122802734375,41.29685974121094,433.9544372558594,356.3158264160156,128.0880126953125,523.6288452148438,106.01273345947266,212.17213439941406,82.03884887695313,114.23515319824219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07999999821186066,316.0687255859375,20.79819107055664,15.395116806030273,316.5025329589844,20.59195327758789,16.01777458190918,316.4542236328125,19.791357040405273,17.124828338623047,315.4453430175781,14.62724494934082,19.7154483795166,314.9032287597656,14.216673851013184,20.0728816986084,314.70269775390625,15.02525520324707,19.718278884887695,314.4482116699219,15.886270523071289,19.152793884277344,314.8004455566406,16.544384002685547,18.70236587524414,315.2448425292969,20.0738468170166,15.9564847946167,315.5465393066406,20.6345272064209,15.540925979614258,3.766697819892449,6.319860769742256,-1.0,0.02696619217081851,0.6666666865348816,0.0,47.63,64
L-1:8,8.95064251196155,8.16643479458497,18.782628933850763,17.699066425966993,5.480968148178476,2.3866116909549273,4.31712224144188,5.456618415471486,1.7884366237709237,8.978155770636723,1332.6038818359375,81.40165710449219,1104.6630859375,1231.89111328125,223.91525268554688,1064.962890625,197.18270874023438,559.6263427734375,402.4295654296875,325.1297302246094,1424.9339599609375,38.73017501831055,822.8302001953125,991.2618408203125,425.43157958984375,1112.718994140625,305.55120849609375,755.19384765625,600.1788940429688,410.4977111816406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,316.9261779785156,22.040437698364258,14.87086009979248,317.55963134765625,20.927337646484375,15.706536293029785,317.8817138671875,21.082416534423828,16.029958724975586,317.44976806640625,20.572235107421875,16.62246322631836,316.837646484375,20.77497673034668,16.74505615234375,315.511474609375,20.600128173828125,15.666374206542969,315.2901611328125,20.54816246032715,15.758573532104492,315.4246520996094,20.567075729370117,15.794556617736816,315.7319641113281,20.914592742919922,15.498360633850098,316.3288269042969,21.458187103271484,15.314875602722168,11.6805195987879,3.6342912337588347,-1.0,0.013665730337078652,10.666666984558105,6.49,30.58,108
L-1:9,4.2319095991762365,0.6414722359121695,0.8112777116234834,4.852600497005602,2.195631547793725,7.431627097543937,12.112346811764315,2.033027064750696,0.27396951295885696,4.47832489266948,879.9375610351563,59.19059753417969,750.6284790039063,483.71466064453125,283.3117980957031,820.0388793945313,225.56329345703125,644.7255859375,603.919189453125,427.0896911621094,884.8338623046875,12.040684700012207,445.87127685546875,532.8091430664063,46.989498138427734,735.2091674804688,65.84131622314453,819.6650390625,1079.7747802734375,787.932373046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,311.0160827636719,19.264083862304688,17.97502326965332,310.7215881347656,19.178586959838867,19.67329216003418,311.12799072265625,17.979061126708984,20.215497970581055,310.4656066894531,17.681604385375977,19.982755661010742,309.7101135253906,17.886051177978516,19.700916290283203,309.68414306640625,17.76964569091797,19.87214469909668,309.85577392578125,18.246044158935547,20.091503143310547,310.1106262207031,18.17464256286621,20.09062385559082,310.6217956542969,19.789955139160156,17.52113151550293,310.7807312011719,19.499784469604492,17.35860252380371,9.74763588084914,7.251163304708286,-1.0,0.01984260076493086,2.3333334028720856,0.0,38.54,76
L-1:10,5.622017357379696,4.479959090272818,2.594897264990213,1.3282273096332866,1.639366789722494,0.49870850276015916,0.7025910008710093,5.162219611519584,7.508628069098582,3.5289748219506016,636.9574584960938,21.288454055786133,458.75225830078125,302.5440979003906,157.35467529296875,302.8456726074219,283.8362121582031,783.4886474609375,574.0850830078125,279.1513671875,668.3363037109375,146.7023162841797,432.22357177734375,261.3400573730469,103.46023559570313,401.7538757324219,317.6228942871094,847.0824584960938,441.01605224609375,247.23362731933594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,310.607666015625,17.26850700378418,17.866870880126953,310.58599853515625,16.91191291809082,18.513282775878906,310.5566711425781,16.63917350769043,18.645706176757813,310.69287109375,16.407459259033203,18.711584091186523,310.70916748046875,16.784149169921875,18.756746292114258,310.27557373046875,17.585739135742188,18.951974868774414,310.3865051269531,17.885299682617188,19.158361434936523,310.45770263671875,18.371862411499023,19.133333206176758,310.8570556640625,17.828174591064453,18.99374008178711,311.10003662109375,17.406055450439453,18.78498077392578,7.889804687703445,7.105093207605329,-1.0,0.024567721130221133,1.666666716337204,0.0,45.71,16
