Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.7712982621738353,1.940115307683338,5.125357944651113,5.95305192648943,18.96610617037,12.474978772223688,4.743605010382599,3.5237394634089316,2.191965369497641,2.6937854326512536,2121.444091796875,160.53286743164062,1898.3265380859375,1299.3427734375,898.7037353515625,1796.2691650390625,254.56951904296875,2097.172119140625,1172.4383544921875,1851.28564453125,2461.4716796875,505.1593933105469,1353.528564453125,1395.480712890625,1215.8870849609375,1523.6868896484375,1018.1658325195312,2074.35791015625,1333.0670166015625,1368.5999755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.04313725605607033,124.48086547851562,-0.6571264863014221,-0.5783199667930603,124.48086547851562,-0.6571264863014221,-0.5783199667930603,124.49346923828125,-0.6552243232727051,-0.5543174147605896,124.49166870117188,-0.6522277593612671,-0.5625285506248474,124.49166870117188,-0.6522277593612671,-0.5625285506248474,124.49224853515625,-0.6525521278381348,-0.5608745217323303,124.50775146484375,-0.6479452252388,-0.5346841812133789,124.50775146484375,-0.6479452252388,-0.5346841812133789,124.67300415039062,-0.6328787207603455,-0.534928023815155,124.49493408203125,-0.6559959650039673,-0.5500310063362122,1.6203028944387412,5.454883086614607,1.0,0.005150515711201727,5.25,0.0,12.27,4
L-1:2,2.5552518728667555,2.4630998125508152,6.571059108358739,7.739386924986074,2.840509106123509,5.439016547224007,2.817231425418457,5.781516953948522,1.4610478066423047,3.5517935184962846,2276.47265625,346.10491943359375,2208.185302734375,1468.4124755859375,1199.4593505859375,2890.150634765625,1103.1038818359375,2562.086669921875,1203.155029296875,621.89111328125,794.4944458007812,181.56898498535156,1710.2415771484375,1434.2398681640625,753.5166015625,1990.767822265625,1369.5643310546875,2337.962158203125,1962.8140869140625,1524.2325439453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,124.50289916992188,-0.6502516269683838,-0.5415610671043396,124.50289916992188,-0.6502516269683838,-0.5415610671043396,124.50289916992188,-0.6502516269683838,-0.5415610671043396,124.492919921875,-0.6432317495346069,-0.5731627941131592,124.49566650390625,-0.6376111507415771,-0.5756385922431946,124.49566650390625,-0.6376111507415771,-0.5756385922431946,124.49905395507812,-0.64800626039505,-0.5530509352684021,124.49935913085938,-0.6640202403068542,-0.5287952423095703,124.49237060546875,-0.6712424755096436,-0.5330283641815186,124.49237060546875,-0.6712424755096436,-0.5330283641815186,11.790015079142446,11.558360873579176,-1.0,0.005283796514366463,1.25,0.0,12.82,68
L-1:3,2.330916197250239,1.9499804717920424,1.1030387049240078,3.8864004532769387,4.1951264688781755,5.405171722309685,2.0485745684503707,3.6886089654552943,7.720088648306439,9.045579994345376,2459.10693359375,284.1686706542969,2189.91162109375,1171.9844970703125,1252.0189208984375,2820.14208984375,724.3724365234375,2487.44384765625,2186.0615234375,1876.2138671875,2913.077880859375,18.732934951782227,1702.6383056640625,1382.35791015625,228.44296264648438,2116.705810546875,1050.1373291015625,2934.1083984375,2053.635498046875,1557.1190185546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.05490196496248245,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.05490196496248245,0.05098039656877518,0.0470588281750679,0.0470588281750679,124.91806030273438,-0.6438077688217163,-0.5722540616989136,124.91806030273438,-0.6438077688217163,-0.5722540616989136,124.60455322265625,-0.6378433108329773,-0.5951817631721497,124.60455322265625,-0.6378433108329773,-0.5951817631721497,124.54071044921875,-0.635636568069458,-0.5897239446640015,124.501708984375,-0.6354944705963135,-0.5624488592147827,124.501708984375,-0.6354944705963135,-0.5624488592147827,124.50631713867188,-0.6599358320236206,-0.5200055241584778,124.50360107421875,-0.6437039971351624,-0.5497046709060669,128.2760009765625,-0.619300901889801,-0.4497280418872833,13.181948537391262,3.008466642947637,1.0,0.0048888520238885205,2.25,0.0,12.63,36
L-1:4,5.363547255329839,11.059931989537688,2.492573634561452,11.260479101971438,9.900354412989369,2.045093489097843,5.917571356782652,3.2403484041476536,11.29189770098435,12.372466819525496,3648.519287109375,399.81365966796875,3913.602783203125,2582.724365234375,1976.650390625,3333.32080078125,660.8086547851562,3231.425537109375,3917.992919921875,1292.7376708984375,4186.53173828125,142.8330841064453,1855.748779296875,1047.223388671875,1216.721923828125,2673.908935546875,362.78997802734375,3019.904296875,2507.262451171875,1236.22412109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.0470588281750679,0.03921568766236305,0.03529411926865578,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.05098039656877518,0.05098039656877518,0.05490196496248245,130.0411376953125,-0.6072837710380554,-0.5550827980041504,130.0411376953125,-0.6072837710380554,-0.5550827980041504,129.76657104492188,-0.5953965187072754,-0.6338346004486084,129.76657104492188,-0.5953965187072754,-0.6338346004486084,130.32305908203125,-0.5941821932792664,-0.5708853006362915,130.32305908203125,-0.5941821932792664,-0.5708853006362915,130.05401611328125,-0.5896651744842529,-0.5534889101982117,130.05401611328125,-0.5896651744842529,-0.5534889101982117,130.05645751953125,-0.6066626310348511,-0.5285956859588623,130.0411376953125,-0.6072837710380554,-0.5550827980041504,7.712253570329274,6.6200051749158435,-1.0,0.003575929752066116,0.75,4.72,9.89,108
L-1:5,14.024053346505246,21.568619477659805,16.45829691643105,5.2785388289658846,11.421480923778551,7.123976249094058,1.5860123787663627,1.7352860879523169,2.633324043678186,2.9882543717283316,2942.06689453125,1237.994384765625,2219.72216796875,1227.2296142578125,575.8668212890625,1662.337890625,989.1061401367188,3380.7109375,2114.115966796875,853.5162963867188,2555.11669921875,553.0220947265625,2335.319580078125,1855.6964111328125,1280.2115478515625,3178.65478515625,1073.9727783203125,3415.9130859375,2364.245361328125,1547.406982421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05490196496248245,130.509521484375,-0.6275043487548828,-0.5378464460372925,130.509521484375,-0.6275043487548828,-0.5378464460372925,130.50491333007812,-0.6159576177597046,-0.5596668720245361,130.56134033203125,-0.5946060419082642,-0.5845741629600525,130.5057373046875,-0.6011728644371033,-0.575782299041748,130.51290893554688,-0.6105601787567139,-0.5520195960998535,130.51290893554688,-0.6105601787567139,-0.5520195960998535,130.514892578125,-0.6272623538970947,-0.5287474393844604,130.514892578125,-0.6272623538970947,-0.5287474393844604,130.514892578125,-0.6272623538970947,-0.5287474393844604,8.768275983727168,11.106878114329367,-1.0,0.004490842894969109,5.0,0.0,11.63,64
L-1:6,1.1649289586750626,4.724951032146471,4.319702350217057,13.022215540724758,1.9065567342736736,4.9724353102920364,2.8695497615220424,3.8733622306025404,7.2054815040119236,5.254370721318815,2991.41552734375,144.46286010742188,2955.4462890625,1451.374755859375,480.9381103515625,2316.833740234375,1331.37255859375,2838.383544921875,1091.342529296875,515.6661376953125,4002.79833984375,265.6661376953125,1684.749267578125,1012.4413452148438,412.59613037109375,2529.614501953125,1376.4215087890625,2850.66552734375,2067.652099609375,2116.665771484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.0470588281750679,130.5047607421875,-0.6160640716552734,-0.5598405599594116,130.48880004882812,-0.6116683483123779,-0.5931383371353149,130.48880004882812,-0.6116683483123779,-0.5931383371353149,130.49636840820312,-0.6042572259902954,-0.5886313915252686,130.5111083984375,-0.6046603918075562,-0.5621879696846008,130.5030517578125,-0.6051996946334839,-0.5757346749305725,130.50079345703125,-0.618373453617096,-0.5640416741371155,130.50079345703125,-0.618373453617096,-0.5640416741371155,130.5047607421875,-0.6160640716552734,-0.5598405599594116,130.5047607421875,-0.6160640716552734,-0.5598405599594116,11.257289982886158,7.0618459661443795,-1.0,0.004448409717004758,0.75,0.0,10.15,64
L-1:7,2.7831976425384597,1.4271069894367028,4.052653338355034,1.6647328362057792,3.8345570022398974,6.908437253065342,4.895638024768728,1.6280004546481721,1.6388245733690983,6.981902034855135,3980.239501953125,309.2189636230469,3892.782470703125,2793.701416015625,3316.012939453125,4830.591796875,951.1636962890625,1985.1917724609375,2387.30126953125,1508.197021484375,2382.169677734375,174.44290161132812,2645.769287109375,1606.3519287109375,759.0148315429688,2547.177490234375,1005.4156494140625,3531.328369140625,2544.545166015625,2181.5947265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,130.50201416015625,-0.6219953894615173,-0.557594895362854,130.50201416015625,-0.6219953894615173,-0.557594895362854,130.49029541015625,-0.6195186376571655,-0.5811870694160461,130.48214721679688,-0.6164449453353882,-0.5991775989532471,130.48214721679688,-0.6164449453353882,-0.5991775989532471,130.48214721679688,-0.6164449453353882,-0.5991775989532471,130.50567626953125,-0.6183310151100159,-0.5554887056350708,130.50567626953125,-0.6183310151100159,-0.5554887056350708,130.51638793945312,-0.6220526695251465,-0.5322703719139099,130.51638793945312,-0.6220526695251465,-0.5322703719139099,6.682031980737713,2.5149585510620085,-1.0,0.003990102639296188,1.25,0.0,9.33,4
L-1:8,12.59095812726339,4.1771077036258335,11.531613910465277,15.546410497743013,9.13812347875168,4.695897832301747,1.6616187100776267,3.536574361032091,15.780375667267244,20.028285631948894,7511.2861328125,1521.5867919921875,4429.83740234375,3010.302978515625,2242.6083984375,4905.318359375,2810.3173828125,4125.666015625,4455.8408203125,2755.162109375,4922.5732421875,267.0716857910156,407.07159423828125,223.558837890625,68.72871398925781,1916.5802001953125,1546.1427001953125,4715.01708984375,4010.044189453125,2645.1162109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.04313725605607033,0.05490196496248245,130.51834106445312,-0.6387262344360352,-0.5090600848197937,130.51834106445312,-0.6387262344360352,-0.5090600848197937,130.51834106445312,-0.6387262344360352,-0.5090600848197937,130.50009155273438,-0.618498682975769,-0.5651376843452454,130.50009155273438,-0.618498682975769,-0.5651376843452454,130.5135498046875,-0.6389917135238647,-0.5171787142753601,130.52459716796875,-0.5961472392082214,-0.5485799908638,130.52777099609375,-0.6306384801864624,-0.5021377205848694,130.52777099609375,-0.6306384801864624,-0.5021377205848694,130.52777099609375,-0.6306384801864624,-0.5021377205848694,12.186631235311854,13.730459181411867,-1.0,0.0026259583789704274,2.5,0.88,8.22,100
L-1:9,11.010288109054402,4.001640951235545,9.122384245459646,7.195791499369432,1.3288873188219676,10.354136619805708,6.064489462261958,8.826075611583434,5.886034119453728,15.48788790236322,3689.719970703125,882.8138427734375,2953.6376953125,1573.05615234375,2011.3165283203125,3936.794189453125,1099.117431640625,3279.82421875,3289.075927734375,1414.5125732421875,1217.52880859375,437.5718078613281,4534.6298828125,716.62841796875,1631.7738037109375,3627.448486328125,2017.993408203125,2749.758056640625,3124.231201171875,1822.6910400390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.03921568766236305,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.04313725605607033,0.0470588281750679,130.51681518554688,-0.5967860817909241,-0.5615032911300659,130.51681518554688,-0.5967860817909241,-0.5615032911300659,130.51681518554688,-0.5967860817909241,-0.5615032911300659,130.501220703125,-0.6031250357627869,-0.5814499258995056,130.501220703125,-0.6031250357627869,-0.5814499258995056,130.51129150390625,-0.6067464351654053,-0.5593922138214111,130.51153564453125,-0.5989893674850464,-0.5682008266448975,130.51153564453125,-0.5989893674850464,-0.5682008266448975,130.51995849609375,-0.608299195766449,-0.5422854423522949,130.51995849609375,-0.608299195766449,-0.5422854423522949,13.957475793411989,4.206592062059487,-1.0,0.003438153917693559,2.0,0.0,8.45,108
L-1:10,11.172514356978235,10.165103464648286,1.706020303263779,10.204002024813494,13.908451049986027,15.394729485211865,3.742101211500808,1.3390342169150082,3.1553904824583614,5.908959164512441,3361.826416015625,207.31797790527344,3465.11376953125,1714.33544921875,2036.919677734375,3315.75927734375,753.4132690429688,3635.906494140625,2490.259033203125,2565.479248046875,3320.843994140625,894.6495361328125,2809.341552734375,2466.381591796875,548.8115234375,2976.464111328125,673.2666015625,4699.3251953125,1926.870849609375,1676.529541015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,130.52398681640625,-0.6106442213058472,-0.5324842929840088,130.5174560546875,-0.5922546982765198,-0.5657284259796143,130.5174560546875,-0.5922546982765198,-0.5657284259796143,130.5174560546875,-0.5922546982765198,-0.5657284259796143,130.53390502929688,-0.5815163850784302,-0.5495614409446716,130.53390502929688,-0.5815163850784302,-0.5495614409446716,130.53390502929688,-0.5815163850784302,-0.5495614409446716,130.53619384765625,-0.6069278120994568,-0.5154207348823547,130.53619384765625,-0.6069278120994568,-0.5154207348823547,130.52398681640625,-0.6106442213058472,-0.5324842929840088,13.478994487309356,7.969515146515075,1.0,0.003417832167832168,4.5,0.0,7.82,68
