Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.41586592957618,5.058292394825694,0.6631575172591472,6.862493499866165,4.614317221460574,6.0747862285024095,7.684255016092292,1.1765520569094323,9.558996912754258,14.861983603783965,983.0155639648438,82.0138931274414,794.5966186523438,448.0671691894531,57.68292236328125,673.01611328125,306.7936706542969,1028.72705078125,796.0984497070312,839.2681884765625,1064.4603271484375,161.89378356933594,1313.2108154296875,505.892333984375,357.72119140625,951.3650512695312,662.972412109375,1250.9432373046875,821.5675659179688,479.6851806640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,273.3930969238281,-87.27299499511719,8.11501693725586,273.40216064453125,-86.91793823242188,8.422983169555664,273.4355163574219,-88.24375915527344,7.462576389312744,273.0635070800781,-88.41371154785156,7.159239292144775,273.0635070800781,-88.41371154785156,7.159239292144775,272.41180419921875,-88.95233917236328,6.626928329467773,271.984375,-89.29517364501953,6.199845314025879,271.984375,-89.29517364501953,6.199845314025879,272.48150634765625,-88.47551727294922,7.235588073730469,273.3930969238281,-87.27299499511719,8.11501693725586,8.831577271846113,12.610827628133196,1.0,0.01143372982158029,4.952381044626236,0.0,15.38,44
L-1:2,0.7711206609983973,2.2312733933315743,2.580993460060526,1.6544259993434267,4.340621763511525,4.733486544342758,1.2738144910269675,7.804865773219738,10.462637389045504,9.294642056151476,1040.78564453125,170.93043518066406,919.6812744140625,683.8739624023438,542.025146484375,1248.4219970703125,607.8455810546875,1190.869140625,848.7288818359375,1092.2740478515625,1536.3485107421875,156.72879028320312,985.461181640625,843.7597045898438,283.9725036621094,1141.14453125,260.21441650390625,1382.6427001953125,1225.8021240234375,948.4172973632812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,274.24755859375,-89.15921020507812,6.466949939727783,274.2159118652344,-88.8143310546875,6.833554744720459,274.2159118652344,-88.8143310546875,6.833554744720459,273.58514404296875,-90.16582489013672,5.842607021331787,273.58514404296875,-90.16582489013672,5.842607021331787,273.0536804199219,-90.7939224243164,5.161040782928467,272.79730224609375,-90.74029541015625,5.218508243560791,272.79730224609375,-90.74029541015625,5.218508243560791,273.6264953613281,-89.55974578857422,6.010007381439209,273.6264953613281,-89.55974578857422,6.010007381439209,2.011640760713282,13.117046739745001,1.0,0.010263056092843328,3.428571492433548,0.0,15.16,100
L-1:3,8.638356039888437,1.3384368775008115,3.3266094566668305,1.4650941537081077,7.7476853271685835,7.587010962906833,5.519145884315473,5.763182924059905,3.8926651574985924,9.391925972166685,1432.2257080078125,127.73249053955078,876.0944213867188,937.846923828125,624.0601196289062,1425.5587158203125,712.4171142578125,1527.5042724609375,1191.3980712890625,839.6341552734375,974.2890625,29.88434410095215,809.8108520507812,569.94677734375,251.9650421142578,785.4985961914062,468.9083557128906,749.4853515625,1284.2857666015625,776.042236328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,275.52862548828125,-91.24720001220703,5.565296649932861,275.66925048828125,-90.98590850830078,5.648650169372559,275.00469970703125,-91.254150390625,5.3161139488220215,275.00469970703125,-91.254150390625,5.3161139488220215,274.48553466796875,-91.53816986083984,4.0710015296936035,274.48553466796875,-91.53816986083984,4.0710015296936035,273.66827392578125,-91.6992416381836,3.7170052528381348,273.1640625,-91.96417236328125,3.739734649658203,272.75555419921875,-92.27808380126953,3.7191359996795654,275.52862548828125,-91.24720001220703,5.565296649932861,13.153940289205922,8.044886710828855,1.0,0.010225386646548472,3.428571492433548,0.0,15.49,36
L-1:4,11.981784634731731,12.48770244803959,19.939244002560045,8.62207743952766,2.936637757707609,4.860664271684158,4.916021148311207,2.2616418395900637,2.0993668316841796,8.519602075343066,1444.5751953125,4.4328765869140625,991.917724609375,921.8824462890625,354.6213684082031,1378.42578125,31.919998168945312,1524.2501220703125,990.5314331054688,620.7711181640625,1189.59033203125,146.62530517578125,813.7572021484375,659.1128540039062,480.1214599609375,1131.5975341796875,408.58251953125,1101.7020263671875,1236.07958984375,860.3784790039062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,275.5306091308594,-90.83258056640625,6.238285064697266,275.3772277832031,-90.6805648803711,6.368352890014648,275.3772277832031,-90.6805648803711,6.368352890014648,275.10382080078125,-90.78628540039062,6.0163140296936035,274.95330810546875,-91.32630157470703,5.549127578735352,274.82684326171875,-92.306884765625,5.084275245666504,274.82684326171875,-92.306884765625,5.084275245666504,274.61761474609375,-92.63984680175781,5.0143256187438965,275.416259765625,-91.6129379272461,5.415193557739258,275.416259765625,-91.6129379272461,5.415193557739258,17.19742270117695,9.9281832870718,1.0,0.008504037081339713,1.90476194024086,6.7,16.25,100
L-1:5,5.2840340530205765,4.496252835281743,2.981527675900954,3.7433540244470116,3.2762194992976514,6.908571390399967,1.6908984751926566,3.647040335186504,2.0847332872572113,1.9763545706391399,876.4530029296875,32.93825149536133,940.2296142578125,951.1672973632812,266.8083801269531,1156.112548828125,324.26019287109375,1239.8668212890625,866.9903564453125,834.1607055664062,1149.9564208984375,53.97409439086914,639.0636596679688,660.8411254882812,409.8375549316406,1010.756591796875,385.5111999511719,968.049072265625,957.2626342773438,701.7840576171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,275.4669494628906,-92.00646209716797,6.516094207763672,275.1829528808594,-91.85101318359375,6.336232662200928,275.1829528808594,-91.85101318359375,6.336232662200928,275.01190185546875,-91.96927642822266,5.993948936462402,274.8092041015625,-92.24820709228516,5.815010070800781,274.8092041015625,-92.24820709228516,5.815010070800781,274.934814453125,-92.466552734375,5.728192329406738,274.92803955078125,-92.79563903808594,5.674007892608643,275.3376770019531,-92.21625518798828,6.1189656257629395,275.3376770019531,-92.21625518798828,6.1189656257629395,16.41326447098637,9.184862406088728,1.0,0.011935146443514644,1.523809552192688,0.0,17.93,0
L-1:6,4.630814166606687,7.994327366064693,9.809301377376432,2.0612700300068254,9.779751986787224,8.630661492314736,1.1591121525881178,0.1202923468653783,4.265103024300703,1.7856683984860697,980.3738403320312,307.03558349609375,691.7267456054688,417.13720703125,84.99457550048828,1659.7730712890625,602.9824829101562,1673.82763671875,980.8223876953125,682.9924926757812,1108.3096923828125,48.078697204589844,927.30712890625,1062.9774169921875,437.1731872558594,1093.793701171875,162.00120544433594,1015.7839965820312,986.4703979492188,438.7059020996094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,275.047119140625,-91.72024536132812,7.278748989105225,275.1087341308594,-91.57626342773438,7.391178607940674,274.0924072265625,-91.70723724365234,6.430825233459473,274.0924072265625,-91.70723724365234,6.430825233459473,273.99517822265625,-92.02044677734375,6.1591949462890625,273.9457092285156,-92.3260269165039,5.865920066833496,274.2332763671875,-92.43429565429688,5.764238357543945,274.5281982421875,-92.40882873535156,6.101709365844727,274.5281982421875,-92.40882873535156,6.101709365844727,274.8134765625,-92.0108871459961,7.000478744506836,8.749803179531249,10.975585000070831,1.0,0.010933385579937303,3.047619104385376,0.0,19.93,0
L-1:7,4.608148430074348,4.627162347919322,1.5303577777424997,3.9880539232887444,6.051478947253058,4.441097053887957,14.020052944086022,4.316405747345414,6.244172192639021,1.5551443046811184,728.6798706054688,22.734745025634766,885.9912109375,959.5682983398438,608.5611572265625,1319.25634765625,393.99053955078125,571.4514770507812,836.4951782226562,582.7500610351562,1018.8235473632812,310.6875305175781,883.7694091796875,329.96142578125,289.58837890625,1474.77734375,248.5587158203125,1213.704833984375,1006.38427734375,592.2262573242188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,274.20098876953125,-91.29505920410156,7.039690971374512,273.7380676269531,-91.07769775390625,6.970485210418701,273.7596740722656,-91.02806091308594,6.864480495452881,273.9273681640625,-91.17105102539062,6.767794132232666,273.81280517578125,-91.47238159179688,6.457163333892822,273.82611083984375,-91.47478485107422,6.107462406158447,273.82611083984375,-91.47478485107422,6.107462406158447,273.92205810546875,-91.68860626220703,6.088714599609375,274.1479797363281,-91.5548324584961,6.5903520584106445,274.20098876953125,-91.29505920410156,7.039690971374512,25.308910985433855,2.332768214344321,1.0,0.011915972473741397,3.80952388048172,0.0,18.8,0
L-1:8,5.986315583548285,13.702901985890152,14.145501842822748,2.2784773447965008,4.088268352018421,8.201678400904653,13.376179845907592,8.556693735891367,2.7448678955482575,6.8871436437110924,913.8821411132812,182.14649963378906,1128.4317626953125,1040.69970703125,545.8394165039062,1281.6531982421875,27.9088191986084,1142.2025146484375,1097.6552734375,420.42132568359375,1194.82275390625,50.02936553955078,1388.09814453125,865.4087524414062,581.3386840820312,1584.1170654296875,521.9442138671875,1398.423095703125,1078.7755126953125,699.0938720703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03529411926865578,0.03921568766236305,275.45831298828125,-90.892578125,6.86956262588501,275.197265625,-90.80665588378906,6.905730724334717,275.197265625,-90.80665588378906,6.905730724334717,275.3514404296875,-91.0638198852539,6.817359924316406,275.4249267578125,-91.0796127319336,6.10263204574585,275.4849853515625,-91.45288848876953,5.921895980834961,275.4849853515625,-91.45288848876953,5.921895980834961,275.4802551269531,-91.75305938720703,5.906562328338623,275.4802551269531,-91.75305938720703,5.906562328338623,275.7001647949219,-91.09255981445312,6.793405532836914,6.609556724607811,9.674148164981327,1.0,0.009689578713968958,5.71428582072258,3.96,17.48,0
L-1:9,9.943150633241203,3.5215976096346586,1.3599471148220053,2.776833133886629,2.706002937970287,3.1243064225404082,4.183842438044186,1.6585066900819299,0.6039487900831003,2.210144940326614,824.542724609375,232.08517456054688,649.3804931640625,776.9733276367188,293.92803955078125,911.636474609375,331.20758056640625,948.6734008789062,999.6925048828125,879.9497680664062,1241.164794921875,3.3842785358428955,1001.5653076171875,751.2755737304688,424.5326232910156,1358.362060546875,192.79690551757812,1095.8011474609375,851.96435546875,684.44580078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.04313725605607033,275.87744140625,-91.1985855102539,6.77365255355835,275.697998046875,-91.15811920166016,6.773960590362549,275.8026123046875,-91.2566909790039,6.76977014541626,275.3902587890625,-91.43832397460938,6.0032639503479,275.3902587890625,-91.43832397460938,6.0032639503479,275.1758117675781,-91.74703979492188,5.49704647064209,275.28631591796875,-92.16101837158203,5.130451202392578,275.28631591796875,-92.16101837158203,5.130451202392578,275.3558044433594,-92.26509094238281,5.368380546569824,275.85699462890625,-91.3013916015625,6.680003643035889,2.3224884021595105,8.930712167476262,1.0,0.011712598425196851,0.380952388048172,0.0,18.7,0
L-1:10,1.1307137431384988,1.203673999375565,2.809672350066945,3.059547421492688,1.78945714903509,1.5015804810845281,5.581272977683837,3.1881469878057507,1.572594224134154,1.4656225334573256,1002.6013793945312,112.68171691894531,803.3120727539062,667.1574096679688,382.5550537109375,1074.2867431640625,384.71417236328125,957.6399536132812,1058.491943359375,937.6098022460938,1162.5203857421875,12.071538925170898,701.6961669921875,483.97100830078125,381.2957458496094,1045.9486083984375,189.79359436035156,839.7364501953125,724.8497924804688,651.4486083984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,275.9393615722656,-91.06050109863281,6.687740802764893,275.9378662109375,-90.91510772705078,6.835962772369385,275.836669921875,-91.0013198852539,6.714319705963135,275.6351318359375,-91.25933837890625,6.513789176940918,275.42730712890625,-91.82670593261719,6.005107402801514,275.4410400390625,-92.25613403320312,5.696755886077881,275.945556640625,-92.02307891845703,5.042382717132568,275.945556640625,-92.02307891845703,5.042382717132568,275.94879150390625,-91.8263931274414,5.409944534301758,276.13800048828125,-91.35137176513672,6.245116710662842,4.8308248759913415,2.3689588201720277,1.0,0.012133649932157396,0.761904776096344,0.0,20.44,0
