Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,20.827819643322933,12.557848373098837,5.6377265327044945,29.35937940555868,20.00682965297159,6.835481230903818,24.190407775134066,38.87047676565826,35.24932167935488,28.74931103510225,1063.36767578125,360.1007385253906,1338.9075927734375,942.2593383789063,0.0,0.0,305.4292297363281,1381.33203125,795.288818359375,1313.49267578125,743.4507446289063,202.8465576171875,953.7294921875,1411.0943603515625,588.126953125,2287.4091796875,427.21453857421875,1202.6929931640625,1543.8603515625,1121.694091796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.34478759765625,-44.852760314941406,-3.5684356689453125,265.2763671875,-44.89339828491211,-3.7078421115875244,265.80963134765625,-44.34467697143555,-3.949281930923462,263.6036376953125,-47.256072998046875,-5.7642621994018555,263.6036376953125,-47.256072998046875,-5.7642621994018555,265.0275573730469,-45.934234619140625,-3.9890999794006348,265.0275573730469,-45.934234619140625,-3.9890999794006348,265.34478759765625,-44.852760314941406,-3.5684356689453125,265.34478759765625,-44.852760314941406,-3.5684356689453125,265.34478759765625,-44.852760314941406,-3.5684356689453125,14.025820693815724,14.84143710512917,1.0,0.011099930603747398,18.5,0.0,9.14,100
L-1:2,17.629011762293967,21.62054059669538,29.098288567779687,18.575966751518738,14.810323672808664,19.076319195466905,11.12835141610972,2.342132536890549,15.800051433304576,21.1323084698933,1797.208984375,5.812614440917969,1245.9727783203125,1371.583251953125,893.8507080078125,2613.474609375,50.83607864379883,1523.2027587890625,1411.47314453125,805.34521484375,1539.072998046875,349.64166259765625,180.16307067871094,85.36964416503906,104.58084106445313,1062.7886962890625,947.0922241210938,1443.4539794921875,951.2495727539063,1076.286865234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.06219482421875,-51.81597137451172,-7.292941093444824,259.06219482421875,-51.81597137451172,-7.292941093444824,259.06219482421875,-51.81597137451172,-7.292941093444824,259.3338928222656,-52.39619827270508,-7.037365913391113,259.3338928222656,-52.39619827270508,-7.037365913391113,259.3338928222656,-52.39619827270508,-7.037365913391113,258.68548583984375,-52.39638137817383,-7.226742267608643,258.3914489746094,-51.37486267089844,-7.1020708084106445,258.3914489746094,-51.37486267089844,-7.1020708084106445,258.3914489746094,-51.37486267089844,-7.1020708084106445,9.322967817745148,16.045733537891874,1.0,0.010069169960474309,18.5,0.0,10.19,36
L-1:3,36.74444642210215,42.05184706263304,28.888569110138583,3.7622640924177233,6.013629126594034,24.433095610509742,43.505099690025986,46.50443830561825,38.58792279794418,36.581071348219204,839.5337524414063,30.305517196655273,1544.1123046875,831.378173828125,1404.740478515625,1389.4130859375,17.333984375,902.081787109375,647.0328979492188,389.62841796875,869.1991577148438,409.0090026855469,916.2513427734375,717.4105224609375,698.9141235351563,1468.708740234375,349.11968994140625,951.4779663085938,994.6643676757813,758.915771484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.31451416015625,-55.71397018432617,-7.397675037384033,258.31451416015625,-55.71397018432617,-7.397675037384033,258.31451416015625,-55.71397018432617,-7.397675037384033,258.31451416015625,-55.71397018432617,-7.397675037384033,259.0666809082031,-56.314002990722656,-7.504086971282959,259.0364990234375,-55.869808197021484,-7.054895401000977,259.0364990234375,-55.869808197021484,-7.054895401000977,258.0688781738281,-54.917354583740234,-7.509087562561035,258.0688781738281,-54.917354583740234,-7.509087562561035,258.0688781738281,-54.917354583740234,-7.509087562561035,5.770976099476212,23.926346197982518,1.0,0.013409090909090907,28.5,0.0,10.62,64
L-1:4,11.879108410339356,1.9885569037270625,1.8981980260617108,10.918040037998372,4.5451423497489705,1.0190182886438848,22.674809625645146,30.67825796406164,17.944482362276794,7.764366213740007,3061.951416015625,444.7785339355469,983.7518310546875,453.81103515625,44.45013427734375,154.18653869628906,88.11869812011719,1774.4970703125,1106.6463623046875,1706.7589111328125,1586.8944091796875,645.123046875,1985.0040283203125,2585.1865234375,1353.99560546875,3290.280517578125,323.7634582519531,1610.5584716796875,3132.109130859375,791.4912719726563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.17340087890625,-47.50343704223633,-2.850276231765747,264.17340087890625,-47.50343704223633,-2.850276231765747,262.5308532714844,-50.39750671386719,-4.431989669799805,262.5308532714844,-50.39750671386719,-4.431989669799805,262.5308532714844,-50.39750671386719,-4.431989669799805,263.1022644042969,-48.728431701660156,-3.191232204437256,263.1022644042969,-48.728431701660156,-3.191232204437256,263.1022644042969,-48.728431701660156,-3.191232204437256,264.17340087890625,-47.50343704223633,-2.850276231765747,264.17340087890625,-47.50343704223633,-2.850276231765747,8.013225851693692,16.11916808756692,1.0,0.008529040404040403,8.5,3.22,7.72,64
L-1:5,29.23134723968173,10.58952961427977,4.61279347151658,3.735906985771962,9.06404927447353,11.243764445708152,20.127511692217904,37.848666848054904,41.13086814260469,38.91255245050284,1374.0684814453125,421.1431579589844,1358.965576171875,490.975830078125,28.94053840637207,786.825927734375,60.711997985839844,700.2182006835938,775.9581298828125,587.5070190429688,972.4854125976563,120.63556671142578,246.91261291503906,210.75059509277344,362.9814147949219,1811.49609375,269.7821960449219,1125.4754638671875,1553.4044189453125,985.545654296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0207214355469,-47.13862991333008,-3.7789013385772705,263.0207214355469,-47.13862991333008,-3.7789013385772705,262.7713623046875,-47.148258209228516,-4.272611618041992,261.5499267578125,-49.64701843261719,-5.34009313583374,261.39190673828125,-50.45347213745117,-5.605848789215088,261.39190673828125,-50.45347213745117,-5.605848789215088,262.17889404296875,-48.42033767700195,-4.198306560516357,262.17889404296875,-48.42033767700195,-4.198306560516357,262.4645080566406,-46.9151611328125,-4.007672309875488,262.4645080566406,-46.9151611328125,-4.007672309875488,20.369068746923922,27.96915066617082,1.0,0.014187931951089847,21.0,0.0,15.25,4
L-1:6,13.21455185111415,12.531928187340736,33.0428752730276,43.959687477504424,42.14042631548028,36.1630598868437,29.452665118482795,16.0537694124295,1.1889361712416862,9.980976566034702,1475.2210693359375,151.80064392089844,765.3538208007813,1040.4700927734375,119.18548583984375,1545.9542236328125,639.2567749023438,1679.3089599609375,1156.5498046875,901.8284912109375,1074.666015625,139.34548950195313,1325.889404296875,525.7908325195313,636.1218872070313,1198.2607421875,78.30403900146484,1351.5030517578125,1430.52294921875,634.3262329101563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.6454162597656,-48.608253479003906,-6.670708656311035,260.70172119140625,-50.026668548583984,-6.3546576499938965,260.70172119140625,-50.026668548583984,-6.3546576499938965,260.36578369140625,-50.80222702026367,-6.060041427612305,260.36578369140625,-50.80222702026367,-6.060041427612305,260.36578369140625,-50.80222702026367,-6.060041427612305,260.36578369140625,-50.80222702026367,-6.060041427612305,261.10479736328125,-48.277503967285156,-5.648496150970459,261.10479736328125,-48.277503967285156,-5.648496150970459,260.6454162597656,-48.608253479003906,-6.670708656311035,1.2013347760473345,24.225820603235658,1.0,0.010534922394678492,20.0,0.0,10.86,68
L-1:7,13.777947123048142,8.114077138119548,23.032353702450227,18.00073261492976,8.924150330058108,5.577140016237159,32.16453647645538,48.38491333582345,46.95497533326119,35.50398107288383,1155.55712890625,671.820068359375,838.6776733398438,1194.7684326171875,764.2904052734375,2491.103271484375,24.743572235107422,1674.0252685546875,845.9244995117188,569.9525146484375,316.2347412109375,4.596602916717529,657.2740478515625,947.8943481445313,346.2502746582031,923.9736938476563,282.80474853515625,1447.18603515625,697.3279418945313,1267.1695556640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.1044616699219,-54.1018180847168,-8.67950439453125,260.1044616699219,-54.1018180847168,-8.67950439453125,260.1044616699219,-54.1018180847168,-8.67950439453125,260.4243469238281,-53.04164123535156,-8.520068168640137,260.4243469238281,-53.04164123535156,-8.520068168640137,259.9126281738281,-54.68724822998047,-8.050606727600098,259.9126281738281,-54.68724822998047,-8.050606727600098,259.52197265625,-53.65385055541992,-8.33614444732666,259.52197265625,-53.65385055541992,-8.33614444732666,259.52197265625,-53.65385055541992,-8.33614444732666,5.88444895445014,15.419536026761751,1.0,0.011399759181216136,22.5,0.0,10.82,100
L-1:8,25.07567102251619,29.333290737848586,37.72393181407189,27.93039521783973,15.159888635079101,10.699799928835052,20.725446068480803,20.9324404812282,4.161146408516561,8.367346328429287,2094.677001953125,114.28915405273438,1535.4710693359375,1402.7706298828125,1227.455810546875,2919.3095703125,581.8408813476563,3204.313720703125,2007.61181640625,2394.79052734375,1637.0111083984375,328.1061706542969,2079.931640625,2108.27490234375,1881.3924560546875,2537.807861328125,415.4434509277344,1946.3953857421875,1442.126953125,537.7003173828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.6484375,-50.24238967895508,-6.9768829345703125,263.736083984375,-50.119869232177734,-6.641402721405029,263.736083984375,-50.119869232177734,-6.641402721405029,263.736083984375,-50.119869232177734,-6.641402721405029,263.736083984375,-50.119869232177734,-6.641402721405029,264.4026184082031,-48.2841682434082,-5.647917747497559,264.4026184082031,-48.2841682434082,-5.647917747497559,264.4026184082031,-48.2841682434082,-5.647917747497559,264.4026184082031,-48.2841682434082,-5.647917747497559,263.6484375,-50.24238967895508,-6.9768829345703125,8.006530647681172,15.074165005996873,1.0,0.006497005988023953,20.0,3.2,6.82,0
L-1:9,7.623878678943229,22.37373367241146,41.25108530873502,37.366569519028914,25.42690169218376,34.61645116714131,41.73062852475872,33.01613634396352,10.596227327672507,1.7040946977049918,1078.68310546875,188.39627075195313,609.685302734375,784.142822265625,527.7927856445313,2127.980224609375,141.42535400390625,1946.028564453125,763.8072509765625,601.6221313476563,1145.5723876953125,285.8349304199219,1410.4468994140625,760.576904296875,1484.0814208984375,2244.202880859375,1.4821773767471313,1828.3507080078125,1032.262451171875,605.5908203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.3475341796875,-50.25893783569336,-7.621878147125244,262.65899658203125,-51.75187301635742,-7.778402805328369,262.65899658203125,-51.75187301635742,-7.778402805328369,262.65899658203125,-51.75187301635742,-7.778402805328369,262.9877014160156,-51.98191833496094,-6.753232955932617,262.9877014160156,-51.98191833496094,-6.753232955932617,262.9877014160156,-51.98191833496094,-6.753232955932617,264.0927734375,-49.28717041015625,-6.027170658111572,264.0927734375,-49.28717041015625,-6.027170658111572,263.3475341796875,-50.25893783569336,-7.621878147125244,2.4131181928288203,19.686456375496828,1.0,0.009413663259817106,19.0,0.0,10.0,0
L-1:10,13.12881230143814,1.699581565838698,4.093466668676199,1.827022561880098,3.0574309149337746,15.82402203150421,32.8537163941908,37.51339414977154,25.720523789750796,16.58192593395875,1925.48388671875,275.4975280761719,1836.0714111328125,404.05633544921875,323.0628967285156,1280.25732421875,303.619384765625,1971.8643798828125,891.7461547851563,327.3211364746094,1175.0677490234375,334.748779296875,1275.6768798828125,1012.5303955078125,929.06591796875,1990.9080810546875,29.808731079101563,1526.2406005859375,884.8592529296875,973.3641967773438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.22955322265625,-49.026039123535156,-5.852414608001709,264.22955322265625,-49.026039123535156,-5.852414608001709,264.22955322265625,-49.026039123535156,-5.852414608001709,264.7690734863281,-48.776817321777344,-5.437077045440674,263.29962158203125,-48.799957275390625,-5.256288051605225,263.29962158203125,-48.799957275390625,-5.256288051605225,263.29962158203125,-48.799957275390625,-5.256288051605225,263.5351257324219,-48.650333404541016,-5.377034664154053,263.5351257324219,-48.650333404541016,-5.377034664154053,263.5351257324219,-48.650333404541016,-5.377034664154053,9.975890131768896,24.76329450942739,1.0,0.01452521793275218,13.0,0.0,13.33,0
