Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.000000089406967,3.277712062675598,4.216018118892242,4.60206199288657,3.5014786511099594,4.013864979219925,6.5808049244432505,3.6044493136738684,0.5722806326885113,8.475202522980924,544.2012939453125,0.020174255594611168,236.89385986328125,225.55853271484375,195.903564453125,311.09332275390625,77.74467468261719,445.19024658203125,390.3765869140625,240.03170776367188,622.583251953125,0.002933724084869027,807.2667236328125,762.0458374023438,334.2170715332031,676.279296875,305.07867431640625,451.4226989746094,659.7402954101563,411.9598693847656,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27843138575553894,0.250980406999588,0.250980406999588,0.250980406999588,0.27450981736183167,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.01568627543747425,224.8676300048828,-35.63509750366211,-5.35494327545166,226.03062438964844,-34.89167022705078,-4.530019760131836,226.51666259765625,-34.95006561279297,-4.67869758605957,226.88377380371094,-35.00614929199219,-4.833597660064697,227.0919952392578,-35.33334732055664,-5.134609699249268,223.55247497558594,-38.90660858154297,-8.489449501037598,223.44093322753906,-38.92761993408203,-8.503020286560059,223.6077423095703,-37.9587287902832,-8.015802383422852,224.0063934326172,-37.101600646972656,-7.181607723236084,223.80227661132813,-36.69394302368164,-6.840590000152588,2.426703368748233,6.339621887863977,1.0,0.022892479006936837,2.0000000596046448,0.0,35.83,68
L-1:2,4.384315609984752,3.09696950322149,11.259823349970727,12.447932988374934,4.039628846325944,3.073181577352241,1.5833312989471113,3.296620347831585,4.994787616130205,0.488403002980048,1312.168701171875,12.655444145202637,477.99066162109375,597.0755615234375,121.05472564697266,1074.940185546875,222.55038452148438,421.86517333984375,473.0072937011719,526.08056640625,979.7852172851563,3.756709098815918,739.689453125,465.95257568359375,248.12745666503906,867.3713989257813,211.73977661132813,773.2164916992188,296.7662048339844,220.17105102539063,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.01568627543747425,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.01568627543747425,0.019607843831181526,0.01568627543747425,227.64688110351563,-25.104368209838867,-6.393485069274902,229.501220703125,-23.487424850463867,-3.5682027339935303,229.30999755859375,-24.033435821533203,-4.511933326721191,229.30999755859375,-24.033435821533203,-4.511933326721191,228.56272888183594,-25.02300262451172,-6.079092502593994,228.1649169921875,-25.373811721801758,-6.573668003082275,228.0806121826172,-25.257719039916992,-6.5173773765563965,228.07568359375,-25.132862091064453,-6.4570722579956055,228.09689331054688,-24.979005813598633,-6.239665508270264,227.8439483642578,-25.028423309326172,-6.245269775390625,9.718253447702015,5.425688546525147,-1.0,0.017456156048675734,5.333333492279053,0.0,27.87,68
L-1:3,6.674994997097276,0.7839867043135762,3.238736028867184,9.782660074693311,7.18485085618069,1.054092584803866,1.4645183785925477,0.27125243910397134,1.4476405561884342,1.7604880559290892,697.0159301757813,31.380935668945313,412.6549377441406,207.7195281982422,193.81292724609375,420.29046630859375,105.45339965820313,793.1897583007813,607.5,447.7149658203125,732.0784912109375,89.24520111083984,736.6805419921875,620.8858032226563,428.1692199707031,942.703125,399.3555603027344,1343.0643310546875,741.843994140625,558.6211547851563,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.30588236451148987,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.24705883860588074,0.27843138575553894,0.27843138575553894,0.019607843831181526,0.01568627543747425,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.02352941408753395,224.97305297851563,-25.949966430664063,-7.220098495483398,225.2954864501953,-25.953205108642578,-7.3693013191223145,225.6634521484375,-25.874284744262695,-7.302188396453857,226.1171417236328,-25.592512130737305,-7.267019271850586,226.56568908691406,-25.292081832885742,-6.922502040863037,226.88023376464844,-25.196279525756836,-6.4748663902282715,226.9072265625,-25.335481643676758,-6.518486022949219,225.4425048828125,-25.827396392822266,-7.350358486175537,225.19342041015625,-25.88062858581543,-7.269140720367432,224.9654998779297,-25.798526763916016,-7.1544623374938965,15.506271594940236,9.108070689531274,1.0,0.014623148417078128,1.0000000298023224,0.0,28.77,68
L-1:4,7.7817452518665755,4.353435731825775,8.033982878001401,16.330051198382087,15.49486133842948,8.35330963970914,3.5783019675511474,6.452655742164769,7.079394335698168,12.49528051546005,1596.9112548828125,329.2431945800781,889.7608642578125,479.0083923339844,247.28302001953125,381.4578552246094,169.4194793701172,882.7131958007813,863.9569702148438,581.8732299804688,1801.42236328125,628.1498413085938,1651.703857421875,1533.1387939453125,683.62353515625,1546.02099609375,726.5993041992188,1401.753173828125,1287.062255859375,806.8347778320313,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.02352941408753395,221.88467407226563,-22.287593841552734,0.6708350777626038,221.78201293945313,-21.791906356811523,1.1728534698486328,222.9191436767578,-23.381624221801758,-0.9638389348983765,223.03721618652344,-23.047119140625,-0.7090100646018982,223.03721618652344,-23.047119140625,-0.7090100646018982,222.8570556640625,-22.73356819152832,-0.07534981518983841,222.47805786132813,-22.68035125732422,0.22780874371528625,222.47805786132813,-22.68035125732422,0.22780874371528625,222.02127075195313,-22.74183464050293,0.21509596705436707,222.02127075195313,-22.74183464050293,0.21509596705436707,15.8078747396172,20.66273568549094,1.0,0.010451902748414376,2.6666667461395264,5.35,16.95,36
L-1:5,2.4037009219451937,9.466078923544766,13.375290715977423,9.90080832028808,6.7894936207339835,1.6996732218518027,5.044633347850108,6.99126138077559,1.9914202780028705,7.681564931216794,1239.3787841796875,288.9626770019531,921.7013549804688,313.2340393066406,168.74461364746094,1058.9110107421875,252.4293212890625,935.4088745117188,528.715576171875,411.9756164550781,669.1289672851563,116.21150970458984,482.1114196777344,342.8815002441406,738.6431884765625,954.8812255859375,499.5212097167969,562.4000854492188,1196.4620361328125,1166.9249267578125,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2549019753932953,0.2823529541492462,0.2823529541492462,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,224.62355041503906,-24.90155029296875,-3.6681125164031982,224.94195556640625,-24.685596466064453,-3.432386636734009,225.85537719726563,-24.299970626831055,-3.205406427383423,226.19400024414063,-24.200407028198242,-3.1564748287200928,226.46832275390625,-24.052738189697266,-3.0852713584899902,226.62954711914063,-23.95757293701172,-2.877725124359131,226.67364501953125,-24.157276153564453,-2.567199230194092,224.59107971191406,-24.658809661865234,-3.6332406997680664,224.47116088867188,-24.75071907043457,-3.5123379230499268,224.62355041503906,-24.90155029296875,-3.6681125164031982,7.520343005909332,11.563747619559223,1.0,0.013991531282405807,1.0000000298023224,0.0,23.13,4
L-1:6,2.538591110943878,0.9403797727512948,3.400293725711372,5.456103578918331,9.219862681775908,4.533823638030295,2.182110390556961,2.265745980849409,3.312824893479825,10.25552587875151,633.7345581054688,2.0388083457946777,993.5597534179688,268.8648681640625,376.2754211425781,1365.6234130859375,181.71009826660156,1021.6778564453125,409.4577941894531,309.2515563964844,984.2489624023438,335.98626708984375,847.201904296875,611.3621215820313,482.3499450683594,1034.821533203125,395.70343017578125,736.8682861328125,1307.653564453125,1120.3873291015625,0.26274511218070984,0.2862745225429535,0.2862745225429535,0.2862745225429535,0.2862745225429535,0.26274511218070984,0.26274511218070984,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.01568627543747425,221.25460815429688,-24.72782325744629,-3.478437662124634,221.89547729492188,-24.56357765197754,-3.564256191253662,222.3180389404297,-24.505632400512695,-3.7362513542175293,222.3180389404297,-24.505632400512695,-3.7362513542175293,223.02508544921875,-24.422582626342773,-3.6776680946350098,223.39865112304688,-24.267669677734375,-3.3373448848724365,223.49366760253906,-24.282636642456055,-3.099672794342041,223.49374389648438,-24.431299209594727,-3.05391001701355,223.41116333007813,-24.804590225219727,-3.343547821044922,223.46888732910156,-24.576200485229492,-3.0707545280456543,10.760008581719218,6.9291833351107455,1.0,0.012705846342209977,2.3333334028720856,0.0,23.72,100
L-1:7,2.027587570526223,4.704343803190567,2.629690108137956,2.938325372180385,21.438157992973018,6.960204546703954,3.228653322537627,3.9804430921791063,10.005595402399287,11.893995994748296,1625.935546875,514.3530883789063,1390.2568359375,497.118408203125,450.0854187011719,1179.1912841796875,205.4281463623047,531.7144775390625,709.4415283203125,273.33770751953125,1180.4932861328125,267.8869934082031,992.5410766601563,970.878662109375,571.7176513671875,1146.0653076171875,440.6567077636719,1367.0634765625,908.0973510742188,797.1519165039063,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.2862745225429535,0.2862745225429535,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.01568627543747425,221.2526397705078,-24.860017776489258,-3.71120285987854,221.3578338623047,-24.790958404541016,-3.812809705734253,221.3578338623047,-24.790958404541016,-3.812809705734253,221.40306091308594,-24.921422958374023,-4.187746047973633,221.70993041992188,-24.640195846557617,-3.8728950023651123,221.7102813720703,-24.474966049194336,-3.6108179092407227,221.63233947753906,-24.558834075927734,-3.348954677581787,221.40451049804688,-24.82863998413086,-3.5174217224121094,221.40451049804688,-24.82863998413086,-3.5174217224121094,221.25730895996094,-24.87230682373047,-3.6562464237213135,5.696002666632456,10.448498295314893,1.0,0.011644798500468604,4.33333346247673,0.0,21.3,68
L-1:8,18.33636393243297,20.607207143155748,16.11737711932559,10.665620505986372,2.115250803806596,3.333333432674408,14.160742059566267,16.647812459818315,19.599164830851265,20.351020620542055,1900.894287109375,16.655092239379883,1585.3658447265625,892.9439697265625,721.9815673828125,1682.9388427734375,293.5680847167969,1403.65185546875,725.090576171875,741.73779296875,624.1150512695313,93.1871109008789,1594.8475341796875,1195.52685546875,547.0440673828125,1512.8248291015625,414.3189697265625,1301.6922607421875,1439.70166015625,808.0003662109375,0.2666666805744171,0.2666666805744171,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.01568627543747425,225.21868896484375,-25.345195770263672,-4.081523418426514,225.3986053466797,-25.181819915771484,-4.214710235595703,225.3986053466797,-25.181819915771484,-4.214710235595703,225.55050659179688,-24.80158805847168,-3.9872212409973145,225.47109985351563,-24.709442138671875,-3.7106993198394775,226.0744171142578,-24.63431739807129,-4.000931262969971,225.8374786376953,-24.734088897705078,-3.5450549125671387,225.8374786376953,-24.734088897705078,-3.5450549125671387,225.38397216796875,-25.222517013549805,-3.7799360752105713,225.21868896484375,-25.345195770263672,-4.081523418426514,1.2018504609725968,19.151388146051083,1.0,0.009104361370716511,15.666667133569717,2.3,18.37,100
L-1:9,8.692270132653361,10.612155119292112,6.545474243890701,7.154533133001283,13.77427971900009,4.0000001192092896,3.74832696239622,11.360085490396246,6.125396816555801,0.7440942810387494,878.6069946289063,37.738277435302734,656.04541015625,574.82373046875,339.6824035644531,1361.741455078125,436.29315185546875,884.828857421875,860.4320068359375,1033.25390625,1137.647216796875,456.96435546875,537.8644409179688,506.2167053222656,96.88243865966797,481.20123291015625,29.415592193603516,604.709228515625,379.5527648925781,368.66357421875,0.2705882489681244,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.2862745225429535,0.2862745225429535,0.2862745225429535,0.2862745225429535,0.2705882489681244,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,225.339111328125,-25.04214859008789,-3.2758781909942627,225.16839599609375,-25.00821876525879,-3.405153274536133,225.01145935058594,-24.90567398071289,-3.5690479278564453,225.01145935058594,-24.90567398071289,-3.5690479278564453,224.9284210205078,-24.858591079711914,-3.8173139095306396,224.66172790527344,-24.797733306884766,-3.809431791305542,224.66172790527344,-24.797733306884766,-3.809431791305542,224.6219482421875,-24.7482852935791,-3.6157872676849365,224.46595764160156,-24.831178665161133,-3.4954700469970703,225.54446411132813,-24.90070343017578,-3.1435720920562744,2.848001333316228,5.2732296024491525,-1.0,0.015156141568355309,0.3333333432674408,0.0,24.96,68
L-1:10,1.054092584803866,3.351801070847815,10.201560139794813,12.347157461006589,13.018464779207486,7.7817452518665755,2.2123728868728856,2.5322597252171013,1.917097348408726,3.927563033339764,797.6396484375,17.063520431518555,816.339599609375,619.0504760742188,223.96005249023438,771.6259765625,381.2777404785156,1331.125244140625,1062.78564453125,662.4133911132813,1440.8272705078125,507.239501953125,973.1915283203125,821.63525390625,209.81893920898438,890.75732421875,320.8868713378906,918.8361206054688,752.9091186523438,414.1553039550781,0.2823529541492462,0.2823529541492462,0.250980406999588,0.250980406999588,0.250980406999588,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.027450982481241226,0.019607843831181526,223.15899658203125,-25.274599075317383,-3.525113344192505,222.77577209472656,-25.271923065185547,-3.6781368255615234,222.5596466064453,-25.304868698120117,-3.7955775260925293,222.42889404296875,-25.280927658081055,-3.8389744758605957,222.35113525390625,-25.193260192871094,-3.8472628593444824,222.29043579101563,-25.17313003540039,-3.8699228763580322,222.35440063476563,-25.07272720336914,-3.720522403717041,222.43431091308594,-25.010772705078125,-3.6104283332824707,222.3768768310547,-25.114349365234375,-3.6925411224365234,222.26612854003906,-25.28303337097168,-3.827641010284424,4.955356396787293,4.932102690893283,-1.0,0.012973676155494336,4.0000001192092896,0.0,24.22,100
