Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.242416441923622,3.189953298879707,1.7876305410695617,8.110842584404544,6.1839645470979905,10.201960687502698,10.576510772941049,2.0983163535690026,3.231226955596622,5.684969425937574,839.4517822265625,4.346269607543945,721.5664672851563,624.0146484375,125.95531463623047,602.6155395507813,261.8733825683594,727.6212158203125,356.315185546875,277.8077697753906,688.9127197265625,28.314334869384766,943.0322875976563,537.1002197265625,347.6662902832031,600.6781005859375,364.29718017578125,360.30645751953125,786.482421875,506.28680419921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,282.173828125,9.996885299682617,6.403631687164307,284.33660888671875,9.922891616821289,7.314577102661133,286.673583984375,9.24586009979248,7.899741172790527,289.86651611328125,8.520378112792969,7.74120569229126,292.5016784667969,8.436779022216797,7.750784397125244,269.2869567871094,9.660223960876465,6.87057638168335,271.4686279296875,9.489236831665039,6.537463188171387,273.50982666015625,9.367716789245605,6.121829032897949,276.62750244140625,9.38693904876709,6.03510856628418,279.3949279785156,9.630040168762207,6.1910223960876465,10.678510259909418,2.1556133677262705,-1.0,0.01478099173553719,0.6666666865348816,0.0,25.55,108
L-1:2,1.0834670179290333,2.1460146322230176,5.466271809759421,2.6886286950136147,4.756256942935522,8.515241785560036,2.695460006719884,4.535763002906935,1.9692189554269923,4.254655132599497,567.2870483398438,96.30742645263672,497.0277099609375,337.55322265625,368.8450622558594,1058.35546875,134.53482055664063,378.0457763671875,664.6458740234375,681.158203125,417.6172180175781,14.524102210998535,682.0380859375,500.8546142578125,100.6201400756836,591.3810424804688,281.4093933105469,630.8260498046875,385.16448974609375,199.2760009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,330.18719482421875,10.529274940490723,7.057418346405029,331.6446228027344,9.763120651245117,7.5721435546875,313.3488464355469,10.461137771606445,7.642934799194336,315.6693420410156,9.4923734664917,8.25522518157959,317.7976379394531,9.228654861450195,8.140463829040527,319.78338623046875,9.143242835998535,8.034611701965332,322.71478271484375,9.506036758422852,7.537242889404297,324.7657470703125,9.40672492980957,7.004175662994385,326.4284973144531,9.872949600219727,6.965945720672607,328.5500183105469,10.53168773651123,7.022271156311035,15.176866327409861,2.9072626969958826,-1.0,0.018007605235231695,1.0000000298023224,0.0,29.09,4
L-1:3,1.8987258347617777,1.3472868651394887,8.307596691996357,6.222970435611367,0.4393230220102652,6.912447466137053,8.547250282740984,5.855934888119118,6.034565745082415,2.469552803402295,842.18896484375,87.99573516845703,469.6562194824219,472.2867431640625,284.0480651855469,1053.1497802734375,141.55029296875,427.7560729980469,498.1993408203125,477.8333740234375,609.3386840820313,90.88573455810547,611.8056030273438,319.8319396972656,102.07048034667969,528.0721435546875,93.16474151611328,372.200439453125,634.3728637695313,219.75863647460938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,333.801025390625,10.501690864562988,7.7564005851745605,334.18798828125,9.803006172180176,8.348039627075195,334.29034423828125,9.10968017578125,8.79244327545166,334.05194091796875,8.889677047729492,9.093118667602539,333.9122314453125,9.380226135253906,9.568472862243652,333.0160217285156,10.360754013061523,7.621737480163574,332.81646728515625,10.285453796386719,7.74165153503418,332.9681701660156,10.240396499633789,7.429108142852783,333.31280517578125,10.354971885681152,7.50805139541626,333.5020446777344,10.680176734924316,7.545394420623779,10.94457976864363,8.603255360637787,-1.0,0.020134128166915052,3.333333432674408,0.0,30.88,4
L-1:4,17.942895071544445,15.91197576635569,14.617739491142556,7.544105544971549,6.557136204735466,2.4735789139466227,9.292471625040243,9.787678999885811,8.650384372106823,7.077952828301755,844.5110473632813,55.87388229370117,1505.0389404296875,1134.7314453125,504.1920166015625,1802.98779296875,337.67034912109375,2474.068115234375,1659.6700439453125,735.600830078125,1935.7999267578125,35.62590408325195,1619.9677734375,1353.396484375,130.91053771972656,1844.96826171875,428.318603515625,876.0350952148438,1275.64013671875,778.1876831054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,328.6648864746094,8.542926788330078,8.294107437133789,327.4403991699219,9.292593955993652,7.260439872741699,327.5316162109375,9.3504056930542,7.958924770355225,327.5649719238281,9.466357231140137,8.17531967163086,327.52783203125,9.140901565551758,8.317192077636719,327.29437255859375,9.18967342376709,8.639684677124023,327.663330078125,8.799894332885742,8.855767250061035,327.9580383300781,8.724596977233887,8.833822250366211,328.18023681640625,8.515049934387207,8.62393569946289,328.29656982421875,8.524430274963379,8.506905555725098,26.035567144777346,10.92159688095348,-1.0,0.007753447395301329,8.33333358168602,8.21,17.35,68
L-1:5,5.385976902213029,5.885702706454366,1.083926320614291,2.4185796811249634,7.405111139389284,4.623074868071668,1.9962303595212731,6.570336236869411,3.377164918408845,4.511279050578196,893.8081665039063,216.52809143066406,578.0333862304688,522.5344848632813,407.00115966796875,1238.66015625,346.291748046875,495.7856140136719,509.7864990234375,346.9970397949219,445.2548522949219,37.8126220703125,488.67181396484375,410.2391052246094,307.8519592285156,814.9467163085938,201.5763397216797,583.6798706054688,610.8682861328125,333.69970703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,324.30035400390625,9.111560821533203,8.435744285583496,324.731689453125,8.641937255859375,8.998184204101563,324.8448791503906,7.728666305541992,9.144972801208496,324.9291687011719,7.109631061553955,9.28665542602539,324.58673095703125,7.4168596267700195,9.278480529785156,321.9853210449219,8.365032196044922,7.886256217956543,322.2929992675781,8.253710746765137,8.281150817871094,322.99420166015625,8.078198432922363,8.398456573486328,323.5694885253906,8.499917984008789,8.454950332641602,324.17816162109375,8.884427070617676,8.316978454589844,9.858458631007395,7.883056028208943,-1.0,0.014957664884135472,5.333333492279053,0.0,28.77,4
L-1:6,16.745973974719462,14.376746494571126,11.415257960938947,9.09123575108192,1.1632279607754736,3.213449707587114,4.859707853387728,5.401593070484124,9.779217194708945,10.846115496722888,1263.632568359375,148.01866149902344,1023.3202514648438,523.38916015625,275.9651794433594,907.0208129882813,251.8190155029297,880.8560180664063,581.2767333984375,606.15966796875,898.396728515625,18.805574417114258,802.5626831054688,544.3550415039063,469.1062927246094,1113.2608642578125,482.26129150390625,733.7024536132813,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.20999999344348907,322.70355224609375,9.748625755310059,8.175564765930176,323.1846923828125,9.614185333251953,8.47574234008789,323.60003662109375,9.143597602844238,8.637218475341797,323.656005859375,8.91026496887207,8.78989028930664,323.4416198730469,8.852139472961426,8.885039329528809,323.48883056640625,8.598581314086914,9.145743370056152,323.54046630859375,8.586520195007324,9.269014358520508,324.0097961425781,8.413125038146973,9.15883731842041,324.6755676269531,8.469264030456543,9.148674964904785,322.9366760253906,9.000028610229492,7.602044105529785,6.727841769646506,7.6886368440649875,-1.0,0.013662469287469288,9.000000268220901,0.0,25.42,64
L-1:7,0.6129902742338093,3.31684096425265,11.517645628160102,0.7536761923401183,1.076120946492091,4.335068487462589,7.572976534741745,2.292613282422319,2.994480603944184,4.408853788780931,1025.8271484375,213.979248046875,780.604248046875,459.9586486816406,483.32440185546875,1315.1578369140625,147.16490173339844,403.80413818359375,786.6412353515625,719.2639770507813,826.5294189453125,2.665438413619995,488.0387878417969,407.68438720703125,234.3396759033203,923.1432495117188,198.8047332763672,429.1057434082031,572.3289184570313,418.72393798828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,0.28999999165534973,330.87249755859375,9.877315521240234,8.469264030456543,331.7340087890625,9.407303810119629,8.948895454406738,328.4070129394531,9.692214965820313,8.485922813415527,328.3663330078125,9.362692832946777,8.929717063903809,328.4422912597656,9.36634635925293,8.935018539428711,328.556640625,9.145588874816895,9.03492259979248,328.6169738769531,9.5695219039917,8.822376251220703,329.33154296875,9.597091674804688,8.723085403442383,329.9246826171875,9.901711463928223,8.701664924621582,330.3918762207031,9.998764038085938,8.281828880310059,4.9899440604429515,2.854069943916195,-1.0,0.013570774862721171,1.666666716337204,0.0,25.42,68
L-1:8,11.846114380206101,5.377281140042162,3.0052768430967642,15.080583815539343,6.43977516582772,2.97814197313648,7.025407819664041,23.312902985111844,28.876922820095288,19.856606123744186,1049.507080078125,158.31341552734375,570.7432250976563,332.5649108886719,932.978759765625,1127.08642578125,180.70155334472656,1021.70556640625,1635.391357421875,523.5435791015625,1295.8643798828125,150.06011962890625,699.9364013671875,887.8372802734375,114.10594940185547,1618.94873046875,512.3402709960938,2225.2255859375,822.21826171875,1040.148681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,346.9681701660156,-1.7328051328659058,6.247326850891113,347.3597717285156,-1.5288944244384766,6.287191390991211,345.68499755859375,-1.5790637731552124,5.437445640563965,345.82513427734375,-1.4327256679534912,5.784956455230713,345.5568542480469,-1.6425470113754272,6.080000877380371,345.3924255371094,-1.5963854789733887,6.331663131713867,345.1584167480469,-1.5140804052352905,6.495089054107666,345.7713623046875,-1.630423665046692,6.65758752822876,346.11712646484375,-1.6698496341705322,6.630702495574951,346.4510803222656,-1.5871756076812744,6.514994144439697,22.65309208237614,16.84538960653272,-1.0,0.01036291771469637,10.333333641290665,6.9,16.48,68
L-1:9,6.6442030183887155,5.92294431421783,1.2515785281403347,3.6652703514627936,3.5769443121133975,4.917525228444349,12.989711654357226,14.473293619581991,8.407027579340843,9.77450277140118,682.9656372070313,88.39990997314453,298.47100830078125,357.27764892578125,183.03302001953125,739.3892822265625,81.75788879394531,772.4376220703125,655.806640625,265.1137390136719,409.4427490234375,51.15843200683594,525.203369140625,512.3347778320313,233.9547119140625,653.656005859375,149.97637939453125,712.4447021484375,574.4126586914063,245.4485626220703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,340.4180908203125,-2.6473073959350586,9.154195785522461,341.3690185546875,-3.296278476715088,9.596485137939453,341.9040222167969,-3.597076416015625,9.726948738098145,339.9288024902344,-5.237656116485596,10.260358810424805,339.5654296875,-4.764428615570068,10.443135261535645,339.2962951660156,-4.455277442932129,10.546915054321289,339.0679016113281,-3.32194185256958,10.059955596923828,339.57623291015625,-2.7290143966674805,9.367222785949707,340.06927490234375,-2.7819714546203613,9.245792388916016,340.2023010253906,-2.867326498031616,9.14501667022705,4.600332429692755,11.867607635627365,-1.0,0.01706133021390374,2.3333334028720856,0.0,29.17,32
L-1:10,2.297778320414192,9.655532231303471,9.26057371013466,1.919830827221735,6.9919190290356505,12.632558356471298,5.186416371253313,8.398810004821739,16.823075314688754,11.61685644864796,804.8983764648438,20.690540313720703,576.3910522460938,324.1358337402344,443.3375244140625,697.304443359375,232.3175811767578,550.116455078125,761.9957275390625,368.59112548828125,668.361572265625,129.16734313964844,299.2381286621094,178.79400634765625,41.45218276977539,581.3165283203125,246.37059020996094,726.0903930664063,330.5947265625,377.8427429199219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,0.25999999046325684,342.1871032714844,-0.5728713274002075,8.201858520507813,341.6728820800781,-0.6701391935348511,8.63624095916748,341.1705017089844,-1.3509807586669922,9.730047225952148,340.5788269042969,-1.4513236284255981,10.279151916503906,340.5746765136719,-1.346347451210022,10.413727760314941,340.701904296875,-1.075791358947754,10.283926963806152,340.5636291503906,-0.6910213232040405,10.19666576385498,340.9527893066406,-1.318647027015686,8.892395973205566,341.4117431640625,-1.0750527381896973,8.613482475280762,341.9852294921875,-0.5910199284553528,8.250398635864258,5.161184424813096,5.489618657266957,-1.0,0.01980869299051117,7.3333335518836975,0.0,36.98,100
