Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.319676557087089,0.9002777315850923,5.603701369602698,1.51115269863688,2.1606490046637488,8.904515508220818,4.7458428706159665,3.1912663033814863,9.387221443296665,18.607498004091543,2146.61376953125,743.1478271484375,1118.48486328125,879.5889282226563,707.6392822265625,1429.98779296875,240.47537231445313,1202.3026123046875,623.7990112304688,803.8418579101563,1195.41357421875,133.71495056152344,2040.9371337890625,1222.6002197265625,521.313720703125,1752.38671875,1102.6304931640625,2269.186767578125,1910.1160888671875,1680.7684326171875,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.01568627543747425,0.011764707043766975,0.007843137718737125,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,33.447113037109375,-27.239450454711914,-5.750558376312256,33.40850830078125,-27.34151268005371,-5.650620937347412,33.40850830078125,-27.34151268005371,-5.650620937347412,34.013763427734375,-27.674739837646484,-5.695778846740723,33.61151123046875,-29.981311798095703,-7.329930782318115,33.84808349609375,-31.24527359008789,-7.34885835647583,33.84808349609375,-31.24527359008789,-7.34885835647583,33.6397705078125,-29.456409454345703,-6.700527667999268,33.6397705078125,-29.456409454345703,-6.700527667999268,33.447113037109375,-27.239450454711914,-5.750558376312256,6.380929146069222,20.209069619803987,1.0,0.008733766233766234,10.333333641290665,0.0,16.14,108
L-1:2,1.690527491600475,1.5806718214969298,15.637697665969991,15.095361761193672,4.73261782950598,6.9928937559354685,11.546280389140211,17.978900039197455,0.841146349737867,10.471188565935897,1792.9425048828125,443.11083984375,941.7196044921875,599.9107055664063,0.0,0.0,138.22947692871094,1253.563232421875,687.2621459960938,1010.9353637695313,1077.400390625,126.26038360595703,1872.027587890625,928.6366577148438,651.1284790039063,2145.2392578125,1739.0655517578125,1956.358642578125,2102.404296875,1688.3394775390625,0.11764706671237946,0.11764706671237946,0.07450980693101883,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.11764706671237946,0.011764707043766975,0.01568627543747425,0.003921568859368563,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.007843137718737125,32.915435791015625,-26.533945083618164,-6.488492488861084,33.04119873046875,-26.735776901245117,-6.432262420654297,33.2877197265625,-27.171218872070313,-6.163935661315918,32.55975341796875,-27.190656661987305,-7.032532215118408,32.55975341796875,-27.190656661987305,-7.032532215118408,32.88250732421875,-27.88453483581543,-7.015150547027588,32.987579345703125,-28.127710342407227,-6.837361812591553,32.987579345703125,-28.127710342407227,-6.837361812591553,32.915435791015625,-26.533945083618164,-6.488492488861084,32.915435791015625,-26.533945083618164,-6.488492488861084,6.730166534989278,7.3476813807048345,1.0,0.008640945747800588,2.0000000596046448,0.0,13.47,108
L-1:3,9.251053392954535,2.490431247633896,10.122151862717928,4.225383882773051,8.794019348103078,12.3777280862886,13.150624403546392,7.5161089031313635,2.1891908857737787,8.364599392674599,1515.5955810546875,48.14593505859375,1598.81298828125,203.06263732910156,178.62794494628906,1184.261474609375,442.2616882324219,1211.87890625,1392.6334228515625,1026.96240234375,1629.42529296875,81.48584747314453,1682.108154296875,1207.4908447265625,314.3409118652344,3148.586669921875,721.27685546875,1368.946044921875,842.28076171875,934.6385498046875,0.125490203499794,0.125490203499794,0.125490203499794,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.125490203499794,0.125490203499794,0.125490203499794,0.011764707043766975,0.011764707043766975,0.003921568859368563,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.011764707043766975,32.092498779296875,-23.910125732421875,-6.16511344909668,32.092498779296875,-23.910125732421875,-6.16511344909668,32.0643310546875,-23.82486915588379,-6.227920055389404,32.464141845703125,-24.267288208007813,-6.169085502624512,32.464141845703125,-24.267288208007813,-6.169085502624512,32.6328125,-25.22739028930664,-6.182374954223633,32.6328125,-25.22739028930664,-6.182374954223633,31.89678955078125,-23.86157989501953,-6.437374114990234,32.693939208984375,-25.197826385498047,-6.2160420417785645,32.010498046875,-23.82522201538086,-6.214653968811035,9.665084471213621,12.115894553520324,1.0,0.0084828697421981,6.666666865348816,0.0,14.29,32
L-1:4,20.591672082140306,8.157109274666967,25.990688149290552,16.76163606355178,9.796345719109198,12.946140314873386,3.0916578184874024,5.491986014117088,9.163474969702982,2.4586144793751146,2410.1748046875,143.36367797851563,174.1763916015625,1949.572265625,0.0,0.0,288.6666259765625,2172.627685546875,882.3203735351563,1617.732421875,2728.6513671875,406.55865478515625,2462.08447265625,1020.263671875,696.4978637695313,3685.856689453125,681.1298217773438,3261.757568359375,2593.926025390625,3713.448486328125,0.14901961386203766,0.15294118225574493,0.10588236153125763,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.011764707043766975,0.011764707043766975,0.007843137718737125,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,31.84539794921875,-25.109458923339844,-5.984648704528809,32.053863525390625,-29.0938777923584,-7.553314208984375,32.3375244140625,-23.504852294921875,-5.344753265380859,31.984344482421875,-29.865848541259766,-7.50736665725708,32.6171875,-31.26373291015625,-7.378529071807861,32.748809814453125,-30.42646598815918,-7.016921043395996,32.748809814453125,-30.42646598815918,-7.016921043395996,32.748809814453125,-30.42646598815918,-7.016921043395996,31.84539794921875,-25.109458923339844,-5.984648704528809,31.84539794921875,-25.109458923339844,-5.984648704528809,4.90854967816873,6.058629863203329,1.0,0.005358366271409749,0.3333333432674408,-9.55,11.62,100
L-1:5,3.7258519023990404,5.96744522104669,6.0576785933762425,0.8229811939054864,9.625343294794535,8.464008652839295,1.882362464781361,3.4798360349168767,3.7001713070885596,6.55465263341862,1882.3419189453125,52.86149215698242,1443.8795166015625,527.692138671875,132.56570434570313,742.2845458984375,223.70277404785156,953.9225463867188,606.438720703125,880.62548828125,1352.00537109375,146.32589721679688,1114.83349609375,868.8070068359375,449.1976318359375,1362.849853515625,368.5832214355469,1055.10986328125,1155.2158203125,854.3681640625,0.13333334028720856,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.13333334028720856,0.13333334028720856,0.011764707043766975,0.01568627543747425,0.011764707043766975,0.007843137718737125,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,32.638031005859375,-33.82514572143555,-7.424585819244385,32.318634033203125,-33.70384216308594,-7.5740485191345215,32.202606201171875,-33.6402587890625,-7.554731369018555,32.2572021484375,-33.65793228149414,-7.5327653884887695,32.309814453125,-34.20709991455078,-7.3777947425842285,32.443450927734375,-34.478271484375,-7.3911452293396,32.576263427734375,-34.40523910522461,-7.351143836975098,32.576263427734375,-34.40523910522461,-7.351143836975098,33.329681396484375,-34.732513427734375,-7.213595390319824,32.638031005859375,-33.82514572143555,-7.424585819244385,9.768069429696343,10.65256999870346,1.0,0.011351865266207897,0.6666666865348816,0.0,17.91,32
L-1:6,4.611714615539824,0.8642622690586664,2.6733385085273995,4.543342746569806,10.977872525714002,16.57914896627446,9.156266155449064,7.138643262610256,2.5175729738438624,4.034458998078595,1327.7275390625,242.22848510742188,521.3370361328125,499.10498046875,87.65880584716797,328.9406433105469,128.38589477539063,853.0693359375,555.8384399414063,1105.5643310546875,1152.4107666015625,56.15886688232422,1527.6551513671875,1067.444091796875,676.4575805664063,2146.231201171875,1092.79541015625,2272.484130859375,1214.7652587890625,1226.6732177734375,0.12156863510608673,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.01568627543747425,0.011764707043766975,0.019607843831181526,0.011764707043766975,0.011764707043766975,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.011764707043766975,31.744598388671875,-29.3841495513916,-6.271644592285156,31.802520751953125,-29.488536834716797,-7.142862319946289,31.73980712890625,-29.371131896972656,-7.203878402709961,31.47271728515625,-29.33513832092285,-6.902714252471924,31.47271728515625,-29.33513832092285,-6.902714252471924,31.254180908203125,-29.45999526977539,-6.643065452575684,31.207611083984375,-29.56211280822754,-6.465836048126221,31.207611083984375,-29.56211280822754,-6.465836048126221,31.470703125,-28.81161117553711,-6.218220233917236,31.470703125,-28.81161117553711,-6.218220233917236,10.413260495529267,14.803825354288865,1.0,0.013173259794598708,1.0000000298023224,0.0,19.79,108
L-1:7,5.021547281875914,15.545948063383417,13.046792428124718,7.310506943077167,2.5359967592326575,25.90035905180228,16.83819578499352,4.202105349181717,14.74133048322388,13.608882722130726,1883.349365234375,469.1376647949219,1330.2393798828125,926.875,189.84750366210938,1238.8824462890625,312.4697570800781,1055.9251708984375,1014.3723754882813,582.10888671875,1373.0992431640625,106.0396499633789,996.9742431640625,1377.32666015625,48.33469772338867,2390.9375,591.5176391601563,1682.62548828125,1591.287353515625,2178.172607421875,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.01568627543747425,0.01568627543747425,0.007843137718737125,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.007843137718737125,0.007843137718737125,0.011764707043766975,0.01568627543747425,32.233917236328125,-33.15993118286133,-7.313592910766602,32.233917236328125,-33.15993118286133,-7.313592910766602,32.11358642578125,-32.97835159301758,-7.276642799377441,32.349365234375,-33.025779724121094,-7.208984375,32.990570068359375,-34.200679779052734,-7.242648124694824,32.548065185546875,-35.160831451416016,-8.183138847351074,32.394561767578125,-34.99446105957031,-7.871432781219482,32.25994873046875,-33.1468391418457,-7.440858840942383,32.25994873046875,-33.1468391418457,-7.440858840942383,32.25994873046875,-33.1468391418457,-7.440858840942383,17.31873423421546,19.528757471569122,1.0,0.00948202959830867,2.0000000596046448,0.0,17.94,100
L-1:8,21.64989414902281,16.086090635954438,12.79446790684053,7.083663312710645,11.677704164189867,14.822907043123973,5.448764010881113,1.3091044229762305,7.298799394164918,0.1541694700794656,2611.44580078125,369.0997619628906,2668.018310546875,2428.7275390625,891.382080078125,2026.69482421875,667.3221435546875,3685.6396484375,2383.507568359375,2040.1865234375,2454.529296875,166.50015258789063,2419.196044921875,2091.145263671875,244.2484130859375,2662.74609375,623.1563720703125,2050.81005859375,1584.6971435546875,5176.22607421875,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.19215688109397888,0.14901961386203766,0.14901961386203766,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.007843137718737125,0.011764707043766975,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.01568627543747425,31.12322998046875,-28.10009765625,-7.031142234802246,31.12322998046875,-28.10009765625,-7.031142234802246,31.393829345703125,-28.319969177246094,-6.997683525085449,31.393829345703125,-28.319969177246094,-6.997683525085449,31.393829345703125,-28.319969177246094,-6.997683525085449,31.231109619140625,-27.18894386291504,-6.7355852127075195,31.231109619140625,-27.18894386291504,-6.7355852127075195,31.231109619140625,-27.18894386291504,-6.7355852127075195,31.132415771484375,-24.229995727539063,-5.805860996246338,31.220367431640625,-29.31377601623535,-7.536919116973877,9.616779841200469,6.267020400361078,1.0,0.004824046920821115,8.000000238418579,18.16,8.46,100
L-1:9,4.740288121170963,1.293975481508193,3.155384055656727,6.622455073375235,2.5988815488521033,32.620652193781716,17.87416240926719,2.5381459089721403,4.477535591337916,2.4247119996259343,2340.714111328125,61.192317962646484,1053.256591796875,786.5291137695313,457.6933288574219,935.780517578125,130.0528106689453,660.8453369140625,769.2146606445313,357.27447509765625,2194.98583984375,372.9857482910156,1480.5888671875,3341.02197265625,784.65185546875,2274.23876953125,1112.0867919921875,2721.79638671875,1593.34912109375,1229.8089599609375,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.125490203499794,0.011764707043766975,0.007843137718737125,0.007843137718737125,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.011764707043766975,0.01568627543747425,0.007843137718737125,0.011764707043766975,29.68402099609375,-32.88739013671875,-7.9029645919799805,29.68402099609375,-32.88739013671875,-7.9029645919799805,29.807586669921875,-32.853553771972656,-7.879281520843506,29.874664306640625,-32.81724166870117,-7.863479137420654,29.9954833984375,-32.99165344238281,-7.73024845123291,29.324554443359375,-34.00188446044922,-8.890847206115723,29.556396484375,-34.13771057128906,-8.571990966796875,29.556396484375,-34.13771057128906,-8.571990966796875,29.5948486328125,-33.028472900390625,-8.026775360107422,29.5948486328125,-33.028472900390625,-8.026775360107422,8.995104067426668,23.954775974649685,1.0,0.010492713393476754,4.666666805744171,0.0,17.28,100
L-1:10,4.198815714631177,2.3618221196131173,5.871158960993059,10.057342599219297,11.217149650422364,1.5335358431659982,3.4979518104813594,5.372356249262811,2.1517622637682297,2.58103371846693,1489.394775390625,148.354248046875,1223.4776611328125,483.2580261230469,430.0137939453125,1237.774169921875,84.60700988769531,649.7532958984375,1066.393798828125,644.123046875,1752.711669921875,5.9329400062561035,1563.2845458984375,972.2796630859375,470.6673889160156,1370.560546875,232.2212677001953,1761.8031005859375,1401.7884521484375,1132.1483154296875,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.011764707043766975,0.011764707043766975,0.007843137718737125,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,27.8040771484375,-25.25937271118164,-6.876216888427734,27.640899658203125,-25.357160568237305,-6.8611979484558105,27.542083740234375,-25.237985610961914,-6.861767768859863,27.6239013671875,-25.403005599975586,-6.785090923309326,27.97216796875,-26.512081146240234,-6.82377815246582,27.97216796875,-26.512081146240234,-6.82377815246582,28.292266845703125,-27.047609329223633,-6.949902534484863,28.38665771484375,-26.38690185546875,-6.787096977233887,27.676910400390625,-25.19699478149414,-6.88792085647583,27.8040771484375,-25.25937271118164,-6.876216888427734,19.620621806473505,5.204762208043094,1.0,0.009919786096256685,2.3333334028720856,0.0,18.02,100
