Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,13.33333358168602,12.801244928149965,8.690407889562355,0.891768209718653,7.294127205382901,9.424241605523404,1.9174373433557759,4.128275622517,10.857182743541781,8.636266942648462,2627.578857421875,103.65377044677734,1282.206298828125,841.5520629882813,129.7690887451172,795.5816650390625,386.1749572753906,1336.533935546875,1425.6676025390625,675.4867553710938,639.5487060546875,55.59764099121094,617.383544921875,215.25851440429688,332.7471923828125,1318.6650390625,123.99440002441406,1262.892333984375,1506.786865234375,1499.7452392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.019607843831181526,127.40570068359375,-12.14130973815918,-3.9749224185943604,127.40570068359375,-12.14130973815918,-3.9749224185943604,127.8997802734375,-11.181169509887695,-3.122748851776123,127.2843017578125,-11.28950023651123,-4.42232084274292,125.526123046875,-12.599936485290527,-6.333282470703125,123.93109130859375,-14.211958885192871,-8.512076377868652,123.012451171875,-15.310187339782715,-10.07345199584961,122.3524169921875,-16.925561904907227,-10.63082504272461,123.85513305664063,-16.03813934326172,-9.545431137084961,127.40570068359375,-12.14130973815918,-3.9749224185943604,9.764575890813717,4.643532302356453,1.0,0.0093699450016176,1.90476194024086,0.0,16.55,108
L-1:2,1.077496067592286,3.4142011399266,4.899479728618192,2.3418310897684833,11.662567810361816,3.071336342274192,2.4496859382350205,5.355401050643918,1.6308560580936766,5.853846835214888,2377.321533203125,166.3689727783203,734.1812133789063,666.10791015625,450.86334228515625,672.0397338867188,553.57373046875,2184.2705078125,656.2310791015625,847.1555786132813,2522.16259765625,187.02413940429688,1190.24365234375,697.5477294921875,568.1006469726563,2481.703857421875,182.0167694091797,2277.7880859375,1166.6646728515625,755.27392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,124.3209228515625,-15.086424827575684,-7.3269805908203125,125.525390625,-14.576251029968262,-5.13878059387207,125.525390625,-14.576251029968262,-5.13878059387207,124.371337890625,-15.365086555480957,-7.1333394050598145,122.59017944335938,-17.871383666992188,-11.226750373840332,122.59017944335938,-17.871383666992188,-11.226750373840332,121.83544921875,-18.768278121948242,-13.634489059448242,122.52392578125,-17.00115966796875,-10.545207977294922,122.52392578125,-17.00115966796875,-10.545207977294922,124.3209228515625,-15.086424827575684,-7.3269805908203125,2.747086737236278,6.157742969337284,1.0,0.008132632293080054,4.190476268529892,0.0,13.7,36
L-1:3,1.9424836604073996,1.6851536424495048,2.3899239722197043,1.655335049254481,4.513710228439505,1.90476194024086,4.672959882084027,2.3747743175026326,5.582073929819227,9.031810166507212,2347.193115234375,209.08871459960938,1011.476318359375,827.0789794921875,847.4972534179688,1241.2568359375,392.7520751953125,1573.4620361328125,1232.09716796875,1191.3277587890625,1486.5758056640625,407.2342529296875,551.01806640625,339.7448425292969,365.1129455566406,600.412841796875,142.36105346679688,2173.198974609375,2757.068359375,687.547119140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.019607843831181526,124.4833984375,-14.172541618347168,-4.915783882141113,126.21075439453125,-12.238802909851074,-5.832320213317871,126.21075439453125,-12.238802909851074,-5.832320213317871,124.96670532226563,-12.513813972473145,-7.2593607902526855,124.96670532226563,-12.513813972473145,-7.2593607902526855,123.72262573242188,-13.766005516052246,-9.197635650634766,123.32376098632813,-14.879096031188965,-9.391522407531738,123.32376098632813,-14.879096031188965,-9.391522407531738,123.36795043945313,-15.480298042297363,-7.239289283752441,123.36795043945313,-15.480298042297363,-7.239289283752441,11.460273704124285,1.6161237633490801,1.0,0.008749999999999999,2.285714328289032,0.0,12.43,68
L-1:4,3.1414138685078,4.25571015024926,4.289256881002691,17.056368757981,5.266769619877023,10.693843130706975,11.146566150926956,22.311770998542865,13.61024249207693,11.039997204995544,3680.259033203125,464.2866516113281,1766.390869140625,1345.037353515625,1272.814697265625,1682.6092529296875,323.5082702636719,1326.806884765625,929.3527221679688,995.8247680664063,2946.227294921875,563.3783569335938,536.0960083007813,399.26434326171875,1359.60107421875,3012.33251953125,450.61273193359375,1329.79443359375,1330.71337890625,1924.592041015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,126.97442626953125,-14.671391487121582,-4.347082614898682,127.46875,-13.792786598205566,-2.870436191558838,127.46875,-13.792786598205566,-2.870436191558838,126.69561767578125,-13.587921142578125,-4.0941572189331055,125.62045288085938,-14.574851036071777,-6.167216777801514,124.85311889648438,-15.777848243713379,-7.506648063659668,124.85311889648438,-15.777848243713379,-7.506648063659668,125.19229125976563,-15.94120979309082,-7.58958625793457,125.19229125976563,-15.94120979309082,-7.58958625793457,126.97442626953125,-14.671391487121582,-4.347082614898682,8.152737126726159,12.319922345728129,1.0,0.006806140878988561,11.047619253396988,3.71,12.92,108
L-1:5,3.512207477722013,9.761691763000474,0.5848228585542005,2.741133815442047,4.199045267718161,1.90476194024086,2.4762206769400863,2.6740589752805466,3.5747331488887304,4.175057010884156,2725.4208984375,93.11382293701172,1360.5751953125,515.2850341796875,297.77447509765625,1278.271484375,243.0015106201172,2236.76318359375,1996.48974609375,1340.7154541015625,1467.143310546875,78.31526184082031,1073.135498046875,254.83059692382813,625.64599609375,1730.9073486328125,668.0355834960938,1991.560302734375,896.9407958984375,1185.26708984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.019607843831181526,125.95538330078125,-15.700008392333984,-7.875180721282959,125.95538330078125,-15.700008392333984,-7.875180721282959,126.0179443359375,-15.866207122802734,-8.200048446655273,126.0179443359375,-15.866207122802734,-8.200048446655273,125.67758178710938,-17.20534324645996,-10.008949279785156,125.45834350585938,-16.051475524902344,-9.46308708190918,125.45834350585938,-16.051475524902344,-9.46308708190918,125.44900512695313,-16.061607360839844,-8.154817581176758,125.44900512695313,-16.061607360839844,-8.154817581176758,125.44900512695313,-16.061607360839844,-8.154817581176758,10.828701461549342,1.39036133822981,1.0,0.008192438402718777,0.761904776096344,0.0,11.02,100
L-1:6,12.338388603688314,2.385812507953203,11.029920894910479,2.5507537601176002,7.6413971477827936,3.8285241174531066,3.417567277335863,4.3925761572039175,5.012772933022927,3.0597648839651876,2785.937255859375,32.98194885253906,2321.1240234375,873.9386596679688,57.04753112792969,891.1304321289063,464.5908203125,1882.462158203125,946.7225952148438,748.0765380859375,1646.0377197265625,331.88970947265625,2340.85302734375,1351.679443359375,37.203243255615234,1437.9949951171875,255.73138427734375,1979.817626953125,1137.9298095703125,888.4567260742188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.019607843831181526,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.019607843831181526,127.25405883789063,-13.791691780090332,-5.266343593597412,127.25405883789063,-13.791691780090332,-5.266343593597412,126.96249389648438,-13.568061828613281,-5.93759298324585,126.96249389648438,-13.568061828613281,-5.93759298324585,126.130126953125,-14.876627922058105,-8.156481742858887,125.41455078125,-15.965503692626953,-9.390950202941895,125.41455078125,-15.965503692626953,-9.390950202941895,125.0238037109375,-16.68865394592285,-9.237632751464844,124.61746215820313,-16.093015670776367,-7.647644519805908,126.42236328125,-14.358769416809082,-6.010956764221191,4.049579432661541,5.089735087869354,1.0,0.0077024647887323945,0.0,0.0,13.75,0
L-1:7,4.571428656578064,1.7100260021896516,1.1358572889076937,9.584520994014486,2.038255153805207,8.794968834763967,4.430318936783306,6.344774585457941,9.240504361961216,5.377304315402973,444.73406982421875,100.6013412475586,2875.353271484375,1338.94677734375,82.43106079101563,831.175048828125,410.9032897949219,1072.46923828125,1107.23974609375,1449.5013427734375,944.6416625976563,198.88467407226563,1889.2186279296875,1486.9375,573.508544921875,1696.128662109375,829.2570190429688,1579.2843017578125,948.1953125,1379.838134765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,126.95684814453125,-13.334698677062988,-6.138432025909424,126.95684814453125,-13.334698677062988,-6.138432025909424,126.84365844726563,-13.097282409667969,-6.530207633972168,126.2669677734375,-13.2205228805542,-8.16173267364502,126.2669677734375,-13.2205228805542,-8.16173267364502,125.7047119140625,-14.1402006149292,-9.720124244689941,125.7047119140625,-14.1402006149292,-9.720124244689941,125.5064697265625,-15.242325782775879,-9.573929786682129,125.48114013671875,-14.719439506530762,-7.331478595733643,125.48114013671875,-14.719439506530762,-7.331478595733643,9.055134891716238,3.0917953120708273,1.0,0.008128551136363637,2.285714328289032,0.0,13.08,0
L-1:8,25.91596444720999,8.903650608134575,0.8195571550693147,5.055676925674467,15.100534445686872,5.292359713606365,4.467680177666435,19.982122871655523,16.279267285023128,17.66269097427177,2622.42138671875,268.20025634765625,2322.636962890625,820.7294921875,637.1293334960938,1460.1883544921875,591.0283813476563,1947.386474609375,1041.0936279296875,248.93516540527344,2136.497314453125,90.82939910888672,358.1131591796875,230.04339599609375,846.234130859375,1888.9334716796875,239.3678436279297,677.1588745117188,924.3924560546875,962.6305541992188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.02352941408753395,0.027450982481241226,0.02549019828438759,0.019607843831181526,0.021568628028035164,125.86172485351563,-15.666259765625,-3.850388765335083,126.4783935546875,-15.251315116882324,-3.4160497188568115,125.93115234375,-15.161261558532715,-3.2813708782196045,125.93115234375,-15.161261558532715,-3.2813708782196045,126.65167236328125,-13.764120101928711,-4.882074356079102,126.33209228515625,-14.285751342773438,-5.153075218200684,125.74105834960938,-15.470787048339844,-5.25045919418335,125.374267578125,-15.50987720489502,-4.917743682861328,125.374267578125,-15.50987720489502,-4.917743682861328,125.86172485351563,-15.666259765625,-3.850388765335083,12.777531537998865,21.327940800302546,1.0,0.008531530089628682,13.33333358168602,4.87,15.23,0
L-1:9,7.327765493317444,3.9825139274824726,9.665114376387406,5.652313073249565,12.417941847621604,8.17939464895648,2.230663368411843,6.9604655291472,7.238368031408105,3.791574838303577,2059.541259765625,15.747248649597168,1824.682861328125,874.9676513671875,130.72021484375,529.6098022460938,140.71812438964844,1757.7625732421875,611.0081176757813,917.2484130859375,2380.504150390625,715.7017822265625,622.3035888671875,603.8667602539063,464.7018737792969,817.2490844726563,212.22625732421875,1143.7479248046875,1972.953125,1564.3243408203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,126.32073974609375,-15.291167259216309,-7.177075386047363,126.50872802734375,-14.663583755493164,-7.109348773956299,126.50872802734375,-14.663583755493164,-7.109348773956299,125.83575439453125,-14.858201026916504,-8.512442588806152,125.83575439453125,-14.858201026916504,-8.512442588806152,124.8804931640625,-15.831392288208008,-10.23486328125,124.37429809570313,-16.861949920654297,-11.268345832824707,124.52639770507813,-16.91999053955078,-10.507061004638672,124.52639770507813,-16.91999053955078,-10.507061004638672,125.19232177734375,-15.903353691101074,-7.597116470336914,6.5762578373998,5.358975195265724,1.0,0.009116600790513834,7.238095372915268,0.0,13.18,0
L-1:10,2.317242911847048,1.0138653029384566,5.439561503958749,2.067632770243368,6.172543505153203,1.373543368618139,0.6342448515244462,1.0170479779730344,1.838831730831367,4.7796122317273575,1600.8533935546875,11.873632431030273,1429.61572265625,829.0259399414063,703.38330078125,1386.876220703125,392.5001220703125,1989.536376953125,520.6351318359375,248.7142791748047,1136.7451171875,50.63097381591797,1311.91650390625,795.0941772460938,438.74346923828125,1595.5308837890625,859.1998901367188,1752.987548828125,1673.611328125,1373.94189453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.021568628028035164,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.019607843831181526,126.44677734375,-12.884302139282227,-4.747890472412109,126.44677734375,-12.884302139282227,-4.747890472412109,127.18170166015625,-11.843548774719238,-3.5275063514709473,126.85140991210938,-11.917969703674316,-4.091224670410156,126.14932250976563,-12.06534481048584,-4.978346824645996,125.70724487304688,-12.822652816772461,-6.078211307525635,125.70724487304688,-12.822652816772461,-6.078211307525635,125.5166015625,-13.36889362335205,-6.408926010131836,126.02810668945313,-13.430242538452148,-5.18054723739624,126.02810668945313,-13.430242538452148,-5.18054723739624,16.38538176623509,7.492179020260332,1.0,0.009424011103400416,0.761904776096344,0.0,15.52,0
L-1:11,9.21400902682263,4.424094349135936,1.8888134426670566,5.696506634003619,2.643301556319926,2.051491393310871,2.340763979471915,4.58097761266754,7.04378535060051,2.894769897402004,242.024658203125,10.864928245544434,1405.7919921875,888.9609985351563,685.3705444335938,1492.718994140625,349.27490234375,558.8187255859375,898.4948120117188,1281.508544921875,724.0164794921875,48.61667251586914,855.8587036132813,298.3192443847656,339.3744812011719,1452.5491943359375,132.65692138671875,646.8396606445313,346.1186218261719,385.859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,126.2012939453125,-12.743599891662598,-5.219170093536377,127.00747680664063,-11.730049133300781,-4.042820453643799,126.98617553710938,-11.096471786499023,-4.757643699645996,126.531005859375,-11.020947456359863,-4.99558162689209,125.61883544921875,-12.018070220947266,-7.399946689605713,125.00775146484375,-13.31165885925293,-9.410430908203125,125.00775146484375,-13.31165885925293,-9.410430908203125,125.09970092773438,-13.600918769836426,-9.051182746887207,124.86456298828125,-13.773580551147461,-7.584748268127441,125.47335815429688,-13.507259368896484,-6.149233818054199,16.16244101388429,4.77911363111202,1.0,0.010201926326461642,0.761904776096344,0.0,17.25,0
L-1:12,22.095238506793976,9.356503622438677,5.600214864028295,6.430222985596544,16.40323792501959,1.9424836604073996,5.0895294764564465,1.6641777994579472,3.4531907159978896,11.015924889143234,1608.1466064453125,186.31285095214844,1021.3704833984375,267.5235595703125,426.9675598144531,863.9131469726563,59.226192474365234,1347.6195068359375,504.1719970703125,492.28997802734375,1056.11865234375,12.597074508666992,1069.0380859375,544.9073486328125,171.00511169433594,1567.397705078125,0.0,0.0,1044.163330078125,133.12673950195313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.013725491240620613,0.01764705963432789,126.2432861328125,-12.574991226196289,-5.821442127227783,126.2432861328125,-12.574991226196289,-5.821442127227783,126.1708984375,-12.881274223327637,-6.11588191986084,126.1708984375,-12.881274223327637,-6.11588191986084,125.51455688476563,-13.168073654174805,-6.689440727233887,124.84130859375,-13.838454246520996,-7.579941272735596,124.87142944335938,-14.658400535583496,-7.596153259277344,124.87142944335938,-14.658400535583496,-7.596153259277344,125.24993896484375,-14.134498596191406,-6.496054649353027,125.90924072265625,-13.079239845275879,-5.779012680053711,1.2046772263125298,13.932341867914923,1.0,0.010171262386902198,2.285714328289032,8.34,13.49,0
L-1:13,10.349011779208123,4.929070618198321,8.090013404620356,7.104820415485109,2.283874593500431,1.703670871733182,2.742380683575326,3.9764712706590153,2.08903226476925,4.487006159455757,1591.2366943359375,393.281494140625,799.4214477539063,599.5510864257813,183.755615234375,476.11541748046875,186.4424285888672,940.4439697265625,851.7006225585938,1083.182373046875,1201.2281494140625,137.00048828125,1025.5706787109375,558.0314331054688,258.7751770019531,958.6157836914063,406.70098876953125,1683.719970703125,989.50830078125,466.3693542480469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.019607843831181526,125.49526977539063,-13.643396377563477,-5.513261795043945,125.79425048828125,-13.482386589050293,-5.347672462463379,126.14358520507813,-13.088665008544922,-4.458479404449463,125.7125244140625,-12.765413284301758,-4.6196770668029785,124.7724609375,-13.403752326965332,-6.073452472686768,124.7724609375,-13.403752326965332,-6.073452472686768,124.33453369140625,-14.022287368774414,-6.56062650680542,124.5030517578125,-14.352967262268066,-6.561424255371094,125.0758056640625,-14.050439834594727,-5.793140411376953,125.0758056640625,-14.050439834594727,-5.793140411376953,7.816489489853724,2.5567798961428627,1.0,0.009718111346018321,2.285714328289032,0.0,15.76,0
