Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.6475296417784837,6.6663064283446145,11.108594147939433,18.20825026687842,21.865280870449148,21.538156143581915,21.940018512981123,25.982180939961832,24.075741104522805,21.799050706734523,1418.1021728515625,433.4429931640625,2130.560546875,1469.7894287109375,777.9578247070313,2329.293701171875,1099.1519775390625,2935.2431640625,2006.7685546875,1522.48583984375,2259.258544921875,346.02362060546875,1840.7547607421875,1724.3782958984375,742.9342041015625,2328.355224609375,665.20263671875,1787.176513671875,1484.7427978515625,1278.6700439453125,0.26999998092651367,0.2849999964237213,0.28999999165534973,0.29999998211860657,0.3149999976158142,0.3149999976158142,0.3149999976158142,0.29999998211860657,0.28999999165534973,0.26499998569488525,0.26999998092651367,0.2849999964237213,0.28999999165534973,0.29999998211860657,0.3149999976158142,0.3149999976158142,0.3149999976158142,0.29999998211860657,0.28999999165534973,0.26499998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.359375242589028,9.750585170884868,1.0,0.006505912786400591,20.0,0.0,5.03,68
L-1:2,1.6041731784286382,2.5436398996788,8.153878027693295,16.682461660486734,10.367121115708644,1.7668338243908268,2.25508624064795,7.381781400596509,8.393516459567294,4.202327526790472,2271.1240234375,327.71380615234375,1883.2276611328125,1658.3004150390625,0.0,0.0,384.8721923828125,2621.77734375,1458.256103515625,2110.807861328125,2394.752197265625,248.40982055664063,2135.3330078125,1344.252197265625,563.6450805664063,2706.396728515625,528.1309204101563,2270.00830078125,1532.16943359375,1821.6236572265625,0.2750000059604645,0.2750000059604645,0.2199999988079071,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.29499998688697815,0.2800000011920929,0.2750000059604645,0.2750000059604645,0.2199999988079071,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.29499998688697815,0.2800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5020085659893594,8.234663196822563,1.0,0.0061462450592885375,6.0,0.0,6.22,100
L-1:3,18.421509692831446,31.584423516348,15.973325588158048,3.250608654199446,5.138075178193311,10.010695548393606,5.499965432523233,14.810824473680052,6.85966026874649,4.29020586562041,2931.708984375,1129.3089599609375,2765.3291015625,1464.9625244140625,1847.5362548828125,2086.66455078125,1085.155517578125,2583.475830078125,2399.5,1302.1463623046875,2911.342041015625,789.8841552734375,1601.718994140625,1100.170654296875,1249.7615966796875,3330.79052734375,81.4295654296875,3663.164306640625,1503.407470703125,897.1788940429688,0.3149999976158142,0.3149999976158142,0.3149999976158142,0.32499998807907104,0.32499998807907104,0.32499998807907104,0.35999998450279236,0.3349999785423279,0.3199999928474426,0.3149999976158142,0.3149999976158142,0.3149999976158142,0.3149999976158142,0.32499998807907104,0.32499998807907104,0.32499998807907104,0.35999998450279236,0.3349999785423279,0.3199999928474426,0.3149999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.222830145440795,3.967102784112315,1.0,0.004930243024302431,8.5,0.0,6.26,32
L-1:4,4.572771169530092,5.905092169020704,3.276005655208927,1.8189832598076725,5.774712052074473,0.7313049140916865,5.21608912384205,7.038084868779413,2.694512546731282,1.542096784698657,2411.049072265625,131.01170349121094,3069.118408203125,1413.173828125,921.628662109375,2091.931884765625,835.7844848632813,2836.4931640625,2835.2919921875,1585.5506591796875,3017.984619140625,542.4776611328125,2162.512451171875,2412.52783203125,1485.711181640625,2858.375,716.389404296875,2271.966796875,1118.5413818359375,714.431884765625,0.3100000023841858,0.3100000023841858,0.3149999976158142,0.32499998807907104,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3100000023841858,0.28999999165534973,0.3100000023841858,0.3100000023841858,0.3149999976158142,0.32499998807907104,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3100000023841858,0.28999999165534973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.716491017710327,11.40150312312032,1.0,0.005611570247933885,4.0,10.69,5.82,32
L-1:5,24.86740580928795,26.210178266856534,4.982593539230389,7.55171822044837,11.0100020644377,6.765236052424342,21.635410719723772,23.31485452914193,13.603132899256718,9.280478156384316,2237.032470703125,138.4687957763672,3153.518310546875,1442.647705078125,1830.9005126953125,1585.78857421875,2394.83642578125,2758.0205078125,2743.906005859375,2139.262939453125,582.5454711914063,113.72664642333984,2242.182861328125,1451.5445556640625,1106.909912109375,3399.730712890625,144.59503173828125,3136.6865234375,1713.1932373046875,783.3157348632813,0.2849999964237213,0.26499998569488525,0.26499998569488525,0.2800000011920929,0.28999999165534973,0.2800000011920929,0.3400000035762787,0.32999998331069946,0.3199999928474426,0.3050000071525574,0.2849999964237213,0.26499998569488525,0.26499998569488525,0.2800000011920929,0.28999999165534973,0.2800000011920929,0.3400000035762787,0.32999998331069946,0.3199999928474426,0.3050000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.427525870929932,8.38010135708994,1.0,0.005401469787697333,14.5,0.0,5.67,4
L-1:6,11.692943490148304,9.802317958201147,4.036412440551236,16.229530238089417,5.865863164627682,6.200764548992599,9.073567248122428,9.473049688232798,16.58175558729487,14.542275463121356,2469.25830078125,667.139404296875,2568.4580078125,1221.5849609375,1848.119384765625,2090.90673828125,1629.8394775390625,2954.723388671875,2525.592041015625,1832.8297119140625,3194.375244140625,707.5897216796875,2558.258544921875,2324.210205078125,0.0,0.0,501.6308898925781,3148.485107421875,1956.6339111328125,2128.969482421875,0.29499998688697815,0.2800000011920929,0.26999998092651367,0.2800000011920929,0.29499998688697815,0.3149999976158142,0.29999998211860657,0.23999999463558197,0.3100000023841858,0.29999998211860657,0.29499998688697815,0.2800000011920929,0.26999998092651367,0.2800000011920929,0.29499998688697815,0.3149999976158142,0.29999998211860657,0.23999999463558197,0.3100000023841858,0.29999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.217746123415006,9.060368008069,1.0,0.004652981427174976,3.0,0.0,5.44,32
L-1:7,6.4330632294348495,4.480420192826316,7.914160611345826,7.233566105504753,5.389620444120739,1.4886626221313688,6.47250241945399,7.324313809699855,7.142089324735978,5.4442401416752135,2311.018798828125,856.5894775390625,1878.8922119140625,1132.8233642578125,898.0838623046875,2397.9697265625,514.4549560546875,3108.642822265625,1830.25048828125,2280.8349609375,3150.447265625,220.2102813720703,2857.95458984375,1703.368896484375,1592.390869140625,2533.627685546875,1421.0369873046875,2982.860107421875,2544.58056640625,1589.7984619140625,0.29499998688697815,0.26999998092651367,0.26999998092651367,0.29499998688697815,0.3100000023841858,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.32499998807907104,0.3100000023841858,0.29499998688697815,0.26999998092651367,0.26999998092651367,0.29499998688697815,0.3100000023841858,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.32499998807907104,0.3100000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.488555819789884,4.20673395106688,1.0,0.005407251707829742,3.0,0.0,5.88,100
L-1:8,1.7931614281532482,14.983616966254154,14.169506808212773,22.017541569570128,26.698230545483945,30.3381735420716,32.56608507340333,25.73024442959383,18.578646346935123,10.662343594969386,1885.9052734375,404.6128234863281,0.0,0.0,572.473388671875,2490.64697265625,1188.3072509765625,3050.87646484375,2280.98974609375,2070.3173828125,3035.667724609375,366.1067199707031,2550.252197265625,2262.269287109375,1648.8865966796875,2708.701416015625,906.1399536132813,2776.5576171875,1759.24169921875,2119.237548828125,0.26999998092651367,0.23499999940395355,0.29499998688697815,0.3050000071525574,0.32499998807907104,0.32999998331069946,0.32999998331069946,0.3199999928474426,0.3050000071525574,0.2849999964237213,0.26999998092651367,0.23499999940395355,0.29499998688697815,0.3050000071525574,0.32499998807907104,0.32999998331069946,0.32999998331069946,0.3199999928474426,0.3050000071525574,0.2849999964237213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.697411624628815,22.905424535774046,1.0,0.005073710073710074,18.5,4.75,5.9,0
L-1:9,2.962002091376252,1.8337153651550915,4.284469774498778,2.669295496804128,2.583674665962546,3.394953130426301,8.267313211723403,13.909542897291953,6.8456587621956935,0.5525181053566918,2772.760498046875,174.43463134765625,2640.171142578125,1363.7308349609375,1473.5718994140625,1775.7967529296875,1513.6815185546875,3475.571044921875,2567.044677734375,1903.7550048828125,2470.19091796875,370.93304443359375,1892.3416748046875,1883.567626953125,988.0556030273438,3143.945068359375,469.8291931152344,2504.9208984375,968.3630981445313,536.8107299804688,0.2849999964237213,0.2849999964237213,0.2849999964237213,0.3050000071525574,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3149999976158142,0.3149999976158142,0.28999999165534973,0.2849999964237213,0.2849999964237213,0.2849999964237213,0.3050000071525574,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3149999976158142,0.3149999976158142,0.28999999165534973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6816273745791226,7.243682697417166,1.0,0.0056041055718475076,3.5,0.0,5.46,0
L-1:10,8.749535346040533,3.785775049715485,8.084221762849111,18.557322868420886,19.27549987895173,9.563586997844862,1.1827153201165994,5.283629719542199,8.352281927193523,8.347613635248392,2432.73486328125,318.5608825683594,2405.343994140625,1434.71435546875,907.881103515625,2637.0263671875,1223.8248291015625,3351.015380859375,2311.919921875,2174.514404296875,2635.1220703125,523.984375,2345.447998046875,1438.4434814453125,7.453557968139648,2341.577392578125,175.0338592529297,3234.959228515625,2113.671630859375,2221.63720703125,0.28999999165534973,0.2800000011920929,0.26999998092651367,0.28999999165534973,0.3100000023841858,0.3349999785423279,0.3349999785423279,0.3050000071525574,0.3100000023841858,0.29999998211860657,0.28999999165534973,0.2800000011920929,0.26999998092651367,0.28999999165534973,0.3100000023841858,0.3349999785423279,0.3349999785423279,0.3050000071525574,0.3100000023841858,0.29999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.635956337905174,14.29554666596381,1.0,0.004886363636363637,1.0,0.0,5.16,0
