Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.7412693064307816,2.249091722502532,2.3290115808076624,1.225241168390284,1.5171666443454535,0.22050785820035265,5.6220389289263695,5.129389513352185,0.957201538150188,3.074734034126459,861.4764404296875,28.372699737548828,516.04150390625,327.2767333984375,280.9222717285156,805.8433837890625,157.787353515625,700.1438598632813,623.7794799804688,455.3324890136719,749.409423828125,122.85547637939453,475.1192321777344,235.121826171875,196.43609619140625,868.1812133789063,527.993896484375,1060.9019775390625,891.4146728515625,407.3251647949219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.95449829101563,-22.985498428344727,-3.3851728439331055,112.15719604492188,-23.182268142700195,-3.462881565093994,112.3433837890625,-23.4340763092041,-3.4396393299102783,112.68801879882813,-23.556629180908203,-3.3785951137542725,113.09912109375,-23.91448974609375,-3.393808126449585,113.25775146484375,-24.676443099975586,-3.5456998348236084,113.53045654296875,-25.867568969726563,-3.6393344402313232,113.18548583984375,-25.978546142578125,-3.5848262310028076,112.48538208007813,-25.091567993164063,-3.2905757427215576,112.03073120117188,-23.053573608398438,-3.2095558643341064,15.352750243280893,6.249896432663146,1.0,0.014611888111888112,1.3333333730697632,0.0,23.88,108
L-1:2,1.573231757812158,2.330792089607505,5.302864388729897,1.8341839743053518,1.2101982184395703,2.0985121381050758,1.0885414175168018,6.530134341556579,4.659973525742673,7.3475349063438955,1055.9012451171875,234.038330078125,1063.5125732421875,1062.01513671875,213.2372283935547,901.0911865234375,238.74935913085938,675.977783203125,622.9915161132813,459.2605285644531,949.2153930664063,68.12126159667969,582.2542724609375,528.128173828125,399.2032165527344,1274.4219970703125,261.0255432128906,949.2067260742188,753.0442504882813,604.0855102539063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.26239013671875,-18.548250198364258,-0.5572335124015808,109.7552490234375,-18.445693969726563,-1.7243109941482544,110.0130615234375,-18.494409561157227,-1.557885766029358,110.23794555664063,-18.792694091796875,-1.4935123920440674,110.2586669921875,-19.123493194580078,-1.4953587055206299,110.32647705078125,-20.08049964904785,-1.7408586740493774,110.41705322265625,-20.196025848388672,-1.6299327611923218,110.519287109375,-19.815502166748047,-1.3130967617034912,110.63677978515625,-19.22160530090332,-0.9992287755012512,110.92218017578125,-18.708566665649414,-0.787494421005249,22.731253986837704,3.204425836240144,1.0,0.011775846702317289,3.6666667759418488,0.0,22.65,36
L-1:3,4.332555381301419,3.0514891475356976,0.7904872988266465,1.9761946659434397,3.764374224921818,1.2195931414491175,1.2559588509556834,2.0874280566333687,2.977269135063996,5.1060521743101805,928.4619140625,81.17634582519531,674.4407348632813,266.0820007324219,141.31471252441406,871.456298828125,188.06996154785156,1254.6014404296875,855.1148681640625,949.521484375,955.8929443359375,57.867225646972656,720.3770141601563,483.97747802734375,307.22332763671875,971.8843383789063,211.7266845703125,1301.615234375,1060.2781982421875,554.99365234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.08340454101563,-18.1928653717041,-1.4907996654510498,109.38772583007813,-18.1928653717041,-1.490799903869629,109.4766845703125,-18.19800567626953,-1.2482517957687378,109.642822265625,-18.134265899658203,-1.1440644264221191,108.74755859375,-18.327669143676758,-2.205383539199829,109.11328125,-18.797195434570313,-2.1013808250427246,109.13677978515625,-19.013248443603516,-2.0034525394439697,108.9256591796875,-18.466150283813477,-1.6102652549743652,108.9256591796875,-18.466150283813477,-1.6102652549743652,109.08340454101563,-18.1928653717041,-1.4907996654510498,13.305687294319679,5.099676357263217,1.0,0.011322919751258514,1.3333333730697632,0.0,21.85,100
L-1:4,9.002124692170412,2.7679363622158655,12.127330511376579,11.540564003282372,14.876075348701551,14.544548729770856,6.544929787089709,2.65472641143081,12.475793935136641,21.46388720954788,994.5712280273438,207.0714569091797,651.752197265625,601.5450439453125,179.6898956298828,916.1365356445313,150.3252410888672,788.03369140625,696.619384765625,539.8450927734375,1137.36572265625,68.69821166992188,706.5875854492188,497.1253967285156,616.2109375,1230.475341796875,60.04239273071289,1123.141357421875,880.4739379882813,648.7265014648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.68560791015625,-16.978059768676758,-2.582676649093628,107.12203979492188,-17.060617446899414,-2.6001782417297363,107.81964111328125,-17.349166870117188,-2.5634381771087646,108.34716796875,-17.7128849029541,-2.353872060775757,108.70401000976563,-18.364463806152344,-2.2281713485717773,108.93429565429688,-18.951217651367188,-1.990607500076294,108.91146850585938,-19.032487869262695,-2.0466530323028564,106.898681640625,-16.85440444946289,-1.6227155923843384,106.5989990234375,-16.9197998046875,-1.9858686923980713,106.502685546875,-16.985963821411133,-2.391324520111084,15.071606473763687,15.684144204947097,1.0,0.011772727272727273,4.0000001192092896,8.56,21.83,100
L-1:5,3.562260527462684,1.5758542075738196,8.732318483126523,5.452477348444988,6.310654281097758,4.192973564708381,0.5632910818927194,3.5002084208392668,0.5191756791909649,7.3687837404641225,931.8458251953125,1.750646948814392,856.4580078125,534.1022338867188,208.44009399414063,592.7431640625,275.68572998046875,1083.3660888671875,838.8414306640625,771.8067626953125,920.31787109375,94.94810485839844,730.8527221679688,743.706787109375,351.1705322265625,946.1459350585938,206.4427490234375,1025.1314697265625,454.4622497558594,413.2214660644531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.86856079101563,-17.046777725219727,-2.247011423110962,107.02621459960938,-17.109346389770508,-2.3937160968780518,108.00079345703125,-18.205087661743164,-2.48848819732666,107.98321533203125,-18.605253219604492,-2.201571226119995,108.6015625,-18.90389060974121,-2.6498959064483643,108.47238159179688,-18.885448455810547,-2.2178916931152344,108.3349609375,-18.750688552856445,-1.9796862602233887,107.9718017578125,-18.228092193603516,-1.728999376296997,107.54132080078125,-17.91683006286621,-1.8310688734054565,107.13543701171875,-17.1754093170166,-1.9232875108718872,3.797169763656803,5.738185337681304,1.0,0.011872529644268775,4.33333346247673,0.0,24.03,0
L-1:6,2.3380905231802007,2.9042359835748743,4.284945174225256,0.6884126998442669,2.2000971220905687,5.8306552931586015,1.5458750410993793,1.660555210067817,2.75756712259899,1.209151980079745,924.6897583007813,118.6511001586914,435.8567199707031,359.6536560058594,343.2362976074219,808.116943359375,169.218505859375,899.6767578125,714.9818725585938,518.6503295898438,721.0546875,27.889148712158203,803.7540893554688,696.504638671875,319.0483703613281,791.335205078125,298.33282470703125,798.82958984375,680.4441528320313,471.4159851074219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.90838623046875,-16.898521423339844,-2.450056552886963,107.04144287109375,-17.3110408782959,-2.7948431968688965,107.04144287109375,-17.3110408782959,-2.7948431968688965,107.23785400390625,-17.650835037231445,-3.0488240718841553,107.36868286132813,-19.23379135131836,-3.6926841735839844,107.31341552734375,-19.585283279418945,-3.510622501373291,107.01470947265625,-19.892410278320313,-3.243482828140259,107.01470947265625,-19.892410278320313,-3.243482828140259,107.3433837890625,-18.786579132080078,-2.5992133617401123,107.37106323242188,-18.101816177368164,-2.2482690811157227,12.820448996010981,5.1450878259751995,1.0,0.012674897119341562,0.6666666865348816,0.0,19.36,0
L-1:7,1.7967960894230959,4.790032930721616,7.902423480374124,5.029460383684407,1.6014355665778535,4.266524666289262,0.9907258866814888,4.10585296431101,9.641288639677652,10.248789917609296,1161.224853515625,201.27825927734375,718.6388549804688,680.3611450195313,324.20599365234375,1329.9864501953125,52.262081146240234,506.87823486328125,426.86669921875,512.9571533203125,954.8525390625,141.10472106933594,893.2297973632813,695.8248291015625,235.31561279296875,1071.051513671875,383.4898986816406,972.3759155273438,882.7086181640625,878.9773559570313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.4456787109375,-17.120389938354492,-2.1756811141967773,106.58657836914063,-17.12766456604004,-2.178373336791992,106.19400024414063,-16.928682327270508,-2.9056599140167236,106.3167724609375,-17.2911319732666,-2.8764774799346924,106.24310302734375,-17.879602432250977,-2.8245468139648438,106.24893188476563,-18.033912658691406,-2.5505878925323486,106.09359741210938,-17.661521911621094,-2.1234564781188965,106.09359741210938,-17.661521911621094,-2.1234564781188965,106.19631958007813,-17.071014404296875,-1.9955486059188843,106.4456787109375,-17.120389938354492,-2.1756811141967773,3.3992666473494006,7.213815824862437,1.0,0.012444144838212635,1.3333333730697632,0.0,18.46,0
L-1:8,14.264564904789852,9.80436670938765,2.471923919772794,3.796176886191004,15.28342657851072,19.261372066518078,24.41404639087216,15.268887669874243,2.0183795400320896,6.8598999258750775,842.2171630859375,271.5484313964844,710.8054809570313,546.5072021484375,220.04190063476563,916.2486572265625,373.3113708496094,872.3426513671875,953.1801147460938,501.5810546875,764.6220092773438,27.36301040649414,783.1760864257813,548.7857666015625,667.446044921875,937.5455322265625,58.76464080810547,1395.4034423828125,847.9734497070313,522.8157958984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.46685791015625,-17.227319717407227,-2.0896387100219727,106.0306396484375,-18.39101219177246,-3.4498560428619385,106.0306396484375,-18.39101219177246,-3.4498560428619385,106.4100341796875,-19.054351806640625,-3.291800022125244,106.3189697265625,-19.195253372192383,-3.109814167022705,106.3189697265625,-19.195253372192383,-3.109814167022705,106.15737915039063,-19.43872833251953,-3.0948853492736816,105.962890625,-18.4429874420166,-2.6050922870635986,105.962890625,-18.4429874420166,-2.6050922870635986,106.08566284179688,-17.571102142333984,-2.2902395725250244,12.815451884650068,15.502714402305841,1.0,0.010704187544738725,5.333333492279053,5.83,17.09,0
L-1:9,1.1392665135003672,2.8825189677676013,11.271435000016856,17.83491318116704,6.776039095010779,0.5363303068281243,1.2441474117405493,2.916320746705928,7.0433294981459476,4.955568483568439,778.89404296875,23.866661071777344,668.966796875,384.88970947265625,443.5964660644531,754.3379516601563,223.9648895263672,2002.5955810546875,748.0291748046875,602.8303833007813,991.688232421875,167.9909210205078,606.8444213867188,543.0291137695313,430.3849792480469,983.4740600585938,247.69677734375,980.1284790039063,955.7610473632813,705.0827026367188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.15283203125,-18.0615291595459,-2.957413673400879,106.36392211914063,-18.180845260620117,-3.1153275966644287,106.457275390625,-18.64946746826172,-3.2107272148132324,106.72946166992188,-19.445249557495117,-3.8923420906066895,106.72946166992188,-19.445249557495117,-3.8923420906066895,106.59796142578125,-19.33592987060547,-3.4736268520355225,106.5904541015625,-19.593202590942383,-3.268322229385376,106.35528564453125,-19.264455795288086,-3.0731446743011475,106.058837890625,-18.50517463684082,-2.7872869968414307,106.063232421875,-18.039005279541016,-2.722506523132324,13.003572594596614,6.688557969147501,1.0,0.011496674057649666,4.33333346247673,0.0,20.74,0
L-1:10,0.9072237005645767,2.4713106431559413,5.319044701118479,3.9633323607740616,8.33836307302715,0.919554423220448,5.337284258760787,7.580929046449206,9.36996694974675,3.5473070956829247,986.4729614257813,1.5665756464004517,588.3526611328125,337.73760986328125,268.63238525390625,2322.249755859375,534.2218017578125,1094.83837890625,797.4967041015625,770.4676513671875,888.8920288085938,66.60964965820313,879.1137084960938,365.9276428222656,485.9605712890625,1217.388916015625,378.54052734375,980.3262939453125,1121.3712158203125,721.3792724609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.7730712890625,-18.186296463012695,-2.9967124462127686,103.85308837890625,-18.0159912109375,-2.757575750350952,104.3245849609375,-18.71468734741211,-4.916749477386475,104.37823486328125,-19.539228439331055,-4.939759731292725,104.19119262695313,-20.322954177856445,-4.858691692352295,104.09036254882813,-20.616668701171875,-4.6643524169921875,103.80990600585938,-20.206966400146484,-4.231196403503418,103.65548706054688,-18.807918548583984,-3.2392330169677734,103.55398559570313,-18.212900161743164,-2.8701460361480713,103.57351684570313,-18.033634185791016,-2.8144752979278564,18.73403115452114,4.338028490841371,1.0,0.010176252319109463,5.000000149011612,0.0,21.94,0
