Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.490377492873585,1.1731380350917504,4.510068042624394,1.780866261603947,3.3264749950098977,1.118033988749895,6.33338796768466,2.034051340045634,1.0405865502421292,3.960663285853314,1010.984619140625,82.94884490966797,473.32379150390625,493.5754699707031,344.8785095214844,973.0813598632813,451.31475830078125,893.8922119140625,927.5900268554688,537.0703735351563,1238.915283203125,199.22885131835938,1023.6168212890625,1197.7928466796875,178.59494018554688,881.26123046875,338.31158447265625,772.409912109375,547.539306640625,484.3892822265625,0.24705883860588074,0.2392157018184662,0.23137256503105164,0.2352941334247589,0.2352941334247589,0.2392157018184662,0.2352941334247589,0.2392157018184662,0.250980406999588,0.2549019753932953,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,244.41281127929688,-66.42436981201172,-2.9963300228118896,243.58279418945313,-66.87336730957031,-2.092945098876953,244.52545166015625,-67.59282684326172,-2.2694320678710938,245.595947265625,-68.22219848632813,-2.5879831314086914,246.35610961914063,-68.93182373046875,-3.0097732543945313,246.55958557128906,-69.70600128173828,-4.421727180480957,246.9849090576172,-70.99381256103516,-6.8367743492126465,242.50726318359375,-68.08412170410156,-8.597356796264648,243.23248291015625,-69.24076080322266,-7.8506999015808105,244.65142822265625,-67.50544738769531,-6.604421138763428,4.756574397610112,7.546683156259545,-1.0,0.011775335320417288,1.0,0.0,27.09,4
L-1:2,4.430011286667337,0.8919359225771294,2.7993842597253797,0.27812349350050264,7.973238699471516,9.5818839483684,4.960359088613851,4.6043103438434265,1.8580365212580656,1.4631205534514118,1561.90185546875,61.57194900512695,967.4400634765625,893.8721923828125,143.43894958496094,978.99169921875,167.92515563964844,1136.7445068359375,620.0234375,842.4013671875,1380.3431396484375,355.30499267578125,982.8837890625,707.3890380859375,346.5345764160156,1413.927001953125,622.5979614257813,1443.1875,1594.9783935546875,978.6961669921875,0.22745099663734436,0.23137256503105164,0.22352942824363708,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.2392157018184662,0.2352941334247589,0.22745099663734436,0.23137256503105164,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.2666666805744171,0.2666666805744171,249.63668823242188,-66.57351684570313,-7.140951633453369,251.1234893798828,-64.56031799316406,-3.5676825046539307,250.62759399414063,-64.82012176513672,-2.9591851234436035,250.2172088623047,-65.03701782226563,-2.7809431552886963,249.9534454345703,-66.2020263671875,-3.0580241680145264,249.9534454345703,-66.2020263671875,-3.0580241680145264,249.85687255859375,-67.62210083007813,-4.1341872215271,249.5211639404297,-68.27848052978516,-5.526552677154541,249.6698760986328,-67.62751770019531,-6.594573497772217,249.6698760986328,-67.62751770019531,-6.594573497772217,5.1478150704935,7.247844972272783,-1.0,0.008459090909090907,5.5,0.0,18.61,68
L-1:3,1.2747548783981961,1.0125084226102004,8.389064046686482,8.600747656077505,3.045147067528546,1.2747548783981961,1.5233189624749544,1.9532733439939314,1.602651817511911,2.840057597826802,1365.375732421875,396.2826232910156,1190.5328369140625,851.4240112304688,737.4199829101563,1385.84228515625,416.1028137207031,1331.03955078125,774.9578857421875,1032.96142578125,1741.022705078125,236.90585327148438,1444.7061767578125,849.7770385742188,701.2467651367188,1089.2926025390625,744.794189453125,1679.733642578125,1346.2252197265625,824.2180786132813,0.2392157018184662,0.2392157018184662,0.2352941334247589,0.24313727021217346,0.24313727021217346,0.2352941334247589,0.2392157018184662,0.2392157018184662,0.23137256503105164,0.2352941334247589,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2666666805744171,248.73284912109375,-65.25064849853516,-4.023574352264404,248.2335662841797,-65.19009399414063,-4.086228847503662,251.24819946289063,-63.7855224609375,-6.2288970947265625,251.02215576171875,-63.23514175415039,-6.643369197845459,250.328369140625,-64.15071868896484,-6.511491298675537,248.87393188476563,-65.86930847167969,-5.845729351043701,248.87393188476563,-65.86930847167969,-5.845729351043701,248.6831512451172,-65.78023529052734,-4.738910675048828,249.272216796875,-65.38056945800781,-4.023442268371582,248.73284912109375,-65.25064849853516,-4.023574352264404,14.705441169852742,4.994423433727827,1.0,0.007739062090647105,0.75,0.0,16.88,108
L-1:4,2.3048861143232218,1.5763850027697364,4.569499569152309,10.252899167444873,9.43229913911598,17.516064055603362,15.289784717102023,8.934480188008195,9.84723578729507,10.634208704280471,2271.04736328125,103.37409973144531,1125.170166015625,610.9469604492188,1106.044189453125,2698.733154296875,736.699951171875,1838.7823486328125,1318.2708740234375,842.8861694335938,2194.267333984375,2.7480807304382324,2045.2894287109375,1196.7247314453125,841.2471923828125,3128.964111328125,628.0294189453125,2366.300048828125,1426.8270263671875,623.4527587890625,0.24313727021217346,0.2392157018184662,0.22745099663734436,0.22745099663734436,0.2392157018184662,0.22745099663734436,0.22745099663734436,0.23137256503105164,0.21568629145622253,0.2352941334247589,0.30000001192092896,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.2666666805744171,253.05291748046875,-65.99247741699219,-6.85341215133667,253.05291748046875,-65.99247741699219,-6.85341215133667,253.84176635742188,-66.27247619628906,-7.080900192260742,254.00088500976563,-66.80347442626953,-7.340068340301514,253.74322509765625,-66.73713684082031,-7.294571399688721,250.9456787109375,-67.26406860351563,-8.585233688354492,250.17591857910156,-67.40359497070313,-8.204355239868164,249.88162231445313,-67.51244354248047,-8.016922950744629,250.11801147460938,-67.06572723388672,-7.487608909606934,251.34060668945313,-66.47695922851563,-6.906658172607422,6.896557112066861,7.745633791490306,1.0,0.005978053435114504,7.0,4.37,19.69,100
L-1:5,2.0,2.9420788848069295,3.8944452101193696,4.788606024018093,0.5731278534913836,3.2882366094914763,2.2314957582344004,2.5308662283668633,3.781359897683861,1.9104212440344048,1359.6502685546875,85.63114166259766,663.6682739257813,761.3653564453125,304.1197509765625,818.362060546875,350.3573913574219,885.2207641601563,691.6460571289063,663.0868530273438,776.1057739257813,162.83126831054688,1236.7926025390625,845.7730102539063,480.62896728515625,1380.4405517578125,246.05621337890625,1120.88134765625,1073.99658203125,654.3604736328125,0.22352942824363708,0.2352941334247589,0.23137256503105164,0.2392157018184662,0.2352941334247589,0.23137256503105164,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.22352942824363708,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2666666805744171,251.4981689453125,-65.43928527832031,-5.036579608917236,251.53216552734375,-65.24443817138672,-5.115073204040527,251.25717163085938,-66.02699279785156,-5.33543586730957,251.25717163085938,-66.02699279785156,-5.33543586730957,251.29295349121094,-65.84336853027344,-5.284330368041992,247.7357635498047,-67.6955337524414,-6.913959503173828,248.60597229003906,-67.12548828125,-6.18212366104126,249.787353515625,-66.09876251220703,-5.38320255279541,250.91024780273438,-65.5050048828125,-5.063560485839844,251.4981689453125,-65.43928527832031,-5.036579608917236,5.926634795564849,2.465376483474875,1.0,0.010267707752370328,0.0,0.0,21.04,64
L-1:6,2.7950849718747373,2.6395043224858807,3.0201528784944194,1.575847356680426,7.455826911692598,9.013878188659973,2.1434596009529274,2.2973202949792193,2.8414556813086307,3.5713389162970572,1829.5194091796875,369.1091003417969,851.4617309570313,740.6830444335938,451.64776611328125,1005.4989013671875,299.8622131347656,1833.636474609375,888.11572265625,847.5664672851563,1144.6842041015625,174.44442749023438,802.340087890625,830.3759155273438,376.6214599609375,774.5388793945313,319.6984558105469,1385.459228515625,1386.7916259765625,1129.6357421875,0.22745099663734436,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.22745099663734436,0.22352942824363708,0.23137256503105164,0.24705883860588074,0.22745099663734436,0.2039215862751007,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.2666666805744171,0.2666666805744171,252.66079711914063,-62.92624282836914,-6.472010612487793,253.61520385742188,-62.71426773071289,-6.699901103973389,255.17739868164063,-62.598453521728516,-7.227070331573486,255.78533935546875,-62.524559020996094,-7.505614757537842,255.7970733642578,-62.95156478881836,-7.376941204071045,255.67233276367188,-63.10822296142578,-7.308790683746338,255.73085021972656,-63.35234451293945,-7.087429523468018,255.85186767578125,-63.64078140258789,-6.6234893798828125,251.41830444335938,-63.77345657348633,-7.9037675857543945,252.17733764648438,-63.434722900390625,-6.766651153564453,4.47213595499958,9.008859314298121,1.0,0.008744331677823364,0.5,0.0,23.14,108
L-1:7,11.2527774349269,9.060876195672822,1.1619980634772196,0.9562062759670973,7.419338201169284,5.055937104039171,3.8632475110943765,6.895828419638729,6.867649537015893,2.72207174811778,1303.3416748046875,88.65099334716797,1468.75048828125,1191.162841796875,250.24586486816406,2002.2720947265625,634.4783325195313,1378.3009033203125,655.1326293945313,576.7361450195313,1487.4727783203125,277.7046813964844,1364.6915283203125,1444.6715087890625,342.8391418457031,1480.114501953125,509.229736328125,1450.848876953125,1236.213134765625,845.2800903320313,0.24313727021217346,0.2352941334247589,0.22745099663734436,0.22745099663734436,0.2392157018184662,0.23137256503105164,0.24313727021217346,0.24313727021217346,0.24705883860588074,0.23137256503105164,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.2666666805744171,252.43203735351563,-62.7650032043457,-7.344655990600586,251.6436767578125,-62.654239654541016,-7.146567344665527,251.27940368652344,-62.5075798034668,-6.693302154541016,251.27940368652344,-62.5075798034668,-6.693302154541016,250.32373046875,-63.843421936035156,-7.225471496582031,250.31698608398438,-64.0808334350586,-7.9184370040893555,250.31698608398438,-64.0808334350586,-7.9184370040893555,250.17172241210938,-64.08345794677734,-8.627978324890137,250.44215393066406,-63.89209747314453,-8.73853588104248,250.44215393066406,-63.89209747314453,-8.73853588104248,2.2638462845343543,5.955308626115339,-1.0,0.007664141414141414,1.75,0.0,18.21,64
L-1:8,1.5811388300841898,11.077332746183586,0.8959437206885718,2.016456233932712,5.767159681428083,4.8541219597369,15.903675139390312,11.272676170733169,6.697547237545433,2.03815063085111,1195.74853515625,175.33177185058594,1058.237548828125,983.8899536132813,188.7767333984375,1938.71923828125,231.93800354003906,992.1066284179688,820.9915771484375,597.8283081054688,1549.511962890625,421.3079833984375,1686.8302001953125,1509.470703125,859.472900390625,1729.5528564453125,317.4447021484375,1508.8292236328125,863.406005859375,854.1068115234375,0.1882353127002716,0.23137256503105164,0.22745099663734436,0.22745099663734436,0.2352941334247589,0.24313727021217346,0.2392157018184662,0.2352941334247589,0.2352941334247589,0.22745099663734436,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.2666666805744171,250.6314697265625,-60.707576751708984,-6.950601577758789,252.21087646484375,-60.82148742675781,-3.8998279571533203,251.89739990234375,-60.81759262084961,-3.7610135078430176,251.89739990234375,-60.81759262084961,-3.7610135078430176,250.83935546875,-61.57671356201172,-4.01675271987915,249.4934539794922,-62.77701950073242,-5.2678117752075195,248.21389770507813,-63.76483154296875,-6.771555423736572,248.38568115234375,-63.46726989746094,-7.754612445831299,248.38568115234375,-63.46726989746094,-7.754612445831299,249.46478271484375,-62.19032669067383,-7.794613361358643,7.603453162872775,10.560866348174809,-1.0,0.007334498834498835,1.75,5.17,17.98,108
L-1:9,3.25,6.636392460759139,4.467108204533173,2.7068368166016765,9.210419966656909,5.055937104039171,1.7967253814735071,4.229260720414975,10.351326036070075,9.043791795128303,1346.98046875,302.5667419433594,575.067626953125,601.95849609375,480.8771667480469,1543.2066650390625,78.20476531982422,1489.35693359375,971.032958984375,672.0140380859375,1551.4580078125,111.23936462402344,768.3837280273438,1000.8010864257813,342.8453369140625,676.223876953125,421.5302734375,1237.997314453125,1154.5250244140625,927.3890380859375,0.22745099663734436,0.23137256503105164,0.22745099663734436,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.24313727021217346,0.24705883860588074,0.2196078598499298,0.22352942824363708,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.2666666805744171,252.09103393554688,-62.70941162109375,-5.674835681915283,252.08108520507813,-62.03371047973633,-5.133923530578613,251.1541290283203,-61.82759094238281,-4.6529741287231445,251.1541290283203,-61.82759094238281,-4.6529741287231445,250.3365478515625,-62.12223815917969,-4.522420883178711,249.47647094726563,-62.59397506713867,-4.927016735076904,253.00364685058594,-62.56901931762695,-5.366028308868408,252.02862548828125,-63.68376159667969,-5.753404140472412,251.48757934570313,-63.908023834228516,-6.001488208770752,251.43777465820313,-63.062992095947266,-5.9110493659973145,9.737171047075224,8.35245746498466,-1.0,0.008789994921279838,0.25,0.0,19.78,64
L-1:10,7.057797106746552,4.861074783855352,10.347322280990074,4.658305716622766,3.612169189207339,4.25,0.7372506793275243,4.475478906835313,4.645388550704037,11.732857448051433,2070.387451171875,461.9724426269531,850.9996337890625,906.1950073242188,319.13751220703125,931.0092163085938,41.35026931762695,1330.44091796875,825.560791015625,559.7965698242188,1095.1922607421875,243.20811462402344,1222.671142578125,1061.383056640625,200.02459716796875,1299.3870849609375,482.9574890136719,2087.663818359375,1174.9718017578125,1389.203125,0.2352941334247589,0.22745099663734436,0.2352941334247589,0.23137256503105164,0.23137256503105164,0.22745099663734436,0.23137256503105164,0.23137256503105164,0.22745099663734436,0.2352941334247589,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,252.05975341796875,-61.46991729736328,-3.823806047439575,252.50799560546875,-61.77875900268555,-4.162639617919922,252.40719604492188,-61.658111572265625,-4.4188690185546875,252.66477966308594,-61.38269805908203,-4.757843971252441,252.66802978515625,-61.66709518432617,-5.108553409576416,253.05038452148438,-62.157718658447266,-4.902562141418457,253.39523315429688,-61.454444885253906,-4.952244758605957,253.6886749267578,-60.566856384277344,-4.835239887237549,250.80209350585938,-61.562103271484375,-4.01577615737915,250.80209350585938,-61.562103271484375,-4.01577615737915,1.0307764064044151,6.012656680060526,1.0,0.008100247524752476,1.0,0.0,20.57,4
