Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.419000049235578,17.09978867584267,2.108630127418875,3.6498079581102423,1.8963264003773943,5.467073318550385,5.472091734374073,7.839520732308878,6.043524182664744,6.602286277764909,2793.123046875,846.355712890625,3721.373291015625,2095.222412109375,1146.23828125,1982.299560546875,1404.3201904296875,1854.7730712890625,94.83126068115234,94.84046936035156,2840.957275390625,531.2627563476563,2405.115966796875,1897.5306396484375,921.6561889648438,3538.04833984375,691.6325073242188,2869.845458984375,1422.4559326171875,1137.2091064453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,352.4962463378906,-30.52408790588379,-19.81833267211914,352.4962463378906,-30.52408790588379,-19.81833267211914,350.70111083984375,-29.95937156677246,-18.821929931640625,350.70111083984375,-29.95937156677246,-18.821929931640625,355.1299133300781,-31.41559600830078,-17.965192794799805,355.0386962890625,-32.53219985961914,-23.85820198059082,355.0386962890625,-32.53219985961914,-23.85820198059082,354.27239990234375,-32.894325256347656,-23.7823429107666,354.27239990234375,-32.894325256347656,-23.7823429107666,352.4962463378906,-30.52408790588379,-19.81833267211914,2.7487371656638557,8.582806279274273,1.0,0.006081967213114755,8.000000238418579,0.0,11.66,64
L-1:2,12.706079413701275,26.428532552301483,20.11123307314025,1.5234769178616563,11.94192292887762,7.520343005909332,8.038032128094656,5.310740747333739,21.89926445163244,16.910424343867803,1993.026611328125,566.8604125976563,1766.27294921875,1359.4141845703125,1321.3333740234375,2389.829345703125,357.17120361328125,3249.392822265625,1816.99560546875,1165.1044921875,3812.33251953125,1260.30322265625,1903.3670654296875,498.1630859375,277.92510986328125,2576.542724609375,1028.1978759765625,2923.385986328125,1268.352783203125,1617.5335693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,353.7880554199219,-29.929975509643555,-20.956584930419922,353.4000549316406,-29.589107513427734,-19.75417709350586,353.4000549316406,-29.589107513427734,-19.75417709350586,354.655517578125,-30.14600944519043,-19.762283325195313,354.655517578125,-30.14600944519043,-19.762283325195313,357.12103271484375,-31.775997161865234,-22.6695499420166,357.12103271484375,-31.775997161865234,-22.6695499420166,356.0088195800781,-30.918445587158203,-22.01363182067871,353.7880554199219,-29.929975509643555,-20.956584930419922,353.7880554199219,-29.929975509643555,-20.956584930419922,13.068197578737731,12.567929331822931,1.0,0.005096212121212121,8.33333358168602,0.0,9.61,100
L-1:3,4.807401843890387,1.3679505216148895,4.230461340693816,6.92152751049219,4.149379903652617,6.641619812992786,9.839414252570984,7.281806712125247,4.488806641158186,12.692984100986124,3163.441650390625,727.6715698242188,886.5639038085938,922.6305541992188,448.5313720703125,2073.646728515625,590.459716796875,2420.818115234375,1618.096435546875,1185.5283203125,2110.5478515625,46.06973648071289,2364.052001953125,1477.474365234375,1077.7667236328125,2158.2197265625,375.7021484375,3461.364013671875,1827.036865234375,690.9625854492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.021568628028035164,352.8598937988281,-25.282167434692383,-17.75569725036621,352.8598937988281,-25.282167434692383,-17.75569725036621,356.72998046875,-26.689943313598633,-21.310400009155273,356.72998046875,-26.689943313598633,-21.310400009155273,356.4352722167969,-27.516481399536133,-21.75981903076172,356.4352722167969,-27.516481399536133,-21.75981903076172,356.4352722167969,-27.516481399536133,-21.75981903076172,355.7139892578125,-26.40142250061035,-20.755327224731445,355.7139892578125,-26.40142250061035,-20.755327224731445,352.8598937988281,-25.282167434692383,-17.75569725036621,9.055385408008924,12.759742515768854,1.0,0.005845524207593173,3.6666667759418488,0.0,9.59,64
L-1:4,25.368397543291067,20.094696412374784,6.777390067147112,2.3108615606086294,1.4452593912815896,2.108185169607714,7.618676339748233,9.559495200984209,3.572078803570453,10.024909822525414,3175.29736328125,339.4666748046875,2368.94970703125,919.1376953125,412.3048095703125,1566.9569091796875,252.89927673339844,769.8948974609375,1331.2044677734375,1010.4373779296875,2434.413330078125,233.2476043701172,2625.0966796875,2586.3359375,1768.014892578125,3929.770263671875,993.77685546875,2462.2734375,2513.377197265625,923.0193481445313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,7.378083229064941,-30.801475524902344,-18.558805465698242,7.595253944396973,-31.16253662109375,-18.052316665649414,7.595253944396973,-31.16253662109375,-18.052316665649414,9.729851722717285,-32.08522033691406,-19.899490356445313,10.181317329406738,-32.413795471191406,-21.296247482299805,10.181317329406738,-32.413795471191406,-21.296247482299805,10.266014099121094,-32.29561233520508,-20.836313247680664,10.266014099121094,-32.29561233520508,-20.836313247680664,10.266014099121094,-32.29561233520508,-20.836313247680664,7.378083229064941,-30.801475524902344,-18.558805465698242,9.024657849409678,21.51727676665399,1.0,0.00636892177589852,11.000000327825546,3.04,12.05,68
L-1:5,11.685699110233031,13.593286701019741,7.0152439161849305,2.7219420975602384,2.2387425567159958,4.2163703392154455,3.8586886739865465,0.27495778489646855,5.758477752135853,6.013006886070483,2377.24755859375,185.9296417236328,1734.1700439453125,1312.908447265625,672.337646484375,2119.4169921875,1693.80224609375,2879.125732421875,1984.834228515625,2011.369384765625,2305.2587890625,222.01307678222656,1737.7218017578125,1296.0816650390625,1179.6962890625,1438.460693359375,1307.2452392578125,2698.93310546875,1586.817138671875,2027.337158203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,14.44822883605957,-32.319091796875,-23.41965675354004,14.44822883605957,-32.319091796875,-23.41965675354004,16.06965446472168,-33.265045166015625,-24.176902770996094,16.06965446472168,-33.265045166015625,-24.176902770996094,16.313291549682617,-35.69245529174805,-26.202850341796875,16.313291549682617,-35.69245529174805,-26.202850341796875,16.313291549682617,-35.69245529174805,-26.202850341796875,15.634933471679688,-33.436370849609375,-25.00820541381836,15.634933471679688,-33.436370849609375,-25.00820541381836,14.44822883605957,-32.319091796875,-23.41965675354004,10.022197884266703,3.727923510087769,1.0,0.0054537068097953705,1.0000000298023224,0.0,9.29,32
L-1:6,6.798692887407211,1.4527422598431088,2.1290467183599437,2.6526580384721594,2.933667183870148,6.86375363188046,3.372744151848209,5.6882984213685654,4.662848134789075,10.165208124847378,2014.5916748046875,59.961246490478516,1561.7803955078125,1475.21728515625,648.765625,1565.7491455078125,778.3158569335938,1282.2406005859375,1150.0418701171875,627.527099609375,2500.405517578125,30.340709686279297,2223.16748046875,1062.66650390625,498.7285461425781,2376.91455078125,1392.481689453125,3814.65283203125,1029.4017333984375,1638.4466552734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,14.769719123840332,-28.31914710998535,-17.70208740234375,14.769719123840332,-28.31914710998535,-17.70208740234375,15.964472770690918,-30.42258071899414,-19.039955139160156,15.964472770690918,-30.42258071899414,-19.039955139160156,14.949844360351563,-28.660812377929688,-19.547649383544922,14.193703651428223,-28.75191307067871,-20.002273559570313,14.193703651428223,-28.75191307067871,-20.002273559570313,14.193703651428223,-28.75191307067871,-20.002273559570313,13.807962417602539,-27.436647415161133,-17.609376907348633,13.807962417602539,-27.436647415161133,-17.609376907348633,9.433981413211152,5.305325234090071,1.0,0.006448746726524505,2.3333334028720856,0.0,9.85,36
L-1:7,19.711813176754486,13.798638729461878,11.03801610695061,2.4934436729372393,6.288006249300521,4.123105748495779,3.0401118891662873,5.054123548789694,1.5948820215790378,6.541896941836276,2898.42236328125,519.0068359375,2233.890869140625,1693.9017333984375,578.9544677734375,2035.529052734375,1552.3648681640625,3069.9345703125,2119.043701171875,2068.503662109375,2318.507568359375,2.4612314701080322,1602.59814453125,1588.77490234375,814.9812622070313,2695.267333984375,444.17095947265625,1846.5897216796875,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.01764705963432789,15.283804893493652,-30.48689079284668,-21.597658157348633,16.84326934814453,-30.901639938354492,-23.089332580566406,16.84326934814453,-30.901639938354492,-23.089332580566406,16.84326934814453,-30.901639938354492,-23.089332580566406,16.881567001342773,-30.252670288085938,-22.13728141784668,16.881567001342773,-30.252670288085938,-22.13728141784668,16.881567001342773,-30.252670288085938,-22.13728141784668,15.765811920166016,-30.067148208618164,-20.1923828125,15.765811920166016,-30.067148208618164,-20.1923828125,14.948882102966309,-29.948644638061523,-19.838226318359375,14.925742562980519,11.794852463943682,1.0,0.005315508021390375,4.33333346247673,0.0,8.52,68
L-1:8,14.240006666581142,18.40847501985813,17.267217736814377,13.875422716819566,12.665804418143356,4.3461350663266805,6.396585700536895,6.2085416576485555,7.977965222615755,11.068904890859265,2913.174072265625,232.13075256347656,2671.163330078125,2292.34814453125,1576.86669921875,3470.856689453125,1197.864990234375,3064.1630859375,3003.8466796875,2658.91259765625,3121.7958984375,199.8291473388672,2208.520263671875,2433.939453125,597.7305297851563,904.1072387695313,967.9134521484375,2084.8896484375,1537.064208984375,1352.63330078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,25.947551727294922,-30.61479949951172,-22.29709243774414,27.957782745361328,-31.84650230407715,-23.291574478149414,27.957782745361328,-31.84650230407715,-23.291574478149414,27.957782745361328,-31.84650230407715,-23.291574478149414,30.782499313354492,-32.79288101196289,-24.85941505432129,30.782499313354492,-32.79288101196289,-24.85941505432129,31.020862579345703,-32.84758377075195,-25.254928588867188,30.142892837524414,-32.224830627441406,-24.73947525024414,27.654752731323242,-31.84125328063965,-24.34599494934082,25.947551727294922,-30.61479949951172,-22.29709243774414,8.749603426362953,17.736662855396006,1.0,0.004606015242242787,15.333333790302277,2.69,9.67,64
L-1:9,6.8718429141596395,6.16519048454147,5.214019284707616,4.6819365236470025,14.683736384191388,5.206833272446822,7.981034530739357,18.772273209363117,16.978876833485653,9.78535050126133,1416.8370361328125,413.1878356933594,1756.9515380859375,1428.101318359375,59.16011428833008,1553.147705078125,729.6856079101563,2083.65234375,1845.22705078125,501.4601745605469,2112.655517578125,1219.182373046875,2114.105224609375,1756.7122802734375,876.8095703125,3864.187744140625,567.8126220703125,1804.8758544921875,1671.0848388671875,1465.6077880859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,34.25051498413086,-31.820816040039063,-23.031600952148438,33.119503021240234,-29.868988037109375,-21.36500358581543,34.256900787353516,-30.451745986938477,-21.382465362548828,34.256900787353516,-30.451745986938477,-21.382465362548828,35.06403350830078,-31.09571647644043,-20.56256103515625,36.29703140258789,-32.691314697265625,-23.68088150024414,36.29703140258789,-32.691314697265625,-23.68088150024414,36.29703140258789,-32.691314697265625,-23.68088150024414,34.25051498413086,-31.820816040039063,-23.031600952148438,34.25051498413086,-31.820816040039063,-23.031600952148438,15.538483157491758,14.474213822688382,-1.0,0.006002872592091923,5.000000149011612,0.0,10.15,4
L-1:10,4.5338236380302845,0.710194466057175,7.380496480531821,2.799893980320952,14.725162935112854,18.345451087826383,14.921240238446591,10.649040998102702,11.268263609562663,12.48970406687705,2317.6337890625,523.511474609375,1549.283935546875,1769.9215087890625,380.31573486328125,1958.026611328125,607.4176635742188,835.7940063476563,2201.749755859375,1018.4857177734375,2798.877197265625,282.07318115234375,2470.864990234375,2368.97509765625,1103.8583984375,2118.1650390625,1560.4072265625,2758.643798828125,2178.197021484375,2559.871337890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,35.158748626708984,-27.703615188598633,-17.27644157409668,35.158748626708984,-27.703615188598633,-17.27644157409668,35.739925384521484,-28.905261993408203,-17.330759048461914,37.79484558105469,-31.08072853088379,-21.341623306274414,37.5543212890625,-30.697097778320313,-21.0192813873291,37.5543212890625,-30.697097778320313,-21.0192813873291,37.5543212890625,-30.697097778320313,-21.0192813873291,35.380924224853516,-27.877071380615234,-17.670717239379883,35.380924224853516,-27.877071380615234,-17.670717239379883,35.380924224853516,-27.877071380615234,-17.670717239379883,5.385164967624921,15.086983294285426,1.0,0.006340067340067339,11.666667014360428,0.0,10.76,100
