Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.050680152133056,1.1720023009814218,1.4169826952323479,14.7893844357975,12.338719772876749,3.2020858556418377,0.94664612321093,5.977601790368116,5.324270860892969,2.2593263172173477,855.919921875,43.08805847167969,583.8667602539063,424.5857238769531,205.1605987548828,757.4785766601563,359.3017272949219,788.5455322265625,697.9564208984375,682.4186401367188,804.8170776367188,25.11412239074707,1137.3326416015625,660.7872924804688,434.886474609375,1151.3941650390625,384.46728515625,1218.1593017578125,924.6722412109375,599.5601196289063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.00244140625,-9.383733749389648,-12.02039909362793,115.37261962890625,-9.388029098510742,-11.612722396850586,116.37203979492188,-10.263035774230957,-11.477348327636719,117.053955078125,-11.1318941116333,-11.975788116455078,117.549560546875,-11.835395812988281,-12.18437385559082,117.6204833984375,-10.7816743850708,-12.967562675476074,117.25469970703125,-10.949711799621582,-13.255842208862305,116.4327392578125,-10.69997787475586,-13.446568489074707,115.44708251953125,-9.752156257629395,-13.085129737854004,114.953125,-9.458014488220215,-12.500109672546387,5.46726736870618,5.249620423465516,1.0,0.012337243401759531,3.6666667759418488,0.0,24.04,108
L-1:2,0.8103223557503638,2.4236560639398474,3.0676565730217824,2.020809787637299,2.3867874749870266,10.880130807935377,4.264588758068777,8.18876905201489,2.40793592239925,2.477891751145666,834.0151977539063,132.4928741455078,707.7478637695313,462.12078857421875,429.8534851074219,1244.6351318359375,233.3367462158203,785.136962890625,880.8662719726563,903.39697265625,544.3604736328125,143.86248779296875,1019.3677978515625,895.4828491210938,573.8151245117188,979.7435913085938,841.0136108398438,1337.3408203125,599.5266723632813,402.5349426269531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.99679565429688,-4.809426307678223,-7.756333351135254,114.75811767578125,-4.9779815673828125,-7.331860065460205,114.07229614257813,-7.308207035064697,-10.520444869995117,115.0892333984375,-8.266115188598633,-10.947047233581543,115.0892333984375,-8.266115188598633,-10.947047233581543,115.46902465820313,-9.04146957397461,-11.346479415893555,115.26858520507813,-9.090766906738281,-11.473531723022461,114.96893310546875,-8.744560241699219,-11.59546184539795,113.78094482421875,-6.975834846496582,-10.17871379852295,113.49380493164063,-5.566498756408691,-8.778977394104004,12.314373037839392,6.364264245199403,1.0,0.011954384268214057,2.0000000596046448,0.0,21.19,100
L-1:3,5.4130690693418755,4.296461313227479,0.8610666687587818,3.2684731740412647,0.5325287072047848,4.658739856787275,6.480778241882119,9.997283399330538,6.326974280188828,3.5523766667723127,685.8189697265625,47.34137725830078,820.4459228515625,572.9891967773438,370.2788391113281,1206.8629150390625,240.44044494628906,895.9327392578125,666.9927368164063,573.42822265625,968.8037719726563,111.59381103515625,1148.06884765625,775.8648071289063,570.1822509765625,1129.1162109375,414.0542297363281,852.898681640625,868.4535522460938,566.5978393554688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.05731201171875,-5.602680206298828,-9.54309368133545,110.98098754882813,-6.041073322296143,-10.400508880615234,111.903076171875,-6.376652240753174,-10.438879013061523,111.903076171875,-6.376652240753174,-10.438879013061523,112.71868896484375,-6.885020732879639,-10.530668258666992,113.30303955078125,-7.578891277313232,-10.756379127502441,113.48867797851563,-7.697608470916748,-10.985977172851563,113.26593017578125,-7.5336198806762695,-11.27145767211914,112.50192260742188,-6.395963668823242,-10.7455415725708,112.088134765625,-5.632587909698486,-10.031974792480469,13.09930938128383,3.929998260944801,1.0,0.012483824005176319,3.000000089406967,0.0,22.05,100
L-1:4,2.3037362372646,2.6117088688495937,23.28220256604763,27.76347667898381,25.19726843246721,29.415662565228725,24.0809783972585,12.617402309063472,4.43105185818136,3.1140120692363618,1062.787841796875,57.76085662841797,395.54681396484375,478.8106689453125,272.5683898925781,1201.90283203125,344.240478515625,1097.670654296875,605.8732299804688,468.4190979003906,1420.3382568359375,37.40119934082031,1136.592041015625,623.3008422851563,729.9946899414063,1276.391357421875,183.4273681640625,1152.396484375,961.546142578125,576.56396484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.93359375,-10.21640396118164,-6.296610355377197,111.06954956054688,-9.42342758178711,-10.172187805175781,112.13174438476563,-10.171651840209961,-10.163851737976074,113.150146484375,-10.861802101135254,-10.193273544311523,113.60986328125,-11.41635799407959,-10.015951156616211,114.22894287109375,-11.581276893615723,-9.990921974182129,114.1126708984375,-11.512969017028809,-10.063273429870605,113.60321044921875,-11.262192726135254,-10.1072998046875,113.60321044921875,-11.262192726135254,-10.1072998046875,112.4197998046875,-10.156394004821777,-7.4116740226745605,3.424985223456736,16.092285855858687,1.0,0.01003105179704017,15.000000447034836,9.71,21.69,96
L-1:5,2.954310492759226,2.4300488956948825,1.0465913712375001,4.376383018593557,6.467436332415974,1.101279853673589,1.449903593008179,1.3381521928388551,1.8015173067940518,3.915270534336334,806.40185546875,83.4864501953125,426.3551940917969,290.4071960449219,124.76579284667969,651.0276489257813,216.12425231933594,452.83526611328125,423.90869140625,420.9788818359375,365.7677917480469,27.238811492919922,655.9160766601563,618.3919677734375,252.81173706054688,502.3855285644531,428.22601318359375,1209.9891357421875,933.8294677734375,580.9320678710938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.26422119140625,-11.568697929382324,-13.669928550720215,113.55889892578125,-11.579171180725098,-13.369892120361328,114.5413818359375,-12.618568420410156,-13.749373435974121,114.92929077148438,-13.05790901184082,-13.899309158325195,115.77593994140625,-13.82844066619873,-14.076223373413086,115.99566650390625,-14.07861042022705,-14.1038179397583,116.0108642578125,-14.024377822875977,-13.950035095214844,115.5706787109375,-13.670951843261719,-13.83989429473877,114.56307983398438,-12.264175415039063,-14.561468124389648,113.38088989257813,-11.662483215332031,-14.051095962524414,11.4163366581693,6.841998833450228,1.0,0.015682692307692307,2.0000000596046448,0.0,25.63,0
L-1:6,4.627630566060087,3.846533396370272,1.3720175339978822,3.2808075334790043,0.6844020135810475,5.502410233865382,1.6171370130861986,6.600544195311989,3.593426546242987,1.8556470226175656,806.8158569335938,142.6675567626953,371.08026123046875,319.4411926269531,345.02276611328125,893.4495239257813,249.0264434814453,888.697509765625,490.13555908203125,459.26715087890625,612.59423828125,40.87929153442383,1141.3575439453125,778.3841552734375,507.4370422363281,1057.376220703125,385.07867431640625,1158.662841796875,782.6510620117188,242.11065673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.84420776367188,-10.661921501159668,-14.023641586303711,114.33416748046875,-10.339859008789063,-12.581228256225586,114.78128051757813,-10.83272933959961,-12.199111938476563,115.7398681640625,-12.650895118713379,-15.844001770019531,116.16949462890625,-13.246295928955078,-16.073081970214844,116.47427368164063,-13.514832496643066,-16.12368392944336,116.33822631835938,-13.007505416870117,-16.052892684936523,115.2591552734375,-12.01904010772705,-15.49418830871582,115.2591552734375,-12.01904010772705,-15.49418830871582,113.84420776367188,-10.661921501159668,-14.023641586303711,9.052454448670442,5.8860921099026005,1.0,0.013287368062648961,2.3333334028720856,0.0,22.3,0
L-1:7,1.6026795750588203,1.8165650497719459,0.9183986394923793,2.504235607291099,1.5953156093519947,1.5131242501080646,3.8203502699881184,2.089405738560781,3.812444109309952,2.4361814719401247,722.1594848632813,61.715179443359375,563.1803588867188,444.75787353515625,262.3667297363281,904.0323486328125,154.17869567871094,522.7743530273438,613.893310546875,405.1816711425781,697.0670776367188,32.06609344482422,839.4591674804688,697.8175048828125,268.63531494140625,881.4368286132813,332.4605712890625,1249.775390625,908.8370971679688,739.1962890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.38836669921875,-6.3585591316223145,-15.078690528869629,110.98773193359375,-6.239503383636475,-14.33860969543457,112.9293212890625,-8.413007736206055,-14.20283317565918,113.62106323242188,-9.63295841217041,-14.494735717773438,114.4986572265625,-11.579875946044922,-15.168365478515625,114.888671875,-12.375039100646973,-15.429866790771484,114.772216796875,-12.620256423950195,-15.622681617736816,113.87716674804688,-11.733200073242188,-15.093977928161621,113.87716674804688,-11.733200073242188,-15.093977928161621,110.82464599609375,-6.17476224899292,-15.361703872680664,15.583244605761251,7.967378315668262,1.0,0.013234375,1.666666716337204,0.0,26.62,0
L-1:8,15.609351800667916,16.35911641775586,10.202222077678316,1.0390096650079708,12.495870937936951,14.885688633503316,9.027785594726728,0.8844144032128176,3.524625037077716,10.385895683824291,0.0,0.0,382.062255859375,334.4167175292969,333.83758544921875,802.494384765625,333.8282775878906,648.6189575195313,608.2861328125,367.24420166015625,727.4617919921875,44.49021530151367,922.511474609375,457.30328369140625,459.3625793457031,891.5231323242188,262.7362365722656,1030.7467041015625,814.8673706054688,660.5180053710938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.2562255859375,-6.601406097412109,-12.087115287780762,110.3995361328125,-6.993030548095703,-14.103168487548828,111.34072875976563,-7.568183422088623,-13.909507751464844,112.88479614257813,-8.655474662780762,-13.944095611572266,113.39520263671875,-9.087489128112793,-13.913228034973145,114.31982421875,-9.870648384094238,-14.030616760253906,114.23233032226563,-9.553380012512207,-14.257014274597168,113.8248291015625,-9.1235990524292,-14.266407012939453,112.95639038085938,-7.575883388519287,-13.360401153564453,112.53314208984375,-7.013293266296387,-12.593266487121582,16.523027161656486,16.18379439922979,1.0,0.013157518582046883,3.333333432674408,4.06,26.3,0
L-1:9,2.626252212690552,6.777874744990278,0.4980820566017643,0.7684431411989822,1.1076624550836536,1.5024358958878878,1.9821156250959087,0.9646323157150483,0.982208071285517,0.41907509255979475,439.1285400390625,40.96532440185547,394.3555908203125,274.9123840332031,196.7228240966797,458.0694580078125,143.55723571777344,424.0315856933594,396.7628173828125,388.0898132324219,278.3905944824219,20.103755950927734,437.05145263671875,301.5126647949219,205.9488067626953,520.6775512695313,348.646728515625,1031.1094970703125,582.6432495117188,535.638916015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.71038818359375,-11.022035598754883,-17.209379196166992,113.23599243164063,-11.358957290649414,-16.93694305419922,114.07232666015625,-12.010553359985352,-17.032970428466797,115.13262939453125,-12.626155853271484,-17.176570892333984,115.82614135742188,-12.990156173706055,-17.139297485351563,115.9307861328125,-13.069252014160156,-16.892822265625,115.34945678710938,-12.725555419921875,-16.69730567932129,114.91015625,-12.280738830566406,-16.226165771484375,113.4805908203125,-11.374014854431152,-17.586427688598633,112.962158203125,-10.890381813049316,-17.244678497314453,12.26792063639789,5.737326145332053,1.0,0.021319444444444446,2.6666667461395264,0.0,33.77,0
L-1:10,4.127309072286621,1.3242429788347285,1.5688005829065752,2.2990869087447448,1.7422876792955309,2.2411053254500506,1.1676828453401937,0.45896919285235355,0.8658383285360014,2.817335852204715,359.6659240722656,8.109519004821777,287.62896728515625,283.56402587890625,204.6043243408203,442.8653259277344,170.74842834472656,521.1141357421875,497.5072021484375,233.3468475341797,602.2611083984375,41.24290084838867,637.6407470703125,356.9643859863281,250.85740661621094,889.2188720703125,218.05239868164063,699.9156494140625,328.9649658203125,315.71380615234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.62942504882813,-7.801568984985352,-14.694596290588379,111.46725463867188,-8.579259872436523,-14.531620979309082,112.03656005859375,-8.824821472167969,-14.279211044311523,113.46661376953125,-9.4247407913208,-13.99512004852295,112.3563232421875,-9.989319801330566,-16.891813278198242,112.70571899414063,-10.263815879821777,-16.583572387695313,112.524169921875,-10.16321086883545,-16.515968322753906,111.83203125,-9.596343994140625,-16.366016387939453,111.32379150390625,-8.852916717529297,-16.089509963989258,110.76742553710938,-8.261896133422852,-15.699094772338867,8.697517629546612,5.622285699619712,1.0,0.019712060847519017,0.3333333432674408,0.0,31.1,0
