Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.933975626700883,1.9083144203086317,1.7119310740949292,2.9892868010144507,0.45966573645246944,6.401584280899707,3.11379660207228,4.0526301509323295,2.8741215303379772,2.2570330908952387,633.4796142578125,22.012876510620117,504.5361328125,339.630126953125,157.78060913085938,557.7064819335938,83.90038299560547,135.9398193359375,591.5767211914063,279.0616149902344,672.9283447265625,38.938751220703125,544.8778076171875,342.0810546875,206.24351501464844,420.769287109375,351.05987548828125,706.6561889648438,615.6051025390625,489.689697265625,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.2862745225429535,0.2862745225429535,0.3294117748737335,0.3294117748737335,0.3294117748737335,0.27843138575553894,0.27843138575553894,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,174.73394775390625,-42.21779251098633,-11.417943954467773,174.088134765625,-42.33489990234375,-10.774227142333984,171.58087158203125,-42.416107177734375,-10.090277671813965,181.8130340576172,-41.0264778137207,-16.15496063232422,181.648681640625,-41.41354751586914,-16.156536102294922,180.1141357421875,-42.110252380371094,-15.815528869628906,179.27032470703125,-42.24374008178711,-15.850475311279297,178.1478271484375,-42.476104736328125,-15.764758110046387,175.43359375,-42.411529541015625,-15.314976692199707,174.4471435546875,-41.98394012451172,-14.159969329833984,2.0152431467238294,1.8053604875768816,1.0,0.01816896884034693,1.3333333730697632,0.0,32.32,36
L-1:2,1.2918347049936312,3.361203235686075,3.8606604110001776,2.5816941889321665,0.8411837279284284,1.7532541726941406,2.4432796921360227,4.352980463478316,3.5124767019367296,2.129343529009152,1077.2984619140625,86.57730102539063,757.04150390625,486.79547119140625,208.4696502685547,590.0816650390625,159.55160522460938,455.44183349609375,611.021728515625,364.1204833984375,883.275146484375,220.1179656982422,759.4649047851563,584.3052368164063,292.7965087890625,765.1295166015625,239.81590270996094,754.5940551757813,1275.7996826171875,893.8258056640625,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.29019609093666077,0.29019609093666077,0.27843138575553894,0.32156863808631897,0.32156863808631897,0.27843138575553894,0.32156863808631897,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,184.48965454101563,-37.518836975097656,-15.30367660522461,184.59996032714844,-37.962928771972656,-14.976555824279785,184.46458435058594,-38.136234283447266,-14.889934539794922,184.5270233154297,-38.64118576049805,-16.233396530151367,184.67984008789063,-39.19179916381836,-16.311965942382813,184.6810760498047,-39.418155670166016,-16.193527221679688,184.35836791992188,-39.66901779174805,-16.358530044555664,183.9904022216797,-39.350303649902344,-16.405807495117188,183.67620849609375,-38.65993118286133,-16.29170036315918,184.164794921875,-37.82085037231445,-16.049205780029297,6.11065382068627,5.603777312541829,1.0,0.015611827618748032,2.0000000596046448,0.0,28.36,108
L-1:3,2.1277110077937333,5.611060444615817,2.893408718918258,5.902727472349276,1.321409334040079,2.8352475996571833,2.9570296668532627,3.085188670063647,7.322246984066688,0.8712743988871549,546.5999755859375,116.06050872802734,568.0927734375,441.85498046875,244.27069091796875,724.3763427734375,152.8536834716797,552.505126953125,373.8681945800781,316.56439208984375,960.6509399414063,22.045814514160156,915.1588745117188,568.1787109375,465.3638916015625,794.5684814453125,299.7242126464844,870.6553955078125,897.5902099609375,489.5900573730469,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.29019609093666077,0.3333333432674408,0.29019609093666077,0.3294117748737335,0.27450981736183167,0.3176470696926117,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,186.0764617919922,-39.674560546875,-16.16180992126465,186.0529022216797,-39.697998046875,-16.0612850189209,185.99984741210938,-39.660133361816406,-16.072731018066406,186.1592559814453,-39.642478942871094,-16.031503677368164,185.78201293945313,-39.62764358520508,-17.281719207763672,185.25897216796875,-40.79014205932617,-17.363327026367188,185.11624145507813,-41.073280334472656,-17.261741638183594,185.08753967285156,-40.95380401611328,-17.040239334106445,185.32778930664063,-40.57785415649414,-16.814836502075195,186.0764617919922,-39.674560546875,-16.16180992126465,6.88332504576261,5.729089745528662,1.0,0.016531866709802653,2.3333334028720856,0.0,29.2,100
L-1:4,12.298727152485156,9.321329421780677,11.724642686422792,1.5024234328911028,1.6149852424922106,1.5166896054676406,4.252277382444093,4.862952415312802,10.26148407136767,17.43746049984695,833.1449584960938,26.781648635864258,513.3605346679688,448.1264953613281,380.0937194824219,776.0791625976563,122.38276672363281,293.9081726074219,315.60491943359375,272.0072326660156,969.6055297851563,51.08090591430664,654.2984619140625,451.83746337890625,189.94529724121094,505.7537841796875,324.10675048828125,517.4425048828125,788.4801025390625,649.9841918945313,0.3137255012989044,0.2705882489681244,0.2705882489681244,0.2705882489681244,0.2823529541492462,0.2823529541492462,0.27843138575553894,0.2705882489681244,0.3137255012989044,0.2705882489681244,0.01568627543747425,0.027450982481241226,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.027450982481241226,183.9979248046875,-38.50743103027344,-13.947381973266602,183.77296447753906,-38.86056137084961,-13.923553466796875,183.85641479492188,-39.66947937011719,-13.809093475341797,184.0252227783203,-39.978111267089844,-13.834607124328613,184.15869140625,-38.16010665893555,-15.696212768554688,184.1241912841797,-38.71935272216797,-15.673872947692871,184.20184326171875,-39.79204177856445,-15.645008087158203,184.13275146484375,-39.7984504699707,-15.547581672668457,183.88136291503906,-38.86314010620117,-15.274168014526367,183.82093811035156,-38.39277267456055,-14.373295783996582,8.1653717824726,11.607255716822934,1.0,0.016581237911025146,7.000000208616257,3.57,34.29,108
L-1:5,1.172789030371633,6.748166487972084,6.768757587628553,10.9713504464521,13.721376566431072,3.84073632143479,2.878312195206591,4.2508256027059215,5.669733521443431,7.2970761611918995,865.6085205078125,286.1135559082031,0.0,0.0,166.07260131835938,889.220703125,46.88491439819336,776.7627563476563,708.3504638671875,403.6501770019531,825.3035278320313,92.86737060546875,624.25341796875,469.525146484375,201.7529754638672,574.021728515625,177.99000549316406,602.7308959960938,582.4702758789063,291.9722900390625,0.30980393290519714,0.09803922474384308,0.2666666805744171,0.2666666805744171,0.30980393290519714,0.30980393290519714,0.30980393290519714,0.30980393290519714,0.30980393290519714,0.30980393290519714,0.019607843831181526,0.007843137718737125,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.0313725508749485,0.02352941408753395,0.027450982481241226,0.02352941408753395,185.44985961914063,-38.55372619628906,-16.345548629760742,185.82521057128906,-38.696067810058594,-15.982439041137695,185.96653747558594,-37.48780822753906,-16.938047409057617,186.17173767089844,-37.868465423583984,-16.922834396362305,186.1741943359375,-38.55321502685547,-16.910898208618164,186.0057830810547,-38.90928268432617,-16.90516471862793,185.93905639648438,-39.10895538330078,-16.795969009399414,186.0272674560547,-38.938236236572266,-16.619592666625977,185.65390014648438,-38.77286148071289,-16.451345443725586,185.6339111328125,-38.7879638671875,-16.272933959960938,12.12434958185968,2.4075304044331505,1.0,0.014687786960514234,6.333333522081375,0.0,27.42,0
L-1:6,2.5352603162118745,1.0860615714505093,3.412486674170006,6.221551775927671,4.12246611193583,1.4326704471679568,4.475734747336737,2.042749728134597,1.1538479569524547,1.556637063114021,754.900634765625,45.957000732421875,683.7979736328125,427.03558349609375,302.6003723144531,724.0342407226563,163.39169311523438,493.932373046875,629.1759033203125,387.10821533203125,607.960205078125,16.718730926513672,796.5576782226563,543.6358642578125,247.699462890625,927.3724975585938,159.51976013183594,861.4805297851563,989.15087890625,492.7413330078125,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.2823529541492462,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.02352941408753395,0.019607843831181526,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,186.44839477539063,-37.951393127441406,-16.43962287902832,186.49008178710938,-37.955726623535156,-16.498037338256836,186.36557006835938,-38.12918472290039,-16.610700607299805,186.4763641357422,-38.32956314086914,-16.67623519897461,186.33058166503906,-38.78007507324219,-16.67322540283203,186.2252655029297,-39.21958541870117,-16.595083236694336,186.28990173339844,-37.617061614990234,-16.566484451293945,186.26663208007813,-37.680599212646484,-16.480405807495117,186.38856506347656,-37.92816162109375,-16.39282989501953,186.38856506347656,-37.92816162109375,-16.39282989501953,7.322866875843871,5.058207963481927,1.0,0.015942350332594238,0.0,0.0,28.76,0
L-1:7,2.3355427015962897,1.0900349412978994,8.178717025823374,5.693285047433308,5.7216140126949995,1.6656104734078736,0.2567757536879189,1.2721919091883132,1.2483963212314235,2.1707238607796415,502.77313232421875,0.32426685094833374,588.6838989257813,386.0875244140625,398.3036804199219,594.6561279296875,295.01031494140625,450.61505126953125,332.3150634765625,253.68907165527344,622.0748901367188,54.47202682495117,545.1221313476563,336.0430603027344,291.62432861328125,897.6818237304688,193.09548950195313,680.972412109375,558.0956420898438,468.5286560058594,0.2705882489681244,0.2823529541492462,0.32549020648002625,0.32549020648002625,0.27450981736183167,0.27450981736183167,0.3176470696926117,0.27450981736183167,0.2705882489681244,0.2705882489681244,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.027450982481241226,0.02352941408753395,0.02352941408753395,186.51805114746094,-36.113182067871094,-16.29079818725586,185.4184112548828,-32.98912811279297,-14.657576560974121,185.47662353515625,-33.17642593383789,-14.339056015014648,185.84719848632813,-36.19291305541992,-16.794309616088867,186.092041015625,-36.55073165893555,-16.70336151123047,185.97865295410156,-37.093204498291016,-16.665508270263672,185.87026977539063,-37.11089324951172,-16.690786361694336,186.1416015625,-36.84695053100586,-16.47102165222168,186.39688110351563,-36.673526763916016,-16.49441146850586,186.76397705078125,-35.93855285644531,-16.309818267822266,4.212057574257552,7.914249224210783,1.0,0.01822823303457106,0.0,0.0,32.54,0
L-1:8,9.735677982987166,3.952079272959281,1.5014535194380527,3.253633565477689,9.2679706647878,2.832126818905396,2.538082415085648,4.5345117308759395,1.8189524298975575,6.99437123208142,965.2020263671875,23.467348098754883,702.0725708007813,330.04254150390625,168.8014373779297,643.930419921875,122.4791030883789,608.7049560546875,454.3435363769531,275.07012939453125,563.6001586914063,73.62467956542969,904.2990112304688,310.36932373046875,33.033164978027344,770.4288940429688,40.179046630859375,330.38348388671875,648.9760131835938,349.2402038574219,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.027450982481241226,0.027450982481241226,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,185.45826721191406,-36.86589813232422,-15.609012603759766,185.35641479492188,-37.11665344238281,-15.687483787536621,185.23260498046875,-37.43837356567383,-15.787803649902344,184.9062957763672,-38.240657806396484,-16.019527435302734,184.86453247070313,-38.381343841552734,-16.01650619506836,185.0193328857422,-38.63109588623047,-15.725238800048828,184.9765625,-38.48796463012695,-15.63276195526123,185.37875366210938,-37.8854866027832,-14.433951377868652,185.54286193847656,-37.64639663696289,-15.986331939697266,185.5417022705078,-37.01081848144531,-15.646733283996582,9.153020788406796,9.483028150218878,1.0,0.017173806409417923,2.0000000596046448,1.32,30.01,0
L-1:9,3.958199814172597,0.7350354566037208,1.6715441438061156,1.4625150902134558,3.1473881281706757,3.6078462919806955,2.314223631753942,5.258558579165266,3.2232528389593686,2.1281011116526836,748.0068359375,44.091407775878906,603.6849975585938,512.3755493164063,222.39834594726563,577.8232421875,149.16957092285156,858.4406127929688,544.0519409179688,335.8137512207031,683.4283447265625,102.8495101928711,518.4183959960938,294.8677673339844,94.95994567871094,624.63427734375,197.63177490234375,742.795166015625,724.1724243164063,722.8558959960938,0.27450981736183167,0.3176470696926117,0.26274511218070984,0.2549019753932953,0.2980392277240753,0.2980392277240753,0.34117648005485535,0.3176470696926117,0.27450981736183167,0.27450981736183167,0.02352941408753395,0.01568627543747425,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.027450982481241226,186.24093627929688,-37.787322998046875,-16.660919189453125,186.15402221679688,-37.87766647338867,-16.817537307739258,186.15402221679688,-37.87766647338867,-16.817537307739258,186.0828857421875,-37.774600982666016,-16.8952579498291,186.03793334960938,-37.70790481567383,-16.999818801879883,185.8029022216797,-37.97305679321289,-17.001665115356445,186.1282196044922,-38.94475555419922,-16.63488006591797,186.22084045410156,-38.202964782714844,-17.02688217163086,186.19195556640625,-38.119102478027344,-16.845722198486328,186.27232360839844,-38.02070999145508,-16.677648544311523,5.108299924423675,0.7400564169757461,1.0,0.015477966689798749,1.0000000298023224,0.0,25.49,0
L-1:10,5.533321830462059,2.8877372180267398,3.8288377192944325,12.213337631835799,7.47274038570705,1.6607663793910343,1.9516424079246104,1.945995653665208,1.137732012810469,3.194073823877855,885.1484985351563,18.16128158569336,637.5972900390625,460.61474609375,409.4779052734375,900.6254272460938,190.6922149658203,792.7245483398438,677.9883422851563,336.63348388671875,801.5618286132813,90.14354705810547,710.6427612304688,557.1735229492188,242.11590576171875,742.7349243164063,141.5959014892578,972.9418334960938,785.6192016601563,495.2375183105469,0.27843138575553894,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.32549020648002625,0.32549020648002625,0.2823529541492462,0.2823529541492462,0.27450981736183167,0.27843138575553894,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,186.16148376464844,-37.133750915527344,-16.423789978027344,186.67071533203125,-36.46757125854492,-17.223257064819336,186.67840576171875,-36.45125961303711,-17.30560874938965,186.55909729003906,-36.325889587402344,-17.4337215423584,186.4593963623047,-36.6475715637207,-17.36896324157715,186.33999633789063,-36.95847702026367,-17.262014389038086,186.1860809326172,-37.17183303833008,-16.92721939086914,186.1860809326172,-37.17183303833008,-16.92721939086914,186.27793884277344,-37.56154251098633,-16.651002883911133,186.26795959472656,-37.37688064575195,-16.459272384643555,9.842411261005509,7.289308938811688,1.0,0.0146612031091585,4.0000001192092896,0.0,24.79,0
