Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.564374782074338,3.871857559425144,0.696931880035344,2.053472393118469,0.5284437052114395,0.30295458790603813,5.302373570853503,0.8349184410051759,0.3014649487387389,1.3688300463054064,847.9935302734375,201.3854522705078,785.095703125,463.78289794921875,323.09857177734375,794.5579223632813,219.57696533203125,601.4071044921875,250.0562744140625,323.5669860839844,139.22552490234375,75.76295471191406,434.9261474609375,182.02682495117188,228.94630432128906,681.2879638671875,207.8525848388672,961.3065185546875,877.6467895507813,102.08312225341797,0.7708842158317566,0.7894479632377625,0.7894479632377625,0.7948216795921326,0.7811431288719177,0.705422580242157,0.8529555201530457,0.8373228907585144,0.8319491744041443,0.8119198679924011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.69012451171875,-3.015300989151001,-0.20304231345653534,249.54171752929688,-2.9823153018951416,-0.308341920375824,248.658447265625,-2.96335768699646,-0.42642876505851746,248.25335693359375,-2.9544191360473633,-0.44931310415267944,247.95166015625,-3.021995782852173,-0.3793014585971832,248.70236206054688,-3.032437562942505,-0.20637652277946472,249.0773468017578,-2.955919027328491,-0.011454954743385315,249.69851684570313,-2.966719627380371,0.0840730294585228,249.46975708007813,-2.9581563472747803,0.07809791713953018,249.45294189453125,-2.995204210281372,-0.006849364843219519,1.026699729134263,12.424960788467116,1.0,0.02007653657396588,4.25,0.0,49.09,68
L-1:2,5.383227192036228,4.452528771704795,3.568110539359156,1.9558139543823434,2.165771749974845,3.2430608561243544,2.214341059764994,5.037550794028123,1.5603589291502808,1.4467629304501626,644.55322265625,263.3980712890625,707.7207641601563,394.14862060546875,85.77659606933594,643.2881469726563,149.78758239746094,348.14794921875,591.1495971679688,311.8790283203125,621.7562255859375,163.3290557861328,452.9514465332031,255.64682006835938,380.47760009765625,779.7687377929688,496.3271484375,803.0175170898438,378.59613037109375,333.4375915527344,0.825598418712616,0.7879824042320251,0.7772349715232849,0.7415730357170105,0.850024402141571,0.8563751578330994,0.8431851267814636,0.7835857272148132,0.7870053648948669,0.8202247023582458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.96231079101563,-2.9458749294281006,-0.0021998800802975893,249.53878784179688,-2.9403693675994873,-0.10917753726243973,249.12115478515625,-2.9822285175323486,-0.2671976089477539,248.8051300048828,-2.9879705905914307,-0.21836644411087036,248.5987091064453,-2.946075201034546,-0.14376050233840942,248.8978729248047,-2.9249203205108643,-0.0027866121381521225,248.785400390625,-2.909832239151001,0.1925308108329773,248.7910919189453,-2.8632211685180664,0.3612788915634155,248.64956665039063,-2.9093260765075684,0.2854209244251251,249.20059204101563,-2.947740316390991,0.1138259544968605,0.47227027720588705,7.683029305474546,1.0,0.017401280104144067,1.5,0.0,45.83,108
L-1:3,0.5288713616960758,2.315009364199447,0.7796059931560964,2.370531825419187,2.98410343806598,0.7274527730590132,0.3906543185906249,1.6341004125657106,0.3956918459733813,4.606587740851121,702.7373657226563,135.06829833984375,545.3589477539063,485.6113586425781,165.2965850830078,566.4876708984375,125.17510986328125,365.8229064941406,818.1773681640625,192.49717712402344,664.7291259765625,210.4251708984375,574.5706787109375,252.98033142089844,216.02906799316406,460.2999572753906,176.74163818359375,232.7381134033203,713.6898803710938,460.83380126953125,0.8382999300956726,1.0,0.8529555201530457,0.8568636775016785,0.8221787810325623,0.811431348323822,0.8270639777183533,0.7591597437858582,0.7616023421287537,0.816316545009613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.95498657226563,-3.014993190765381,0.24874402582645416,249.73431396484375,-3.0150058269500732,0.10107457637786865,249.93679809570313,-3.0044922828674316,0.004460909403860569,249.70611572265625,-2.9577386379241943,-0.0016406839713454247,249.22592163085938,-2.8953254222869873,0.06343024224042892,249.16961669921875,-2.837233781814575,0.27182528376579285,249.4603271484375,-2.885957956314087,0.2926935851573944,249.39492797851563,-3.060049533843994,0.13786087930202484,250.0911865234375,-3.029609203338623,0.4332503378391266,250.66746520996094,-3.027411699295044,0.3888992965221405,1.1079244438561897,4.50859226603094,1.0,0.017081557765151512,0.5,0.0,41.23,100
L-1:4,2.7811748563217042,5.673954399285897,0.9307608034517221,7.5421306733512194,9.090198034250653,1.460643676449724,9.79068081405247,9.923893259416548,13.940739149378143,7.801057785305969,733.8927612304688,202.00006103515625,546.094970703125,397.4237976074219,0.0,0.0,171.94122314453125,328.0879211425781,563.7698364257813,385.2205810546875,691.2646484375,171.70091247558594,374.0205993652344,189.6602020263672,213.8817901611328,721.0386352539063,327.9261779785156,1040.625732421875,593.4301147460938,569.6119995117188,0.821201741695404,0.8265754580497742,0.43478259444236755,0.666829526424408,0.6849047541618347,0.7547630667686462,0.7703956961631775,0.8119198679924011,0.8099657893180847,0.8358573317527771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.14700317382813,-3.0201244354248047,-0.2291579693555832,249.30410766601563,-3.0291008949279785,-0.3811560571193695,248.15480041503906,-3.024568557739258,-0.45536038279533386,249.81942749023438,-3.0400402545928955,-0.597777247428894,249.0570068359375,-3.0524024963378906,-0.5140626430511475,249.13002014160156,-3.0255777835845947,-0.2465023547410965,248.80345153808594,-3.0115420818328857,-0.12526555359363556,248.57412719726563,-3.0046300888061523,-0.03694116696715355,248.58737182617188,-3.0034823417663574,-0.05218635872006416,248.9849090576172,-3.014008045196533,-0.13242408633232117,1.8990153546344224,15.522644961265444,-1.0,0.016562653562653566,4.25,10.58,38.52,4
L-1:5,2.446135899561125,1.4756101597438094,2.4319013748445846,2.1443038451716396,0.49640869988952413,1.8636253347124694,2.8431138746091325,0.9816893422490092,5.641871959351553,3.131177252876886,1020.0819702148438,253.4400634765625,287.7139587402344,241.32716369628906,110.05848693847656,503.0955810546875,9.390201568603516,212.5376739501953,420.1982116699219,458.61505126953125,743.7632446289063,11.976494789123535,786.87841796875,607.1969604492188,371.077880859375,562.2793579101563,234.59893798828125,593.4012451171875,470.0996398925781,399.6070251464844,0.8495358824729919,0.6536394953727722,0.6809965968132019,0.6741573214530945,0.7215437293052673,0.8119198679924011,0.7811431288719177,0.8187591433525085,0.825598418712616,0.8627259135246277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.34835815429688,-3.0047683715820313,-0.027424629777669907,250.7020721435547,-3.062223434448242,-0.3118119537830353,249.70693969726563,-3.0450856685638428,-0.42427605390548706,249.782958984375,-3.0530669689178467,-0.411236971616745,249.48049926757813,-3.050008535385132,-0.27936995029449463,249.87771606445313,-3.0685155391693115,-0.10290373861789703,249.81393432617188,-3.024517774581909,0.06443420797586441,249.53115844726563,-3.0163986682891846,0.21221734583377838,249.52847290039063,-3.013146162033081,0.2188682109117508,249.78790283203125,-3.0057694911956787,0.1194164827466011,0.278133291016452,6.953478280971785,-1.0,0.01984280848834163,3.5,0.0,43.28,100
L-1:6,2.073233033520295,2.14775918514721,2.1713455860427047,3.003442892612513,3.073918451458269,3.598645704581461,0.8355726222215063,1.288841381369369,2.6592221158246496,0.8651243413135691,833.1065063476563,360.6785583496094,1115.453125,629.8157348632813,133.1805419921875,662.8307495117188,368.1268005371094,596.3975830078125,413.3348693847656,367.2882385253906,499.02490234375,217.29013061523438,415.8651123046875,390.6535339355469,295.7135925292969,158.02719116210938,140.93161010742188,201.12930297851563,422.6845703125,633.0972900390625,0.8676111102104187,0.8793356418609619,0.8827552795410156,0.8832437992095947,0.8871519565582275,0.8871519565582275,0.8588177561759949,0.6853932738304138,0.7850512862205505,0.8622373938560486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.4964599609375,-2.969858169555664,0.026474367827177048,249.57647705078125,-2.9854767322540283,-0.09237737208604813,249.31524658203125,-3.0114471912384033,-0.2131955325603485,249.0283203125,-3.026855230331421,-0.22103576362133026,249.03765869140625,-2.9806265830993652,-0.03034297190606594,248.79837036132813,-2.9524691104888916,0.1623292714357376,249.39157104492188,-2.9009268283843994,0.420997679233551,249.58514404296875,-2.9324216842651367,0.4330928921699524,249.60328674316406,-2.9035866260528564,0.37718909978866577,249.37164306640625,-2.939879894256592,0.230966717004776,2.769806410053423,10.380368664465,1.0,0.018418423364075537,0.75,0.0,47.93,100
L-1:7,0.7063943361226084,1.4705209238728074,0.3440217224321482,0.7946839822419776,0.5221902111329519,3.5656356760508987,0.5951565737353615,2.4044947721254952,2.1014244925183734,1.0184901850495276,985.776611328125,58.61915588378906,609.6254272460938,506.0751037597656,158.29600524902344,498.4092712402344,169.27577209472656,464.5157775878906,491.80609130859375,144.02330017089844,381.9543151855469,125.88980102539063,472.60980224609375,146.78274536132813,120.81238555908203,474.0572814941406,32.986289978027344,640.997802734375,456.8890380859375,280.7283935546875,0.6697606444358826,0.6687836050987244,0.6790425181388855,0.7977527976036072,0.7723497748374939,0.7743038535118103,0.7694186568260193,0.7474352717399597,0.7469467520713806,0.6809965968132019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.45455932617188,-3.0032713413238525,-0.03549690544605255,249.55154418945313,-3.0224874019622803,-0.21231086552143097,249.4927520751953,-3.004682779312134,-0.2510656714439392,249.54043579101563,-3.0032317638397217,-0.33929359912872314,249.21632385253906,-2.9824399948120117,-0.2962965667247772,248.79263305664063,-2.974525213241577,-0.15755891799926758,248.69956970214844,-2.971357583999634,-0.05736822634935379,248.98240661621094,-2.9432902336120605,-0.014648416079580784,249.6009521484375,-2.9484214782714844,-0.0038969789166003466,249.5417938232422,-2.9939050674438477,-0.027113480493426323,0.3843372363733396,1.892154413114157,1.0,0.018514635519279482,0.75,0.0,37.59,0
L-1:8,17.016772861200028,20.04546797818139,10.591324130165635,0.25292404086727677,1.1318939820004075,6.176953094188624,9.665140250040041,4.643006795850311,11.134106071179524,13.3000983827642,1249.8917236328125,112.35713195800781,763.2149658203125,477.70086669921875,9.860892295837402,950.2496948242188,245.12367248535156,765.2418212890625,853.1755981445313,751.0308227539063,540.416015625,11.763240814208984,599.5975341796875,638.5526733398438,529.8546752929688,658.5469360351563,537.1585083007813,862.2962646484375,1525.0048828125,563.5761108398438,0.8275524973869324,0.8085002303123474,0.8031265139579773,0.791890561580658,0.8329262137413025,0.8441621661186218,0.8260869383811951,0.787493884563446,0.7616023421287537,0.8182706236839294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.75833129882813,-2.9910640716552734,0.23424531519412994,249.47705078125,-2.9976296424865723,0.09559853374958038,248.94236755371094,-3.0019962787628174,-0.024720897898077965,248.803955078125,-2.9988901615142822,0.048988960683345795,249.01846313476563,-2.9882678985595703,0.14616678655147552,249.38671875,-2.951040029525757,0.2522931694984436,249.54171752929688,-2.952815055847168,0.4216081202030182,249.8491668701172,-2.9234375953674316,0.5868196487426758,250.2802276611328,-2.9539244174957275,0.5094945430755615,250.36480712890625,-2.9532196521759033,0.44173118472099304,5.44536923804562,9.10927244443132,1.0,0.014202317290552584,5.0,6.82,31.87,0
L-1:9,5.2511373700881,1.3578353797701934,0.6709888699725711,2.9607160698373987,5.98324902122044,6.6112425473195175,3.809055491949154,1.7586440804831245,6.2073517997221215,1.5644122947331252,682.6708984375,146.72967529296875,710.9093017578125,133.73451232910156,274.8567199707031,744.803466796875,489.3280029296875,725.8715209960938,534.9931030273438,213.31488037109375,647.2669677734375,153.77699279785156,381.1999206542969,441.3974609375,85.86976623535156,251.46090698242188,224.04071044921875,541.8738403320313,670.0841674804688,354.62701416015625,0.6560820937156677,0.8080117106437683,0.6551050543785095,0.7953101992607117,0.7532975077629089,0.7181240916252136,0.700537383556366,0.647777259349823,0.6829506754875183,0.6555935740470886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.3193359375,-3.053035259246826,0.09540282189846039,250.05770874023438,-3.069862127304077,-0.060628000646829605,250.16917419433594,-3.0643582344055176,-0.1266111582517624,249.72438049316406,-3.0755577087402344,-0.27600038051605225,249.58790588378906,-3.056752920150757,-0.1807354986667633,249.62957763671875,-3.0643746852874756,0.046257227659225464,249.85018920898438,-3.0747830867767334,0.19309575855731964,250.7369384765625,-3.062350034713745,0.2193172425031662,249.65074157714844,-3.022275924682617,0.2505183517932892,250.00241088867188,-3.049192428588867,0.19367201626300812,3.4856543164963805,0.7470390099731758,1.0,0.017474061264822136,4.5,0.0,40.42,0
L-1:10,1.8179055066454322,3.4397321663814493,1.20827094685402,4.582612366422585,0.5203755642523278,2.061030408489576,7.939895014562229,1.2936728769341541,7.61456589956879,1.3941085712128622,1446.535400390625,248.40484619140625,971.4556884765625,859.1752319335938,815.4072265625,1207.0086669921875,477.5166320800781,1085.2064208984375,427.7211608886719,301.32366943359375,836.3666381835938,391.3519592285156,817.2236328125,451.9092102050781,57.39910888671875,835.2498779296875,398.3341979980469,799.2108154296875,822.294921875,453.53424072265625,0.7171470522880554,0.7039570212364197,0.7166585326194763,0.7049340605735779,0.6878358721733093,0.7454811930656433,0.7039570212364197,0.4767953157424927,0.4474841356277466,0.6819736361503601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.1587371826172,-3.031020164489746,0.039405129849910736,250.3685760498047,-3.0343689918518066,-0.1220398098230362,250.34234619140625,-3.0710296630859375,-0.311368852853775,249.98092651367188,-3.081101894378662,-0.2688766121864319,249.45602416992188,-3.092033624649048,-0.13667269051074982,250.04177856445313,-2.947030544281006,0.09068721532821655,249.3809051513672,-2.9462928771972656,0.24359090626239777,249.96499633789063,-2.945119857788086,0.3217321038246155,250.26980590820313,-2.9631834030151367,0.3057038486003876,250.16336059570313,-2.9921932220458984,0.20677466690540314,1.8445541620977357,5.425294339324107,1.0,0.015115490570036024,2.5,0.0,40.76,0
