Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,21.38450042904731,21.923604173848954,16.373375645862858,13.956356711761648,3.97557314611862,1.90031484792936,8.42995048616151,12.409526014278141,5.629055904194967,8.812838722734206,2316.487060546875,41.023460388183594,1647.675048828125,1033.0399169921875,948.5369262695312,1894.530517578125,480.9669494628906,2939.83837890625,1590.5147705078125,1462.13232421875,2024.9063720703125,325.6602783203125,1738.9739990234375,1664.98681640625,667.4057006835938,2149.932861328125,240.23568725585938,656.5576171875,2063.9150390625,527.6289672851562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.03529411926865578,27.074462890625,-31.20770835876465,6.144650459289551,27.074462890625,-31.20770835876465,6.144650459289551,27.13861083984375,-31.690963745117188,7.278684139251709,27.13861083984375,-31.690963745117188,7.278684139251709,27.17718505859375,-32.14885330200195,8.593334197998047,27.17718505859375,-32.14885330200195,8.593334197998047,27.17718505859375,-32.14885330200195,8.593334197998047,28.7032470703125,-30.51851463317871,9.397751808166504,26.440582275390625,-31.15865135192871,4.788851737976074,26.440582275390625,-31.15865135192871,4.788851737976074,10.438998691766935,11.337494380527442,-1.0,0.006211315280464216,10.333333641290665,0.0,11.01,64
L-1:2,9.943466238184765,0.5742944246768643,10.124785623356134,9.40604946415993,10.616486402457195,4.248945294263635,2.865720395943398,2.2873281637521816,18.65278372323056,18.3131677534167,2012.5684814453125,532.3663330078125,807.6419677734375,723.8179931640625,145.05172729492188,266.46881103515625,919.3025512695312,2913.328857421875,1784.1246337890625,1180.03125,2389.155029296875,400.9007568359375,1895.3778076171875,1647.0428466796875,1375.4210205078125,2961.3623046875,581.277099609375,2176.86474609375,2007.702880859375,1099.679443359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.0470588281750679,0.03921568766236305,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.03921568766236305,0.04313725605607033,29.51275634765625,-31.73691177368164,6.007969856262207,29.451812744140625,-33.00900650024414,6.369572162628174,24.96453857421875,-30.733640670776367,4.744227409362793,24.96453857421875,-30.733640670776367,4.744227409362793,24.96453857421875,-30.733640670776367,4.744227409362793,25.979156494140625,-31.697385787963867,5.709540367126465,25.979156494140625,-31.697385787963867,5.709540367126465,25.979156494140625,-31.697385787963867,5.709540367126465,28.1051025390625,-30.601917266845703,6.102936744689941,28.1051025390625,-30.601917266845703,6.102936744689941,20.630958768633004,13.958280611673214,-1.0,0.0059139094121426275,1.666666716337204,0.0,10.52,100
L-1:3,9.012946987097164,2.3771135054823955,5.240475719550081,8.419438740807117,13.63608336514042,4.856245927338547,9.061432292553901,13.632659710319883,5.506927509567876,2.9345323149567704,2377.43603515625,824.1914672851562,1836.0694580078125,1476.294677734375,861.7611694335938,2543.245849609375,1063.25048828125,2111.479736328125,2727.889892578125,2019.98779296875,2066.74755859375,300.6081848144531,1363.97705078125,1597.5758056640625,920.1543579101562,2267.360107421875,549.8761596679688,1795.6080322265625,197.29981994628906,174.51504516601562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,30.470001220703125,-30.902767181396484,5.357875347137451,30.4588623046875,-32.20415115356445,6.220823287963867,30.4588623046875,-32.20415115356445,6.220823287963867,30.4588623046875,-32.20415115356445,6.220823287963867,30.4588623046875,-32.20415115356445,6.220823287963867,29.460601806640625,-31.990402221679688,6.726848602294922,29.460601806640625,-31.990402221679688,6.726848602294922,30.248016357421875,-31.079082489013672,7.037197589874268,30.248016357421875,-31.079082489013672,7.037197589874268,30.470001220703125,-30.902767181396484,5.357875347137451,14.479615853322748,9.811710008316743,-1.0,0.005668831168831169,4.33333346247673,0.0,8.73,68
L-1:4,7.76123090314056,15.638558335208666,20.412243862231453,5.425130434512522,3.8421365296089727,4.975554854000255,8.779100815099936,4.9989935987935645,7.603131008567666,1.501357633174441,2021.3011474609375,221.4649658203125,3009.892333984375,1229.531005859375,1042.42626953125,3298.472900390625,2452.543701171875,5917.419921875,3392.531982421875,1733.1280517578125,2911.3291015625,557.7593383789062,2831.373291015625,2192.776611328125,782.0394897460938,2318.796630859375,301.9544677734375,1854.5252685546875,3647.67333984375,3071.398681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,29.880401611328125,-30.558969497680664,4.263051986694336,29.880401611328125,-30.558969497680664,4.263051986694336,29.942230224609375,-31.169071197509766,4.282156467437744,29.942230224609375,-31.169071197509766,4.282156467437744,29.942230224609375,-31.169071197509766,4.282156467437744,29.9713134765625,-30.389860153198242,5.995768070220947,29.9713134765625,-30.389860153198242,5.995768070220947,29.9713134765625,-30.389860153198242,5.995768070220947,31.575531005859375,-29.842082977294922,7.280324935913086,28.240997314453125,-30.5465030670166,3.3338773250579834,6.186966703161889,14.3710726037348,-1.0,0.0039819245082402975,3.333333432674408,3.68,8.56,100
L-1:5,7.556679861002707,12.924886140226043,17.910051363544632,18.384315685599773,17.045959856275093,8.292833579577845,1.70526106554802,5.429403163447569,5.24300248114892,3.7398252960316904,1868.484619140625,544.0150146484375,1420.8565673828125,1168.18701171875,957.6724243164062,2497.562744140625,782.3829956054688,1743.673828125,2083.7216796875,2049.6044921875,2083.588134765625,146.86985778808594,1433.56982421875,1647.979248046875,796.1749267578125,2513.98779296875,11.01504135131836,1905.0548095703125,1978.7083740234375,925.6493530273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,29.92535400390625,-32.57728576660156,7.741629123687744,29.7236328125,-33.41870880126953,7.513667583465576,29.7236328125,-33.41870880126953,7.513667583465576,29.7236328125,-33.41870880126953,7.513667583465576,29.984832763671875,-33.872642517089844,8.833285331726074,29.984832763671875,-33.872642517089844,8.833285331726074,28.76025390625,-33.32843017578125,7.261958599090576,28.76025390625,-33.32843017578125,7.261958599090576,28.76025390625,-33.32843017578125,7.261958599090576,29.92535400390625,-32.57728576660156,7.741629123687744,14.498583239340116,14.103035206900167,-1.0,0.006573347107438016,8.33333358168602,0.0,9.09,36
L-1:6,6.633889883540002,15.680251586673018,14.572916045730654,4.877151648205285,7.491900781270549,2.5769878869456706,5.536677614029972,14.960855563773608,9.388549728089714,2.420640194525345,2267.226318359375,83.87067413330078,2495.91650390625,881.5003051757812,319.6807861328125,2916.97265625,1976.809814453125,3399.592041015625,3018.19482421875,2683.799560546875,1227.486572265625,470.6259460449219,1543.783447265625,1358.935791015625,560.0018920898438,2772.934814453125,270.2007751464844,2582.553955078125,1562.8900146484375,1961.5933837890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,29.809295654296875,-35.14639663696289,6.877959728240967,29.809295654296875,-35.14639663696289,6.877959728240967,29.809295654296875,-35.14639663696289,6.877959728240967,28.86212158203125,-36.14339828491211,6.874283313751221,28.86212158203125,-36.14339828491211,6.874283313751221,28.58905029296875,-36.00947189331055,7.434968948364258,28.58905029296875,-36.00947189331055,7.434968948364258,29.156951904296875,-35.09975814819336,7.60842227935791,29.156951904296875,-35.09975814819336,7.60842227935791,29.156951904296875,-35.09975814819336,7.60842227935791,22.329222714716806,9.960536897164838,-1.0,0.0061784874608150474,4.0000001192092896,0.0,9.01,32
L-1:7,3.4150000525258037,12.750405338501148,11.892513132564297,14.79637662346784,15.715137818253535,2.3844102004587304,9.14597546576944,0.23339681883339428,4.309420541979703,2.7252229352823667,2429.041015625,362.0802917480469,2827.423828125,2709.02978515625,1076.7099609375,2322.302490234375,1569.042236328125,3377.755615234375,3469.950439453125,2893.32763671875,2595.900390625,610.8991088867188,1233.082275390625,1001.9425659179688,1966.8304443359375,1820.8978271484375,1382.5860595703125,2370.803466796875,2281.687744140625,2147.5966796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03921568766236305,31.10498046875,-34.45478439331055,6.71158504486084,31.10498046875,-34.45478439331055,6.71158504486084,31.10498046875,-34.45478439331055,6.71158504486084,30.440216064453125,-35.02369689941406,6.952912330627441,30.440216064453125,-35.02369689941406,6.952912330627441,30.440216064453125,-35.02369689941406,6.952912330627441,30.638580322265625,-33.429603576660156,8.333220481872559,28.7215576171875,-34.103973388671875,5.694844722747803,30.2442626953125,-33.7510986328125,6.504243850708008,30.2442626953125,-33.7510986328125,6.504243850708008,11.851516789519113,15.24052628064857,-1.0,0.004831255700820918,5.000000149011612,0.0,9.08,0
L-1:8,6.508909687492722,3.787270704583148,9.438907673118015,3.253143701961016,5.620491925651381,14.27219602507646,25.220434573243466,25.667948777656242,11.963664308562272,5.561196803492792,4025.8427734375,385.1324768066406,1858.4530029296875,1307.41650390625,928.8191528320312,3389.162841796875,1493.871826171875,3553.541748046875,3040.0537109375,1837.0224609375,2919.665283203125,775.3505249023438,2339.150146484375,2148.466796875,1116.4964599609375,2862.66357421875,256.5888671875,1934.4281005859375,819.5134887695312,1032.5423583984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03529411926865578,29.9139404296875,-33.15847396850586,6.0216827392578125,30.66424560546875,-33.4553337097168,6.474397659301758,30.66424560546875,-33.4553337097168,6.474397659301758,30.66424560546875,-33.4553337097168,6.474397659301758,30.1373291015625,-33.1673698425293,6.837578773498535,30.1373291015625,-33.1673698425293,6.837578773498535,30.1373291015625,-33.1673698425293,6.837578773498535,31.185302734375,-32.3515510559082,7.57819938659668,31.185302734375,-32.3515510559082,7.57819938659668,31.48223876953125,-32.830196380615234,7.359735012054443,11.86710000843421,18.95494814405849,-1.0,0.004872817579771222,8.66666692495346,3.61,9.25,0
L-1:9,1.86771639537486,13.629758619730792,21.843903132331416,21.318848909028308,6.531116432822126,4.312149628975223,4.949955845848666,5.904848912736544,2.0271688952948317,5.7967386224623185,1900.5684814453125,135.0187225341797,1442.483154296875,1622.9248046875,123.11853790283203,1731.564208984375,197.9988555908203,1948.57470703125,1786.8079833984375,1563.0335693359375,1195.330322265625,230.13050842285156,1147.102294921875,1312.6883544921875,496.9793395996094,2150.94775390625,510.2750549316406,2340.837646484375,1529.9031982421875,740.3456420898438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,29.006072998046875,-34.4695930480957,7.4884514808654785,28.8681640625,-34.98196029663086,7.503806114196777,28.8681640625,-34.98196029663086,7.503806114196777,27.89349365234375,-35.802772521972656,7.863198757171631,27.2076416015625,-34.42341995239258,7.112729549407959,27.5643310546875,-35.46418762207031,7.950652122497559,28.029144287109375,-35.1413688659668,8.039337158203125,28.029144287109375,-35.1413688659668,8.039337158203125,28.029144287109375,-35.1413688659668,8.039337158203125,29.006072998046875,-34.4695930480957,7.4884514808654785,17.852751689617573,9.248610505416256,-1.0,0.007578740157480315,8.66666692495346,0.0,12.1,0
L-1:10,5.5164501627666,16.761736420700835,16.04538386138958,21.687062501356813,14.263312639484083,2.9617929947238433,3.3248663075322478,4.736373713915587,12.668727784589628,5.555276589624528,2024.1165771484375,303.7022705078125,1876.9573974609375,1577.1641845703125,117.45548248291016,1453.8310546875,766.1546630859375,2839.759033203125,1626.352294921875,1554.689697265625,1461.65966796875,275.4314880371094,1910.4940185546875,1294.1273193359375,722.5427856445312,1752.1549072265625,109.3633041381836,1845.3134765625,2168.864501953125,757.3772583007812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03921568766236305,29.98455810546875,-34.086544036865234,7.668480396270752,29.94500732421875,-34.191349029541016,7.609316349029541,29.94500732421875,-34.191349029541016,7.609316349029541,29.94500732421875,-34.191349029541016,7.609316349029541,29.149505615234375,-35.093505859375,8.040043830871582,29.149505615234375,-35.093505859375,8.040043830871582,27.262603759765625,-35.55540466308594,7.268221855163574,28.254730224609375,-34.349761962890625,7.804457187652588,28.254730224609375,-34.349761962890625,7.804457187652588,29.98455810546875,-34.086544036865234,7.668480396270752,12.17148814766784,14.470962634364783,-1.0,0.0069986906098017205,6.333333522081375,0.0,10.69,0
L-1:11,16.135581903535684,12.890483047543057,2.22718775835995,6.041233161953507,8.634942428290339,13.47266111889366,10.969457974298688,2.9907885686035383,1.140842545920605,11.249860959005243,1572.645751953125,360.0123291015625,1962.707275390625,802.8656616210938,1672.822265625,1926.411376953125,1177.2806396484375,2530.906005859375,2474.1826171875,2369.6513671875,2391.8447265625,23.189990997314453,1078.853759765625,1623.6937255859375,265.44525146484375,506.6368103027344,575.8524780273438,2659.577880859375,1567.909423828125,671.3568725585938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,30.01324462890625,-33.086544036865234,6.466689586639404,30.06005859375,-33.416072845458984,6.430790424346924,30.06005859375,-33.416072845458984,6.430790424346924,28.837646484375,-33.95740509033203,6.607626438140869,28.837646484375,-33.95740509033203,6.607626438140869,28.837646484375,-33.95740509033203,6.607626438140869,29.489410400390625,-33.285736083984375,7.366450309753418,28.94537353515625,-33.47377014160156,6.019418239593506,28.94537353515625,-33.47377014160156,6.019418239593506,30.01324462890625,-33.086544036865234,6.466689586639404,10.632668432300253,13.185754184502178,-1.0,0.007009726081778483,4.33333346247673,0.0,10.09,0
