Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.333333671092987,5.904739052623569,1.0165091523109009,2.9513665306491657,1.6268763230212129,0.0,0.6569286932028332,5.231582222264247,2.385707122063705,1.3622239693039633,1137.6978759765625,39.30126190185547,468.6302490234375,218.70066833496094,67.57896423339844,369.16021728515625,96.2214126586914,1063.630859375,925.0971069335938,620.4849243164062,1100.062744140625,103.50240325927734,472.9476013183594,446.4711608886719,295.0359191894531,1069.2933349609375,283.13739013671875,1148.708251953125,759.3324584960938,334.0492858886719,0.32549020648002625,0.3176470696926117,0.32156863808631897,0.32549020648002625,0.33725491166114807,0.33725491166114807,0.34117648005485535,0.3333333432674408,0.3176470696926117,0.3333333432674408,0.32549020648002625,0.3176470696926117,0.32156863808631897,0.32549020648002625,0.33725491166114807,0.33725491166114807,0.34117648005485535,0.3333333432674408,0.3176470696926117,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.180219956833229,1.5424762308953794,-1.0,0.012768671848597498,0.0,0.0,21.59,36
L-1:2,5.821416572349388,5.820061203574917,2.641427674712241,1.407570494398464,3.0728712502138786,3.800584863596717,0.14761295557542337,3.350761554392088,1.953503800415478,3.268512372185666,1164.3521728515625,27.731523513793945,1059.18359375,765.525634765625,275.0356140136719,1136.7998046875,5.5330305099487305,965.6432495117188,1445.017333984375,1083.0611572265625,1137.5594482421875,8.124435424804688,1058.7080078125,767.400390625,223.70608520507812,316.5741271972656,114.42235565185547,1367.571044921875,1199.4447021484375,848.77392578125,0.3176470696926117,0.3176470696926117,0.3137255012989044,0.3333333432674408,0.32549020648002625,0.3176470696926117,0.3176470696926117,0.32549020648002625,0.3176470696926117,0.32156863808631897,0.3176470696926117,0.3176470696926117,0.3137255012989044,0.3333333432674408,0.32549020648002625,0.3176470696926117,0.3176470696926117,0.32549020648002625,0.3176470696926117,0.32156863808631897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.30610023080632,3.0040367570815696,1.0,0.009203483432455396,3.333333432674408,0.0,18.57,100
L-1:3,9.718253447702015,24.178107737218333,10.57580028498355,30.41239606282342,13.485592054358085,2.027587570526223,7.714129043960077,2.534003915748843,1.8621621541020381,1.1319827477219724,0.0,0.0,1229.4952392578125,136.89431762695312,1720.339111328125,455.6372375488281,1164.264892578125,2365.696533203125,2611.2509765625,569.7570190429688,2047.5728759765625,376.931396484375,1061.7041015625,927.0407104492188,789.154052734375,1100.9124755859375,750.9431762695312,1884.568115234375,1302.3892822265625,1128.05126953125,0.3176470696926117,0.30588236451148987,0.29411765933036804,0.3019607961177826,0.32156863808631897,0.32156863808631897,0.32549020648002625,0.32549020648002625,0.3176470696926117,0.30588236451148987,0.3176470696926117,0.30588236451148987,0.29411765933036804,0.3019607961177826,0.32156863808631897,0.32156863808631897,0.32549020648002625,0.32549020648002625,0.3176470696926117,0.30588236451148987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.088497600941686,5.2982101433709685,1.0,0.011451860375911008,4.666666805744171,0.0,17.06,100
L-1:4,16.67000016353802,17.07958259188092,21.78385539451583,23.427856507227304,15.557723548242885,2.1343748094202737,10.29141068220407,1.9296992254911534,2.550047077664744,12.459168973597924,969.4437255859375,16.10057258605957,654.8499145507812,488.76300048828125,389.1775817871094,1163.7562255859375,296.89520263671875,1072.4720458984375,394.6703796386719,392.6263732910156,506.4552001953125,295.26165771484375,1065.945068359375,744.8440551757812,0.0,0.0,956.8460083007812,1361.7506103515625,771.3056640625,539.9915771484375,0.32549020648002625,0.34117648005485535,0.3450980484485626,0.34117648005485535,0.3529411852359772,0.3490196168422699,0.3333333432674408,0.3019607961177826,0.32549020648002625,0.3294117748737335,0.32549020648002625,0.34117648005485535,0.3450980484485626,0.34117648005485535,0.3529411852359772,0.3490196168422699,0.3333333432674408,0.3019607961177826,0.32549020648002625,0.3294117748737335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.411794878310153,14.855606160511133,1.0,0.011855731225296443,10.000000298023224,4.63,17.14,44
L-1:5,2.538591110943878,9.399477904473429,5.908661848150175,0.6907016199054764,6.300545236832125,0.33333334326742187,4.225538662057176,4.888469013902791,1.4059383757993573,11.937229913883856,1220.781982421875,238.7476043701172,1357.511962890625,608.0100708007812,135.5242919921875,1582.798828125,322.45208740234375,1292.4822998046875,404.4485168457031,383.1309509277344,1120.6363525390625,365.6432189941406,1192.38427734375,795.1441040039062,679.5341186523438,1291.1201171875,454.8548889160156,766.7781372070312,918.935302734375,773.9028930664062,0.33725491166114807,0.3333333432674408,0.34117648005485535,0.3607843220233917,0.34117648005485535,0.3333333432674408,0.3294117748737335,0.32549020648002625,0.32549020648002625,0.3333333432674408,0.33725491166114807,0.3333333432674408,0.34117648005485535,0.3607843220233917,0.34117648005485535,0.3333333432674408,0.3294117748737335,0.32549020648002625,0.32549020648002625,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72416847886874,5.49497093615744,1.0,0.012853822314049588,3.333333432674408,0.0,21.33,32
L-1:6,1.666666716337204,2.012751443382841,3.543834422240589,6.1552053179963115,2.004189145890583,4.642796230760812,2.8569187956532414,0.3745174130996637,2.378027868608689,3.4559417172364384,667.5630493164062,45.10432815551758,624.3529052734375,452.14337158203125,113.21145629882812,482.1233215332031,748.249267578125,1554.3905029296875,458.1950378417969,441.4277648925781,1243.7080078125,97.77335357666016,657.9795532226562,277.3304138183594,204.1441192626953,1073.81201171875,317.3273620605469,699.0220947265625,1377.3455810546875,1672.6324462890625,0.32156863808631897,0.3333333432674408,0.34117648005485535,0.34117648005485535,0.3333333432674408,0.3333333432674408,0.33725491166114807,0.32549020648002625,0.3294117748737335,0.33725491166114807,0.32156863808631897,0.3333333432674408,0.34117648005485535,0.34117648005485535,0.3333333432674408,0.3333333432674408,0.33725491166114807,0.32549020648002625,0.3294117748737335,0.33725491166114807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741249672957118,7.381215340926181,1.0,0.01413619590741362,3.333333432674408,0.0,24.08,0
L-1:7,6.699917280420348,14.349422827261746,10.244437174136053,2.294412484485654,4.652201033551711,2.687419329524194,4.186644476339142,3.523482632618564,4.836348494458622,1.931623030240355,1295.1138916015625,53.511329650878906,1130.6292724609375,781.4962158203125,270.55914306640625,1371.6505126953125,755.7655639648438,1322.441162109375,935.6926879882812,866.6512451171875,968.7305297851562,18.82770347595215,1298.7110595703125,1001.2804565429688,553.7999267578125,1119.375,665.220703125,1618.527099609375,978.3178100585938,1380.207275390625,0.3294117748737335,0.33725491166114807,0.34117648005485535,0.3450980484485626,0.3490196168422699,0.3333333432674408,0.32156863808631897,0.3294117748737335,0.3333333432674408,0.3294117748737335,0.3294117748737335,0.33725491166114807,0.34117648005485535,0.3450980484485626,0.3490196168422699,0.3333333432674408,0.32156863808631897,0.3294117748737335,0.3333333432674408,0.3294117748737335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.572849118837302,1.5602157059130877,1.0,0.008943339646464647,4.0000001192092896,0.0,16.19,0
L-1:8,12.01850460972597,9.29384818192034,1.3894121697753048,7.600454812726539,3.1520778667014895,2.134374809420259,10.094669682885792,13.50818034324747,14.702659238999157,0.6631363579194602,1385.4080810546875,298.65899658203125,964.3101806640625,881.9791259765625,209.12234497070312,1226.1954345703125,279.97119140625,1113.1878662109375,802.730224609375,923.1007690429688,903.1961059570312,473.7974853515625,1988.51025390625,1684.65673828125,375.86663818359375,1860.381591796875,537.738525390625,1777.6162109375,706.1830444335938,819.6737060546875,0.32549020648002625,0.3450980484485626,0.37254902720451355,0.3607843220233917,0.37254902720451355,0.32549020648002625,0.3137255012989044,0.3294117748737335,0.30588236451148987,0.33725491166114807,0.32549020648002625,0.3450980484485626,0.37254902720451355,0.3607843220233917,0.37254902720451355,0.32549020648002625,0.3137255012989044,0.3294117748737335,0.30588236451148987,0.33725491166114807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58768503793939,9.833361217289905,1.0,0.008080143540669858,3.333333432674408,3.43,17.37,0
L-1:9,8.692270132653361,2.248908438702813,5.047955312410702,12.12682645817137,5.68478109352987,7.453560147132695,6.484692899725473,0.9736148705125437,19.078514370472444,8.320224085036019,1867.547119140625,398.87457275390625,1663.548583984375,1285.405029296875,368.75079345703125,1252.3175048828125,756.5384521484375,1565.1920166015625,1671.7264404296875,688.8482666015625,1607.5330810546875,261.3029479980469,2034.6063232421875,906.3368530273438,66.18821716308594,1803.766357421875,499.60382080078125,1722.0888671875,1214.283935546875,1155.1072998046875,0.3450980484485626,0.3333333432674408,0.3490196168422699,0.2823529541492462,0.3450980484485626,0.33725491166114807,0.3333333432674408,0.34117648005485535,0.32549020648002625,0.33725491166114807,0.3450980484485626,0.3333333432674408,0.3490196168422699,0.2823529541492462,0.3450980484485626,0.33725491166114807,0.3333333432674408,0.34117648005485535,0.32549020648002625,0.33725491166114807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72416847886874,8.855333704264634,1.0,0.00758627946127946,2.0000000596046448,0.0,15.45,0
L-1:10,0.7453560147132695,3.6323340839136513,6.547253008924856,11.600390089716901,8.816172314623385,4.642796230760819,0.33800850095506,8.914303614829434,12.59608421833278,6.9896785611903685,1384.599853515625,361.09674072265625,984.18310546875,756.1029052734375,177.03396606445312,1082.457763671875,727.7455444335938,1846.97314453125,929.4722900390625,852.4786987304688,1180.4959716796875,404.3542785644531,1270.874267578125,759.8961791992188,95.59912872314453,1516.64892578125,215.9028778076172,1582.6424560546875,1066.2618408203125,941.8474731445312,0.33725491166114807,0.33725491166114807,0.33725491166114807,0.34117648005485535,0.3450980484485626,0.33725491166114807,0.3294117748737335,0.32156863808631897,0.3333333432674408,0.33725491166114807,0.33725491166114807,0.33725491166114807,0.33725491166114807,0.34117648005485535,0.3450980484485626,0.33725491166114807,0.3294117748737335,0.32156863808631897,0.3333333432674408,0.33725491166114807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.803133506364577,2.7667429877337812,1.0,0.008959001782531194,6.000000178813934,0.0,14.36,0
