Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.7142751086946594,1.7153651528911504,5.193444651592673,0.6224164199315211,2.401943953725099,2.4825407087638176,1.6412177264396317,2.956613332424381,2.8676274004518527,1.9811038981181321,626.64404296875,68.0849838256836,844.5066528320312,550.1078491210938,258.2786560058594,519.334716796875,172.91107177734375,341.51715087890625,378.71142578125,320.2271728515625,679.1200561523438,63.926490783691406,537.6348266601562,294.3045349121094,165.4793243408203,838.383544921875,290.1542053222656,1093.52392578125,850.594970703125,736.9429321289062,0.35686275362968445,0.37254902720451355,0.40392160415649414,0.3607843220233917,0.3294117748737335,0.2823529541492462,0.20000001788139343,0.1725490242242813,0.3333333432674408,0.37254902720451355,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.3333333432674408,188.94046020507812,-28.849925994873047,0.9023478627204895,189.0858917236328,-28.849925994873047,0.9023477435112,189.5662384033203,-29.007810592651367,1.004205584526062,189.5561065673828,-29.35230827331543,1.1346604824066162,189.93275451660156,-29.63734245300293,1.2388194799423218,190.40325927734375,-29.792510986328125,1.5635696649551392,192.20721435546875,-29.527389526367188,2.481266736984253,192.20721435546875,-29.527389526367188,2.481266736984253,189.17282104492188,-28.898759841918945,0.8858645558357239,188.94046020507812,-28.849925994873047,0.9023478627204895,4.049825632795768,6.668015886867493,1.0,0.01653708133971292,1.5,0.0,19.75,100
L-1:2,8.849151820145925,13.84566762201785,15.440931024461227,10.049408998694656,6.914468622719449,11.16626343700049,6.397154324718435,6.298015473896,7.066676739302537,7.809771923701146,797.5384521484375,162.50820922851562,589.2128295898438,497.2180480957031,161.2920684814453,504.4635925292969,78.73152923583984,877.4482421875,793.5245361328125,235.83615112304688,1236.587646484375,93.56139373779297,826.6023559570312,707.8658447265625,169.56671142578125,771.3302001953125,331.8276672363281,780.1588745117188,565.8451538085938,444.3207092285156,0.364705890417099,0.3960784673690796,0.3921568989753723,0.3764706254005432,0.1764705926179886,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.23137256503105164,0.27843138575553894,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,189.13047790527344,-28.60342788696289,1.082318663597107,188.9848175048828,-28.234445571899414,0.9293497204780579,188.60653686523438,-28.23594856262207,0.5174894332885742,188.34307861328125,-28.213790893554688,0.28536689281463623,190.31556701660156,-28.985877990722656,1.523969054222107,189.63070678710938,-28.985877990722656,1.523969054222107,189.63070678710938,-28.985877990722656,1.523969054222107,189.47801208496094,-28.942100524902344,1.4175889492034912,189.0310821533203,-29.21371841430664,0.8506922721862793,189.0310821533203,-29.21371841430664,0.8506922721862793,2.4566334918348196,3.7984311479857773,-1.0,0.014974226804123712,8.5,0.0,18.26,36
L-1:3,9.143141574525162,8.069422481385265,11.76804567940527,7.00956301131779,2.285428570721375,5.352482342502154,10.70885059608528,3.6766233813635933,6.112937396668604,1.6111390879174707,1164.70947265625,147.24176025390625,771.2752685546875,512.4356689453125,328.5272216796875,815.524658203125,429.0102844238281,788.1671142578125,621.0526733398438,243.35855102539062,914.4186401367188,79.5872573852539,1110.0340576171875,556.0183715820312,234.34413146972656,999.12939453125,400.4902648925781,1025.22509765625,0.0,0.0,0.3607843220233917,0.3450980484485626,0.3529411852359772,0.2823529541492462,0.2666666805744171,0.2352941334247589,0.2039215862751007,0.18431372940540314,0.18039216101169586,0.1882353127002716,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,189.15145874023438,-27.63334846496582,-1.2581435441970825,189.28260803222656,-27.907487869262695,-1.4048857688903809,189.38818359375,-28.20247459411621,-1.1174266338348389,189.38124084472656,-28.202865600585938,-0.07856597751379013,189.044189453125,-28.271671295166016,0.3532105088233948,189.044189453125,-28.271671295166016,0.3532105088233948,188.6551055908203,-27.8249454498291,0.8196848034858704,188.6551055908203,-27.8249454498291,0.8196848034858704,188.56907653808594,-27.592914581298828,1.3396034240722656,188.83253479003906,-27.994461059570312,1.3154590129852295,14.00343840175351,10.841179043939297,1.0,0.012207960433349034,0.5,0.0,14.81,100
L-1:4,3.1716166231606553,5.636296325062793,8.387724058914964,19.025309819465395,21.359749367378885,26.099738227782655,28.08083732652326,25.098088763070855,18.19702936627553,0.3509261324119676,1205.4638671875,8.232857704162598,835.6533813476562,648.375244140625,290.0653076171875,1301.953369140625,437.88702392578125,1029.410400390625,948.8933715820312,505.18768310546875,1055.942626953125,150.33677673339844,1053.7606201171875,837.8807373046875,357.51519775390625,1095.0836181640625,292.2799072265625,1187.5257568359375,672.7124633789062,583.075927734375,0.18431372940540314,0.20000001788139343,0.18431372940540314,0.2039215862751007,0.22745099663734436,0.24313727021217346,0.2823529541492462,0.3137255012989044,0.3529411852359772,0.33725491166114807,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,189.20606994628906,-26.71430778503418,1.0432610511779785,189.30751037597656,-27.027324676513672,1.0349575281143188,189.30751037597656,-27.027324676513672,1.0349575281143188,188.8739776611328,-27.272031784057617,0.7016311287879944,188.8739776611328,-27.272031784057617,0.7016311287879944,189.10330200195312,-27.386768341064453,0.5205901265144348,189.15138244628906,-27.495962142944336,0.3143081068992615,189.15138244628906,-27.495962142944336,0.3143081068992615,188.84544372558594,-27.495962142944336,0.31430792808532715,188.84544372558594,-27.495962142944336,0.31430792808532715,5.531850636106038,16.956762635693195,-1.0,0.010755131964809385,17.5,4.76,14.67,36
L-1:5,3.912019269385729,7.970869410615416,1.4243232989979766,2.0340009150735487,20.70247265610916,23.248025295880225,15.295047584070304,9.925728782590685,9.939118923925665,3.6861948347617495,742.0277709960938,79.13541412353516,936.667724609375,653.9866943359375,402.3399963378906,942.039306640625,220.07496643066406,329.80938720703125,845.5550537109375,258.46527099609375,1005.2760620117188,143.09030151367188,987.3798217773438,451.3878173828125,136.6464080810547,758.765625,173.13592529296875,1120.815673828125,797.2103271484375,526.2515869140625,0.3333333432674408,0.35686275362968445,0.3686274588108063,0.3294117748737335,0.2039215862751007,0.2352941334247589,0.2352941334247589,0.26274511218070984,0.27843138575553894,0.3019607961177826,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,191.02792358398438,-28.34642791748047,-1.787340521812439,191.02792358398438,-28.34642791748047,-1.787340521812439,191.04957580566406,-28.387577056884766,-2.16546368598938,190.86447143554688,-28.36818504333496,-2.2951624393463135,190.91714477539062,-28.158613204956055,-1.1267744302749634,190.91714477539062,-28.158613204956055,-1.1267744302749634,190.64889526367188,-28.262849807739258,-1.5666526556015015,190.64889526367188,-28.262849807739258,-1.5666526556015015,190.7060089111328,-28.169218063354492,-1.6677870750427246,190.7060089111328,-28.169218063354492,-1.6677870750427246,7.2430809271969725,9.138926130902084,-1.0,0.013369565217391303,9.0,0.0,13.53,0
L-1:6,13.441697609346635,5.443327485849232,4.254310921086381,7.703929503898595,8.98345026428669,12.033048995176287,15.5201036286672,7.649140139660841,4.009623877309953,14.59709762990822,863.2102661132812,14.121695518493652,644.0570678710938,419.2413330078125,190.4714813232422,890.7183227539062,219.78797912597656,748.3526611328125,847.337158203125,391.5736999511719,770.7872924804688,94.49858093261719,823.220703125,541.2847900390625,426.28924560546875,832.2305297851562,661.9639892578125,1016.0615234375,836.2491455078125,543.25146484375,0.2549019753932953,0.27843138575553894,0.3176470696926117,0.35686275362968445,0.3960784673690796,0.40392160415649414,0.41568630933761597,0.3921568989753723,0.18039216101169586,0.21568629145622253,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,191.95455932617188,-28.932981491088867,-4.636717319488525,191.7777862548828,-28.375337600708008,-4.735138416290283,191.7777862548828,-28.375337600708008,-4.735138416290283,191.478271484375,-28.351091384887695,-4.714601993560791,191.52700805664062,-28.53008270263672,-4.196663856506348,191.7410430908203,-28.72818946838379,-3.9367470741271973,191.7410430908203,-28.72818946838379,-3.9367470741271973,191.8159942626953,-29.23902130126953,-4.221142768859863,192.27708435058594,-28.850557327270508,-3.1404123306274414,192.27708435058594,-28.850557327270508,-3.1404123306274414,6.774971946964748,2.824892673260005,-1.0,0.012564102564102564,8.0,0.0,15.4,0
L-1:7,3.862057875965038,0.7115163039086566,2.161763427511324,0.8964378887361607,1.615695162064737,5.995796280981813,6.817315009875753,1.4043057332087034,11.99881458430271,10.917676450306507,814.0145874023438,212.65963745117188,651.9002075195312,402.5649719238281,182.57981872558594,591.8755493164062,302.7195739746094,871.2463989257812,368.4985656738281,367.4520263671875,845.072265625,9.03095817565918,1106.0247802734375,520.2176513671875,224.29248046875,877.8270263671875,392.5078125,923.691162109375,787.312255859375,501.7031555175781,0.29019609093666077,0.2666666805744171,0.2666666805744171,0.21176472306251526,0.34117648005485535,0.3529411852359772,0.3686274588108063,0.3450980484485626,0.33725491166114807,0.30588236451148987,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,191.6924591064453,-29.34014320373535,-1.5243037939071655,191.64706420898438,-29.34014320373535,-1.5243035554885864,191.56576538085938,-29.499216079711914,-1.240930438041687,191.32269287109375,-29.339338302612305,-0.9602535367012024,192.29188537597656,-30.792606353759766,-2.9438111782073975,192.1453094482422,-30.11191177368164,-2.696570634841919,191.94920349121094,-29.647865295410156,-2.231297731399536,191.94920349121094,-29.647865295410156,-2.231297731399536,192.02145385742188,-29.305015563964844,-1.7603702545166016,191.6924591064453,-29.34014320373535,-1.5243037939071655,2.4227140360024118,11.872323230042758,1.0,0.013322843822843822,5.5,0.0,16.33,0
L-1:8,4.832957539207332,7.618200401017061,7.827438108217279,2.130277494933308,8.749959823833779,16.90259894921706,13.210949327766828,5.275577022036356,1.5329943225844096,2.9770862601106813,946.3372802734375,77.18071746826172,728.4102783203125,552.2001342773438,286.88995361328125,976.7064819335938,117.74003601074219,1277.67138671875,1082.164306640625,422.1976318359375,1454.439208984375,103.81456756591797,1033.7939453125,720.2325439453125,231.49237060546875,750.2611694335938,162.73861694335938,690.9506225585938,675.5660400390625,440.58489990234375,0.24705883860588074,0.2823529541492462,0.2823529541492462,0.22745099663734436,0.24313727021217346,0.25882354378700256,0.2823529541492462,0.3137255012989044,0.3529411852359772,0.22352942824363708,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,192.22361755371094,-29.86098289489746,-3.0068371295928955,192.22361755371094,-29.86098289489746,-3.0068371295928955,191.72898864746094,-29.969097137451172,-3.181222915649414,191.44900512695312,-30.278345108032227,-3.2710416316986084,191.372314453125,-30.441072463989258,-2.8937902450561523,191.372314453125,-30.441072463989258,-2.8937902450561523,191.34971618652344,-30.330427169799805,-2.861875534057617,191.34971618652344,-30.330427169799805,-2.861875534057617,191.24342346191406,-30.330427169799805,-2.861875534057617,192.10159301757812,-30.225852966308594,-2.92720103263855,8.172209105328928,13.803642149406235,-1.0,0.01151332603139832,4.0,5.62,18.02,0
L-1:9,5.202708776915681,5.740914924185886,8.372393402279425,5.617808705373614,4.257726104238682,7.386575385600723,8.222125209175532,6.087440005280881,2.6976818721661973,8.949771629251986,1008.36572265625,254.70513916015625,706.1957397460938,806.2805786132812,496.0557556152344,1246.8143310546875,80.86341857910156,962.081787109375,1617.73388671875,551.9586791992188,1334.350341796875,53.36283493041992,1125.440185546875,829.5431518554688,416.5447692871094,1545.366455078125,424.1809387207031,1120.37109375,751.8990478515625,893.125244140625,0.3921568989753723,0.40000003576278687,0.40000003576278687,0.38431376218795776,0.3607843220233917,0.27450981736183167,0.27450981736183167,0.32156863808631897,0.33725491166114807,0.38431376218795776,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,192.33102416992188,-30.35348129272461,-4.10813045501709,192.1585235595703,-30.153600692749023,-4.134128570556641,192.1585235595703,-30.153600692749023,-4.134128570556641,192.2537841796875,-30.295696258544922,-4.170616149902344,192.2537841796875,-30.295696258544922,-4.170616149902344,192.3775634765625,-30.59932518005371,-4.267776966094971,192.3402557373047,-30.607458114624023,-4.347625255584717,192.3402557373047,-30.607458114624023,-4.347625255584717,192.32040405273438,-30.85010528564453,-4.362875938415527,192.32040405273438,-30.85010528564453,-4.362875938415527,15.4432298620594,9.183861936102995,-1.0,0.010598484848484848,2.0,0.0,13.99,0
L-1:10,6.563192780859601,12.913238284831225,8.04775703144885,8.32087399844799,10.009663823572279,10.176655067483978,7.382826156193833,2.057741726373326,7.869507941535502,10.975104367663834,850.8563842773438,77.04561614990234,591.98291015625,415.9576110839844,234.11572265625,779.6015625,284.35791015625,1026.712890625,750.3782348632812,317.7795715332031,970.3575439453125,12.118592262268066,697.6431274414062,497.816650390625,551.3731079101562,974.4173583984375,279.3384094238281,979.3767700195312,892.2102661132812,141.59486389160156,0.30980393290519714,0.3490196168422699,0.3333333432674408,0.32549020648002625,0.364705890417099,0.364705890417099,0.3450980484485626,0.26274511218070984,0.27843138575553894,0.30980393290519714,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,192.86021423339844,-30.88055992126465,-4.34760046005249,192.86021423339844,-30.88055992126465,-4.34760046005249,192.88363647460938,-30.680309295654297,-4.476077556610107,192.5202178955078,-30.804473876953125,-4.761399269104004,192.5202178955078,-30.804473876953125,-4.761399269104004,192.3775634765625,-30.69818687438965,-4.7668328285217285,192.3775634765625,-30.69818687438965,-4.7668328285217285,192.71913146972656,-31.220746994018555,-4.222891330718994,192.69580078125,-31.386625289916992,-4.3554887771606445,192.78138732910156,-31.344562530517578,-4.497406005859375,23.090570461086468,10.892941571904363,-1.0,0.012778317938745747,8.5,0.0,15.02,0
