Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.106434778072947,2.0783189019227453,1.2197728689180445,8.089285840976284,3.9930372730238903,3.105236917252843,7.7717838100859264,7.147538961096356,1.5099015576592503,4.33857475489255,844.8603515625,53.26273727416992,462.97021484375,287.9144287109375,55.84722137451172,508.9563293457031,345.0005187988281,1048.930419921875,489.1363830566406,757.4828491210938,507.3520812988281,71.90615844726563,973.5538330078125,565.18994140625,315.7452392578125,521.8263549804688,309.78643798828125,1023.8027954101563,914.6903076171875,593.8839111328125,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8843182214567653,4.037006879023256,1.0,0.015842803030303033,1.5,0.0,21.51,100
L-1:2,10.40158052278731,1.3658374303440335,3.990120762351807,14.05179943697905,0.69784258140787,6.408207359944037,10.211944886473706,12.231954385392413,0.6721246569186055,0.9056537011025504,562.9376831054688,187.83651733398438,700.0247802734375,475.87030029296875,358.71044921875,889.2122802734375,110.2116470336914,754.2593994140625,206.91329956054688,127.59794616699219,487.5577392578125,84.31322479248047,330.50250244140625,412.5213317871094,573.1306762695313,794.4513549804688,43.377376556396484,249.22898864746094,1585.6116943359375,2050.610107421875,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32765354068269,12.38733413380451,1.0,0.017479733642154025,1.5,0.0,17.25,36
L-1:3,15.42136754899506,9.660308053636284,3.5900705997250246,4.916235920755711,6.377268996774296,2.5972381253941013,3.7936045060962797,6.354752243785675,5.4571724652339135,1.1619867451323302,413.48419189453125,7.532845497131348,790.1158447265625,249.29827880859375,262.23992919921875,805.5026245117188,229.2091064453125,668.3079223632813,783.1568603515625,946.4717407226563,872.1044311523438,163.48471069335938,604.85498046875,553.1637573242188,763.0405883789063,1247.3651123046875,390.7427062988281,840.287109375,132.45201110839844,132.53958129882813,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3991834341898395,4.481191670967761,1.0,0.01527102576567817,8.0,0.0,17.95,100
L-1:4,11.609634053175364,3.4579773991452325,6.119836977588378,6.390368847853019,12.569526997057013,3.245767813466436,3.4537695587593165,2.534829310037324,3.4135120993944974,1.3244161177021647,547.4986572265625,131.58753967285156,587.6647338867188,12.981439590454102,375.0003967285156,1210.1602783203125,34.361358642578125,754.3880004882813,517.4439697265625,358.0000305175781,850.6582641601563,27.07769203186035,922.2139282226563,302.311279296875,159.35678100585938,822.6015625,266.2918395996094,1417.7606201171875,823.8270263671875,213.49307250976563,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.265434152657456,6.141911097406823,1.0,0.01456791754756871,0.5,6.33,15.75,108
L-1:5,8.243686588342532,3.1553391936596027,0.49044566187360283,1.9665171004991695,0.7050986059236578,6.301391674647786,1.8620787904026221,8.887457420338956,4.977367543047237,2.86409573650082,1101.6024169921875,226.89414978027344,957.3038940429688,854.3259887695313,126.37335205078125,1017.712646484375,139.96047973632813,918.8179931640625,654.9051513671875,447.0740661621094,931.8182373046875,87.10761260986328,1099.8699951171875,649.2459716796875,279.17181396484375,809.3532104492188,317.5409851074219,1289.8863525390625,1151.5350341796875,1112.0135498046875,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.905200619329085,5.521166417853769,1.0,0.013889260249554366,2.5,0.0,17.81,68
L-1:6,2.086073372789806,2.669478293488177,3.0191849785198897,4.684168895009559,2.886213086953758,3.105627687528607,3.6888998520120713,2.3146392309098385,0.6473771700115318,1.8186074261700556,808.699951171875,38.36425018310547,645.453369140625,415.547607421875,48.461875915527344,371.9146423339844,294.9906311035156,811.9472045898438,658.8197021484375,397.7679748535156,411.73895263671875,64.54084014892578,467.1916809082031,356.52264404296875,392.50482177734375,702.6026000976563,491.52825927734375,1068.1875,677.2225952148438,851.7803955078125,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6696466602842084,9.42307157036836,1.0,0.01611624053030303,2.0,0.0,19.45,108
L-1:7,1.6703225513981923,1.749287980886404,2.9723275329823853,4.781217343881189,4.133259737624333,5.712586757472889,7.940791744666553,5.244961639715604,1.1677793857004048,4.399733686886589,650.0934448242188,39.189422607421875,145.13739013671875,76.79322052001953,166.6699676513672,654.6556396484375,136.56468200683594,695.1195678710938,786.9374389648438,664.1680297851563,773.5968017578125,82.42332458496094,1131.9891357421875,306.170654296875,139.96690368652344,702.0657958984375,205.06532287597656,1086.94140625,669.6014404296875,607.23095703125,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71085051338425,5.333438235443389,1.0,0.01546401515151515,0.5,0.0,16.33,68
L-1:8,33.539121173442695,32.886774652255966,16.19615392605087,17.492126438033893,21.482173898194223,16.499561351876345,6.629145855700069,5.133077582032078,20.80516220757968,35.81255423609537,638.3952026367188,35.86614990234375,959.84326171875,570.8394165039063,395.69732666015625,623.7577514648438,621.54150390625,1052.5875244140625,1014.936279296875,1157.7803955078125,1357.294189453125,454.3844299316406,666.365966796875,629.2481689453125,345.94647216796875,1466.4696044921875,339.9232177734375,511.2568054199219,498.2516784667969,416.4858703613281,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.253604859056586,10.396361966111126,1.0,0.013290094339622641,18.0,5.43,17.71,108
L-1:9,4.640572494834352,0.9053720819100676,0.9392569927515697,1.3796634108435484,0.1356110420634967,2.747386038954468,4.051934666992719,3.798404017381064,5.422464921088613,0.9539691127031623,977.8456420898438,368.281494140625,367.5921325683594,304.5877990722656,71.11609649658203,282.6927490234375,91.33032989501953,497.6665344238281,624.8436889648438,509.5198974609375,958.6360473632813,105.88060760498047,722.8936157226563,568.4105224609375,361.958251953125,676.3185424804688,275.8193359375,527.5133666992188,412.89385986328125,393.1705017089844,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.71069822435451,3.644891270748897,1.0,0.01646288837744534,2.0,0.0,16.35,64
L-1:10,2.7259031432046004,8.555024566694003,3.637574143482096,11.330110978141747,8.482202010593644,5.702000318166659,9.163494074910396,20.897578260571894,1.5363685980006285,2.7198476122273685,687.9461669921875,59.52388000488281,845.3892822265625,311.7602233886719,43.142948150634766,528.396484375,255.37649536132813,709.1424560546875,947.6569213867188,888.7841186523438,715.8978271484375,196.16354370117188,365.65301513671875,903.878662109375,766.6381225585938,921.3424072265625,42.57254409790039,681.8292236328125,622.9290161132813,433.2879638671875,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.11811023950576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.039407657144219,11.251295824303519,1.0,0.015834903438530383,5.0,0.0,19.21,108
