Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.185051536943654,13.598527220002874,12.458291809465763,14.26539851295324,3.594477756674171,0.8782979451546165,0.7992722737982704,9.516007311897877,8.946670611716723,1.4726116642724865,1103.11572265625,367.4626159667969,705.7230224609375,906.8993530273438,122.63528442382812,729.5825805664062,192.5793914794922,1095.7957763671875,1000.7655639648438,746.8966674804688,1518.4617919921875,387.37591552734375,1026.343994140625,811.03466796875,495.83050537109375,1255.5435791015625,186.2773895263672,1735.904541015625,70.3143310546875,48.62324905395508,0.7997068762779236,0.7928676009178162,0.7782120108604431,0.7635564208030701,0.7205666899681091,0.6707376837730408,0.6375183463096619,0.5881778001785278,0.49682462215423584,0.08158280700445175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0467529296875,-68.17460632324219,1.4151140451431274,288.1514892578125,-68.04049682617188,0.7445619702339172,288.3363037109375,-68.1037826538086,-0.21254877746105194,287.6665954589844,-67.90119934082031,-2.172943592071533,287.37994384765625,-67.21818542480469,-3.4225759506225586,286.82489013671875,-65.87982177734375,-3.540679931640625,286.82489013671875,-65.87982177734375,-3.540679931640625,287.03680419921875,-64.12273406982422,-2.185953140258789,288.3779602050781,-63.793243408203125,-1.7190797328948975,289.13629150390625,-64.48466491699219,-1.4254785776138306,5.386043400192077,5.667979166033084,1.0,0.010888351192533702,3.80952388048172,0.0,18.0,68
L-1:2,5.925261188412969,2.328041102696416,11.357080890990362,5.041047310579778,0.6097794202716104,0.052167537313786656,7.1987201444187265,1.2090330887803773,0.4988987446612193,17.588003353448176,844.7990112304688,999.4695434570312,636.5436401367188,651.70947265625,31.549850463867188,857.9679565429688,48.066864013671875,1689.50830078125,1288.381591796875,703.8480224609375,553.6070556640625,12.512116432189941,1175.245361328125,819.7605590820312,493.1466979980469,982.4952392578125,221.7947235107422,158.7877197265625,885.5985107421875,697.9893798828125,0.7430385947227478,0.7347337603569031,0.724963366985321,0.696140706539154,0.6184660196304321,0.5901318788528442,0.6038104295730591,0.5803614854812622,0.7132388949394226,0.7484123110771179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.5320739746094,-73.17185974121094,-0.6483293771743774,292.5447998046875,-73.08259582519531,-1.8888192176818848,293.39532470703125,-72.95870971679688,-3.8813185691833496,293.39532470703125,-72.95870971679688,-3.8813185691833496,293.1880187988281,-72.87124633789062,-4.8122639656066895,292.0784912109375,-72.02388000488281,-5.402187347412109,291.02679443359375,-71.61558532714844,-4.7051496505737305,291.02679443359375,-71.61558532714844,-4.7051496505737305,288.4078674316406,-73.97679901123047,-2.4147181510925293,290.5320739746094,-73.17185974121094,-0.6483293771743774,4.087615556146111,8.52705653681221,1.0,0.01233480176211454,6.095238208770752,0.0,17.6,100
L-1:3,2.204027505849871,1.5695802079401706,1.3306766665660892,1.6510275135810388,4.172495901890169,2.01615739023486,4.82604910331295,6.841457474757863,7.403314477953888,0.4188919061932699,1543.71484375,205.23098754882812,688.000732421875,688.5582275390625,65.8768310546875,33.17755126953125,169.6737060546875,1220.6715087890625,639.6362915039062,430.8994445800781,704.8480834960938,3.0316720008850098,1166.9813232421875,1277.8955078125,386.0792236328125,981.6272583007812,515.3262939453125,856.1491088867188,630.272216796875,693.300048828125,0.7142159342765808,0.7313141226768494,0.7274059653282166,0.652662456035614,0.7142159342765808,0.7474352717399597,0.7371763586997986,0.8378114104270935,0.8226673007011414,0.7166585326194763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.56866455078125,-71.7206039428711,-0.4115968346595764,288.5211486816406,-71.38587951660156,0.4296635687351227,288.8330078125,-71.46630859375,0.12534232437610626,288.47308349609375,-70.32982635498047,-0.07148098200559616,287.73345947265625,-71.119873046875,-0.6846320629119873,287.73345947265625,-71.119873046875,-0.6846320629119873,287.5143737792969,-71.77635192871094,-1.9889405965805054,288.3115539550781,-72.02142333984375,-2.356592893600464,288.3115539550781,-72.02142333984375,-2.356592893600464,288.56439208984375,-71.91773223876953,-1.659428596496582,0.3857618591407129,7.3710239463639375,-1.0,0.014206258565555048,4.190476268529892,0.0,17.77,4
L-1:4,6.241127745236723,4.046580405840784,14.430199009204966,12.514017376189926,18.656676547992912,19.203426396742145,24.496951254701678,35.958857100749206,31.995954657781276,17.611643163626795,1832.156005859375,91.7713394165039,514.0005493164062,697.8465576171875,391.6090087890625,1529.93408203125,588.9254150390625,1554.4239501953125,1738.80419921875,907.1611938476562,1847.672607421875,83.58460998535156,1116.1314697265625,1296.2706298828125,758.028564453125,1951.1871337890625,320.73162841796875,1541.0595703125,733.0510864257812,1158.9058837890625,0.7088422179222107,0.5329750776290894,0.6682950854301453,0.7557401061058044,0.7703956961631775,0.7576941847801208,0.7313141226768494,0.7132388949394226,0.6966292262077332,0.6805080771446228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0159606933594,-72.19063568115234,1.190524697303772,283.2315673828125,-68.13278198242188,2.8891992568969727,282.5256652832031,-68.11943817138672,2.804943323135376,281.7725830078125,-69.75494384765625,1.1962416172027588,281.7725830078125,-69.75494384765625,1.1962416172027588,282.3095703125,-71.47274017333984,-0.5138086080551147,282.3095703125,-71.47274017333984,-0.5138086080551147,284.54620361328125,-72.02410125732422,-1.2355809211730957,284.54620361328125,-72.02410125732422,-1.2355809211730957,283.0159606933594,-72.19063568115234,1.190524697303772,4.4956964010000044,24.330433179103824,-1.0,0.010850815850815852,24.380952835083008,4.0,15.96,100
L-1:5,7.722322796112828,7.547894849238833,6.8534017880065905,8.861565300357972,2.1201175590197066,3.6321521672261188,4.306607913531661,1.0203113782186919,2.205879059679613,11.192585792663195,1176.9915771484375,18.576168060302734,618.2093505859375,718.23876953125,106.65960693359375,778.9404907226562,373.1510009765625,1296.5233154296875,580.3577880859375,325.702392578125,1027.5145263671875,237.57493591308594,1191.958251953125,1031.4647216796875,627.231689453125,1292.197021484375,581.8191528320312,1021.5509643554688,968.3735961914062,580.8768920898438,0.7156814932823181,0.7459697127342224,0.7723497748374939,0.787493884563446,0.7840742468833923,0.5305324792861938,0.5969711542129517,0.6243282556533813,0.6472887396812439,0.671714723110199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.5233154296875,-72.2894515991211,-0.20303764939308167,288.49371337890625,-71.7866439819336,1.0413480997085571,288.39508056640625,-71.78569030761719,1.5016403198242188,288.58270263671875,-72.50007629394531,0.963084876537323,288.1437683105469,-73.29219055175781,0.26326417922973633,287.1528625488281,-73.06624603271484,-1.2204097509384155,287.1528625488281,-73.06624603271484,-1.2204097509384155,287.5298767089844,-73.10765838623047,-1.660419225692749,288.2537841796875,-72.74279022216797,-1.284684658050537,288.2537841796875,-72.74279022216797,-1.284684658050537,7.771623355611786,9.410768851379082,-1.0,0.012164968652037617,7.238095372915268,0.0,17.74,32
L-1:6,1.952050411254706,5.75273536556008,11.901508020282169,0.9128747167071676,6.843116329877158,12.680082493963246,2.78552048120908,1.0580939843787898,4.6706037011903,10.308281629161419,1401.26416015625,619.3701782226562,296.55560302734375,730.0755615234375,371.9913635253906,935.036865234375,72.8349380493164,792.5914916992188,703.0805053710938,790.53173828125,1145.8780517578125,163.70901489257812,636.6688842773438,210.9683074951172,231.72569274902344,1445.340087890625,137.65818786621094,1457.1407470703125,731.4058837890625,1043.93408203125,0.7205666899681091,0.7405959963798523,0.7542745471000671,0.7757694125175476,0.7850512862205505,0.7659990191459656,0.748900830745697,0.5945285558700562,0.6370298266410828,0.6790425181388855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.9866638183594,-71.05956268310547,1.029111623764038,286.520263671875,-70.88134765625,2.841395139694214,286.15509033203125,-71.07927703857422,3.045684576034546,286.5604248046875,-71.52442932128906,2.5698468685150146,285.9612121582031,-72.38090515136719,1.8156427145004272,285.4196472167969,-73.38357543945312,0.6935409307479858,286.4966735839844,-73.84770202636719,-0.4826240539550781,287.43695068359375,-71.82679748535156,-1.1381235122680664,287.74853515625,-71.29043579101562,-0.434150755405426,287.74853515625,-71.29043579101562,-0.434150755405426,4.699301620082318,4.384956182827302,-1.0,0.012164067684140677,1.90476194024086,0.0,20.95,76
L-1:7,11.742076136939865,2.780390742522497,5.1330643247404915,8.203183668969109,7.652853162639603,14.523902317649663,16.458045435700452,2.9206995693179043,5.697936543091836,3.6911072409163084,761.911376953125,355.81280517578125,0.0,0.0,154.71217346191406,1484.087890625,628.24072265625,1342.1658935546875,989.1683349609375,528.3191528320312,820.8466796875,347.15313720703125,1104.2227783203125,596.8118286132812,79.88642883300781,874.04345703125,100.0676498413086,1310.21533203125,1099.974609375,228.21014404296875,0.6604787707328796,0.018563751131296158,0.5730336904525757,0.6502198576927185,0.6902784705162048,0.6844162344932556,0.6819736361503601,0.7508549094200134,0.7366878390312195,0.6345872282981873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.3898010253906,-70.91566467285156,0.8205759525299072,287.18145751953125,-69.49250030517578,1.9516315460205078,286.16455078125,-69.22804260253906,1.9749699831008911,285.64508056640625,-69.20438385009766,1.720336675643921,285.22015380859375,-70.25476837158203,0.369766503572464,285.22015380859375,-70.25476837158203,0.369766503572464,284.6028137207031,-70.93670654296875,-0.19641555845737457,285.6448059082031,-71.05766296386719,-0.8158126473426819,285.6448059082031,-71.05766296386719,-0.8158126473426819,286.14801025390625,-70.94758605957031,-0.21398338675498962,4.5540333975113185,13.541476018237434,-1.0,0.01160232027386839,8.380952537059784,0.0,17.43,0
L-1:8,16.50119013933885,7.670013264995041,19.488488565556754,21.515658212612365,7.876720213690375,11.192497953005725,16.636132189035273,1.086410983383439,8.195561497057573,13.301990508201529,1154.344970703125,306.7220458984375,1308.1475830078125,857.9738159179688,250.87420654296875,1596.130859375,136.05953979492188,1887.5958251953125,1422.4361572265625,906.084716796875,1845.0623779296875,188.9768524169922,2373.09765625,1341.153564453125,573.6900634765625,890.1441040039062,492.64605712890625,1320.1326904296875,1298.715087890625,737.6143798828125,0.7396189570426941,0.7542745471000671,0.7576941847801208,0.7449926733970642,0.691255509853363,0.6213971376419067,0.5686370134353638,0.3805569112300873,0.7205666899681091,0.7366878390312195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.8009948730469,-73.44012451171875,0.4704170525074005,287.8009948730469,-73.44012451171875,0.4704170525074005,289.5662841796875,-73.89057922363281,-1.5410717725753784,291.29669189453125,-73.65754699707031,-2.997469425201416,291.29669189453125,-73.65754699707031,-2.997469425201416,291.00360107421875,-72.7801513671875,-3.7662031650543213,291.00360107421875,-72.7801513671875,-3.7662031650543213,290.3538513183594,-71.71540069580078,-3.438699960708618,285.4766540527344,-75.15583038330078,-0.7026352286338806,285.9544677734375,-73.8815689086914,0.26726481318473816,4.14440137168737,15.658173431646881,1.0,0.008787878787878787,16.761905074119568,3.86,15.08,0
L-1:9,12.132517951883798,2.8299895392127774,11.70982854046101,0.33088210756656733,0.9972129144620756,8.172368056652147,4.5108569701747365,11.874711406857523,12.505566369650863,19.331684560920696,1652.9937744140625,57.01780319213867,921.7030639648438,975.8524169921875,418.50384521484375,801.8544921875,462.63543701171875,750.1988525390625,1223.5997314453125,904.2601318359375,1065.455078125,131.265380859375,999.5477905273438,955.7450561523438,773.9808349609375,1426.16748046875,820.3349609375,907.1240234375,738.1279296875,721.7046508789062,0.686370313167572,0.7015144228935242,0.7049340605735779,0.7191011309623718,0.5759648084640503,0.6321446299552917,0.6985833048820496,0.80166095495224,0.7830972075462341,0.6839277148246765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.60540771484375,-73.71829986572266,-0.5070006251335144,288.0948791503906,-73.41641235351562,0.6890758872032166,287.41082763671875,-73.74988555908203,1.266934871673584,287.9323425292969,-74.05724334716797,1.0286799669265747,287.4402160644531,-72.77388000488281,0.7157037854194641,287.0245666503906,-73.01617431640625,-0.08030073344707489,287.0819091796875,-73.3635025024414,-1.5450519323349,287.0819091796875,-73.3635025024414,-1.5450519323349,286.8604736328125,-73.88986206054688,-1.1834428310394287,287.60540771484375,-73.71829986572266,-0.5070006251335144,5.303767513776978,10.079155529266163,-1.0,0.011150442477876105,4.952381044626236,0.0,15.84,0
L-1:10,5.529355680785125,1.306174164948267,7.491221070033577,1.6597866521642703,0.7843502451265825,3.857095415925641,6.327305164944037,7.725239258569332,2.199531353472952,16.279474820821054,732.7057495117188,1132.708984375,884.769287109375,548.1533203125,312.45684814453125,1252.656494140625,0.5983922481536865,1091.90869140625,1123.082275390625,534.4983520507812,1138.417724609375,76.82007598876953,930.8872680664062,465.4273986816406,311.6021423339844,965.2003173828125,22.21318244934082,497.5198669433594,1377.031494140625,507.9409484863281,0.7166585326194763,0.7381533980369568,0.7430385947227478,0.7484123110771179,0.671714723110199,0.5788959264755249,0.5686370134353638,0.4851001501083374,0.6438691020011902,0.6790425181388855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.8333435058594,-73.7546615600586,-0.18362152576446533,291.62322998046875,-73.63050079345703,-1.1821380853652954,291.9023132324219,-73.58805847167969,-2.1514031887054443,291.9023132324219,-73.58805847167969,-2.1514031887054443,291.6385498046875,-73.52306365966797,-2.525214433670044,291.10113525390625,-73.32865142822266,-2.800189733505249,291.19085693359375,-73.37726593017578,-2.1954293251037598,291.19085693359375,-73.37726593017578,-2.1954293251037598,286.5066223144531,-74.52772521972656,-1.14662504196167,287.7633056640625,-74.11988830566406,-0.6237533688545227,4.093101337732811,1.5071092717346342,1.0,0.012108185931715344,2.666666716337204,0.0,16.82,0
