Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.477349544462775,1.5497652288552253,3.2760000497656496,7.83132883547546,9.515142037586783,6.851813665155683,2.8529531807537882,6.712269904916657,17.04259656795724,21.76603733511461,2847.320068359375,702.9507446289062,2497.213134765625,1670.69189453125,1289.7427978515625,3380.077880859375,652.7901000976562,3379.1728515625,2240.97509765625,229.1576385498047,4380.1337890625,179.21102905273438,3180.651611328125,1445.24609375,1053.00244140625,3013.531982421875,544.748291015625,3309.575439453125,2066.45361328125,440.03350830078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,304.2850646972656,-36.57929992675781,-10.652017593383789,304.2850646972656,-36.57929992675781,-10.652017593383789,303.6277160644531,-36.97263717651367,-10.58371639251709,303.6277160644531,-36.97263717651367,-10.58371639251709,303.0588684082031,-39.83958053588867,-13.03261661529541,303.0588684082031,-39.83958053588867,-13.03261661529541,302.50543212890625,-40.61066436767578,-13.57107925415039,302.50543212890625,-40.61066436767578,-13.57107925415039,302.50543212890625,-40.61066436767578,-13.57107925415039,304.0511474609375,-37.5272216796875,-11.761610984802246,11.318052162299622,6.24558217166808,-1.0,0.004103865255884258,7.25,0.0,10.86,108
L-1:2,2.5011054456004462,1.283510595342274,14.774042169885405,9.179145687364679,2.344816680268367,8.380837583813578,10.703205321501049,2.8435310901099045,7.13239519643525,4.0861787544668715,2059.38330078125,41.408355712890625,1952.9229736328125,1810.274169921875,867.7411499023438,3849.315185546875,436.2726745605469,3147.519775390625,2050.8232421875,1352.675537109375,2383.815185546875,168.27081298828125,2033.5946044921875,1301.777587890625,400.2813720703125,3789.01171875,1727.9317626953125,3816.121337890625,1747.0201416015625,882.225830078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,305.0487365722656,-33.8526611328125,-9.62215518951416,305.0487365722656,-33.8526611328125,-9.62215518951416,304.4931640625,-34.28862380981445,-9.700387001037598,304.4931640625,-34.28862380981445,-9.700387001037598,302.08087158203125,-37.3409423828125,-11.780718803405762,302.08087158203125,-37.3409423828125,-11.780718803405762,301.8617248535156,-37.9818229675293,-12.501319885253906,301.8617248535156,-37.9818229675293,-12.501319885253906,304.4332275390625,-35.2148551940918,-11.216809272766113,304.4332275390625,-35.2148551940918,-11.216809272766113,2.8347570731685976,4.215716940828858,-1.0,0.004174311926605504,0.5,0.0,11.44,100
L-1:3,2.72460307458949,1.357488928817497,6.382067330903911,8.105016041668588,5.175377618326043,2.5022237424392255,4.3383525789260124,5.590560029482654,5.533043849129286,1.9685061047893142,2617.413818359375,92.64669799804688,1672.01171875,1094.1048583984375,1132.9403076171875,3155.483642578125,996.2838134765625,3721.30322265625,1466.049560546875,775.4061889648438,3179.927001953125,77.29148864746094,1917.7149658203125,1165.99755859375,895.6564331054688,2738.16259765625,658.1469116210938,2508.16015625,2538.841796875,1305.7978515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,303.301513671875,-29.958232879638672,-7.852031230926514,304.3642883300781,-32.704593658447266,-8.977210998535156,304.3642883300781,-32.704593658447266,-8.977210998535156,304.3642883300781,-32.704593658447266,-8.977210998535156,300.789794921875,-33.74657440185547,-9.742114067077637,300.9325256347656,-34.97478485107422,-11.043542861938477,300.9325256347656,-34.97478485107422,-11.043542861938477,301.7129821777344,-34.612457275390625,-11.232832908630371,301.7129821777344,-34.612457275390625,-11.232832908630371,303.38134765625,-31.038360595703125,-9.199630737304688,4.427810728864432,3.671852369213349,-1.0,0.004338511259382819,0.25,0.0,11.89,64
L-1:4,13.924894371522415,18.274293003302017,1.5328858817777733,4.392335965657947,3.7204468691930055,8.164809372610266,3.7367700906494496,10.299498208307972,7.584639342638742,8.664189327382438,3142.50732421875,575.9686279296875,1161.52294921875,1989.1002197265625,297.2197570800781,3757.457763671875,636.4905395507812,2394.52587890625,1556.189697265625,613.8611450195312,2573.16943359375,194.08560180664062,962.445068359375,343.6687316894531,465.4776306152344,2272.972412109375,156.17227172851562,3777.636474609375,1675.511962890625,1505.8507080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,305.49554443359375,-37.68352508544922,-13.039936065673828,306.1507568359375,-34.90806198120117,-11.60428524017334,306.1507568359375,-34.90806198120117,-11.60428524017334,303.6596984863281,-37.637046813964844,-12.807199478149414,303.6596984863281,-37.637046813964844,-12.807199478149414,302.14654541015625,-39.309085845947266,-13.516912460327148,303.798095703125,-41.21641159057617,-14.958456993103027,302.9371643066406,-41.85612106323242,-14.99899959564209,302.9371643066406,-41.85612106323242,-14.99899959564209,305.49554443359375,-37.68352508544922,-13.039936065673828,5.523584603990547,6.295801649806118,-1.0,0.004807982875849912,2.25,7.86,10.91,44
L-1:5,2.1398879961311827,2.6046706407073597,1.8853942735812317,2.853070331732781,6.102448610847058,8.214539642437087,1.0828036780347727,0.8276852811780647,1.7621595533485213,9.553614908641778,2056.520751953125,90.12065124511719,1955.26318359375,1437.828125,1022.4445190429688,2047.2747802734375,523.1410522460938,1668.919189453125,2218.99658203125,951.1920776367188,2281.31884765625,129.75775146484375,1515.19482421875,982.6567993164062,628.3892211914062,2226.855224609375,1550.41943359375,2849.8251953125,1396.9893798828125,1052.6827392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03529411926865578,304.42730712890625,-32.79087448120117,-10.604117393493652,306.5360412597656,-30.645557403564453,-9.176738739013672,306.762939453125,-31.439733505249023,-9.745002746582031,306.762939453125,-31.439733505249023,-9.745002746582031,305.54156494140625,-34.46952819824219,-11.818567276000977,305.54156494140625,-34.46952819824219,-11.818567276000977,303.33807373046875,-36.45832443237305,-13.209206581115723,303.39898681640625,-35.61442184448242,-12.557159423828125,303.39898681640625,-35.61442184448242,-12.557159423828125,304.42730712890625,-32.79087448120117,-10.604117393493652,11.136414062442453,4.787843528606404,1.0,0.005674526008750607,1.75,0.0,13.34,68
L-1:6,2.8256616138363424,0.23088609810699814,4.570820798644628,1.591300675528344,6.760535952677605,6.822313781970208,3.249603548596053,11.398472189749636,12.656546131480972,6.861390703320125,2179.29296875,29.05634307861328,1666.722900390625,1023.2114868164062,994.0457763671875,2519.174072265625,1395.8541259765625,2245.1513671875,1524.28369140625,893.886962890625,1877.1881103515625,4.3690032958984375,1954.919189453125,683.4945068359375,771.2659912109375,2002.1162109375,572.9302978515625,2318.670166015625,1925.1500244140625,675.089111328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,304.468505859375,-34.410160064697266,-11.901154518127441,304.24578857421875,-35.55073928833008,-12.008367538452148,303.67144775390625,-35.45733642578125,-11.884081840515137,303.67144775390625,-35.45733642578125,-11.884081840515137,301.91363525390625,-37.1142578125,-13.197999000549316,301.91363525390625,-37.1142578125,-13.197999000549316,299.9862976074219,-38.75634002685547,-14.245583534240723,299.9862976074219,-38.75634002685547,-14.245583534240723,302.0220947265625,-37.689876556396484,-13.804892539978027,304.468505859375,-34.410160064697266,-11.901154518127441,7.07134941464112,9.55956655769307,-1.0,0.0054336390612355,3.75,0.0,11.51,4
L-1:7,8.340831746311387,7.930468977787058,4.34197542647211,2.211161510887927,4.159325941333591,8.269596119420374,6.440020153456747,7.9022912853671645,6.998827304107392,1.2885364531896721,1562.1141357421875,422.7304992675781,1655.14892578125,1632.953857421875,513.5362548828125,1553.214599609375,590.5338134765625,1428.5699462890625,666.6865234375,472.30670166015625,937.3561401367188,147.8247833251953,916.5707397460938,455.7657470703125,138.4347686767578,1022.7274169921875,72.7023696899414,1184.3070068359375,1517.56494140625,1392.051025390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,302.36444091796875,-36.4632682800293,-13.003157615661621,303.7616271972656,-35.49906921386719,-12.226762771606445,304.25579833984375,-35.32678985595703,-12.205347061157227,304.13739013671875,-36.67487335205078,-13.220926284790039,302.6389465332031,-38.74189376831055,-13.88841438293457,302.5399475097656,-40.01902389526367,-16.36656951904297,300.5147399902344,-41.40936279296875,-17.284704208374023,298.715087890625,-41.370174407958984,-17.24465560913086,300.6225280761719,-38.447322845458984,-14.73924446105957,302.36444091796875,-36.4632682800293,-13.003157615661621,9.433921489195606,3.0964163817138224,1.0,0.008046328671328672,3.75,0.0,21.04,68
L-1:8,12.854272991381617,7.319233544231699,6.415969549057799,3.1902905455584665,8.078154450451063,18.10075443128685,8.478077206137351,8.349475123743986,10.712961382410395,11.467665927186385,2133.99072265625,105.8687744140625,1758.913818359375,1053.254638671875,446.83355712890625,1704.518310546875,143.90269470214844,1467.6824951171875,1271.1624755859375,2530.20361328125,2341.9853515625,102.31745910644531,707.7801513671875,1751.83740234375,287.5904541015625,2769.05615234375,584.5703125,1964.150146484375,1598.0634765625,926.1444091796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,307.2818603515625,-32.593719482421875,-11.236443519592285,307.2818603515625,-32.593719482421875,-11.236443519592285,306.42449951171875,-33.51139450073242,-11.693459510803223,305.826416015625,-35.35723114013672,-12.562496185302734,305.826416015625,-35.35723114013672,-12.562496185302734,305.007080078125,-36.32780838012695,-13.349984169006348,305.2353515625,-36.03900909423828,-13.201260566711426,305.2353515625,-36.03900909423828,-13.201260566711426,305.2353515625,-36.03900909423828,-13.201260566711426,307.0565185546875,-33.44389343261719,-11.702085494995117,16.88838828889785,13.915240715939916,-1.0,0.005301470588235295,1.5,4.6,11.33,4
L-1:9,2.769204963865436,5.213628258874545,1.347650986778866,8.975372972635105,0.7898708024060397,3.1200261014677957,7.295659425988709,3.990861126835393,3.934050558551508,13.398818459635606,2685.706787109375,200.7454833984375,1910.6495361328125,1584.237060546875,549.9354248046875,2484.3857421875,411.2295837402344,1913.7509765625,1651.20166015625,988.774169921875,1365.7724609375,188.85923767089844,1886.41845703125,1521.62255859375,1058.851806640625,3986.829345703125,129.17581176757812,3806.687744140625,2687.705078125,1131.773681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,307.3302307128906,-35.382083892822266,-13.14863395690918,307.3302307128906,-35.382083892822266,-13.14863395690918,306.3597717285156,-36.18643569946289,-13.155952453613281,304.3201904296875,-38.14383316040039,-14.309661865234375,304.3201904296875,-38.14383316040039,-14.309661865234375,304.9366455078125,-39.28202819824219,-15.385784149169922,303.2181091308594,-41.08835983276367,-16.58077049255371,303.2181091308594,-41.08835983276367,-16.58077049255371,303.2181091308594,-41.08835983276367,-16.58077049255371,306.07940673828125,-37.77898406982422,-14.798203468322754,6.376252070121676,7.281695282078199,-1.0,0.004842657342657343,5.25,0.0,13.85,64
L-1:10,7.492449456529058,3.5745573274600435,1.79125016509865,3.3141760978850154,2.6892035013238096,6.7881966445888935,7.765838934729351,2.1466334081996057,1.4091732010334457,2.243588639801076,2352.951416015625,240.3271942138672,1413.3914794921875,583.143310546875,733.8214721679688,2810.979248046875,393.47845458984375,2595.168701171875,2191.708251953125,915.5322265625,1911.318359375,309.1985168457031,1700.090087890625,899.0441284179688,330.1488037109375,1811.6375732421875,353.3749084472656,2533.27490234375,1207.04150390625,747.1461181640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,303.4718017578125,-37.046756744384766,-14.866228103637695,303.4718017578125,-37.046756744384766,-14.866228103637695,305.5922546386719,-37.15744400024414,-14.668264389038086,305.5922546386719,-37.15744400024414,-14.668264389038086,301.51202392578125,-39.35591125488281,-15.95294189453125,301.51202392578125,-39.35591125488281,-15.95294189453125,301.0082092285156,-39.996437072753906,-16.4382266998291,301.0082092285156,-39.996437072753906,-16.4382266998291,302.5006408691406,-39.009883880615234,-15.9476957321167,302.5006408691406,-39.009883880615234,-15.9476957321167,3.6661000391936236,5.263628712206726,-1.0,0.005197599136768276,0.25,0.0,11.01,44
