Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.5547773765599895,1.8406399180902189,2.5740657508567226,0.6886410040048528,2.235425232595448,10.756061602328034,1.921568658083815,0.689182068008679,8.162993399253553,7.294958445185128,1162.3800048828125,411.4391174316406,1142.244873046875,1076.322509765625,427.6851501464844,1440.722412109375,392.9542541503906,546.675537109375,877.4755859375,944.7947998046875,1233.90771484375,267.68682861328125,1091.73291015625,896.3458251953125,246.77064514160156,508.9073486328125,208.74615478515625,547.2686157226563,1479.4874267578125,919.25048828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,216.6372528076172,-13.717442512512207,-8.711482048034668,217.30979919433594,-13.644536018371582,-8.730931282043457,217.4104461669922,-13.79609489440918,-9.23190689086914,217.34703063964844,-14.112140655517578,-8.834258079528809,217.34703063964844,-14.112140655517578,-8.834258079528809,217.99002075195313,-15.561991691589355,-10.665156364440918,217.99002075195313,-15.561991691589355,-10.665156364440918,216.93765258789063,-15.337976455688477,-10.56808853149414,216.30104064941406,-14.573420524597168,-9.648180961608887,216.6372528076172,-13.717442512512207,-8.711482048034668,4.418126640045788,13.473918694863336,1.0,0.01250312402374258,3.6666667759418488,0.0,22.87,36
L-1:2,2.3095284190989642,8.064679167711898,6.061831149156706,5.064490470754321,6.789271127251261,11.388526533474147,1.440103318094736,3.8345352054756576,5.219966274291078,1.2142355916441405,1245.2955322265625,23.354047775268555,1043.133056640625,874.6531372070313,454.9199523925781,711.2735595703125,101.34449768066406,793.3802490234375,705.0723876953125,1516.2320556640625,1209.1771240234375,99.77989959716797,993.5973510742188,990.34423828125,554.87353515625,1034.649169921875,447.05731201171875,1155.9737548828125,1494.3057861328125,1111.708740234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,217.3367919921875,-12.900160789489746,-8.780012130737305,217.5112762451172,-12.92824649810791,-8.738713264465332,217.5112762451172,-12.92824649810791,-8.738713264465332,217.0563201904297,-13.127607345581055,-9.022625923156738,216.83700561523438,-13.374144554138184,-9.042923927307129,216.83700561523438,-13.374144554138184,-9.042923927307129,216.74281311035156,-13.389700889587402,-8.978941917419434,216.72000122070313,-13.252359390258789,-9.228411674499512,216.72000122070313,-13.252359390258789,-9.228411674499512,217.3367919921875,-12.900160789489746,-8.780012130737305,1.1683579686986356,6.433868986482997,1.0,0.008977744247453791,2.0000000596046448,0.0,13.6,36
L-1:3,13.549894724971136,13.367535830959882,5.340358561703379,6.260453743326869,2.8180771912076863,6.03466944348357,5.205153146590872,2.9566990119919967,5.980246984022928,6.700114788498843,1037.6390380859375,2.7054409980773926,1786.6470947265625,864.227783203125,348.33599853515625,1249.348388671875,425.6347351074219,2476.823974609375,108.79492950439453,34.59676742553711,2253.3623046875,244.29415893554688,2483.50732421875,1063.8031005859375,124.84810638427734,2841.39013671875,464.18194580078125,1453.3697509765625,974.5398559570313,677.3745727539063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,216.8848419189453,-13.326155662536621,-9.308293342590332,216.8848419189453,-13.326155662536621,-9.308293342590332,217.0838165283203,-13.386438369750977,-9.338643074035645,216.76089477539063,-13.502601623535156,-9.312129020690918,215.93650817871094,-14.38544750213623,-12.811185836791992,215.39024353027344,-14.952322006225586,-13.17521858215332,215.7040252685547,-14.190873146057129,-11.182082176208496,215.7040252685547,-14.190873146057129,-11.182082176208496,215.7040252685547,-14.190873146057129,-11.182082176208496,216.4390411376953,-13.661582946777344,-9.637063026428223,8.987227924280688,3.603074038791034,1.0,0.00864265492293174,3.333333432674408,0.0,15.7,68
L-1:4,10.032060755225329,5.117953944088567,12.694728068308168,3.446812493957968,27.669712604960452,17.984423127614054,2.363302805387964,18.737288091059618,23.27911280230889,19.08291350862768,1573.9815673828125,151.10858154296875,1169.3988037109375,884.3280639648438,391.63134765625,749.16259765625,437.45928955078125,2945.01904296875,1137.749267578125,1981.7423095703125,3099.04638671875,605.65869140625,1499.18359375,2482.54638671875,165.23538208007813,2677.931640625,238.39031982421875,1650.0,1259.2313232421875,1213.6722412109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,215.71031188964844,-12.563359260559082,-10.43128776550293,215.92581176757813,-12.183599472045898,-9.904698371887207,215.39402770996094,-14.047533988952637,-12.146855354309082,214.8291015625,-15.05484676361084,-12.981398582458496,214.7081298828125,-14.960938453674316,-12.438597679138184,214.7081298828125,-14.960938453674316,-12.438597679138184,215.54981994628906,-13.5868501663208,-11.221564292907715,215.54981994628906,-13.5868501663208,-11.221564292907715,215.54981994628906,-13.5868501663208,-11.221564292907715,215.71031188964844,-12.563359260559082,-10.43128776550293,7.135950011392354,18.358752775939408,1.0,0.011036931818181819,12.33333370089531,3.89,19.98,64
L-1:5,7.811432298144843,3.0878343673174027,4.622892619276933,3.7974002151175905,4.161955788024308,2.6552241344636904,1.9042335135793975,1.083827874037391,4.675887633676479,6.663364164341951,1312.8709716796875,224.94903564453125,908.9070434570313,683.5924072265625,383.1539001464844,920.8698120117188,429.13128662109375,1774.1556396484375,257.55047607421875,596.08642578125,1821.872802734375,55.91902160644531,1073.330078125,501.7509460449219,271.94525146484375,1134.6387939453125,129.30982971191406,790.8408813476563,753.1450805664063,814.8843383789063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,217.73464965820313,-12.65829086303711,-10.05363941192627,217.85891723632813,-12.839515686035156,-11.194963455200195,218.1326141357422,-13.033379554748535,-11.408845901489258,218.1326141357422,-13.033379554748535,-11.408845901489258,217.6424560546875,-13.575728416442871,-12.012099266052246,217.0574493408203,-14.039169311523438,-11.924790382385254,217.0574493408203,-14.039169311523438,-11.924790382385254,217.02392578125,-13.92436695098877,-11.665277481079102,217.24644470214844,-13.148459434509277,-10.808425903320313,217.73464965820313,-12.65829086303711,-10.05363941192627,12.531763342267304,5.631150841358211,1.0,0.010404545454545456,1.0000000298023224,0.0,16.35,100
L-1:6,1.5225230531583782,3.6888851167444736,3.903953187168484,1.1665779723411287,1.9910740104973652,5.156248642730351,4.712393630725028,7.27565886938091,2.02077585749349,3.935099612623101,870.1429443359375,102.52959442138672,1833.99609375,1024.12744140625,444.11419677734375,1327.8643798828125,282.8005065917969,929.3314208984375,908.8682250976563,897.1211547851563,1895.59326171875,3.7612996101379395,1799.293212890625,833.1265258789063,367.0881042480469,1124.5863037109375,555.1435546875,767.045654296875,775.6605834960938,573.4688720703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,217.52908325195313,-13.247931480407715,-11.71349811553955,218.36312866210938,-12.84500789642334,-10.896746635437012,218.36312866210938,-12.84500789642334,-10.896746635437012,218.13958740234375,-15.691953659057617,-16.998144149780273,216.791748046875,-17.05259895324707,-18.285207748413086,216.791748046875,-17.05259895324707,-18.285207748413086,215.5525360107422,-16.932241439819336,-17.32943344116211,215.5525360107422,-16.932241439819336,-17.32943344116211,215.687255859375,-15.717262268066406,-15.453572273254395,216.2484588623047,-14.56723690032959,-13.444199562072754,2.110952680128453,5.39580576394276,1.0,0.011285511363636364,1.666666716337204,0.0,18.16,68
L-1:7,1.0713550129042024,3.739080628129018,3.8358243247044683,1.7502869624638495,10.489559240268735,5.621109170694049,5.552477835047204,1.684081616699861,6.949171749620388,6.327613606577599,675.4485473632813,10.717544555664063,753.4840698242188,525.2147216796875,275.29937744140625,1334.9481201171875,103.98198699951172,938.2752685546875,767.9113159179688,1236.7694091796875,959.2064208984375,470.8207702636719,1438.53759765625,1322.3848876953125,226.97042846679688,583.1734008789063,285.8418273925781,476.5157775878906,456.4286804199219,343.9648742675781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,219.39991760253906,-12.439295768737793,-12.593493461608887,219.19493103027344,-12.49454402923584,-12.604275703430176,219.19493103027344,-12.49454402923584,-12.604275703430176,219.08721923828125,-12.83039379119873,-12.854789733886719,218.8300323486328,-12.9069185256958,-13.061320304870605,218.43336486816406,-13.126303672790527,-12.89327621459961,218.43336486816406,-13.126303672790527,-12.89327621459961,217.414794921875,-13.05288028717041,-14.476524353027344,217.7157745361328,-12.904438018798828,-13.93132209777832,219.00100708007813,-12.640554428100586,-12.860782623291016,4.260658873581691,3.850320284888805,1.0,0.01200697924123121,1.3333333730697632,0.0,19.17,68
L-1:8,7.3915284368426395,1.7063995627847495,5.961008908456393,1.9128037229775392,8.689354937073404,5.155813707887742,1.7453638415652162,7.117857047568576,4.737836901488558,2.818317477711632,1555.869140625,250.66000366210938,1375.3533935546875,782.5740356445313,696.2597045898438,1311.761962890625,331.7064514160156,827.3880004882813,913.5496826171875,1294.2374267578125,2521.185302734375,413.71575927734375,879.4965209960938,911.8097534179688,435.16473388671875,937.4622802734375,342.8610534667969,1484.750244140625,782.9105224609375,1159.190673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,219.01040649414063,-12.123111724853516,-12.30916976928711,219.27554321289063,-12.064436912536621,-12.072023391723633,219.27554321289063,-12.064436912536621,-12.072023391723633,219.3392791748047,-12.057107925415039,-11.944555282592773,219.14097595214844,-12.472452163696289,-12.280991554260254,219.14097595214844,-12.472452163696289,-12.280991554260254,218.96669006347656,-12.608551025390625,-12.57285213470459,218.7539825439453,-12.6133394241333,-12.17201042175293,218.53392028808594,-12.461991310119629,-12.251662254333496,218.71229553222656,-12.248501777648926,-12.08089542388916,4.325121828161181,4.968449403629187,1.0,0.008606719367588934,0.0,3.69,17.42,0
L-1:9,8.466809480233332,27.75252418544543,14.289830610465893,7.6922718476196055,3.2265459018812916,2.6552385959676874,3.9276753197908314,0.8537939194931091,2.6852200997968874,0.4904313077213729,1197.4071044921875,131.58447265625,930.108154296875,919.1806640625,174.63275146484375,794.821533203125,118.6652603149414,709.0037841796875,1063.9443359375,675.6954345703125,1315.5477294921875,85.60880279541016,964.0527954101563,777.6753540039063,447.0159912109375,802.1089477539063,447.9535827636719,1303.39013671875,553.720703125,262.813232421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,218.540283203125,-12.912958145141602,-13.952783584594727,219.21475219726563,-12.676180839538574,-13.723974227905273,219.4567108154297,-12.577942848205566,-13.696636199951172,219.5625,-12.669328689575195,-13.74830150604248,219.56756591796875,-13.01330280303955,-13.934869766235352,219.0779571533203,-13.330215454101563,-14.040586471557617,218.42166137695313,-13.322351455688477,-13.931722640991211,218.2183380126953,-13.068870544433594,-13.82884693145752,218.2183380126953,-13.068870544433594,-13.82884693145752,217.95867919921875,-13.249852180480957,-14.41317081451416,8.827990517034127,7.794584844260808,1.0,0.0105648720211827,3.6666667759418488,0.0,20.52,0
L-1:10,4.840549519780502,3.459373253661516,3.797953277861215,0.8867213020984493,5.3426055991090236,9.907279791290309,0.9664255983381386,2.9883739892878065,9.619879866827482,2.3587237615613366,1250.7529296875,79.37873077392578,1527.7061767578125,1247.370361328125,336.513427734375,1344.90576171875,325.8770446777344,1054.318359375,768.581298828125,961.38720703125,1488.61279296875,101.84156036376953,782.2491455078125,1026.40283203125,179.8255157470703,847.0430908203125,212.4100341796875,645.1864013671875,611.6137084960938,776.2745361328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.08627451211214066,218.4244842529297,-13.048128128051758,-14.492795944213867,218.53448486328125,-12.991085052490234,-14.21396255493164,218.53448486328125,-12.991085052490234,-14.21396255493164,218.22592163085938,-16.84503173828125,-20.446697235107422,217.36358642578125,-18.937406539916992,-22.200828552246094,216.4129638671875,-19.76815414428711,-22.84168815612793,216.4129638671875,-19.76815414428711,-22.84168815612793,215.96737670898438,-18.719207763671875,-21.795114517211914,217.56944274902344,-14.666152954101563,-16.494674682617188,217.86715698242188,-13.61642837524414,-15.047113418579102,3.188673736796509,7.995914445717123,1.0,0.013380681818181818,2.3333334028720856,0.0,23.55,0
