Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.085411208642995,15.276650596039035,16.40294716800273,4.031945674164399,9.00566104059317,6.4578468780620115,4.695770579823987,6.303646140665726,3.544031872623137,5.72713490585255,1022.7371826171875,496.9573059082031,750.4555053710938,694.5270385742188,859.8250122070313,1515.3084716796875,188.3057403564453,1120.6116943359375,1275.213623046875,230.00599670410156,1098.72021484375,300.1025695800781,244.5987091064453,474.34625244140625,634.7830200195313,1258.471923828125,656.10400390625,1093.195556640625,534.2324829101563,534.0625610351563,0.2549019753932953,0.2549019753932953,0.250980406999588,0.25882354378700256,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.24705883860588074,0.250980406999588,0.2549019753932953,0.46666669845581055,0.4333333671092987,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.4333333671092987,148.3171844482422,-39.05513381958008,-13.232864379882813,155.94076538085938,-34.81669998168945,-10.323312759399414,155.94076538085938,-34.81669998168945,-10.323312759399414,155.94076538085938,-34.81669998168945,-10.323312759399414,159.43783569335938,-33.6976432800293,-8.938478469848633,155.21337890625,-35.15242004394531,-10.519147872924805,155.21337890625,-35.15242004394531,-10.519147872924805,158.54258728027344,-37.390533447265625,-11.106653213500977,158.54258728027344,-37.390533447265625,-11.106653213500977,148.3171844482422,-39.05513381958008,-13.232864379882813,4.206267569761113,10.578143785041854,-1.0,0.010973439211391017,3.0,0.0,11.45,108
L-1:2,6.3631202860783045,2.0137804814600506,2.8566317633714333,3.970208136592868,2.0111215306023014,1.8247532245999445,3.473081793560414,5.152078192294086,3.657863840077181,1.6070728735101631,1430.1832275390625,219.5006103515625,982.8065185546875,834.393310546875,738.269775390625,1848.08203125,518.0716552734375,869.5880126953125,420.45855712890625,396.62738037109375,2151.033447265625,594.3638916015625,1588.318115234375,753.0285034179688,348.52203369140625,1642.42822265625,504.7503356933594,1728.3243408203125,1148.098876953125,742.0298461914063,0.2549019753932953,0.250980406999588,0.2392157018184662,0.24313727021217346,0.250980406999588,0.2352941334247589,0.24313727021217346,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,154.8496856689453,-35.71194839477539,-10.113489151000977,150.7511444091797,-34.03335952758789,-10.603076934814453,150.7511444091797,-34.03335952758789,-10.603076934814453,160.40301513671875,-29.66903305053711,-7.022090911865234,158.54258728027344,-30.634220123291016,-7.777454853057861,160.65480041503906,-33.43186569213867,-8.6307373046875,160.65480041503906,-33.43186569213867,-8.6307373046875,160.65480041503906,-33.43186569213867,-8.6307373046875,154.8496856689453,-35.71194839477539,-10.113489151000977,154.8496856689453,-35.71194839477539,-10.113489151000977,7.972905325436147,4.908865312479177,-1.0,0.008352272727272727,2.5,0.0,10.29,36
L-1:3,12.142447015050815,6.625406019837641,7.3648347084583685,3.958738089052767,6.32551406823703,5.93730802180552,6.99509565191244,6.778800817997369,10.448964805168284,4.362463617886598,1921.4700927734375,299.67730712890625,1319.7025146484375,619.91650390625,623.0581665039063,2098.5009765625,287.9682312011719,1650.06982421875,601.39990234375,777.8905639648438,1957.42041015625,231.66786193847656,1894.272216796875,986.0477905273438,717.8453979492188,1811.323486328125,605.6171875,1595.1138916015625,1672.83935546875,826.4982299804688,0.24705883860588074,0.24705883860588074,0.250980406999588,0.250980406999588,0.2549019753932953,0.24313727021217346,0.250980406999588,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,143.32339477539063,-31.823219299316406,-12.155770301818848,143.32339477539063,-31.823219299316406,-12.155770301818848,143.32339477539063,-31.823219299316406,-12.155770301818848,143.32339477539063,-31.823219299316406,-12.155770301818848,156.41636657714844,-27.654727935791016,-8.994430541992188,160.09527587890625,-30.172609329223633,-8.350972175598145,160.09527587890625,-30.172609329223633,-8.350972175598145,160.09527587890625,-30.172609329223633,-8.350972175598145,149.8838653564453,-32.63453674316406,-10.29533576965332,149.8838653564453,-32.63453674316406,-10.29533576965332,14.439871537263615,8.70498736465652,-1.0,0.0071001683501683505,1.5,0.0,9.64,36
L-1:4,3.316293693213178,5.612142439807812,3.5848649405486346,4.989750399552171,6.561769279619234,20.278775860794763,31.441067439133885,25.557350813594336,3.408997161537533,4.4837969304887,2134.47607421875,84.03427124023438,1402.602783203125,1085.0633544921875,923.4859619140625,2323.699462890625,945.7216186523438,1335.5418701171875,1511.7236328125,708.93310546875,1907.7503662109375,612.0032348632813,1567.7347412109375,1501.0738525390625,1308.0716552734375,1975.271728515625,41.892478942871094,1296.6365966796875,507.76092529296875,415.7015075683594,0.24313727021217346,0.2352941334247589,0.2392157018184662,0.250980406999588,0.25882354378700256,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.25882354378700256,0.2392157018184662,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.5,0.46666669845581055,0.46666669845581055,0.4333333671092987,156.5282745361328,-31.263690948486328,-10.547123908996582,156.5282745361328,-31.263690948486328,-10.547123908996582,156.5282745361328,-31.263690948486328,-10.547123908996582,157.6613311767578,-30.34046745300293,-9.511995315551758,157.6613311767578,-30.34046745300293,-9.511995315551758,157.6613311767578,-30.34046745300293,-9.511995315551758,157.6613311767578,-30.34046745300293,-9.511995315551758,155.63302612304688,-30.969938278198242,-10.0855131149292,155.63302612304688,-30.969938278198242,-10.0855131149292,153.4228973388672,-30.94196128845215,-10.267359733581543,9.214203663240509,14.655539926655843,-1.0,0.007183195592286501,7.0,3.4,7.45,36
L-1:5,7.40080351754009,5.297542491426574,4.765580406742112,7.057038113794771,3.4001223041760484,11.624395101766426,16.816553057671754,8.3366574183865,4.584810331363466,8.252013821468394,1092.4688720703125,17.7153377532959,1044.21826171875,1139.509521484375,663.7598876953125,1210.6959228515625,238.12986755371094,946.8214721679688,782.891357421875,375.5677490234375,718.5374145507813,304.37042236328125,859.2922973632813,537.8573608398438,453.15960693359375,864.2030029296875,110.33531188964844,1106.2518310546875,797.7866821289063,618.7212524414063,0.2549019753932953,0.250980406999588,0.24313727021217346,0.24313727021217346,0.25882354378700256,0.2549019753932953,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,146.30288696289063,-36.005699157714844,-13.344770431518555,146.30288696289063,-36.005699157714844,-13.344770431518555,146.30288696289063,-36.005699157714844,-13.344770431518555,156.0247039794922,-31.76726722717285,-9.987595558166504,157.29762268066406,-32.158935546875,-9.917654037475586,156.41636657714844,-33.59972381591797,-10.561112403869629,152.51365661621094,-36.131595611572266,-11.876006126403809,152.51365661621094,-36.131595611572266,-11.876006126403809,149.72999572753906,-36.733089447021484,-13.12095832824707,149.72999572753906,-36.733089447021484,-13.12095832824707,19.358527879274266,7.408596447429756,-1.0,0.011313131313131315,1.5,0.0,12.8,0
L-1:6,16.557984601380582,11.329289487567415,6.8918256341578905,4.492776283755203,3.2765402449113443,9.647304698734773,11.170967115647965,10.967765565052115,10.187850108902936,11.883097878976391,1419.1236572265625,76.75650787353516,1568.9849853515625,933.7269287109375,650.6088256835938,1702.7249755859375,421.79302978515625,1523.8292236328125,960.8590698242188,215.72589111328125,1372.5699462890625,96.74578857421875,1221.447998046875,1024.77490234375,157.97650146484375,1120.8101806640625,5.095325469970703,892.8650512695313,1082.91650390625,860.539306640625,0.250980406999588,0.250980406999588,0.250980406999588,0.25882354378700256,0.26274511218070984,0.2666666805744171,0.2666666805744171,0.25882354378700256,0.2549019753932953,0.24705883860588074,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.5,0.46666669845581055,0.5,0.4333333671092987,155.54910278320313,-32.73245620727539,-11.498323440551758,149.3802947998047,-32.25685501098633,-11.862017631530762,149.3802947998047,-32.25685501098633,-11.862017631530762,149.3802947998047,-32.25685501098633,-11.862017631530762,159.77354431152344,-29.529150009155273,-9.120325088500977,159.77354431152344,-29.529150009155273,-9.120325088500977,154.2761688232422,-31.081844329833984,-10.75694751739502,154.2761688232422,-31.081844329833984,-10.75694751739502,148.5130157470703,-33.58573532104492,-13.624534606933594,155.54910278320313,-32.73245620727539,-11.498323440551758,12.985475578226557,4.174465139234078,-1.0,0.009921798631476051,12.5,0.0,11.6,0
L-1:7,8.994439185547822,5.525592126290046,9.143240493816348,12.146026678968585,16.02345304466598,1.048087358052753,11.782007846826643,7.0605984291228605,12.519784989718225,0.4515616467685921,1887.4647216796875,31.619449615478516,1311.302978515625,489.2771301269531,885.4971923828125,2321.635009765625,302.9039306640625,1011.0947265625,1143.9189453125,585.4115600585938,1706.5924072265625,619.1768798828125,1545.2908935546875,1051.4312744140625,1092.3956298828125,1441.113037109375,709.0068359375,1229.606201171875,1517.6195068359375,780.7081298828125,0.2549019753932953,0.24705883860588074,0.24313727021217346,0.24705883860588074,0.2549019753932953,0.24313727021217346,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,152.4856719970703,-32.43870162963867,-11.652194023132324,146.0231170654297,-31.305654525756836,-11.93195915222168,146.0231170654297,-31.305654525756836,-11.93195915222168,146.0231170654297,-31.305654525756836,-11.93195915222168,156.30445861816406,-26.99728012084961,-8.756630897521973,156.79405212402344,-29.557126998901367,-9.917654037475586,152.51365661621094,-31.151784896850586,-10.449206352233887,152.51365661621094,-31.151784896850586,-10.449206352233887,152.51365661621094,-31.151784896850586,-10.449206352233887,152.4856719970703,-32.43870162963867,-11.652194023132324,8.77274289258503,4.888700419236984,-1.0,0.007464454976303317,1.5,0.0,9.9,0
L-1:8,39.45910419645736,22.053494795624673,4.983177038762666,16.021263821525896,23.34786014430432,22.277131478908714,4.221019638772393,13.009482711435743,19.842763781154027,33.78421858416307,1745.849365234375,24.183757781982422,1408.810546875,319.6134033203125,916.8178100585938,1758.7239990234375,30.786819458007813,1875.1527099609375,1344.585693359375,880.0204467773438,1036.880615234375,351.5111389160156,2014.388916015625,2377.787353515625,150.02645874023438,1595.26416015625,659.5421752929688,1122.63037109375,1477.0394287109375,849.5997924804688,0.2549019753932953,0.24705883860588074,0.24705883860588074,0.250980406999588,0.2549019753932953,0.25882354378700256,0.2352941334247589,0.2392157018184662,0.24705883860588074,0.24705883860588074,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,146.5826416015625,-32.816383361816406,-12.897146224975586,147.67372131347656,-32.25685501098633,-12.967087745666504,147.67372131347656,-32.25685501098633,-12.967087745666504,156.41636657714844,-26.96930503845215,-9.525983810424805,156.41636657714844,-26.96930503845215,-9.525983810424805,159.21401977539063,-26.00411605834961,-8.924489974975586,152.14996337890625,-31.291667938232422,-12.141782760620117,152.14996337890625,-31.291667938232422,-12.141782760620117,146.5826416015625,-32.816383361816406,-12.897146224975586,146.5826416015625,-32.816383361816406,-12.897146224975586,5.263922158418993,32.419794831406776,-1.0,0.007232103645147124,5.0,4.31,9.41,0
L-1:9,8.387986842974039,5.969130325554616,7.280037034506266,2.462570925808586,1.0557974004795059,0.7476909498168955,4.681883345221409,3.7298980642512367,3.3025419893473713,6.035653165890614,1045.4287109375,75.2487564086914,1102.22998046875,904.0128784179688,452.0963134765625,1240.579833984375,503.9276123046875,1120.801025390625,881.8065795898438,663.7432861328125,674.11865234375,80.54173278808594,881.56103515625,667.7042236328125,56.66431427001953,1473.20068359375,211.4493865966797,1000.9442749023438,788.239013671875,730.618408203125,0.250980406999588,0.250980406999588,0.24705883860588074,0.250980406999588,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.24705883860588074,0.24705883860588074,0.2549019753932953,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,143.12754821777344,-35.208370208740234,-15.708780288696289,143.12754821777344,-35.208370208740234,-15.708780288696289,153.0032501220703,-31.585420608520508,-13.218875885009766,153.0032501220703,-31.585420608520508,-13.218875885009766,156.79405212402344,-30.46636199951172,-11.93195915222168,156.79405212402344,-30.46636199951172,-11.93195915222168,158.36073303222656,-31.431549072265625,-12.687323570251465,160.9905242919922,-30.830055236816406,-12.575417518615723,149.72999572753906,-35.18039321899414,-15.56889820098877,149.72999572753906,-35.18039321899414,-15.56889820098877,11.275868941767547,3.6830638801558124,-1.0,0.0112405303030303,3.0,0.0,11.87,0
L-1:10,9.126280412787064,1.7368735596600708,5.1530050137789765,9.700108843649371,13.356338462773866,9.624467810791957,5.957375850902398,5.6143872196979485,4.599835207877579,3.9645942531823195,1037.6827392578125,61.325645446777344,855.7640991210938,897.17138671875,379.5041809082031,1516.4918212890625,378.08612060546875,1132.230224609375,1077.8353271484375,793.1282348632813,1207.86962890625,79.8849868774414,858.7442626953125,564.701416015625,373.929443359375,949.6533813476563,365.6880798339844,1297.99462890625,843.550537109375,844.0258178710938,0.250980406999588,0.250980406999588,0.24705883860588074,0.250980406999588,0.25882354378700256,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.23137256503105164,0.24705883860588074,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.5,0.36666667461395264,0.4333333671092987,144.6802520751953,-30.004749298095703,-12.673335075378418,144.6802520751953,-30.004749298095703,-12.673335075378418,158.36073303222656,-24.479400634765625,-8.714666366577148,158.36073303222656,-24.479400634765625,-8.714666366577148,159.5497283935547,-24.12969398498535,-7.581619739532471,159.5497283935547,-24.12969398498535,-7.581619739532471,159.21401977539063,-25.626434326171875,-8.742642402648926,159.21401977539063,-25.626434326171875,-8.742642402648926,156.79405212402344,-30.242549896240234,-12.715299606323242,156.79405212402344,-30.242549896240234,-12.715299606323242,7.871612137838286,7.526237676208292,-1.0,0.010302211302211301,5.0,0.0,11.98,0
