Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.123105748495783,8.317974117251618,3.3552489982822373,16.923919474315195,11.809937010315753,4.216370339215469,10.775883298888058,5.391428428335935,0.7980943064165671,4.468904984198092,3054.811767578125,619.8455810546875,1980.763427734375,1281.6580810546875,205.3524169921875,1140.9249267578125,881.138427734375,2987.906005859375,1782.1312255859375,1911.94921875,2780.95263671875,405.8719177246094,2836.86474609375,2267.921142578125,1201.540283203125,2359.66650390625,725.9406127929688,1937.6103515625,2224.380859375,1899.245849609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.029411766678094864,0.0313725508749485,217.45457458496094,-97.74153137207031,3.99861216545105,217.45457458496094,-97.74153137207031,3.99861216545105,216.45631408691406,-96.72847747802734,3.284271478652954,216.72984313964844,-96.7850570678711,3.1486799716949463,216.72984313964844,-96.7850570678711,3.1486799716949463,216.72984313964844,-96.7850570678711,3.1486799716949463,215.8939971923828,-97.52452087402344,3.6842100620269775,215.8939971923828,-97.52452087402344,3.6842100620269775,215.8939971923828,-97.52452087402344,3.6842100620269775,217.45457458496094,-97.74153137207031,3.99861216545105,11.869662896920081,11.003003335160958,1.0,0.005833333333333334,2.3333334028720856,0.0,8.69,4
L-1:2,1.490712029426539,4.276412555064669,4.082842217589573,2.156783043722664,11.26252222963378,13.03840519898004,14.987432231682643,13.574491119876788,23.739779432404838,20.853306311170037,2080.30322265625,210.49729919433594,1695.811767578125,1362.7069091796875,340.1724853515625,1008.753173828125,338.1161804199219,1471.1397705078125,2072.2001953125,1248.4498291015625,1961.003173828125,206.75704956054688,2263.69287109375,1347.8111572265625,391.7644348144531,1620.80078125,959.5711669921875,1611.540771484375,999.1551513671875,1704.492919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.027450982481241226,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,217.09925842285156,-95.20518493652344,4.218027591705322,217.09925842285156,-95.20518493652344,4.218027591705322,216.36953735351563,-95.43450927734375,3.992244243621826,216.36953735351563,-95.43450927734375,3.992244243621826,216.67312622070313,-95.28643035888672,3.799323558807373,216.67312622070313,-95.28643035888672,3.799323558807373,215.38064575195313,-95.93680572509766,4.508148193359375,215.38064575195313,-95.93680572509766,4.508148193359375,217.85240173339844,-94.5479507446289,4.059315204620361,217.85240173339844,-94.5479507446289,4.059315204620361,15.8078747396172,17.085672889104803,1.0,0.007280138339920949,10.666666984558105,0.0,12.63,100
L-1:3,11.180340220699042,8.7050253549722,9.699854089502276,12.210828388413733,7.69885174935932,1.333333373069782,2.217979402348226,4.33613870819077,5.127586568800673,9.000137408141272,1689.99951171875,238.2895965576172,1877.6043701171875,1074.31201171875,895.16162109375,1861.1451416015625,715.4326782226563,3055.873779296875,2127.097900390625,2130.8408203125,2290.965576171875,66.35299682617188,2114.1220703125,1503.39453125,999.0560302734375,2542.675537109375,636.6376342773438,2349.80810546875,289.8334045410156,229.757080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,215.96923828125,-94.8402328491211,3.8938405513763428,216.44699096679688,-94.59043884277344,3.4968020915985107,216.44699096679688,-94.59043884277344,3.4968020915985107,217.30706787109375,-94.37085723876953,2.9929418563842773,217.30706787109375,-94.37085723876953,2.9929418563842773,217.30706787109375,-94.37085723876953,2.9929418563842773,217.35623168945313,-94.65521240234375,2.969738006591797,217.35623168945313,-94.65521240234375,2.969738006591797,217.06695556640625,-96.11212158203125,3.3567843437194824,217.1046600341797,-94.49104309082031,3.5091352462768555,32.348794518766766,9.184143825146608,1.0,0.006431465821000704,9.333333611488342,0.0,10.43,4
L-1:4,1.2018504609725968,2.6596201371961246,3.5553511505267887,3.9478836916821445,3.905003606385699,1.6996732218518027,9.278305012522896,14.245695432065533,8.25606772731228,4.673608738846126,3240.8134765625,286.1200866699219,2953.7216796875,1496.7919921875,486.5223693847656,2111.34228515625,183.91864013671875,1022.2922973632813,1607.1951904296875,1449.48828125,1623.3446044921875,295.820556640625,2062.072509765625,1813.64697265625,1277.2666015625,2514.299072265625,173.7858428955078,3154.504150390625,1559.31787109375,1818.4757080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.029411766678094864,218.90090942382813,-95.75189971923828,3.515488386154175,218.90090942382813,-95.75189971923828,3.515488386154175,219.4977264404297,-94.93948364257813,3.151306629180908,219.1829071044922,-94.68901062011719,3.573267698287964,219.7618865966797,-94.66253662109375,3.148522138595581,219.7618865966797,-94.66253662109375,3.148522138595581,219.33949279785156,-94.88935089111328,3.407327175140381,219.33949279785156,-94.88935089111328,3.407327175140381,219.33949279785156,-94.88935089111328,3.407327175140381,218.90090942382813,-95.75189971923828,3.515488386154175,12.37380783094859,11.753029851276574,1.0,0.009855189058728881,15.000000447034836,3.98,14.0,64
L-1:5,0.0,3.7470950472332962,2.246255856079004,1.9643363077449718,3.7802818759499073,3.7267800735663474,2.5455410946510333,5.515026842113334,2.514510429905171,0.82223773029295,2756.249267578125,439.1109313964844,2269.168212890625,1685.37890625,1205.120849609375,2705.392333984375,1135.6514892578125,3530.61181640625,1911.647705078125,1751.79150390625,2298.8876953125,208.23060607910156,1756.6248779296875,1388.7816162109375,982.7453002929688,2388.185546875,410.4394226074219,2501.3935546875,1816.9124755859375,1615.573486328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.0313725508749485,0.029411766678094864,220.9477081298828,-94.36345672607422,3.6766815185546875,221.52528381347656,-93.8858642578125,3.194783926010132,221.52528381347656,-93.8858642578125,3.194783926010132,221.52528381347656,-93.8858642578125,3.194783926010132,219.9892120361328,-94.8540267944336,3.9795379638671875,221.5210418701172,-94.01585388183594,3.493845224380493,220.85812377929688,-94.16546630859375,3.9402756690979004,220.85812377929688,-94.16546630859375,3.9402756690979004,220.9477081298828,-94.36345672607422,3.6766815185546875,220.9477081298828,-94.36345672607422,3.6766815185546875,25.512524917869072,1.7261377313056971,1.0,0.006411025145067699,5.333333492279053,0.0,9.47,100
L-1:6,3.0184618026696417,5.826524955431205,0.6078597923283349,8.649370691110684,3.4921173025954926,0.9428090696799758,7.0329597853793935,13.392195724592025,15.22781307954326,2.2472303664836697,2879.300537109375,405.7069396972656,932.7457275390625,1244.73193359375,865.4368896484375,1277.706787109375,755.0458374023438,2321.669189453125,2100.860595703125,1589.2352294921875,3798.827880859375,58.91451644897461,3037.25341796875,1687.2452392578125,1631.956787109375,2739.287841796875,1181.528564453125,1825.12451171875,2310.669677734375,1235.48779296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.029411766678094864,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,222.8126220703125,-94.4313735961914,3.042825222015381,222.44898986816406,-95.02262115478516,3.108232259750366,224.8421630859375,-93.20014190673828,2.4342777729034424,225.20054626464844,-93.1171646118164,2.223635673522949,225.20054626464844,-93.1171646118164,2.223635673522949,225.20054626464844,-93.1171646118164,2.223635673522949,224.49627685546875,-93.45315551757813,2.6019608974456787,224.49627685546875,-93.45315551757813,2.6019608974456787,222.8126220703125,-94.4313735961914,3.042825222015381,222.8126220703125,-94.4313735961914,3.042825222015381,10.918893228181165,8.25342911690643,1.0,0.005861244019138756,1.3333333730697632,0.0,9.8,32
L-1:7,3.3993464437036054,1.3152046616604318,8.825448384981728,22.455653650550296,13.294007765874234,5.6568544180797735,16.20073342067523,13.089406273961568,7.502702956052608,14.603997892573505,1781.1131591796875,558.18701171875,3003.697265625,1867.0166015625,2083.241943359375,2459.210693359375,812.6905517578125,3423.693115234375,3091.417724609375,920.4832763671875,2834.79638671875,570.157470703125,2147.176025390625,1988.40380859375,1523.6707763671875,2414.654296875,874.5341796875,487.4870300292969,897.5802001953125,1442.2027587890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.029411766678094864,0.027450982481241226,0.029411766678094864,222.72866821289063,-94.49347686767578,3.32236909866333,222.72866821289063,-94.49347686767578,3.32236909866333,222.72866821289063,-94.49347686767578,3.32236909866333,223.1462860107422,-94.67442321777344,3.072256326675415,223.1462860107422,-94.67442321777344,3.072256326675415,223.3611602783203,-94.56901550292969,3.0574283599853516,223.3611602783203,-94.56901550292969,3.0574283599853516,223.3611602783203,-94.56901550292969,3.0574283599853516,223.5487823486328,-95.7347640991211,2.7601370811462402,221.81927490234375,-95.14173889160156,4.020956039428711,16.090024994382993,6.96921943242774,1.0,0.0060638111888111895,5.000000149011612,0.0,9.91,64
L-1:8,27.00823000351415,11.49281669207964,19.691904260320328,19.22750895270958,2.3088616432674565,8.692270132653361,18.944021059976624,32.66854036639467,30.444580112412474,31.547728900998955,2984.1943359375,808.3629760742188,1849.8834228515625,738.7213134765625,1092.78125,2806.812255859375,928.2230834960938,3716.33837890625,1623.3955078125,846.3579711914063,1654.3338623046875,81.48662567138672,1467.0233154296875,1438.51416015625,1188.5908203125,3230.986328125,413.6741943359375,2777.3251953125,2192.272705078125,1531.7061767578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,225.400634765625,-93.89572143554688,2.597687244415283,225.400634765625,-93.89572143554688,2.597687244415283,225.04965209960938,-94.23040771484375,2.7696094512939453,225.04965209960938,-94.23040771484375,2.7696094512939453,227.09423828125,-92.76570892333984,2.0415127277374268,226.75296020507813,-93.25931549072266,2.2947847843170166,226.75296020507813,-93.25931549072266,2.2947847843170166,225.57135009765625,-94.05145263671875,2.686920642852783,225.57135009765625,-94.05145263671875,2.686920642852783,225.57135009765625,-94.05145263671875,2.686920642852783,6.437736163802138,16.70920630630166,1.0,0.006363636363636364,17.33333384990692,3.8,13.4,32
L-1:9,18.15060506101281,16.212466694016353,4.611698643301216,5.079625063974524,6.05219025392246,3.1446604710703836,7.748702418620558,4.0112833298883235,10.176575002660488,7.761559026551937,2809.94921875,1200.657470703125,1838.54736328125,2052.15087890625,747.0404052734375,4058.98583984375,351.7851257324219,331.5545959472656,1611.22216796875,1634.2576904296875,3082.437744140625,662.40478515625,2537.5693359375,1909.1563720703125,1668.4068603515625,2390.635009765625,434.6195373535156,2232.572265625,2390.86962890625,2321.811279296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,225.90443420410156,-95.30304718017578,2.8314788341522217,226.49273681640625,-94.74392700195313,2.3622851371765137,226.49273681640625,-94.74392700195313,2.3622851371765137,224.09426879882813,-95.7764892578125,3.7318882942199707,225.7518310546875,-94.72998809814453,3.054666042327881,225.7518310546875,-94.72998809814453,3.054666042327881,225.70492553710938,-95.1197509765625,3.107422113418579,225.70492553710938,-95.1197509765625,3.107422113418579,225.70492553710938,-95.1197509765625,3.107422113418579,225.90443420410156,-95.30304718017578,2.8314788341522217,13.068197578737731,7.454527466446409,-1.0,0.0064491691104594335,7.666666895151138,0.0,11.31,32
L-1:10,12.01850460972597,1.1865680617756624,22.60861071189587,6.306674772415098,5.105525309749617,10.137937852631117,14.622398101051468,4.237448661059732,1.9957205337911141,13.305976062968135,3619.445556640625,356.0075988769531,3495.72265625,982.1044311523438,1021.2921142578125,2132.7783203125,2518.424072265625,3639.534912109375,2331.23974609375,1935.9534912109375,2818.080078125,426.0729675292969,244.0731201171875,238.17953491210938,945.0964965820313,2000.638916015625,1464.8092041015625,2534.438720703125,3026.82177734375,1792.6982421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.0313725508749485,226.92926025390625,-95.83287811279297,3.424532651901245,226.92926025390625,-95.83287811279297,3.424532651901245,227.86700439453125,-95.17179870605469,2.8923282623291016,227.86700439453125,-95.17179870605469,2.8923282623291016,227.86700439453125,-95.17179870605469,2.8923282623291016,227.43951416015625,-96.03228759765625,3.1257522106170654,227.43951416015625,-96.03228759765625,3.1257522106170654,228.00343322753906,-95.19763946533203,3.3081328868865967,228.00343322753906,-95.19763946533203,3.3081328868865967,228.00343322753906,-95.19763946533203,3.3081328868865967,15.878007624954225,9.812941097639692,1.0,0.008855280748663102,16.3333338201046,0.0,15.14,64
