Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.0253655272772901,0.09021119707352399,4.320243338399254,3.1214597595514992,3.286621726434062,14.96175431395528,10.667265449102834,0.7377334547152281,3.5650782852016545,2.1038038551708036,458.7052917480469,30.429834365844727,381.7806396484375,196.7139892578125,51.918861389160156,341.48486328125,139.0988006591797,642.6890258789063,697.6404418945313,400.62677001953125,761.1979370117188,17.55807876586914,289.6032409667969,349.0885314941406,82.16349792480469,469.6025695800781,389.43780517578125,1158.501220703125,295.6758728027344,259.69500732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.350181011748909,4.756925678732308,-1.0,0.022845066518847004,6.0,0.0,23.55,68
L-1:2,5.837089487193309,1.6935197468440675,4.872196859788926,6.506486161419593,5.888592039846336,5.296413138460761,6.64440594396698,3.2447368110537553,4.879072271100921,10.119804606059807,483.15521240234375,99.21896362304688,432.77703857421875,456.7839050292969,50.31806945800781,419.28021240234375,101.10037231445313,739.9663696289063,362.5585632324219,383.1031799316406,478.52496337890625,16.821184158325195,528.4928588867188,529.5526733398438,364.9000549316406,529.43505859375,208.17405700683594,456.3548889160156,393.694091796875,235.4290008544922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0749673402328903,7.177630091532703,-1.0,0.019533259423503327,4.0,0.0,25.17,36
L-1:3,14.429078907615262,9.213619377499404,4.226986065929428,5.061089854083509,8.60601142972691,7.363183711380456,5.198856428969519,9.523245672051097,9.232105899154192,2.2031001054917883,699.553955078125,0.07253360003232956,0.0,0.0,288.84979248046875,659.1200561523438,242.9622344970703,958.5326538085938,462.9149475097656,425.97479248046875,343.08233642578125,8.894248962402344,659.135986328125,568.0181274414063,106.43051147460938,447.6600341796875,361.8321838378906,516.3843994140625,393.7239074707031,218.94358825683594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.232022230056023,2.461359908034994,-1.0,0.02056451612903226,0.5,0.0,28.05,68
L-1:4,6.533714641783881,16.827555800048348,20.166640719958977,20.574420505932785,18.62924626548397,13.848717779990762,14.978576280555068,8.228958514764503,1.1187149949286601,0.7777113158465607,741.406982421875,13.430493354797363,393.5722351074219,298.7972717285156,44.154327392578125,314.9824523925781,161.3657684326172,394.2565612792969,533.2847290039063,492.5212097167969,797.6607055664063,90.99687957763672,785.6591796875,513.681884765625,247.46307373046875,493.4024963378906,19.42934226989746,173.68482971191406,777.8253173828125,386.8108215332031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33515192852491,18.35402193999242,-1.0,0.025412953060011886,13.5,4.33,24.44,68
L-1:5,6.325515303513473,3.3007771700815347,5.537463431541873,0.815915084488083,4.0741664786303335,8.334241070148316,4.9814754310210185,9.231251893281513,2.2616177072973906,6.292839928256453,600.7832641601563,34.20441818237305,424.80780029296875,352.7989807128906,84.30317687988281,563.531494140625,242.07144165039063,380.4367980957031,489.09930419921875,261.8758239746094,383.9542541503906,0.019738515838980675,424.612548828125,184.12271118164063,155.17320251464844,559.0657348632813,114.04877471923828,538.7500610351563,655.1224365234375,308.7905578613281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.290758140631826,7.4260838737531465,-1.0,0.02353448275862069,5.0,0.0,30.03,68
L-1:6,4.304422574731162,11.425189306677874,6.228838108843286,3.160869606978942,9.372812916460546,14.37654237172734,11.178170254754406,14.555479958227824,8.59811189406215,1.2810270724799002,404.9285888671875,26.91526985168457,423.29241943359375,336.1570739746094,306.9973449707031,721.6498413085938,114.8587646484375,574.8901977539063,589.7237548828125,296.1026306152344,465.3984680175781,0.0056901113130152225,360.726318359375,306.7695617675781,160.5789337158203,442.1924133300781,0.002538371132686734,664.1488037109375,471.8323059082031,343.5655212402344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2391950311772595,13.34564745449784,-1.0,0.025587121212121214,6.5,0.0,28.95,64
L-1:7,13.24072180632383,5.158387512733739,10.98931973707089,25.615860722687753,17.131019953974914,2.765692844954526,5.3922981058268125,8.121963029958277,2.5991735321631575,7.061624992695187,591.3736572265625,201.1876678466797,413.1822204589844,190.95997619628906,333.9822998046875,362.45928955078125,80.55821990966797,501.3465576171875,584.59228515625,208.79464721679688,590.9365844726563,132.99424743652344,428.8601379394531,287.2500305175781,433.8805236816406,819.079345703125,219.6112823486328,568.5321044921875,551.8250122070313,370.6147155761719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6911287998785283,5.520183772286162,-1.0,0.019993857493857493,3.5,0.0,23.25,68
L-1:8,34.832807018640075,28.33647092852674,12.654118464956387,13.734261969146546,3.573766520320315,8.319001280669305,17.288610831168246,32.67033284436189,39.86679536559096,36.693034863210556,598.536376953125,5.561276435852051,800.9170532226563,369.3755798339844,603.5635986328125,863.7036743164063,25.289491653442383,492.12091064453125,533.1666259765625,271.9098205566406,751.0408935546875,78.32632446289063,573.870849609375,504.1198425292969,0.6648868918418884,637.2835083007813,244.63526916503906,543.4584350585938,553.3041381835938,338.3667907714844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.547437589333098,25.863310988877323,-1.0,0.017252708431464907,20.0,2.94,20.93,32
L-1:9,1.7566247976064897,4.617564911334871,5.406000439816522,1.181375675875841,1.8081424369171255,0.22732095128869098,0.7911710515055687,5.26816702996141,2.1142510475208667,0.28631172472134087,492.432861328125,31.974790573120117,661.9334716796875,586.3441162109375,240.99850463867188,685.81298828125,67.1093521118164,536.2381591796875,460.95941162109375,221.69924926757813,312.8934631347656,57.71049499511719,436.21636962890625,327.87060546875,227.84117126464844,820.2877197265625,389.39776611328125,773.0516357421875,246.62911987304688,252.68809509277344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6680763980226,4.8203445079369205,-1.0,0.02215909090909091,3.0,0.0,29.25,0
L-1:10,4.452479853896108,2.760925941789789,0.25450706345588736,1.7349425048208205,0.5152591274950085,3.30076195073552,2.7744586647730265,1.6947627718805636,2.3435870218038644,2.2482461126522564,394.0814208984375,192.11521911621094,381.745849609375,164.2774200439453,127.3722915649414,350.91387939453125,255.56497192382813,522.0504760742188,412.3013000488281,358.5215148925781,368.4329833984375,0.0023010268341749907,451.8448181152344,337.5923767089844,39.7414436340332,615.2589111328125,39.22464370727539,492.36395263671875,475.8407897949219,303.1462707519531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9930644287682,3.9839841050449496,-1.0,0.02501723395088324,2.5,0.0,33.18,0
