Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.808846015417836,2.70931306466048,2.9670193007190186,15.90424667924337,11.73089137375898,2.358495283014151,4.598275783024306,12.050103116535931,7.565209372797131,1.1508859492889476,5225.09130859375,133.00570678710938,4590.46435546875,3494.74072265625,657.419677734375,2348.712646484375,1572.3157958984375,2573.13916015625,2415.719482421875,2336.058837890625,3263.79736328125,518.3992919921875,2593.47607421875,3113.83984375,1249.6966552734375,4474.37890625,791.9857788085938,4372.986328125,2866.18505859375,2903.919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01568627543747425,0.013725491240620613,0.011764707043766975,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,288.4459228515625,2.016404628753662,-0.7951515913009644,288.415771484375,1.9823166131973267,-0.8287568092346191,288.5304260253906,1.9878606796264648,-0.9114867448806763,288.505126953125,2.013018846511841,-0.9445847868919373,288.505126953125,2.013018846511841,-0.9445847868919373,288.505126953125,2.013018846511841,-0.9445847868919373,288.4788818359375,2.0266900062561035,-0.8765250444412231,288.4788818359375,2.0266900062561035,-0.8765250444412231,288.4788818359375,2.0266900062561035,-0.8765250444412231,288.4459228515625,2.016404628753662,-0.7951515913009644,0.7905694150420949,9.314584631349367,-1.0,0.0037232270347453593,5.5,0.0,8.94,64
L-1:2,3.3354160160315836,5.966826415941263,11.524980178419089,4.4260432898739746,7.758192850481381,3.132491021535417,8.437332345951932,18.229169479564607,13.533212397474477,3.7927987138826253,4244.673828125,302.9774475097656,3601.79150390625,1958.6617431640625,617.6859130859375,3493.670654296875,1525.6632080078125,2853.047119140625,3531.939453125,2888.469970703125,3817.97509765625,619.135498046875,2661.9140625,3296.948486328125,1296.712890625,5426.470703125,804.1337890625,3866.99169921875,2198.58984375,3037.8251953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01568627543747425,0.013725491240620613,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,288.2207946777344,2.0887370109558105,-0.8049178719520569,288.2207946777344,2.0887370109558105,-0.8049178719520569,288.1905517578125,2.0750579833984375,-0.8940514922142029,288.1905517578125,2.0750579833984375,-0.8940514922142029,288.1905517578125,2.0750579833984375,-0.8940514922142029,288.1642150878906,2.041938543319702,-0.8088473081588745,288.1642150878906,2.041938543319702,-0.8088473081588745,288.1642150878906,2.041938543319702,-0.8088473081588745,288.1390380859375,2.0213823318481445,-0.7510755062103271,288.2491455078125,2.0773870944976807,-0.787703812122345,7.516648189186454,11.533958370814293,-1.0,0.0036866666666666667,4.25,0.0,8.69,108
L-1:3,10.277402395547233,12.01145216905449,2.99854167358934,3.354596674634881,14.29181408937348,12.020815280171307,7.527269261226221,13.161795530407812,6.555889468047523,2.101908136941549,5123.10009765625,1893.74072265625,2988.91357421875,3495.649169921875,49.047969818115234,911.2101440429688,229.4347381591797,3200.15869140625,1797.3621826171875,2897.736083984375,3582.6923828125,782.5983276367188,2706.0078125,3567.949462890625,2210.271728515625,5023.751953125,439.444091796875,4172.5244140625,3164.3994140625,2778.27880859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.019607843831181526,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,287.92974853515625,2.085439443588257,-0.7986844182014465,287.92974853515625,2.085439443588257,-0.7986844182014465,288.0050048828125,2.0957162380218506,-0.8665853142738342,287.9886474609375,2.0846214294433594,-0.8675531148910522,287.9886474609375,2.0846214294433594,-0.8675531148910522,287.96142578125,2.092132806777954,-0.8016806244850159,287.96142578125,2.092132806777954,-0.8016806244850159,287.96142578125,2.092132806777954,-0.8016806244850159,287.96142578125,2.092132806777954,-0.8016806244850159,287.92974853515625,2.085439443588257,-0.7986844182014465,18.955540087267362,16.048738209071967,-1.0,0.003974980351061043,0.5,0.0,8.67,36
L-1:4,2.462214450449026,4.024200999854988,3.2694734982606284,4.32330642746001,8.550783609677097,4.7762432936357,8.846442556784972,10.999588458006011,9.221799141843173,10.180529264564138,1311.294921875,283.8447265625,3054.6240234375,1589.252685546875,1123.0767822265625,2531.77734375,1235.2073974609375,2558.90625,2241.142333984375,1598.87353515625,2290.68408203125,350.6596374511719,2822.150634765625,1971.818603515625,826.5891723632813,3634.38818359375,1142.696533203125,3066.98583984375,3167.635498046875,2373.5322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.013725491240620613,286.6167907714844,2.214648485183716,-0.8561344146728516,286.6167907714844,2.214648485183716,-0.8561344146728516,286.5857238769531,2.2354013919830322,-0.8675203919410706,286.5857238769531,2.2354013919830322,-0.8675203919410706,286.5857238769531,2.2354013919830322,-0.8675203919410706,286.5635986328125,2.183107614517212,-0.8440824747085571,286.5635986328125,2.183107614517212,-0.8440824747085571,286.5413513183594,2.167862892150879,-0.8190963864326477,286.5413513183594,2.167862892150879,-0.8190963864326477,286.5413513183594,2.167862892150879,-0.8190963864326477,3.553167600887974,6.499000188458861,-1.0,0.00428921568627451,5.0,3.14,8.25,36
L-1:5,9.962429422585638,13.736166542670443,11.360450214299354,5.5445614390054745,3.306598233206455,2.1360009363293826,4.869449194669037,5.446411691507975,2.2248232111971964,3.476116136583957,3369.6728515625,798.96142578125,2729.314697265625,1860.0872802734375,1423.76220703125,2953.228759765625,502.97186279296875,2946.467529296875,2551.904541015625,2163.332275390625,4357.96337890625,293.7677917480469,1921.390380859375,1233.4886474609375,1423.77685546875,2916.06494140625,909.7724609375,3104.5390625,2945.78173828125,2485.310302734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.013725491240620613,0.011764707043766975,286.01300048828125,2.189288854598999,-0.69025057554245,285.9893798828125,2.152259111404419,-0.7129826545715332,285.9893798828125,2.152259111404419,-0.7129826545715332,285.9893798828125,2.152259111404419,-0.7129826545715332,285.9556884765625,2.1646928787231445,-0.744253396987915,285.9556884765625,2.1646928787231445,-0.744253396987915,286.03558349609375,2.186950922012329,-0.6891025900840759,286.03558349609375,2.186950922012329,-0.6891025900840759,286.01300048828125,2.189288854598999,-0.69025057554245,286.01300048828125,2.189288854598999,-0.69025057554245,15.20690632574555,9.816642129164883,-1.0,0.0043700284090909085,8.0,0.0,8.79,68
L-1:6,6.519202405202649,5.282460830514727,5.153114999807238,9.77458941048849,8.38155583586145,0.5590169943749475,1.9081883035177483,2.804250641631622,7.79942404997289,7.834449993896802,3537.849365234375,564.3163452148438,2786.9287109375,1747.87646484375,1355.46875,2528.97216796875,889.8230590820313,3165.59619140625,2860.073974609375,1848.5272216796875,622.225341796875,310.23876953125,2936.3525390625,1909.550537109375,751.5999755859375,2296.06005859375,1061.8765869140625,2825.776611328125,2300.580810546875,2080.966064453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.011764707043766975,0.01568627543747425,285.77728271484375,2.12669038772583,-0.771622896194458,285.71917724609375,2.1402928829193115,-0.8396596908569336,285.71917724609375,2.1402928829193115,-0.8396596908569336,285.685302734375,2.1337087154388428,-0.8613717555999756,285.685302734375,2.1337087154388428,-0.8613717555999756,285.83587646484375,2.1248884201049805,-0.7753415107727051,285.80645751953125,2.133232355117798,-0.7837840914726257,285.80645751953125,2.133232355117798,-0.7837840914726257,285.77728271484375,2.12669038772583,-0.771622896194458,285.77728271484375,2.12669038772583,-0.771622896194458,12.700885795880538,12.04797327994768,-1.0,0.004605263157894737,4.25,0.0,8.8,68
L-1:7,5.273755777432247,5.024758904340553,4.189446795278003,2.2645771514018955,7.1707937240597355,11.543396380615196,5.968272306502323,8.277531120188028,7.1915005625281,7.947763184815096,5801.703125,1104.643310546875,3666.5595703125,2767.765380859375,122.63001251220703,417.2723693847656,536.8545532226563,2260.6181640625,2894.163818359375,1708.0631103515625,3722.667724609375,139.76528930664063,2126.94287109375,1457.8353271484375,1926.315185546875,4872.623046875,216.21551513671875,4196.88427734375,5362.02294921875,2828.867919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.011764707043766975,0.01764705963432789,0.011764707043766975,285.4356384277344,2.0449728965759277,-0.7231206893920898,285.4356384277344,2.0449728965759277,-0.7231206893920898,285.53076171875,2.1592845916748047,-0.8330405354499817,285.5057678222656,2.1457021236419678,-0.9314427375793457,285.5057678222656,2.1457021236419678,-0.9314427375793457,285.48089599609375,2.105309247970581,-0.919043779373169,285.48089599609375,2.105309247970581,-0.919043779373169,285.4631652832031,2.0615081787109375,-0.7834689617156982,285.4631652832031,2.0615081787109375,-0.7834689617156982,285.4631652832031,2.0615081787109375,-0.7834689617156982,7.941190087134295,12.89399643960866,-1.0,0.003730141218005296,5.0,0.0,9.66,36
L-1:8,10.00624804809475,8.849309567362855,12.941787766826298,13.095859175518617,12.681420262456632,6.731456008918119,10.78737500156418,17.34882830352158,17.916224128473548,8.250332332654171,4345.17578125,10.3135986328125,3450.312255859375,2818.9404296875,877.2996826171875,3561.919677734375,784.2791748046875,3272.5625,2558.79541015625,2198.357421875,3587.646728515625,165.5853271484375,3509.770263671875,2671.63525390625,777.1845703125,4537.06494140625,1127.369384765625,5328.2158203125,3463.654052734375,3820.079345703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.01764705963432789,0.011764707043766975,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.01764705963432789,0.01568627543747425,284.98504638671875,2.118313789367676,-0.7747674584388733,285.0887451171875,2.1543145179748535,-0.8800186514854431,285.061767578125,2.166726589202881,-0.8795130848884583,285.061767578125,2.166726589202881,-0.8795130848884583,285.0330810546875,2.144878387451172,-0.8506156802177429,285.0330810546875,2.144878387451172,-0.8506156802177429,285.0330810546875,2.144878387451172,-0.8506156802177429,285.0118103027344,2.1370298862457275,-0.7753479480743408,285.0118103027344,2.1370298862457275,-0.7753479480743408,284.98504638671875,2.118313789367676,-0.7747674584388733,4.2793106921559225,9.226279176893485,-1.0,0.003178321678321678,10.25,3.12,9.09,108
L-1:9,2.5,3.2534617595861244,3.0006881507050593,10.961597090681606,11.004856607837413,8.077747210701755,7.071701643691963,1.788081682474503,13.725675894822631,15.595976821461413,3238.731201171875,16.474063873291016,2936.568115234375,2434.920166015625,1497.07275390625,3787.27685546875,63.988136291503906,3163.359130859375,2848.37451171875,1389.5809326171875,3050.63671875,328.45123291015625,1902.11376953125,1974.7054443359375,889.489990234375,3175.274169921875,2052.58740234375,3091.427978515625,2956.697509765625,3167.8076171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01568627543747425,284.4465637207031,2.1369223594665527,-0.9170982837677002,284.4465637207031,2.1369223594665527,-0.9170982837677002,284.42523193359375,2.094897985458374,-0.9501535892486572,284.42523193359375,2.094897985458374,-0.9501535892486572,284.4107360839844,2.089060068130493,-0.9136443138122559,284.51507568359375,2.0904998779296875,-0.9793126583099365,284.4952087402344,2.0877487659454346,-0.9234675168991089,284.4952087402344,2.0877487659454346,-0.9234675168991089,284.4952087402344,2.0877487659454346,-0.9234675168991089,284.4465637207031,2.1369223594665527,-0.9170982837677002,13.532368602724357,17.84755636999579,-1.0,0.004445310626049412,3.0,0.0,10.59,32
L-1:10,20.743975028908995,16.536076054712623,9.784805812594032,0.9368014642196505,7.159355281450837,2.23606797749979,4.990662691254267,5.702988590942967,5.547729612249162,14.312619761131689,4096.0595703125,273.7618103027344,2360.039306640625,1864.8223876953125,1307.44921875,2784.9287109375,805.0161743164063,3033.544677734375,1997.6256103515625,2023.3800048828125,3203.315673828125,696.3319702148438,1524.3985595703125,531.8102416992188,835.727294921875,3329.560546875,1293.5416259765625,2717.646484375,3541.2021484375,1647.8388671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.01764705963432789,0.01568627543747425,0.01764705963432789,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.009803921915590763,0.01764705963432789,0.01764705963432789,284.2569580078125,2.08827805519104,-0.717754065990448,284.2341003417969,2.0507380962371826,-0.7548524737358093,284.2341003417969,2.0507380962371826,-0.7548524737358093,284.2341003417969,2.0507380962371826,-0.7548524737358093,284.21270751953125,2.055727481842041,-0.795676589012146,284.21270751953125,2.055727481842041,-0.795676589012146,284.27728271484375,2.10486102104187,-0.7776453495025635,284.27728271484375,2.10486102104187,-0.7776453495025635,284.2569580078125,2.08827805519104,-0.717754065990448,284.2569580078125,2.08827805519104,-0.717754065990448,8.514693182963201,18.560087873773245,-1.0,0.004236363636363637,8.0,0.0,9.32,64
