Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.731609233582039,9.574730854518098,0.39735656032863187,2.405293644483276,5.046064160541019,2.426703368748233,1.4709938913953176,3.416076513538741,6.483906300625905,9.568945844749228,883.3511962890625,154.6439208984375,552.8975830078125,715.041015625,201.15408325195313,731.5567626953125,396.8433837890625,1014.6996459960938,1102.861572265625,654.8590087890625,1132.292236328125,181.90194702148438,633.8118286132813,466.9570617675781,309.66845703125,1009.103271484375,179.22714233398438,958.7511596679688,607.4497680664063,474.98126220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.027450982481241226,270.7476501464844,-50.75527572631836,-3.2252492904663086,270.8905944824219,-51.111915588378906,-1.7788467407226563,270.8905944824219,-51.111915588378906,-1.7788467407226563,270.9723205566406,-51.22775650024414,-2.480121374130249,271.62158203125,-52.47234344482422,-4.453991413116455,271.62158203125,-52.47234344482422,-4.453991413116455,272.0758056640625,-55.285160064697266,-6.544534206390381,272.234619140625,-54.657596588134766,-7.10944128036499,272.07427978515625,-54.51559829711914,-6.496370792388916,271.0706787109375,-52.601295471191406,-4.648330211639404,2.8674418411372993,6.984903454527281,-1.0,0.012180735930735933,4.33333346247673,0.0,22.51,100
L-1:2,7.071068022599718,3.158920215687348,1.4917207902493779,4.788158019584512,3.263038863869295,1.6996732218517991,4.7879628160786565,6.140231433202942,5.747168273404811,4.700410510595359,584.6070556640625,194.3943328857422,538.898193359375,367.11651611328125,608.9134521484375,1028.5736083984375,397.63214111328125,1174.061279296875,1425.2840576171875,940.0526733398438,1050.394287109375,152.3645477294922,75.27409362792969,157.64852905273438,490.4297180175781,1465.78076171875,344.1148376464844,1153.237060546875,977.501953125,826.1825561523438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02549019828438759,274.7587890625,-54.51104736328125,-8.24197006225586,275.89892578125,-54.31630325317383,-8.039875984191895,276.420166015625,-54.55229187011719,-7.90974760055542,277.7888488769531,-55.077484130859375,-8.492022514343262,279.55194091796875,-56.88938522338867,-10.160767555236816,279.55194091796875,-56.88938522338867,-10.160767555236816,273.606689453125,-57.67615509033203,-13.713691711425781,274.4119873046875,-57.190650939941406,-13.164427757263184,274.1495666503906,-56.89196014404297,-12.698250770568848,274.54296875,-55.14213180541992,-9.954123497009277,6.333333522081375,4.434507930056054,-1.0,0.012032392894461858,0.6666666865348816,0.0,19.74,32
L-1:3,6.674994997097276,8.809685743088894,7.299326674252327,5.452344447610675,23.263816553183105,21.377558963532838,20.262209619670458,15.177441566963969,10.553537035046105,0.690265524998001,599.702880859375,53.21272277832031,838.9277954101563,570.10693359375,405.7833251953125,1271.90625,236.49752807617188,1465.783935546875,344.8422546386719,1295.169677734375,2353.485107421875,431.445556640625,1506.822509765625,891.7615966796875,573.31787109375,1351.7698974609375,1029.872802734375,1343.39453125,1749.2872314453125,1140.1180419921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.02352941408753395,0.02352941408753395,280.42724609375,-57.0712776184082,-10.351794242858887,279.948974609375,-55.887306213378906,-9.580537796020508,280.313232421875,-55.63629150390625,-9.855774879455566,280.93939208984375,-56.329345703125,-12.125319480895996,280.93939208984375,-56.329345703125,-12.125319480895996,280.1226806640625,-56.880470275878906,-13.260326385498047,280.1635437011719,-57.251773834228516,-14.293486595153809,279.47332763671875,-57.58529281616211,-14.380287170410156,279.47332763671875,-57.58529281616211,-14.380287170410156,277.4753112792969,-56.18983459472656,-12.605920791625977,4.3461350663266805,3.255835617503621,1.0,0.00982165404040404,12.000000357627869,0.0,17.78,100
L-1:4,22.303463275788452,19.95390261118199,8.541419188395686,24.362143149528723,9.398060437234003,8.000000238418579,6.4011710188173625,5.352209214920336,1.9911036314818147,9.98474610423671,2177.939697265625,448.6365661621094,713.8745727539063,1201.5242919921875,113.91865539550781,2449.43310546875,484.7497253417969,1970.4013671875,0.0,0.0,2000.8082275390625,676.1221923828125,1697.3289794921875,1600.46142578125,592.796875,2652.600830078125,1214.1912841796875,2705.311279296875,2001.1494140625,1905.991455078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.021568628028035164,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02352941408753395,273.4575500488281,-56.81040573120117,-5.287228107452393,272.7933349609375,-55.90663146972656,-3.578383207321167,275.18341064453125,-56.152042388916016,-4.6090288162231445,275.18341064453125,-56.152042388916016,-4.6090288162231445,280.7543029785156,-55.869686126708984,-7.0843634605407715,280.35845947265625,-55.5464973449707,-7.409279823303223,279.3991394042969,-57.36178207397461,-9.623689651489258,280.182861328125,-58.18608856201172,-9.800167083740234,277.80462646484375,-57.501869201660156,-8.546319961547852,277.80462646484375,-57.501869201660156,-8.546319961547852,11.723670612771917,2.6817467262708305,-1.0,0.006263453171513626,2.6666667461395264,4.37,15.63,36
L-1:5,11.571036983316953,0.3261100421579369,2.804363405972782,6.485446760515799,10.19620608731929,4.33333346247673,2.1731270032681875,7.76762229796603,19.93357473266338,22.85790520603504,1007.8555297851563,272.3692626953125,209.4949951171875,330.1434020996094,332.8491516113281,1053.4786376953125,635.1128540039063,1457.64697265625,1486.318115234375,1427.9324951171875,1544.394287109375,75.55081939697266,1039.10205078125,1177.7503662109375,248.7703399658203,816.6036987304688,730.1290283203125,1426.95654296875,1294.26025390625,975.6907348632813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,282.6824951171875,-55.742618560791016,-5.829108238220215,283.6649475097656,-54.82414245605469,-5.2317423820495605,280.61627197265625,-56.7660026550293,-5.50479793548584,281.2442626953125,-56.78987503051758,-5.880840301513672,281.2442626953125,-56.78987503051758,-5.880840301513672,282.334716796875,-57.598670959472656,-7.32544469833374,282.96234130859375,-57.27838134765625,-6.852819442749023,282.96234130859375,-57.27838134765625,-6.852819442749023,282.9688415527344,-56.655696868896484,-6.710399627685547,282.6824951171875,-55.742618560791016,-5.829108238220215,8.602325523411897,9.156305921856816,-1.0,0.009373614190687362,7.000000208616257,0.0,16.91,0
L-1:6,3.1622777544115976,1.4735923291865984,1.169398317397946,4.419673318524143,8.504943405936372,2.108185169607732,0.7569415576534431,5.164603669991559,0.8530287271244416,2.2532605636564735,748.51611328125,26.799104690551758,765.902099609375,574.3250732421875,592.046630859375,1213.9144287109375,209.75086975097656,1209.3543701171875,875.7254638671875,424.0740966796875,1618.3115234375,340.1602478027344,1086.8878173828125,598.9962158203125,146.3399200439453,814.14501953125,524.4116821289063,962.9427490234375,479.4900207519531,396.3100891113281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,283.1935729980469,-55.29469680786133,-8.131019592285156,283.18536376953125,-55.4046516418457,-8.112786293029785,283.4090576171875,-55.41989517211914,-9.02895736694336,283.4090576171875,-55.41989517211914,-9.02895736694336,283.4172058105469,-56.24658966064453,-9.855571746826172,282.0762939453125,-56.58522415161133,-11.048437118530273,281.83245849609375,-56.73756408691406,-11.56786060333252,281.4759521484375,-57.00015640258789,-11.223392486572266,282.4178161621094,-56.63727951049805,-10.290406227111816,281.87115478515625,-57.553184509277344,-9.82293701171875,3.1446604710703836,2.19169769022917,1.0,0.011554713804713804,1.0000000298023224,0.0,19.61,0
L-1:7,10.671874047101369,2.169648272011259,2.783978614533358,2.2068893345422724,5.605607594711912,2.357022674199903,2.9312417541766376,4.32867977299127,2.3158269505326587,4.166459011270619,0.0,0.0,1699.675048828125,1252.4710693359375,354.3498840332031,1812.4522705078125,263.6423034667969,2003.5206298828125,1533.40625,909.7879028320313,1308.9625244140625,345.1296081542969,1233.06396484375,1121.2255859375,47.50876998901367,706.4779052734375,254.7271728515625,1401.21875,1121.6881103515625,827.3204345703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,281.0311584472656,-56.68564224243164,-10.086798667907715,280.7764587402344,-55.670204162597656,-9.727675437927246,279.97930908203125,-55.990997314453125,-9.361897468566895,280.94512939453125,-56.23609161376953,-10.176616668701172,280.94512939453125,-56.23609161376953,-10.176616668701172,281.6966552734375,-56.64072799682617,-10.910107612609863,282.974365234375,-56.716461181640625,-10.533795356750488,282.7349548339844,-56.70417022705078,-10.255393981933594,282.7349548339844,-56.70417022705078,-10.255393981933594,282.69683837890625,-56.17668151855469,-10.220515251159668,9.944289556480447,9.811378487131714,-1.0,0.008996514667441185,3.000000089406967,0.0,17.7,0
L-1:8,11.31861823488753,2.0718277736196025,12.122134235052416,28.314419595098684,22.468585212454602,10.687480013099314,3.8435211433958463,0.8384762111638447,5.505930317526607,3.5434100051830772,1444.8358154296875,95.4630126953125,1529.554931640625,1549.4139404296875,181.93594360351563,1932.622802734375,688.7456665039063,1211.187255859375,1113.944580078125,867.765380859375,349.9945983886719,164.81967163085938,586.2838134765625,614.9945068359375,637.1383056640625,1734.092041015625,681.7340698242188,2381.7861328125,1829.156494140625,1769.0208740234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.02352941408753395,282.64373779296875,-56.22089385986328,-11.346573829650879,284.06915283203125,-55.8997688293457,-11.214546203613281,284.06915283203125,-55.8997688293457,-11.214546203613281,284.5545349121094,-56.9004020690918,-12.165188789367676,285.46954345703125,-58.06218338012695,-14.050457000732422,285.46954345703125,-58.06218338012695,-14.050457000732422,283.677001953125,-58.255584716796875,-13.384688377380371,283.677001953125,-58.255584716796875,-13.384688377380371,282.53887939453125,-57.579124450683594,-12.570082664489746,282.53887939453125,-57.579124450683594,-12.570082664489746,17.716910215896135,7.912170767306926,-1.0,0.008044397463002114,5.333333492279053,7.82,15.22,0
L-1:9,1.885618139359925,1.7578180258535374,4.2926584622730575,2.881387959159887,5.7256669144722805,11.685699110233031,0.38869668713930894,4.418193303622771,6.512089849550275,9.344831942480182,979.258056640625,104.2765884399414,426.3908386230469,393.3114318847656,635.6295166015625,1006.9652099609375,591.1909790039063,758.1709594726563,738.0051879882813,369.2855529785156,934.2830810546875,107.42855834960938,110.7605209350586,130.49449157714844,175.64479064941406,980.253662109375,327.5841979980469,871.7422485351563,1120.8858642578125,860.6505126953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02549019828438759,289.24261474609375,-56.44879913330078,-13.291585922241211,290.0888366699219,-54.427947998046875,-11.405202865600586,289.81915283203125,-54.749114990234375,-11.640159606933594,289.14990234375,-56.16710662841797,-12.263178825378418,289.14990234375,-56.16710662841797,-12.263178825378418,289.380859375,-57.602394104003906,-13.208993911743164,288.9057922363281,-57.07831573486328,-13.930142402648926,288.5293884277344,-57.83563995361328,-13.754850387573242,288.52374267578125,-57.08578872680664,-13.604170799255371,289.24261474609375,-56.44879913330078,-13.291585922241211,10.268614839861469,3.2297952157851486,-1.0,0.01405074451410658,2.6666667461395264,0.0,20.49,0
L-1:10,4.216370339215464,8.081598489998658,3.4729932554535896,1.0156222008869544,13.655650381665035,6.741249672957121,1.361558430202441,3.3317953146412322,0.41105344046512526,2.7819431521790565,444.6947326660156,110.59577941894531,463.3965759277344,461.3832702636719,386.0434265136719,617.495361328125,25.984228134155273,1123.84033203125,337.156494140625,684.3651733398438,1535.938232421875,256.071044921875,1488.5142822265625,1157.3226318359375,0.27998197078704834,707.0711059570313,0.0,0.0,490.2131042480469,204.87838745117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.019607843831181526,0.02549019828438759,284.40338134765625,-54.328948974609375,-9.903239250183105,284.9127197265625,-54.111724853515625,-10.359289169311523,285.355224609375,-54.21399688720703,-10.990869522094727,286.553955078125,-54.26217269897461,-12.29538631439209,285.6075439453125,-54.84800338745117,-12.939555168151855,285.90728759765625,-54.860328674316406,-13.61733627319336,285.90728759765625,-54.860328674316406,-13.61733627319336,286.0065612792969,-55.01986312866211,-13.484997749328613,287.15045166015625,-55.346763610839844,-13.521244049072266,284.8737487792969,-55.21855163574219,-10.778183937072754,5.696002666632456,2.0136806356146884,1.0,0.012628662659654396,1.0000000298023224,0.0,19.21,0
