Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.538092904557383,4.080279822072908,10.636931449424244,6.2190744929078585,3.882034118773641,10.270490615286175,11.426269223844827,7.145385560541314,5.93012286982508,8.549297984300594,608.8624267578125,30.01643943786621,637.9917602539063,728.5806884765625,266.4004821777344,716.4075927734375,148.58811950683594,1105.1019287109375,649.6099853515625,398.0040588378906,1083.951416015625,119.56459045410156,941.213623046875,550.489013671875,214.2220001220703,617.0474243164063,193.95216369628906,737.5880737304688,613.4762573242188,418.52288818359375,0.32156863808631897,0.2823529541492462,0.32549020648002625,0.2823529541492462,0.32156863808631897,0.32156863808631897,0.32156863808631897,0.32156863808631897,0.32156863808631897,0.32156863808631897,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02352941408753395,168.80145263671875,-35.27983474731445,-2.626154899597168,167.4254150390625,-35.15633773803711,-5.822401523590088,167.32269287109375,-35.085201263427734,-6.043006896972656,167.0003662109375,-35.3745231628418,-6.524478912353516,166.3048095703125,-36.13449478149414,-6.857951641082764,165.693603515625,-36.616641998291016,-7.090084552764893,165.34014892578125,-36.49565887451172,-6.776993751525879,165.23626708984375,-36.56938552856445,-6.305759906768799,165.414794921875,-36.44682312011719,-5.637513160705566,167.78228759765625,-35.53603744506836,-3.464540719985962,8.39084387759801,5.952141578714966,1.0,0.013427272727272727,4.33333346247673,0.0,23.21,96
L-1:2,3.6317623892254063,8.638189100926445,1.141593093170675,0.3738581369603734,3.642850611213015,7.927487786863808,5.121569264636371,5.70403158317624,3.5174640123179257,3.2511317837814895,954.4262084960938,123.89701843261719,912.048095703125,538.4072265625,366.83660888671875,871.4203491210938,199.73423767089844,701.857666015625,449.83636474609375,272.0381164550781,887.4884643554688,35.909523010253906,714.2640380859375,347.0531921386719,312.8509521484375,692.5787353515625,333.9291687011719,1026.1689453125,378.1813659667969,391.0719299316406,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.32549020648002625,0.32156863808631897,0.32156863808631897,0.32156863808631897,0.32156863808631897,0.3176470696926117,0.027450982481241226,0.01568627543747425,0.027450982481241226,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.0313725508749485,168.0345458984375,-33.67811584472656,-5.339768886566162,168.42266845703125,-33.76603698730469,-5.554507732391357,168.6470947265625,-33.672752380371094,-5.702666282653809,168.53839111328125,-33.55401611328125,-5.855593681335449,167.7022705078125,-34.25920867919922,-6.3949995040893555,166.74481201171875,-34.92821502685547,-6.444935321807861,166.58026123046875,-35.07594299316406,-6.201193809509277,166.58349609375,-35.20522689819336,-6.013145923614502,166.9803466796875,-35.25824737548828,-5.797214508056641,167.79510498046875,-35.16659164428711,-5.319629669189453,10.202923243196436,2.2288561219245966,1.0,0.01293070044709389,0.6666666865348816,0.0,24.79,36
L-1:3,4.708339955257846,5.5940750568516,8.872505095245732,7.1074150419704845,4.376650650756488,5.639682491581933,5.414245838541107,1.6903901961631218,0.9821254172642829,4.517598258386137,607.3779296875,5.189386367797852,829.3539428710938,495.18865966796875,376.2879638671875,1215.657470703125,289.1935119628906,702.4197998046875,672.940673828125,281.369384765625,989.332763671875,84.26748657226563,557.3858032226563,373.3353576660156,281.9281921386719,589.6152954101563,234.67962646484375,713.3834228515625,532.802001953125,470.35174560546875,0.3019607961177826,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,168.1956787109375,-32.9959602355957,-4.436206340789795,168.34478759765625,-32.56887435913086,-4.793466567993164,168.12664794921875,-32.677528381347656,-5.042840480804443,167.696044921875,-32.760887145996094,-5.134214401245117,167.21923828125,-32.85152053833008,-5.0840911865234375,166.95794677734375,-32.873939514160156,-4.956928730010986,166.84930419921875,-32.94580841064453,-4.812370300292969,166.9755859375,-32.845252990722656,-4.613367080688477,167.05828857421875,-33.02224349975586,-4.640712261199951,167.56817626953125,-33.166900634765625,-4.574218273162842,14.12766603150271,4.4881842644961445,1.0,0.013866219008264465,1.3333333730697632,0.0,23.01,100
L-1:4,1.6957105292964965,7.771436521377125,1.4589228896596251,7.35884794268893,0.862544126817596,7.27578323314585,8.606449048814394,5.575773419419667,3.781946445601412,1.0890398908891519,564.1328125,210.10043334960938,645.220947265625,402.1502990722656,594.0282592773438,875.5574951171875,177.58758544921875,591.9968872070313,520.9373779296875,187.7411651611328,766.9158935546875,34.82215118408203,555.4844970703125,427.5720520019531,229.59278869628906,649.3026123046875,142.82872009277344,641.3633422851563,385.0821533203125,208.1689910888672,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.34117648005485535,0.2980392277240753,0.2980392277240753,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,167.5335693359375,-32.39727020263672,-4.594403266906738,167.76116943359375,-32.42451858520508,-4.79802131652832,167.85693359375,-32.28561019897461,-4.879157543182373,167.7947998046875,-32.10588455200195,-4.9455742835998535,167.38653564453125,-32.07278060913086,-4.863368988037109,167.09326171875,-31.999834060668945,-4.708518981933594,166.925048828125,-32.09654998779297,-4.49635124206543,166.8421630859375,-32.334163665771484,-4.312324047088623,166.9288330078125,-32.51247787475586,-4.224910736083984,168.315673828125,-32.445377349853516,-3.509784460067749,16.58338617253275,0.9333804788554539,1.0,0.01712878787878788,8.000000238418579,3.32,25.84,32
L-1:5,6.155474612879245,0.8914485031644573,0.04055350734903039,7.077837367854414,0.7824046530849424,1.8397438190674384,0.9660788358110804,5.874003004452342,11.790151813622167,7.419398272568211,630.7862548828125,108.62499237060547,604.270751953125,248.13653564453125,326.3700866699219,760.0274047851563,151.30926513671875,775.1224975585938,601.9434204101563,328.74285888671875,1425.65380859375,21.321847915649414,828.1497802734375,606.0787963867188,267.5686340332031,723.4241333007813,405.3055725097656,1068.849365234375,674.13525390625,671.9773559570313,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.2823529541492462,0.32549020648002625,0.3176470696926117,0.27450981736183167,0.27450981736183167,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,168.7762451171875,-31.992233276367188,-4.8538899421691895,169.42919921875,-32.02030563354492,-4.992974281311035,169.5128173828125,-31.923524856567383,-5.013128280639648,169.46527099609375,-31.720203399658203,-4.995871543884277,169.03021240234375,-31.75845718383789,-4.668334484100342,168.638427734375,-30.85968589782715,-5.234757900238037,168.36248779296875,-31.046289443969727,-4.9219183921813965,168.1688232421875,-31.269611358642578,-4.69811487197876,168.27386474609375,-31.621990203857422,-4.595118522644043,168.5294189453125,-31.957569122314453,-4.75795841217041,3.2820364205919805,9.569220020275358,1.0,0.014058960209119955,3.6666667759418488,0.0,27.66,0
L-1:6,7.317577415156085,2.5482215814881557,7.6268208107231095,13.133276133399535,3.6967827746658637,1.6505097065089198,2.441558919984668,7.227152053698948,6.838097667423865,8.246776570946949,723.5381469726563,44.1997184753418,807.0838623046875,478.8714294433594,421.4693603515625,951.7799072265625,243.34397888183594,1021.9336547851563,770.6129150390625,328.95635986328125,1024.3712158203125,30.48775863647461,819.3796997070313,388.7448425292969,366.0650634765625,996.918212890625,278.5909118652344,1190.3785400390625,758.3280639648438,483.08837890625,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.27450981736183167,0.27450981736183167,0.3176470696926117,0.27450981736183167,0.2823529541492462,0.2705882489681244,0.2823529541492462,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.027450982481241226,0.02352941408753395,168.552001953125,-32.113338470458984,-5.20871639251709,168.79876708984375,-32.058223724365234,-5.381823539733887,168.9371337890625,-31.906558990478516,-5.524895668029785,168.87750244140625,-31.636478424072266,-5.52711296081543,168.48968505859375,-31.30271339416504,-5.080106258392334,168.2540283203125,-31.37706756591797,-4.88327693939209,168.2540283203125,-31.37706756591797,-4.88327693939209,168.1710205078125,-31.87163734436035,-4.813046932220459,168.1710205078125,-31.87163734436035,-4.813046932220459,168.4410400390625,-31.920774459838867,-4.807974338531494,6.195619178393516,3.1554831292535543,1.0,0.013656728576083415,3.000000089406967,0.0,23.95,0
L-1:7,7.524715361096377,11.750369138868466,9.297392417590036,5.68608055686728,4.296996108975733,3.0572351931590096,1.458788250990784,0.930286770604008,2.6952893048513658,5.306048340503693,1240.4783935546875,91.92920684814453,670.0552978515625,538.7097778320313,230.67349243164063,835.6018676757813,272.8023681640625,899.3551635742188,597.7862548828125,428.0658264160156,1060.343994140625,34.35898971557617,854.176513671875,495.691162109375,472.7186279296875,1090.19775390625,309.6704406738281,1450.28759765625,889.602294921875,792.4463500976563,0.26274511218070984,0.26274511218070984,0.2549019753932953,0.2549019753932953,0.3019607961177826,0.3137255012989044,0.3137255012989044,0.3137255012989044,0.2705882489681244,0.2666666805744171,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.0313725508749485,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,168.5963134765625,-32.341529846191406,-5.2474894523620605,168.5963134765625,-32.341529846191406,-5.2474894523620605,168.6138916015625,-32.240516662597656,-5.348194122314453,168.52490234375,-32.07686233520508,-5.259971618652344,168.2757568359375,-31.815582275390625,-5.002867221832275,167.6785888671875,-31.878870010375977,-5.126684188842773,167.61724853515625,-32.09334182739258,-5.068134307861328,167.8350830078125,-32.362388610839844,-5.1551666259765625,167.8350830078125,-32.362388610839844,-5.1551666259765625,168.2430419921875,-32.43879699707031,-5.294772148132324,9.001691386033603,10.281440654551597,1.0,0.013422152560083594,4.33333346247673,0.0,22.02,0
L-1:8,4.3549711791422885,11.553390928193027,18.085550259671773,12.673907913559155,3.1112885919118294,4.56294083126471,9.393293489674289,8.777163972751849,8.836888035069446,1.6888563957162412,750.4633178710938,98.32469177246094,743.0407104492188,475.0538330078125,534.8949584960938,915.4364624023438,372.348388671875,821.90673828125,505.0500793457031,277.09356689453125,626.4185791015625,81.3841323852539,438.41522216796875,296.14776611328125,138.05039978027344,673.2642822265625,191.89407348632813,1022.360595703125,1489.5067138671875,1387.9481201171875,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.02352941408753395,0.019607843831181526,167.80413818359375,-31.575542449951172,-4.788290023803711,168.15496826171875,-31.549999237060547,-4.9791998863220215,168.4490966796875,-31.204654693603516,-5.2286553382873535,168.517333984375,-30.962087631225586,-5.1425065994262695,168.09674072265625,-31.449432373046875,-5.210684299468994,167.6337890625,-31.591304779052734,-5.059918403625488,167.50970458984375,-31.72029685974121,-4.812093257904053,167.81884765625,-31.758140563964844,-4.590221881866455,166.90673828125,-31.388858795166016,-4.357277870178223,167.31597900390625,-31.530858993530273,-4.607905387878418,21.758375896758075,16.91907903873367,1.0,0.014588682211160598,1.0000000298023224,3.49,31.82,0
L-1:9,1.5862625002998034,0.9682097651833667,5.939088798358502,6.414706833088934,1.099640420871952,10.645743192372784,4.536050326846004,2.986978399864222,2.6081780660110065,1.1950893493910033,969.0693359375,85.1330795288086,1053.5933837890625,590.2755126953125,311.108154296875,877.6298828125,295.77325439453125,990.8546752929688,557.5929565429688,136.50912475585938,880.8147583007813,26.309049606323242,1074.1416015625,384.0377197265625,173.7979736328125,500.0914306640625,349.5456848144531,1307.8173828125,527.1830444335938,549.9703369140625,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.32549020648002625,0.32549020648002625,0.2823529541492462,0.2823529541492462,0.32549020648002625,0.2823529541492462,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,166.81982421875,-32.149227142333984,-5.40319299697876,167.2130126953125,-32.08229446411133,-5.574293613433838,167.3935546875,-31.801837921142578,-5.7245025634765625,167.3458251953125,-31.478797912597656,-5.812061309814453,167.24249267578125,-31.388378143310547,-5.76602840423584,167.0286865234375,-31.386991500854492,-5.593117713928223,166.6026611328125,-31.127685546875,-4.9914751052856445,166.6837158203125,-31.606595993041992,-4.700364589691162,166.986572265625,-32.46317672729492,-4.9167561531066895,166.366943359375,-32.13112258911133,-5.3309102058410645,17.70421573505999,2.851787453621632,1.0,0.012607655502392345,1.3333333730697632,0.0,21.08,0
L-1:10,6.780578625843698,5.548574368449607,6.659294560068219,4.1551271597283215,0.7716572617833924,4.167097269920456,3.232795684774597,0.9066359314823431,1.2175812655213996,1.1413791591226248,599.7954711914063,3.2184605598449707,985.7560424804688,555.9087524414063,185.80577087402344,668.2206420898438,313.70709228515625,1370.4923095703125,463.93060302734375,282.2261047363281,908.938232421875,38.74749755859375,804.8436889648438,566.0006713867188,382.622314453125,943.7772216796875,242.0431671142578,760.6637573242188,971.7312622070313,783.54931640625,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.32156863808631897,0.27843138575553894,0.32156863808631897,0.27843138575553894,0.2862745225429535,0.2862745225429535,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,166.84503173828125,-31.79647445678711,-5.074392795562744,167.3009033203125,-31.686447143554688,-5.443156719207764,167.2894287109375,-31.493377685546875,-5.502189636230469,167.20391845703125,-31.157175064086914,-5.556186199188232,167.0303955078125,-31.30255126953125,-5.628757953643799,166.4117431640625,-31.650653839111328,-5.802379131317139,166.2822265625,-31.939481735229492,-5.6633734703063965,166.223388671875,-32.33305358886719,-5.609753131866455,166.31256103515625,-32.04051208496094,-4.997924327850342,166.776123046875,-32.25502395629883,-5.099771976470947,9.776563609891952,7.984386739499647,1.0,0.012875955819881055,2.6666667461395264,0.0,25.98,0
