Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.770104037960092,5.484449501355052,3.427846294620835,1.8236286936857191,2.2415343783164454,2.2704173452033056,8.348412316726943,5.454835166121187,3.7704059328863937,3.1182389660893217,232.8802032470703,17.053796768188477,170.7998504638672,170.71119689941406,111.56987762451172,273.8202819824219,211.2254180908203,365.74237060546875,102.44337463378906,133.18873596191406,613.9857177734375,174.1799774169922,597.5990600585938,347.6807556152344,239.74107360839844,468.18450927734375,131.34036254882813,354.4916687011719,442.5639953613281,302.29730224609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7199999690055847,0.699999988079071,0.6399999856948853,0.5999999642372131,1.0199999809265137,1.1200000047683716,1.1200000047683716,1.1200000047683716,1.0,0.7799999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.998992168470615,9.951677259332678,1.0,0.025970035551041135,5.5,0.0,29.22,100
L-1:2,7.822461518919618,3.699821742563887,3.2395585805412592,4.031003567179381,0.8067699807168243,1.2085342425288006,3.8065062621864536,3.0009619885283807,4.828450992713949,2.779777944465132,328.7944641113281,24.603273391723633,308.6629638671875,296.12445068359375,109.48639678955078,333.47955322265625,248.3252410888672,505.3929138183594,194.86993408203125,440.6627197265625,521.2906494140625,2.164907932281494,630.0344848632813,357.4929504394531,109.51536560058594,455.4902648925781,78.34981536865234,590.222412109375,765.5859375,470.6152648925781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6699999570846558,0.5999999642372131,0.6899999976158142,0.8700000047683716,1.1200000047683716,1.1200000047683716,1.1200000047683716,1.1200000047683716,0.9199999570846558,0.7299999594688416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2757411457591656,4.885161067331255,1.0,0.022776679841897234,1.0,0.0,23.05,32
L-1:3,6.9594105793059144,0.8137940992364993,5.718542577329796,4.440872414638464,3.7764882229146313,4.83084155528839,2.337944151143696,0.4727579179759664,3.1579230449959583,6.324515064325391,338.563720703125,31.55036735534668,471.6269836425781,281.7671813964844,119.77826690673828,503.75714111328125,180.8039093017578,523.1903076171875,277.85284423828125,314.3994140625,306.77410888671875,56.439910888671875,349.9280700683594,343.1153869628906,316.4706726074219,593.9029541015625,628.4961547851563,791.5184326171875,539.5742797851563,282.67987060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7799999713897705,0.7699999809265137,0.7699999809265137,0.7999999523162842,0.7799999713897705,0.7999999523162842,0.7699999809265137,0.5099999904632568,0.7699999809265137,0.7699999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.852544606230357,4.1499585289700285,1.0,0.022603783499737257,1.0,0.0,24.58,100
L-1:4,0.8573401669877458,10.229265605995339,23.881544542499146,21.550876559354105,7.671333946186776,5.124874647650238,4.6337982439063605,1.116296824596158,4.082342908985432,6.000384552749561,453.3840026855469,111.441162109375,438.18487548828125,377.4629821777344,82.78076934814453,559.2830810546875,68.8219223022461,363.59295654296875,197.5406494140625,282.27325439453125,270.5481262207031,45.76766586303711,225.95948791503906,149.29307556152344,141.4270477294922,496.9830322265625,67.39678192138672,737.6702880859375,376.3528747558594,373.3439636230469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7199999690055847,0.7299999594688416,0.7299999594688416,0.7999999523162842,1.059999942779541,1.1200000047683716,1.1200000047683716,0.7799999713897705,0.41999998688697815,0.5999999642372131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71413903971395,14.224010906110154,1.0,0.023531882809133993,7.5,3.98,31.21,32
L-1:5,3.544987039518809,3.1327535361861845,4.576275194446485,2.8103749427988762,0.5910366028210025,9.358369317410498,4.02554951566456,6.816656065427104,4.6556008018541,4.245282554950739,501.63409423828125,25.897520065307617,462.0841979980469,316.5336608886719,259.2622985839844,526.4142456054688,205.69598388671875,825.3822021484375,276.0466003417969,162.67315673828125,220.216064453125,12.506840705871582,225.19088745117188,189.23855590820313,181.71778869628906,799.4219360351563,228.56295776367188,634.9575805664063,451.3467102050781,351.25677490234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7699999809265137,0.7699999809265137,0.7999999523162842,0.8199999928474426,0.9799999594688416,0.9399999976158142,0.7799999713897705,0.8199999928474426,0.7799999713897705,0.7799999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769843060310772,5.263217395382046,1.0,0.022304230423042304,3.0,0.0,28.32,0
L-1:6,5.488226276339589,8.722802076320772,2.9479141617414935,6.758706710416363,2.2770278583846375,6.018982391055679,7.286940542247513,2.5618901766861066,4.051860834693921,3.6252369024290965,479.0591125488281,2.860325336456299,226.29931640625,259.3753967285156,205.94976806640625,361.6356201171875,48.318424224853516,363.8505859375,449.63739013671875,318.036865234375,429.195556640625,88.46697998046875,413.89788818359375,116.40266418457031,44.505332946777344,29.30486488342285,223.41554260253906,490.406982421875,521.2879028320313,352.13739013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8399999737739563,0.75,0.8499999642372131,0.8499999642372131,0.8199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2947206275362735,4.143860020441693,1.0,0.02490959316926168,4.0,0.0,28.34,0
L-1:7,7.902195327751975,6.413881388474489,2.9997914585161984,2.3590228025135076,0.6631484137615902,0.4067591828382975,0.7124525774197418,5.793986027552851,11.440251106572855,8.73987328298992,573.4046630859375,30.595327377319336,537.3859252929688,445.8495178222656,282.718994140625,457.96942138671875,182.56411743164063,539.2078857421875,389.425537109375,200.88162231445313,353.6356506347656,48.62020492553711,440.1904296875,378.006591796875,338.2935485839844,763.388671875,353.7711181640625,835.6303100585938,670.0629272460938,704.3464965820313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5999999642372131,0.6299999952316284,0.7199999690055847,0.7799999713897705,0.7799999713897705,0.9399999976158142,1.0,0.8899999856948853,0.8399999737739563,0.6699999570846558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.814202106718046,7.538315764876617,1.0,0.022099358974358975,6.0,0.0,21.67,0
L-1:8,26.31009606944875,20.502471211407315,19.514626979015294,13.292459757546714,3.8679951975365543,12.675105650671359,6.131263103016898,3.1265240680560966,13.79765653762196,21.057235873140943,391.27032470703125,5.8125128746032715,540.7014770507813,368.33074951171875,296.541259765625,573.9755249023438,183.51234436035156,719.2376708984375,148.9388885498047,170.81143188476563,306.6593933105469,38.772003173828125,388.3026428222656,208.31752014160156,18.587888717651367,612.5280151367188,126.04722595214844,376.9093322753906,651.5928955078125,365.8926696777344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6699999570846558,0.5999999642372131,0.550000011920929,0.5,0.8700000047683716,1.1200000047683716,1.1200000047683716,1.0199999809265137,0.8499999642372131,0.7299999594688416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.468489080765494,22.543871423069916,1.0,0.02374073351541163,11.5,4.75,34.77,0
L-1:9,0.3607444537085919,9.986770513439314,5.386842326747936,6.498839877828545,2.529738697442889,2.902191915188978,3.9822939871203142,0.9516076918974513,0.8345680176547768,6.666027502259106,542.828125,137.86683654785156,522.0860595703125,266.1161193847656,118.29360961914063,594.193115234375,55.66223907470703,317.4705505371094,642.7313842773438,241.1276092529297,533.4441528320313,79.16096496582031,581.8748779296875,240.2806396484375,89.52167510986328,565.884765625,132.45394897460938,704.4431762695313,545.0443725585938,336.3449401855469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6399999856948853,0.6100000143051147,0.5999999642372131,0.5799999833106995,0.47999998927116394,0.9599999785423279,1.1200000047683716,1.1200000047683716,0.9599999785423279,0.7299999594688416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2950100644901146,6.785227650336518,1.0,0.02389323467230444,0.5,0.0,32.29,0
L-1:10,6.683598663009452,8.798184806796272,3.181534797754274,1.7310079097279873,3.3927754218133295,4.363759246692188,1.8494330513071446,6.042291086967613,1.0597951085698625,4.448852942766831,372.866455078125,4.464171886444092,336.1164245605469,306.6485595703125,18.427349090576172,433.3900451660156,217.26800537109375,669.8427734375,618.7080078125,275.42962646484375,648.4080810546875,80.50845336914063,421.77581787109375,404.1802673339844,83.52330017089844,616.1798706054688,304.6064147949219,740.549072265625,598.3726196289063,360.8839416503906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9599999785423279,0.9399999976158142,0.6899999976158142,0.44999998807907104,0.6899999976158142,0.7999999523162842,0.8499999642372131,0.8499999642372131,0.8499999642372131,0.9199999570846558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.251179502335981,9.060765443925613,-1.0,0.020983009708737864,1.0,0.0,27.17,0
L-1:11,1.5990391545742317,4.753038650812028,3.9093936335473742,1.6427011779018055,2.393376019562884,2.865355803868637,6.451520205385076,2.690057981061228,6.003381104231615,0.41091596750222065,389.0830993652344,31.017601013183594,395.9029541015625,207.49099731445313,126.13148498535156,350.8363952636719,203.994140625,481.9435729980469,548.3904418945313,288.8263244628906,571.712158203125,2.1145246028900146,548.5952758789063,386.82489013671875,253.28207397460938,622.1430053710938,619.0767211914063,1087.662353515625,355.6575927734375,314.8298645019531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7199999690055847,0.75,0.75,0.7199999690055847,0.699999988079071,0.699999988079071,0.5999999642372131,0.3799999952316284,0.2199999988079071,0.7299999594688416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.526391962988193,7.274096275604632,1.0,0.02256118881118881,6.0,0.0,25.81,0
