Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.49859353899785,3.8240369946372255,1.3847776238843155,5.588408109271121,6.462943515056871,3.462802676425838,6.204687116320976,5.181894473969364,7.995212824674458,4.942260601112729,1672.56689453125,49.25917434692383,1792.778564453125,1039.876708984375,483.92828369140625,1571.6651611328125,861.4656372070313,1425.1488037109375,1661.9903564453125,1707.3917236328125,2821.01416015625,312.9805603027344,2258.09326171875,1332.536865234375,946.431640625,2615.111572265625,589.8003540039063,2592.595458984375,2079.9306640625,1818.1749267578125,0.4392157196998596,0.41568630933761597,0.3764706254005432,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.04999999701976776,0.03999999910593033,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,334.78125,-10.96875,-3.0,334.78125,-10.96875,-3.0,334.859375,-11.15625,-4.0625,336.390625,-11.203125,-4.0,336.390625,-11.203125,-4.0,336.234375,-15.140625,-10.609375,336.234375,-15.140625,-10.609375,334.734375,-11.859375,-4.140625,334.734375,-11.859375,-4.140625,334.734375,-11.859375,-4.140625,3.0021628360463057,14.34042718167106,1.0,0.0067789104278074865,9.000000268220901,0.0,11.59,44
L-1:2,9.994671929234023,4.727832611513893,3.6588260336742313,1.3448635666004687,4.957264266631547,4.688325957822462,11.227969169119548,10.838504830170328,7.93240993699285,7.670827798190762,2371.97900390625,393.31494140625,2130.11962890625,1065.7105712890625,1233.856689453125,2840.67431640625,1113.6722412109375,2200.322021484375,1609.125732421875,1236.6025390625,2815.96044921875,837.1002197265625,2520.513916015625,2066.269287109375,1125.0211181640625,3105.277099609375,522.8093872070313,2772.556884765625,2521.261962890625,1484.0501708984375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.04999999701976776,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,334.125,-7.75,-0.921875,335.265625,-9.609375,-1.59375,335.265625,-9.609375,-1.59375,335.78125,-15.8125,-8.53125,335.78125,-15.8125,-8.53125,335.46875,-16.71875,-9.84375,335.46875,-16.71875,-9.84375,335.46875,-16.71875,-9.84375,334.125,-7.75,-0.921875,334.125,-7.75,-0.921875,8.951352829196159,9.668072017411728,1.0,0.005601219866395586,1.666666716337204,0.0,11.02,100
L-1:3,3.850157533851522,2.8827411759870274,8.891449598946695,18.856060287248894,20.535476201525455,8.552221733623423,11.22995549591066,10.589848811373109,1.6882233238600002,2.776266187963203,2117.4423828125,117.07373809814453,2344.044921875,1156.7650146484375,1669.6806640625,2834.08837890625,647.6398315429688,3040.5126953125,2548.977294921875,1252.3193359375,2882.63818359375,1243.2764892578125,3078.797119140625,2681.68212890625,1128.5601806640625,3461.85595703125,275.11578369140625,1853.48583984375,1506.7061767578125,1461.502685546875,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.05999999865889549,332.359375,-4.453125,0.890625,332.359375,-4.453125,0.890625,334.109375,-12.484375,-7.625,334.109375,-12.484375,-7.625,334.109375,-12.484375,-7.625,334.0625,-13.5,-9.328125,334.0625,-13.5,-9.328125,333.515625,-9.296875,-4.671875,333.515625,-9.296875,-4.671875,332.484375,-12.171875,-6.921875,8.43637997739236,8.817637531576011,1.0,0.004483471074380166,3.000000089406967,0.0,9.3,76
L-1:4,0.5380039536026648,1.328844381648319,2.0879122544619397,6.66527101611076,2.2110959035850866,4.988490082647923,7.057102606173903,9.812432831904573,4.818571579459279,1.7856275416355325,1799.2889404296875,303.0206604003906,1971.2686767578125,1697.90185546875,1650.16162109375,3478.803955078125,429.56597900390625,2190.68505859375,1574.6265869140625,566.8630981445313,1861.8165283203125,255.0638427734375,2320.6767578125,1343.00048828125,1111.807861328125,3577.53662109375,900.8981323242188,2741.818115234375,2381.65576171875,1785.986083984375,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,331.5,-8.28125,-2.09375,331.5,-8.28125,-2.09375,331.5,-8.28125,-2.09375,331.796875,-16.390625,-8.625,331.796875,-16.390625,-8.625,332.125,-15.75,-9.640625,332.125,-15.75,-9.640625,330.828125,-10.859375,-3.8125,330.828125,-10.859375,-3.8125,330.828125,-10.859375,-3.8125,8.283778100957667,7.266788974770212,1.0,0.006253695491500369,2.3333334028720856,-8.61,9.67,68
L-1:5,5.8342544042265905,1.3581717101780628,6.390581298201396,7.299316220885313,3.1399860292962267,3.0375522706712155,1.0115794662499364,13.978348591573358,20.590583358317808,10.282330199382551,1291.430419921875,415.5047607421875,1817.188232421875,1097.530029296875,845.6195678710938,1670.8084716796875,611.0038452148438,1006.0816650390625,935.2211303710938,818.1533813476563,1098.0899658203125,115.3667221069336,1087.0604248046875,1114.3128662109375,95.11412048339844,1540.5128173828125,548.5693969726563,2058.479736328125,753.7842407226563,832.6257934570313,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.04999999701976776,332.0625,-10.265625,-5.828125,332.234375,-10.15625,-4.484375,332.234375,-10.15625,-4.484375,332.296875,-13.53125,-7.09375,333.328125,-8.25,-4.390625,333.5,-12.84375,-10.09375,332.46875,-12.8125,-7.5,332.46875,-12.8125,-7.5,332.46875,-12.8125,-7.5,332.0625,-10.265625,-5.828125,5.447389916477467,12.29935041402491,1.0,0.009274661508704062,3.000000089406967,0.0,13.7,108
L-1:6,1.8565790314911588,2.7793776139790434,5.089934811737571,1.0296343637916663,4.62989332014451,0.26804474656159677,2.748962085670705,2.678355229418904,12.335365834334189,11.120631484701475,2645.783935546875,646.720947265625,1340.3922119140625,566.3029174804688,913.3858032226563,1410.8563232421875,238.28488159179688,422.0429382324219,1105.951904296875,947.7178955078125,2054.327880859375,130.4216766357422,1598.72705078125,1086.7388916015625,1300.4427490234375,1823.43994140625,98.50299072265625,3042.51025390625,2389.881103515625,1190.1331787109375,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.45098042488098145,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,332.28125,-8.8125,-5.0625,332.28125,-8.8125,-5.0625,332.484375,-9.671875,-6.59375,332.5625,-7.71875,-5.1875,332.796875,-13.921875,-9.546875,332.796875,-13.921875,-9.546875,332.796875,-13.921875,-9.546875,332.28125,-12.8125,-8.734375,332.28125,-12.8125,-8.734375,332.28125,-8.8125,-5.0625,12.187621840632955,8.579824563696564,1.0,0.007398029726927065,1.666666716337204,0.0,12.23,100
L-1:7,2.332660618569479,5.38529350151842,5.356544017693509,4.472927329137451,8.909517219204547,17.316289112894673,11.829559634807817,7.87046453545568,6.706492483029401,8.39993333421603,1160.2225341796875,224.63479614257813,1637.9764404296875,1283.731201171875,493.6368103027344,1320.7359619140625,252.3577117919922,1837.4429931640625,1274.6798095703125,1643.6295166015625,2197.805908203125,331.37322998046875,2593.4111328125,2954.529541015625,1179.5689697265625,2155.480712890625,2431.185546875,3642.136474609375,1918.036865234375,1245.57373046875,0.49803924560546875,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.4941176772117615,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.03999999910593033,330.703125,-6.078125,-1.953125,330.328125,-8.90625,-5.375,330.9375,-7.578125,-4.28125,330.9375,-7.578125,-4.28125,331.203125,-10.578125,-6.3125,331.203125,-10.578125,-6.3125,330.578125,-4.953125,-2.375,330.578125,-4.953125,-2.375,330.578125,-4.953125,-2.375,330.578125,-4.953125,-2.375,5.0282730807690745,5.03805460073253,1.0,0.006109574835810577,1.666666716337204,0.0,10.1,0
L-1:8,7.43000085271922,4.65877452190742,12.675790067916331,8.982787276697104,2.910705227526136,16.71339320479382,11.535301616012491,4.037822327635632,2.2379900048210564,10.73773200402644,2019.543701171875,98.94868469238281,1191.9908447265625,589.39306640625,1087.2012939453125,1984.555419921875,1490.256103515625,2387.5546875,2565.3681640625,2276.05126953125,1874.0220947265625,908.8480834960938,1546.1156005859375,1581.6455078125,1056.708740234375,3280.6396484375,592.4093017578125,3194.990478515625,2577.74462890625,2160.644287109375,0.2862745225429535,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.43137258291244507,0.3960784673690796,0.35686275362968445,0.3294117748737335,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.04999999701976776,329.0625,-7.796875,-2.546875,329.890625,-7.46875,-3.5,330.78125,-10.78125,-6.046875,330.78125,-10.78125,-6.046875,330.34375,-15.171875,-11.40625,330.34375,-15.171875,-11.40625,330.34375,-15.171875,-11.40625,329.46875,-13.5,-8.359375,329.46875,-13.5,-8.359375,329.0625,-7.796875,-2.546875,16.17463417362434,12.85522705346388,1.0,0.005441632231404959,4.0000001192092896,-8.18,12.04,0
L-1:9,12.01031203348196,1.7369685368545547,3.231118845537505,5.541314417807398,4.793020566860472,11.447351538572832,4.987171814715405,10.658611555022192,32.95867673127381,28.341258153986246,1653.772216796875,890.5088500976563,2313.482177734375,1232.8616943359375,1508.74365234375,2956.69189453125,905.3156127929688,1542.8343505859375,1333.4970703125,1444.71484375,3296.21240234375,120.10979461669922,3036.010009765625,2620.019775390625,833.5107421875,3066.12255859375,1324.4482421875,3542.30859375,1860.4228515625,1975.58740234375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.04999999701976776,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,329.265625,-7.125,-1.90625,330.0625,-8.734375,-3.421875,330.0625,-8.734375,-3.421875,330.359375,-15.0625,-9.046875,330.359375,-15.0625,-9.046875,330.53125,-16.921875,-12.109375,330.53125,-16.921875,-12.109375,329.265625,-7.125,-1.90625,329.265625,-7.125,-1.90625,329.265625,-7.125,-1.90625,10.871218389009279,18.682444621725907,1.0,0.005840828782524896,2.3333334028720856,0.0,10.39,0
L-1:10,5.601151400064621,2.1201238632623784,3.691183858356429,2.8099859798702105,8.772406424547905,2.7372387691939504,5.461793902957344,21.228245060875327,22.439927284356685,9.817330094163093,2339.142578125,62.40821075439453,1029.595947265625,841.2728271484375,331.8124694824219,706.599609375,95.46691131591797,2629.114013671875,2388.607177734375,1653.485595703125,3377.962158203125,162.45703125,1518.0169677734375,1610.47607421875,678.2578125,3526.024658203125,717.4146118164063,3750.017578125,1647.8570556640625,2740.196044921875,0.3450980484485626,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4274510145187378,0.40392160415649414,0.38431376218795776,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.04999999701976776,328.828125,-7.046875,-2.96875,328.65625,-8.03125,-4.625,329.3125,-5.515625,-3.015625,329.78125,-13.46875,-9.078125,329.78125,-13.46875,-9.078125,329.78125,-13.46875,-9.078125,328.65625,-7.921875,-3.71875,328.65625,-7.921875,-3.71875,328.65625,-7.921875,-3.71875,328.828125,-7.046875,-2.96875,11.472876921004735,22.85147421874478,1.0,0.005845307917888563,6.333333522081375,0.0,11.39,0
