Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.754225672033306,4.155364816987588,2.5094182264016798,3.754307685319011,6.34614654592958,10.666666984558105,2.330697077475189,1.2087582502342544,2.0643711051979015,4.408706154148483,571.7822265625,11.174564361572266,165.90016174316406,163.9612274169922,118.53240966796875,201.62680053710938,235.23324584960938,515.5559692382812,559.3721923828125,272.9798583984375,791.3106079101562,33.22262954711914,528.644287109375,353.02093505859375,325.26019287109375,534.436279296875,246.23753356933594,639.7642822265625,432.0363464355469,208.79330444335938,0.25882354378700256,0.26274511218070984,0.25882354378700256,0.24705883860588074,0.250980406999588,0.2392157018184662,0.24313727021217346,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.26274511218070984,0.25882354378700256,0.24705883860588074,0.250980406999588,0.2392157018184662,0.24313727021217346,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279828479007591,4.135945720223545,1.0,0.02274289284598563,4.33333346247673,0.0,41.6,48
L-1:2,9.000000268220901,3.293819103081435,4.729409480063354,1.7646529055211686,0.15393693580730092,0.0,9.395970825577267,3.4236460819589403,3.690287342817136,7.532557977198865,568.3711547851562,26.37440299987793,238.560791015625,236.83424377441406,84.61869812011719,587.7212524414062,279.98974609375,1131.87939453125,529.8964233398438,217.45697021484375,354.5597229003906,24.48708724975586,492.1922912597656,253.33534240722656,131.15768432617188,614.1139526367188,138.61012268066406,594.322021484375,832.2841186523438,210.04641723632812,0.2666666805744171,0.25882354378700256,0.24313727021217346,0.2352941334247589,0.24705883860588074,0.2823529541492462,0.29411765933036804,0.2980392277240753,0.29019609093666077,0.27450981736183167,0.2666666805744171,0.25882354378700256,0.24313727021217346,0.2352941334247589,0.24705883860588074,0.2823529541492462,0.29411765933036804,0.2980392277240753,0.29019609093666077,0.27450981736183167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.099019665555408,8.007726089360643,-1.0,0.019739432541980316,2.6666667461395264,0.0,38.96,68
L-1:3,2.538591110943878,7.043978906506295,0.051100850519061644,3.1118565826927855,0.6564281272091621,6.666666865348816,0.32536544629076786,3.332382125695659,5.320901386662694,13.197941368681116,644.1732788085938,24.268634796142578,592.2806396484375,372.6308898925781,100.77067565917969,237.4650115966797,144.39320373535156,445.7770690917969,394.76531982421875,299.2294921875,657.7991943359375,0.07415152341127396,518.784423828125,341.3133544921875,209.0324249267578,649.5316772460938,121.47522735595703,694.664306640625,491.82989501953125,264.582763671875,0.2666666805744171,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.27843138575553894,0.2862745225429535,0.2666666805744171,0.2705882489681244,0.27843138575553894,0.2666666805744171,0.26274511218070984,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.27843138575553894,0.2862745225429535,0.2666666805744171,0.2705882489681244,0.27843138575553894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3461350663266805,5.340421189766712,-1.0,0.01926820920043812,0.6666666865348816,0.0,40.21,4
L-1:4,9.219544732056724,3.6286813218384837,11.076548491065234,4.119611591965294,15.125518660650688,16.169244262727556,10.268481664377092,23.29822974391502,20.884290399241877,13.38580796159766,762.7996215820312,75.85943603515625,1004.8452758789062,972.13525390625,380.23663330078125,1204.2625732421875,291.3690490722656,388.6877136230469,608.8336181640625,355.2972106933594,1373.2796630859375,144.66763305664062,428.1998291015625,433.67724609375,82.04637145996094,1024.23095703125,99.38509368896484,921.83935546875,778.2874755859375,560.4349975585938,0.2549019753932953,0.24705883860588074,0.2392157018184662,0.250980406999588,0.2705882489681244,0.29411765933036804,0.30980393290519714,0.27843138575553894,0.27843138575553894,0.26274511218070984,0.2549019753932953,0.24705883860588074,0.2392157018184662,0.250980406999588,0.2705882489681244,0.29411765933036804,0.30980393290519714,0.27843138575553894,0.27843138575553894,0.26274511218070984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.439326185626287,14.036737449388745,-1.0,0.01473271446862996,16.000000476837158,3.51,26.3,100
L-1:5,3.349958640210174,5.528441313823962,4.993310410631983,3.8880583587878914,2.5347904306003897,9.357112843942485,2.7217883245098866,4.727948708840361,2.0893424950571444,1.5377586291643062,579.2122802734375,5.489870071411133,651.2449951171875,409.49652099609375,224.06570434570312,469.4725646972656,152.32260131835938,361.0096435546875,362.1720886230469,259.2589111328125,642.2465209960938,43.48180389404297,360.83892822265625,213.4358367919922,208.73324584960938,655.9754638671875,112.61294555664062,552.9381713867188,500.54156494140625,332.4725036621094,0.2549019753932953,0.250980406999588,0.23137256503105164,0.24313727021217346,0.2392157018184662,0.24705883860588074,0.2549019753932953,0.250980406999588,0.250980406999588,0.250980406999588,0.2549019753932953,0.250980406999588,0.23137256503105164,0.24313727021217346,0.2392157018184662,0.24705883860588074,0.2549019753932953,0.250980406999588,0.250980406999588,0.250980406999588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.420548492761764,7.357282921909748,-1.0,0.021519416014449125,0.3333333432674408,0.0,40.85,100
L-1:6,4.0000001192092896,1.2811869177279347,3.1597845465195027,8.621938010889837,0.6918303475414241,0.3333333432674597,6.294366324584325,3.4901956590156558,2.3680260400109554,1.1032397414290782,419.9099426269531,66.69285583496094,430.14892578125,301.3919372558594,229.18336486816406,586.5552368164062,254.8556365966797,420.8662414550781,214.13446044921875,133.81796264648438,287.97161865234375,9.879656791687012,268.0399475097656,287.4835205078125,128.17832946777344,393.4305419921875,114.34485626220703,601.5743408203125,183.8548583984375,216.51980590820312,0.25882354378700256,0.24705883860588074,0.24313727021217346,0.24313727021217346,0.2392157018184662,0.24313727021217346,0.24705883860588074,0.2392157018184662,0.2392157018184662,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.24313727021217346,0.24313727021217346,0.2392157018184662,0.24313727021217346,0.24705883860588074,0.2392157018184662,0.2392157018184662,0.25882354378700256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.601169727193423,2.1378690214166225,-1.0,0.02739647363312844,1.0000000298023224,0.0,48.39,0
L-1:7,0.6666666865348816,0.8715026558283395,4.618564973951356,1.7706573385015363,1.2931669484394999,7.673909850847887,3.7133921072301406,3.503152546668273,6.963567097382118,5.018137950265086,429.5321350097656,50.30361557006836,345.3855895996094,304.8523254394531,195.06028747558594,583.749755859375,164.68338012695312,406.8746032714844,394.8929138183594,193.64356994628906,431.5805969238281,58.48403549194336,500.6805114746094,262.9572448730469,183.5384063720703,354.09979248046875,146.67893981933594,347.6534118652344,463.6995849609375,376.5846862792969,0.24313727021217346,0.24313727021217346,0.24313727021217346,0.250980406999588,0.250980406999588,0.2549019753932953,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.22745099663734436,0.24313727021217346,0.24313727021217346,0.24313727021217346,0.250980406999588,0.250980406999588,0.2549019753932953,0.22745099663734436,0.23137256503105164,0.2352941334247589,0.22745099663734436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.731609233582039,2.401703576573794,-1.0,0.02298550016291952,2.0000000596046448,0.0,40.31,0
L-1:8,1.9436506895404029,1.4471049794305304,8.872416808647651,1.4064068222538229,9.033402883693046,24.002315418517643,23.919010880899847,23.32567822214229,8.735958641974475,5.573686399210361,395.2214050292969,65.51276397705078,409.3113098144531,620.137939453125,215.3756866455078,880.1804809570312,163.6660919189453,686.9805908203125,904.513671875,367.6106872558594,1513.4716796875,164.41851806640625,857.2944946289062,608.8624877929688,468.1794128417969,1507.8004150390625,89.52513885498047,1080.315185546875,569.6907958984375,541.5436401367188,0.250980406999588,0.250980406999588,0.24313727021217346,0.2392157018184662,0.250980406999588,0.250980406999588,0.26274511218070984,0.2549019753932953,0.2666666805744171,0.25882354378700256,0.250980406999588,0.250980406999588,0.24313727021217346,0.2392157018184662,0.250980406999588,0.250980406999588,0.26274511218070984,0.2549019753932953,0.2666666805744171,0.25882354378700256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.099019665555408,20.418967963589296,-1.0,0.012475603492552646,10.000000298023224,3.62,27.76,0
L-1:9,6.333333522081375,8.41269206462618,4.729198694045643,0.848636041451964,4.910533003937853,1.2018504609725968,0.4492463901911809,3.056201820555289,5.934814161688646,3.005306929539678,1240.60400390625,56.82503890991211,469.7073669433594,383.6092224121094,389.18865966796875,608.8031005859375,101.66841888427734,401.7972106933594,659.75732421875,426.9640808105469,1060.592041015625,26.446029663085938,1171.0701904296875,770.9268188476562,157.39503479003906,833.091064453125,368.06353759765625,869.0083618164062,583.5512084960938,383.06341552734375,0.26274511218070984,0.25882354378700256,0.2549019753932953,0.2549019753932953,0.24705883860588074,0.24705883860588074,0.250980406999588,0.250980406999588,0.250980406999588,0.250980406999588,0.26274511218070984,0.25882354378700256,0.2549019753932953,0.2549019753932953,0.24705883860588074,0.24705883860588074,0.250980406999588,0.250980406999588,0.250980406999588,0.250980406999588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.544003999948686,9.443014830846966,-1.0,0.014596312778130957,3.6666667759418488,0.0,26.24,0
L-1:10,10.419000049235578,2.8777254395567793,2.746319969382742,6.957014726292566,1.8683705859273654,4.5338236380302845,2.494822247755931,1.799735069574301,0.7368994733869629,3.3018728151458556,850.9910278320312,83.4852066040039,998.431640625,493.20281982421875,172.0407257080078,666.2124633789062,168.8549346923828,563.2861328125,984.0022583007812,560.7612915039062,957.8614501953125,308.2684631347656,825.861083984375,523.3069458007812,266.5548095703125,1166.197509765625,247.05172729492188,757.6065063476562,447.86004638671875,462.70989990234375,0.2549019753932953,0.2549019753932953,0.250980406999588,0.2352941334247589,0.24705883860588074,0.2549019753932953,0.250980406999588,0.250980406999588,0.25882354378700256,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.250980406999588,0.2352941334247589,0.24705883860588074,0.2549019753932953,0.250980406999588,0.250980406999588,0.25882354378700256,0.2549019753932953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.508451344066613,5.576018592993538,-1.0,0.013291631915485127,0.0,0.0,27.32,0
