Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.7715905543710513,8.199061792343514,1.7377004881252032,5.187989757264459,0.9131792591554154,2.377652626914277,6.461126114623898,3.670611590465956,1.675037947837819,2.115279307081093,698.839599609375,24.345802307128906,361.42913818359375,280.7561950683594,20.649465560913086,494.5172119140625,180.06063842773438,536.9102783203125,203.74879455566406,139.99185180664063,340.6885070800781,35.17965316772461,469.2917175292969,399.3970031738281,223.94210815429688,585.5101318359375,158.40187072753906,608.8207397460938,461.61871337890625,344.052001953125,0.20000001788139343,0.19215688109397888,0.20000001788139343,0.1882353127002716,0.19215688109397888,0.19607844948768616,0.2039215862751007,0.21176472306251526,0.20784315466880798,0.2039215862751007,0.20000001788139343,0.19215688109397888,0.20000001788139343,0.1882353127002716,0.19215688109397888,0.19607844948768616,0.2039215862751007,0.21176472306251526,0.20784315466880798,0.2039215862751007,271.828125,-15.234375,5.265625,271.78125,-14.1875,8.421875,271.6875,-14.140625,9.28125,271.609375,-15.046875,8.421875,271.53125,-15.0625,6.921875,270.96875,-19.546875,-0.3125,271.359375,-20.703125,-1.265625,271.671875,-20.125,0.0,271.796875,-16.65625,3.1875,271.828125,-15.234375,5.265625,7.6828100188874675,4.779696343264167,-1.0,0.020075757575757577,1.5,0.0,21.2,100
L-1:2,0.9086260417210625,1.731899539580808,7.320703378779984,5.671833724023895,4.95215936361688,3.9659481179753824,1.0808763900365954,2.271258829107752,6.663830252290745,2.5964716837720525,613.9315795898438,30.600603103637695,550.5093383789063,268.0540771484375,203.16595458984375,597.9119873046875,230.04962158203125,568.7449951171875,436.5351257324219,224.06283569335938,790.0787963867188,152.75990295410156,200.14979553222656,39.45588302612305,71.65410614013672,455.28253173828125,246.64804077148438,994.7056274414063,422.0033264160156,424.7728576660156,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.11764706671237946,0.20784315466880798,0.20000001788139343,0.20784315466880798,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.11764706671237946,0.20784315466880798,0.20000001788139343,0.20784315466880798,270.15625,-8.5,9.53125,270.15625,-8.5,9.53125,270.578125,-8.53125,10.09375,270.8125,-10.8125,8.8125,271.015625,-13.375,6.109375,271.140625,-16.828125,0.671875,270.125,-16.1875,0.5,270.0625,-16.453125,1.015625,270.0,-13.734375,3.6875,270.03125,-11.40625,6.984375,13.577459172571219,8.84791202948208,1.0,0.020700534759358288,5.5,0.0,22.12,76
L-1:3,3.483238295271354,11.698462156545066,2.271468541318991,6.057208144194192,4.61243230170578,2.2406146892061143,6.142373751733562,2.7679373826241607,1.4136218284867137,4.766425327660952,585.290283203125,96.76789855957031,243.88743591308594,109.51795196533203,23.51707649230957,567.2374267578125,21.813493728637695,38.361663818359375,413.34954833984375,316.2311706542969,1097.865966796875,243.32420349121094,638.66552734375,440.0194091796875,251.1292724609375,552.846435546875,153.90420532226563,440.0586242675781,710.7681884765625,385.4978332519531,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.19215688109397888,0.20000001788139343,0.2039215862751007,0.21176472306251526,0.21568629145622253,0.21176472306251526,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.19215688109397888,0.20000001788139343,0.2039215862751007,0.21176472306251526,0.21568629145622253,0.21176472306251526,0.20784315466880798,269.0,-9.25,9.25,268.921875,-9.15625,10.890625,268.859375,-9.640625,12.609375,269.234375,-5.5,10.328125,269.125,-8.421875,7.46875,269.125,-11.546875,4.671875,269.125,-11.546875,4.671875,269.140625,-11.984375,4.203125,269.125,-10.828125,5.1875,269.078125,-10.09375,6.453125,7.598619970242902,11.211847626740935,-1.0,0.019387088974854933,0.5,0.0,22.91,100
L-1:4,12.138114806327932,7.8960830985022845,2.9227663457239474,1.4608979481831776,12.806427026844514,15.934306156647008,18.25639550756495,17.875342301072095,22.801330497985006,8.60891602028945,486.9161682128906,265.1129455566406,331.87310791015625,300.9077453613281,196.13571166992188,354.9638366699219,232.39215087890625,421.19146728515625,511.6394958496094,289.53228759765625,555.5347900390625,33.77385330200195,578.8304443359375,423.35040283203125,186.50526428222656,710.6148681640625,119.37364196777344,801.5414428710938,323.788330078125,270.33929443359375,0.20000001788139343,0.2039215862751007,0.21176472306251526,0.21176472306251526,0.21568629145622253,0.21176472306251526,0.21568629145622253,0.20784315466880798,0.2039215862751007,0.2039215862751007,0.20000001788139343,0.2039215862751007,0.21176472306251526,0.21176472306251526,0.21568629145622253,0.21176472306251526,0.21568629145622253,0.20784315466880798,0.2039215862751007,0.2039215862751007,268.140625,-10.03125,10.125,268.65625,-8.390625,10.640625,268.984375,-8.796875,9.75,269.6875,-11.78125,4.5625,270.0,-14.703125,1.453125,270.234375,-18.953125,-3.15625,270.21875,-22.078125,-4.484375,270.0625,-20.484375,-3.8125,269.890625,-17.328125,-1.0625,268.046875,-16.390625,3.078125,9.934912427476846,18.772704371773134,1.0,0.019440133037694013,5.5,3.71,30.06,36
L-1:5,13.715606292911607,7.060173121579827,1.9527621127137624,0.5521098437539769,3.3553141394391757,7.4586559400271275,4.881923084286423,3.3474226698769978,6.81214508386844,8.133230309565128,444.3925476074219,25.58135223388672,377.3012390136719,449.9778137207031,247.1668243408203,591.2925415039063,181.10952758789063,317.7319641113281,409.1816101074219,224.30433654785156,477.1707458496094,27.9104061126709,433.2373962402344,261.8066711425781,225.2545166015625,573.121337890625,75.97864532470703,436.1642761230469,217.43118286132813,181.57113647460938,0.20000001788139343,0.2039215862751007,0.20000001788139343,0.20000001788139343,0.19607844948768616,0.20784315466880798,0.2039215862751007,0.2039215862751007,0.21568629145622253,0.20784315466880798,0.20000001788139343,0.2039215862751007,0.20000001788139343,0.20000001788139343,0.19607844948768616,0.20784315466880798,0.2039215862751007,0.2039215862751007,0.21568629145622253,0.20784315466880798,268.90625,-14.53125,9.265625,268.78125,-13.84375,9.609375,268.53125,-14.265625,9.578125,268.4375,-15.0,8.359375,268.140625,-15.984375,5.859375,268.34375,-19.296875,2.015625,268.59375,-20.828125,1.9375,268.828125,-20.25,0.984375,268.96875,-18.390625,2.859375,269.03125,-16.328125,6.140625,7.400909570320376,8.142363879575955,-1.0,0.026089260480452188,2.0,0.0,31.65,0
L-1:6,7.37857865743055,4.4072251941252185,1.0025133454482338,0.15505197713488758,5.530267113224127,4.881922218341893,1.2623520017961483,0.5210009540784507,1.3284425209904933,2.8172630636013287,501.3595886230469,51.50132369995117,245.92568969726563,313.3962097167969,185.64462280273438,791.3560791015625,143.78909301757813,246.74856567382813,682.3735961914063,475.6611022949219,967.8214721679688,42.171146392822266,301.99468994140625,228.50021362304688,247.1892852783203,698.0797729492188,106.31668090820313,381.73504638671875,642.7813720703125,486.2287902832031,0.2039215862751007,0.19215688109397888,0.19215688109397888,0.20000001788139343,0.19607844948768616,0.2039215862751007,0.21568629145622253,0.2196078598499298,0.22745099663734436,0.21176472306251526,0.2039215862751007,0.19215688109397888,0.19215688109397888,0.20000001788139343,0.19607844948768616,0.2039215862751007,0.21568629145622253,0.2196078598499298,0.22745099663734436,0.21176472306251526,269.25,-15.234375,6.359375,269.234375,-14.484375,9.640625,267.875,-11.03125,9.953125,268.078125,-13.765625,6.625,268.375,-17.828125,1.34375,268.375,-17.828125,1.34375,268.75,-19.78125,-0.890625,269.046875,-18.625,-0.171875,269.203125,-16.15625,2.015625,269.25,-15.234375,6.359375,7.491602342220147,9.595966491266498,-1.0,0.020355969331872944,2.0,0.0,21.24,0
L-1:7,2.9239851779857267,5.4704021673263705,11.498110874737941,8.080479041613684,4.568912944489822,2.73342160825493,4.541658854753736,0.6554604796715332,4.565852072802527,10.365548507587812,839.3209228515625,25.55368423461914,866.327392578125,243.17758178710938,281.8974304199219,939.5918579101563,217.27859497070313,620.4912109375,756.765625,262.2682800292969,694.1006469726563,21.219722747802734,628.3748779296875,393.46917724609375,345.9096984863281,761.5885009765625,553.499267578125,618.5571899414063,853.9954223632813,784.1077880859375,0.18431372940540314,0.19215688109397888,0.19607844948768616,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.2039215862751007,0.20000001788139343,0.18431372940540314,0.18431372940540314,0.19215688109397888,0.19607844948768616,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.2039215862751007,0.20000001788139343,0.18431372940540314,267.3125,-8.109375,10.265625,267.40625,-6.328125,12.203125,267.578125,-6.75,12.796875,267.765625,-6.421875,13.125,267.96875,-10.03125,8.734375,268.09375,-14.21875,6.625,268.109375,-14.1875,6.328125,268.109375,-14.1875,6.328125,268.171875,-8.484375,10.40625,268.171875,-8.484375,10.40625,6.153848231472552,7.6399728450855955,1.0,0.01657125307125307,2.0,0.0,19.27,0
L-1:8,26.355783657823405,16.46815098782208,13.628226519152253,8.192749074831907,10.825864355819634,1.7379898344705913,3.582474865397733,9.336778987917617,19.90542746695771,25.831950305358607,814.8226928710938,46.738739013671875,416.01751708984375,294.7229919433594,150.3074188232422,424.30145263671875,64.72654724121094,397.4423828125,269.25323486328125,101.69548797607422,1007.168212890625,86.63765716552734,500.08538818359375,308.4568786621094,8.863390922546387,639.7089233398438,416.602294921875,686.8206787109375,631.6759643554688,368.3921813964844,0.1882353127002716,0.19215688109397888,0.19215688109397888,0.20000001788139343,0.1882353127002716,0.20000001788139343,0.2039215862751007,0.20784315466880798,0.19607844948768616,0.19607844948768616,0.1882353127002716,0.19215688109397888,0.19215688109397888,0.20000001788139343,0.1882353127002716,0.20000001788139343,0.2039215862751007,0.20784315466880798,0.19607844948768616,0.19607844948768616,268.703125,-12.859375,7.046875,268.671875,-13.890625,8.359375,268.625,-13.578125,9.921875,268.5625,-13.21875,10.09375,268.34375,-14.484375,5.203125,268.46875,-16.484375,1.53125,268.609375,-16.890625,0.921875,268.71875,-16.390625,1.34375,268.71875,-16.390625,1.34375,268.734375,-13.984375,4.625,6.697598234437859,19.82849781593718,-1.0,0.01868699952896844,12.0,5.5,22.67,0
L-1:9,10.232617870442628,8.195557749653638,5.490207489965682,1.500602215308604,0.48326238383401066,7.412430897264786,2.797020514169688,1.927842338711175,5.806950557962127,4.773693937354358,471.8152160644531,39.41001892089844,360.45574951171875,247.03150939941406,109.43113708496094,718.1459350585938,276.6409606933594,217.9635772705078,212.2222137451172,218.74313354492188,708.7662353515625,37.101722717285156,548.6019897460938,297.3526916503906,222.1226806640625,577.49072265625,88.36009216308594,505.3556823730469,507.7145080566406,323.1288146972656,0.19607844948768616,0.19215688109397888,0.19607844948768616,0.19215688109397888,0.19607844948768616,0.19607844948768616,0.20000001788139343,0.20784315466880798,0.20784315466880798,0.2039215862751007,0.19607844948768616,0.19215688109397888,0.19607844948768616,0.19215688109397888,0.19607844948768616,0.19607844948768616,0.20000001788139343,0.20784315466880798,0.20784315466880798,0.2039215862751007,268.5625,-15.671875,7.859375,268.34375,-15.140625,8.5625,268.078125,-13.75,10.6875,267.84375,-14.84375,9.609375,267.671875,-15.921875,5.125,268.703125,-19.34375,1.9375,268.953125,-23.546875,-0.734375,269.046875,-20.515625,0.640625,269.03125,-18.5625,2.296875,268.921875,-16.828125,4.03125,4.786350125152734,5.364599750910378,-1.0,0.02199902248289345,4.0,0.0,25.72,0
L-1:10,10.81571195871286,1.7361860461194945,2.9700953374481225,2.2283749237584582,3.3311925954871557,7.946927470592489,6.147687000310524,14.596890142105215,20.31902916336449,4.955669004030039,932.76123046875,205.8156280517578,236.4535675048828,205.2500457763672,150.86801147460938,376.3801574707031,128.7320556640625,352.06573486328125,407.3712463378906,304.0911560058594,867.298828125,174.4824676513672,805.2360229492188,730.8317260742188,400.9477844238281,402.84088134765625,429.3464660644531,737.8837280273438,919.1629028320313,488.940185546875,0.19215688109397888,0.1882353127002716,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.20000001788139343,0.2039215862751007,0.19215688109397888,0.19215688109397888,0.1882353127002716,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2039215862751007,0.20000001788139343,0.2039215862751007,0.19215688109397888,271.8125,-11.828125,9.125,266.6875,-8.390625,12.828125,266.8125,-8.671875,14.8125,266.953125,-7.828125,14.59375,267.484375,-10.5,9.78125,271.234375,-14.328125,4.65625,271.234375,-14.328125,4.65625,271.46875,-13.53125,4.265625,271.6875,-13.46875,4.140625,271.78125,-12.375,7.265625,10.608691004217095,4.257316118577952,-1.0,0.02019100580270793,4.0,0.0,23.86,0
