Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.5,5.735068574396808,2.0960666470298013,0.6603572904380136,0.5824774377768309,7.5,5.294205077388217,3.9748214659562113,2.5118814371483613,2.5148926048598206,1796.144775390625,109.23023223876953,529.3844604492188,501.4271240234375,152.74380493164063,833.333984375,168.03456115722656,655.6741943359375,437.4881896972656,329.4054260253906,968.2303466796875,14.588631629943848,570.9521484375,287.8817443847656,305.7089538574219,615.1292724609375,567.1141967773438,1631.9757080078125,584.6316528320313,538.551025390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40000003576278687,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.40000003576278687,0.3333333432674408,0.3333333432674408,0.20000001788139343,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.272001872658765,6.994203603167896,1.0,0.012399449035812672,1.0,0.0,12.86,100
L-1:2,3.2015621187164243,2.252669560704342,9.275817461105532,5.5053113601912225,11.501543224960443,4.6097722286464435,4.930130784633638,9.275817461105536,6.891483925863045,4.93013078463364,1113.80712890625,77.77557373046875,568.0132446289063,656.4578857421875,316.4576416015625,1355.5010986328125,140.286376953125,1786.1871337890625,869.4680786132813,166.09844970703125,1046.47509765625,208.21519470214844,577.6549072265625,660.4993896484375,411.717529296875,1206.8310546875,282.45013427734375,1001.9853515625,949.83544921875,903.7677612304688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40000003576278687,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.422205101855956,4.644028581565132,-1.0,0.012540106951871657,2.5,0.0,13.4,36
L-1:3,6.020797289396148,5.250501331264528,6.397613029946713,9.699935493562206,2.5147057941834166,4.924428900898052,1.5540778341438275,3.9866466372637213,3.5825422700172163,2.7541361166508422,2162.002197265625,260.8416748046875,1581.937744140625,566.5343017578125,1010.582275390625,2106.10400390625,759.7418212890625,1780.41162109375,743.5491943359375,410.1280212402344,1182.0625,66.05648803710938,741.9674072265625,433.8224182128906,253.42776489257813,1936.8502197265625,231.61166381835938,358.6483459472656,778.7488403320313,496.99114990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.139410298049853,8.384047128301447,1.0,0.009408602150537635,1.5,0.0,11.0,68
L-1:4,5.5901699437494745,17.11265382207805,22.286571074638115,15.659208463220939,18.890175320947602,13.892443989449818,2.7097208301369173,3.700470158785438,4.206516818445209,7.803715822136422,2517.969482421875,760.5467529296875,1413.6185302734375,1364.25244140625,597.4725341796875,1732.308349609375,42.249908447265625,1324.7750244140625,2370.369384765625,1157.7698974609375,1758.9951171875,354.5184020996094,899.27099609375,604.0987548828125,788.6547241210938,1610.9622802734375,566.3755493164063,1855.650390625,190.87161254882813,333.340576171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.40000003576278687,0.3333333432674408,0.2666666805744171,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,15.008669610676666,1.0,0.007419670846394985,10.5,3.58,10.82,100
L-1:5,2.8284271247461903,3.391870232072418,4.212798961651259,5.5936731079017195,8.132037784218847,12.539936203984453,1.9031477206379304,8.339394966200498,15.452559989524032,10.532001671421021,1634.8045654296875,327.35845947265625,2356.811279296875,1424.966064453125,1081.887939453125,1531.0726318359375,390.1711730957031,1127.6080322265625,1293.03662109375,487.2425231933594,1211.175048828125,40.50704574584961,1199.330078125,169.42202758789063,1233.9376220703125,1872.21044921875,253.78367614746094,3266.765380859375,1852.21142578125,308.0282287597656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.2666666805744171,0.13333334028720856,0.2666666805744171,0.3333333432674408,0.40000003576278687,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.516648189186454,5.915956684226689,-1.0,0.009657634032634034,2.5,0.0,9.47,76
L-1:6,1.0,8.551107736772416,18.420237987134144,23.4459568778902,12.55660382333346,9.617692030835672,2.2106540502585315,0.9803816581524946,8.66032800592895,2.537082364932034,1711.66015625,325.65570068359375,2210.63720703125,1416.2127685546875,971.4588623046875,2389.844482421875,808.2684936523438,1242.09814453125,1616.911376953125,1252.265380859375,1885.609619140625,460.96343994140625,823.890869140625,1150.1707763671875,22.780838012695313,2988.322021484375,880.728515625,2301.1591796875,1436.10791015625,1577.6680908203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333432674408,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038404810405298,9.868244956100197,1.0,0.00798989898989899,2.0,0.0,9.04,0
L-1:7,6.18465843842649,13.20384885318191,17.216769357879315,12.056406748703212,4.8945430726681405,22.360679774997898,21.64734059658063,21.205821964337208,21.551108743702912,19.86220006326427,1150.40380859375,308.0812072753906,1298.4857177734375,1044.8551025390625,663.983642578125,2087.576416015625,474.95074462890625,1681.191162109375,1164.448974609375,1443.034912109375,1774.01220703125,859.9298095703125,2865.278076171875,1976.9578857421875,275.95465087890625,2180.96533203125,1065.423583984375,2740.60546875,1564.241943359375,758.8134155273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.2666666805744171,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.20000001788139343,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.564168070250297,12.06572623944613,-1.0,0.0065241868223519595,6.5,0.0,8.94,0
L-1:8,40.512343797909296,41.80889043691973,35.93646875345818,6.018687033496258,23.862836122335572,18.0,14.14253379049306,4.635701719450917,17.60856775208817,28.476824957442446,3552.306396484375,42.91265869140625,549.0492553710938,1021.2573852539063,1792.1446533203125,2649.889404296875,996.7911987304688,2009.347900390625,897.3319702148438,1174.024658203125,3003.048095703125,2.7663164138793945,2777.67529296875,1879.4620361328125,16.90995979309082,2388.804443359375,1528.2152099609375,3042.163818359375,2394.77099609375,1793.2493896484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.3333333432674408,0.40000003576278687,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.248456731316587,35.552536440307705,-1.0,0.005877296278850683,7.5,5.58,7.13,0
L-1:9,1.5811388300841898,10.559792404340797,0.18943969897351629,5.642592834916241,6.433757798472633,2.0615528128088303,5.606311536479966,16.61096049534463,12.32108826454594,20.578007971687807,2535.2646484375,767.9193725585938,2322.95654296875,1738.4520263671875,437.21307373046875,1319.457275390625,507.602783203125,1250.4273681640625,1826.7552490234375,1269.4940185546875,1726.9583740234375,4.0605387687683105,1453.0389404296875,864.6008911132813,499.88214111328125,713.9878540039063,601.7229614257813,2603.333984375,1350.5040283203125,1358.533203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.3333333432674408,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.916433890176299,12.881478730850038,1.0,0.007346962083142988,1.0,0.0,9.19,0
L-1:10,7.810249675906654,6.126697803760896,3.3098011357888217,4.027957277625256,5.578913266165618,10.606601717798213,6.9806575485906865,9.472709164898335,8.42746567245816,7.509810898811858,2616.35400390625,137.1468505859375,554.078125,781.7128295898438,431.9522705078125,1222.5684814453125,613.9307861328125,1275.814453125,592.1707153320313,644.018798828125,2027.7596435546875,311.93646240234375,2240.5263671875,1421.962646484375,754.9961547851563,1690.50927734375,566.874267578125,1347.7144775390625,2270.78857421875,1756.2939453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.3333333432674408,0.20000001788139343,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.40000003576278687,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.30635970943632,4.153807065048014,-1.0,0.008205286561264824,0.5,0.0,9.49,0
