Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.357022674199906,14.811802287981905,23.21376727174287,13.338877891974924,7.285449041198956,3.1446604710703676,2.7643563027705964,0.9611148052446,2.372939507486858,1.720195594728544,2334.780517578125,218.5475311279297,1567.328369140625,605.5106201171875,760.081298828125,2010.55419921875,938.4022827148438,1931.7979736328125,1878.807861328125,833.382568359375,2491.989501953125,83.00807189941406,1464.816162109375,727.8472900390625,932.4384765625,2821.98388671875,40.07142639160156,893.0756225585938,1473.91552734375,1296.0323486328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.007843137718737125,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.009803921915590763,0.007843137718737125,0.009803921915590763,0.005882353521883488,0.013725491240620613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.340905400624436,12.214273593655276,-1.0,0.006307020381753478,4.33333346247673,0.0,11.14,68
L-1:2,5.517648616854354,0.8463250002176359,3.1854384085552936,4.365109593406481,2.875091354200726,11.96754907067157,14.356903941027216,3.911591905868961,7.349366636638809,3.544822533383579,4018.520263671875,582.0919189453125,881.743896484375,590.5531616210938,799.5344848632812,1691.9954833984375,1143.2916259765625,2691.017333984375,1640.4693603515625,1871.818359375,2230.313720703125,402.02337646484375,865.5367431640625,1174.3084716796875,350.3892822265625,2965.508056640625,703.9497680664062,2642.1689453125,1144.644775390625,1191.4371337890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.007843137718737125,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1343748094202737,8.85834333208823,-1.0,0.0047124655647382925,3.000000089406967,0.0,7.82,68
L-1:3,14.035669265913727,3.1811089236465335,4.047118710083429,6.671821265378453,4.947286236472338,2.6666667461395264,5.926080778478644,2.9447945493632495,3.3717598363633003,4.546682904173876,2085.27001953125,78.2337417602539,1680.3497314453125,1962.5693359375,1138.185791015625,2907.76318359375,1083.8050537109375,3260.04736328125,1772.106201171875,1625.7427978515625,2441.9638671875,104.68948364257812,1310.1524658203125,718.8132934570312,747.3911743164062,2217.550048828125,879.0588989257812,2198.09130859375,1353.16650390625,1657.3175048828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.009803921915590763,0.013725491240620613,0.013725491240620613,0.009803921915590763,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.009803921915590763,0.013725491240620613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.153020417945244,2.398077756623483,-1.0,0.0052524475524475525,0.0,0.0,10.73,64
L-1:4,16.67999516803165,7.58666008681462,14.198018848710822,20.11864851758441,16.23404115300551,12.823589756620304,4.719249722853437,2.784935586979148,4.845757498823852,14.25264841444917,2085.8291015625,135.41676330566406,1316.090087890625,621.4598999023438,950.2522583007812,3805.983154296875,954.1738891601562,3228.085693359375,2339.14111328125,1407.0855712890625,3208.73046875,377.7900695800781,687.8092041015625,168.4146728515625,425.1646728515625,2069.484375,1005.8776245117188,1646.2587890625,1813.0411376953125,1087.1455078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.011764707043766975,0.013725491240620613,0.013725491240620613,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571036983316953,17.32384328273005,-1.0,0.005680508252554363,12.66666704416275,5.97,12.39,4
L-1:5,1.666666716337204,7.061851120647869,2.952978986229815,4.8624173364731575,4.793764698545373,2.027587570526223,4.143159698771556,2.591497568581576,3.886597684091651,2.0520958846728328,1702.144287109375,145.00924682617188,1153.603515625,1032.2197265625,573.983154296875,1629.5787353515625,750.8050537109375,1983.28857421875,2007.1429443359375,1545.9476318359375,2376.388427734375,181.6938018798828,1865.2796630859375,1360.753662109375,667.3265991210938,1844.31640625,782.40771484375,1700.9111328125,1842.9736328125,1200.9901123046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.007843137718737125,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5659053968766266,9.216256288147937,-1.0,0.006226150392817059,0.3333333432674408,0.0,12.68,4
L-1:6,3.2829526984383133,9.509064569116488,1.4106809508620832,1.6638922238918703,4.845011372171404,2.6874193295241846,4.877737442802661,10.049206934653828,2.952840777125955,1.186550910215612,1034.3267822265625,304.14276123046875,915.7086181640625,431.939697265625,270.4402160644531,1357.45849609375,982.1342163085938,1590.065673828125,1392.3182373046875,1005.4779663085938,1631.421630859375,182.3846435546875,931.9434204101562,869.854736328125,498.5116882324219,1279.6751708984375,19.370040893554688,952.595703125,1824.685791015625,1025.6455078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.011764707043766975,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8005848635967117,10.777002504725928,-1.0,0.007699214365881032,0.0,0.0,15.68,68
L-1:7,9.006170992475667,5.918305193054985,9.470783158885606,4.284322663477038,1.6106943545933858,4.853406737496472,2.1716286213968856,12.994441866265602,11.869651196193054,4.631738529299945,1584.355224609375,176.0542755126953,1555.3197021484375,1252.7410888671875,748.30419921875,2677.577392578125,1068.5621337890625,3605.46044921875,0.0,0.0,1845.7987060546875,287.54693603515625,1189.397705078125,673.5115356445312,652.6288452148438,1724.313232421875,756.8757934570312,1691.900634765625,1462.7249755859375,835.2601318359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.013725491240620613,0.009803921915590763,0.011764707043766975,0.007843137718737125,0.009803921915590763,0.007843137718737125,0.007843137718737125,0.009803921915590763,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1343748094202737,7.492243728788639,-1.0,0.006569264069264069,4.0000001192092896,0.0,12.14,100
L-1:8,3.43187681594023,8.906127718400546,8.75360049489097,3.451911561375821,4.444311412004532,12.351338577197833,16.826271933043618,17.798123600284008,23.395841989650922,20.12893207084557,1874.5140380859375,536.6500244140625,1870.31396484375,950.603271484375,841.8543090820312,1519.3333740234375,493.7054443359375,2097.81103515625,1860.144775390625,1384.7991943359375,2159.890380859375,458.4837646484375,1092.61474609375,1182.78466796875,692.6909790039062,1599.120849609375,627.3171997070312,1709.841064453125,1551.5946044921875,1758.7691650390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.013725491240620613,0.007843137718737125,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51425932109966,10.09603937740819,-1.0,0.005884520884520884,14.333333760499954,8.54,9.58,76
L-1:9,3.1622777544115976,0.2826962598251122,1.8596980438699067,1.9282710388216266,4.692906719791792,6.200358597364516,2.865659126567061,2.0001907659014453,1.7065811218854496,2.9555558654340075,1409.59228515625,300.5265808105469,1245.1212158203125,981.5946044921875,605.3541870117188,1548.881103515625,1048.875244140625,1788.9542236328125,2675.20654296875,1950.0965576171875,4262.2421875,1552.945068359375,1412.210205078125,960.9574584960938,441.8921203613281,1625.7266845703125,753.8336791992188,1586.5057373046875,1108.2535400390625,993.376708984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.011764707043766975,0.011764707043766975,0.007843137718737125,0.013725491240620613,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.705747759585759,4.897276649947272,-1.0,0.006715041986126323,0.0,0.0,10.51,32
L-1:10,1.9436506895404029,1.0250851813015083,8.270297860835843,1.0088230607464148,2.314177375610007,1.3333333730697443,3.4366435387165097,2.1270623502997172,7.5021509024804365,10.222056403202316,1985.2344970703125,231.22796630859375,1541.727294921875,1222.21630859375,1258.056640625,2304.8349609375,300.3186340332031,1523.9796142578125,1860.3128662109375,1369.2650146484375,2139.75732421875,61.26084518432617,737.5072631835938,814.4217529296875,793.8960571289062,1670.4835205078125,246.20956420898438,1447.852783203125,1840.7510986328125,997.3060913085938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.007843137718737125,0.011764707043766975,0.009803921915590763,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.227180749674244,3.568441182439198,-1.0,0.00635206611570248,1.0000000298023224,0.0,10.98,100
