Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.395702128642418,6.733963320224843,7.777949131079327,4.1903295551792805,13.00363986362076,23.884672407412648,19.692354892486165,11.620811415298833,7.25802009671208,0.9390161747896864,3242.14111328125,713.2110595703125,3769.623779296875,2437.544189453125,2263.06396484375,3176.250244140625,2081.105224609375,1632.256103515625,2136.13330078125,552.4375610351563,3356.563720703125,17.437326431274414,2213.877197265625,1225.673095703125,881.0133666992188,2340.0673828125,808.1488647460938,3223.96630859375,2450.41357421875,2045.4949951171875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,291.1600036621094,-12.355209350585938,-9.360676765441895,291.1600036621094,-12.355209350585938,-9.360676765441895,291.18304443359375,-12.307374000549316,-9.39340877532959,291.18304443359375,-12.307374000549316,-9.39340877532959,291.39508056640625,-12.6105375289917,-9.830464363098145,291.39508056640625,-12.6105375289917,-9.830464363098145,291.39508056640625,-12.6105375289917,-9.830464363098145,291.39508056640625,-12.6105375289917,-9.830464363098145,291.1600036621094,-12.355209350585938,-9.360676765441895,291.1600036621094,-12.355209350585938,-9.360676765441895,12.512856827902365,12.186083426534175,-1.0,0.004942424242424242,6.333333522081375,0.0,6.99,64
L-1:2,11.733662288290443,11.94143852074899,6.160923129301113,18.31921495532428,7.138468080842113,7.807254661399473,6.13066054266118,5.298202839932484,11.949988039249908,1.0769952462560612,3982.248291015625,36.55755615234375,0.0,0.0,1524.547119140625,990.1622314453125,1260.8487548828125,2425.425537109375,4851.1953125,3190.673583984375,3885.1044921875,299.681396484375,1661.00439453125,3162.754150390625,1253.2779541015625,4002.126708984375,1892.322265625,4275.53173828125,2854.22412109375,3420.3056640625,0.4901961088180542,0.49803924560546875,0.4901961088180542,0.4941176772117615,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.5333333611488342,0.5333333611488342,291.0238037109375,-11.559935569763184,-9.202224731445313,291.04803466796875,-11.56054973602295,-8.890110969543457,290.584716796875,-11.841039657592773,-9.125859260559082,291.05731201171875,-11.615996360778809,-9.21451473236084,291.67218017578125,-11.976359367370605,-9.07590389251709,291.67218017578125,-11.976359367370605,-9.07590389251709,291.67218017578125,-11.976359367370605,-9.07590389251709,291.67218017578125,-11.976359367370605,-9.07590389251709,291.0238037109375,-11.559935569763184,-9.202224731445313,291.0238037109375,-11.559935569763184,-9.202224731445313,8.843960464165397,12.552175478377956,-1.0,0.004974391805377721,2.3333334028720856,0.0,8.88,64
L-1:3,14.942771704040727,14.740130551246793,6.641401643137782,7.959922267815109,13.220230241350459,21.834390092078916,17.29863140787818,2.9509813633694297,4.989823576952684,6.18671714789218,3633.10595703125,1070.837890625,5365.29833984375,2627.566162109375,3155.41455078125,3371.427734375,3207.657470703125,2699.7041015625,5244.6591796875,1990.4632568359375,4548.17822265625,640.9347534179688,2662.991455078125,2096.65380859375,2144.09912109375,3047.03125,1492.5672607421875,2938.39111328125,1392.617919921875,957.9464111328125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.4901961088180542,0.49803924560546875,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,290.0381774902344,-11.45832633972168,-8.404778480529785,290.0381774902344,-11.45832633972168,-8.404778480529785,290.0381774902344,-11.45832633972168,-8.404778480529785,290.0381774902344,-11.45832633972168,-8.404778480529785,290.3619689941406,-11.11398696899414,-8.2467622756958,290.3619689941406,-11.11398696899414,-8.2467622756958,290.3619689941406,-11.11398696899414,-8.2467622756958,290.3619689941406,-11.11398696899414,-8.2467622756958,289.8975830078125,-11.707605361938477,-8.212581634521484,290.3365478515625,-11.245343208312988,-8.291356086730957,12.556415681103537,4.811144812535846,-1.0,0.004151575516117349,8.33333358168602,0.0,6.55,96
L-1:4,5.739571070728121,3.890339872974614,4.364477706971408,2.251589446427696,6.2464817147718925,7.989927513493124,5.345070743919999,1.9836705209379482,3.3571777001911878,1.8510274792292045,2190.953369140625,62.49729537963867,733.12939453125,521.8402099609375,22.694053649902344,770.8156127929688,825.4337158203125,2356.57958984375,2119.238037109375,1412.9603271484375,3810.152099609375,133.62265014648438,2430.0927734375,2071.513671875,365.47576904296875,2863.624267578125,1140.7640380859375,2960.82763671875,1681.4696044921875,1125.169921875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.46666669845581055,0.46666669845581055,0.2666666805744171,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.5333333611488342,0.5333333611488342,288.6722412109375,-17.204862594604492,-3.9419000148773193,288.6722412109375,-17.204862594604492,-3.9419000148773193,289.3000183105469,-17.867525100708008,-3.431596279144287,289.0945129394531,-17.83148956298828,-3.5237505435943604,289.0945129394531,-17.83148956298828,-3.5237505435943604,289.51373291015625,-17.16954803466797,-4.166172981262207,289.51373291015625,-17.16954803466797,-4.166172981262207,289.51373291015625,-17.16954803466797,-4.166172981262207,289.4468994140625,-17.182846069335938,-4.324246406555176,289.4468994140625,-17.182846069335938,-4.324246406555176,21.16180648702719,19.030828136796842,-1.0,0.00784045635639261,14.333333760499954,1.8,12.37,76
L-1:5,13.65861979373156,22.387713658819486,21.565392141350575,15.26573280730878,17.310392460586336,8.221703647599524,7.413096586995015,3.5352142481649,14.30457636082453,8.725785855662465,1999.0098876953125,621.385009765625,1492.4549560546875,1679.3131103515625,463.0179443359375,1684.9564208984375,345.6077880859375,1025.0985107421875,1226.51220703125,735.9278564453125,612.0453491210938,0.039608996361494064,1732.7938232421875,1155.6839599609375,241.0150604248047,1437.6524658203125,1248.9434814453125,2598.297119140625,1744.2764892578125,1019.8325805664063,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.6000000238418579,0.5333333611488342,0.46666669845581055,0.46666669845581055,0.46666669845581055,288.43719482421875,-17.287799835205078,-5.702887535095215,288.43719482421875,-17.287799835205078,-5.702887535095215,288.5115661621094,-17.1766357421875,-5.9077887535095215,288.5115661621094,-17.1766357421875,-5.9077887535095215,288.3215026855469,-17.415414810180664,-6.048880577087402,289.0864562988281,-17.552471160888672,-5.848127841949463,289.0864562988281,-17.552471160888672,-5.848127841949463,288.9558410644531,-17.413616180419922,-5.779785633087158,288.9558410644531,-17.413616180419922,-5.779785633087158,288.43719482421875,-17.287799835205078,-5.702887535095215,8.298042100619284,11.496539303967063,-1.0,0.006867321867321866,13.000000387430191,0.0,11.18,72
L-1:6,15.224090115190451,25.80601786335843,5.296341007395572,5.151122675909065,9.62341365253676,10.919008274163566,4.476082232895446,7.645773005415027,2.7732075022282854,5.705257282804606,2733.837890625,362.45477294921875,2484.504150390625,1075.3690185546875,559.8983764648438,1605.6456298828125,980.2880859375,1483.7413330078125,2885.658935546875,1471.018798828125,3213.396240234375,255.98330688476563,2088.022216796875,686.2955322265625,145.03897094726563,2450.00830078125,929.9083251953125,3065.672607421875,2055.708984375,2084.282470703125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.40000003576278687,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,287.8876953125,-16.98245620727539,-6.3966779708862305,287.8876953125,-16.98245620727539,-6.3966779708862305,288.43646240234375,-17.009864807128906,-6.115917682647705,288.08453369140625,-16.955476760864258,-6.305752277374268,288.08453369140625,-16.955476760864258,-6.305752277374268,288.08453369140625,-16.955476760864258,-6.305752277374268,288.7854919433594,-16.83219337463379,-6.405770301818848,288.7854919433594,-16.83219337463379,-6.405770301818848,288.7854919433594,-16.83219337463379,-6.405770301818848,287.8876953125,-16.98245620727539,-6.3966779708862305,5.073927488772111,14.093060324830727,-1.0,0.006343995510662177,1.0000000298023224,0.0,9.69,64
L-1:7,11.366196527712754,1.8745142294578339,5.07060663800321,2.624870379097128,4.879075411252287,5.171732114609735,6.677609095929308,17.414032302050593,25.966651328463914,22.66476377951625,1542.7071533203125,39.934871673583984,1096.7100830078125,1255.88818359375,1109.2198486328125,2427.313720703125,463.3891296386719,1933.114013671875,2166.42431640625,1447.3048095703125,3241.080810546875,119.1082534790039,1733.889404296875,1984.3094482421875,207.7911376953125,2281.654052734375,857.0960083007813,1968.849853515625,1431.91748046875,1240.5677490234375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.46666669845581055,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.46666669845581055,0.5333333611488342,0.5333333611488342,286.6338195800781,-15.454487800598145,-5.594980716705322,286.68438720703125,-15.443879127502441,-5.518570423126221,286.5894775390625,-15.593435287475586,-5.686770439147949,286.5894775390625,-15.593435287475586,-5.686770439147949,286.93719482421875,-15.862295150756836,-6.139077663421631,286.93719482421875,-15.862295150756836,-6.139077663421631,287.2708435058594,-15.683640480041504,-6.0739288330078125,287.2708435058594,-15.683640480041504,-6.0739288330078125,287.2708435058594,-15.683640480041504,-6.0739288330078125,286.6338195800781,-15.454487800598145,-5.594980716705322,9.649161338774102,12.844007953192856,-1.0,0.006453013278855975,13.000000387430191,0.0,10.83,68
L-1:8,4.123850429560693,4.37126485347614,6.724951655451715,8.41359320510481,9.048260399158943,1.3992469463221338,16.609805233486483,20.085934431836524,9.249314255285498,6.852217550151574,1828.2530517578125,155.1273193359375,1489.4111328125,971.4132080078125,256.6349182128906,1668.793701171875,791.67626953125,1836.77294921875,1882.3424072265625,1588.81201171875,1232.0345458984375,820.1578979492188,1900.732666015625,2017.3243408203125,1109.1798095703125,2777.990478515625,118.1358871459961,2041.1795654296875,1832.8052978515625,1482.0472412109375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.6666666865348816,0.5333333611488342,289.0965270996094,-16.325361251831055,-2.067793846130371,289.0965270996094,-16.325361251831055,-2.067793846130371,288.8433837890625,-16.440929412841797,-2.509645700454712,288.642822265625,-14.993820190429688,-3.500697374343872,285.49151611328125,-17.49726104736328,-5.056826114654541,285.49151611328125,-17.49726104736328,-5.056826114654541,285.49151611328125,-17.49726104736328,-5.056826114654541,286.8233947753906,-18.2452335357666,-2.5096263885498047,286.8233947753906,-18.2452335357666,-2.5096263885498047,286.8233947753906,-18.2452335357666,-2.5096263885498047,20.91573040698516,18.77652672178881,-1.0,0.007146564065855405,1.666666716337204,4.0,11.41,76
L-1:9,7.9383008102020876,7.314685854236635,11.215013373659012,12.045604471535528,8.084066943629685,5.204910289018606,3.024372704254573,3.2774959357782327,0.533056757458552,8.985251090228138,2298.56689453125,176.9471893310547,1600.2457275390625,886.3013305664063,689.7579956054688,2118.915771484375,517.8922729492188,1945.9267578125,1532.80078125,1272.474365234375,1625.744384765625,405.7380676269531,1538.2613525390625,695.72705078125,399.7137145996094,1416.0272216796875,379.1159362792969,1361.2572021484375,1789.04638671875,1296.944091796875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,282.2005310058594,-13.070168495178223,-4.787206649780273,282.4215393066406,-12.684669494628906,-4.469516754150391,282.4215393066406,-12.684669494628906,-4.469516754150391,282.9923095703125,-13.715926170349121,-5.301093578338623,282.9923095703125,-13.715926170349121,-5.301093578338623,282.9923095703125,-13.715926170349121,-5.301093578338623,283.19415283203125,-14.307421684265137,-5.470882892608643,283.19415283203125,-14.307421684265137,-5.470882892608643,282.2005310058594,-13.070168495178223,-4.787206649780273,282.2005310058594,-13.070168495178223,-4.787206649780273,12.20110657944028,9.261176553133163,1.0,0.0069602272727272724,7.3333335518836975,0.0,10.15,68
L-1:10,2.1866288942243663,10.095780669219858,20.55500052964729,14.267189370830494,1.555354701301395,7.824804555491012,5.326654440219265,8.84520946921362,4.667646266094235,8.238254519986063,1821.638916015625,210.27145385742188,661.8619384765625,757.798828125,381.7749938964844,1568.408447265625,122.2022476196289,1378.202880859375,1199.21875,1686.52685546875,1908.669921875,9.200838088989258,2254.889892578125,1620.16015625,580.2797241210938,1615.0899658203125,759.81103515625,1576.3017578125,1671.0159912109375,1103.7796630859375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,281.57177734375,-9.983891487121582,-3.389404535293579,282.08062744140625,-10.568537712097168,-3.518174648284912,282.08062744140625,-10.568537712097168,-3.518174648284912,282.8698425292969,-11.231522560119629,-4.020504951477051,282.8698425292969,-11.231522560119629,-4.020504951477051,282.8074951171875,-12.280182838439941,-4.614923000335693,282.8074951171875,-12.280182838439941,-4.614923000335693,282.54632568359375,-12.350740432739258,-5.148968696594238,282.54632568359375,-12.350740432739258,-5.148968696594238,282.13128662109375,-12.315773010253906,-4.651447772979736,5.30528262762775,3.565863105549399,1.0,0.0072015528955030736,3.333333432674408,0.0,12.72,108
