Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,9.153020417945244,8.246443442244413,13.236435621126212,6.364629013922231,11.007645807851386,4.384315609984752,8.98442044991145,3.5083468715432695,0.8281622422672662,20.084767111938962,3057.876953125,943.66357421875,1859.558837890625,1086.525634765625,1430.3316650390625,2972.664306640625,513.2944946289062,2045.3480224609375,2273.907958984375,1641.1419677734375,2071.581787109375,318.1517639160156,1159.435302734375,508.7141418457031,735.9869995117188,3285.04541015625,389.93310546875,2004.488525390625,1082.41552734375,1077.8499755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.009803921915590763,0.011764707043766975,0.005882353521883488,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.013725491240620613,0.011764707043766975,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.641619812992781,6.20336347086187,-1.0,0.005586538461538462,2.0000000596046448,0.0,9.13,108
L-1:2,7.923243118800848,6.143293817259711,4.898194713095948,5.219916374252481,1.4735776019588556,1.943650689540393,4.114157585353564,1.7704963966072618,4.958821681377247,9.884116998591017,0.0,0.0,1486.697021484375,1210.242919921875,461.5208435058594,2814.0859375,720.6724243164062,1479.8741455078125,1738.8592529296875,1221.568603515625,1951.0631103515625,102.79377746582031,1827.131591796875,1463.6085205078125,420.8153381347656,1850.432373046875,250.4228973388672,1925.466796875,2100.7529296875,1436.880615234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.007843137718737125,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1343748094202737,2.778592748649627,-1.0,0.00534816247582205,2.0000000596046448,0.0,9.48,100
L-1:3,1.054092584803866,9.292556839489844,2.090772720500991,1.9596941822162148,1.4195317086624493,12.1151882579849,14.818205693120433,1.1628144915903176,3.5331041161783614,5.838287873712866,3236.958251953125,353.3667907714844,1814.353271484375,577.443115234375,1160.39013671875,4508.083984375,1523.4774169921875,5571.2607421875,1257.103271484375,1528.7769775390625,2678.084228515625,44.50490188598633,1677.1351318359375,1648.1260986328125,86.01412963867188,2760.41796875,272.6156311035156,1914.4268798828125,2302.357666015625,1871.1334228515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005882353521883488,0.009803921915590763,0.011764707043766975,0.013725491240620613,0.007843137718737125,0.009803921915590763,0.011764707043766975,0.005882353521883488,0.007843137718737125,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.671874047101369,13.471568561021572,-1.0,0.00443282978149447,3.000000089406967,0.0,9.39,4
L-1:4,5.6666668355464935,10.410662002638551,0.7676891835022869,12.482546242591216,17.104959805435858,15.014807953549745,18.644304505206332,16.45299519737033,4.821829549179652,8.571839221734711,2757.070068359375,846.520263671875,1775.9122314453125,1575.33935546875,872.2960815429688,3812.618896484375,1282.997314453125,5561.73779296875,1972.947265625,1705.1173095703125,2531.343505859375,141.43238830566406,2231.376220703125,1624.420166015625,1260.759521484375,2582.30859375,872.2435302734375,1647.388671875,2958.44873046875,2382.07470703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005882353521883488,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.007843137718737125,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08169627716113,9.322704796149822,-1.0,0.0043735103847463395,10.000000298023224,7.19,7.34,36
L-1:5,8.33333358168602,11.079972763922596,1.255814102866738,3.163925660642594,3.4402664323800196,2.108185169607732,2.1240968503557647,5.121207246135358,1.9102437832300465,9.45035007511806,2956.434326171875,212.2193145751953,1769.140625,1029.7855224609375,1345.57861328125,2046.887451171875,1256.927734375,3215.08984375,2589.051025390625,2074.600830078125,2762.301513671875,141.41880798339844,1989.05419921875,1281.50927734375,831.2159423828125,2972.360107421875,237.52410888671875,2733.65478515625,2175.672607421875,1813.60546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.013725491240620613,0.013725491240620613,0.011764707043766975,0.011764707043766975,0.009803921915590763,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.700718485582168,5.105244387591335,-1.0,0.004669084986674564,4.33333346247673,0.0,9.01,100
L-1:6,3.333333432674408,19.976253314944476,17.60252141853106,7.341229287771281,9.867481641487071,3.480102273351959,7.140954163565254,6.959133583963742,5.664365408448813,7.200023225020392,3517.900634765625,508.8829345703125,2256.100830078125,41.90010070800781,276.55029296875,4719.38232421875,2606.43017578125,4558.603515625,4021.695068359375,3948.114013671875,2785.10546875,750.5465698242188,1967.6636962890625,1452.76416015625,1042.6903076171875,3329.072021484375,1282.5811767578125,2830.76953125,2357.87744140625,1823.80908203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.009803921915590763,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.005882353521883488,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.779514333996918,3.888610941205208,-1.0,0.004467760673830961,3.6666667759418488,0.0,8.79,68
L-1:7,4.955356396787293,3.535382872060587,6.9563957286010805,7.293333655316403,6.178501771876074,14.051493024339107,24.419088587143694,15.74051333092108,2.3858678509421285,2.548792757164373,3304.846435546875,1324.209228515625,2518.947998046875,2403.94775390625,784.7774047851562,3089.21875,1255.1685791015625,2598.86865234375,2830.14404296875,2888.544677734375,3087.9384765625,1435.1016845703125,2277.85400390625,2313.737548828125,624.9877319335938,3287.593505859375,1641.0848388671875,2894.29443359375,3085.479736328125,2825.36767578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.011764707043766975,0.009803921915590763,0.007843137718737125,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25651790583951,7.007572947928896,-1.0,0.004045024376254661,2.0000000596046448,0.0,8.06,64
L-1:8,17.336538681930225,26.916577526524996,7.174035197219368,4.70790410460728,8.30212734640125,6.749485778255867,7.38849040710143,13.554388112429649,17.448245032350236,2.6037690269556335,1980.40625,1742.001220703125,1681.5601806640625,2752.552490234375,105.18180847167969,2498.989013671875,1205.419189453125,3268.278076171875,3238.79052734375,2805.66796875,3201.992431640625,33.641265869140625,2660.002685546875,2016.01318359375,562.8363647460938,2783.127685546875,1115.3974609375,3650.219482421875,1960.3248291015625,2494.69482421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.009803921915590763,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.009803921915590763,0.007843137718737125,0.009803921915590763,0.007843137718737125,0.005882353521883488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9015667531822884,22.097259678146237,-1.0,0.004794298921417566,1.666666716337204,2.59,8.89,0
L-1:9,13.507200128782461,5.083044686538561,14.34639030046393,21.354223607001977,18.06413436926078,7.000000208616257,4.001111868485201,2.062337255987913,13.76250976587576,8.723929291781348,1528.274658203125,679.584716796875,851.4813842773438,1764.61669921875,175.73248291015625,2423.03662109375,804.9093017578125,1839.84130859375,1675.81982421875,1982.5126953125,2611.107666015625,350.8643798828125,1849.8480224609375,1575.0938720703125,1095.3717041015625,1819.1630859375,710.7007446289062,2453.243896484375,58.42619323730469,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.007843137718737125,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.009803921915590763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.013864979219926,17.030145352465436,-1.0,0.00576317651220375,2.6666667461395264,0.0,9.31,0
L-1:10,4.7726071633268905,7.690676085918933,5.075053163753607,7.997787038559288,13.967467070086261,4.216370339215457,4.896455055962224,6.002050121763735,4.573239666163453,3.4000696896270957,3213.880615234375,91.11695861816406,2518.18359375,762.532958984375,1069.3314208984375,4668.96533203125,853.592529296875,5867.08740234375,3186.1435546875,4592.1728515625,2453.51513671875,1015.0191040039062,1844.936767578125,1549.00830078125,620.9929809570312,3089.553955078125,396.8377380371094,1813.900146484375,2440.4384765625,1733.0875244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.009803921915590763,0.011764707043766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.464061247437638,1.5086427341718605,-1.0,0.004588274044795784,3.333333432674408,0.0,7.96,0
