Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.889464865722358,0.505175080861844,3.4179612803709283,16.343371905643178,9.682176937836292,1.8102148821189197,5.590840588324234,3.5147655095042545,2.8844808852977835,10.182005153152522,741.6165161132813,83.0162582397461,559.119873046875,603.964111328125,759.198486328125,1463.745849609375,72.20247650146484,1291.2171630859375,1079.1546630859375,344.0017395019531,572.5955200195313,110.07498931884766,1165.1907958984375,958.6484985351563,560.0787353515625,1214.4898681640625,387.34710693359375,1142.587158203125,1800.1787109375,821.1221313476563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.8489990234375,-50.67499923706055,0.2770000100135803,169.76300048828125,-45.99700164794922,2.4600000381469727,169.76300048828125,-45.99700164794922,2.4600000381469727,169.69000244140625,-47.57500076293945,2.6019999980926514,169.69000244140625,-47.57500076293945,2.6019999980926514,169.72999572753906,-51.91899871826172,-1.0390000343322754,169.72999572753906,-51.91899871826172,-1.0390000343322754,169.8470001220703,-53.645999908447266,-1.9140000343322754,169.8470001220703,-53.645999908447266,-1.9140000343322754,169.8489990234375,-50.67499923706055,0.2770000100135803,9.562651429782022,11.879469870147082,-1.0,0.011145104895104896,0.5,0.0,12.75,100
L-1:2,8.79473812305291,11.126119029845652,3.8795686479390508,4.807281627113432,2.9515519217591253,4.881396485070431,16.474708901294008,13.082195042037375,0.9201309079759776,11.298868606252675,1529.9718017578125,140.68186950683594,638.7999267578125,692.0818481445313,269.9980773925781,1576.6634521484375,265.39874267578125,1561.1173095703125,1646.0133056640625,1236.5887451171875,1588.66943359375,647.9507446289063,973.6233520507813,1086.698974609375,298.69232177734375,612.3775634765625,23.66658592224121,1957.899169921875,1338.88427734375,1195.1239013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.64199829101563,-48.0359992980957,-0.49900001287460327,169.5590057373047,-42.77899932861328,2.7230000495910645,169.47000122070313,-42.617000579833984,3.3529999256134033,169.47000122070313,-42.617000579833984,3.3529999256134033,169.43800354003906,-46.279998779296875,1.2410000562667847,169.43800354003906,-46.279998779296875,1.2410000562667847,169.43800354003906,-46.279998779296875,1.2410000562667847,169.42999267578125,-49.52199935913086,-1.4830000400543213,169.6479949951172,-48.64899826049805,1.0069999694824219,169.64199829101563,-48.0359992980957,-0.49900001287460327,15.978431382105887,11.152673289523838,-1.0,0.008872093023255815,2.0,0.0,11.99,0
L-1:3,13.789642588737083,2.8856645113952606,10.602867490193578,11.093902544653247,6.63758507077476,2.8759581638534573,8.047520451089325,4.377069160087458,5.136514489339336,7.192138267929293,1121.1707763671875,46.45310974121094,812.6200561523438,912.3275146484375,241.88510131835938,1172.253662109375,174.93313598632813,949.0579833984375,951.2442016601563,723.1044921875,1336.688720703125,66.5648193359375,1517.20361328125,783.321533203125,309.3453063964844,1073.9027099609375,356.08428955078125,1381.32568359375,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.77200317382813,-36.77000045776367,4.557000160217285,168.77200317382813,-36.77000045776367,4.557000160217285,168.8780059814453,-35.542999267578125,3.7209999561309814,168.9810028076172,-40.5989990234375,1.2269999980926514,168.9810028076172,-40.5989990234375,1.2269999980926514,169.03900146484375,-45.68600082397461,-1.0299999713897705,169.03900146484375,-45.68600082397461,-1.0299999713897705,169.06300354003906,-44.5629997253418,0.38600000739097595,169.08599853515625,-43.584999084472656,2.9639999866485596,169.15699768066406,-43.027000427246094,3.76200008392334,5.582057766209251,8.784192069290114,1.0,0.010237794612794612,1.5,0.0,13.9,0
L-1:4,38.17609208423086,31.080724726844647,17.294740654103588,14.871741177129078,10.034601561281027,4.299472753058298,9.296135713455575,2.622528276239691,9.128546000386544,28.305289225451705,2298.096435546875,380.5995788574219,387.7937927246094,821.8756103515625,208.9248809814453,1552.783203125,567.2402954101563,1529.4703369140625,1559.1546630859375,894.43212890625,1259.280517578125,492.38427734375,1548.6051025390625,750.7495727539063,749.1952514648438,1361.8482666015625,91.85399627685547,2078.769287109375,1106.917724609375,1279.259765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.63800048828125,-51.55799865722656,-0.5550000071525574,167.57200622558594,-44.64699935913086,3.7190001010894775,167.57200622558594,-44.64699935913086,3.7190001010894775,167.57200622558594,-44.64699935913086,3.7190001010894775,167.5500030517578,-47.63199996948242,-0.6539999842643738,167.5500030517578,-47.63199996948242,-0.6539999842643738,167.7209930419922,-48.57500076293945,-0.10700000077486038,167.66299438476563,-49.58399963378906,-1.4270000457763672,167.66299438476563,-49.58399963378906,-1.4270000457763672,167.63800048828125,-51.55799865722656,-0.5550000071525574,18.347550311695382,11.6066298375641,-1.0,0.007847977381470205,12.5,15.63,10.31,0
L-1:5,8.341162622075906,5.505419177983355,1.2608638694624112,1.03100101404219,10.046922072897086,2.184811772146529,3.0822979747815844,4.542282942671285,5.192724304068885,6.541938803915342,1458.45166015625,275.2356872558594,670.5895385742188,669.7030029296875,481.54425048828125,1708.9327392578125,320.3063659667969,1239.05712890625,745.1626586914063,565.4061889648438,1484.3763427734375,441.7347412109375,1471.831298828125,507.6020812988281,522.1751708984375,1186.140869140625,649.1416625976563,1459.455810546875,1269.292236328125,988.793212890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.27200317382813,-46.183998107910156,3.115000009536743,167.27200317382813,-46.183998107910156,3.115000009536743,167.57200622558594,-44.64699935913086,3.7190001010894775,167.2530059814453,-43.95100021362305,2.0810000896453857,167.2530059814453,-43.95100021362305,2.0810000896453857,167.2429962158203,-49.516998291015625,-1.2940000295639038,167.33799743652344,-52.52799987792969,-2.0,167.33799743652344,-52.52799987792969,-2.0,167.31300354003906,-49.50899887084961,-0.21699999272823334,167.31300354003906,-49.50899887084961,-0.21699999272823334,28.89063509665112,32.81792629726158,-1.0,0.009315838800374883,11.5,0.0,11.36,0
L-1:6,5.01109445294945,4.58544506874962,13.013750831906139,9.435636443006358,3.55797360238743,5.404275619860018,10.834744389671107,12.288640783023014,5.389775966098959,0.5337460342731687,943.6739501953125,100.6382827758789,268.05535888671875,174.4106903076172,189.003662109375,671.3668212890625,163.13900756835938,1138.5125732421875,771.6058959960938,425.2279052734375,1065.2293701171875,162.12527465820313,796.197509765625,719.1162109375,420.3855285644531,1175.009521484375,151.42709350585938,956.5595092773438,1287.25537109375,1065.9158935546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.76499938964844,-42.64400100708008,4.770999908447266,166.7220001220703,-41.42399978637695,5.916999816894531,166.89199829101563,-43.73500061035156,6.826000213623047,166.89199829101563,-43.73500061035156,6.826000213623047,166.8520050048828,-46.71900177001953,4.517000198364258,166.76300048828125,-49.361000061035156,2.2720000743865967,166.76300048828125,-49.361000061035156,2.2720000743865967,166.77200317382813,-49.68899917602539,2.868000030517578,166.77200317382813,-49.68899917602539,2.868000030517578,166.80299377441406,-45.632999420166016,2.8489999771118164,6.946331888887639,12.025167490893972,-1.0,0.012353896103896105,5.5,0.0,15.22,0
L-1:7,15.835972700399827,8.910484081849244,3.956172474719243,2.0028642275167567,7.083421705681458,2.6058288499897473,10.798145215283038,15.263289914300238,7.918895084047353,7.157881489279952,1639.6619873046875,83.81680297851563,1419.4449462890625,622.839111328125,327.281494140625,1217.346435546875,238.71240234375,1748.707763671875,891.6387329101563,594.8942260742188,1311.1356201171875,173.84640502929688,1439.6339111328125,555.3402709960938,254.9515838623047,807.7802124023438,72.73290252685547,264.3778381347656,861.2579956054688,444.3591613769531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.91400146484375,-38.14699935913086,3.7119998931884766,165.91400146484375,-38.14699935913086,3.7119998931884766,166.07200622558594,-37.72100067138672,0.6949999928474426,166.07200622558594,-37.72100067138672,0.6949999928474426,166.19000244140625,-44.875999450683594,0.7850000262260437,166.19000244140625,-44.875999450683594,0.7850000262260437,166.28500366210938,-48.36399841308594,0.10999999940395355,166.37600708007813,-43.981998443603516,2.263000011444092,165.8000030517578,-41.5620002746582,0.375,165.8000030517578,-41.5620002746582,0.375,6.0888110203549966,15.255144896540301,1.0,0.009491914335664335,2.5,0.0,12.41,0
L-1:8,4.282279606254655,7.428104153316052,7.543043874093336,2.191476803156306,2.3161428215938695,17.166128798961445,32.339321913524266,38.134618616565916,24.54100362194698,5.5313039413805605,2471.745849609375,262.78094482421875,913.3292846679688,673.3742065429688,66.24932861328125,268.837158203125,158.18756103515625,823.919677734375,1191.920166015625,750.4655151367188,1363.9871826171875,553.8386840820313,1242.987060546875,912.6780395507813,661.009033203125,1795.656494140625,57.763275146484375,1961.8782958984375,1377.953369140625,1289.2305908203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.4199981689453,-49.345001220703125,1.7120000123977661,163.4199981689453,-49.345001220703125,1.7120000123977661,163.26300048828125,-43.58700180053711,6.206999778747559,163.6790008544922,-43.91899871826172,4.664999961853027,163.6790008544922,-43.91899871826172,4.664999961853027,163.56700134277344,-53.0099983215332,1.4320000410079956,163.56700134277344,-53.0099983215332,1.4320000410079956,163.50999450683594,-53.27799987792969,-0.7260000109672546,163.50999450683594,-53.27799987792969,-0.7260000109672546,163.4199981689453,-49.345001220703125,1.7120000123977661,9.051353376516424,26.810143656212304,-1.0,0.008631221719457014,14.5,4.12,11.99,0
L-1:9,2.396423427139816,3.4066871279580253,6.003488076286431,2.6145907798100834,3.8417113584732383,1.544882833238299,6.214929442772523,3.079104381456331,1.0760676059483458,3.7767169518565056,942.3043212890625,286.2713317871094,1052.9271240234375,800.5529174804688,297.0970764160156,1582.667236328125,136.34332275390625,1036.529541015625,0.0,0.0,781.0903930664063,66.07755279541016,1093.3604736328125,981.699462890625,496.0132751464844,1216.712890625,435.2666320800781,1381.02294921875,1467.62939453125,905.716552734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.5970001220703,-50.41899871826172,3.443000078201294,161.61199951171875,-45.73099899291992,5.678999900817871,161.62600708007813,-46.194000244140625,4.617000102996826,161.62600708007813,-46.194000244140625,4.617000102996826,161.7989959716797,-49.37200164794922,3.7829999923706055,161.7480010986328,-52.40700149536133,0.8209999799728394,161.6739959716797,-51.930999755859375,3.188999891281128,161.6739959716797,-51.930999755859375,3.188999891281128,161.6739959716797,-51.930999755859375,3.188999891281128,161.5970001220703,-50.41899871826172,3.443000078201294,10.306816687970036,5.641938345614921,-1.0,0.010420835145715528,2.0,0.0,13.69,0
L-1:10,8.744639649603704,2.9233071777231916,5.050343795114549,3.6672719703214423,8.736678254666737,4.080056600847165,1.947343698596591,5.476368960222035,1.578336598117198,1.404892649437024,1039.598876953125,133.0765380859375,813.0704956054688,653.2515258789063,464.44677734375,1379.5203857421875,277.3047180175781,1380.046630859375,839.1595458984375,643.2274780273438,1429.6566162109375,37.65267562866211,795.883056640625,861.0560913085938,450.0730285644531,1173.8997802734375,179.46237182617188,1287.739013671875,1668.05224609375,1046.9029541015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.76600646972656,-45.85100173950195,0.5360000133514404,161.76600646972656,-45.85100173950195,0.5360000133514404,161.77499389648438,-50.79999923706055,-0.5130000114440918,161.77499389648438,-50.79999923706055,-0.5130000114440918,161.7740020751953,-51.24399948120117,-0.04800000041723251,161.7740020751953,-51.24399948120117,-0.04800000041723251,161.75,-52.21200180053711,1.3389999866485596,161.75,-52.21200180053711,1.3389999866485596,161.75,-52.21200180053711,1.3389999866485596,161.71400451660156,-45.430999755859375,2.562000036239624,2.6815957899940313,5.042985852359289,1.0,0.010468357609241587,1.0,0.0,11.91,0
