Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.280304716183168,6.065423567621972,0.9316272193044332,6.05798195075516,8.184789324605715,4.282724931899491,1.8790272437913007,4.609581376734381,2.5843442490227773,3.7316598079292795,1046.1956787109375,48.98419952392578,511.1529235839844,605.0892944335938,151.02978515625,684.429443359375,104.06085968017578,976.570068359375,542.7474365234375,387.55950927734375,1040.21875,127.71546173095703,1020.2305297851563,610.4945068359375,281.52069091796875,727.5324096679688,346.0254211425781,1064.9281005859375,687.2024536132813,585.791259765625,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.33725491166114807,0.3176470696926117,0.29411765933036804,0.2823529541492462,0.2862745225429535,0.2980392277240753,0.30588236451148987,0.30588236451148987,0.2980392277240753,0.3137255012989044,259.0,-94.80000305175781,5.5,259.1000061035156,-94.70000457763672,5.5,259.1000061035156,-95.0,5.300000190734863,259.1000061035156,-95.30000305175781,4.900000095367432,258.8999938964844,-95.80000305175781,3.799999952316284,255.40000915527344,-99.30000305175781,3.4000000953674316,255.0,-99.5999984741211,3.1000001430511475,255.10000610351563,-99.20000457763672,3.5,256.6000061035156,-97.0,4.200000286102295,258.20001220703125,-95.4000015258789,5.099999904632568,1.0642980666995732,3.4354331379182876,1.0,0.01310931899641577,3.333333432674408,0.0,22.99,36
L-1:2,1.6451840897908443,1.2227394717707185,5.642995937618206,6.117890243899405,0.8031216560140603,1.6770122395255822,2.849038037023753,1.944679758286115,3.442052431968831,2.151406775420432,972.1353149414063,77.36607360839844,410.7521057128906,296.04412841796875,227.91561889648438,848.4550170898438,40.50185775756836,466.7410583496094,539.2567749023438,488.1243896484375,663.6883544921875,64.25135803222656,651.3257446289063,476.775634765625,340.98529052734375,870.0669555664063,361.5246276855469,911.3751220703125,866.3092041015625,533.18603515625,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.32549020648002625,0.32549020648002625,0.3333333432674408,0.33725491166114807,0.30588236451148987,0.30980393290519714,0.30980393290519714,0.32156863808631897,0.33725491166114807,0.32549020648002625,259.3000183105469,-92.4000015258789,5.5,259.8000183105469,-92.0,5.700000286102295,259.8999938964844,-91.9000015258789,5.599999904632568,259.8999938964844,-92.0999984741211,5.300000190734863,259.1000061035156,-93.0,4.5,258.3999938964844,-93.70000457763672,3.6000001430511475,258.0,-94.0999984741211,3.299999952316284,257.8000183105469,-93.9000015258789,3.4000000953674316,258.6000061035156,-92.4000015258789,3.6000001430511475,259.3000183105469,-92.4000015258789,5.5,7.670819049544749,1.8838078007632653,1.0,0.014349747474747475,2.0000000596046448,0.0,22.73,68
L-1:3,2.647263571283273,0.5432277490479052,3.003943244893276,5.722799558209189,1.7657627073776534,1.4689963068491585,1.6337034138153814,4.156507322191575,4.4597105177275855,3.414540013486672,768.4361572265625,8.93107795715332,665.1032104492188,429.0029602050781,151.68606567382813,787.4085083007813,226.35964965820313,830.5774536132813,518.386962890625,402.3623046875,795.0956420898438,17.872705459594727,467.8443298339844,367.7163391113281,385.0372314453125,905.9121704101563,290.5617980957031,819.7896728515625,970.644287109375,703.92626953125,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3294117748737335,0.3294117748737335,0.32156863808631897,0.3137255012989044,0.3450980484485626,0.3450980484485626,0.3490196168422699,0.33725491166114807,0.32549020648002625,0.32549020648002625,258.3000183105469,-88.5999984741211,10.90000057220459,258.3999938964844,-88.0999984741211,11.0,258.70001220703125,-88.30000305175781,10.800000190734863,258.20001220703125,-90.80000305175781,8.40000057220459,257.6000061035156,-91.5999984741211,7.200000286102295,257.0,-92.20000457763672,6.300000190734863,256.3999938964844,-92.5,5.900000095367432,256.3000183105469,-92.4000015258789,5.5,256.8000183105469,-91.5,6.0,258.5,-89.5,7.300000190734863,6.156931099686792,1.1045016253004922,1.0,0.012936458005662158,1.0000000298023224,0.0,23.5,108
L-1:4,12.805047033270084,8.445350152186435,4.452981201291101,7.6366809565767495,2.5770936759029017,12.209501880960183,2.4073759178758722,2.7281574608558152,3.6951813204653585,8.394570600765942,930.7564086914063,78.94129943847656,616.4638671875,319.09576416015625,263.74420166015625,814.9351196289063,169.8048095703125,726.0097045898438,538.988525390625,629.8419799804688,645.0455322265625,58.372745513916016,810.79638671875,595.524658203125,81.93197631835938,674.4140625,423.642822265625,1299.621826171875,733.3670043945313,478.3896179199219,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3529411852359772,0.3529411852359772,0.3294117748737335,0.32156863808631897,0.3137255012989044,0.33725491166114807,0.32156863808631897,0.3137255012989044,0.3137255012989044,0.3450980484485626,257.8000183105469,-94.20000457763672,4.0,258.20001220703125,-93.70000457763672,4.200000286102295,258.20001220703125,-93.5,4.099999904632568,258.1000061035156,-94.20000457763672,3.5,257.3999938964844,-95.30000305175781,2.5,255.6999969482422,-97.20000457763672,1.2000000476837158,255.10000610351563,-97.5,0.5,254.60000610351563,-97.80000305175781,0.20000000298023224,254.60000610351563,-96.70000457763672,3.200000047683716,256.8000183105469,-94.80000305175781,3.5,9.25024269703376,10.963247594593764,1.0,0.013233471074380165,3.000000089406967,3.9,23.79,108
L-1:5,0.7659205150969471,4.688103651259832,3.005766196773795,4.641633503260017,3.5345173817220563,2.8118335569715156,3.078550362400595,3.1825009233921255,1.208699771279736,0.663540237955928,917.4750366210938,27.1059627532959,1168.6290283203125,516.1984252929688,116.63420104980469,917.2683715820313,106.73465728759766,855.5370483398438,685.7898559570313,695.6537475585938,960.5311279296875,63.58965301513672,868.0333862304688,515.1773681640625,201.17648315429688,989.0189819335938,293.9898681640625,909.1954956054688,715.5188598632813,496.7259521484375,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.35686275362968445,0.3529411852359772,0.32156863808631897,0.3137255012989044,0.30980393290519714,0.33725491166114807,0.3333333432674408,0.3294117748737335,0.32156863808631897,0.33725491166114807,263.0,-92.5,4.300000190734863,263.0,-92.5,4.300000190734863,260.70001220703125,-93.30000305175781,4.800000190734863,260.70001220703125,-93.30000305175781,4.800000190734863,260.0,-95.30000305175781,3.200000047683716,258.3000183105469,-97.5,2.5,257.6000061035156,-98.5999984741211,2.1000001430511475,257.8000183105469,-97.80000305175781,2.4000000953674316,259.1000061035156,-95.80000305175781,3.299999952316284,261.6000061035156,-93.30000305175781,3.9000000953674316,7.061755517562199,1.3178223768647348,1.0,0.012068536931818181,1.0000000298023224,0.0,19.42,32
L-1:6,3.579802101424009,2.8271164674355664,2.1150752881636734,0.27698101894254945,0.9453609966343749,2.094145123966838,2.1159039539575915,2.6091556914811123,2.750813391965964,2.8718736038555286,1233.9736328125,171.3275604248047,707.8544311523438,459.91192626953125,122.29182434082031,890.6991577148438,71.36812591552734,198.7355499267578,519.7088623046875,447.5580749511719,1015.074462890625,3.561251401901245,1143.387451171875,511.720947265625,194.17379760742188,1131.9239501953125,578.0886840820313,1282.3126220703125,848.5814819335938,727.7885131835938,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.32549020648002625,0.32156863808631897,0.30588236451148987,0.32156863808631897,0.30980393290519714,0.32156863808631897,0.32156863808631897,0.32549020648002625,0.3450980484485626,0.32156863808631897,257.8000183105469,-88.5999984741211,11.0,258.20001220703125,-88.70000457763672,11.0,258.6000061035156,-89.0,10.40000057220459,258.8000183105469,-91.0999984741211,8.5,259.3000183105469,-92.4000015258789,6.700000286102295,258.1000061035156,-95.5,4.099999904632568,258.1000061035156,-95.5,4.099999904632568,257.3999938964844,-95.5999984741211,3.4000000953674316,255.6999969482422,-91.30000305175781,9.600000381469727,257.3000183105469,-88.9000015258789,10.699999809265137,4.006253090700548,7.475646030047394,1.0,0.012406990699069908,2.6666667461395264,0.0,23.63,4
L-1:7,2.0689165515765624,4.299816331392867,3.1850975334403073,2.3976308340778267,3.890592940010691,4.396626224355182,1.662557221360986,4.336707444463531,7.8244968893589375,4.9423579965714755,1137.653564453125,2.7708775997161865,749.3303833007813,515.4293823242188,198.10549926757813,592.24755859375,408.8847961425781,860.9754028320313,560.6632690429688,430.1306457519531,1116.765625,111.5164566040039,1063.8677978515625,760.4022827148438,153.14476013183594,926.470458984375,637.3348999023438,1653.67041015625,835.9089965820313,973.576171875,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3450980484485626,0.34117648005485535,0.32156863808631897,0.3176470696926117,0.32549020648002625,0.3294117748737335,0.32156863808631897,0.3137255012989044,0.30588236451148987,0.3137255012989044,254.5,-94.5999984741211,4.700000286102295,255.3000030517578,-94.0,5.099999904632568,255.6999969482422,-94.20000457763672,4.800000190734863,255.3000030517578,-97.70000457763672,2.0,254.10000610351563,-99.5,0.800000011920929,252.90000915527344,-101.20000457763672,0.5,252.90000915527344,-101.20000457763672,0.5,252.6999969482422,-101.5,0.5,251.3000030517578,-97.30000305175781,3.700000047683716,251.3000030517578,-97.30000305175781,3.700000047683716,10.25858253265075,6.990325429227915,1.0,0.011039944903581267,2.6666667461395264,0.0,20.61,0
L-1:8,8.07491397938894,0.22833929927573932,4.055524370450526,3.1810223523430308,16.368608899715827,15.530598460230886,1.6872011306717654,4.728119814924477,11.506265022563001,16.557988540213408,1296.126708984375,318.8258056640625,566.9598388671875,390.6878662109375,297.3268737792969,962.3614501953125,63.97843933105469,1252.0452880859375,563.1923217773438,593.5956420898438,1159.6136474609375,75.12584686279297,821.728271484375,757.0582275390625,235.2452850341797,1099.5072021484375,394.32421875,784.5386352539063,743.1954956054688,543.6101684570313,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3294117748737335,0.3294117748737335,0.3333333432674408,0.3294117748737335,0.3137255012989044,0.32549020648002625,0.32549020648002625,0.3137255012989044,0.3490196168422699,0.32549020648002625,262.6000061035156,-87.5,4.400000095367432,261.3000183105469,-89.0,4.400000095367432,261.20001220703125,-89.5999984741211,4.099999904632568,261.1000061035156,-90.80000305175781,3.299999952316284,260.3000183105469,-92.5999984741211,2.4000000953674316,259.3000183105469,-93.80000305175781,1.5,258.3999938964844,-94.9000015258789,1.3000000715255737,259.1000061035156,-93.70000457763672,1.8000000715255737,260.3000183105469,-91.80000305175781,2.6000001430511475,261.70001220703125,-89.5999984741211,4.0,11.904113212859532,11.642643195274035,1.0,0.01101149577167019,1.0000000298023224,4.06,23.81,0
L-1:9,1.7074947773042084,4.3447135458810955,4.293093785960468,5.325534017732785,0.7299584921154397,1.3218854486643412,1.3877211407405583,2.1588953761739456,2.605350334459507,1.3185309911102756,928.1416015625,124.32072448730469,800.2555541992188,530.8253173828125,168.8150634765625,753.0706787109375,121.5124740600586,785.3280639648438,507.1869812011719,401.4427795410156,800.233642578125,14.088038444519043,976.6121826171875,779.4732666015625,568.3859252929688,1026.376953125,502.0130615234375,1294.439453125,696.822265625,511.0858154296875,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.32549020648002625,0.3294117748737335,0.32549020648002625,0.33725491166114807,0.32549020648002625,0.32549020648002625,0.32156863808631897,0.3176470696926117,0.32549020648002625,0.32549020648002625,260.3999938964844,-91.0,3.700000047683716,262.20001220703125,-89.9000015258789,3.700000047683716,262.3999938964844,-90.4000015258789,3.5,262.3999938964844,-91.4000015258789,2.700000047683716,260.1000061035156,-95.4000015258789,1.7000000476837158,258.8000183105469,-96.70000457763672,1.5,255.1999969482422,-97.20000457763672,3.299999952316284,254.8000030517578,-97.30000305175781,3.6000001430511475,257.6000061035156,-93.5,4.0,257.6000061035156,-93.5,4.0,12.730450850674906,2.902556984203454,1.0,0.012054774878118726,2.3333334028720856,0.0,24.02,0
L-1:10,3.253477510565002,3.5682598155239504,2.6497118449023582,3.9020919521996618,4.499127425502253,3.363640918607422,5.216684924375021,4.51675313442443,2.775310427457626,1.296113930726033,1059.9840087890625,0.8142239451408386,550.7947387695313,476.936279296875,198.16542053222656,699.0863037109375,198.3806915283203,794.92431640625,548.1728515625,396.8334045410156,590.0060424804688,65.2012939453125,480.7690124511719,494.7201232910156,362.4691467285156,818.1096801757813,133.899658203125,736.41748046875,841.8319702148438,489.68292236328125,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3176470696926117,0.30980393290519714,0.32549020648002625,0.32156863808631897,0.30980393290519714,0.3137255012989044,0.3176470696926117,0.32549020648002625,0.3490196168422699,0.3333333432674408,263.3000183105469,-89.5999984741211,5.599999904632568,258.3999938964844,-90.20000457763672,10.0,258.6000061035156,-91.5,8.90000057220459,259.0,-92.80000305175781,7.599999904632568,259.6000061035156,-93.5999984741211,6.599999904632568,259.8000183105469,-94.80000305175781,4.800000190734863,259.8000183105469,-95.0,4.900000095367432,260.6000061035156,-94.0999984741211,4.5,261.3000183105469,-92.20000457763672,4.599999904632568,262.5,-90.20000457763672,4.900000095367432,3.860574623696459,3.642759836227028,1.0,0.013838118022328549,2.6666667461395264,0.0,24.79,0
L-1:11,6.973198372740839,2.0578343565966293,1.3781405017664143,0.7378081934276941,2.715018131560188,5.882212922936376,1.7432222584499186,2.280367564938073,9.411701160294436,7.349975557255538,1206.62109375,24.886457443237305,999.7706298828125,559.6546630859375,377.7314453125,768.2677001953125,241.1560516357422,941.6712036132813,616.5689697265625,311.0858459472656,844.7783813476563,48.842628479003906,724.14599609375,429.95330810546875,248.8511505126953,947.7197265625,503.0878601074219,1400.1669921875,839.0064697265625,829.1444091796875,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3294117748737335,0.3176470696926117,0.3137255012989044,0.32156863808631897,0.3450980484485626,0.34117648005485535,0.33725491166114807,0.34117648005485535,0.32156863808631897,0.3294117748737335,257.70001220703125,-86.9000015258789,11.199999809265137,257.70001220703125,-86.9000015258789,11.199999809265137,258.20001220703125,-87.0999984741211,11.100000381469727,258.5,-90.80000305175781,9.5,258.8000183105469,-91.0999984741211,9.199999809265137,256.8000183105469,-91.9000015258789,7.900000095367432,256.20001220703125,-91.5999984741211,8.300000190734863,256.70001220703125,-89.30000305175781,9.199999809265137,256.70001220703125,-89.30000305175781,9.199999809265137,257.3999938964844,-87.5999984741211,10.40000057220459,5.732843316498331,10.31877851699865,1.0,0.011973371777476255,6.333333522081375,0.0,20.17,0
L-1:12,1.4271914909716163,3.322449546312679,7.425027061508185,16.61462002153477,2.157634378853567,1.5379249500062553,6.341571111168695,7.05442977019978,2.443169999991713,1.0648253518832405,837.9524536132813,43.284339904785156,590.8911743164063,506.1629333496094,108.35844421386719,745.82177734375,223.52261352539063,641.5872802734375,399.4018249511719,446.44476318359375,688.5288696289063,20.07582664489746,1202.6116943359375,525.7429809570313,348.3061828613281,1220.055419921875,266.88970947265625,1410.178466796875,841.2223510742188,567.669189453125,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3294117748737335,0.32156863808631897,0.2980392277240753,0.3294117748737335,0.3176470696926117,0.32549020648002625,0.32156863808631897,0.32549020648002625,0.3294117748737335,0.3294117748737335,252.0,-85.4000015258789,15.600000381469727,252.10000610351563,-84.9000015258789,15.90000057220459,252.6999969482422,-86.30000305175781,14.600000381469727,254.10000610351563,-89.20000457763672,10.800000190734863,255.8000030517578,-89.9000015258789,8.199999809265137,257.70001220703125,-92.0999984741211,3.9000000953674316,257.8999938964844,-93.30000305175781,2.1000001430511475,257.8999938964844,-93.5,1.600000023841858,252.10000610351563,-89.30000305175781,11.600000381469727,252.0,-86.70000457763672,14.40000057220459,9.913146800254957,2.092368972888878,1.0,0.011520520162252445,2.3333334028720856,3.5,27.59,0
