Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.008231202564801,0.9001217513275408,0.6981397183115013,3.4152972685899976,1.4700550309877307,2.1591734697727873,0.1387923571406518,1.7045585040300768,0.206575186329075,0.88189891418701,406.9393310546875,20.033466339111328,466.8768005371094,186.3708038330078,117.7356185913086,428.43035888671875,234.98915100097656,313.3749084472656,324.03387451171875,214.82334899902344,427.6117858886719,72.64328002929688,55.795753479003906,30.944318771362305,205.19879150390625,523.5103759765625,56.08431625366211,393.30548095703125,443.6910705566406,442.40277099609375,0.6384953856468201,0.7059110999107361,0.7396189570426941,0.772838294506073,0.7870053648948669,0.7860283255577087,0.19980458915233612,0.3282853066921234,0.43429407477378845,0.5549584627151489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.24998474121094,-0.5183444023132324,-0.6843029260635376,231.2501220703125,-0.5229108333587646,-0.6877648830413818,231.25027465820312,-0.5305797457695007,-0.7147036194801331,231.2506866455078,-0.5393885970115662,-0.7456212639808655,231.25062561035156,-0.5468713641166687,-0.7549299597740173,231.25067138671875,-0.552659809589386,-0.751606285572052,231.25021362304688,-0.5042312741279602,-0.6988868117332458,231.25021362304688,-0.5042312741279602,-0.6988868117332458,231.25021362304688,-0.5042312741279602,-0.6988868117332458,231.2500457763672,-0.5147824287414551,-0.6858996748924255,2.849475331706022,4.512016378229285,-1.0,0.02412108638249717,0.761904776096344,0.0,36.54,100
L-1:2,2.249961187694677,0.8497811809129788,1.224287860713422,2.0055998256277743,3.4833140197348693,4.637132763143279,1.2334024303461535,0.4911920926860081,1.9886972998312737,2.9288661932186275,599.9462280273438,109.10147857666016,582.224853515625,312.53594970703125,303.4471130371094,444.390869140625,125.85305786132812,294.48052978515625,289.45782470703125,31.497671127319336,265.10260009765625,21.694072723388672,333.27886962890625,200.19583129882812,8.768997192382812,407.71356201171875,61.783485412597656,554.42236328125,595.4075927734375,354.22711181640625,0.7274059653282166,0.7508549094200134,0.7860283255577087,0.47288715839385986,0.6106497049331665,0.6424035429954529,0.6463117003440857,0.6472887396812439,0.6614558100700378,0.7000488638877869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.24618530273438,-0.5580927729606628,-0.6751253008842468,231.24620056152344,-0.5596311092376709,-0.6782781481742859,231.24636840820312,-0.5814796686172485,-0.7071871757507324,231.24644470214844,-0.5616055727005005,-0.7048994302749634,231.24658203125,-0.5590670704841614,-0.7157560586929321,231.24658203125,-0.5590670704841614,-0.7157560586929321,231.24658203125,-0.5590670704841614,-0.7157560586929321,231.24644470214844,-0.5565405488014221,-0.7085704207420349,231.24620056152344,-0.5557142496109009,-0.6800849437713623,231.24618530273438,-0.5580927729606628,-0.6751253008842468,2.587245877773762,7.00628900796565,-1.0,0.024172979797979794,1.523809552192688,0.0,38.29,76
L-1:3,0.2867124770474777,1.7128378139918203,4.768991943828978,3.1559504405479246,6.807478264870333,0.47512755964103515,2.5155283547849945,3.0288937746645472,1.729073970050107,2.8633339706730916,734.2960205078125,3.9009575843811035,378.64508056640625,341.9424133300781,214.98486328125,388.95843505859375,108.51966857910156,628.2930297851562,468.8657531738281,367.0863037109375,615.95654296875,75.98397064208984,431.7579345703125,299.5244140625,232.3233642578125,672.3189697265625,174.58164978027344,505.5577392578125,243.94216918945312,405.02490234375,0.7962872385978699,0.80166095495224,0.7762579321861267,0.7347337603569031,0.6731802821159363,0.6321446299552917,0.6091841459274292,0.5388373136520386,0.8466047644615173,0.8461162447929382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.18777465820312,-0.5795460939407349,-0.7679229974746704,231.18795776367188,-0.5711924433708191,-0.7861588001251221,231.188232421875,-0.5627496838569641,-0.8173131346702576,231.18942260742188,-0.5568084716796875,-0.8482746481895447,231.20399475097656,-0.5503861904144287,-0.7442994713783264,231.21043395996094,-0.5513877868652344,-0.6843445897102356,231.2117156982422,-0.5764023661613464,-0.8193495869636536,231.21170043945312,-0.5744259357452393,-0.8237395286560059,231.1867218017578,-0.5851731300354004,-0.6673098802566528,231.1873321533203,-0.5852115154266357,-0.7210792899131775,7.563290917497713,1.6419812907384093,1.0,0.01986907114624506,1.142857164144516,0.0,34.47,96
L-1:4,9.11506066062917,5.011671007000256,12.494640209768471,13.254350484841314,15.473188516677233,13.517417751048367,8.08330034838394,5.129923998572538,5.151155683609162,10.411206998952578,2.924997568130493,118.2730941772461,737.1775512695312,1021.1654052734375,241.66587829589844,844.037841796875,561.6922607421875,952.673828125,731.2774047851562,582.100830078125,1111.9013671875,8.577515602111816,1115.8055419921875,576.4456787109375,599.3409423828125,993.2086181640625,693.1749877929688,1381.42919921875,832.7672729492188,863.998779296875,0.23302394151687622,0.594040036201477,0.6780654788017273,0.7274059653282166,0.7669760584831238,0.7870053648948669,0.7762579321861267,0.767953097820282,0.7694186568260193,0.7796775698661804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.18191528320312,-0.5696201324462891,-0.7154738903045654,231.1819305419922,-0.5723233222961426,-0.7116861939430237,231.1819305419922,-0.5727934837341309,-0.7152151465415955,231.1819305419922,-0.5727934837341309,-0.7152151465415955,231.18203735351562,-0.5748640298843384,-0.7254828214645386,231.18203735351562,-0.5748538374900818,-0.727892279624939,231.18203735351562,-0.5748538374900818,-0.727892279624939,231.1820526123047,-0.5748945474624634,-0.7272764444351196,231.1819305419922,-0.5752056241035461,-0.7093820571899414,231.1819305419922,-0.5752056241035461,-0.7093820571899414,5.69365035689795,14.811607916847318,-1.0,0.01163445199660153,8.000000149011612,4.19,15.65,100
L-1:5,3.5849440847665988,0.8373724408955645,1.9249902184102883,0.6566440950988276,0.702435848090856,2.328293611395738,3.957164845130181,1.0393294185783988,0.27215438676640147,9.271327049405855,558.987548828125,89.99209594726562,453.049072265625,266.0521545410156,311.4345397949219,426.4042663574219,15.130268096923828,589.9219970703125,710.7286987304688,249.48692321777344,548.2858276367188,74.16700744628906,494.1392517089844,371.4654235839844,136.0233154296875,533.0142211914062,9.863760948181152,688.7285766601562,300.978759765625,355.7768859863281,0.6663410067558289,0.6726917624473572,0.6893014311790466,0.7230092883110046,0.7738153338432312,0.7611138224601746,0.5803614854812622,0.6067415475845337,0.6116267442703247,0.633610188961029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.17599487304688,-0.5039529204368591,-0.7727904319763184,231.17599487304688,-0.5039529204368591,-0.7727904319763184,231.17599487304688,-0.5047520995140076,-0.7745710015296936,231.17611694335938,-0.5039076805114746,-0.7911928296089172,231.1762237548828,-0.5004444122314453,-0.8045272827148438,231.17625427246094,-0.4929838478565216,-0.8118823170661926,231.1758575439453,-0.5056086778640747,-0.7706612348556519,231.17599487304688,-0.5039529204368591,-0.7727904319763184,231.17599487304688,-0.5039529204368591,-0.7727904319763184,231.17599487304688,-0.5039529204368591,-0.7727904319763184,1.9387255896868816,2.3251076246420865,-1.0,0.019309947299077732,1.523809552192688,0.0,33.5,68
L-1:6,4.92242941689753,2.803488299647379,2.4266591771463917,3.0087755044390536,5.925921197464289,2.0663694528976064,2.529738782612485,0.985543860782667,3.3109675607873013,3.4371612156872944,821.4805297851562,207.7628936767578,447.1159362792969,295.6728820800781,153.85958862304688,551.85791015625,313.5997009277344,552.8418579101562,435.188232421875,353.7512512207031,699.1632690429688,27.018415451049805,680.2723388671875,475.9557800292969,148.51998901367188,483.313232421875,134.55894470214844,362.67864990234375,674.4735717773438,267.2824401855469,0.7215437293052673,0.7523204684257507,0.7703956961631775,0.8050805926322937,0.8094772696495056,0.8260869383811951,0.8119198679924011,0.4489496946334839,0.6170004606246948,0.6868588328361511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.18418884277344,-0.4891825318336487,-0.6701036691665649,231.184326171875,-0.4933472275733948,-0.6889984607696533,231.18460083007812,-0.49724897742271423,-0.7105627655982971,231.18508911132812,-0.5020561814308167,-0.7673771381378174,231.18553161621094,-0.5059296488761902,-0.805448055267334,231.18551635742188,-0.5063605308532715,-0.8066709041595459,231.18301391601562,-0.48193442821502686,-0.6624313592910767,231.184326171875,-0.4920404255390167,-0.6784613728523254,231.184326171875,-0.4920404255390167,-0.6784613728523254,231.18418884277344,-0.4891825318336487,-0.6701036691665649,0.1433044908634329,1.0565719053956955,-1.0,0.01779904306220096,1.523809552192688,0.0,29.76,0
L-1:7,1.8776755470774538,1.304686398571835,4.418995205418675,5.387596641588552,0.46422253230603555,3.671438488748892,2.3319609329040847,1.8945380688751232,6.410567697921691,13.274753123541863,800.0814208984375,154.3030242919922,732.2573852539062,683.4036865234375,98.14163208007812,530.170166015625,186.7498779296875,490.0181884765625,333.4792175292969,335.0328674316406,648.5018310546875,16.2180233001709,504.48681640625,504.3381652832031,193.5234375,527.6141357421875,199.3217010498047,686.0393676757812,631.4755859375,419.30267333984375,0.782608687877655,0.6614558100700378,0.7000488638877869,0.7498778700828552,0.7669760584831238,0.7459697127342224,0.7147044539451599,0.7928676009178162,0.7840742468833923,0.7518319487571716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.16275024414062,-0.5079366564750671,-0.7935264110565186,231.16404724121094,-0.500461757183075,-0.9466102123260498,231.16390991210938,-0.5059683918952942,-0.9359049797058105,231.16390991210938,-0.5074164867401123,-0.9336761832237244,231.16390991210938,-0.5089007616043091,-0.9305750727653503,231.1636962890625,-0.5054424405097961,-0.902236819267273,231.16346740722656,-0.5032125115394592,-0.8827457427978516,231.16334533691406,-0.5003958344459534,-0.8679289817810059,231.1630096435547,-0.5002443194389343,-0.8321536779403687,231.1629180908203,-0.5023468732833862,-0.8113067150115967,2.3139833721532437,4.631934828544825,-1.0,0.017211791831357046,0.380952388048172,0.0,29.86,0
L-1:8,13.549405338643643,4.8191700307007705,1.2211752233164475,0.6142354649786829,4.397128314202963,2.3126059051061514,5.8637625563577345,8.142707159014561,8.328494809950563,9.542906857145082,1894.8138427734375,521.8369750976562,1542.174560546875,1234.4229736328125,711.2549438476562,1609.450439453125,310.4207458496094,1366.101318359375,521.15576171875,759.936279296875,633.8905639648438,128.30581665039062,1060.63427734375,722.562744140625,68.02191162109375,937.16943359375,385.6297607421875,1412.962158203125,742.805908203125,1240.545166015625,0.7498778700828552,0.7601367831230164,0.772838294506073,0.7992183566093445,0.8246213793754578,0.8431851267814636,0.5759648084640503,0.7264289259910583,0.7645334601402283,0.7308256030082703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.14466857910156,-0.4682110846042633,-0.6738898158073425,231.1446990966797,-0.47005388140678406,-0.673755407333374,231.1446990966797,-0.47005388140678406,-0.673755407333374,231.1448211669922,-0.47661706805229187,-0.6887117028236389,231.1449432373047,-0.4779617488384247,-0.7042195796966553,231.1449432373047,-0.47812792658805847,-0.704934298992157,231.145751953125,-0.4816264808177948,-0.9009832739830017,231.14576721191406,-0.48340654373168945,-0.9001836180686951,231.14976501464844,-0.47282448410987854,-0.7496888041496277,231.14976501464844,-0.47282448410987854,-0.7496888041496277,5.930002729030691,4.767446027066096,-1.0,0.009287639238232124,1.90476194024086,4.73,14.77,0
L-1:9,0.1295758580536084,0.4886982335273651,0.4510236527488328,2.757469500934183,1.8835188396534752,1.1655850141763882,2.500241990254603,4.436866864849179,0.3995199378704566,0.3945877562617742,406.56280517578125,160.13327026367188,448.5248107910156,329.96661376953125,52.39384460449219,440.2547912597656,71.52116394042969,315.4372863769531,394.7932434082031,113.26560974121094,435.506103515625,14.915328979492188,425.9927062988281,239.16778564453125,158.65834045410156,540.8187866210938,20.443750381469727,308.1669616699219,537.5411987304688,441.2835998535156,0.7059110999107361,0.7557401061058044,0.7928676009178162,0.8158280253410339,0.8299950957298279,0.8119198679924011,0.7806546092033386,0.43722519278526306,0.5373717546463013,0.5969711542129517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.09765625,-0.5690603852272034,-0.8616170287132263,231.0971221923828,-0.5696381330490112,-0.8160369992256165,231.0968780517578,-0.57051020860672,-0.7900335192680359,231.09686279296875,-0.5650161504745483,-0.7837228775024414,231.09689331054688,-0.5567626357078552,-0.7807937860488892,231.09689331054688,-0.5567626357078552,-0.7807937860488892,231.09689331054688,-0.5564661622047424,-0.7814141511917114,231.09854125976562,-0.5530862808227539,-0.9524241089820862,231.09829711914062,-0.5644580721855164,-0.9230561852455139,231.09796142578125,-0.5675626993179321,-0.8870688080787659,4.101772537801705,3.7858876401050936,-1.0,0.02575934579439252,1.142857164144516,0.0,34.65,0
L-1:10,3.264878027935818,1.5074490337962592,1.1047628065740616,4.346680599179028,1.805155822279583,3.393560075925856,4.962724933841393,2.880136779681699,5.175570691398426,0.6343681901558396,566.722900390625,15.83708381652832,419.305419921875,437.2926025390625,191.25706481933594,337.9482116699219,266.337646484375,552.5545654296875,300.24688720703125,75.48314666748047,278.5644226074219,28.300575256347656,569.8072509765625,348.576416015625,247.13296508789062,938.8729858398438,221.7468719482422,379.39404296875,424.82183837890625,418.44561767578125,0.686370313167572,0.7215437293052673,0.7894479632377625,0.816316545009613,0.37567171454429626,0.4509037733078003,0.4548119306564331,0.4616512060165405,0.5613092184066772,0.633610188961029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.09034729003906,-0.552623450756073,-0.7214815616607666,231.09048461914062,-0.5563153624534607,-0.7302324771881104,231.0908660888672,-0.5554791688919067,-0.7697161436080933,231.09103393554688,-0.5553638339042664,-0.7949387431144714,231.09048461914062,-0.5537616610527039,-0.7278684973716736,231.09048461914062,-0.5537616610527039,-0.7278684973716736,231.09048461914062,-0.5537616610527039,-0.7278684973716736,231.09048461914062,-0.5537616610527039,-0.7278684973716736,231.09048461914062,-0.5532666444778442,-0.7259806394577026,231.09034729003906,-0.552623450756073,-0.7214815616607666,4.823482290434342,3.449363532717423,-1.0,0.024166331456154464,5.333333432674408,0.0,34.33,0
