Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.9341819538246082,1.4811536167930872,3.1511415045882005,5.052860350153272,7.624766340906602,5.316313328656172,3.5324665600311027,8.221347519021766,7.873476250101617,1.7082927010797704,1011.182861328125,112.80477905273438,532.8553466796875,695.2393798828125,267.0644226074219,848.648193359375,438.2159423828125,991.5608520507812,1121.127197265625,627.6420288085938,1365.2840576171875,54.96427917480469,1069.1314697265625,846.4791259765625,722.81494140625,2183.020263671875,325.7510986328125,1493.676025390625,1109.55810546875,1082.139404296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,147.1107177734375,-5.520867824554443,2.1741180419921875,146.75445556640625,-4.111926078796387,2.635906457901001,146.67529296875,-4.473294258117676,2.1219213008880615,146.539794921875,-4.515022277832031,1.867462396621704,146.53692626953125,-4.376367092132568,1.8170180320739746,146.38055419921875,-4.2683939933776855,2.058391809463501,146.486328125,-4.379668712615967,2.2994582653045654,146.486328125,-4.379668712615967,2.2994582653045654,146.83050537109375,-4.737729072570801,2.3079404830932617,147.02392578125,-5.186464786529541,2.3587865829467773,7.485011063786079,10.831402591855127,-1.0,0.009062351261304143,3.5,0.0,21.76,64
L-1:2,1.4852395200386925,9.110066633471169,2.6535397143752433,10.137065463600074,15.194142952639806,13.546492592101158,8.289782256502768,8.750036845152165,11.324557306940923,5.928762454708452,1577.9056396484375,29.72548484802246,2066.279541015625,730.4210205078125,116.2463607788086,843.9990234375,600.2197875976562,1220.6258544921875,1056.1885986328125,575.8650512695312,1542.4281005859375,10.491037368774414,890.6143188476562,718.7254638671875,478.57110595703125,1422.4434814453125,397.83209228515625,1325.333984375,1186.875244140625,1190.9693603515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,146.9189453125,-5.403664588928223,0.6401645541191101,146.9189453125,-5.403664588928223,0.6401645541191101,146.59841918945312,-5.054161548614502,0.7519159317016602,146.4791259765625,-5.18870735168457,0.3500750958919525,146.25283813476562,-5.112476348876953,0.14938247203826904,145.96511840820312,-4.816842555999756,0.18583203852176666,145.71649169921875,-4.527588844299316,0.613258957862854,146.25067138671875,-4.581625461578369,0.9357724785804749,146.39532470703125,-4.772902011871338,1.2448545694351196,146.80398559570312,-5.195717811584473,1.204293131828308,6.7789859771876095,9.70395665910478,-1.0,0.008473771659150248,6.5,0.0,20.4,68
L-1:3,7.555461287689547,1.6404021368314166,11.325076776913681,5.428159076297682,1.207539228579242,2.8179878100963394,2.073228425192351,3.587781234143855,11.824006787997657,12.473711163868616,2161.8642578125,20.705102920532227,1750.1031494140625,600.7233276367188,589.5574951171875,1576.738037109375,756.3981323242188,1643.14453125,1646.37451171875,990.192138671875,1380.3037109375,13.991026878356934,1643.8919677734375,961.4703369140625,157.4393768310547,1234.9488525390625,402.3182678222656,1864.6123046875,1383.0389404296875,1108.3751220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,146.43124389648438,-4.56531286239624,0.7454102039337158,146.43124389648438,-4.56531286239624,0.7454102039337158,146.466064453125,-4.394499778747559,0.521083414554596,146.10638427734375,-4.483750820159912,0.5072960257530212,147.05227661132812,-3.9098527431488037,1.0907477140426636,147.05227661132812,-3.9098527431488037,1.0907477140426636,146.56881713867188,-4.428150177001953,1.7360728979110718,146.206298828125,-4.5618367195129395,1.7525372505187988,146.08816528320312,-4.706746578216553,1.2059457302093506,146.08816528320312,-4.706746578216553,1.2059457302093506,1.9860698040606635,12.158690921082838,1.0,0.007243422766345402,4.5,0.0,15.89,32
L-1:4,2.0060942307130043,0.8615004001805137,5.713604813189769,12.77975593716414,14.250293461694552,9.769463503426142,10.143212114291051,8.404549773191691,9.482203364267283,5.2752068356316295,2641.384765625,85.71378326416016,1250.9427490234375,450.8193359375,474.0675048828125,1650.23974609375,45.79702377319336,1577.6173095703125,2082.264404296875,1134.189697265625,2555.85546875,114.06297302246094,1865.2196044921875,1370.379638671875,945.3616943359375,2670.60986328125,721.2311401367188,2080.09814453125,2317.8076171875,1260.8848876953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,146.88668823242188,-5.237819671630859,0.9952993988990784,146.82122802734375,-5.116539478302002,0.8030811548233032,146.82122802734375,-5.116539478302002,0.8030811548233032,147.04296875,-4.525097370147705,0.9761465787887573,146.89639282226562,-4.661996841430664,1.3331624269485474,146.89639282226562,-4.661996841430664,1.3331624269485474,146.52236938476562,-5.0302863121032715,1.5048946142196655,146.82513427734375,-5.376768112182617,1.5060062408447266,146.82513427734375,-5.376768112182617,1.5060062408447266,146.88668823242188,-5.237819671630859,0.9952993988990784,6.81745520447974,10.289805991086213,1.0,0.0054725743006993005,6.75,4.38,14.31,64
L-1:5,3.9436108838193604,8.360674614532904,1.5368132948372828,2.991848981427042,3.7073325051357275,1.6881610847014543,5.868895436978215,1.9396097899851974,5.530388767634753,1.2340088344926141,0.0,0.0,1145.039794921875,596.0712280273438,457.2444152832031,1849.4329833984375,347.7481689453125,1538.2235107421875,1193.3289794921875,614.2883911132812,1285.7081298828125,78.3206558227539,1148.70703125,644.0150146484375,217.6523895263672,1366.364990234375,360.0782470703125,1303.106689453125,709.1748657226562,774.0879516601562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,146.45480346679688,-4.6964311599731445,0.20262961089611053,146.82504272460938,-4.6313557624816895,-0.5738740563392639,146.88348388671875,-4.051312446594238,-0.7853143811225891,146.663818359375,-3.947532892227173,-0.5430440902709961,146.663818359375,-3.947532892227173,-0.5430440902709961,146.6907958984375,-4.020766735076904,-0.06081312522292137,146.38211059570312,-4.36411714553833,0.23186706006526947,146.26333618164062,-4.765201091766357,0.3306688964366913,146.37588500976562,-5.023866653442383,0.3006017208099365,146.45269775390625,-5.071304798126221,0.2310389280319214,3.9975964954555527,1.4373643122794717,1.0,0.008527805992889792,0.0,0.0,19.19,68
L-1:6,2.6050324081777276,5.009952155197213,3.8792854553502596,5.30320481273511,19.194124427103837,7.485861357905007,2.7850879651816984,4.7075861694719245,10.767579636810039,6.519998595871905,2081.8076171875,101.33541107177734,1438.8258056640625,1304.4539794921875,575.810302734375,1504.1812744140625,78.62248992919922,1583.4755859375,590.0457153320312,493.9722595214844,960.0468139648438,159.8637237548828,932.7408447265625,590.7352294921875,150.55923461914062,1142.4798583984375,458.0063781738281,1340.0311279296875,452.1424560546875,570.1651611328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,146.61685180664062,-4.800953388214111,-0.7222515940666199,146.61685180664062,-4.800953388214111,-0.7222515940666199,146.65570068359375,-4.431351661682129,-0.8257617950439453,146.69732666015625,-4.249941349029541,-0.7337431907653809,146.61532592773438,-4.24871826171875,-0.5560499429702759,146.3050537109375,-4.4126434326171875,0.1521393358707428,146.18438720703125,-4.638260364532471,0.3272222876548767,146.20361328125,-4.840551376342773,0.26873618364334106,146.2982177734375,-4.855947017669678,0.05205202475190163,146.310546875,-4.743338584899902,-0.07843823730945587,10.668157552796503,13.4307564426622,1.0,0.009022837066315329,0.0,0.0,23.48,68
L-1:7,19.865152090485616,0.43052214699138086,1.0298238083292783,0.4084886803396071,3.7635498729396355,2.503467443999235,5.0371330421719875,5.9397016476312015,2.2070240177797924,10.546127967640624,2536.90380859375,54.72089385986328,1086.6610107421875,462.8698425292969,219.6493377685547,1149.853271484375,364.987060546875,956.1432495117188,929.0230712890625,616.5509643554688,1173.4176025390625,50.721065521240234,1261.935302734375,875.6397094726562,781.716552734375,1831.854248046875,249.9418182373047,2401.306884765625,1593.2576904296875,1244.195068359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,146.47244262695312,-4.817856788635254,0.24999800324440002,146.2830810546875,-4.7787604331970215,-0.15286770462989807,146.45022583007812,-4.8086090087890625,-0.16054466366767883,146.44024658203125,-4.826475620269775,-0.35246360301971436,146.090576171875,-4.769647121429443,-0.28998202085494995,145.7093505859375,-4.509184837341309,-0.055788032710552216,145.7093505859375,-4.509184837341309,-0.055788032710552216,145.70281982421875,-4.56939697265625,0.21406686305999756,145.70281982421875,-4.56939697265625,0.21406686305999756,145.99627685546875,-4.611979007720947,0.5385215282440186,2.7870375176879123,9.016539656656544,-1.0,0.00815027244049326,1.25,0.0,16.24,100
L-1:8,5.5033978456859165,3.1586939481510146,4.812477061337684,7.85661214097661,3.4233386623327604,4.42946057688713,3.6539756074331566,2.0330323614981216,3.0252303197154453,14.368581634735992,2435.05908203125,467.35357666015625,1553.8858642578125,895.9671020507812,408.9379577636719,1389.7822265625,1093.4932861328125,2511.025146484375,2449.13671875,1830.5631103515625,3084.158447265625,121.43588256835938,2189.730224609375,1926.77734375,1005.7536010742188,3615.634765625,179.09988403320312,3124.876708984375,1899.1458740234375,1272.388671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,146.57574462890625,-3.360948085784912,1.5894702672958374,146.57574462890625,-3.360948085784912,1.5894702672958374,146.61376953125,-3.5019328594207764,1.6970455646514893,146.60165405273438,-2.979212760925293,1.2891156673431396,146.41641235351562,-3.1879541873931885,1.55598783493042,146.41641235351562,-3.1879541873931885,1.55598783493042,146.0931396484375,-3.643390655517578,2.0761680603027344,146.0931396484375,-3.643390655517578,2.0761680603027344,146.0931396484375,-3.643390655517578,2.0761680603027344,146.14920043945312,-3.579813241958618,1.8710359334945679,10.792478867139664,13.704973097741318,1.0,0.0049861910241657086,5.5,6.59,12.38,4
L-1:9,6.506166614067746,6.586796341833726,7.415494089379154,5.750890178163086,3.092337606022547,12.37370031448379,19.046214212183784,11.218399759491435,0.8937919681231298,3.1540972090273924,2047.80224609375,555.0430297851562,705.135498046875,1366.5576171875,388.427490234375,1687.1973876953125,276.2297058105469,1338.4495849609375,1093.4932861328125,2511.025146484375,1500.3758544921875,140.84622192382812,1252.4610595703125,920.6978149414062,1020.6358642578125,1756.60205078125,446.34027099609375,1443.1539306640625,1374.901611328125,1118.900634765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,149.19668579101562,-4.242954254150391,1.0525239706039429,149.8551025390625,-3.991473436355591,0.816680908203125,150.19586181640625,-3.7723593711853027,0.9623312950134277,150.29922485351562,-3.7324531078338623,1.2876230478286743,146.60165405273438,-2.979212760925293,1.2891156673431396,148.54132080078125,-2.930952787399292,0.61782306432724,148.4820556640625,-3.3630800247192383,1.2046966552734375,148.27505493164062,-4.111644268035889,1.6757270097732544,148.75949096679688,-4.355918884277344,1.422189712524414,149.19668579101562,-4.242954254150391,1.0525239706039429,17.06001190936443,14.55668028708483,-1.0,0.007107771260997068,0.0,0.0,19.39,4
L-1:10,3.563632718086147,3.1241433554026807,2.571143647231755,7.532360159555014,3.4033798792187704,4.333733955839929,10.28582488709582,9.694898316539831,7.131446465390837,2.9184882853966188,1060.7030029296875,137.32455444335938,1166.3565673828125,812.5419921875,347.753173828125,1166.45458984375,580.6898193359375,890.48388671875,686.8984985351562,629.8217163085938,2148.922119140625,338.54998779296875,1236.51904296875,635.8344116210938,421.8177490234375,1709.6544189453125,565.987060546875,1668.8319091796875,1414.5640869140625,1015.5504760742188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,147.18365478515625,-4.767724514007568,0.7424057126045227,147.45947265625,-4.2906646728515625,0.21256954967975616,147.6026611328125,-3.929044723510742,0.28481799364089966,146.646728515625,-3.9708657264709473,0.22096368670463562,146.76705932617188,-3.5906732082366943,1.237104892730713,146.66226196289062,-3.763154983520508,2.1040608882904053,146.66226196289062,-3.763154983520508,2.1040608882904053,146.54339599609375,-4.57876443862915,2.5938005447387695,146.67605590820312,-5.0717668533325195,2.4166946411132812,146.97323608398438,-5.015519618988037,1.4869365692138672,1.4811694417044468,3.258439537565206,1.0,0.007947314049586778,0.75,0.0,21.98,4
