Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.393534846524831,6.130698738390579,2.4990912125229774,2.3531686516842463,2.428467685337849,1.7743498281801107,10.232942587393403,2.432621144055332,2.2073654928675412,2.3117511583764583,1299.344482421875,90.88314819335938,1254.2000732421875,914.8154907226562,684.0927124023438,1043.66650390625,439.8642578125,1212.856689453125,1213.241943359375,956.1353759765625,1203.94384765625,1.1348397731781006,1091.963134765625,757.413818359375,43.57960510253906,902.448974609375,162.1245574951172,827.825439453125,969.1597900390625,458.2160949707031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,303.55743408203125,-45.32857131958008,-4.713070869445801,303.09765625,-44.735755920410156,-4.379622936248779,302.85150146484375,-44.9879150390625,-4.278981685638428,303.2065124511719,-45.735191345214844,-4.646613597869873,303.2065124511719,-45.735191345214844,-4.646613597869873,303.6326599121094,-46.998497009277344,-5.718096733093262,303.5763854980469,-47.794673919677734,-6.657670497894287,303.86083984375,-48.162376403808594,-7.146664619445801,304.0745849609375,-46.25824737548828,-5.962397575378418,304.19305419921875,-45.86759567260742,-5.443976402282715,8.787087231212139,8.937543395647792,-1.0,0.011592460440583308,2.3333334028720856,0.0,21.35,36
L-1:2,1.2240056386793738,7.746410743708852,1.8303812604672085,4.291893776201058,7.047370279765876,1.5033199611681465,0.286769941543063,1.522221939757936,0.4515851136539891,0.5371690295925936,777.9671630859375,88.37316131591797,846.4267578125,571.2012939453125,362.6328430175781,1441.173095703125,358.7650451660156,978.5040283203125,1044.370849609375,1002.1576538085938,1266.330810546875,66.88709259033203,1134.280029296875,718.5656127929688,533.0274658203125,1515.65380859375,225.51148986816406,581.4000854492188,657.3516845703125,487.5139465332031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.04313725605607033,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,304.9214172363281,-46.523563385009766,-5.856488227844238,305.3327941894531,-46.451778411865234,-6.011022567749023,304.7943420410156,-46.860877990722656,-6.287965774536133,305.3180236816406,-47.63125228881836,-7.452799320220947,305.3180236816406,-47.63125228881836,-7.452799320220947,305.5904235839844,-48.91656494140625,-8.433642387390137,305.89044189453125,-50.23506164550781,-9.36263656616211,305.9075012207031,-50.53099822998047,-9.412799835205078,304.7624206542969,-47.98456573486328,-6.867450714111328,305.14263916015625,-47.096370697021484,-6.125367164611816,1.6356138043270723,11.05312431399584,-1.0,0.011984183528070676,2.3333334028720856,0.0,24.03,44
L-1:3,1.5549868658326804,1.257947071658449,1.8035706672357468,0.8336130952343824,3.7979807029042405,1.56874624252014,3.6220148550849323,0.45364467152277776,0.9359273931342895,1.3756412269646956,922.5106811523438,67.95170593261719,880.2408447265625,739.5712890625,364.9034118652344,876.2774658203125,492.6629943847656,1210.5435791015625,1321.60546875,893.0701904296875,1126.9473876953125,57.18824005126953,702.0784301757812,411.2315673828125,537.5757446289062,1433.236572265625,481.0595703125,1200.346435546875,1085.6455078125,559.8333740234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,306.4971618652344,-50.054725646972656,-8.551182746887207,307.0760803222656,-49.476985931396484,-8.376855850219727,306.0730285644531,-49.77866744995117,-7.801966190338135,306.1569519042969,-49.5716667175293,-7.915366172790527,306.1903381347656,-50.68102264404297,-8.479287147521973,306.1903381347656,-50.68102264404297,-8.479287147521973,306.31878662109375,-51.59965133666992,-9.420186996459961,305.9696960449219,-51.86431121826172,-9.525277137756348,305.9696960449219,-51.86431121826172,-9.525277137756348,306.08319091796875,-51.11659622192383,-9.193827629089355,3.224139327683733,4.351424029186862,-1.0,0.011014968966776196,0.6666666865348816,0.0,17.24,36
L-1:4,6.417784945719801,8.985247165906802,20.974296320575533,14.992103553483352,15.5643062857213,8.458518893738173,1.9172648101609138,3.1293858872783025,14.804162777943239,18.908869641888234,924.0712280273438,109.15789031982422,1766.925048828125,762.0840454101562,248.97238159179688,1304.5384521484375,463.75103759765625,1865.05908203125,1137.24169921875,551.4671630859375,882.4515991210938,11.147618293762207,946.9983520507812,1134.4652099609375,163.08148193359375,836.9344482421875,433.7642517089844,1024.72607421875,852.2304077148438,684.4830322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.03529411926865578,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,303.8009338378906,-49.21232604980469,-5.241262435913086,303.5852966308594,-48.695030212402344,-4.436039924621582,303.27130126953125,-48.29199981689453,-3.993107318878174,303.1111145019531,-49.369789123535156,-4.263646125793457,303.9988708496094,-50.80031967163086,-5.697545051574707,305.3998107910156,-52.07899475097656,-7.557371139526367,305.1968688964844,-53.42551803588867,-8.676013946533203,304.9394836425781,-50.840057373046875,-7.777150630950928,304.7875061035156,-50.298072814941406,-7.287978172302246,304.5,-49.832275390625,-6.1064252853393555,7.1115559862904005,11.856306415721559,-1.0,0.009635198135198135,1.3333333730697632,4.55,23.62,36
L-1:5,1.4977609829154592,3.060606329156418,5.298236912601771,7.406971229188223,6.268103754392381,2.71204962709623,4.211347396525443,3.5831573901621643,2.5894098558127796,1.2854916338074471,2157.330078125,606.9963989257812,1329.8348388671875,913.7694702148438,286.2217712402344,1506.7064208984375,803.7714233398438,1681.93603515625,1331.13916015625,1317.3673095703125,970.2092895507812,278.90509033203125,1137.1317138671875,470.402587890625,218.76316833496094,1150.32763671875,314.81512451171875,1033.7923583984375,19.99323844909668,25.023971557617188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,303.0791320800781,-48.89513397216797,-4.875828266143799,303.0791320800781,-48.89513397216797,-4.875828266143799,302.6351318359375,-48.69196701049805,-4.39309549331665,302.768798828125,-49.448448181152344,-4.7279582023620605,302.768798828125,-49.448448181152344,-4.7279582023620605,303.34234619140625,-50.94526672363281,-6.244215965270996,303.2542419433594,-51.73152160644531,-6.933731555938721,303.2542419433594,-51.73152160644531,-6.933731555938721,303.0951232910156,-51.53539276123047,-6.699621200561523,303.25213623046875,-50.1246223449707,-5.746242523193359,13.164809749890525,12.00975330079675,-1.0,0.009856842445810417,1.0000000298023224,0.0,17.41,0
L-1:6,3.440014817560443,4.3231047208209805,2.217054442319125,5.107073171881394,14.505159323246179,1.9319022225593605,4.426658142395399,14.320828000805518,10.77548565209613,2.711956317371327,1509.610107421875,72.3442153930664,1440.768310546875,910.912109375,147.89596557617188,609.5054321289062,605.7769775390625,1357.0089111328125,1533.251708984375,926.6215209960938,1198.1270751953125,290.5435791015625,1299.000244140625,1167.4498291015625,148.69573974609375,1618.5030517578125,22.151161193847656,1960.43310546875,1117.3970947265625,784.4323120117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,301.8119812011719,-51.0279655456543,-5.702078819274902,302.0535583496094,-50.50133514404297,-5.255607604980469,303.2044982910156,-49.285179138183594,-4.4545183181762695,303.2044982910156,-49.285179138183594,-4.4545183181762695,302.5440673828125,-49.50142288208008,-4.64904260635376,302.7485046386719,-50.97227096557617,-5.6916728019714355,302.7026672363281,-51.84063720703125,-6.711062908172607,302.7026672363281,-51.84063720703125,-6.711062908172607,302.0906677246094,-51.670127868652344,-6.50071382522583,302.0906677246094,-51.670127868652344,-6.50071382522583,4.222147034994532,11.890498394869578,-1.0,0.00841053850607991,4.666666805744171,0.0,16.6,0
L-1:7,6.60942832797048,2.6770247112136176,3.6126059311832925,1.5693507482438454,1.2461722203266312,4.302505957789408,14.454657594123105,6.239891560613373,2.8296831172482264,2.69972798815933,1148.052734375,56.41305923461914,924.1521606445312,887.9352416992188,223.34649658203125,1359.126708984375,404.3251647949219,903.311767578125,1357.113037109375,903.887939453125,1391.3018798828125,299.6099853515625,1504.0206298828125,1244.0792236328125,650.4230346679688,1087.7232666015625,509.7907409667969,1550.7906494140625,1168.415771484375,1042.6265869140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.0470588281750679,0.03921568766236305,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.05098039656877518,301.26318359375,-51.775447845458984,-5.710173606872559,300.9361877441406,-51.53959274291992,-5.228316307067871,302.3247985839844,-49.716861724853516,-4.509034633636475,301.6834716796875,-49.986141204833984,-4.567847728729248,302.013671875,-50.96025848388672,-5.341938018798828,302.013671875,-50.96025848388672,-5.341938018798828,302.2054748535156,-52.11042404174805,-6.360583782196045,302.2054748535156,-52.11042404174805,-6.360583782196045,301.3536376953125,-52.192806243896484,-6.060647487640381,301.3536376953125,-52.192806243896484,-6.060647487640381,9.77533454892128,13.309963389084182,-1.0,0.009029651988636363,0.6666666865348816,0.0,14.53,0
L-1:8,1.2604572255430957,13.620795088215932,0.7749515408388333,6.579900182452453,7.227901538617224,17.750091568092706,18.349520874588357,20.73532310160282,17.992736050594758,8.151303705146061,930.6266479492188,208.69253540039062,894.7145385742188,346.10589599609375,130.8694610595703,598.21826171875,662.4158935546875,1457.3480224609375,965.7315063476562,469.8959655761719,1031.15966796875,227.50674438476562,722.10107421875,720.5220947265625,528.1524047851562,1378.5849609375,296.8624267578125,988.9837036132812,780.8919677734375,857.466552734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.03529411926865578,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05098039656877518,301.3713684082031,-51.010616302490234,-5.2860541343688965,301.36834716796875,-50.921112060546875,-5.414678573608398,301.39886474609375,-51.445682525634766,-5.919571876525879,301.90771484375,-50.97885513305664,-4.687979221343994,302.0115966796875,-52.06846618652344,-5.7986040115356445,302.2136535644531,-52.39972686767578,-6.25133752822876,301.8341979980469,-52.53525924682617,-6.165962219238281,301.8341979980469,-52.53525924682617,-6.165962219238281,301.84637451171875,-52.18048858642578,-5.9824442863464355,301.88836669921875,-51.38993453979492,-5.586554527282715,6.861725404620483,17.71720453437544,-1.0,0.010206215509729886,7.666666895151138,2.89,20.08,0
L-1:9,5.879532379637213,8.310723860503666,2.594959085760577,2.553800209021823,3.6378765091854466,9.650084163133592,12.287439040269438,6.438639723309114,5.627118601834582,3.025416149746115,1050.7593994140625,173.2123260498047,878.6006469726562,888.59521484375,362.988525390625,1100.162353515625,668.081298828125,1400.82666015625,1229.012939453125,869.1799926757812,1627.7939453125,195.23577880859375,1336.4183349609375,993.7276000976562,823.5188598632812,1276.9471435546875,322.2056579589844,1092.7066650390625,699.967041015625,875.2030639648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,299.16387939453125,-49.38584518432617,-4.169356346130371,299.3768615722656,-49.61805725097656,-4.265230178833008,299.8096008300781,-50.01601791381836,-4.565546989440918,300.0813903808594,-50.249202728271484,-4.893698215484619,300.0813903808594,-50.249202728271484,-4.893698215484619,300.08868408203125,-50.17384719848633,-4.813137054443359,300.08868408203125,-50.17384719848633,-4.813137054443359,300.4024963378906,-49.73164749145508,-4.437331199645996,300.4024963378906,-49.73164749145508,-4.437331199645996,299.16387939453125,-49.38584518432617,-4.169356346130371,6.19163426068741,13.650526384184541,1.0,0.009704545454545455,2.3333334028720856,0.0,14.64,0
L-1:10,13.111505523280147,19.816294781579504,3.8207723319077935,1.6827682054406345,5.146310786302414,10.898068681022375,10.858325896433824,1.9408245235601957,1.9204613720496477,11.008603371595212,885.586669921875,313.88739013671875,1071.5643310546875,953.9645385742188,193.8790283203125,1767.2852783203125,373.52862548828125,1649.2301025390625,1525.3597412109375,716.389892578125,1603.830078125,182.82907104492188,1256.664794921875,850.2156982421875,380.6033630371094,1299.666259765625,28.769731521606445,1628.0064697265625,1114.51220703125,697.3475341796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,297.41912841796875,-48.433929443359375,-5.038033485412598,298.1099548339844,-48.92726135253906,-5.375101566314697,298.1099548339844,-48.92726135253906,-5.375101566314697,298.4701843261719,-49.4494743347168,-5.53070592880249,298.77191162109375,-49.423973083496094,-5.719673156738281,298.77191162109375,-49.423973083496094,-5.719673156738281,298.1210632324219,-49.675662994384766,-4.672152519226074,298.1210632324219,-49.675662994384766,-4.672152519226074,296.34521484375,-47.96235275268555,-4.81646203994751,296.99493408203125,-48.065494537353516,-4.972908973693848,9.707273198940687,15.98917901586976,1.0,0.00843939393939394,0.6666666865348816,0.0,16.71,0
