Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,17.266534521084026,10.871647164850442,4.579652460820239,6.839410597103814,4.259343253346136,2.4924365340745394,8.673002115397695,2.069267709043336,1.5152769103174162,5.092638825143769,1962.521728515625,146.78662109375,2016.9586181640625,1061.816650390625,317.76971435546875,1886.30517578125,794.6674194335938,1293.4105224609375,812.6748046875,870.0145263671875,550.791259765625,154.5585174560547,933.279296875,796.6373901367188,207.0585174560547,1013.5835571289063,394.46539306640625,1856.19189453125,1445.138671875,325.0508117675781,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.32258063554763794,223.359375,-58.390625,1.6875,223.359375,-58.390625,1.6875,223.28125,-56.015625,1.359375,223.28125,-56.015625,1.359375,222.96875,-53.265625,0.25,222.96875,-53.265625,0.265625,223.515625,-58.640625,1.828125,223.265625,-53.328125,3.328125,223.265625,-53.328125,3.328125,223.359375,-58.390625,1.6875,11.165229297520158,16.858172890932487,-1.0,0.010137420718816067,13.5,0.0,10.96,36
L-1:2,9.361791888846897,24.11707986982506,0.6776612400112753,5.011572581413967,13.305856647291243,7.412924044664473,1.5506561270690633,4.851641865194225,9.511416058508066,12.052939474223066,1421.47705078125,301.59454345703125,673.2282104492188,303.48486328125,560.4166870117188,1406.392822265625,361.45159912109375,2287.357421875,1197.7862548828125,327.51947021484375,2050.747314453125,462.4265441894531,692.1829223632813,275.0358581542969,565.5213623046875,1776.127197265625,1142.9871826171875,2011.7872314453125,1970.9671630859375,1310.332763671875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.22580644488334656,0.22580644488334656,0.29032257199287415,0.29032257199287415,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,222.828125,-54.875,3.875,222.828125,-54.875,3.828125,222.9375,-56.984375,1.203125,222.9375,-56.984375,1.203125,222.890625,-55.671875,1.5,222.890625,-55.671875,1.5,222.90625,-56.0625,1.703125,222.765625,-52.171875,3.625,222.765625,-52.171875,3.625,222.765625,-52.171875,3.625,19.57944034065654,17.603785195842814,-1.0,0.008654545454545455,4.0,0.0,12.24,4
L-1:3,3.3050494390726,9.222999162925044,16.24757347605597,15.548792007620252,12.862468060943064,5.427542061421216,1.6581405196776398,10.971703310260498,12.906996128473306,10.11549793080309,1722.5733642578125,62.3623046875,0.0,0.0,751.5149536132813,2946.479248046875,948.8400268554688,2881.03271484375,1294.7969970703125,952.4218139648438,2618.52490234375,482.311279296875,1857.03173828125,329.7081298828125,116.00733947753906,4094.906494140625,333.8208923339844,3192.691650390625,1423.7281494140625,970.5792846679688,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.25806450843811035,0.22580644488334656,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.32258063554763794,0.29032257199287415,0.32258063554763794,223.390625,-56.765625,2.609375,223.265625,-58.25,2.546875,219.3125,-49.34375,1.0625,219.3125,-49.34375,1.0625,219.3125,-49.34375,1.046875,219.3125,-49.34375,1.046875,223.640625,-57.703125,6.40625,223.640625,-57.703125,6.40625,223.640625,-57.703125,6.40625,223.390625,-56.765625,2.609375,9.779764178166094,17.777618269909624,1.0,0.0074140930839495444,1.5,0.0,9.74,36
L-1:4,4.264201863299062,3.0509617465345675,7.200099661040171,12.928927919622557,3.6226196885239936,10.82652484767268,16.684492978777776,10.932571215912674,4.837591537903211,3.671510801823296,0.0,0.0,855.7233276367188,391.3052673339844,748.1754760742188,1378.1910400390625,198.35635375976563,1268.465576171875,2251.841552734375,911.2326049804688,1727.994873046875,153.02996826171875,1678.8447265625,1097.9002685546875,692.7332763671875,1290.503662109375,238.11537170410156,1724.007080078125,1919.5556640625,1024.9998779296875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.3870967626571655,0.3870967626571655,0.3870967626571655,0.35483869910240173,0.32258063554763794,0.32258063554763794,223.609375,-54.296875,3.734375,223.40625,-59.1875,0.96875,223.3125,-53.78125,1.59375,223.3125,-53.78125,1.59375,223.625,-54.046875,3.765625,223.625,-54.046875,3.765625,223.78125,-59.328125,2.546875,223.78125,-59.328125,2.546875,223.78125,-59.328125,2.546875,223.78125,-59.328125,2.53125,6.263501592474608,17.71932792140939,1.0,0.010049407114624506,15.0,3.2,10.17,68
L-1:5,1.2104548031561564,4.749259634327898,1.0738086825052902,1.802699782270951,5.798945280231416,7.310811506632141,18.285672125718037,18.026793026631243,14.476601993983817,13.760197070994854,1822.9935302734375,817.230224609375,2062.2431640625,1445.58935546875,55.27956771850586,1198.2283935546875,259.45025634765625,1299.8446044921875,1507.3546142578125,807.956787109375,1103.9107666015625,157.44117736816406,1014.0364990234375,951.9400024414063,464.9217529296875,1379.9210205078125,438.0011291503906,1898.287353515625,1373.7772216796875,531.0005493164063,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.4862745404243469,0.35483869910240173,0.35483869910240173,0.25806450843811035,0.25806450843811035,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,222.796875,-59.171875,2.484375,222.828125,-56.96875,3.21875,222.5,-56.296875,1.609375,222.5,-56.296875,1.609375,222.4375,-56.046875,1.484375,222.4375,-56.046875,1.5,222.4375,-56.046875,1.5,222.609375,-58.78125,2.390625,222.609375,-58.78125,2.390625,222.796875,-59.171875,2.484375,10.706813268147869,19.92799315940857,1.0,0.010863413547237076,8.0,0.0,13.93,44
L-1:6,3.287817964774091,2.3823224762437514,6.281720032333131,8.99653111118564,15.95530188022384,15.795915090148261,10.826142166100924,3.2454495579515217,2.246724916005145,5.299767921220563,970.3389282226563,115.38417053222656,931.6261596679688,402.5118713378906,571.7532958984375,560.2306518554688,988.0289916992188,1600.60400390625,1393.5626220703125,1063.6531982421875,1544.6392822265625,40.907344818115234,1567.857666015625,547.559326171875,863.0139770507813,1885.8392333984375,314.80889892578125,569.3414306640625,977.12548828125,365.1304626464844,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,223.765625,-56.921875,2.34375,223.859375,-59.859375,0.8125,223.796875,-60.03125,1.328125,223.796875,-60.03125,1.328125,223.796875,-60.03125,1.328125,223.796875,-60.03125,1.375,223.796875,-60.03125,1.375,223.71875,-60.578125,1.421875,223.71875,-60.578125,1.421875,223.765625,-56.921875,2.34375,23.459601400501512,13.81338563475996,1.0,0.010014568764568766,7.0,0.0,9.82,0
L-1:7,0.7225278754844648,2.1392204107505375,3.1665929937477535,1.4846403918413325,6.258181297854236,6.003817116661154,1.7426176199876497,3.0044886150516485,8.488819990178284,3.219421479159185,2387.96435546875,123.1977767944336,1006.8848266601563,1163.53271484375,306.1739196777344,1388.27783203125,174.85694885253906,871.626708984375,961.3557739257813,410.1019592285156,2688.039306640625,265.51141357421875,530.2132568359375,660.7105712890625,291.8301086425781,1111.6378173828125,816.0127563476563,2682.226806640625,1540.3883056640625,1191.7764892578125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.29032257199287415,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,223.21875,-61.078125,1.65625,223.21875,-61.078125,1.65625,223.375,-60.296875,2.109375,223.5,-60.578125,0.765625,223.171875,-54.671875,0.75,222.984375,-53.234375,5.375,222.984375,-53.234375,5.375,222.984375,-53.234375,5.390625,222.984375,-53.234375,5.390625,222.984375,-53.234375,5.390625,30.962092324065434,10.436502882266812,-1.0,0.008749999999999999,4.5,0.0,10.67,0
L-1:8,5.820046329672624,3.9908072823989182,7.8573150812760355,24.487477267978807,25.720056884264217,18.931032231937113,17.480095159540586,5.907854350790411,6.651434437785559,2.9630520288335385,1657.693603515625,148.61074829101563,2068.405029296875,572.3176879882813,345.0613098144531,1846.941162109375,1119.5782470703125,2539.362060546875,2038.7984619140625,1942.42724609375,1912.877685546875,170.6683807373047,1937.1373291015625,977.6212768554688,531.8908081054688,1843.4715576171875,686.825439453125,1250.4334716796875,1068.537841796875,683.57470703125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.32258063554763794,225.359375,-60.421875,2.109375,225.265625,-60.90625,1.4375,225.140625,-61.015625,0.53125,225.140625,-61.015625,0.53125,225.140625,-61.015625,0.53125,225.140625,-61.015625,0.515625,225.140625,-61.015625,0.515625,225.046875,-62.171875,0.40625,225.046875,-62.171875,0.40625,225.359375,-60.421875,2.109375,14.20453834793378,18.58807075184803,1.0,0.006905829596412555,12.0,3.96,9.68,0
L-1:9,17.680067825193227,14.981123664038455,6.8062499415676605,1.9010827021782537,3.1964537498834793,2.8115559941179358,3.827120497324204,5.637536603096738,4.9192336367317635,2.514892677790523,2479.175537109375,453.33294677734375,1777.5428466796875,1261.9019775390625,551.505615234375,1762.3258056640625,412.6042785644531,1341.2957763671875,1495.18408203125,934.6863403320313,2386.444091796875,196.0051727294922,1060.635986328125,1312.120849609375,401.42144775390625,1780.248291015625,329.39447021484375,2574.691650390625,1750.135986328125,628.9896240234375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.35483869910240173,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,225.59375,-60.828125,0.921875,225.6875,-59.875,2.859375,225.6875,-59.875,2.859375,225.75,-59.390625,2.5,225.5,-61.515625,0.96875,225.5,-61.515625,0.96875,225.5,-61.515625,0.984375,225.5,-61.515625,0.984375,225.5,-61.515625,0.984375,225.59375,-60.828125,0.921875,7.600868317388379,15.069914212961503,-1.0,0.007280844155844157,7.0,0.0,8.97,0
L-1:10,2.1725912904767433,4.584915598275546,2.9929939613038727,9.06207781020116,3.0484637603788376,11.431251219614355,14.090026466823064,1.189833904650664,3.850271746271569,3.2614562683566333,1808.618408203125,136.5539093017578,1852.74169921875,1439.075439453125,1121.0458984375,1543.4022216796875,456.8460388183594,2423.772705078125,2509.188232421875,858.3484497070313,2049.79150390625,15.169553756713867,1876.7313232421875,1420.44189453125,675.3707275390625,1872.0943603515625,515.2214965820313,1737.083984375,1371.7081298828125,1114.775634765625,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,225.5,-60.03125,1.46875,225.5,-60.03125,1.453125,225.5,-60.03125,1.453125,225.46875,-59.578125,0.515625,225.46875,-59.578125,0.515625,225.46875,-59.578125,0.515625,225.53125,-60.796875,1.140625,225.609375,-61.71875,0.75,225.609375,-61.71875,0.75,225.5,-60.03125,1.46875,16.94642019689796,5.233541731664415,1.0,0.007093126385809313,6.0,0.0,9.14,0
L-1:11,5.590361242728606,9.413577035403996,7.678201716433457,5.723155308845639,16.3466546433696,28.19762426749999,24.24774448889707,20.17563254191678,19.753969523141894,8.005653806242993,1764.0555419921875,161.83578491210938,1025.8814697265625,736.9663696289063,576.6062622070313,1089.3037109375,1372.234130859375,2150.084228515625,1584.027099609375,707.5657958984375,1078.82861328125,35.85651397705078,1229.8165283203125,659.1873779296875,570.6680908203125,887.1639404296875,410.4411926269531,2304.701171875,1183.565673828125,1471.3450927734375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.22580644488334656,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,224.140625,-57.75,1.84375,223.34375,-54.109375,0.921875,223.6875,-55.171875,1.125,223.6875,-55.171875,1.125,223.6875,-55.171875,1.109375,223.6875,-55.171875,1.109375,223.984375,-57.359375,1.09375,223.984375,-57.359375,1.09375,224.140625,-57.75,1.84375,224.140625,-57.75,1.84375,12.604418472229426,20.348240100950434,1.0,0.007472972972972973,8.5,0.0,8.69,0
