Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.134598815156067,0.9982155831895313,5.831240165210684,6.585699644468086,2.6844027732989426,3.340177377849957,5.331522088848702,4.567615305519854,6.026515997506765,2.9324695037724497,1451.9874267578125,95.80429077148438,870.5894165039063,1101.1368408203125,809.5399169921875,1675.479736328125,599.0285034179688,1469.316162109375,1334.334716796875,972.7344360351563,1322.4410400390625,356.78143310546875,1060.8900146484375,987.9671020507813,309.8212585449219,1292.7515869140625,487.9316711425781,1589.78515625,1146.8349609375,760.3984375,0.7215686440467834,0.8156863451004028,0.7843137979507446,0.8000000715255737,0.7686275243759155,0.8000000715255737,0.8156863451004028,0.8000000715255737,0.7529412508010864,0.7215686440467834,0.12962962687015533,0.18518519401550293,0.1666666716337204,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.20370370149612427,0.1666666716337204,0.14814814925193787,37.365997314453125,-29.46642303466797,-1.9179257154464722,39.784393310546875,-28.829303741455078,-0.543387234210968,39.784393310546875,-28.829303741455078,-0.543387234210968,41.916748046875,-29.07233428955078,0.205815389752388,40.81365966796875,-27.679109573364258,1.648759365081787,40.81365966796875,-27.679109573364258,1.648759365081787,39.132568359375,-29.942224502563477,-1.5721261501312256,36.938751220703125,-31.69278335571289,-3.8620176315307617,36.938751220703125,-31.69278335571289,-3.8620176315307617,36.164581298828125,-31.02379035949707,-3.802604913711548,10.439143643620765,6.188219316423323,-1.0,0.008200087693656826,1.3333333730697632,0.0,16.03,44
L-1:2,2.65154282678493,5.29044768368321,0.9779147386261486,3.865308702959657,15.408840672845995,0.6917825136947502,4.921807933728705,2.8523800243696034,14.952155989729574,13.033378249673293,1549.8489990234375,596.24462890625,1232.171142578125,1039.717041015625,522.589599609375,1791.815185546875,327.44287109375,1882.73828125,804.0574951171875,929.7411499023438,1811.7637939453125,610.1174926757813,1776.7044677734375,884.634033203125,198.2367401123047,1377.490478515625,1008.052490234375,1453.504638671875,1126.0006103515625,964.0140991210938,0.7529412508010864,0.7843137979507446,0.8000000715255737,0.8000000715255737,0.7843137979507446,0.8000000715255737,0.8000000715255737,0.8156863451004028,0.7843137979507446,0.7686275243759155,0.14814814925193787,0.1666666716337204,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.20370370149612427,0.20370370149612427,0.2222222238779068,0.20370370149612427,0.18518519401550293,33.4158935546875,-26.342805862426758,-2.847034215927124,33.611541748046875,-25.476980209350586,-2.4317944049835205,33.611541748046875,-25.476980209350586,-2.4317944049835205,34.63671875,-25.345596313476563,-2.275451421737671,34.63671875,-25.345596313476563,-2.275451421737671,34.3504638671875,-26.988346099853516,-3.699887990951538,33.02294921875,-28.72595977783203,-5.823106288909912,33.02294921875,-28.72595977783203,-5.823106288909912,31.843841552734375,-28.551366806030273,-6.131612300872803,31.843841552734375,-28.551366806030273,-6.131612300872803,4.974425681165644,7.301208628125689,-1.0,0.007622377622377622,1.666666716337204,0.0,13.08,36
L-1:3,3.8169287270535923,6.69814072834906,18.785827067033008,18.210784388346813,0.9513099368730698,15.878418830275054,3.4473197353052507,7.787812745596157,3.46803583554854,3.660186769866781,1514.8858642578125,7.797060966491699,687.8632202148438,767.2876586914063,315.9095458984375,1993.8831787109375,74.07809448242188,1239.99658203125,683.011962890625,1016.5896606445313,1499.0440673828125,1.4592341184616089,1698.9810791015625,2217.510986328125,1079.242919921875,2811.06787109375,365.9461975097656,1396.5850830078125,1636.632080078125,483.4466857910156,0.7215686440467834,0.7686275243759155,0.8000000715255737,0.8156863451004028,0.8000000715255737,0.8000000715255737,0.8156863451004028,0.8313726186752319,0.8156863451004028,0.7529412508010864,0.14814814925193787,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.18518519401550293,36.744415283203125,-25.541183471679688,-0.8608449697494507,36.744415283203125,-25.541183471679688,-0.8608449697494507,37.008056640625,-25.6744327545166,-0.4302351176738739,37.008056640625,-25.6744327545166,-0.4302351176738739,37.9041748046875,-26.343534469604492,-0.48023539781570435,37.130096435546875,-27.638288497924805,-1.7143630981445313,37.130096435546875,-27.638288497924805,-1.7143630981445313,37.130096435546875,-27.638288497924805,-1.7143630981445313,35.91876220703125,-28.493633270263672,-2.7465386390686035,35.553863525390625,-27.636943817138672,-2.032942295074463,11.723111478775488,1.9987170904683491,-1.0,0.007474747474747474,1.3333333730697632,0.0,11.84,100
L-1:4,8.26121853494941,3.334756586071337,7.311217710436478,10.408233405641766,16.073212593408783,4.872736851294351,3.562990160017257,6.498019542107715,14.58858608517914,13.492902539234633,1951.466064453125,92.42696380615234,1143.372314453125,1052.7506103515625,1952.875,4142.68359375,494.3614501953125,1327.5770263671875,913.7367553710938,608.3283081054688,2443.728271484375,441.03399658203125,1167.1617431640625,1072.52783203125,2.7915101051330566,957.9375610351563,314.5766906738281,779.8712768554688,1092.46044921875,866.6632690429688,0.7372549176216125,0.7843137979507446,0.8000000715255737,0.8156863451004028,0.8000000715255737,0.8000000715255737,0.847058892250061,0.7843137979507446,0.7529412508010864,0.7215686440467834,0.1666666716337204,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.1666666716337204,0.20370370149612427,0.20370370149612427,0.20370370149612427,0.1666666716337204,0.1111111119389534,30.357574462890625,-29.781322479248047,-4.806632041931152,33.25445556640625,-28.850095748901367,-3.5721161365509033,33.25445556640625,-28.850095748901367,-3.5721161365509033,35.29364013671875,-28.458187103271484,-2.7924835681915283,35.496856689453125,-29.450124740600586,-3.4492592811584473,33.43408203125,-30.33428955078125,-4.1354241371154785,33.43408203125,-30.33428955078125,-4.1354241371154785,30.809051513671875,-31.328540802001953,-5.531298637390137,26.488250732421875,-32.07955551147461,-7.805001735687256,27.76397705078125,-31.083454132080078,-6.414363861083984,14.56769300201381,7.106040251498961,-1.0,0.007414395948878708,1.3333333730697632,6.46,17.57,32
L-1:5,2.4749586494022457,16.60126939708532,9.765690254213574,3.6232031807448153,2.300621977129953,5.429525105753873,5.868910791571533,5.692831707733354,4.8667599471707454,1.5007621525616572,1848.1051025390625,396.86883544921875,1258.68212890625,1142.2060546875,1178.1732177734375,3072.675537109375,983.3993530273438,1449.924072265625,1021.5784301757813,902.0672607421875,2587.88427734375,348.12286376953125,910.5259399414063,885.5491333007813,529.6449584960938,1642.042724609375,652.8749389648438,2023.43408203125,1035.044189453125,663.1701049804688,0.7215686440467834,0.8000000715255737,0.8156863451004028,0.8000000715255737,0.8000000715255737,0.8156863451004028,0.8156863451004028,0.8156863451004028,0.7529412508010864,0.7372549176216125,0.14814814925193787,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.20370370149612427,0.20370370149612427,0.14814814925193787,0.14814814925193787,30.3885498046875,-31.271013259887695,-5.576991558074951,30.3885498046875,-31.271013259887695,-5.576991558074951,33.161407470703125,-29.18366050720215,-2.235184907913208,33.161407470703125,-29.18366050720215,-2.235184907913208,34.29638671875,-29.86896514892578,-2.758275032043457,34.29638671875,-29.86896514892578,-2.758275032043457,33.286834716796875,-32.10302734375,-5.360931396484375,33.286834716796875,-32.10302734375,-5.360931396484375,29.508697509765625,-32.752803802490234,-7.893414497375488,29.508697509765625,-32.752803802490234,-7.893414497375488,5.615738424329478,8.318797184273535,-1.0,0.007200644504748983,0.0,0.0,12.13,0
L-1:6,7.95027639133196,3.5761597531801814,2.8064100745984337,3.198840956883486,8.928861410030851,3.7596351973254922,3.49300472838839,8.46639966343487,4.714445602609394,2.0673445606871557,861.839599609375,175.72740173339844,1061.6962890625,1075.04248046875,503.0668640136719,1770.5499267578125,406.0564880371094,2155.2265625,1116.6593017578125,737.8119506835938,2070.4912109375,318.14031982421875,1884.3798828125,748.0324096679688,137.68496704101563,1625.3201904296875,668.9317626953125,1472.267822265625,711.2106323242188,542.7706298828125,0.7372549176216125,0.7843137979507446,0.7843137979507446,0.8000000715255737,0.8000000715255737,0.8000000715255737,0.8156863451004028,0.8313726186752319,0.8000000715255737,0.7686275243759155,0.14814814925193787,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.2222222238779068,0.1666666716337204,34.200042724609375,-30.389097213745117,-2.57745361328125,34.200042724609375,-30.389097213745117,-2.57745361328125,35.331634521484375,-29.83447265625,-1.687833547592163,35.331634521484375,-29.83447265625,-1.687833547592163,36.0020751953125,-30.33632469177246,-2.2772278785705566,36.0020751953125,-30.33632469177246,-2.2772278785705566,34.67254638671875,-31.711069107055664,-3.619117021560669,34.67254638671875,-31.711069107055664,-3.619117021560669,33.271942138671875,-32.575462341308594,-4.660717010498047,34.381927490234375,-31.88857078552246,-4.263368606567383,9.099988778349104,3.2154184312176026,-1.0,0.008525798525798527,0.0,0.0,13.88,0
L-1:7,8.80039593109372,2.6534961208601064,5.4893864743623375,6.534171135479688,1.3997983052453205,10.232787564272599,2.615246403929645,5.739804194405904,3.7481648883389385,15.586395354191842,1368.175048828125,212.9288787841797,734.3180541992188,710.6195068359375,295.0155944824219,1504.072998046875,283.25775146484375,1131.811279296875,830.003173828125,612.2600708007813,1630.3511962890625,147.31045532226563,1099.6741943359375,623.9031372070313,228.56874084472656,1312.48095703125,73.54881286621094,2717.572265625,877.9056396484375,573.6199951171875,0.7843137979507446,0.8156863451004028,0.7843137979507446,0.7843137979507446,0.8000000715255737,0.7843137979507446,0.8156863451004028,0.8156863451004028,0.8000000715255737,0.7843137979507446,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.2222222238779068,0.1666666716337204,33.31903076171875,-30.065820693969727,-3.2359049320220947,34.462188720703125,-28.903377532958984,-2.159792423248291,37.873046875,-28.74932861328125,-0.2793327867984772,38.44921875,-28.793743133544922,-0.30168914794921875,38.44921875,-28.793743133544922,-0.30168914794921875,37.4857177734375,-29.178977966308594,-1.198989748954773,34.935699462890625,-30.594623565673828,-3.1259796619415283,34.935699462890625,-30.594623565673828,-3.1259796619415283,33.26727294921875,-31.081037521362305,-4.0753326416015625,33.31903076171875,-30.065820693969727,-3.2359049320220947,5.278509355192157,10.085325595212101,-1.0,0.00866883116883117,2.0000000596046448,0.0,16.02,0
L-1:8,18.720329261012324,15.938921085689687,11.196960368628751,1.4378663365847648,3.748642336587816,6.679792945283201,13.051554837426353,16.924059600945032,24.245655047199904,20.428871789609865,1406.0791015625,103.31102752685547,953.7042846679688,770.50537109375,485.3326416015625,941.3463134765625,145.51806640625,520.599609375,1055.347412109375,841.4718627929688,1154.3048095703125,282.1276550292969,1039.8033447265625,592.0533447265625,177.9275665283203,993.8052978515625,574.5845947265625,1593.3580322265625,820.2525634765625,511.36273193359375,0.7843137979507446,0.8156863451004028,0.8156863451004028,0.8156863451004028,0.7843137979507446,0.8000000715255737,0.8156863451004028,0.8000000715255737,0.7843137979507446,0.7843137979507446,0.18518519401550293,0.20370370149612427,0.20370370149612427,0.1666666716337204,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.20370370149612427,0.1666666716337204,31.207489013671875,-31.053892135620117,-4.074682712554932,33.1929931640625,-29.356199264526367,-2.5313520431518555,34.82293701171875,-28.59402847290039,-1.563147783279419,35.5521240234375,-28.590463638305664,-1.1088638305664063,34.43701171875,-29.663780212402344,-2.652858018875122,32.906951904296875,-30.994447708129883,-4.217159271240234,30.528900146484375,-32.651466369628906,-5.696588516235352,30.528900146484375,-32.651466369628906,-5.696588516235352,29.8321533203125,-32.646793365478516,-5.694251537322998,31.207489013671875,-31.053892135620117,-4.074682712554932,13.59612641096387,15.719650951622299,-1.0,0.009324345146379046,11.666667014360428,4.31,17.29,0
L-1:9,10.420870705024566,11.647214110744926,5.58628982552991,1.0483005682357343,2.7393532246676435,1.6436116788005224,4.626656232460605,7.544626510061987,5.12512153941646,5.086250491917966,1259.76953125,59.85940933227539,639.8499755859375,485.0439147949219,63.59573745727539,1078.7252197265625,454.6649169921875,1173.8333740234375,1556.3343505859375,1147.316162109375,1168.7135009765625,66.0840835571289,681.1093139648438,654.7294311523438,334.23828125,1290.8883056640625,226.2393341064453,1733.3193359375,835.7625732421875,598.2120361328125,0.7686275243759155,0.8000000715255737,0.8000000715255737,0.8000000715255737,0.7843137979507446,0.8000000715255737,0.8156863451004028,0.8000000715255737,0.7843137979507446,0.7686275243759155,0.1666666716337204,0.20370370149612427,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.1666666716337204,32.848724365234375,-33.91181182861328,-5.867809772491455,32.848724365234375,-33.91181182861328,-5.867809772491455,35.272674560546875,-32.367515563964844,-3.8786282539367676,36.394927978515625,-32.33378982543945,-3.564593553543091,35.06646728515625,-33.64733123779297,-4.607637882232666,35.06646728515625,-33.64733123779297,-4.607637882232666,33.24658203125,-35.497596740722656,-6.571328639984131,31.7354736328125,-36.877540588378906,-7.75441312789917,31.7354736328125,-36.877540588378906,-7.75441312789917,31.3016357421875,-35.96885299682617,-7.497698783874512,8.27169421215465,8.213385938451777,-1.0,0.009944792050055207,2.0000000596046448,0.0,15.44,0
L-1:10,2.002088180287389,8.067822414782253,3.8270431625133594,2.6295320585134108,3.7422278090168994,3.964296084420038,2.8167130753659526,3.7869736548741963,3.472094731849019,4.307426552961892,1176.6253662109375,304.8228759765625,738.541748046875,774.3016357421875,153.68255615234375,315.36981201171875,457.24810791015625,957.8196411132813,1336.2435302734375,948.0068359375,1717.655029296875,148.721923828125,1239.8602294921875,802.4669189453125,371.78155517578125,1738.6859130859375,561.1882934570313,1878.257080078125,1028.4036865234375,956.5700073242188,0.7686275243759155,0.8000000715255737,0.8313726186752319,0.7843137979507446,0.7843137979507446,0.7843137979507446,0.8156863451004028,0.8313726186752319,0.8000000715255737,0.8000000715255737,0.18518519401550293,0.20370370149612427,0.2222222238779068,0.18518519401550293,0.20370370149612427,0.18518519401550293,0.18518519401550293,0.18518519401550293,0.2222222238779068,0.20370370149612427,30.9554443359375,-34.09950256347656,-6.0684814453125,32.825408935546875,-32.422882080078125,-3.865173816680908,34.52423095703125,-32.082096099853516,-2.980926513671875,35.45269775390625,-30.625286102294922,-2.1519877910614014,34.66650390625,-32.16481018066406,-3.785836696624756,34.66650390625,-32.16481018066406,-3.785836696624756,32.83624267578125,-34.43760299682617,-6.506626129150391,32.83624267578125,-34.43760299682617,-6.506626129150391,30.832855224609375,-35.38243865966797,-7.735269069671631,30.832855224609375,-35.38243865966797,-7.735269069671631,7.97675816272642,2.8564249933333774,-1.0,0.008065171583383504,4.33333346247673,0.0,15.31,0
