Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.9969103057330242,2.821318925509491,2.227778382062642,0.657427409414558,1.9145329620374496,10.726938728740242,16.209803717904272,11.976206650144238,0.8024708144419335,1.1527509336348465,339.00445556640625,72.9432373046875,619.6444091796875,235.38851928710938,296.01483154296875,770.2394409179688,167.71116638183594,284.4962463378906,325.6916198730469,184.4364013671875,347.6380615234375,27.792625427246094,172.364990234375,174.9093780517578,191.33062744140625,309.6603698730469,117.20557403564453,284.6759338378906,326.79229736328125,239.49908447265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.7687683105469,-33.179195404052734,-7.884941577911377,356.7687683105469,-33.179195404052734,-7.884941577911377,355.5328674316406,-31.919029235839844,-9.523028373718262,354.8384704589844,-31.948209762573242,-9.515684127807617,353.9358215332031,-32.14844512939453,-9.763480186462402,353.2371520996094,-32.95283126831055,-9.244155883789063,352.25286865234375,-33.291927337646484,-8.772433280944824,352.5505065917969,-33.25674057006836,-7.647774696350098,352.8610534667969,-32.81437301635742,-7.008894443511963,354.7789001464844,-30.856365203857422,-5.502484321594238,9.61263982105668,1.590228051975993,1.0,0.03010410557184751,5.0,0.0,29.33,100
L-1:2,16.359857082529434,6.348245305590073,10.831898538358027,6.827996707247601,10.62369942847643,8.559056910458327,5.653875307900482,1.1392722204240382,3.2404098137757846,4.255973472202703,447.5649719238281,45.603153228759766,527.5996704101563,308.1759338378906,13.338561058044434,407.97735595703125,118.98270416259766,556.5747680664063,624.32958984375,375.4842529296875,874.6776123046875,38.91181564331055,611.0106201171875,428.9398193359375,221.73907470703125,621.3972778320313,417.86639404296875,805.5200805664063,641.9969482421875,684.131103515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.3091735839844,-46.7814826965332,-6.826418876647949,354.4267883300781,-34.703819274902344,-10.527365684509277,351.7358703613281,-36.39052963256836,-15.062113761901855,348.9309997558594,-39.19815444946289,-16.287939071655273,343.2497253417969,-44.035404205322266,-14.855772018432617,339.1038818359375,-48.737491607666016,-12.643369674682617,339.2585144042969,-50.494056701660156,-10.843032836914063,340.9949035644531,-50.600921630859375,-8.356123924255371,342.51312255859375,-49.4468879699707,-6.562685966491699,342.51312255859375,-49.4468879699707,-6.562685966491699,6.4206547164351155,16.71045250119491,-1.0,0.022453870387038707,3.5,0.0,28.51,100
L-1:3,1.8804194918510648,3.2823946699556643,6.339388761209838,9.627304132291368,3.863584870066943,2.8314557921357832,0.5503900683102623,9.786902355935606,16.364172488372155,7.933616585405983,475.68756103515625,105.65565490722656,663.7361450195313,301.2291259765625,403.07440185546875,531.9193115234375,298.0062255859375,808.5286254882813,615.691162109375,377.796142578125,1641.1170654296875,103.0440673828125,502.6958923339844,370.4559020996094,17.60894012451172,850.6044921875,386.5354919433594,923.6508178710938,458.4201354980469,607.498291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.8809814453125,-48.325599670410156,-6.191122531890869,346.8809814453125,-48.325599670410156,-6.191122531890869,346.2214660644531,-47.52739715576172,-6.841732025146484,344.16204833984375,-47.48073959350586,-9.316397666931152,344.16204833984375,-47.48073959350586,-9.316397666931152,342.2678527832031,-48.77564239501953,-9.539027214050293,343.07757568359375,-49.40254211425781,-12.76187515258789,343.07757568359375,-49.40254211425781,-12.76187515258789,346.97265625,-48.38763427734375,-8.78246784210205,347.0871276855469,-47.95806884765625,-6.342135906219482,0.46788942601545447,9.441376919214342,1.0,0.018513257575757575,0.5,0.0,19.55,100
L-1:4,1.4064907348067146,16.82896682583912,15.691146151793438,8.878903943757427,1.316804160488499,3.5017946143120477,12.473197143221586,12.099535424612267,6.848570169510257,0.6212146332582184,628.3732299804688,27.16994285583496,314.6957702636719,352.4278259277344,195.7681884765625,413.0863952636719,67.88703918457031,229.5365753173828,203.11619567871094,183.35662841796875,740.4268798828125,166.9613037109375,593.2466430664063,409.3280334472656,446.9241943359375,879.1192016601563,149.98655700683594,808.859130859375,804.1362915039063,453.8106384277344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.5397644042969,-41.445159912109375,-7.191922187805176,349.0173645019531,-41.054405212402344,-7.576065540313721,348.524658203125,-40.60910415649414,-7.671713352203369,348.8140563964844,-40.32705307006836,-7.730395317077637,350.4986877441406,-40.31581115722656,-13.649248123168945,350.6831359863281,-40.319427490234375,-13.85538101196289,349.6835632324219,-41.62960433959961,-13.420233726501465,349.3638000488281,-42.69102096557617,-10.264426231384277,349.3429870605469,-42.67673873901367,-7.592984199523926,350.0882263183594,-41.74805450439453,-6.858675003051758,16.854881517193085,10.308189929301498,1.0,0.021680194805194807,5.5,5.79,26.71,36
L-1:5,5.452620634364579,8.44733222703416,11.260762084959698,11.266379732360535,11.619303329497049,1.8246107969894088,12.32785350582976,11.109983715842302,3.377108732569766,13.935232551868875,127.41192626953125,157.1763153076172,1094.1883544921875,701.2000732421875,124.73246765136719,792.0928344726563,152.52645874023438,638.261962890625,995.40380859375,532.394775390625,1088.6405029296875,258.8323669433594,1084.419921875,1171.3673095703125,430.7036437988281,887.89599609375,173.8207550048828,511.140380859375,797.7197265625,227.18679809570313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.4190979003906,-36.70610046386719,-2.9124791622161865,348.9073791503906,-34.678470611572266,-5.970787525177002,348.88330078125,-34.64915466308594,-6.541004657745361,349.72467041015625,-34.41307830810547,-6.85270357131958,348.7896728515625,-35.211116790771484,-6.63451623916626,345.76214599609375,-36.64459991455078,-6.218505859375,345.76214599609375,-36.64459991455078,-6.218505859375,345.76214599609375,-36.64459991455078,-6.218505859375,345.6502990722656,-37.29207229614258,-4.016318321228027,345.4190979003906,-36.70610046386719,-2.9124791622161865,18.695255938824054,16.210988491195792,-1.0,0.01658288770053476,0.5,0.0,17.72,0
L-1:6,5.144351476104865,10.602384467727102,1.570960278121373,8.508688558534498,9.498297525229686,7.4180487389706355,5.858544999289246,7.936540417169491,5.90897829016357,18.24777003975182,1197.2645263671875,443.2453918457031,1441.1097412109375,516.785888671875,434.2027587890625,1358.43212890625,592.8226318359375,1067.8154296875,807.2661743164063,659.53955078125,481.453125,46.9370002746582,384.7135009765625,284.29425048828125,529.4946899414063,846.3312377929688,63.958213806152344,400.1277160644531,597.9464721679688,410.3423156738281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.1052551269531,-37.298519134521484,-4.279189109802246,346.1052551269531,-37.298519134521484,-4.279189109802246,346.57989501953125,-36.745452880859375,-4.692741394042969,338.669189453125,-43.75111770629883,-5.586181163787842,337.8210754394531,-43.76914978027344,-6.250518321990967,336.9761962890625,-44.4551887512207,-7.050349235534668,337.2420654296875,-43.87300491333008,-6.236225605010986,339.7205810546875,-42.438934326171875,-5.789350986480713,343.39752197265625,-39.711509704589844,-4.9067182540893555,345.09954833984375,-39.186729431152344,-3.567533016204834,10.30706541679859,7.239779780563049,1.0,0.015084445371142619,1.0,0.0,20.67,0
L-1:7,1.736096656623246,4.3189073797447515,1.9023036190983345,8.919843051881497,10.197023276386087,4.494389826664874,7.690489643425427,5.121971190784119,7.926495748253512,4.0956447314676625,540.2374877929688,22.302568435668945,767.4967651367188,452.9798583984375,79.55137634277344,525.6180419921875,456.1494140625,1062.0828857421875,782.3141479492188,495.7904357910156,919.7322387695313,281.0481872558594,623.9866333007813,240.508056640625,294.26025390625,759.4032592773438,122.80316925048828,780.1812744140625,1454.2423095703125,488.5921936035156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.8403625488281,-51.11484146118164,-5.9799628257751465,339.1015319824219,-50.40486145019531,-7.022338390350342,338.9439392089844,-49.90183639526367,-8.154942512512207,337.13287353515625,-49.72236633300781,-9.0587739944458,337.13287353515625,-49.72236633300781,-9.0587739944458,335.8212890625,-50.86087417602539,-8.120954513549805,339.330078125,-52.028804779052734,-10.471185684204102,340.58209228515625,-51.33099365234375,-7.133167743682861,340.58209228515625,-51.33099365234375,-7.133167743682861,339.8403625488281,-51.11484146118164,-5.9799628257751465,6.061595566085198,9.239892434929665,1.0,0.01696070878274268,1.0,0.0,18.87,0
L-1:8,9.225137087302523,6.607943008393872,7.601707450400639,16.724495957752012,6.661487250874099,2.633574928805164,4.878006366009214,7.661629604982327,3.3434537461651717,6.481520364439935,548.9242553710938,346.87744140625,491.67132568359375,343.9109191894531,18.307086944580078,365.455322265625,282.27374267578125,880.8970947265625,561.1316528320313,649.8596801757813,470.082275390625,42.54757308959961,571.1472778320313,517.7920532226563,187.60641479492188,875.2692260742188,272.88238525390625,941.3367919921875,649.94482421875,477.044677734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.7427978515625,-40.02695083618164,0.37723708152770996,344.12738037109375,-33.672515869140625,-8.36629581451416,343.71343994140625,-33.66195297241211,-9.663874626159668,340.918212890625,-36.6790885925293,-10.884419441223145,336.686767578125,-41.41619110107422,-11.96851634979248,335.547607421875,-45.28065490722656,-9.813469886779785,335.33685302734375,-46.31108856201172,-6.511072635650635,336.8859558105469,-45.03777313232422,-2.2839789390563965,336.8859558105469,-45.03777313232422,-2.2839789390563965,338.1795959472656,-42.29035568237305,-0.7168521881103516,11.20949841353798,24.76568838018057,-1.0,0.019988532110091745,2.0,4.05,27.39,0
L-1:9,15.895560579129732,1.9755525158780793,6.535894742069429,15.522348395806423,22.02365510541685,21.78049894391973,14.782312184302478,5.806388845323464,0.7163704147740918,15.685866569394484,588.4306640625,192.0363311767578,438.14923095703125,171.238525390625,452.93878173828125,892.5076293945313,52.69684982299805,1258.5863037109375,932.8021240234375,646.8704833984375,1101.2637939453125,9.245720863342285,964.1426391601563,1015.7135009765625,100.15827178955078,1031.0472412109375,404.3955993652344,684.47412109375,935.114501953125,394.3396911621094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0780334472656,-36.50979232788086,-3.4125773906707764,337.9390563964844,-34.804176330566406,-4.0788798332214355,342.2832946777344,-32.03221130371094,-6.681336402893066,342.2832946777344,-32.03221130371094,-6.681336402893066,340.6656494140625,-33.66366195678711,-6.946228981018066,337.9180908203125,-35.81592559814453,-7.487437725067139,337.9180908203125,-35.81592559814453,-7.487437725067139,337.11102294921875,-36.58576965332031,-5.408077239990234,337.11102294921875,-36.58576965332031,-5.408077239990234,338.0780334472656,-36.50979232788086,-3.4125773906707764,11.983601268849823,11.72428574008716,-1.0,0.014520493956910142,6.5,0.0,15.79,0
L-1:10,26.762569627360577,19.0072861087743,1.3774688437648803,13.539539116046202,4.377409384162874,1.42019372789738,9.248670481245266,2.419010286040339,10.115689788992494,6.658858932460321,1234.937255859375,13.783199310302734,921.8878784179688,414.6952209472656,339.2352600097656,387.5398254394531,1.5636404752731323,689.8133544921875,470.3572082519531,624.2987670898438,73.3195571899414,186.45773315429688,1613.813720703125,1392.291748046875,320.58392333984375,855.2197875976563,84.24848175048828,952.1829833984375,823.9192504882813,97.96154022216797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.5257568359375,-39.55768585205078,-5.677539825439453,336.5257568359375,-39.55768585205078,-5.677539825439453,337.227294921875,-39.008270263671875,-6.282271385192871,330.2094421386719,-46.11237716674805,-7.836235046386719,330.2094421386719,-46.11237716674805,-7.836235046386719,325.15887451171875,-46.94652557373047,-11.831451416015625,328.4222412109375,-45.157981872558594,-9.91891098022461,328.4222412109375,-45.157981872558594,-9.91891098022461,333.1349182128906,-43.22780990600586,-5.8914618492126465,335.47369384765625,-41.318153381347656,-5.134709358215332,7.0814909321874016,3.4591050987958853,1.0,0.01635054735840076,5.0,0.0,19.63,0
