Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,31.11726672442736,35.35845448992666,13.055209972847788,4.304989475293923,16.322746302711227,11.02410431995373,12.986939563473296,10.532391591990695,13.983995680494106,22.5569862211581,620.1302490234375,52.52323913574219,725.9097900390625,563.569580078125,251.02459716796875,400.4441223144531,225.0872039794922,465.7770690917969,875.4962768554688,539.9375,883.4209594726563,55.00537872314453,730.6415405273438,667.0148315429688,240.1719970703125,349.45819091796875,137.80714416503906,401.99456787109375,653.0197143554688,254.39984130859375,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.125490203499794,0.1882353127002716,0.1882353127002716,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.20000001788139343,0.23333334922790527,0.23333334922790527,0.0,-61.59375,-7.78125,0.0,-60.671875,-8.53125,0.0,-61.0625,-8.25,0.0,-61.953125,-9.015625,0.0,-64.796875,-6.703125,0.0,-64.796875,-6.703125,0.0,-67.765625,-5.765625,0.0,-71.3125,-3.53125,0.0,-63.671875,-7.96875,0.0,-63.734375,-7.6875,6.145953599109222,8.259157014152423,-1.0,0.021320031712473573,23.0,0.0,23.05,36
L-1:2,7.519750530727198,6.138341714969431,2.586040524629075,13.243515264680505,7.8455521132958195,6.7796376208673985,8.720188807460927,11.338758624159999,3.4669227165860965,7.149206742388268,1246.565185546875,30.28623390197754,1897.275634765625,976.0130004882813,237.80384826660156,1212.536865234375,805.6749267578125,1344.805908203125,325.322998046875,311.68853759765625,881.2954711914063,54.206905364990234,1085.3084716796875,691.9639282226563,294.6398620605469,772.1859130859375,633.965087890625,975.527587890625,810.8650512695313,494.6449890136719,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.125490203499794,0.125490203499794,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.40000003576278687,0.1666666716337204,0.20000001788139343,0.23333334922790527,0.23333334922790527,0.23333334922790527,0.0,-72.875,3.21875,0.0,-68.90625,5.375,0.0,-68.90625,5.375,0.0,-67.078125,6.734375,0.0,-66.0,-2.265625,0.0,-70.125,0.140625,0.0,-73.625,0.609375,0.0,-74.203125,1.515625,0.0,-74.203125,1.515625,0.0,-72.875,3.21875,11.665724243161975,11.82963656598727,-1.0,0.01243421052631579,3.0,0.0,14.85,4
L-1:3,14.411479946675055,1.0127062911807978,6.253105532881359,8.110967543596859,14.536673387368706,6.377772627993414,3.486071636049875,1.7927285861786233,5.4999304129830255,14.638778832244235,1146.9581298828125,72.40229797363281,1184.7440185546875,366.59088134765625,71.09246063232422,789.3632202148438,275.97955322265625,1313.2618408203125,935.3507690429688,706.5194702148438,2371.62890625,516.11669921875,1182.6805419921875,957.5064697265625,314.92572021484375,1565.61376953125,542.9664916992188,1466.9949951171875,1602.7080078125,748.4169921875,0.1882353127002716,0.1882353127002716,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.40000003576278687,0.06666667014360428,0.1666666716337204,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,-67.84375,5.609375,0.0,-67.84375,5.609375,0.0,-64.796875,6.140625,0.0,-64.796875,6.140625,0.0,-64.046875,7.03125,0.0,-64.046875,7.03125,0.0,-64.046875,7.03125,0.0,-67.484375,5.625,0.0,-67.484375,5.625,0.0,-67.84375,5.609375,1.3553430463922056,15.145298869740529,-1.0,0.010256916996047432,7.5,0.0,10.38,32
L-1:4,5.936740170739619,10.29500050885368,4.8746301666368534,3.8543004947966266,7.851726731428288,10.401963585568938,11.453564102476372,8.316896181971353,6.802428076055772,5.163416553623829,1102.6688232421875,301.6877746582031,1523.99365234375,1192.8336181640625,350.76226806640625,2196.689453125,521.3089599609375,1506.4725341796875,935.169921875,577.7139282226563,1279.63427734375,103.6959228515625,1655.127685546875,1086.2080078125,298.778564453125,1107.7850341796875,491.90240478515625,1246.8016357421875,1323.1759033203125,1079.2371826171875,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.125490203499794,0.125490203499794,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.13333334028720856,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,-69.390625,2.578125,0.0,-66.609375,3.78125,0.0,-66.609375,3.78125,0.0,-66.609375,3.78125,0.0,-66.421875,3.640625,0.0,-66.421875,3.640625,0.0,-68.625,2.34375,0.0,-68.625,2.34375,0.0,-68.625,2.34375,0.0,-69.390625,2.578125,14.575729654411937,8.681926139481728,-1.0,0.008005590666018475,0.0,5.31,9.41,0
L-1:5,18.59678780121605,20.584296594276076,5.978459392917862,11.211765910249689,0.7629376457342547,9.200506986987914,3.9289156461886887,2.686755992360589,11.727578817971697,17.454768457261622,1222.19091796875,102.07972717285156,479.0721435546875,732.1876220703125,141.64175415039063,1367.0263671875,186.1699981689453,970.2576293945313,698.4090576171875,683.3290405273438,1558.8045654296875,113.2511978149414,869.6165161132813,1172.7528076171875,265.16070556640625,827.40869140625,253.50177001953125,1051.064697265625,883.345703125,630.578857421875,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.1882353127002716,0.1882353127002716,0.125490203499794,0.125490203499794,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.5333333611488342,0.23333334922790527,0.30000001192092896,0.30000001192092896,0.36666667461395264,0.36666667461395264,0.0,-71.40625,1.484375,0.0,-68.1875,2.09375,0.0,-68.1875,2.09375,0.0,-67.1875,2.796875,0.0,-67.1875,2.796875,0.0,-73.328125,1.765625,0.0,-78.0625,2.375,0.0,-78.0625,2.375,0.0,-70.390625,2.609375,0.0,-73.078125,1.03125,8.640893647016455,14.182608934558145,-1.0,0.010804347826086955,6.0,0.0,15.62,0
L-1:6,4.981687780046731,3.0958751472634454,7.166285666626323,5.919563328679611,9.275367711655713,5.924996156276446,8.988814931520347,14.337210904529554,1.548427699552207,2.4355402690088335,819.7730102539063,71.4129867553711,1144.4580078125,635.290771484375,264.8925476074219,1198.0150146484375,285.7466125488281,967.85302734375,764.5764770507813,525.7958374023438,1057.882080078125,321.96429443359375,714.8408203125,888.1585693359375,260.4796447753906,878.8797607421875,83.13301086425781,705.509033203125,822.1966552734375,526.1927490234375,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.250980406999588,0.250980406999588,0.250980406999588,0.1882353127002716,0.5,0.5,0.5,0.5333333611488342,0.10000000894069672,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.5,0.0,-67.671875,3.828125,0.0,-67.359375,3.859375,0.0,-67.359375,3.859375,0.0,-67.484375,3.921875,0.0,-68.625,3.609375,0.0,-68.625,3.609375,0.0,-72.1875,2.34375,0.0,-72.1875,2.34375,0.0,-72.984375,3.109375,0.0,-68.0625,3.46875,6.931279302992648,1.4225809835990897,-1.0,0.013283699059561128,0.0,0.0,16.95,0
L-1:7,13.203613670614399,2.3070689491473155,3.000032418974311,2.720249118221755,1.212805526114684,3.3239047810844067,7.164128366660294,0.9545413690700293,13.219759738029667,11.860727458461147,1083.8062744140625,257.5279541015625,1122.8486328125,555.0491333007813,165.88876342773438,980.1875,300.4411315917969,1164.8863525390625,614.9283447265625,496.0025329589844,1133.3612060546875,196.47486877441406,1133.202392578125,779.8711547851563,488.20849609375,867.8531494140625,196.74127197265625,632.767822265625,1151.593505859375,320.8830261230469,0.1882353127002716,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.1882353127002716,0.250980406999588,0.250980406999588,0.250980406999588,0.1882353127002716,0.46666669845581055,0.23333334922790527,0.3333333432674408,0.4333333671092987,0.23333334922790527,0.40000003576278687,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.0,-66.765625,6.21875,0.0,-60.890625,7.5,0.0,-60.890625,7.5,0.0,-60.875,7.546875,0.0,-62.40625,7.609375,0.0,-62.40625,7.609375,0.0,-65.328125,6.390625,0.0,-65.328125,6.390625,0.0,-67.484375,6.421875,0.0,-67.875,6.28125,4.274337758286763,6.864379762878216,-1.0,0.013386917960088692,3.5,0.0,17.25,0
L-1:8,20.413037895808927,18.267556433253425,20.50632661298687,8.149783179899922,5.075152912580278,6.8737353581762015,2.2986873548510913,1.3596959405684808,4.357515251348876,10.513897588453627,464.7594909667969,132.75645446777344,248.73902893066406,225.09933471679688,322.6639404296875,908.3887329101563,454.4479675292969,574.0685424804688,795.3607177734375,444.1123046875,802.8856201171875,27.231908798217773,524.5280151367188,268.0406494140625,253.60569763183594,776.8892822265625,165.33665466308594,524.38720703125,392.5225524902344,346.08355712890625,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.46666669845581055,0.10000000894069672,0.10000000894069672,0.0,-72.421875,-1.90625,0.0,-71.34375,-1.765625,0.0,-71.71875,-1.515625,0.0,-72.0,-1.734375,0.0,-72.0,-1.734375,0.0,-74.1875,-1.0625,0.0,-75.703125,-1.3125,0.0,-74.84375,-2.125,0.0,-74.921875,-2.15625,0.0,-73.25,-2.15625,8.148601126222353,17.39990843547372,-1.0,0.016916102514506766,7.0,3.57,19.99,0
L-1:9,2.155192431347935,3.4133073144157877,2.915393180649767,1.1995139250157765,1.4248654645686107,10.615599100138626,5.7631749669775845,1.8484195315254597,1.931283147181983,3.421587868246779,1041.5821533203125,205.63462829589844,577.8471069335938,102.86958312988281,175.61875915527344,893.829833984375,355.6785583496094,798.867919921875,739.3517456054688,671.7702026367188,894.7383422851563,79.50752258300781,656.2711181640625,94.44451141357422,225.7777862548828,674.8126831054688,188.81727600097656,647.3820190429688,657.1725463867188,445.15765380859375,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.125490203499794,0.062745101749897,0.125490203499794,0.125490203499794,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.10000000894069672,0.2666666805744171,0.10000000894069672,0.30000001192092896,0.40000003576278687,0.40000003576278687,0.0,-71.515625,1.0625,0.0,-71.515625,1.0625,0.0,-71.171875,1.0625,0.0,-70.828125,0.84375,0.0,-72.203125,0.140625,0.0,-73.234375,0.84375,0.0,-74.1875,-1.0625,0.0,-72.3125,0.390625,0.0,-73.484375,-0.390625,0.0,-73.140625,0.0,27.271808754302754,34.59408275226954,-1.0,0.017400087834870445,4.5,0.0,22.64,0
L-1:10,5.638102098089732,1.9559011440048168,4.890505576383376,3.2147076676851394,4.595558570125611,5.056664282992801,2.5953140928395544,2.30871801504677,3.193565607704047,7.528496437844985,993.4959716796875,138.8614959716797,788.77587890625,638.7237548828125,247.31346130371094,981.7722778320313,224.06765747070313,829.0151977539063,704.6213989257813,612.0144653320313,831.5272216796875,188.0148468017578,875.7954711914063,786.07568359375,308.11541748046875,1067.7283935546875,279.11431884765625,1026.8258056640625,1095.834716796875,520.6007080078125,0.1882353127002716,0.062745101749897,0.125490203499794,0.125490203499794,0.125490203499794,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.36666667461395264,0.03333333507180214,0.2666666805744171,0.4333333671092987,0.13333334028720856,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.0,-69.109375,3.609375,0.0,-64.734375,4.09375,0.0,-65.046875,3.859375,0.0,-65.109375,4.0625,0.0,-65.109375,4.0625,0.0,-66.703125,3.890625,0.0,-66.703125,3.890625,0.0,-67.578125,3.859375,0.0,-67.578125,3.859375,0.0,-69.109375,3.609375,2.6762917660282133,3.594248695193569,-1.0,0.012529644268774702,1.5,0.0,12.68,0
