Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.380952425301075,4.615288368550075,1.3563990860669204,7.150583575577678,4.676738642580297,3.0491068365239675,2.604501113321956,3.1370669274379104,8.460545230303287,8.826889869141514,1375.82080078125,156.82205200195312,1664.7322998046875,711.3646850585938,256.47686767578125,1302.517333984375,562.641845703125,1947.3792724609375,1093.819580078125,1542.462646484375,2111.748291015625,87.25501251220703,1598.879638671875,1162.4361572265625,12.795690536499023,1889.0810546875,987.6494750976562,1902.96728515625,1280.8201904296875,1374.45703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.029411766678094864,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.037254903465509415,0.037254903465509415,0.0470588281750679,0.037254903465509415,313.07098388671875,-10.459088325500488,5.914384841918945,312.8616027832031,-10.396156311035156,5.88834810256958,312.8616027832031,-10.396156311035156,5.88834810256958,312.67095947265625,-10.339218139648438,5.884573459625244,312.67095947265625,-10.339218139648438,5.884573459625244,312.57122802734375,-10.324748992919922,5.898087501525879,312.57122802734375,-10.324748992919922,5.898087501525879,312.5184020996094,-10.391160011291504,5.927312850952148,313.24188232421875,-10.504545211791992,5.971091270446777,313.07098388671875,-10.459088325500488,5.914384841918945,9.722219163921128,2.1996095965332336,1.0,0.006833677685950413,4.190476268529892,0.0,11.34,108
L-1:2,5.913971423017261,9.571675140043597,10.855220827663187,14.442325858034549,3.232370593131502,4.01471224780042,6.507470125707211,4.518324872576433,3.6889952653524856,3.861689379818088,824.4091186523438,64.45539093017578,1291.7449951171875,1099.669189453125,265.5847473144531,997.3397827148438,450.5373229980469,1994.91943359375,809.9485473632812,835.1560668945312,1817.4549560546875,67.84933471679688,1915.2030029296875,1238.5047607421875,187.38645935058594,2840.69189453125,492.20843505859375,1378.2579345703125,1734.371337890625,1437.912841796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03333333507180214,0.03333333507180214,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.029411766678094864,0.03529411926865578,0.03529411926865578,312.8811340332031,-10.63747787475586,6.018847465515137,312.8922119140625,-10.614581108093262,5.976520538330078,312.8776550292969,-10.605215072631836,5.98444938659668,312.8776550292969,-10.605215072631836,5.98444938659668,312.9890441894531,-10.592730522155762,6.022853851318359,312.9890441894531,-10.592730522155762,6.022853851318359,313.0269775390625,-10.563981056213379,5.9877705574035645,313.0269775390625,-10.563981056213379,5.9877705574035645,312.8811340332031,-10.63747787475586,6.018847465515137,312.8811340332031,-10.63747787475586,6.018847465515137,6.77798235430998,4.611651223977403,1.0,0.007005131964809384,7.238095372915268,0.0,10.92,68
L-1:3,7.8130074986690525,2.8743967355172186,6.906658841948582,6.688045680813437,6.585847660964631,5.812645639570723,4.456135912112142,6.584027742427679,17.378559450705183,15.995155313366581,2426.3232421875,476.9142761230469,2220.301025390625,1866.4117431640625,587.8954467773438,1104.828125,622.547119140625,1638.3818359375,1460.2965087890625,1343.515625,2296.688720703125,104.6500473022461,2183.154541015625,2026.897705078125,1363.4969482421875,2351.136962890625,926.9419555664062,2362.86962890625,2254.8349609375,1572.2080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.037254903465509415,0.0313725508749485,0.029411766678094864,0.029411766678094864,0.03529411926865578,0.037254903465509415,0.03333333507180214,0.037254903465509415,0.037254903465509415,312.8815002441406,-10.605764389038086,5.980045795440674,312.8815002441406,-10.605764389038086,5.980045795440674,312.8815002441406,-10.605764389038086,5.980045795440674,312.78338623046875,-10.492820739746094,5.972933292388916,312.78338623046875,-10.492820739746094,5.972933292388916,312.8212890625,-10.53748893737793,5.977010726928711,312.8212890625,-10.53748893737793,5.977010726928711,312.8212890625,-10.53748893737793,5.977010726928711,312.8191223144531,-10.564056396484375,6.012056827545166,312.8191223144531,-10.564056396484375,6.012056827545166,17.324959053139292,7.330111684925118,-1.0,0.005620799434029006,8.380952537059784,0.0,9.08,44
L-1:4,9.065646369936829,2.57728042467143,4.867506576482571,11.376258290830764,2.8920563457399453,1.1586214559235455,3.496627774087712,8.811839711282307,5.951526383243141,1.5291644350965503,1227.1148681640625,229.1574249267578,1689.4150390625,1390.5548095703125,96.04090118408203,1096.1373291015625,262.495361328125,1798.7891845703125,1505.3328857421875,1167.3094482421875,1713.705810546875,28.097280502319336,1328.6026611328125,1512.48095703125,311.6748352050781,1985.39404296875,285.6410827636719,1090.8167724609375,1329.5408935546875,476.1392822265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333507180214,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.029411766678094864,0.03333333507180214,312.898681640625,-10.643692970275879,6.003149509429932,312.8743896484375,-10.598600387573242,5.980792999267578,312.8743896484375,-10.598600387573242,5.980792999267578,312.8219909667969,-10.54674243927002,5.98727560043335,312.79583740234375,-10.530722618103027,6.002448081970215,312.79583740234375,-10.530722618103027,6.002448081970215,312.7752685546875,-10.51630687713623,6.0121541023254395,312.7752685546875,-10.51630687713623,6.0121541023254395,312.73516845703125,-10.452825546264648,5.988130569458008,312.898681640625,-10.643692970275879,6.003149509429932,5.314593024060086,4.538549758886272,1.0,0.007922599488864548,5.71428582072258,3.14,12.4,100
L-1:5,9.488028198238425,21.235281233428704,10.121532719747762,3.445063578900765,2.140712618715445,5.544297085300249,12.170834639902651,12.997144133934372,6.049336616613609,6.807485166186761,3012.266845703125,382.9809875488281,2202.302001953125,939.8497924804688,469.6889953613281,3462.326416015625,1178.8719482421875,2315.819580078125,1375.4603271484375,1291.1827392578125,2919.580078125,778.7549438476562,2591.64892578125,1822.625244140625,395.5145568847656,2795.448974609375,518.0756225585938,2774.758544921875,1908.490478515625,1253.950439453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.027450982481241226,0.0313725508749485,0.03333333507180214,0.029411766678094864,0.0313725508749485,0.03333333507180214,0.037254903465509415,0.037254903465509415,0.03333333507180214,312.86993408203125,-10.643003463745117,6.040384769439697,312.88330078125,-10.623981475830078,5.999673366546631,312.88330078125,-10.623981475830078,5.999673366546631,312.88330078125,-10.623981475830078,5.999673366546631,312.8992004394531,-10.625762939453125,5.980807781219482,312.8695373535156,-10.641204833984375,6.038750171661377,312.8695373535156,-10.641204833984375,6.038750171661377,312.8695373535156,-10.641204833984375,6.038750171661377,312.86993408203125,-10.643003463745117,6.040384769439697,312.86993408203125,-10.643003463745117,6.040384769439697,17.24230446400287,11.94211916016282,-1.0,0.004638755980861244,8.380952537059784,0.0,8.31,100
L-1:6,6.867716843090696,1.5079977131613076,2.306689310094478,1.4969796496492254,2.005396622225229,1.2953781678173881,5.815126043522343,3.9474585492088305,1.9578410727271607,5.450337230009504,1503.236328125,199.39559936523438,784.6580810546875,785.628662109375,418.88140869140625,1236.8529052734375,359.7313537597656,1012.0545043945312,1299.72802734375,386.5002746582031,1099.501708984375,50.27033233642578,1386.4566650390625,1110.200439453125,530.2943725585938,1857.68310546875,609.1312866210938,1804.544189453125,1076.9091796875,886.6796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.0313725508749485,0.027450982481241226,0.037254903465509415,0.029411766678094864,0.03529411926865578,0.03529411926865578,0.03333333507180214,0.03333333507180214,0.0313725508749485,312.8207092285156,-10.584349632263184,6.034533977508545,312.8207092285156,-10.584349632263184,6.034533977508545,312.7823486328125,-10.511115074157715,5.996488571166992,312.7823486328125,-10.511115074157715,5.996488571166992,312.75927734375,-10.473037719726562,5.980778694152832,312.878662109375,-10.638591766357422,6.023475646972656,312.8724670410156,-10.634259223937988,6.026435852050781,312.8724670410156,-10.634259223937988,6.026435852050781,312.85284423828125,-10.627232551574707,6.043923854827881,312.85284423828125,-10.627232551574707,6.043923854827881,18.090726591520703,4.7244269013982585,-1.0,0.008491919191919191,1.523809552192688,0.0,12.01,0
L-1:7,7.18021987658802,7.1171781483244,1.6632548722197662,3.883160655779113,5.258574797381958,10.095687509588195,7.10631044172617,4.746673268764075,11.420129378960375,12.903757479645218,1805.638427734375,293.91265869140625,699.5477905273438,432.7991943359375,204.3293914794922,561.3007202148438,695.7498779296875,1962.821533203125,1498.204833984375,817.861328125,1965.2669677734375,332.0889892578125,1689.5146484375,1341.3792724609375,597.0587158203125,2031.135009765625,882.2073364257812,1516.9918212890625,904.3694458007812,648.7989501953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411766678094864,0.037254903465509415,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.03333333507180214,0.03333333507180214,0.03529411926865578,0.037254903465509415,0.037254903465509415,312.95526123046875,-10.710007667541504,6.008350849151611,312.95526123046875,-10.710007667541504,6.008350849151611,312.82666015625,-10.582097053527832,6.023924350738525,312.88848876953125,-10.625609397888184,5.994767189025879,312.88848876953125,-10.625609397888184,5.994767189025879,312.8916320800781,-10.645608901977539,6.014810085296631,312.8916320800781,-10.645608901977539,6.014810085296631,312.8916320800781,-10.645608901977539,6.014810085296631,312.90045166015625,-10.68136215209961,6.046370506286621,312.90045166015625,-10.68136215209961,6.046370506286621,8.894442875089462,15.027067164213548,-1.0,0.007718145308506755,6.095238208770752,0.0,12.08,0
L-1:8,7.6930927249157355,10.728364022548146,14.981534052313526,22.268471872207197,11.73738417460639,0.8780518694304822,15.379335768263443,12.991167983382578,16.490561070077842,19.222973802576174,2385.443115234375,103.94386291503906,2184.193603515625,1651.97119140625,190.43643188476562,2086.800537109375,412.0772399902344,2138.001220703125,1571.56787109375,1734.2117919921875,1410.7989501953125,322.87969970703125,2035.62890625,1353.70361328125,711.7544555664062,2209.014404296875,772.4046020507812,2591.515380859375,1648.5213623046875,1823.0987548828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03333333507180214,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.029411766678094864,313.204345703125,-10.719145774841309,6.049734115600586,313.1961669921875,-10.674240112304688,6.006761074066162,313.1961669921875,-10.674240112304688,6.006761074066162,313.1259765625,-10.621753692626953,6.036825180053711,313.1259765625,-10.621753692626953,6.036825180053711,313.1259765625,-10.621753692626953,6.036825180053711,313.10552978515625,-10.618537902832031,6.060083389282227,313.10552978515625,-10.618537902832031,6.060083389282227,313.0991516113281,-10.57304859161377,6.013865947723389,313.204345703125,-10.719145774841309,6.049734115600586,22.78480659628247,8.969327908974876,1.0,0.005679374389051808,11.809524029493332,6.63,9.96,0
L-1:9,1.5503638951729874,3.330823635008234,2.312317726136017,15.3558476750105,11.488199747142716,8.47190918885154,6.54125988190149,4.409344729459114,0.7336847512189423,10.611663921634245,2085.864501953125,238.81393432617188,1525.8948974609375,1259.98583984375,1127.9810791015625,1746.442138671875,343.015869140625,1641.4599609375,1708.7239990234375,924.25732421875,2214.748779296875,134.95751953125,1852.9754638671875,632.5603637695312,1223.6173095703125,2973.611328125,1228.0927734375,1884.596435546875,2230.9228515625,1764.267822265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.029411766678094864,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.0313725508749485,0.0313725508749485,0.037254903465509415,0.03529411926865578,313.16839599609375,-10.544588088989258,5.82277774810791,313.16839599609375,-10.544588088989258,5.82277774810791,312.997802734375,-10.517576217651367,5.819738864898682,312.997802734375,-10.517576217651367,5.819738864898682,312.806396484375,-10.513456344604492,5.89139461517334,312.806396484375,-10.513456344604492,5.89139461517334,313.23016357421875,-10.552491188049316,5.860830307006836,313.23016357421875,-10.552491188049316,5.860830307006836,313.23016357421875,-10.552491188049316,5.860830307006836,313.16839599609375,-10.544588088989258,5.82277774810791,6.431921645481225,14.138190357040877,1.0,0.00546524064171123,0.761904776096344,0.0,8.76,0
L-1:10,0.666666679084301,3.853131917791797,4.8919011243700385,13.979708852856689,5.845435727702152,5.143738997291804,6.168404878831491,9.50077956341283,4.856705952978021,2.953641242058836,1863.3609619140625,392.15057373046875,1969.427734375,1255.4678955078125,1183.89404296875,1779.9583740234375,619.790283203125,1947.88232421875,2590.07177734375,1001.4278564453125,2457.41748046875,88.99807739257812,1482.748779296875,1085.5306396484375,951.0009765625,2425.298095703125,585.8342895507812,1450.424560546875,1658.300537109375,1036.859130859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.03529411926865578,0.03333333507180214,0.03333333507180214,0.029411766678094864,0.03921568766236305,0.03921568766236305,0.037254903465509415,0.037254903465509415,0.037254903465509415,312.7171630859375,-10.053361892700195,6.144622325897217,312.9119567871094,-10.120619773864746,6.093539714813232,312.9119567871094,-10.120619773864746,6.093539714813232,313.12738037109375,-10.145639419555664,6.016780853271484,312.6158142089844,-9.988423347473145,5.983452796936035,312.6158142089844,-9.988423347473145,5.983452796936035,312.7823486328125,-9.929752349853516,6.062734127044678,312.7823486328125,-9.929752349853516,6.062734127044678,312.7171630859375,-10.053361892700195,6.144622325897217,312.7171630859375,-10.053361892700195,6.144622325897217,11.384837166168527,12.786487985787899,-1.0,0.006537541405962458,0.761904776096344,0.0,10.15,0
