Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.080513755954808,8.997637351095452,14.13851481723732,11.137589224671752,14.54904677730712,15.793810791335074,3.8544457732837576,0.8281622422672755,6.044373552665574,13.1890333155288,656.287353515625,187.97071838378906,1278.635986328125,1319.63134765625,511.4319763183594,1596.88134765625,446.9241943359375,1045.167236328125,1594.3197021484375,1115.3302001953125,1602.83544921875,14.837248802185059,898.07763671875,368.192138671875,27.212339401245117,468.89910888671875,299.537841796875,1091.261474609375,1162.288818359375,578.270751953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.011764707043766975,-112.48246002197266,-26.64810562133789,-17.85886001586914,-116.14280700683594,-24.51167106628418,-16.515140533447266,-116.14280700683594,-24.51167106628418,-16.515140533447266,-116.168212890625,-27.2838134765625,-19.517032623291016,-116.168212890625,-27.2838134765625,-19.517032623291016,-116.67129516601563,-28.10061264038086,-22.037935256958008,-116.67129516601563,-28.10061264038086,-22.037935256958008,-119.56885528564453,-27.667850494384766,-19.80034637451172,-111.5114517211914,-24.62094497680664,-19.107336044311523,-112.48246002197266,-26.64810562133789,-17.85886001586914,10.588253765066936,14.953904993675115,-1.0,0.010115647626709573,9.333333611488342,0.0,14.37,44
L-1:2,11.685699110233031,12.560195043754259,4.627390248867635,2.529852774209426,4.2388333473229025,19.046726737185544,16.88885975362866,9.211200241833765,14.42649230495353,13.296100342047458,1124.2723388671875,135.49569702148438,1013.108154296875,732.0316162109375,451.45892333984375,1161.2784423828125,233.98728942871094,1288.6519775390625,1254.1494140625,589.9448852539063,1932.6029052734375,177.0175323486328,1030.7734375,712.5249633789063,547.4656372070313,1264.4127197265625,967.1573486328125,1572.465576171875,863.0582885742188,825.9223022460938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.007843137718737125,0.007843137718737125,0.009803921915590763,0.013725491240620613,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.007843137718737125,0.007843137718737125,-125.81858825683594,-17.01020622253418,-6.7611308097839355,-125.59600830078125,-19.764385223388672,-7.144843578338623,-124.83595275878906,-19.59090232849121,-8.766613960266113,-122.2927474975586,-22.069543838500977,-11.742952346801758,-122.2927474975586,-22.069543838500977,-11.742952346801758,-121.33383178710938,-21.533891677856445,-12.986732482910156,-121.33383178710938,-21.533891677856445,-12.986732482910156,-121.12201690673828,-21.275428771972656,-11.844099998474121,-124.86121368408203,-19.573274612426758,-12.76574420928955,-125.81858825683594,-17.01020622253418,-6.7611308097839355,4.268749618840547,3.0185792586171636,-1.0,0.008965821000704722,8.33333358168602,0.0,14.54,64
L-1:3,22.786448893372544,14.621369840175698,5.718639906079379,9.966014568510069,8.849212491684582,5.185449883239793,2.5438882667390668,1.639743859417423,1.5846759629941989,5.132514422779646,2499.53466796875,418.8916320800781,1010.3727416992188,63.74664306640625,1630.009765625,3318.99951171875,10.812872886657715,2210.284912109375,1439.58740234375,468.5216064453125,2904.8232421875,89.07270812988281,764.7064819335938,718.5225219726563,699.0157470703125,2023.595458984375,579.156982421875,2294.151611328125,1741.3076171875,269.9629211425781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.007843137718737125,0.009803921915590763,0.009803921915590763,0.011764707043766975,0.013725491240620613,0.01568627543747425,0.013725491240620613,0.011764707043766975,0.007843137718737125,-112.02332305908203,-17.06889533996582,-5.006175994873047,-116.15740966796875,-15.13488483428955,-8.14830207824707,-122.92498016357422,-10.326972007751465,-3.3511979579925537,-120.92073059082031,-13.3629150390625,-7.970946311950684,-120.92073059082031,-13.3629150390625,-7.970946311950684,-118.3062973022461,-14.651671409606934,-8.55677604675293,-118.3062973022461,-14.651671409606934,-8.55677604675293,-114.1951904296875,-16.264432907104492,-8.275050163269043,-114.1951904296875,-16.264432907104492,-8.275050163269043,-112.02332305908203,-17.06889533996582,-5.006175994873047,5.676462291147222,9.560546944926973,-1.0,0.00656622403813415,2.0000000596046448,0.0,11.02,44
L-1:4,11.244752197408387,11.266167870346601,8.091340119081591,3.7381679111634014,11.21049328798728,10.005554311391169,3.1985420054393727,1.0354403200956013,4.3809800130786,20.61945084160469,0.0,0.0,1796.4310302734375,976.3884887695313,1450.059814453125,2942.3583984375,97.05929565429688,2566.81640625,922.3117065429688,395.0885314941406,1927.2034912109375,15.075223922729492,2128.000732421875,1972.1463623046875,543.9938354492188,2229.64794921875,1105.3544921875,1204.324951171875,2027.1298828125,786.0662231445313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005882353521883488,0.009803921915590763,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.007843137718737125,-122.4222183227539,-15.461881637573242,-7.985990524291992,-123.54876708984375,-14.026195526123047,-7.172379970550537,-122.73302459716797,-14.08435344696045,-6.88396692276001,-122.73302459716797,-14.08435344696045,-6.88396692276001,-122.73302459716797,-14.08435344696045,-6.88396692276001,-121.1690444946289,-18.007755279541016,-13.962363243103027,-121.1690444946289,-18.007755279541016,-13.962363243103027,-115.60459899902344,-21.611099243164063,-11.589211463928223,-115.60459899902344,-21.611099243164063,-11.589211463928223,-115.60459899902344,-21.611099243164063,-11.589211463928223,13.535960739567688,8.706064897327604,-1.0,0.006483453784709016,2.6666667461395264,5.05,9.74,68
L-1:5,4.447221487246303,2.849462336564956,2.9580635669257345,5.036423917649333,11.026181621706085,5.000000149011612,2.379390408353982,8.129778052095443,3.5180989866390866,4.528982961706653,1439.8582763671875,12.738738059997559,1361.57275390625,701.4622802734375,606.05029296875,2212.451904296875,330.95318603515625,2284.75048828125,1577.0570068359375,1072.697021484375,0.0,0.0,654.3368530273438,671.6178588867188,585.1868286132813,1413.204833984375,287.7941589355469,1361.1602783203125,1236.82763671875,826.4471435546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.007843137718737125,0.005882353521883488,0.007843137718737125,0.011764707043766975,0.007843137718737125,0.003921568859368563,0.013725491240620613,0.011764707043766975,0.007843137718737125,-115.02911376953125,-19.839658737182617,-6.7288055419921875,-116.15056610107422,-19.076322555541992,-7.011471271514893,-116.15056610107422,-19.076322555541992,-7.011471271514893,-116.15056610107422,-19.076322555541992,-7.011471271514893,-117.7468490600586,-16.804691314697266,-7.531040191650391,-117.62448120117188,-17.317596435546875,-9.793402671813965,-116.39720153808594,-16.874553680419922,-9.23106575012207,-116.50138854980469,-18.419267654418945,-9.964046478271484,-113.15278625488281,-20.421457290649414,-8.567726135253906,-113.15278625488281,-20.421457290649414,-8.567726135253906,3.073181577352241,3.7496089477999184,-1.0,0.00810905820797907,0.6666666865348816,0.0,14.17,44
L-1:6,3.073181577352241,6.591751827095915,4.649292562649529,7.792639491442373,3.6523059812930745,11.411495519171519,0.609992725053286,3.0602992635293624,7.654902693752223,14.322252668373649,936.4398193359375,298.93426513671875,1722.00634765625,1161.685302734375,150.41842651367188,2026.04248046875,781.3106079101563,1799.212890625,372.91748046875,135.16122436523438,1736.4903564453125,124.32856750488281,872.2578735351563,451.3958740234375,333.8166809082031,1697.1199951171875,514.5598754882813,1461.356689453125,1300.05224609375,798.323974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.005882353521883488,0.007843137718737125,0.011764707043766975,0.011764707043766975,0.013725491240620613,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.007843137718737125,-121.02005004882813,-21.06383514404297,-10.807924270629883,-121.02005004882813,-21.06383514404297,-10.807924270629883,-122.09961700439453,-19.487516403198242,-10.484204292297363,-124.08982849121094,-16.75809097290039,-11.082427024841309,-116.40888214111328,-19.08464241027832,-13.73541259765625,-115.82737731933594,-19.514034271240234,-14.22491455078125,-112.85475158691406,-22.485668182373047,-13.578226089477539,-113.16535186767578,-23.90311050415039,-14.780720710754395,-113.16535186767578,-23.90311050415039,-14.780720710754395,-120.00497436523438,-19.563915252685547,-8.187382698059082,5.821416572349388,3.1914412304116184,-1.0,0.009102624179943767,3.000000089406967,0.0,16.65,108
L-1:7,21.356758609336115,30.710961333366125,4.908425585503804,16.687035466472352,23.1518467194244,20.223749018871352,12.881236160203525,4.283803994201353,6.018305063556947,14.914128533045114,1678.7264404296875,14.959379196166992,760.695556640625,990.4027709960938,453.5127258300781,2904.298828125,763.1302490234375,1071.5067138671875,1261.955078125,881.327392578125,1341.31298828125,151.22930908203125,986.7371215820313,518.0535888671875,537.9020385742188,1131.3135986328125,169.7064666748047,1984.122314453125,686.1615600585938,1479.561279296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009803921915590763,0.007843137718737125,0.011764707043766975,0.013725491240620613,0.013725491240620613,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.011764707043766975,-117.98796844482422,-22.019990921020508,-14.250763893127441,-122.2118911743164,-19.280553817749023,-13.080084800720215,-121.03871154785156,-22.2860050201416,-16.94229507446289,-121.03871154785156,-22.2860050201416,-16.94229507446289,-121.03871154785156,-22.2860050201416,-16.94229507446289,-122.21212768554688,-21.440000534057617,-17.734434127807617,-122.21212768554688,-21.440000534057617,-17.734434127807617,-122.20236206054688,-22.77813720703125,-16.18608856201172,-113.1593017578125,-25.771621704101563,-18.561649322509766,-117.98796844482422,-22.019990921020508,-14.250763893127441,10.79609014888298,18.179173297971754,-1.0,0.008228181818181817,0.3333333432674408,0.0,12.93,0
L-1:8,4.472136088279617,3.5872562643608417,2.694906007953322,2.669325680057539,6.839018140674451,8.339997584015824,2.7440784296657035,8.392831735793445,18.417547823023614,27.438997608792278,621.9110717773438,315.3504943847656,1544.3184814453125,1201.2154541015625,274.82000732421875,1108.3587646484375,353.2597351074219,1833.3876953125,1260.956787109375,1179.7515869140625,1396.2763671875,96.54977416992188,1227.5501708984375,1160.0032958984375,235.670166015625,1745.16943359375,804.1045532226563,1889.22412109375,1450.40283203125,846.089111328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.003921568859368563,0.0,0.005882353521883488,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.007843137718737125,-115.46258544921875,-23.49797821044922,-8.706021308898926,-120.5760498046875,-17.973194122314453,-6.342778205871582,-122.41099548339844,-16.775196075439453,-8.403029441833496,-122.58907318115234,-16.62530517578125,-7.232102394104004,-118.81352233886719,-19.577228546142578,-13.74912166595459,-118.6772689819336,-19.94689178466797,-15.649136543273926,-116.53495788574219,-23.499000549316406,-11.931990623474121,-116.53495788574219,-23.499000549316406,-11.931990623474121,-116.31532287597656,-22.045490264892578,-8.038212776184082,-116.31532287597656,-22.045490264892578,-8.038212776184082,1.666666716337204,11.608399050707673,-1.0,0.007794154074808025,3.6666667759418488,5.65,17.98,0
L-1:9,16.03122001964897,17.410733634464016,8.042332453278034,2.8471616869895864,0.8009811230439873,1.4907120294265221,4.192321108259508,4.9816181894506535,6.814925746716014,12.759954188596211,2261.996337890625,196.19444274902344,1704.9381103515625,1361.2950439453125,110.02299499511719,2512.40771484375,818.6085815429688,2666.1845703125,1470.2493896484375,612.3306274414063,1562.4532470703125,61.5670051574707,1199.296630859375,1613.26806640625,1071.1534423828125,2282.22509765625,205.17958068847656,2075.65380859375,1682.264892578125,1463.1337890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.003921568859368563,0.007843137718737125,0.009803921915590763,0.013725491240620613,0.01568627543747425,0.013725491240620613,0.011764707043766975,0.011764707043766975,0.009803921915590763,-100.79158782958984,-22.944067001342773,-21.712099075317383,-104.20032501220703,-18.824705123901367,-18.592330932617188,-104.20032501220703,-18.824705123901367,-18.592330932617188,-103.12439727783203,-18.456430435180664,-21.279184341430664,-103.12439727783203,-18.456430435180664,-21.279184341430664,-103.12439727783203,-18.456430435180664,-21.279184341430664,-100.03280639648438,-22.331926345825195,-24.041128158569336,-101.39724731445313,-20.506685256958008,-25.24390411376953,-101.39724731445313,-20.506685256958008,-25.24390411376953,-100.79158782958984,-22.944067001342773,-21.712099075317383,16.12451597714511,7.796955110686541,-1.0,0.006670033670033671,6.000000178813934,0.0,11.32,0
L-1:10,4.921607833419806,1.7432288633824675,4.805462446937788,6.28372326423163,9.382618053567434,10.671874047101369,5.928859338718872,1.5264083879384664,9.970485191705308,1.9931050452929682,1515.803955078125,66.12438201904297,940.6680908203125,717.0840454101563,659.967529296875,1635.64501953125,838.8822021484375,2173.958740234375,386.2950134277344,47.190528869628906,1316.338623046875,349.345458984375,1006.7637939453125,629.7113647460938,1461.681396484375,2532.954345703125,629.326171875,1214.5577392578125,1708.8045654296875,1004.1868286132813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007843137718737125,0.005882353521883488,0.007843137718737125,0.011764707043766975,0.003921568859368563,0.01568627543747425,0.01568627543747425,0.013725491240620613,0.011764707043766975,0.007843137718737125,-100.13433837890625,-27.271955490112305,-22.169828414916992,-105.3662109375,-22.04150390625,-20.250808715820313,-105.3662109375,-22.04150390625,-20.250808715820313,-104.62114715576172,-24.273555755615234,-21.619009017944336,-106.057861328125,-22.637500762939453,-24.47053337097168,-99.75975036621094,-21.716400146484375,-26.597196578979492,-97.45516967773438,-23.326148986816406,-29.552385330200195,-97.45516967773438,-23.326148986816406,-29.552385330200195,-97.58954620361328,-26.65571403503418,-26.901803970336914,-100.13433837890625,-27.271955490112305,-22.169828414916992,8.66666692495346,6.49605477493728,-1.0,0.0076855788096795285,0.6666666865348816,0.0,13.43,0
