Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.142837320573286,0.16605062609967042,5.317888783800639,5.694945007876897,5.30533915254498,1.7356433582833164,3.820566561946867,2.8921714234502818,0.7415490598822463,1.9298050409073935,330.2785339355469,20.778520584106445,76.35688781738281,128.05104064941406,75.41635131835938,150.93081665039063,77.43902587890625,287.6351623535156,193.1827850341797,203.41024780273438,496.8824462890625,103.48210144042969,347.5421447753906,220.15052795410156,116.22726440429688,437.4735412597656,41.89079666137695,175.76931762695313,388.2120361328125,142.31918334960938,0.18039216101169586,0.14509804546833038,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.1764705926179886,0.18039216101169586,0.18431372940540314,0.1882353127002716,0.18039216101169586,0.14509804546833038,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.1764705926179886,0.18039216101169586,0.18431372940540314,0.1882353127002716,173.890625,-55.078125,2.46875,173.234375,-54.375,3.828125,174.875,-53.3125,2.078125,174.84375,-57.515625,2.0625,174.78125,-60.8125,0.3125,174.71875,-61.15625,-0.53125,174.6875,-61.40625,-0.703125,174.59375,-60.890625,-0.78125,174.5,-59.671875,-0.46875,174.265625,-56.515625,-0.21875,3.222088477085873,8.495230781617657,-1.0,0.03726300437530384,2.0,0.0,43.8,100
L-1:2,3.247004895519321,4.434615451702399,1.4215062667866776,3.3470261672594215,3.1049748980870753,3.5092673334395856,2.38915308342162,0.8063435473427686,0.08854739875423018,6.352259486035045,383.0133361816406,12.821663856506348,351.6614990234375,299.4530029296875,156.20074462890625,309.62567138671875,59.88309097290039,46.91312026977539,257.4215393066406,124.39916229248047,442.20635986328125,44.526329040527344,354.625,188.69471740722656,132.4806671142578,304.4548034667969,161.39468383789063,298.7265930175781,333.875244140625,315.0074768066406,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.18039216101169586,0.18431372940540314,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.18039216101169586,0.18431372940540314,0.1882353127002716,172.03125,-56.84375,-0.609375,171.90625,-57.640625,-0.921875,171.640625,-57.28125,-0.78125,171.375,-59.046875,-0.953125,172.578125,-61.25,-0.53125,172.5625,-61.5,-0.75,172.53125,-62.21875,-1.671875,172.421875,-61.5625,-1.453125,172.34375,-60.703125,-1.3125,172.25,-59.859375,-1.09375,4.758443323454743,4.914745874944055,-1.0,0.03246632996632997,0.5,0.0,33.06,100
L-1:3,4.220246959490372,2.762475718138743,3.884935134400156,1.0073989826083012,9.071222526173875,1.5626417706665239,0.6482448730338128,2.140157674944147,2.484701586490623,0.9960124602319225,209.9029998779297,0.3611904978752136,442.7784729003906,395.5286560058594,97.15267944335938,311.93212890625,123.11058044433594,318.1995544433594,475.7317810058594,132.27818298339844,659.5881958007813,5.369150161743164,305.19989013671875,197.96096801757813,61.045188903808594,390.1418762207031,77.14875793457031,595.3870849609375,308.4003601074219,213.2317657470703,0.18431372940540314,0.18039216101169586,0.1882353127002716,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.18039216101169586,0.1882353127002716,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.1882353127002716,0.1882353127002716,171.125,-60.46875,-1.0625,171.09375,-60.296875,-1.234375,171.046875,-61.0,-1.84375,170.984375,-62.1875,-2.796875,170.953125,-62.671875,-3.390625,170.96875,-63.140625,-1.375,170.984375,-64.34375,-3.890625,171.0625,-63.578125,-4.03125,171.09375,-62.84375,-2.40625,171.140625,-61.53125,-1.234375,4.549214546203145,5.0568801034781465,-1.0,0.027080965909090912,2.0,0.0,38.13,100
L-1:4,2.790863964806755,6.455669593829566,12.51091998594022,16.51847782949333,14.583041073739633,10.193677739941247,11.97929880988089,6.013243288763234,3.4496061600442167,5.448376682228179,378.9412841796875,32.95038986206055,210.20098876953125,168.66244506835938,121.96592712402344,330.2763977050781,11.613492965698242,574.5796508789063,620.9178466796875,411.45819091796875,374.6341552734375,33.268314361572266,584.8230590820313,371.9361572265625,200.92153930664063,661.892822265625,232.4283447265625,488.7774353027344,316.56402587890625,197.32301330566406,0.16470588743686676,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.19215688109397888,0.19215688109397888,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.16470588743686676,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.19215688109397888,0.19215688109397888,0.1882353127002716,0.1882353127002716,0.18431372940540314,170.53125,-55.0625,-0.390625,171.109375,-56.515625,-1.171875,171.0625,-56.03125,-1.65625,170.921875,-58.609375,-5.0625,170.84375,-60.921875,-5.890625,170.765625,-60.875,-7.046875,170.6875,-61.109375,-7.6875,170.578125,-61.3125,-3.546875,170.546875,-61.46875,-1.453125,170.53125,-59.5,-0.84375,5.952712678100013,7.736460293757655,1.0,0.02296969696969697,6.0,3.02,30.32,4
L-1:5,5.119847999458916,1.3769449748037779,5.209568425380225,5.717053047149384,3.174228579692059,0.7698632748781384,6.301372827263038,7.369377420721956,1.1156325173041033,2.298525662849261,668.8140869140625,3.729501247406006,235.47982788085938,318.6767578125,361.64178466796875,672.1670532226563,174.39010620117188,198.3095245361328,322.1197509765625,270.97003173828125,373.1802062988281,46.757606506347656,520.7677001953125,310.0293884277344,190.3717498779297,510.0525817871094,149.2654571533203,344.0633850097656,315.0767517089844,367.39324951171875,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.1764705926179886,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.1764705926179886,170.578125,-54.734375,-0.875,170.59375,-50.84375,-0.703125,170.671875,-51.03125,-0.78125,170.890625,-50.96875,-1.3125,171.109375,-54.25,-1.9375,171.21875,-56.125,-2.046875,171.40625,-57.96875,-2.4375,171.46875,-57.0625,-1.625,170.78125,-58.421875,-0.875,170.625,-54.859375,-0.703125,4.429251550569875,4.080975330955844,1.0,0.02525,3.0,0.0,33.33,32
L-1:6,2.4582436807985584,4.562969837619841,5.634664827445376,7.434500585595535,1.327969193852354,4.729751044532897,5.373949259869902,1.3806318959562967,4.384521509073839,2.265862364908004,530.3240966796875,76.7790756225586,371.2510070800781,256.6094665527344,158.67039489746094,441.2030029296875,63.684173583984375,346.5226745605469,498.6815185546875,233.28688049316406,85.2625503540039,73.6256332397461,392.53656005859375,408.98651123046875,155.27001953125,652.7193603515625,76.42537689208984,466.47406005859375,514.9945068359375,271.3865661621094,0.18039216101169586,0.18039216101169586,0.1882353127002716,0.19215688109397888,0.18431372940540314,0.16470588743686676,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.1882353127002716,0.19215688109397888,0.18431372940540314,0.16470588743686676,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.18039216101169586,171.25,-53.625,-1.171875,171.1875,-51.90625,-1.796875,171.171875,-51.25,-2.0625,171.09375,-54.203125,-2.0625,171.046875,-56.828125,-2.90625,170.953125,-58.796875,-3.859375,171.40625,-60.875,-3.0,171.375,-60.703125,-1.796875,171.34375,-57.328125,-2.0625,171.296875,-54.671875,-1.140625,7.668406944663922,7.21090897250332,-1.0,0.026254346746150025,2.5,0.0,30.2,0
L-1:7,7.118272295223984,3.1751464991017135,2.1494126766523887,4.892558604544018,5.033069057223687,1.1508698627964682,3.3416086737415394,5.024408179060409,1.8415022142510975,9.177074425435542,296.5108642578125,116.46293640136719,306.8011474609375,237.42935180664063,291.7044372558594,589.1851806640625,180.4175567626953,410.5920715332031,280.3410339355469,265.5098571777344,448.8638610839844,11.99950122833252,393.4761047363281,320.38995361328125,214.93594360351563,394.6366271972656,58.24873352050781,420.8542785644531,299.05609130859375,322.2970886230469,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.18039216101169586,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.18431372940540314,170.171875,-60.3125,-2.328125,170.265625,-60.125,-2.890625,170.421875,-60.4375,-4.421875,170.484375,-61.28125,-4.8125,170.546875,-61.90625,-6.078125,170.609375,-62.15625,-5.796875,170.671875,-62.546875,-5.046875,169.90625,-62.265625,-4.234375,169.984375,-60.765625,-2.328125,170.078125,-60.421875,-2.15625,10.120994529039127,1.4138368783351871,1.0,0.026622554660529346,1.5,0.0,26.44,0
L-1:8,38.876740402702374,38.1328860351399,46.1075470421891,38.294076199185234,11.215815710866872,1.829035720617731,2.5508461484713583,0.9519312518840505,1.3433347901064663,23.358584221213853,676.7147216796875,80.87184143066406,518.6719970703125,320.8885498046875,206.6988067626953,922.9982299804688,346.94476318359375,211.3803253173828,562.9451293945313,219.59152221679688,390.3125915527344,0.7327108383178711,336.8406677246094,257.43963623046875,45.654212951660156,294.1207275390625,61.65190887451172,633.3722534179688,442.7181701660156,373.1387634277344,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.19607844948768616,0.1882353127002716,0.18431372940540314,0.16470588743686676,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.19607844948768616,0.1882353127002716,0.18431372940540314,0.16470588743686676,0.18431372940540314,0.18039216101169586,0.18039216101169586,169.65625,-48.890625,-1.203125,169.78125,-49.90625,-0.859375,169.859375,-50.40625,-1.015625,170.125,-57.953125,-2.609375,170.3125,-57.359375,-1.3125,170.390625,-57.921875,-1.015625,170.4375,-60.328125,-1.09375,169.5,-60.9375,-2.6875,169.5,-59.890625,-1.65625,169.5625,-54.875,-2.1875,6.730213135422451,21.82337300269245,-1.0,0.02189649877149877,20.0,2.61,40.74,0
L-1:9,0.8653014293761856,3.6736879574058814,3.4765466879862057,1.441046974178402,4.220285639660936,0.3552441634206914,2.3081528300866725,6.50045109697897,2.039724119341848,2.447483940677422,247.263916015625,24.934370040893555,451.9833679199219,282.34466552734375,132.04330444335938,479.26104736328125,99.13111114501953,141.1459197998047,369.24932861328125,268.46527099609375,439.4037170410156,75.77680206298828,451.9848937988281,502.9322814941406,197.6860809326172,636.9884033203125,156.24520874023438,393.84698486328125,222.65248107910156,240.00270080566406,0.18431372940540314,0.18039216101169586,0.1764705926179886,0.14509804546833038,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.18039216101169586,0.1764705926179886,0.14509804546833038,0.18039216101169586,0.18431372940540314,0.18431372940540314,0.1882353127002716,0.18431372940540314,0.18431372940540314,168.453125,-57.234375,-1.09375,168.40625,-55.65625,-0.921875,168.375,-55.1875,-0.859375,168.8125,-56.671875,-0.78125,168.71875,-61.015625,-0.84375,168.671875,-61.0,-1.09375,168.609375,-61.578125,-2.6875,168.578125,-60.875,-1.796875,168.546875,-59.515625,-1.703125,168.484375,-58.6875,-2.15625,3.4281410618601806,8.28208196265846,-1.0,0.027399905793688176,2.5,0.0,33.24,0
L-1:10,2.181798816128558,4.000189588081315,5.5969411920746435,2.359134943883104,5.271733313707582,4.867521556401253,2.939093930478498,5.231000591778783,6.146551998856926,1.9288294503322863,196.1460418701172,0.03420126438140869,455.4139404296875,242.74191284179688,154.26986694335938,568.6203002929688,58.11959457397461,209.45021057128906,451.6647644042969,228.6901092529297,562.18505859375,35.927730560302734,485.35906982421875,306.7308349609375,169.67251586914063,525.5674438476563,0.0,0.0,319.9596862792969,182.94766235351563,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.18039216101169586,0.12156863510608673,0.1764705926179886,0.18039216101169586,0.18039216101169586,0.18431372940540314,0.1882353127002716,0.1882353127002716,0.1882353127002716,0.18431372940540314,0.18039216101169586,0.12156863510608673,0.1764705926179886,168.03125,-55.0625,-0.609375,168.078125,-54.5,-0.78125,168.109375,-55.5625,-0.875,168.171875,-55.25,-0.875,168.203125,-57.359375,-1.234375,168.234375,-60.296875,-1.703125,168.25,-60.75,-2.203125,168.265625,-60.8125,-1.3125,168.3125,-56.90625,-0.84375,168.015625,-55.703125,-0.875,3.5671327938286517,5.36540673707404,1.0,0.028327922077922077,1.0,0.0,34.9,0
