Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.431340454586984,1.1495344419720235,5.015639380547028,4.537931184146557,8.906834770058751,5.820309173039791,7.4184676198447494,8.546235944845233,11.654862483985154,3.375422075142208,1176.8175048828125,50.097129821777344,946.131591796875,701.9217529296875,398.489990234375,1725.17333984375,68.34716033935547,1030.8641357421875,644.3306274414063,329.01275634765625,957.3587646484375,56.05537414550781,808.5924072265625,465.06396484375,268.5694580078125,1873.9420166015625,158.81610107421875,962.3823852539063,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.587906118853782,3.9882529026637723,1.0,0.012442109777015436,2.0,0.0,16.58,76
L-1:2,7.233439807624188,4.675128460658994,0.6914606613989903,18.956909357244527,3.5141227673217226,4.363754479934109,5.96406796321593,2.7553864987567893,2.7847009427875684,5.0871342791509,857.7929077148438,76.30733489990234,661.2965087890625,704.6990966796875,308.7808837890625,1082.513916015625,441.6697692871094,871.37451171875,911.8228759765625,408.5181884765625,1031.9488525390625,27.955177307128906,735.7548217773438,387.5381164550781,380.1602478027344,1057.57763671875,159.01431274414063,437.3802185058594,557.64013671875,649.0759887695313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.023275081316903,13.229472395237453,1.0,0.014258429364063166,2.5,0.0,19.09,100
L-1:3,2.884907308863781,7.059845242039205,11.94150642407847,7.343002951150857,12.315016387978703,1.0719938111735148,4.050293405464486,6.740891067079785,6.022047220826981,0.7978584277897972,1141.088134765625,3.050231456756592,1219.0552978515625,460.0128173828125,0.19455990195274353,555.1084594726563,467.7366027832031,922.9404907226563,773.5431518554688,576.7399291992188,306.2332763671875,14.509283065795898,1158.4642333984375,1051.908203125,390.21807861328125,1213.8031005859375,347.91680908203125,1306.950927734375,665.8087768554688,561.2846069335938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.021568628028035164,0.021568628028035164,0.02549019828438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.88383660980124,7.642462213542667,1.0,0.013636363636363637,4.5,0.0,15.6,36
L-1:4,9.522711452557303,7.973740977129704,4.488377411621151,7.770963256889619,7.753276260875789,13.703471838649147,4.830287208848155,5.131836034331037,4.399248942441312,5.904895385251831,1767.4764404296875,213.87596130371094,267.25714111328125,198.97679138183594,399.5170593261719,1574.2396240234375,316.3356628417969,2689.76318359375,1245.3128662109375,2026.43115234375,1882.870361328125,179.36181640625,1560.501220703125,1910.4947509765625,690.7240600585938,2070.432373046875,804.6419677734375,2051.678955078125,776.7267456054688,1603.914306640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.23961296212129,14.890595786119368,1.0,0.008568428853754941,0.0,-9.88,9.91,36
L-1:5,14.215179497704948,4.674947637954872,0.7266060577777077,2.773214681751094,7.200317872546002,15.123515986331055,16.65566667244552,11.621248361561161,4.192621501725229,9.588236429993696,967.6176147460938,116.67454528808594,1011.6341552734375,1200.6485595703125,58.49703598022461,6.031540393829346,308.2628173828125,747.6067504882813,798.1299438476563,363.2723388671875,856.3853149414063,32.23499298095703,212.55886840820313,70.74935913085938,624.9628295898438,798.2592163085938,87.81177520751953,1194.9393310546875,986.4456787109375,631.3778686523438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.027450982481241226,0.02549019828438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.566905630770437,16.05608273430081,1.0,0.013327762923351158,3.5,0.0,17.09,100
L-1:6,0.6138917745095778,2.5954452128764767,2.402246489841498,5.963954145424592,9.975822598034622,4.937469674558443,1.5577704240839583,7.291623308656827,2.030518482835544,3.028663361510165,695.5123291015625,15.649130821228027,387.92401123046875,371.0912780761719,269.86334228515625,625.0064697265625,387.0733947753906,872.0457153320313,734.5120849609375,475.56854248046875,609.5938720703125,45.46052551269531,713.0787353515625,354.1704406738281,458.51605224609375,1066.8436279296875,452.42633056640625,834.9052124023438,655.3162231445313,588.2593994140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.121574045203445,9.652555954827506,1.0,0.01581267217630854,2.5,0.0,19.68,0
L-1:7,1.1665400627803295,6.113092819038124,4.204574563887107,14.7871570508699,13.222237337047115,2.488180989786188,4.092766937148364,6.388585691268855,5.966027633701412,1.9310306727126492,476.2212219238281,10.084372520446777,1004.9425659179688,739.5969848632813,797.2058715820313,1470.7906494140625,57.29780960083008,1220.898193359375,776.6842041015625,471.90301513671875,1016.0647583007813,215.25022888183594,809.1949462890625,539.8104248046875,303.42071533203125,1143.4910888671875,234.37713623046875,902.8670043945313,417.7982177734375,347.2113037109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.34722800550268,3.104999458467018,1.0,0.013097758405977584,0.0,0.0,18.03,0
L-1:8,3.306816016891085,1.9276995039790992,5.566373176826187,7.47768390624388,1.9342562198437263,15.103723273891823,7.122917810597335,7.5464977463395675,2.8432795483264135,3.868027635531935,2082.09326171875,159.38882446289063,931.8486328125,393.9372863769531,503.9286804199219,1511.731689453125,786.0980834960938,1728.064453125,290.9003601074219,449.12176513671875,2656.718994140625,1183.468994140625,2494.32568359375,2347.59814453125,958.5935668945313,2038.0452880859375,1165.6619873046875,2121.022216796875,1433.2852783203125,1030.3095703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.242382940928792,12.153660975439827,1.0,0.008396937287311617,1.0,-9.24,9.87,0
L-1:9,4.806780046622106,8.12687113224124,2.83153088912918,2.0603722722683773,3.2503881962230987,8.897460965787838,4.007399277402187,1.4779042897816708,2.7792158601528643,12.939728374671136,190.24073791503906,99.51850128173828,1230.6611328125,1208.42578125,434.0411682128906,742.4361572265625,273.8279724121094,816.898193359375,634.582763671875,339.7688293457031,857.8375244140625,11.376885414123535,590.1417236328125,317.5101013183594,256.0267639160156,645.4912109375,245.5183868408203,332.8317565917969,538.6093139648438,504.95477294921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.972887530673328,3.922843132809992,1.0,0.014627005347593584,4.5,0.0,15.63,0
L-1:10,6.503249339845959,4.268635455038544,8.391961901068697,6.639996512343021,6.89762217307251,2.871906172061227,7.393551009080857,14.059300096482486,3.3954968824965914,2.87178501991966,1177.49755859375,84.7367172241211,1314.6387939453125,670.7579956054688,315.6339111328125,561.189453125,232.41073608398438,904.8179931640625,733.44580078125,414.2360534667969,757.125,22.986604690551758,498.9150390625,373.0079040527344,290.7860107421875,1010.3795776367188,672.0567016601563,1643.7559814453125,312.5209655761719,284.3008728027344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.240755470413442,6.499186192726717,1.0,0.013943254198031267,1.5,0.0,13.76,0
