Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,12.77753187119896,7.8347920397785655,0.04380072966902025,2.100239769078561,8.88742843187149,3.8861346047910166,2.701130554472612,1.6254018580245087,12.718632367609368,13.671161264119053,1337.6650390625,269.0926208496094,953.7892456054688,470.5404052734375,582.2858276367188,1444.4935302734375,575.9132690429688,1309.8028564453125,1516.07763671875,1197.111083984375,2798.21875,1405.005859375,1476.5701904296875,758.8733520507812,522.9872436523438,1320.3975830078125,739.0764770507812,1016.2989501953125,689.400390625,402.8289794921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,348.3559875488281,-38.803165435791016,-3.3682498931884766,347.9394836425781,-38.363319396972656,-2.786466598510742,347.7615051269531,-38.71706008911133,-2.511981248855591,347.72003173828125,-38.76601028442383,-2.674435615539551,347.899658203125,-40.283512115478516,-4.222018241882324,348.0336608886719,-41.05416488647461,-4.743322849273682,347.2738037109375,-38.82807159423828,-4.630519866943359,347.341064453125,-39.62334442138672,-5.035374164581299,347.9630126953125,-39.59074020385742,-4.662956237792969,348.4237365722656,-39.14204406738281,-4.020543575286865,11.374874358436132,2.6017351642835,-1.0,0.008783465725213296,6.0000002682209015,0.0,17.06,100
L-1:2,8.861750350020136,2.8166976530188648,4.991672705038067,6.183205030824089,6.017775143617403,3.0904726599811645,6.370116671573295,10.265763143462134,8.219991047074547,9.475005409968594,2341.99853515625,467.5445861816406,1308.201904296875,434.1457824707031,47.38648223876953,1049.1551513671875,44.43962860107422,1670.6094970703125,1599.7764892578125,649.5989379882812,2169.677734375,701.98876953125,928.5414428710938,969.5717163085938,237.47779846191406,999.9243774414062,442.0111083984375,1241.42578125,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.021568628028035164,344.12054443359375,-36.86399459838867,2.330596446990967,345.6142272949219,-37.19532012939453,1.7118284702301025,345.291748046875,-38.58281707763672,0.2889147996902466,344.5816650390625,-40.253387451171875,-1.098251461982727,344.33245849609375,-41.82672882080078,-2.339982032775879,345.6211242675781,-42.26428985595703,-3.7388312816619873,346.0920104980469,-42.093589782714844,-3.7411534786224365,346.8314514160156,-41.48239517211914,-3.332303047180176,347.3766174316406,-39.63355255126953,-2.7229137420654297,348.01953125,-38.01900100708008,-1.4686843156814575,13.22026950671696,6.341665824791291,1.0,0.007457658779576587,1.7142857909202576,0.0,17.11,68
L-1:3,4.932193506666812,24.091618884212448,8.00329696312482,3.259842458774268,7.791566205095333,6.420630302522881,9.610566898515515,3.883373491069343,0.8076038008219827,3.029513348560146,2352.101318359375,924.9409790039062,1334.0469970703125,623.3493041992188,163.6183319091797,1795.3861083984375,467.6896667480469,1726.989013671875,928.8599243164062,548.6703491210938,2590.650390625,201.9221649169922,535.7400512695312,1103.82958984375,613.0936279296875,1866.3970947265625,398.56707763671875,2196.49853515625,1354.6966552734375,605.2869873046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.027450982481241226,0.02352941408753395,341.2854919433594,-40.9544792175293,-0.09170643240213394,340.7030029296875,-40.858604431152344,0.324054479598999,340.279541015625,-40.668643951416016,1.3226362466812134,340.4151916503906,-40.988590240478516,0.8068700432777405,341.6780090332031,-42.32377624511719,-0.7863335609436035,342.2197265625,-40.247196197509766,-0.5255544781684875,341.9559326171875,-41.25294876098633,-1.3104729652404785,341.917236328125,-41.36098098754883,-1.512282133102417,341.9688720703125,-41.345367431640625,-1.2310599088668823,341.91217041015625,-40.76203155517578,-0.4463377296924591,6.074369307393828,4.959808669856308,-1.0,0.006504010695187166,7.4285717606544495,0.0,13.9,108
L-1:4,23.15696322714217,19.774975182070214,9.82634190060696,3.3100280208530104,2.9287108943162536,0.638876593559948,8.693516465506555,13.6308294198091,10.891665814274166,20.221143375996963,1318.76318359375,195.6028289794922,1653.78662109375,734.096435546875,648.6925048828125,2273.245849609375,372.5992126464844,1726.9720458984375,1076.75537109375,611.6294555664062,856.1195068359375,175.6139373779297,1153.1104736328125,1153.2247314453125,679.0243530273438,1710.2677001953125,484.9624938964844,1118.3482666015625,1360.7152099609375,516.6983032226562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,341.982177734375,-42.90032196044922,-2.894946336746216,341.77947998046875,-42.79036331176758,-2.747652530670166,341.65777587890625,-42.55985641479492,-2.646106243133545,341.65777587890625,-42.55985641479492,-2.646106243133545,342.2728576660156,-42.95463943481445,-3.620598077774048,342.5984191894531,-42.68156433105469,-3.0913755893707275,342.3055419921875,-42.95183181762695,-3.2842884063720703,342.4342346191406,-42.86296081542969,-3.23736572265625,342.4193420410156,-42.83259963989258,-3.1754684448242188,342.35418701171875,-42.89567184448242,-3.193557024002075,24.027196550246355,13.058196069608952,-1.0,0.007769686299615876,11.428571939468384,3.73,13.87,108
L-1:5,4.989785707795931,2.957211064842593,1.088041460119089,4.9866207072609345,3.8410353437755216,2.634155676982469,1.3520277204486764,3.5903312204481024,2.9405956656820433,3.6670322482631423,1042.5206298828125,194.58670043945312,1391.6290283203125,1180.5313720703125,425.3856201171875,1278.2210693359375,56.429378509521484,1105.9716796875,1208.933837890625,933.3557739257812,1514.9461669921875,270.99468994140625,1176.5518798828125,959.5093994140625,625.2914428710938,1172.4219970703125,782.1577758789062,1945.3912353515625,1572.4888916015625,858.5659790039062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,342.17852783203125,-42.444435119628906,-4.3339128494262695,342.1316833496094,-42.397457122802734,-4.226009845733643,342.4729309082031,-42.50083923339844,-4.32804536819458,342.73541259765625,-42.654972076416016,-4.634264945983887,342.9461364746094,-42.875022888183594,-4.9885358810424805,343.0684814453125,-43.13554763793945,-5.179076194763184,343.0824279785156,-43.16073989868164,-5.08652925491333,343.06890869140625,-43.345558166503906,-5.057514667510986,342.55712890625,-43.212867736816406,-4.559199333190918,341.63031005859375,-42.430763244628906,-4.486440181732178,4.997958990436425,1.0109197191145585,1.0,0.007786813825152484,2.2857143878936768,0.0,15.32,36
L-1:6,10.536622707929876,8.818260384124539,9.779091124050089,6.484658482387775,8.641808180563519,7.923100139254188,5.00771497894975,5.054123014427399,1.0933230856608054,8.771949288176792,1869.324462890625,327.92987060546875,1120.61474609375,631.81884765625,387.38385009765625,963.7852783203125,969.8272094726562,1053.8985595703125,1536.049072265625,1135.69775390625,1104.4736328125,24.780038833618164,1865.963134765625,1400.85107421875,830.3413696289062,1580.2374267578125,352.5154724121094,1455.6943359375,1925.337646484375,998.8475952148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,343.1244812011719,-43.76053237915039,-4.75929069519043,342.0142517089844,-43.859840393066406,-5.708526134490967,342.5730895996094,-43.893585205078125,-5.911319732666016,343.1739501953125,-44.38167953491211,-6.641694068908691,343.1570739746094,-44.701995849609375,-6.975967884063721,342.81280517578125,-45.232486724853516,-7.327374458312988,342.9829406738281,-45.608116149902344,-7.326215744018555,343.0335388183594,-45.185523986816406,-6.890689849853516,342.51519775390625,-44.54353713989258,-5.791390895843506,342.8055725097656,-43.61799240112305,-4.906379699707031,13.170778384912346,7.207614108069875,1.0,0.007465694682675815,1.7142857909202576,0.0,17.41,0
L-1:7,1.6659863301454751,4.114397616742303,4.170775737055634,13.298666567071837,11.15050196525281,6.2727141090122025,4.039628906521102,13.354552830898383,11.278277080382393,6.297123961901811,1779.0799560546875,235.85824584960938,1013.5281982421875,540.584716796875,201.2938995361328,1124.2911376953125,357.83868408203125,1069.3575439453125,1075.4927978515625,575.6791381835938,0.0,0.0,1125.56591796875,978.7737426757812,232.88052368164062,1257.9361572265625,223.84437561035156,1228.521728515625,648.802490234375,850.5699462890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.02352941408753395,341.38385009765625,-46.743736267089844,-6.948733329772949,340.9697265625,-46.72314453125,-6.694161415100098,340.8948669433594,-46.720611572265625,-6.7132954597473145,341.0461120605469,-46.85576248168945,-6.984577655792236,341.16619873046875,-47.23904037475586,-7.444047927856445,341.1826477050781,-47.349708557128906,-7.129490375518799,340.7450866699219,-47.772945404052734,-7.59014368057251,340.9359436035156,-48.21318435668945,-7.7346391677856445,341.2580261230469,-47.57064437866211,-7.2819342613220215,341.1822814941406,-47.405941009521484,-7.270763397216797,12.841260605045761,2.6550474245831914,-1.0,0.009244471744471744,5.428571671247482,0.0,17.2,0
L-1:8,10.301575533270547,2.5083750908474283,8.134486405505521,4.088165190144655,4.861525471673796,3.48758747468836,5.2942399971857474,0.7242172721946953,9.351063261279538,19.992649288796564,2373.69970703125,545.1629638671875,1172.720458984375,1307.0946044921875,704.3443603515625,1297.126708984375,462.44317626953125,1907.7598876953125,1502.2740478515625,1671.3377685546875,1650.6092529296875,602.8991088867188,1796.606689453125,1382.237060546875,560.7112426757812,1114.26611328125,1195.6217041015625,1770.236328125,1377.88818359375,1206.0706787109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,343.2386779785156,-42.133453369140625,-4.350470066070557,340.28302001953125,-44.303672790527344,-5.851267337799072,340.64697265625,-44.306396484375,-5.95341682434082,340.7716064453125,-44.63748550415039,-6.268996715545654,340.8533630371094,-44.85047149658203,-6.46820592880249,340.6743469238281,-45.133235931396484,-6.741787910461426,340.41949462890625,-45.171932220458984,-7.07106351852417,340.24041748046875,-44.96514892578125,-7.160555839538574,340.1549987792969,-44.44622802734375,-6.413640975952148,341.1804504394531,-43.6432991027832,-5.808966636657715,20.53369647087738,4.281094708439378,1.0,0.006304034582132565,4.285714477300644,3.65,13.75,0
L-1:9,4.865539179199799,3.3718119095224273,2.633394094100427,1.1825625648873037,2.6198093163397114,13.859352431715482,4.035026118599272,1.9580735547841865,4.012737370945262,1.842415546652324,1709.261474609375,136.8267364501953,1362.023681640625,962.8987426757812,442.41534423828125,1525.488525390625,212.87899780273438,470.9586486816406,1201.4415283203125,1408.3699951171875,1278.156005859375,288.2966003417969,1663.7735595703125,1216.7933349609375,480.5274353027344,2261.786865234375,677.2670288085938,1596.095703125,886.23193359375,678.4275512695312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,342.4356384277344,-50.13710021972656,-8.19247055053711,342.3699951171875,-50.12690734863281,-8.09168529510498,342.20050048828125,-50.198699951171875,-7.943191051483154,343.38946533203125,-47.58127212524414,-6.833683013916016,343.06854248046875,-47.729854583740234,-7.344354152679443,342.8833312988281,-50.41526412963867,-9.268465042114258,342.0445861816406,-51.315208435058594,-9.778250694274902,341.91558837890625,-51.31709671020508,-9.862778663635254,342.02813720703125,-51.228885650634766,-9.659849166870117,342.24554443359375,-50.790382385253906,-9.008482933044434,1.4568627832962056,7.927899165116175,-1.0,0.006785534907081868,1.428571492433548,0.0,15.44,0
L-1:10,2.303502316774159,2.1130751719086494,17.76959623242777,18.860825631090822,24.297959929080662,11.745603262837625,1.7580867508735776,3.437567164672208,2.3518433817153617,1.9163786230101678,1912.3414306640625,55.77772903442383,1527.5701904296875,337.8755187988281,585.7192993164062,1092.607177734375,304.7608642578125,1767.4781494140625,786.6917114257812,560.7747802734375,1606.1571044921875,268.0268859863281,903.5442504882812,1146.69873046875,497.88568115234375,867.003662109375,892.9738159179688,1634.8192138671875,87.65229034423828,659.152587890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,341.688232421875,-49.08448791503906,-7.853630065917969,341.8180236816406,-49.03810501098633,-7.973962783813477,342.12506103515625,-49.158447265625,-8.29261589050293,342.4595031738281,-49.69603729248047,-8.783053398132324,342.4937438964844,-50.1212272644043,-9.049180030822754,342.4852600097656,-51.25239562988281,-9.231943130493164,342.51287841796875,-51.36014175415039,-9.015520095825195,342.7947998046875,-50.638328552246094,-8.544424057006836,342.7330017089844,-49.85708999633789,-7.506330490112305,341.5918884277344,-49.1380615234375,-7.992684364318848,11.428571939468384,16.432251872809047,1.0,0.008128184499865916,4.5714287757873535,0.0,17.32,0
