Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.19506917151974207,1.3124719462598855,4.2754851052925735,7.91258144834492,2.042473112068667,1.3591260861793957,5.309228056608715,1.2728532209854146,0.509068845164049,2.550215960030832,362.6311340332031,35.54884338378906,424.1977233886719,324.88336181640625,52.59834289550781,678.8798828125,270.3056945800781,552.7080078125,417.6370849609375,592.8915405273438,1794.56201171875,9.620912551879883,956.5045776367188,734.2450561523438,154.56752014160156,679.38134765625,227.4747772216797,479.4797668457031,425.9037170410156,368.1058349609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.17823791503906,-81.7479248046875,-1.208907127380371,183.06854248046875,-81.89762878417969,-1.0715200901031494,183.21664428710938,-81.86530303955078,-0.8227551579475403,182.8585968017578,-81.31539916992188,-1.1851176023483276,183.01954650878906,-80.02596282958984,0.1532474011182785,182.03704833984375,-80.73129272460938,-0.4513280391693115,181.7377471923828,-81.42543029785156,-1.3463122844696045,181.9786834716797,-81.04936218261719,-1.831804871559143,182.62998962402344,-80.89096069335938,-2.1063175201416016,183.1514434814453,-81.22702026367188,-1.8637436628341675,8.59950959552139,16.882003789475903,-1.0,0.019617592305305617,5.000000149011612,0.0,36.13,100
L-1:2,2.3199065377233876,2.8555743702483984,6.256501985249322,2.9079180436944134,1.5050171222450346,1.2748178353193595,1.564418561400613,3.59076847245278,6.922545847716481,3.6051000335400856,716.1597290039063,64.33885192871094,571.9483032226563,469.1479187011719,310.82037353515625,617.3984985351563,128.5473175048828,796.3429565429688,763.8740844726563,368.1029357910156,1029.2681884765625,95.40167999267578,1200.6614990234375,906.394775390625,398.8381042480469,263.3946838378906,103.65437316894531,606.2769165039063,702.4830322265625,494.8117980957031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.52272033691406,-79.94316864013672,-2.0880203247070313,184.57545471191406,-80.32992553710938,-1.6308958530426025,184.4184112548828,-80.2776107788086,-1.2531931400299072,184.07322692871094,-80.07658386230469,-1.430543065071106,183.65992736816406,-80.04182434082031,-1.6155227422714233,183.55982971191406,-80.53675842285156,-1.8749141693115234,183.91482543945313,-80.60582733154297,-2.3743338584899902,183.91482543945313,-80.60582733154297,-2.3743338584899902,183.8950653076172,-80.52439880371094,-2.7878267765045166,184.44589233398438,-80.62580108642578,-2.560269832611084,13.627413121118744,1.7383465201287762,-1.0,0.014342563566701499,3.6666667759418488,0.0,23.53,64
L-1:3,16.07932087293609,18.010359450003904,5.570172613874326,1.9006768847028463,3.8105957675732762,7.60728356405116,7.307866034621764,1.3624484242919648,0.9204080856632938,4.910693770713622,962.1791381835938,50.68455505371094,548.7752075195313,164.27403259277344,302.3905944824219,1179.337158203125,318.9793701171875,719.7918701171875,936.634765625,845.0377197265625,1251.543701171875,31.712196350097656,898.6072387695313,927.2653198242188,482.98095703125,1848.2803955078125,390.70281982421875,1367.2669677734375,908.1094970703125,337.7734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.07608032226563,-80.10430145263672,-3.7316925525665283,184.6170654296875,-80.25672149658203,-3.55411696434021,183.94528198242188,-81.40788269042969,-2.256232261657715,183.7811279296875,-80.90641021728516,-2.464035987854004,183.7811279296875,-80.90641021728516,-2.464035987854004,183.60946655273438,-80.70104217529297,-2.915583372116089,184.3197021484375,-80.51398468017578,-3.408073902130127,184.3197021484375,-80.51398468017578,-3.408073902130127,184.82131958007813,-80.30162811279297,-3.6411800384521484,185.35855102539063,-79.85791015625,-3.8415017127990723,12.458747758594344,6.99462422625778,-1.0,0.011467803030303031,2.3333334028720856,0.0,20.76,108
L-1:4,25.926018517009382,26.478753468749797,27.067501961469997,27.254744889252144,14.825638009502095,3.491182309435561,1.0639031179634555,5.519712025852034,11.767684098531213,20.533987360016983,810.8722534179688,77.7907943725586,1282.873779296875,813.2640380859375,181.88084411621094,886.2982177734375,306.6361999511719,1828.6842041015625,455.7286376953125,380.89495849609375,605.3003540039063,105.49040985107422,1134.1142578125,1264.6683349609375,187.2493438720703,1019.7113037109375,745.2159423828125,1198.08642578125,805.1004638671875,424.3494873046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.41212463378906,-79.75531005859375,-2.9389286041259766,184.41212463378906,-79.75531005859375,-2.9389286041259766,183.96279907226563,-79.4987564086914,-2.8204593658447266,183.96279907226563,-79.4987564086914,-2.8204593658447266,183.8347930908203,-79.8346939086914,-2.8246376514434814,184.74172973632813,-80.72874450683594,-3.070305824279785,184.55313110351563,-80.25643920898438,-3.246147394180298,184.84744262695313,-79.88898468017578,-3.494865894317627,184.84744262695313,-79.88898468017578,-3.494865894317627,184.71749877929688,-79.36384582519531,-3.363166093826294,2.8850580610889187,15.152588340421277,-1.0,0.01027922077922078,14.333333760499954,3.4,15.83,64
L-1:5,5.20658474990123,3.8143338931269595,9.027153564014764,1.102081302315938,1.488425475686625,1.9702260141926755,3.169405567674075,0.9000745918465803,2.690737595200478,5.371063506361713,481.00897216796875,65.04217529296875,630.7969970703125,460.5751037597656,170.76295471191406,599.8424072265625,158.19020080566406,891.5796508789063,821.9732666015625,508.13421630859375,1428.8790283203125,66.1046142578125,1061.8038330078125,770.694091796875,461.0979919433594,1044.1229248046875,279.4449462890625,700.29052734375,320.4580383300781,184.84507751464844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.80052185058594,-80.14427947998047,-4.218231201171875,183.92372131347656,-80.2363510131836,-3.926547050476074,183.73019409179688,-80.17896270751953,-3.799868106842041,183.4850311279297,-79.67969512939453,-3.9086127281188965,183.1018829345703,-79.46852111816406,-3.645143508911133,183.3421630859375,-79.29588317871094,-3.8286731243133545,183.3421630859375,-79.29588317871094,-3.8286731243133545,183.7613525390625,-79.07530975341797,-4.000823497772217,184.1112060546875,-80.2873306274414,-4.72717809677124,184.09996032714844,-80.11724853515625,-4.6902313232421875,17.53812723222745,4.5999136890339685,-1.0,0.016289409243954698,6.000000178813934,0.0,30.41,64
L-1:6,2.470966003734958,0.9784346261214304,2.1300577169724444,10.4924376913833,9.48807739633358,10.959991194965337,3.0690761786523915,1.1146234638425803,1.723499088305212,4.478664969531426,1303.2454833984375,20.211124420166016,426.59716796875,264.3108215332031,217.38995361328125,989.962646484375,337.76239013671875,600.9154663085938,828.5821533203125,1002.88232421875,886.6674194335938,168.40606689453125,812.5364990234375,855.9773559570313,436.33807373046875,1251.63623046875,345.952392578125,1047.1710205078125,301.89599609375,111.96617126464844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.43678283691406,-78.45255279541016,-4.198174953460693,183.86288452148438,-79.29309844970703,-3.6111950874328613,183.73020935058594,-79.38333892822266,-3.5971827507019043,182.9141845703125,-78.89811706542969,-3.4640955924987793,182.7034454345703,-78.73078918457031,-3.5511600971221924,183.00198364257813,-78.18807983398438,-3.7241663932800293,183.4971923828125,-77.98506164550781,-3.988813877105713,183.4971923828125,-77.98506164550781,-3.988813877105713,183.95309448242188,-77.88753509521484,-4.49718713760376,183.8077850341797,-78.09818267822266,-4.5247111320495605,21.226264965342093,9.757992041346066,-1.0,0.014349274503997632,3.333333432674408,0.0,27.69,68
L-1:7,2.091524756888962,1.3489684734088345,1.0575094574538852,1.7143091410364428,2.1239850183850115,7.531495657606574,3.1596703565130997,2.3938909127427848,1.0831545809576877,3.8224750721144596,790.2754516601563,113.42628479003906,535.698974609375,313.5972900390625,193.0069580078125,707.6256103515625,213.9056854248047,650.0101318359375,520.8558349609375,373.0091247558594,829.0147705078125,0.014351255260407925,538.8279418945313,385.06390380859375,198.19851684570313,341.7420959472656,380.379638671875,948.9926147460938,668.6561279296875,730.4077758789063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4319610595703,-78.83008575439453,-3.935957670211792,183.67787170410156,-79.08073425292969,-3.825249671936035,183.52972412109375,-79.11125946044922,-3.4630632400512695,183.0845184326172,-78.5228042602539,-3.3925671577453613,182.95867919921875,-78.287841796875,-3.499364137649536,183.14308166503906,-77.8565673828125,-3.6851532459259033,183.58126831054688,-77.75910186767578,-3.971606731414795,183.9440460205078,-78.28277587890625,-4.050852298736572,184.3063507080078,-78.29469299316406,-4.193375110626221,184.6490020751953,-78.69330596923828,-3.9961671829223633,8.760424611664194,3.3898828659172575,-1.0,0.01661157024793388,4.666666805744171,0.0,32.16,68
L-1:8,26.628448600739695,23.6435628143078,16.163245642525197,1.590539695644401,3.782932452638722,2.1793866164648286,2.517066475982941,8.886071507620514,19.725454057221864,26.9548332582379,1069.0711669921875,25.04850196838379,821.3543701171875,586.8136596679688,585.9620361328125,967.508544921875,595.0625610351563,1677.656005859375,1178.215576171875,715.9317626953125,1530.8037109375,70.39420318603516,1356.785400390625,1246.365966796875,306.88323974609375,1445.86474609375,664.3821411132813,1380.602783203125,900.6035766601563,506.7354736328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9215545654297,-76.95683288574219,-4.063103199005127,184.9215545654297,-76.95683288574219,-4.063103199005127,184.45896911621094,-77.83367919921875,-3.8666112422943115,184.1116485595703,-78.86247253417969,-3.6372227668762207,183.84336853027344,-78.3150634765625,-3.6339895725250244,183.84336853027344,-78.3150634765625,-3.6339895725250244,184.52381896972656,-77.89998626708984,-4.051631450653076,184.52381896972656,-77.89998626708984,-4.051631450653076,185.27484130859375,-77.52030944824219,-4.200716972351074,185.38331604003906,-76.854736328125,-4.212151527404785,3.4880758716080082,10.125379247005005,-1.0,0.008468778696051423,4.666666805744171,2.42,15.81,64
L-1:9,9.534528184522927,12.260714928117673,10.310499627388719,6.833529322048988,1.4118190138457762,3.602772646256802,9.74541482903272,4.226633676096227,5.453071183695025,8.945870055654396,681.6643676757813,102.3486099243164,843.2998657226563,697.7752685546875,528.534912109375,1345.4063720703125,474.2100524902344,1370.553466796875,754.6134033203125,625.4649047851563,1722.6578369140625,98.1626968383789,957.8132934570313,630.7228393554688,180.51730346679688,1400.5352783203125,716.7159423828125,1027.4910888671875,680.0242309570313,651.4163208007813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.5439453125,-77.5770034790039,-5.090856552124023,182.382080078125,-77.68272399902344,-4.932043552398682,182.1331024169922,-77.8595962524414,-4.6468377113342285,181.51742553710938,-77.81239318847656,-4.552962303161621,181.51742553710938,-77.81239318847656,-4.552962303161621,182.01808166503906,-78.84229278564453,-4.415102958679199,182.34649658203125,-78.34877014160156,-4.850008964538574,182.34649658203125,-78.34877014160156,-4.850008964538574,182.6989288330078,-78.06546020507813,-5.204818248748779,182.71966552734375,-77.5965576171875,-5.291676998138428,20.633148143792777,6.499444891896038,-1.0,0.009856261288380493,3.6666667759418488,0.0,18.71,64
L-1:10,2.7349468654323985,8.834449598304234,4.536711016986286,1.1376193275926463,1.1553799422403392,7.6962625007097625,7.971931879241442,1.2772857552988859,7.816521266654534,7.303426892233601,1762.0972900390625,425.96624755859375,1408.4190673828125,962.9212036132813,707.228515625,1520.15576171875,577.589599609375,1811.19580078125,1268.3499755859375,648.0374755859375,937.1531372070313,359.22503662109375,1276.9024658203125,943.0418701171875,169.1509246826172,1147.473388671875,273.0660095214844,1354.1138916015625,643.84716796875,571.3007202148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6028289794922,-77.56143951416016,-4.175408363342285,182.97991943359375,-77.6734848022461,-4.002185344696045,182.97991943359375,-77.6734848022461,-4.002185344696045,182.42535400390625,-77.4784164428711,-4.080535888671875,181.99229431152344,-77.89710998535156,-4.005040168762207,181.99229431152344,-77.89710998535156,-4.005040168762207,182.5048065185547,-78.97127532958984,-4.284479141235352,183.2964324951172,-78.72052001953125,-4.488824844360352,183.88772583007813,-78.31205749511719,-4.510144233703613,184.015380859375,-78.34319305419922,-4.264649868011475,19.86550893175893,8.18655383933596,-1.0,0.008634297520661157,0.0,0.0,17.91,68
