Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,17.214664743802402,13.855875501753069,9.006639488657871,3.253063646846262,12.569049461514226,24.676777207376627,23.537885335678794,10.365888337928189,3.498734202709478,7.899229480403199,3378.272216796875,350.37725830078125,3438.691162109375,1740.329833984375,1089.643310546875,1419.671875,967.8325805664062,1851.083740234375,2020.576904296875,764.5449829101562,2027.01123046875,513.315673828125,1279.307861328125,701.3738403320312,1019.07763671875,1382.2427978515625,670.791259765625,2076.698486328125,2249.947998046875,1328.921142578125,0.7750000357627869,0.762499988079071,0.762499988079071,0.7125000357627869,0.7125000357627869,0.75,0.762499988079071,0.800000011920929,0.800000011920929,0.7875000238418579,0.3571428656578064,0.3392857313156128,0.3392857313156128,0.3214285969734192,0.3214285969734192,0.3392857313156128,0.392857164144516,0.4107142984867096,0.3750000298023224,0.3571428656578064,52.2603645324707,-25.99939727783203,-5.158102989196777,52.2603645324707,-25.99939727783203,-5.158102989196777,52.632408142089844,-26.097896575927734,-4.29633903503418,46.73289108276367,-25.149887084960938,-5.244994163513184,47.45772933959961,-26.14575958251953,-5.653616905212402,48.4590950012207,-26.823341369628906,-6.036316394805908,48.4590950012207,-26.823341369628906,-6.036316394805908,49.52000427246094,-26.93573760986328,-6.241182327270508,50.287288665771484,-27.171995162963867,-6.2538161277771,51.23208999633789,-26.760923385620117,-5.9859724044799805,10.53662243316604,9.688893720160765,-1.0,0.007828394072887464,8.761904925107956,0.0,11.17,100
L-1:2,18.666667014360428,18.52751623233561,22.699961312507966,4.570385935140662,7.46066009063096,4.343525509853569,2.2870584514665993,4.619606968655123,4.974426397526924,9.25005448902318,2398.53369140625,316.68994140625,1483.8634033203125,1294.355712890625,1485.999267578125,2444.38427734375,276.93212890625,3066.8525390625,1991.4755859375,1213.56005859375,2592.923828125,808.3682250976562,430.7481384277344,154.2884521484375,570.3728637695312,3025.990234375,908.998291015625,2375.044921875,1616.889892578125,719.552001953125,0.737500011920929,0.7125000357627869,0.7125000357627869,0.7125000357627869,0.7125000357627869,0.7125000357627869,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.737500011920929,0.3214285969734192,0.3214285969734192,0.3214285969734192,0.3214285969734192,0.3214285969734192,0.3035714328289032,0.3214285969734192,0.3214285969734192,0.3214285969734192,0.3214285969734192,52.77162551879883,-27.17312240600586,-7.410454273223877,52.66872787475586,-27.184186935424805,-7.440690040588379,52.60892105102539,-27.15423011779785,-7.443821430206299,52.588829040527344,-27.080373764038086,-7.478989124298096,52.5211181640625,-27.279590606689453,-7.735816955566406,52.44108581542969,-27.553199768066406,-7.898738384246826,53.56552505493164,-27.131675720214844,-7.373918056488037,53.441368103027344,-27.01112174987793,-7.434237003326416,53.31285095214844,-26.959470748901367,-7.376147747039795,52.989681243896484,-26.987546920776367,-7.364591121673584,3.59389764105836,15.49829123359551,1.0,0.005865415723066968,2.666666716337204,0.0,10.36,104
L-1:3,4.207756656351673,3.700202912487592,4.567406436643862,14.909248900568981,7.538846932864548,9.055134891716238,8.884426764129612,3.0691189788516477,6.68837823952468,2.7029024985218197,1506.8785400390625,264.9960021972656,2035.2283935546875,1204.615478515625,113.10781860351562,2758.599853515625,1464.3397216796875,3213.13427734375,1584.6685791015625,1619.596435546875,2362.471923828125,527.6992797851562,2251.3193359375,1837.7174072265625,211.4657440185547,2807.784423828125,1215.4482421875,2464.836669921875,1242.502197265625,588.0706176757812,0.675000011920929,0.675000011920929,0.6875,0.6875,0.699999988079071,0.7250000238418579,0.737500011920929,0.737500011920929,0.762499988079071,0.737500011920929,0.267857164144516,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,52.0513801574707,-26.644609451293945,-6.0626115798950195,51.90081024169922,-26.451387405395508,-6.07800817489624,51.89773178100586,-26.723535537719727,-6.200248718261719,51.89773178100586,-26.723535537719727,-6.200248718261719,52.1677131652832,-26.865060806274414,-6.229949474334717,52.598602294921875,-26.867353439331055,-6.423131465911865,52.977508544921875,-26.85845184326172,-6.579804420471191,53.103050231933594,-26.69014549255371,-6.536343574523926,53.04737854003906,-26.46854019165039,-6.282204627990723,52.96987533569336,-26.255979537963867,-6.06571102142334,6.78266443672358,10.601239191204787,-1.0,0.006111837802485284,3.047619104385376,0.0,10.68,68
L-1:4,1.5707069342539,10.723967355696344,14.486165347078394,18.767963498334904,23.84480933170676,27.851241244764818,19.955113731580415,13.476446764433879,9.325391202027216,6.132436634232131,2678.8125,425.8767395019531,2096.17724609375,1663.1962890625,987.6136474609375,2687.643310546875,1102.3800048828125,2792.612060546875,2271.84765625,1182.8406982421875,2915.358154296875,878.7367553710938,2847.876953125,2517.56396484375,1005.5352783203125,2909.662353515625,798.0674438476562,1449.085693359375,1602.16650390625,1246.247314453125,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.737500011920929,0.737500011920929,0.737500011920929,0.7250000238418579,0.699999988079071,0.7250000238418579,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3214285969734192,0.3392857313156128,54.692718505859375,-25.651756286621094,-7.742812156677246,54.65608215332031,-25.790925979614258,-7.75880241394043,54.76183319091797,-25.74773406982422,-7.809416770935059,54.76183319091797,-25.74773406982422,-7.809416770935059,54.72347640991211,-25.731666564941406,-7.770042419433594,54.63855743408203,-25.869892120361328,-7.950068950653076,54.981361389160156,-25.597087860107422,-7.771480083465576,54.981361389160156,-25.597087860107422,-7.771480083465576,54.868492126464844,-25.172592163085938,-7.520614147186279,54.908206939697266,-25.42812728881836,-7.745001316070557,8.205965573243452,21.82592937363895,1.0,0.005517534899557371,15.619047909975052,2.76,9.26,32
L-1:5,6.023386131562649,7.422846089874245,16.6631619050685,9.79868314996784,6.158614406641784,0.538748033796143,7.61879311018488,5.188070384045108,0.312774265421214,8.546672804300803,2171.09130859375,675.6995239257812,2445.60595703125,908.5103149414062,1141.7283935546875,2057.481201171875,1128.1951904296875,2433.047119140625,1798.248291015625,1363.4962158203125,2734.183837890625,517.6133422851562,2189.57080078125,1994.22998046875,587.4281005859375,1324.6551513671875,726.5879516601562,1431.031005859375,1770.0699462890625,1270.1573486328125,0.737500011920929,0.737500011920929,0.737500011920929,0.737500011920929,0.75,0.7250000238418579,0.7125000357627869,0.7125000357627869,0.737500011920929,0.737500011920929,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3214285969734192,0.3214285969734192,0.3392857313156128,0.3392857313156128,55.19983673095703,-26.22347068786621,-7.958723068237305,55.25349044799805,-26.271432876586914,-8.003479957580566,55.33559036254883,-26.230396270751953,-8.008671760559082,55.11434555053711,-26.37759017944336,-8.023645401000977,54.94172286987305,-26.64253807067871,-8.205595970153809,55.07664108276367,-26.60230827331543,-8.186842918395996,54.98927688598633,-27.10287094116211,-8.309359550476074,55.01089096069336,-27.222087860107422,-8.237630844116211,55.55284881591797,-25.913450241088867,-7.927157878875732,55.37239074707031,-26.016674041748047,-7.9154791831970215,3.922144888669736,1.1204133933228881,1.0,0.006160933660933661,0.761904776096344,0.0,10.03,76
L-1:6,3.828524117453109,1.9818523733296207,2.146216642812797,3.2538990344800776,7.532228225969504,3.1414138685077946,6.789445042055611,3.556050220949727,4.6384363449151556,2.114058399738481,1942.10595703125,146.87945556640625,1674.1478271484375,1343.931640625,910.8931274414062,2089.872802734375,688.0179443359375,2499.189453125,1531.754150390625,1095.260498046875,2357.20458984375,310.7149353027344,2819.303466796875,1612.3966064453125,726.54736328125,1672.5194091796875,160.1123809814453,320.215087890625,1463.048583984375,1197.218505859375,0.75,0.762499988079071,0.762499988079071,0.737500011920929,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.699999988079071,0.612500011920929,0.7250000238418579,0.3392857313156128,0.3571428656578064,0.3750000298023224,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.2857142984867096,0.2857142984867096,0.25,0.3392857313156128,54.86597442626953,-25.66531753540039,-7.460351467132568,54.9263801574707,-25.76338005065918,-7.501321315765381,54.977291107177734,-25.771881103515625,-7.503876686096191,55.008209228515625,-25.861543655395508,-7.5025224685668945,55.0700798034668,-26.076204299926758,-7.562653064727783,55.26973342895508,-25.987651824951172,-7.603191375732422,55.25291061401367,-25.926576614379883,-7.483806133270264,55.12057113647461,-26.0720157623291,-7.419041633605957,54.97743225097656,-26.44654655456543,-7.6023030281066895,54.996917724609375,-25.48552131652832,-7.465257167816162,6.653047436902845,6.118982566741682,1.0,0.006712241941325606,0.380952388048172,0.0,10.59,64
L-1:7,15.18084511718148,13.041692263154575,7.25743029267278,0.4232003945877603,7.47724825669639,16.59658766973893,11.723379541187303,10.844660004764044,7.8527862423697945,4.428100618907755,2345.54052734375,476.2059020996094,1706.7454833984375,961.2775268554688,340.67706298828125,1433.76123046875,723.4237670898438,1853.3441162109375,1611.022216796875,1833.17236328125,2532.02685546875,304.44549560546875,2290.079345703125,1907.1485595703125,957.115966796875,2617.16552734375,886.794921875,1962.8309326171875,2429.387939453125,1080.9254150390625,0.7750000357627869,0.762499988079071,0.737500011920929,0.675000011920929,0.7125000357627869,0.7250000238418579,0.75,0.7875000238418579,0.7875000238418579,0.7750000357627869,0.3571428656578064,0.3392857313156128,0.3392857313156128,0.2857142984867096,0.2857142984867096,0.3035714328289032,0.3035714328289032,0.392857164144516,0.392857164144516,0.3750000298023224,54.701499938964844,-25.696109771728516,-6.736030578613281,54.537532806396484,-25.85214614868164,-6.744117259979248,54.37905502319336,-25.912097930908203,-6.6725077629089355,54.39609146118164,-26.09713363647461,-7.053227424621582,54.6486701965332,-26.126270294189453,-7.178662300109863,54.97956085205078,-25.973697662353516,-7.179933071136475,54.97956085205078,-25.973697662353516,-7.179933071136475,55.13652038574219,-25.91099739074707,-7.119211196899414,55.038875579833984,-25.827537536621094,-6.983794689178467,54.816402435302734,-25.724740982055664,-6.835219383239746,7.657048234906218,10.275566119687111,-1.0,0.006711835334476843,0.0,0.0,11.18,0
L-1:8,3.254858630271239,8.926326044838264,15.988857850297725,12.314054893815971,5.020811594355162,11.047619253396988,20.054378568607348,18.231858817153586,13.249043504818214,2.9206192712989667,1527.0989990234375,122.42644500732422,2192.68701171875,1114.2552490234375,748.163330078125,2572.16748046875,1329.810302734375,2688.282958984375,2151.51318359375,746.2999877929688,2324.248291015625,756.8739624023438,1995.1195068359375,1685.603271484375,626.532470703125,2162.276611328125,514.1809692382812,2409.47900390625,972.6232299804688,896.8091430664062,0.7125000357627869,0.737500011920929,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.762499988079071,0.762499988079071,0.762499988079071,0.75,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3750000298023224,0.3571428656578064,0.3571428656578064,0.3571428656578064,54.481117248535156,-25.57071304321289,-6.0938401222229,54.26095199584961,-25.667604446411133,-6.025145053863525,54.14567565917969,-25.789329528808594,-6.052928447723389,54.23689270019531,-25.731733322143555,-6.054416179656982,54.42371368408203,-25.822954177856445,-6.070892810821533,54.672245025634766,-25.603458404541016,-6.030538082122803,54.6419563293457,-25.553918838500977,-6.028331756591797,54.521785736083984,-25.47572898864746,-5.925207614898682,54.521785736083984,-25.47572898864746,-5.925207614898682,54.4100341796875,-25.251646041870117,-5.873745441436768,13.251449489437828,19.902839609849572,-1.0,0.007137082285303629,4.571428656578064,3.19,11.35,0
L-1:9,11.073860666265684,3.54658748759637,5.860650074349164,6.39283959442108,8.134095304272039,2.051491393310855,1.8631724687685143,6.641396504162618,6.743962002346909,1.5440079289856892,2008.2747802734375,419.8346862792969,2062.102294921875,1036.343994140625,1088.194091796875,1894.777587890625,1096.360595703125,2696.23486328125,1323.054443359375,1054.3631591796875,0.0,0.0,2041.24365234375,1929.66162109375,707.1016845703125,2103.589111328125,416.17120361328125,3398.797607421875,1326.7200927734375,420.3653259277344,0.75,0.75,0.75,0.75,0.75,0.6875,0.762499988079071,0.737500011920929,0.737500011920929,0.75,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3214285969734192,0.3392857313156128,0.3392857313156128,0.3392857313156128,0.3392857313156128,55.31452178955078,-25.65664291381836,-7.735726833343506,55.20219421386719,-25.77308464050293,-7.783195495605469,55.320404052734375,-25.848201751708984,-7.879083156585693,55.52362060546875,-25.729433059692383,-7.83952522277832,55.37017059326172,-25.97769546508789,-8.047066688537598,55.18104934692383,-27.033876419067383,-8.268278121948242,55.858341217041016,-25.894283294677734,-7.89153528213501,55.770355224609375,-25.661865234375,-7.773499965667725,55.770355224609375,-25.661865234375,-7.773499965667725,55.55010223388672,-25.58283042907715,-7.730242729187012,3.2770763532470175,8.432987193021537,1.0,0.006926841406768414,3.047619104385376,0.0,11.93,0
L-1:10,12.19642734609587,3.9474732337662664,1.6520986123238575,2.989469036370959,2.013451593704589,3.5122074777220087,5.824634231812422,4.167497319276941,2.839411027414375,7.036932127026608,0.0,0.0,1434.5794677734375,1007.2457885742188,931.8546752929688,2332.221923828125,580.5079956054688,2316.398193359375,1699.306396484375,1237.302490234375,2302.325927734375,64.56891632080078,1660.6102294921875,1443.9573974609375,328.47412109375,2695.918701171875,755.23681640625,2168.956298828125,1707.394775390625,1298.1158447265625,0.612500011920929,0.6625000238418579,0.699999988079071,0.699999988079071,0.737500011920929,0.737500011920929,0.737500011920929,0.737500011920929,0.737500011920929,0.75,0.25,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,0.3035714328289032,54.81069564819336,-26.632291793823242,-7.274957180023193,54.873287200927734,-26.664400100708008,-7.132099628448486,54.90092468261719,-26.46371078491211,-7.225660800933838,55.025699615478516,-26.571916580200195,-7.285833358764648,55.31855010986328,-26.656953811645508,-7.401768684387207,55.64653778076172,-26.57203483581543,-7.5503058433532715,55.716365814208984,-26.579885482788086,-7.64240837097168,55.55014419555664,-26.503828048706055,-7.645175457000732,55.44856643676758,-26.216083526611328,-7.3906474113464355,55.377906799316406,-26.020511627197266,-7.136050701141357,3.254858630271239,7.321816562644366,-1.0,0.006782616238723109,1.523809552192688,0.0,11.17,0
